3341-2019-06-10_Stoos-Schwinget-ST

1a;Wicki Joel;**;;;;;;;;;59.5
o;12;45.5;Reichmuth Marco;**;11;55.0;14;45.0;2;-0.5;8.5

15b;Linggi Bruno;**;;;;;;;;;54.0
+;;;Michel Jonas;*;;;;;;;9.75
o;2;9.75;Arnold Stefan;**;4;57.0;1;10.0;-1;0.25;8.5
+;7;18.25;Hügli Kaj;**;20;35.5;7;18.25;0;0.0;9.75
o;6;28.0;Zenger Niklaus;***;10;55.25;8;27.25;2;-0.75;8.75
o;10;36.75;Gäumann Stefan;*;8;55.75;8;37.25;-2;0.5;8.75
o;12;45.5;Erb Roger;**;10;55.25;12;45.5;0;0.0;8.5

15c;Rohrer Ueli;*;;;;;;;;;54.0
-;;;Rüegger Aaron;*;;;;;;;8.75
o;4;8.75;Gäumann Stefan;*;8;55.75;4;8.75;0;0.0;8.5
+;11;17.25;Burger Matthieu (2001);*;17;53.25;10;17.5;-1;0.25;10.0
+;8;27.25;Fankhauser Reto;**;20;35.5;9;27.0;1;-0.25;9.75
o;9;37.0;Ulrich Andreas;***;7;56.0;8;37.25;-1;0.25;8.5
o;12;45.5;Leuthard Reto;**;8;55.75;11;45.75;-1;0.25;8.5

15d;Schöpfer Ronny;*;;;;;;;;;54.0
o;;;Effinger Markus;*;;;;;;;8.5
+;5;8.5;Herger Fabian;*;23;34.75;4;8.75;-1;0.25;9.75
+;7;18.25;Studinger Stephan;**;10;55.25;6;18.5;-1;0.25;9.75
o;6;28.0;Mathis Marcel;***;11;55.0;7;27.5;1;-0.5;8.75
o;10;36.75;Inniger Thomas;**;8;55.75;9;37.0;-1;0.25;8.5
o;13;45.25;Hess Dominik;*;10;55.25;12;45.5;-1;0.25;8.75

16a;Kessler Joel;*;;;;;;;;;53.5
+;;;Burger Matthieu (2001);*;;;;;;;10.0
o;1;10.0;Mathis Marcel;***;11;55.0;4;8.75;3;-1.25;8.5
-;6;18.5;Mangold Martin;*;17;53.25;6;18.5;0;0.0;9.0
-;7;27.5;Vieira Tiago;**;16;53.5;8;27.25;1;-0.25;8.75
o;12;36.25;Gehrig Philipp;**;13;54.5;12;36.25;0;0.0;8.5
-;15;44.75;Wittwer Josias;**;18;53.0;17;44.25;2;-0.5;8.75

16b;Vieira Tiago;**;;;;;;;;;53.5
-;;;Fellmann Roman;**;;;;;;;8.75
+;4;8.75;Fankhauser Reto;**;20;35.5;4;8.75;0;0.0;10.0
o;5;18.75;Müllestein Mike;***;5;56.5;6;18.5;1;-0.25;8.5
-;8;27.25;Kessler Joel;*;16;53.5;7;27.5;-1;0.25;9.0
o;12;36.25;Schuler Philipp;**;9;55.5;10;36.75;-2;0.5;8.5
-;15;44.75;Zurfluh Roman;**;14;54.25;12;45.5;-3;0.75;8.75

16c;Schmid Samuel;**;;;;;;;;;53.5
-;;;Arnold Raphael;**;;;;;;;8.75
o;4;8.75;Herger Matthias;**;6;56.25;4;8.75;0;0.0;8.5
-;11;17.25;Reichmuth Lukas;*;23;34.75;10;17.5;-1;0.25;8.75
+;13;26.0;Fink Bruno;*;24;34.25;14;25.75;1;-0.25;10.0
-;13;36.0;Reichmuth Marco;**;11;55.0;13;36.0;0;0.0;9.0
o;14;45.0;Burch Jonas;*;10;55.25;12;45.5;-2;0.5;8.5

17a;Zimmermann Martin;**;;;;;;;;;53.25
-;;;Gehrig Philipp;**;;;;;;;9.0
-;3;9.0;Stoll Simon;**;14;54.25;5;8.5;2;-0.5;8.75
+;9;17.75;Michel Jonas;*;17;53.25;10;17.5;1;-0.25;9.75
-;7;27.5;Döbeli Lukas;**;14;54.25;5;28.25;-2;0.75;8.75
o;12;36.25;Berger Lorenz;*;7;56.0;13;36.0;1;-0.25;8.5
o;15;44.75;Höfliger Andreas;**;11;55.0;13;45.25;-2;0.5;8.5

17b;Thierstein Marco;*;;;;;;;;;53.25
+;;;Schürpf Bruno;*;;;;;;;9.75
-;2;9.75;Gehrig Philipp;**;13;54.5;3;9.0;1;-0.75;9.0
o;5;18.75;Kropf Marcel;**;8;55.75;6;18.5;1;-0.25;8.5
o;8;27.25;Rüegger Aaron;*;8;55.75;8;27.25;0;0.0;8.5
-;14;35.75;Arnold Kornel;*;22;35.0;17;35.0;3;-0.75;9.0
o;15;44.75;Schillig Willi;**;14;54.25;16;44.5;1;-0.25;8.5

17c;Durrer Nando;*;;;;;;;;;53.25
+;;;Arnold Kornel;*;;;;;;;9.75
-;2;9.75;Odermatt Adrian (2001);*;11;55.0;1;10.0;-1;0.25;8.75
-;6;18.5;Zurfluh Roman;**;14;54.25;6;18.5;0;0.0;8.75
-;8;27.25;Wittwer Josias;**;18;53.0;9;27.0;1;-0.25;8.75
o;13;36.0;Berger Lorenz;*;7;56.0;13;36.0;0;0.0;8.5
-;16;44.5;Michel Jonas;*;17;53.25;16;44.5;0;0.0;8.75

17d;Kennel Beat;*;;;;;;;;;53.25
o;;;Burch Jonas;*;;;;;;;8.5
-;5;8.5;Kocher Remo;**;24;34.25;5;8.5;0;0.0;8.75
+;11;17.25;Brand Christian;**;24;34.25;12;17.0;1;-0.25;10.0
o;8;27.25;Schwander Severin;**;13;54.5;8;27.25;0;0.0;8.5
o;14;35.75;Brun Samuel;**;14;54.25;14;35.75;0;0.0;8.5
-;17;44.25;Mangold Martin;*;17;53.25;17;44.25;0;0.0;9.0

17e;Michel Jonas;*;;;;;;;;;53.25
o;;;Linggi Bruno;**;;;;;;;8.75
-;4;8.75;Herger Fabian;*;23;34.75;4;8.75;0;0.0;8.75
o;10;17.5;Zimmermann Martin;**;17;53.25;9;17.75;-1;0.25;8.5
+;13;26.0;Reichmuth Lukas;*;23;34.75;12;26.25;-1;0.25;10.0
o;13;36.0;Kälin Roland;**;12;54.75;13;36.0;0;0.0;8.5
-;16;44.5;Durrer Nando;*;17;53.25;16;44.5;0;0.0;8.75

17f;Burger Matthieu (2001);*;;;;;;;;;53.25
o;;;Kessler Joel;*;;;;;;;8.75
-;4;8.75;Reichmuth Lukas;*;23;34.75;4;8.75;0;0.0;8.75
o;10;17.5;Rohrer Ueli;*;15;54.0;11;17.25;1;-0.25;8.5
+;13;26.0;Ettlin Martin;*;24;34.25;14;25.75;1;-0.25;10.0
o;13;36.0;Felder Martin;*;14;54.25;13;36.0;0;0.0;8.5
-;16;44.5;Inderbitzin Daniel;*;14;54.25;12;45.5;-4;1.0;8.75

17g;Mangold Martin;*;;;;;;;;;53.25
o;;;Hess Dominik;*;;;;;;;8.5
+;5;8.5;Gwerder Andreas;*;24;34.25;5;8.5;0;0.0;10.0
-;6;18.5;Kessler Joel;*;16;53.5;6;18.5;0;0.0;8.75
o;8;27.25;Burch Jonas;*;10;55.25;8;27.25;0;0.0;8.5
o;14;35.75;Zurfluh Roman;**;14;54.25;14;35.75;0;0.0;8.5
-;17;44.25;Kennel Beat;*;17;53.25;17;44.25;0;0.0;9.0

18a;Wittwer Josias;**;;;;;;;;;53.0
o;;;Suppiger Werner;**;;;;;;;8.5
+;5;8.5;Suppiger Thomas;*;20;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Egli Damian;**;9;55.5;6;18.5;0;0.0;8.5
-;9;27.0;Durrer Nando;*;17;53.25;8;27.25;-1;0.25;8.75
o;14;35.75;Inderbitzin Daniel;*;14;54.25;14;35.75;0;0.0;8.5
-;17;44.25;Kessler Joel;*;16;53.5;15;44.75;-2;0.5;8.75

18b;Schmid Simon;*;;;;;;;;;53.0
-;;;Herger Fabian;*;;;;;;;8.75
-;4;8.75;Voggensperger Lars (2001);*;9;55.5;5;8.5;1;-0.25;8.75
+;10;17.5;Ettlin Martin;*;24;34.25;11;17.25;1;-0.25;9.75
o;8;27.25;Leuthard Reto;**;8;55.75;8;27.25;0;0.0;8.5
-;14;35.75;Schillig Willi;**;14;54.25;14;35.75;0;0.0;8.75
o;16;44.5;Stoll Simon;**;14;54.25;17;44.25;1;-0.25;8.5

19a;Bürgler André;*;;;;;;;;;36.25
+;;;Felder Martin;*;;;;;;;10.0
-;1;10.0;Hess Dominik;*;10;55.25;2;9.75;1;-0.25;8.75
o;5;18.75;Döbeli Andreas;*;8;55.75;6;18.5;1;-0.25;8.75
o;7;27.5;Erb Roger;**;10;55.25;9;27.0;2;-0.5;8.75

20a;Fankhauser Reto;**;;;;;;;;;35.5
o;;;Anderegg David;*;;;;;;;8.75
o;4;8.75;Vieira Tiago;**;16;53.5;4;8.75;0;0.0;8.5
+;11;17.25;Gehrig Philipp;**;13;54.5;8;18.0;-3;0.75;9.75
o;9;27.0;Rohrer Ueli;*;15;54.0;8;27.25;-1;0.25;8.5

20b;Effinger Markus;*;;;;;;;;;35.5
+;;;Schöpfer Ronny;*;;;;;;;9.75
o;2;9.75;Suppiger René;***;7;56.0;4;8.75;2;-1.0;8.5
-;7;18.25;Rüegger Aaron;*;8;55.75;6;18.5;-1;0.25;8.75
o;9;27.0;Voggensperger Lars (2001);*;9;55.5;9;27.0;0;0.0;8.5

20c;Hügli Kaj;**;;;;;;;;;35.5
+;;;Schuler Philipp;**;;;;;;;9.75
o;2;9.75;Suppiger Werner;**;5;56.5;2;9.75;0;0.0;8.5
o;7;18.25;Linggi Bruno;**;15;54.0;7;18.25;0;0.0;8.5
-;10;26.75;Brun Jonas;**;20;35.5;10;26.75;0;0.0;8.75

20d;Schürpf Bruno;*;;;;;;;;;35.5
o;;;Thierstein Marco;*;;;;;;;8.5
o;5;8.5;Rüegger Aaron;*;8;55.75;4;8.75;-1;0.25;8.5
+;12;17.0;Kocher Remo;**;24;34.25;11;17.25;-1;0.25;10.0
o;9;27.0;Gehrig Philipp;**;13;54.5;11;26.5;2;-0.5;8.5

20e;Suppiger Thomas;*;;;;;;;;;35.5
o;;;Ulrich Marco;*;;;;;;;8.5
o;5;8.5;Wittwer Josias;**;18;53.0;5;8.5;0;0.0;8.5
o;12;17.0;Voggensperger Lars (2001);*;9;55.5;11;17.25;-1;0.25;8.5
+;15;25.5;Gwerder Andreas;*;24;34.25;14;25.75;-1;0.25;10.0

20f;Brun Jonas;**;;;;;;;;;35.5
o;;;Döbeli Andreas;*;;;;;;;8.5
+;5;8.5;Schillig Willi;**;14;54.25;4;8.75;-1;0.25;9.75
o;7;18.25;Bieri Marcel;**;6;56.25;5;18.75;-2;0.5;8.5
-;10;26.75;Hügli Kaj;**;20;35.5;10;26.75;0;0.0;8.75

20g;Anderegg David;*;;;;;;;;;35.5
+;;;Fankhauser Reto;**;;;;;;;9.75
o;2;9.75;Van Messel Noe (2002);*;3;57.25;1;10.0;-1;0.25;8.5
o;7;18.25;Schuler Philipp;**;9;55.5;12;17.0;5;-1.25;8.5
o;10;26.75;Höfliger Andreas;**;11;55.0;10;26.75;0;0.0;8.75

21a;Graber Michael;*;;;;;;;;;35.25
+;;;Inderbitzin Daniel;*;;;;;;;9.75
o;2;9.75;Räbmatter Patrick;***;5;56.5;5;8.5;3;-1.25;8.5
o;7;18.25;Gäumann Stefan;*;8;55.75;6;18.5;-1;0.25;8.5
o;10;26.75;Schuler Philipp;**;9;55.5;9;27.0;-1;0.25;8.5

22a;Arnold Kornel;*;;;;;;;;;35.0
o;;;Durrer Nando;*;;;;;;;8.5
-;5;8.5;Inderbitzin Daniel;*;14;54.25;4;8.75;-1;0.25;8.75
-;11;17.25;Gwerder Andreas;*;24;34.25;12;17.0;1;-0.25;8.75
-;13;26.0;Thierstein Marco;*;17;53.25;8;27.25;-5;1.25;9.0

23a;Reichmuth Lukas;*;;;;;;;;;34.75
o;;;Kurmann Toni;*;;;;;;;8.75
-;4;8.75;Burger Matthieu (2001);*;17;53.25;4;8.75;0;0.0;8.75
-;10;17.5;Schmid Samuel;**;16;53.5;11;17.25;1;-0.25;8.75
o;12;26.25;Michel Jonas;*;17;53.25;13;26.0;1;-0.25;8.5

23b;Herger Fabian;*;;;;;;;;;34.75
-;;;Schmid Simon;*;;;;;;;8.75
o;4;8.75;Schöpfer Ronny;*;15;54.0;5;8.5;1;-0.25;8.5
-;11;17.25;Michel Jonas;*;17;53.25;10;17.5;-1;0.25;8.75
o;13;26.0;Brun Samuel;**;14;54.25;13;26.0;0;0.0;8.75

24a;Brand Christian;**;;;;;;;;;34.25
o;;;Egli Damian;**;;;;;;;8.5
o;5;8.5;Felder Martin;*;14;54.25;4;8.75;-1;0.25;8.5
o;12;17.0;Kennel Beat;*;17;53.25;11;17.25;-1;0.25;8.5
-;15;25.5;Waser Reto;*;24;34.25;15;25.5;0;0.0;8.75

24b;Kocher Remo;**;;;;;;;;;34.25
o;;;Arnold Stefan;**;;;;;;;8.5
-;5;8.5;Kennel Beat;*;17;53.25;5;8.5;0;0.0;8.75
o;11;17.25;Schürpf Bruno;*;20;35.5;12;17.0;1;-0.25;8.5
o;14;25.75;Inderbitzin Daniel;*;14;54.25;13;26.0;-1;0.25;8.5

24c;Ettlin Martin;*;;;;;;;;;34.25
o;;;Odermatt Adrian (2001);*;;;;;;;8.75
o;4;8.75;Höfliger Andreas;**;11;55.0;5;8.5;1;-0.25;8.5
o;11;17.25;Schmid Simon;*;18;53.0;10;17.5;-1;0.25;8.5
o;14;25.75;Burger Matthieu (2001);*;17;53.25;13;26.0;-1;0.25;8.5

24d;Fink Bruno;*;;;;;;;;;34.25
o;;;Kenel Franz-Toni;*;;;;;;;8.75
o;4;8.75;Scheuber Lutz;**;7;56.0;5;8.5;1;-0.25;8.5
o;11;17.25;Schillig Willi;**;14;54.25;11;17.25;0;0.0;8.5
o;14;25.75;Schmid Samuel;**;16;53.5;13;26.0;-1;0.25;8.5

24e;Waser Reto;*;;;;;;;;;34.25
o;;;Berger Lorenz;*;;;;;;;8.5
o;5;8.5;Inniger Thomas;**;8;55.75;5;8.5;0;0.0;8.5
o;12;17.0;Leuthard Reto;**;8;55.75;11;17.25;-1;0.25;8.5
-;15;25.5;Brand Christian;**;24;34.25;15;25.5;0;0.0;8.75

24f;Gwerder Andreas;*;;;;;;;;;34.25
o;;;Hermann Oliver;*;;;;;;;8.5
o;5;8.5;Mangold Martin;*;17;53.25;5;8.5;0;0.0;8.5
-;12;17.0;Arnold Kornel;*;22;35.0;11;17.25;-1;0.25;8.75
o;14;25.75;Suppiger Thomas;*;20;35.5;15;25.5;1;-0.25;8.5

25a;Ambühl Joel;**;;;;;;;;;26.25
-;;;Gäumann Stefan;*;;;;;;;8.75
-;4;8.75;Leuthard Reto;**;8;55.75;5;8.5;1;-0.25;8.75
-;10;17.5;Brun Samuel;**;14;54.25;11;17.25;1;-0.25;8.75

26a;Binggeli Stefan;**;;;;;;;;;25.75
-;;;Schillig Willi;**;;;;;;;8.75
o;4;8.75;Erb Roger;**;10;55.25;5;8.5;1;-0.25;8.5
o;11;17.25;Stoll Simon;**;14;54.25;11;17.25;0;0.0;8.5

27a;Klausner Yanick;**;;;;;;;;;8.5
o;;;Kälin Roland;**;;;;;;;8.5

