4026-2018-08-12_Schaffhauser_Kantonalschwingfest-ST

1a;Bless Michael;***;;;;;;;;;60.0
+;2;9.75;Oettli Marco;*;8;56.25;2;9.75;0;0.0;10.0
o;2;19.75;Bless Michael;***;1;60.0;1;20.0;-1;0.25;8.5
+;4;28.25;Junker Nik;;10;55.75;3;28.5;-1;0.25;10.0
+;3;38.25;Aerne Christian;;12;55.25;4;38.0;1;-0.25;10.0
-;3;48.25;Notz Beni;***;4;57.25;2;48.5;-1;0.25;8.75

5e;Kuster Marcel;***;;;;;;;;;57.0
+;;;Bühler Ernst;**;;;;;;;9.75
+;2;9.75;Vollenweider Jeremy;*;5;57.0;1;10.0;-1;0.25;10.0
-;2;19.75;Straub Robin;*;11;55.5;2;19.75;0;0.0;9.0
-;2;28.75;Rhyner Michael;**;4;57.25;3;28.5;1;-0.25;8.75
+;5;37.5;Bühler Hannes;*;12;55.25;3;38.25;-2;0.75;9.75
+;7;47.25;Jöhl Christian;*;12;55.25;9;46.75;2;-0.5;9.75

6a;Landolt Reto;*;;;;;;;;;56.75
-;;;Holenstein Christian;*;;;;;;;8.75
+;4;8.75;Imhof Gregor (2001);;19;53.5;2;9.75;-2;1.0;10.0
+;5;18.75;Rentsch Christian;;12;55.25;2;19.75;-3;1.0;9.75
o;3;28.5;Schläpfer Markus;**;7;56.5;4;28.25;1;-0.25;8.5
+;7;37.0;Roth Michael;;12;55.25;8;36.75;1;-0.25;10.0
+;8;47.0;Winzeler Simon (2000);;12;55.25;10;46.5;2;-0.5;9.75

6b;Dändliker Shane;**;;;;;;;;;56.75
o;;;Hersche Martin;***;;;;;;;8.5
+;5;8.5;Keller Dominic;;10;55.75;1;10.0;-4;1.5;10.0
+;6;18.5;Schnyder Christian;;17;54.0;6;18.5;0;0.0;10.0
-;3;28.5;Burkhalter Stefan;***;4;57.25;3;28.5;0;0.0;8.75
+;6;37.25;Kobler Janosch (2000);;13;55.0;4;38.0;-2;0.75;9.75
+;8;47.0;Pfister Florian;*;13;55.0;10;46.5;2;-0.5;9.75

6c;Wey Nicola;*;;;;;;;;;56.75
+;;;Mettler Valentin;*;;;;;;;9.75
o;2;9.75;Zwyssig Raphael;***;6;56.75;4;8.75;2;-1.0;8.5
+;7;18.25;Held Simon (2002);;18;53.75;6;18.5;-1;0.25;10.0
+;4;28.25;Winzeler Dominik (2000);;10;55.75;3;28.5;-1;0.25;9.75
o;4;38.0;Krähenbühl Tobias;***;6;56.75;6;37.25;2;-0.75;8.75
+;9;46.75;Rentsch Christian;;12;55.25;9;46.75;0;0.0;10.0

6d;Zwyssig Raphael;***;;;;;;;;;56.75
-;;;Krähenbühl Tobias;***;;;;;;;8.75
+;4;8.75;Wey Nicola;*;6;56.75;2;9.75;-2;1.0;9.75
+;6;18.5;Wolfer Lukas;*;12;55.25;6;18.5;0;0.0;10.0
-;3;28.5;Holenstein Christian;*;10;55.75;3;28.5;0;0.0;8.75
+;6;37.25;Arztmann Beda;*;10;55.75;5;37.5;-1;0.25;9.75
+;8;47.0;Bühler Ernst;**;10;55.75;7;47.25;-1;0.25;9.75

6e;Krähenbühl Tobias;***;;;;;;;;;56.75
-;;;Zwyssig Raphael;***;;;;;;;8.75
+;4;8.75;Giger Urs;*;10;55.75;2;9.75;-2;1.0;10.0
+;5;18.75;Rüegg Fabian;*;11;55.5;6;18.5;1;-0.25;10.0
o;2;28.75;Bless Michael;***;1;60.0;1;30.0;-1;1.25;8.5
+;6;37.25;Wey Nicola;*;6;56.75;4;38.0;-2;0.75;9.75
+;8;47.0;Holenstein Christian;*;10;55.75;8;47.0;0;0.0;9.75

7a;Schwyn Adrian;*;;;;;;;;;56.5
+;;;Keller Manuel;*;;;;;;;10.0
o;1;10.0;Straub Robin;*;11;55.5;2;9.75;1;-0.25;8.5
+;6;18.5;Manser Dominik;;24;35.25;7;18.25;1;-0.25;10.0
+;3;28.5;Fässler Michael;;12;55.25;4;28.25;1;-0.25;9.75
o;3;38.25;Notz Beni;***;4;57.25;2;38.5;-1;0.25;8.5
+;9;46.75;Flütsch Marco;;12;55.25;10;46.5;1;-0.25;9.75

7b;Elmer Daniel;*;;;;;;;;;56.5
+;;;Schmid Patrick;*;;;;;;;9.75
o;2;9.75;Burkhalter Stefan;***;4;57.25;5;8.5;3;-1.25;8.5
+;7;18.25;Müller Christian (2001);;17;54.0;6;18.5;-1;0.25;10.0
+;4;28.25;Reichmuth Beat;;11;55.5;4;28.25;0;0.0;9.75
o;4;38.0;Keller Manuel;*;10;55.75;6;37.25;2;-0.75;8.5
+;10;46.5;Burkhard Tobias;;12;55.25;9;46.75;-1;0.25;10.0

7c;Schläpfer Markus;**;;;;;;;;;56.5
+;;;Rhyner Michael;**;;;;;;;9.75
-;2;9.75;Oertig Dominik;**;3;57.5;2;9.75;0;0.0;8.75
+;6;18.5;Kobler Janosch (2000);;13;55.0;3;19.5;-3;1.0;9.75
+;4;28.25;Landolt Reto;*;6;56.75;3;28.5;-1;0.25;9.75
-;4;38.0;Baumann Rico;*;4;57.25;2;38.5;-2;0.5;8.75
+;9;46.75;Lanter Christian;;11;55.5;8;47.0;-1;0.25;9.75

7d;Schläpfer Matthias;*;;;;;;;;;56.5
+;;;Jöhl Christian;*;;;;;;;9.75
+;2;9.75;Hobi Ignaz;;12;55.25;2;9.75;0;0.0;10.0
o;2;19.75;Notz Beni;***;4;57.25;4;19.0;2;-0.75;8.5
+;4;28.25;Schudel Simon;*;5;57.0;3;28.5;-1;0.25;9.75
o;4;38.0;Lehmann Philipp;;3;57.5;5;37.5;1;-0.5;8.75
+;9;46.75;Ochsner Reto (2000);;13;55.0;10;46.5;1;-0.25;9.75

8a;Oettli Marco;*;;;;;;;;;56.25
+;;;Arztmann Beda;*;;;;;;;9.75
o;2;9.75;Bernold Christian;**;5;57.0;2;9.75;0;0.0;8.5
+;7;18.25;Ritter Fabio (2001);;18;53.75;3;19.5;-4;1.25;10.0
+;4;28.25;Mathis Patrick;;23;36.75;4;28.25;0;0.0;9.75
o;4;38.0;Hersche Martin;***;5;57.0;6;37.25;2;-0.75;8.5
+;10;46.5;Kobler Janosch (2000);;13;55.0;10;46.5;0;0.0;9.75

8b;Mettler Valentin;*;;;;;;;;;56.25
o;;;Wey Nicola;*;;;;;;;8.5
-;5;8.5;Lehmann Philipp;;3;57.5;1;10.0;-4;1.5;9.0
+;9;17.5;Lötscher Abraham (2000);;16;54.25;6;18.5;-3;1.0;9.75
-;7;27.25;Arztmann Beda;*;10;55.75;3;28.5;-4;1.25;9.0
+;10;36.25;Schwyn Patrick;;14;54.75;6;37.25;-4;1.0;10.0
+;11;46.25;Kammermann Thomas;*;15;54.5;12;46.0;1;-0.25;10.0

8c;Dörig Erich;*;;;;;;;;;56.25
-;;;Schlegel Werner (2002);*;;;;;;;9.0
+;3;9.0;Bosshard Dario;;16;54.25;2;9.75;-1;0.75;10.0
o;4;19.0;Burkhalter Stefan;***;4;57.25;6;18.5;2;-0.5;8.5
-;6;27.5;Roth Michael;;12;55.25;5;28.0;-1;0.5;8.75
+;10;36.25;Bärtsch Fabian (2000);;11;55.5;7;37.0;-3;0.75;10.0
+;11;46.25;Buchmann Michael;;12;55.25;10;46.5;-1;0.25;10.0

9a;Schlegel Werner (2002);*;;;;;;;;;56.0
-;;;Dörig Erich;*;;;;;;;9.0
-;3;9.0;Nock Benjamin (2001);;14;54.75;2;9.75;-1;0.75;8.75
o;8;17.75;Burkhard Tobias;;12;55.25;6;18.5;-2;0.75;8.75
+;10;26.5;Brülisauer Dominik (2001);;16;54.25;8;27.0;-2;0.5;9.75
+;10;36.25;Galli Cedric (2001);;14;54.75;9;36.5;-1;0.25;9.75
+;12;46.0;Aerne Christian;;12;55.25;10;46.5;-2;0.5;10.0

9b;Ackermann Remo;*;;;;;;;;;56.0
+;;;Rüegg Fabian;*;;;;;;;10.0
o;1;10.0;Schneider Domenic;***;2;57.75;5;8.5;4;-1.5;8.5
+;6;18.5;Gerig Marcel;;24;35.25;7;18.25;1;-0.25;10.0
-;3;28.5;Keller Manuel;*;10;55.75;3;28.5;0;0.0;9.0
+;5;37.5;Roth David;;11;55.5;7;37.0;2;-0.5;10.0
o;6;47.5;Hersche Martin;***;5;57.0;7;47.25;1;-0.25;8.5

9c;Gmür Pirmin;**;;;;;;;;;56.0
-;;;Notz Beni;***;;;;;;;8.75
-;4;8.75;Lanter Christian;;11;55.5;1;10.0;-3;1.25;8.75
+;9;17.5;Schweingruber Thomas;;17;54.0;6;18.5;-3;1.0;9.75
o;7;27.25;Aerne Christian;;12;55.25;4;28.25;-3;1.0;8.75
+;11;36.0;Kiener Raphael (2000);;16;54.25;7;37.0;-4;1.0;10.0
+;12;46.0;Bühler Hannes;*;12;55.25;9;46.75;-3;0.75;10.0

10a;Keller Manuel;*;;;;;;;;;55.75
o;;;Schwyn Adrian;*;;;;;;;8.5
+;5;8.5;Bärtsch Fabian (2000);;11;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Bürgler Patrick;;10;55.75;2;19.75;-4;1.25;10.0
-;3;28.5;Ackermann Remo;*;9;56.0;3;28.5;0;0.0;8.75
+;6;37.25;Elmer Daniel;*;7;56.5;4;38.0;-2;0.75;10.0
o;7;47.25;Oertig Dominik;**;3;57.5;6;47.5;-1;0.25;8.5

10b;Bürgler Patrick;;;;;;;;;;55.75
+;;;Rickenmann Ramon (2001);;;;;;;;10.0
+;1;10.0;Giger Lorenz (2000);;17;54.0;2;9.75;1;-0.25;9.75
o;2;19.75;Keller Manuel;*;10;55.75;6;18.5;4;-1.25;8.75
o;3;28.5;Flütsch Marco;;12;55.25;5;28.0;2;-0.5;8.75
o;6;37.25;Fässler Michael;;12;55.25;8;36.75;2;-0.5;8.5
+;13;45.75;Wehrli Jan (2002);;17;54.0;15;45.25;2;-0.5;10.0

10c;Arztmann Beda;*;;;;;;;;;55.75
o;;;Oettli Marco;*;;;;;;;8.75
+;4;8.75;Inauen Aurel;;10;55.75;1;10.0;-3;1.25;9.75
+;6;18.5;Winzeler Simon (2000);;12;55.25;2;19.75;-4;1.25;10.0
-;3;28.5;Mettler Valentin;*;8;56.25;7;27.25;4;-1.25;9.0
o;5;37.5;Zwyssig Raphael;***;6;56.75;6;37.25;1;-0.25;8.5
+;12;46.0;Jörger Marc;*;15;54.5;12;46.0;0;0.0;9.75

10d;Bühler Ernst;**;;;;;;;;;55.75
o;;;Kuster Marcel;***;;;;;;;8.5
+;5;8.5;Reichmuth Beat;;11;55.5;1;10.0;-4;1.5;9.75
+;7;18.25;Bleiker Daniel;;12;55.25;6;18.5;-1;0.25;10.0
-;4;28.25;Schmid Patrick;*;11;55.5;5;28.0;1;-0.25;9.0
+;6;37.25;Schönenberger Philipp;;17;54.0;7;37.0;1;-0.25;10.0
o;7;47.25;Zwyssig Raphael;***;6;56.75;8;47.0;1;-0.25;8.5

10e;Junker Nik;;;;;;;;;;55.75
+;;;Gerig Marcel;;;;;;;;10.0
o;1;10.0;Rüegg Fabian;*;11;55.5;5;8.5;4;-1.5;8.5
+;6;18.5;Kirchmeier Christof;;19;53.5;7;18.25;1;-0.25;10.0
o;3;28.5;Bernold Christian;**;5;57.0;4;28.25;1;-0.25;8.5
-;7;37.0;Keller Dominic;;10;55.75;7;37.0;0;0.0;8.75
+;13;45.75;Müller Christian (2001);;17;54.0;14;45.5;1;-0.25;10.0

10f;Winzeler Dominik (2000);;;;;;;;;;55.75
+;;;Signer Ramon (2002);;;;;;;;10.0
+;1;10.0;Kirchmeier Christof;;19;53.5;2;9.75;1;-0.25;10.0
o;1;20.0;Kammermann Thomas;*;15;54.5;6;18.5;5;-1.5;8.5
o;3;28.5;Wey Nicola;*;6;56.75;4;28.25;1;-0.25;8.5
o;7;37.0;Nock Benjamin (2001);;14;54.75;10;36.25;3;-0.75;8.75
+;13;45.75;Giger Lorenz (2000);;17;54.0;15;45.25;2;-0.5;10.0

10g;Holenstein Christian;*;;;;;;;;;55.75
-;;;Landolt Reto;*;;;;;;;8.75
+;4;8.75;Bickel Roman;*;28;17.0;5;8.5;1;-0.25;10.0
+;5;18.75;Hodler Mathias;;11;55.5;6;18.5;1;-0.25;9.75
-;3;28.5;Zwyssig Raphael;***;6;56.75;3;28.5;0;0.0;8.75
+;6;37.25;Pianta Christian;;15;54.5;6;37.25;0;0.0;9.75
o;8;47.0;Krähenbühl Tobias;***;6;56.75;8;47.0;0;0.0;8.75

10h;Keller Dominic;;;;;;;;;;55.75
+;;;Frauenfelder Florian (2001);;;;;;;;10.0
o;1;10.0;Dändliker Shane;**;6;56.75;5;8.5;4;-1.5;8.5
+;6;18.5;Bosshard Dario;;16;54.25;6;18.5;0;0.0;10.0
o;3;28.5;Baumann Rico;*;4;57.25;3;28.5;0;0.0;8.5
-;7;37.0;Junker Nik;;10;55.75;7;37.0;0;0.0;8.75
+;13;45.75;Zumbach Michael;;14;54.75;11;46.25;-2;0.5;10.0

10i;Giger Urs;*;;;;;;;;;55.75
+;;;Bickel Roman;*;;;;;;;9.75
o;2;9.75;Krähenbühl Tobias;***;6;56.75;4;8.75;2;-1.0;8.75
+;6;18.5;Lanter Christian;;11;55.5;5;18.75;-1;0.25;10.0
+;3;28.5;Buchmann Michael;;12;55.25;4;28.25;1;-0.25;10.0
o;2;38.5;Schneider Domenic;***;2;57.75;4;38.0;2;-0.5;8.5
o;8;47.0;Baumann Rico;*;4;57.25;7;47.25;-1;0.25;8.75

10j;Inauen Aurel;;;;;;;;;;55.75
+;;;Müller Christian (2001);;;;;;;;10.0
o;1;10.0;Arztmann Beda;*;10;55.75;4;8.75;3;-1.25;8.5
o;6;18.5;Roth Michael;;12;55.25;7;18.25;1;-0.25;8.75
o;7;27.25;Baumann Simon;;24;35.25;13;25.5;6;-1.75;8.5
+;12;35.75;Schmidlin Tobias (2001);;15;54.5;12;35.75;0;0.0;10.0
+;13;45.75;Schönenberger Philipp;;17;54.0;14;45.5;1;-0.25;10.0

11a;Rüegg Fabian;*;;;;;;;;;55.5
o;;;Ackermann Remo;*;;;;;;;8.5
+;5;8.5;Junker Nik;;10;55.75;1;10.0;-4;1.5;10.0
o;6;18.5;Krähenbühl Tobias;***;6;56.75;5;18.75;-1;0.25;8.5
+;8;27.0;Ritter Fabio (2001);;18;53.75;5;28.0;-3;1.0;10.0
+;7;37.0;Wehrli Jan (2002);;17;54.0;8;36.75;1;-0.25;10.0
o;8;47.0;Schlegel Sandro;**;2;57.75;4;48.0;-4;1.0;8.5

11b;Schmid Patrick;*;;;;;;;;;55.5
o;;;Elmer Daniel;*;;;;;;;8.5
+;5;8.5;Schönenberger Philipp;;17;54.0;4;8.75;-1;0.25;9.75
+;7;18.25;Buchmann Michael;;12;55.25;3;19.5;-4;1.25;9.75
-;5;28.0;Bühler Ernst;**;10;55.75;4;28.25;-1;0.25;9.0
+;7;37.0;Schnyder Christian;;17;54.0;7;37.0;0;0.0;10.0
o;8;47.0;Schneider Domenic;***;2;57.75;5;47.75;-3;0.75;8.5

11c;Jörger Corsin;;;;;;;;;;55.5
+;;;Baumann Simon;;;;;;;;10.0
o;1;10.0;Rhyner Michael;**;4;57.25;5;8.5;4;-1.5;8.5
o;6;18.5;Reichmuth Beat;;11;55.5;6;18.5;0;0.0;8.75
o;7;27.25;Lehmann Philipp;;3;57.5;6;27.5;-1;0.25;8.5
+;12;35.75;Frauenfelder Florian (2001);;22;52.5;13;35.5;1;-0.25;10.0
+;13;45.75;Bosshard Dario;;16;54.25;13;45.75;0;0.0;9.75

11d;Roth David;;;;;;;;;;55.5
+;;;Burkhard Tobias;;;;;;;;10.0
o;1;10.0;Kammermann Thomas;*;15;54.5;4;8.75;3;-1.25;8.5
+;6;18.5;Wehrli Jan (2002);;17;54.0;6;18.5;0;0.0;10.0
o;3;28.5;Straub Robin;*;11;55.5;3;28.5;0;0.0;8.5
o;7;37.0;Ackermann Remo;*;9;56.0;5;37.5;-2;0.5;8.5
+;14;45.5;Schnyder Christian;;17;54.0;14;45.5;0;0.0;10.0

11e;Bärtsch Fabian (2000);;;;;;;;;;55.5
+;;;Brülisauer Dominik (2001);;;;;;;;10.0
o;1;10.0;Keller Manuel;*;10;55.75;5;8.5;4;-1.5;8.5
-;6;18.5;Nock Benjamin (2001);;14;54.75;6;18.5;0;0.0;8.75
+;7;27.25;Bosshard Dario;;16;54.25;7;27.25;0;0.0;9.75
o;7;37.0;Dörig Erich;*;8;56.25;10;36.25;3;-0.75;8.5
+;14;45.5;Held Simon (2002);;18;53.75;15;45.25;1;-0.25;10.0

11f;Lanter Christian;;;;;;;;;;55.5
+;;;Mathis Patrick;;;;;;;;10.0
-;1;10.0;Gmür Pirmin;**;9;56.0;4;8.75;3;-1.25;8.75
o;5;18.75;Giger Urs;*;10;55.75;6;18.5;1;-0.25;8.5
+;7;27.25;Koller Andreas;;15;54.5;7;27.25;0;0.0;10.0
+;6;37.25;Glauser Thomas;**;14;54.75;6;37.25;0;0.0;9.75
o;8;47.0;Schläpfer Markus;**;7;56.5;9;46.75;1;-0.25;8.5

11g;Straub Robin;*;;;;;;;;;55.5
+;;;Schudel Simon;*;;;;;;;9.75
+;2;9.75;Schwyn Adrian;*;7;56.5;1;10.0;-1;0.25;10.0
-;2;19.75;Kuster Marcel;***;5;57.0;2;19.75;0;0.0;8.75
+;3;28.5;Roth David;;11;55.5;3;28.5;0;0.0;9.75
-;3;38.25;Jörger Marc;*;15;54.5;6;37.25;3;-1.0;8.75
o;8;47.0;Lehmann Philipp;;3;57.5;6;47.5;-2;0.5;8.5

11h;Reichmuth Beat;;;;;;;;;;55.5
+;;;Arnold Christian;;;;;;;;10.0
o;1;10.0;Bühler Ernst;**;10;55.75;5;8.5;4;-1.5;8.5
+;6;18.5;Jörger Corsin;;11;55.5;6;18.5;0;0.0;9.75
o;4;28.25;Elmer Daniel;*;7;56.5;4;28.25;0;0.0;8.5
o;8;36.75;Zumbach Michael;;14;54.75;9;36.5;1;-0.25;8.75
+;14;45.5;Manser Adrian;;18;53.75;15;45.25;1;-0.25;10.0

11i;Hodler Mathias;;;;;;;;;;55.5
+;;;Schnyder Christian;;;;;;;;10.0
o;1;10.0;Buchmann Michael;;12;55.25;2;9.75;1;-0.25;8.5
o;6;18.5;Holenstein Christian;*;10;55.75;5;18.75;-1;0.25;8.5
-;8;27.0;Stähli Jan;;17;54.0;9;26.75;1;-0.25;8.75
+;12;35.75;Dobler Lorenz (2000);;20;53.0;12;35.75;0;0.0;9.75
+;14;45.5;Rust Emanuel;;20;53.0;17;44.5;3;-1.0;10.0

12a;Flütsch Marco;;;;;;;;;;55.25
o;;;Lehmann Philipp;;;;;;;;8.5
+;5;8.5;Stadelmann Patrick (2000);;12;55.25;4;8.75;-1;0.25;9.75
+;7;18.25;Kiener Raphael (2000);;16;54.25;6;18.5;-1;0.25;9.75
+;5;28.0;Bürgler Patrick;;10;55.75;3;28.5;-2;0.5;10.0
o;4;38.0;Oertig Dominik;**;3;57.5;5;37.5;1;-0.5;8.5
o;10;46.5;Schwyn Adrian;*;7;56.5;9;46.75;-1;0.25;8.75

12b;Buchmann Michael;;;;;;;;;;55.25
+;;;Bleiker Daniel;;;;;;;;9.75
+;2;9.75;Hodler Mathias;;11;55.5;1;10.0;-1;0.25;9.75
o;3;19.5;Schmid Patrick;*;11;55.5;7;18.25;4;-1.25;8.75
o;4;28.25;Giger Urs;*;10;55.75;3;28.5;-1;0.25;8.5
+;8;36.75;Imhof Gregor (2001);;19;53.5;9;36.5;1;-0.25;9.75
o;10;46.5;Dörig Erich;*;8;56.25;11;46.25;1;-0.25;8.75

12c;Roth Michael;;;;;;;;;;55.25
+;;;Ruppanner Philipp (2000);;;;;;;;9.75
o;2;9.75;Rentsch Christian;;12;55.25;2;9.75;0;0.0;8.5
+;7;18.25;Inauen Aurel;;10;55.75;6;18.5;-1;0.25;9.75
-;5;28.0;Dörig Erich;*;8;56.25;6;27.5;1;-0.5;8.75
o;8;36.75;Landolt Reto;*;6;56.75;7;37.0;-1;0.25;8.75
+;14;45.5;Stähli Jan;;17;54.0;15;45.25;1;-0.25;9.75

12d;Burkhard Tobias;;;;;;;;;;55.25
o;;;Roth David;;;;;;;;8.5
+;5;8.5;Oberhänsli Kilian;;26;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Schlegel Werner (2002);*;9;56.0;8;17.75;2;-0.75;9.75
o;4;28.25;Oertig Dominik;**;3;57.5;6;27.5;2;-0.75;8.5
+;8;36.75;Manser Adrian;;18;53.75;8;36.75;0;0.0;10.0
o;9;46.75;Elmer Daniel;*;7;56.5;10;46.5;1;-0.25;8.5

12e;Aerne Christian;;;;;;;;;;55.25
o;;;Kunz Daniel;*;;;;;;;8.5
+;5;8.5;Rotach Lars (2000);;15;54.5;4;8.75;-1;0.25;9.75
+;7;18.25;Hobi Ignaz;;12;55.25;7;18.25;0;0.0;10.0
+;4;28.25;Gmür Pirmin;**;9;56.0;7;27.25;3;-1.0;9.75
o;4;38.0;Bernold Christian;**;5;57.0;3;38.25;-1;0.25;8.5
o;10;46.5;Schlegel Werner (2002);*;9;56.0;12;46.0;2;-0.5;8.75

12f;Bleiker Daniel;;;;;;;;;;55.25
o;;;Buchmann Michael;;;;;;;;8.5
