3688-2021-08-15_21_Schwaegalp-Schwinget-ST

1a;Giger Samuel;***;;;;;;;;;58.75

3e;Stucki Christian;***;;;;;;;;;57.0
o;;;Giger Samuel;***;;;;;;;8.5
+;5;8.5;Wettstein Daniel;*;16;53.75;2;9.75;-3;1.25;10.0
+;5;18.5;Rychen Roger;***;2;57.25;3;19.0;-2;0.5;9.75
+;5;28.25;Leuppi Samir;***;3;57.0;3;28.75;-2;0.5;10.0
-;4;38.25;Gapany Benjamin;***;6;56.25;2;38.75;-2;0.5;8.75
+;6;47.0;Gottofrey Marc;**;9;55.5;6;47.0;0;0.0;10.0

4a;Aeschbacher Matthias;***;;;;;;;;;56.75
o;;;Schneider Domenic;***;;;;;;;8.75
+;4;8.75;Räbsamen Marcel;*;10;55.25;2;9.75;-2;1.0;9.75
+;5;18.5;Gmür Pirmin;**;14;54.25;5;18.5;0;0.0;10.0
o;4;28.5;Ott Damian;**;10;55.25;5;28.25;1;-0.25;8.5
+;9;37.0;Schlegel Sandro;**;15;54.0;10;36.75;1;-0.25;10.0
+;6;47.0;Collaud Romain;**;9;55.5;6;47.0;0;0.0;9.75

4b;Walther Adrian;**;;;;;;;;;56.75
+;;;Krähenbühl Tobias;***;;;;;;;10.0
-;1;10.0;Funk Nicola;*;13;54.5;2;9.75;1;-0.25;9.0
o;3;19.0;Dändliker Shane;**;4;56.75;3;19.0;0;0.0;8.5
+;7;27.5;Schnurrenberger Roman;**;15;54.0;9;27.0;2;-0.5;9.75
+;8;37.25;Schlegel Werner;**;8;55.75;8;37.25;0;0.0;9.75
+;6;47.0;Hofer Sven;**;11;55.0;8;46.5;2;-0.5;9.75

4c;Dändliker Shane;**;;;;;;;;;56.75
-;;;Duplan Steve;***;;;;;;;9.0
+;3;9.0;Gäumann Stefan;**;12;54.75;4;8.75;1;-0.25;10.0
+;3;19.0;Walther Adrian;**;4;56.75;3;19.0;0;0.0;10.0
-;2;29.0;Gnägi Florian;***;7;56.0;5;28.25;3;-0.75;8.75
-;6;37.75;Renfer Lukas;**;6;56.25;7;37.5;1;-0.25;9.0
+;7;46.75;Ramseier Fritz;**;10;55.25;7;46.75;0;0.0;10.0

4d;von Weissenfluh Kilian;***;;;;;;;;;56.75
-;;;Orlik Armon;***;;;;;;;9.0
+;3;9.0;Leuppi Karim;*;15;54.0;1;10.0;-2;1.0;9.75
+;4;18.75;Schläpfer Markus;**;13;54.5;4;18.75;0;0.0;9.75
o;4;28.5;Giger Samuel;***;1;58.75;1;29.25;-3;0.75;8.5
+;9;37.0;Dumelin David;**;9;55.5;9;37.0;0;0.0;9.75
+;7;46.75;Bollhalder Manuel;*;9;55.5;7;46.75;0;0.0;10.0

5a;Roschi Ruedi;**;;;;;;;;;56.5
+;;;Vollenweider Jeremy;**;;;;;;;9.75
o;2;9.75;Schneider Domenic;***;3;57.0;1;10.0;-1;0.25;8.5
+;6;18.25;Rotach Lars;*;21;35.25;6;18.25;0;0.0;9.75
+;6;28.0;Notz Beni;***;19;52.75;8;27.25;2;-0.75;10.0
+;5;38.0;Schneider Mario;**;15;54.0;9;37.0;4;-1.0;9.75
-;3;47.75;Gapany Benjamin;***;6;56.25;4;47.5;1;-0.25;8.75

6a;Gapany Benjamin;***;;;;;;;;;56.25
+;;;Notz Beni;***;;;;;;;10.0
-;1;10.0;Burkhalter Stefan;***;11;55.0;1;10.0;0;0.0;8.75
+;4;18.75;Riget Florian;*;14;54.25;4;18.75;0;0.0;10.0
+;3;28.75;Räbsamen Marcel;*;10;55.25;5;28.25;2;-0.5;10.0
-;2;38.75;Stucki Christian;***;3;57.0;4;38.25;2;-0.5;8.75
-;4;47.5;Roschi Ruedi;**;5;56.5;3;47.75;-1;0.25;8.75

6b;Orlik Armon;***;;;;;;;;;56.25
-;;;von Weissenfluh Kilian;***;;;;;;;9.0
+;3;9.0;Gottofrey Marc;**;9;55.5;1;10.0;-2;1.0;10.0
+;3;19.0;Duplan Steve;***;9;55.5;4;18.75;1;-0.25;10.0
o;2;29.0;Wiget Michael;***;3;57.0;5;28.25;3;-0.75;8.5
+;7;37.5;Ramseier Fritz;**;10;55.25;4;38.25;-3;0.75;9.75
-;5;47.25;Burger Matthieu;**;8;55.75;7;46.75;2;-0.5;9.0

6c;Renfer Lukas;**;;;;;;;;;56.25
o;;;Burkhalter Stefan;***;;;;;;;8.5
+;5;8.5;Kolb This (2003);*;13;54.5;2;9.75;-3;1.25;10.0
+;5;18.5;Kramer Dorian;**;12;54.75;4;18.75;-1;0.25;10.0
-;4;28.5;Schneider Mario;**;15;54.0;5;28.25;1;-0.25;9.0
-;7;37.5;Dändliker Shane;**;4;56.75;6;37.75;-1;0.25;9.0
+;8;46.5;Steffen Gustav;**;9;55.5;6;47.0;-2;0.5;9.75

7a;Gnägi Florian;***;;;;;;;;;56.0
+;;;Schneider Mario;**;;;;;;;9.75
-;2;9.75;Leuppi Samir;***;3;57.0;1;10.0;-1;0.25;8.75
+;5;18.5;Giger Urs;*;9;55.5;5;18.5;0;0.0;9.75
-;5;28.25;Dändliker Shane;**;4;56.75;2;29.0;-3;0.75;8.75
+;9;37.0;Kuster Thomas;*;11;55.0;10;36.75;1;-0.25;10.0
-;6;47.0;Burkhalter Stefan;***;11;55.0;9;46.25;3;-0.75;9.0

7b;Gasser Dominik;*;;;;;;;;;56.0
-;;;Poltera Andrin;*;;;;;;;9.0
+;3;9.0;Schlegel Werner;**;8;55.75;4;8.75;1;-0.25;10.0
+;3;19.0;Funk Nicola;*;13;54.5;5;18.5;2;-0.5;10.0
o;2;29.0;Schneider Domenic;***;3;57.0;5;28.25;3;-0.75;8.5
-;7;37.5;Gmür Pirmin;**;14;54.25;9;37.0;2;-0.5;8.75
+;9;46.25;Ott Damian;**;10;55.25;7;46.75;-2;0.5;9.75

7c;Gerber Christian;***;;;;;;;;;56.0
-;;;Gmür Pirmin;**;;;;;;;9.0
+;3;9.0;Geisser Lars;**;9;55.5;3;9.0;0;0.0;9.75
-;4;18.75;Dumelin David;**;9;55.5;5;18.5;1;-0.25;8.75
+;7;27.5;Oettli Marco;**;9;55.5;8;27.25;1;-0.25;9.75
-;8;37.25;Vollenweider Jeremy;**;11;55.0;9;37.0;1;-0.25;8.75
+;10;46.0;Schnurrenberger Roman;**;15;54.0;12;45.5;2;-0.5;10.0

8a;Wittwer Jan;**;;;;;;;;;55.75
-;;;Geisser Lars;**;;;;;;;8.75
-;4;8.75;Elmer Daniel;*;18;53.0;4;8.75;0;0.0;8.75
+;7;17.5;Wild Thomas;*;16;53.75;6;18.25;-1;0.75;9.75
o;8;27.25;Dumelin David;**;9;55.5;8;27.25;0;0.0;8.5
+;14;35.75;Fuster Sepp;*;20;52.5;15;35.5;1;-0.25;10.0
+;11;45.75;Krähenbühl Tobias;***;17;53.5;14;45.0;3;-0.75;10.0

8b;Schlegel Werner;**;;;;;;;;;55.75
o;;;Staudenmann Fabian;***;;;;;;;8.75
o;4;8.75;Gasser Dominik;*;7;56.0;3;9.0;-1;0.25;8.75
+;7;17.5;Iseli Marco;**;10;55.25;5;18.5;-2;1.0;10.0
+;7;27.5;Hofer Sven;**;11;55.0;6;28.0;-1;0.5;9.75
o;8;37.25;Walther Adrian;**;4;56.75;8;37.25;0;0.0;8.5
+;11;45.75;Biäsch Christian;*;14;54.25;11;45.75;0;0.0;10.0

8c;Burger Matthieu;**;;;;;;;;;55.75
o;;;Biäsch Christian;*;;;;;;;8.5
+;5;8.5;Kolb Pirmin;*;23;34.5;4;8.75;-1;0.25;9.75
+;6;18.25;Schlegel Sandro;**;15;54.0;6;18.25;0;0.0;10.0
o;5;28.25;Rychen Roger;***;2;57.25;7;27.5;2;-0.75;8.5
+;10;36.75;Rüegg Fabian;*;15;54.0;10;36.75;0;0.0;10.0
-;7;46.75;Orlik Armon;***;6;56.25;5;47.25;-2;0.5;9.0

9a;Poltera Andrin;*;;;;;;;;;55.5
-;;;Gasser Dominik;*;;;;;;;8.75
o;4;8.75;Kramer Lario;***;3;57.0;4;8.75;0;0.0;8.5
o;8;17.25;Wettstein Daniel;*;16;53.75;6;18.25;-2;1.0;8.5
+;14;25.75;Koller Fabian;*;24;34.0;15;25.5;1;-0.25;10.0
+;14;35.75;Leuppi Karim;*;15;54.0;15;35.5;1;-0.25;9.75
+;12;45.5;Borcard Johann;**;16;53.75;13;45.25;1;-0.25;10.0

9b;Dumelin David;**;;;;;;;;;55.5
-;;;Iseli Marco;**;;;;;;;8.75
+;4;8.75;Schnurrenberger Roman;**;15;54.0;4;8.75;0;0.0;9.75
-;5;18.5;Gerber Christian;***;7;56.0;4;18.75;-1;0.25;8.75
+;8;27.25;Wittwer Jan;**;8;55.75;8;27.25;0;0.0;9.75
o;9;37.0;von Weissenfluh Kilian;***;4;56.75;9;37.0;0;0.0;8.75
+;11;45.75;Riget Florian;*;14;54.25;11;45.75;0;0.0;9.75

9c;Duplan Steve;***;;;;;;;;;55.5
-;;;Dändliker Shane;**;;;;;;;9.0
+;3;9.0;Thoma Christoph;*;25;27.0;1;10.0;-2;1.0;9.75
o;4;18.75;Orlik Armon;***;6;56.25;3;19.0;-1;0.25;8.5
+;8;27.25;Kolb This (2003);*;13;54.5;8;27.25;0;0.0;9.75
+;9;37.0;Giger Urs;*;9;55.5;9;37.0;0;0.0;10.0
o;6;47.0;Staudenmann Fabian;***;2;57.25;5;47.25;-1;0.25;8.5

9d;Geisser Lars;**;;;;;;;;;55.5
-;;;Wittwer Jan;**;;;;;;;9.0
o;3;9.0;Gerber Christian;***;7;56.0;3;9.0;0;0.0;8.5
+;7;17.5;Dörig Erich;*;18;53.0;8;17.25;1;-0.25;9.75
o;8;27.25;Gäumann Stefan;**;12;54.75;8;27.25;0;0.0;8.5
+;14;35.75;Baeriswyl Christoph;**;13;54.5;13;36.0;-1;0.25;9.75
+;12;45.5;Schneider Mario;**;15;54.0;12;45.5;0;0.0;10.0

9e;Bollhalder Manuel;*;;;;;;;;;55.5
+;;;Kilchoer Alain;*;;;;;;;10.0
o;1;10.0;Inniger Thomas;***;10;55.25;4;8.75;3;-1.25;8.5
+;5;18.5;Matthey Mickaël;**;12;54.75;4;18.75;-1;0.25;9.75
o;5;28.25;Staudenmann Fabian;***;2;57.25;5;28.25;0;0.0;8.5
+;10;36.75;Wieland Janis;*;16;53.75;15;35.5;5;-1.25;10.0
o;7;46.75;von Weissenfluh Kilian;***;4;56.75;7;46.75;0;0.0;8.75

9f;Collaud Romain;**;;;;;;;;;55.5
o;;;Räbsamen Marcel;*;;;;;;;8.5
+;5;8.5;Dörig Erich;*;18;53.0;4;8.75;-1;0.25;10.0
o;5;18.5;Wiget Michael;***;3;57.0;5;18.5;0;0.0;8.5
+;9;27.0;Pianta Christian;*;19;52.75;8;27.25;-1;0.25;10.0
+;9;37.0;Schläpfer Markus;**;13;54.5;9;37.0;0;0.0;10.0
o;6;47.0;Aeschbacher Matthias;***;4;56.75;6;47.0;0;0.0;8.5

9g;Steffen Gustav;**;;;;;;;;;55.5
-;;;Good Marco;*;;;;;;;8.75
+;4;8.75;Schmid Patrick;*;28;17.25;4;8.75;0;0.0;10.0
-;4;18.75;Burkhalter Stefan;***;11;55.0;4;18.75;0;0.0;8.75
+;7;27.5;Riget Florian;*;14;54.25;8;27.25;1;-0.25;9.75
+;8;37.25;Tschachtli Sven;**;15;54.0;10;36.75;2;-0.5;9.75
o;6;47.0;Renfer Lukas;**;6;56.25;8;46.5;2;-0.5;8.5

9h;Giger Urs;*;;;;;;;;;55.5
o;;;Gottofrey Marc;**;;;;;;;8.5
+;5;8.5;Burkhard Tobias;*;21;35.25;5;8.5;0;0.0;10.0
o;5;18.5;Gnägi Florian;***;7;56.0;5;18.5;0;0.0;8.5
+;9;27.0;Schiesser Patrik;*;20;52.5;10;26.75;1;-0.25;10.0
o;9;37.0;Duplan Steve;***;9;55.5;9;37.0;0;0.0;8.5
+;12;45.5;Tschachtli Sven;**;15;54.0;13;45.25;1;-0.25;10.0

9i;Gottofrey Marc;**;;;;;;;;;55.5
+;;;Giger Urs;*;;;;;;;10.0
o;1;10.0;Orlik Armon;***;6;56.25;3;9.0;2;-1.0;8.5
+;5;18.5;Blaser Christian;**;17;53.5;6;18.25;1;-0.25;10.0
o;4;28.5;Ramseier Fritz;**;10;55.25;4;28.5;0;0.0;8.5
+;9;37.0;Wettstein Daniel;*;16;53.75;10;36.75;1;-0.25;10.0
o;6;47.0;Stucki Christian;***;3;57.0;6;47.0;0;0.0;8.5

9j;Oettli Marco;**;;;;;;;;;55.5
-;;;Gäumann Stefan;**;;;;;;;8.75
o;4;8.75;Schläpfer Markus;**;13;54.5;4;8.75;0;0.0;8.5
+;8;17.25;Elmer Daniel;*;18;53.0;7;17.5;-1;0.25;10.0
o;8;27.25;Gerber Christian;***;7;56.0;7;27.5;-1;0.25;8.5
+;14;35.75;Blaser Christian;**;17;53.5;11;36.5;-3;0.75;10.0
+;11;45.75;Gmür Pirmin;**;14;54.25;11;45.75;0;0.0;9.75

9k;Zaugg Lars;*;;;;;;;;;55.5
+;;;Riget Florian;*;;;;;;;9.75
o;2;9.75;Schneider Mario;**;15;54.0;5;8.5;3;-1.25;8.5
+;6;18.25;Schuler Martin;*;21;35.25;6;18.25;0;0.0;10.0
-;5;28.25;Burkhalter Stefan;***;11;55.0;7;27.5;2;-0.75;8.75
+;9;37.0;Räbsamen Marcel;*;10;55.25;10;36.75;1;-0.25;10.0
o;6;47.0;Rychen Roger;***;2;57.25;5;47.25;-1;0.25;8.5

10a;Iseli Marco;**;;;;;;;;;55.25
-;;;Dumelin David;**;;;;;;;8.75
+;4;8.75;Schuler Martin;*;21;35.25;2;9.75;-2;1.0;9.75
o;5;18.5;Schlegel Werner;**;8;55.75;7;17.5;2;-1.0;8.5
+;9;27.0;Rotach Lars;*;21;35.25;10;26.75;1;-0.25;10.0
+;9;37.0;Notz Beni;***;19;52.75;14;35.75;5;-1.25;9.75
o;7;46.75;Kramer Lario;***;3;57.0;6;47.0;-1;0.25;8.5

10b;Ramseier Fritz;**;;;;;;;;;55.25
+;;;Schlegel Sandro;**;;;;;;;10.0
o;1;10.0;Giger Samuel;***;1;58.75;2;9.75;1;-0.25;8.5
+;5;18.5;Leuppi Karim;*;15;54.0;5;18.5;0;0.0;10.0
+;4;28.5;Gottofrey Marc;**;9;55.5;4;28.5;0;0.0;9.75
o;4;38.25;Orlik Armon;***;6;56.25;7;37.5;3;-0.75;8.5
o;7;46.75;Dändliker Shane;**;4;56.75;7;46.75;0;0.0;8.5

10c;Berger Lorenz;**;;;;;;;;;55.25
-;;;Schnurrenberger Roman;**;;;;;;;8.75
o;4;8.75;Schlegel Sandro;**;15;54.0;5;8.5;1;-0.25;8.5
+;8;17.25;Kolb Pirmin;*;23;34.5;8;17.25;0;0.0;9.75
+;9;27.0;Funk Nicola;*;13;54.5;9;27.0;0;0.0;9.75
+;10;36.75;Krähenbühl Tobias;***;17;53.5;11;36.5;1;-0.25;10.0
o;7;46.75;Schneider Domenic;***;3;57.0;6;47.0;-1;0.25;8.5

10d;Ott Damian;**;;;;;;;;;55.25
-;;;Kramer Lario;***;;;;;;;8.75
+;4;8.75;Colò Kilian;**;18;53.0;1;10.0;-3;1.25;9.75
+;5;18.5;Borcard Johann;**;16;53.75;5;18.5;0;0.0;9.75
+;5;28.25;Aeschbacher Matthias;***;4;56.75;4;28.5;-1;0.25;10.0
o;4;38.25;Wiget Michael;***;3;57.0;4;38.25;0;0.0;8.5
o;7;46.75;Gasser Dominik;*;7;56.0;9;46.25;2;-0.5;8.5

10e;Balimann Sandro;*;;;;;;;;;55.25
-;;;Pianta Christian;*;;;;;;;8.75
o;4;8.75;Blaser Christian;**;17;53.5;5;8.5;1;-0.25;8.5
+;8;17.25;Fuster Sepp;*;20;52.5;8;17.25;0;0.0;9.75
o;9;27.0;Vollenweider Jeremy;**;11;55.0;9;27.0;0;0.0;8.5
+;15;35.5;Dörig Erich;*;18;53.0;14;35.75;-1;0.25;10.0
+;12;45.5;Notz Beni;***;19;52.75;16;44.25;4;-1.25;9.75

10f;Inniger Thomas;***;;;;;;;;;55.25
-;;;Rychen Roger;***;;;;;;;8.75
+;4;8.75;Bollhalder Manuel;*;9;55.5;1;10.0;-3;1.25;9.75
-;5;18.5;Vollenweider Jeremy;**;11;55.0;6;18.25;1;-0.25;8.75
+;8;27.25;Good Marco;*;12;54.75;7;27.5;-1;0.25;9.75
+;9;37.0;Wild Thomas;*;16;53.75;10;36.75;1;-0.25;9.75
o;7;46.75;Leuppi Samir;***;3;57.0;5;47.25;-2;0.5;8.5

10g;Räbsamen Marcel;*;;;;;;;;;55.25
+;;;Collaud Romain;**;;;;;;;9.75
o;2;9.75;Aeschbacher Matthias;***;4;56.75;4;8.75;2;-1.0;8.5
+;6;18.25;Colò Kilian;**;18;53.0;5;18.5;-1;0.25;10.0
o;5;28.25;Gapany Benjamin;***;6;56.25;3;28.75;-2;0.5;8.5
o;10;36.75;Zaugg Lars;*;9;55.5;9;37.0;-1;0.25;8.5
+;13;45.25;Schlegel Sandro;**;15;54.0;12;45.5;-1;0.25;10.0

11a;Kuster Thomas;*;;;;;;;;;55.0
o;;;Matthey Mickaël;**;;;;;;;8.5
+;5;8.5;Hayoz Quentin;*;22;34.75;4;8.75;-1;0.25;9.75
o;6;18.25;Hofer Sven;**;11;55.0;6;18.25;0;0.0;8.5
+;10;26.75;Burkhard Tobias;*;21;35.25;10;26.75;0;0.0;10.0
o;10;36.75;Gnägi Florian;***;7;56.0;9;37.0;-1;0.25;8.5
+;13;45.25;Wettstein Daniel;*;16;53.75;13;45.25;0;0.0;9.75

11b;Burkhalter Stefan;***;;;;;;;;;55.0
+;;;Renfer Lukas;**;;;;;;;10.0
-;1;10.0;Gapany Benjamin;***;6;56.25;1;10.0;0;0.0;8.75
-;4;18.75;Steffen Gustav;**;9;55.5;4;18.75;0;0.0;8.75
-;7;27.5;Zaugg Lars;*;9;55.5;5;28.25;-2;0.75;8.75
+;12;36.25;Borcard Johann;**;16;53.75;10;36.75;-2;0.5;10.0
-;9;46.25;Gnägi Florian;***;7;56.0;6;47.0;-3;0.75;8.75

11c;Hofer Sven;**;;;;;;;;;55.0
+;;;Rotach Lars;*;;;;;;;9.75
o;2;9.75;Rychen Roger;***;2;57.25;3;9.0;1;-0.75;8.5
+;6;18.25;Kuster Thomas;*;11;55.0;6;18.25;0;0.0;9.75
o;6;28.0;Schlegel Werner;**;8;55.75;7;27.5;1;-0.5;8.5
+;11;36.5;Kolb This (2003);*;13;54.5;13;36.0;2;-0.5;10.0
o;8;46.5;Walther Adrian;**;4;56.75;6;47.0;-2;0.5;8.5

11d;Vollenweider Jeremy;**;;;;;;;;;55.0
o;;;Roschi Ruedi;**;;;;;;;8.5
+;5;8.5;Baeriswyl Christoph;**;13;54.5;2;9.75;-3;1.25;9.75
-;6;18.25;Inniger Thomas;***;10;55.25;5;18.5;-1;0.25;8.75
+;9;27.0;Balimann Sandro;*;10;55.25;9;27.0;0;0.0;10.0
-;9;37.0;Gerber Christian;***;7;56.0;8;37.25;-1;0.25;9.0
-;10;46.0;Kramer Dorian;**;12;54.75;10;46.0;0;0.0;9.0

12a;Good Marco;*;;;;;;;;;54.75
-;;;Steffen Gustav;**;;;;;;;8.75
o;4;8.75;Borcard Johann;**;16;53.75;4;8.75;0;0.0;8.75
+;7;17.5;Schäppi Urs;*;27;26.0;7;17.5;0;0.0;10.0
o;7;27.5;Inniger Thomas;***;10;55.25;8;27.25;1;-0.25;8.5
+;13;36.0;Matthey Mickaël;**;12;54.75;13;36.0;0;0.0;9.75
-;11;45.75;Gäumann Stefan;**;12;54.75;11;45.75;0;0.0;9.0

12b;Kramer Dorian;**;;;;;;;;;54.75
+;;;Blaser Christian;**;;;;;;;9.75
-;2;9.75;Notz Beni;***;19;52.75;5;8.5;3;-1.25;9.0
o;4;18.75;Renfer Lukas;**;6;56.25;5;18.5;1;-0.25;8.75
+;7;27.5;Wettstein Daniel;*;16;53.75;5;28.25;-2;0.75;10.0
o;7;37.5;Leuppi Samir;***;3;57.0;8;37.25;1;-0.25;8.5
-;10;46.0;Vollenweider Jeremy;**;11;55.0;10;46.0;0;0.0;8.75

12c;Gäumann Stefan;**;;;;;;;;;54.75
-;;;Oettli Marco;**;;;;;;;8.75
o;4;8.75;Dändliker Shane;**;4;56.75;3;9.0;-1;0.25;8.5
+;8;17.25;Ulmann Fabian;*;26;26.75;6;18.25;-2;1.0;10.0
+;8;27.25;Geisser Lars;**;9;55.5;8;27.25;0;0.0;10.0
o;8;37.25;Rychen Roger;***;2;57.25;7;37.5;-1;0.25;8.5
-;11;45.75;Good Marco;*;12;54.75;11;45.75;0;0.0;9.0

12d;Matthey Mickaël;**;;;;;;;;;54.75
+;;;Kuster Thomas;*;;;;;;;9.75
-;2;9.75;Krähenbühl Tobias;***;17;53.5;5;8.5;3;-1.25;9.0
o;4;18.75;Bollhalder Manuel;*;9;55.5;5;18.5;1;-0.25;8.5
o;8;27.25;Blaser Christian;**;17;53.5;10;26.75;2;-0.5;8.75
+;13;36.0;Elmer Daniel;*;18;53.0;13;36.0;0;0.0;10.0
o;10;46.0;Good Marco;*;12;54.75;11;45.75;1;-0.25;8.5
+;13;54.5;Wild Thomas;*;16;53.75;16;53.75;3;-0.75;0.25

13a;Funk Nicola;*;;;;;;;;;54.5
+;;;Tschachtli Sven;**;;;;;;;9.75
-;2;9.75;Walther Adrian;**;4;56.75;1;10.0;-1;0.25;8.75
o;5;18.5;Gasser Dominik;*;7;56.0;3;19.0;-2;0.5;8.5
o;9;27.0;Berger Lorenz;**;10;55.25;9;27.0;0;0.0;8.5
-;15;35.5;Colò Kilian;**;18;53.0;15;35.5;0;0.0;9.0
+;15;44.5;Elmer Daniel;*;18;53.0;15;44.5;0;0.0;10.0

13b;Kolb This (2003);*;;;;;;;;;54.5
+;;;Wieland Janis;*;;;;;;;9.75
o;2;9.75;Renfer Lukas;**;6;56.25;5;8.5;3;-1.25;8.5
-;6;18.25;Biäsch Christian;*;14;54.25;6;18.25;0;0.0;9.0
o;8;27.25;Duplan Steve;***;9;55.5;8;27.25;0;0.0;8.75
o;13;36.0;Hofer Sven;**;11;55.0;11;36.5;-2;0.5;8.5
+;15;44.5;Pianta Christian;*;19;52.75;16;44.25;1;-0.25;10.0

13c;Baeriswyl Christoph;**;;;;;;;;;54.5
+;;;Hugelshofer Lars;*;;;;;;;9.75
o;2;9.75;Vollenweider Jeremy;**;11;55.0;5;8.5;3;-1.25;8.5
-;6;18.25;Krähenbühl Tobias;***;17;53.5;7;17.5;1;-0.75;9.0
-;8;27.25;Biäsch Christian;*;14;54.25;8;27.25;0;0.0;8.75
o;13;36.0;Geisser Lars;**;9;55.5;14;35.75;1;-0.25;8.5
+;15;44.5;Dörig Erich;*;18;53.0;15;44.5;0;0.0;10.0

13d;Schläpfer Markus;**;;;;;;;;;54.5
-;;;Borcard Johann;**;;;;;;;8.75
+;4;8.75;Oettli Marco;**;9;55.5;4;8.75;0;0.0;10.0
o;4;18.75;von Weissenfluh Kilian;***;4;56.75;4;18.75;0;0.0;8.5
+;8;27.25;Wieland Janis;*;16;53.75;9;27.0;1;-0.25;9.75
o;9;37.0;Collaud Romain;**;9;55.5;9;37.0;0;0.0;8.5
-;12;45.5;Rüegg Fabian;*;15;54.0;13;45.25;1;-0.25;9.0

14a;Mollet Ivan;**;;;;;;;;;54.25
o;;;Rüegg Fabian;*;;;;;;;8.5
-;5;8.5;Schäppi Urs;*;27;26.0;4;8.75;-1;0.25;8.75
+;8;17.25;Koller Fabian;*;24;34.0;9;17.0;1;-0.25;10.0
o;8;27.25;Krähenbühl Tobias;***;17;53.5;11;26.5;3;-0.75;8.5
o;14;35.75;Schnurrenberger Roman;**;15;54.0;15;35.5;1;-0.25;8.75
+;15;44.5;Blaser Christian;**;17;53.5;14;45.0;-1;0.5;9.75

14b;Gmür Pirmin;**;;;;;;;;;54.25
