3338-2018-06-24_Fete_Alpestre_Lac_Noir-Bergschwinget_Schwarzsee2-ST

1a;Stucki Christian;***;;;;;;;;;58.5
-;4;8.75;Inniger Thomas;*;7;56.5;1;10.0;-3;1.25;8.75
-;9;17.5;Wittwer Josias;*;15;54.5;5;18.75;-4;1.25;8.75
+;13;26.25;Fankhauser Kurt;**;16;54.25;10;27.25;-3;1.0;9.75
+;13;36.0;Rolli Martin;**;15;54.5;8;37.25;-5;1.25;10.0
+;12;46.0;Wüthrich Niklaus;**;12;55.25;9;46.75;-3;0.75;10.0

9c;Luginbühl Hanspeter;**;;;;;;;;;56.0
-;;;Dind Samuel;**;;;;;;;9.0
+;3;9.0;Lerch Jimmy;*;25;35.5;1;10.0;-2;1.0;10.0
+;4;19.0;Giroud Jonathan;**;26;35.25;7;18.25;3;-0.75;10.0
o;3;29.0;Sempach Thomas;***;6;56.75;4;28.75;1;-0.25;8.5
+;7;37.5;Hermann Oliver;*;13;55.0;10;36.75;3;-0.75;9.75
-;7;47.25;Alpiger Nick;***;14;54.75;12;46.0;5;-1.25;8.75

9d;Räbmatter Patrick;***;;;;;;;;;56.0
-;;;Sempach Thomas;***;;;;;;;8.75
+;4;8.75;Renfer Lukas;*;6;56.75;1;10.0;-3;1.25;9.75
-;6;18.5;Schwander Severin;*;9;56.0;1;20.0;-5;1.5;8.75
+;10;27.25;Thomet Adrian;**;14;54.75;8;27.75;-2;0.5;10.0
+;8;37.25;Siegenthaler Tobias;*;15;54.5;8;37.25;0;0.0;10.0
-;7;47.25;Moser Steven;**;13;55.0;11;46.25;4;-1.0;8.75

10a;Gapany Benjamin;**;;;;;;;;;55.75
o;;;Gnägi Florian;***;;;;;;;8.5
+;5;8.5;Grossen John;*;21;52.75;1;10.0;-4;1.5;10.0
+;6;18.5;Rolli Martin;**;15;54.5;5;18.75;-1;0.25;10.0
o;5;28.5;Schwander Severin;*;9;56.0;4;28.75;-1;0.25;8.5
+;9;37.0;Berger René;**;11;55.5;9;37.0;0;0.0;10.0
-;8;47.0;Erb Roger;**;11;55.5;9;46.75;1;-0.25;8.75

10b;Marti Stefan;**;;;;;;;;;55.75
+;;;Brun Samuel;**;;;;;;;10.0
+;1;10.0;Schmid Samuel;**;15;54.5;2;9.75;1;-0.25;9.75
o;2;19.75;Gnägi Florian;***;2;58.25;2;19.75;0;0.0;8.5
-;6;28.25;Stoffel Marc;**;15;54.5;9;27.5;3;-0.75;8.75
-;9;37.0;Brand Christian;**;13;55.0;11;36.5;2;-0.5;8.75
+;13;45.75;Hügli Kaj;**;16;54.25;14;45.5;1;-0.25;10.0

10c;Gehrig Philipp;**;;;;;;;;;55.75
+;;;Schöpfer Dio;**;;;;;;;9.75
-;2;9.75;Mösching Andy;*;14;54.75;4;8.75;2;-1.0;8.75
-;6;18.5;Hügli Kaj;**;16;54.25;7;18.25;1;-0.25;8.75
+;10;27.25;Emonet Frédéric;**;25;35.5;11;27.0;1;-0.25;10.0
o;8;37.25;Alpiger Nick;***;14;54.75;13;36.0;5;-1.25;8.5
+;13;45.75;Wittwer Jan;*;17;54.0;14;45.5;1;-0.25;10.0

11a;Erb Roger;**;;;;;;;;;55.5
o;;;Gerber Christian;**;;;;;;;8.5
o;5;8.5;Schwander Severin;*;9;56.0;1;10.0;-4;1.5;8.5
+;11;17.0;Schöpfer Dio;**;30;34.0;11;17.0;0;0.0;10.0
+;11;27.0;von Büren Stephan;*;20;53.0;10;27.25;-1;0.25;9.75
