4149-2018-05-06_Zuercher_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;59.25
+;4;28.5;Jörger Marc;*;18;54.0;5;28.25;1;-0.25;9.75
-;4;38.25;Schneider Mario;**;7;56.75;4;38.25;0;0.0;8.75
+;8;47.0;Notz Armin;*;14;55.0;10;46.5;2;-0.5;9.75

7b;Schneider Mario;**;;;;;;;;;56.75
+;;;Wickli Beat;**;;;;;;;9.75
+;2;9.75;Jörger Marc;*;18;54.0;1;10.0;-1;0.25;10.0
+;2;19.75;Wey Nicola;*;6;57.0;1;20.0;-1;0.25;10.0
o;1;29.75;Leuppi Samir;**;7;56.75;1;29.75;0;0.0;8.5
-;4;38.25;Geisser Lars;**;7;56.75;4;38.25;0;0.0;8.75
+;8;47.0;Gmür Pirmin;**;12;55.5;8;47.0;0;0.0;9.75

7c;Funk Nicola;;;;;;;;;;56.75
+;;;Rohner Lukas (2000);;;;;;;;9.75
+;2;9.75;Aeppli Lukas (2000);;30;35.25;2;9.75;0;0.0;10.0
o;2;19.75;Riget Tobias;**;6;57.0;6;18.5;4;-1.25;8.5
-;5;28.25;Leuppi Karim;*;12;55.5;10;27.0;5;-1.25;8.75
+;9;37.0;Stähli Jan;;18;54.0;9;37.0;0;0.0;9.75
+;9;46.75;Elmer Adrian;*;12;55.5;9;46.75;0;0.0;10.0

7d;Leuppi Samir;**;;;;;;;;;56.75
+;;;Peng Mike;***;;;;;;;9.75
+;2;9.75;Schäppi Urs;*;29;35.5;1;10.0;-1;0.25;10.0
+;2;19.75;Ammann Rico;*;11;55.75;2;19.75;0;0.0;10.0
+;1;29.75;Schneider Mario;**;7;56.75;1;29.75;0;0.0;9.75
o;1;39.5;Kid Simon;**;6;57.0;3;38.5;2;-1.0;8.75
o;3;48.25;Rhyner Michael;**;3;57.75;5;47.75;2;-0.5;8.5

7e;Krähenbühl Tobias;***;;;;;;;;;56.75
-;;;Schnurrenberger Roman;**;;;;;;;8.75
+;4;8.75;Ackermann Remo;*;12;55.5;2;9.75;-2;1.0;9.75
+;6;18.5;Gmür Pirmin;**;12;55.5;6;18.5;0;0.0;10.0
+;4;28.5;Battaglia Ursin;**;12;55.5;4;28.5;0;0.0;10.0
o;3;38.5;Gisler Bruno;***;5;57.25;3;38.5;0;0.0;8.5
+;8;47.0;Wickli Beat;**;13;55.25;9;46.75;1;-0.25;9.75

8a;Lehmann Philipp;;;;;;;;;;56.5
+;;;Manser Adrian;;;;;;;;10.0
+;1;10.0;Biser Niklaus;;30;35.25;2;9.75;1;-0.25;10.0
o;1;20.0;Bernold Michael;*;10;56.0;5;18.75;4;-1.25;8.5
o;4;28.5;Bickel Stefan;*;8;56.5;5;28.25;1;-0.25;8.5
+;9;37.0;Zehnder Mario;;18;54.0;9;37.0;0;0.0;9.75
+;9;46.75;Koller Andreas;;12;55.5;8;47.0;-1;0.25;9.75

8b;Bickel Stefan;*;;;;;;;;;56.5
o;;;Döbeli Andreas;*;;;;;;;8.5
+;5;8.5;Amstutz Janic (2002);;14;55.0;2;9.75;-3;1.25;10.0
+;6;18.5;Scherrer Pascal;;18;54.0;6;18.5;0;0.0;9.75
+;5;28.25;Lehmann Philipp;;8;56.5;4;28.5;-1;0.25;9.75
o;5;38.0;Nägeli Marco;**;6;57.0;8;37.25;3;-0.75;8.5
+;10;46.5;Buchmann Michael;;11;55.75;7;47.25;-3;0.75;10.0

8c;Junker Nik;;;;;;;;;;56.5
+;;;Jokl Samuel;;;;;;;;10.0
o;1;10.0;Gmür Pirmin;**;12;55.5;5;8.5;4;-1.5;8.5
+;6;18.5;Käppeli Remo (2001);;18;54.0;6;18.5;0;0.0;9.75
+;5;28.25;Elmer Daniel;*;13;55.25;10;27.0;5;-1.25;10.0
o;4;38.25;Eugster Ruedi;**;6;57.0;9;37.0;5;-1.25;8.5
+;9;46.75;Galli Cedric (2001);;13;55.25;9;46.75;0;0.0;9.75

8d;Strebel Joel;**;;;;;;;;;56.5
+;;;Gmür Pirmin;**;;;;;;;9.75
o;2;9.75;Orlik Armon;***;2;58.0;4;8.75;2;-1.0;8.5
+;7;18.25;Wildhaber Jannik;;16;54.5;4;19.0;-3;0.75;10.0
o;5;28.25;Kid Simon;**;6;57.0;4;28.5;-1;0.25;8.5
+;10;36.75;Baumann Rico;*;14;55.0;10;36.75;0;0.0;10.0
+;9;46.75;Oertig Simon;;13;55.25;9;46.75;0;0.0;9.75

8e;Heierli Pascal;;;;;;;;;;56.5
+;;;Neff Florian;;;;;;;;9.75
+;2;9.75;Fontana Michael;*;31;34.75;4;8.75;2;-1.0;9.75
o;3;19.5;Notz Armin;*;14;55.0;7;18.25;4;-1.25;8.5
o;6;28.0;Dumelin David;*;12;55.5;9;27.25;3;-0.75;8.5
+;11;36.5;Götti Samuel;;18;54.0;10;36.75;-1;0.25;10.0
+;10;46.5;Ammann Rico;*;11;55.75;8;47.0;-2;0.5;10.0

8f;Dändliker Shane;*;;;;;;;;;56.5
+;;;Baumann Rico;*;;;;;;;10.0
-;1;10.0;Peng Mike;***;22;53.0;5;8.5;4;-1.5;8.75
-;5;18.75;Oertig Simon;;13;55.25;2;19.75;-3;1.0;9.0
+;7;27.75;Räbsamen Marcel (2000);;8;56.5;5;28.25;-2;0.5;10.0
+;6;37.75;Notz Armin;*;14;55.0;5;38.0;-1;0.25;10.0
-;5;47.75;Odermatt Christoph;*;25;46.75;9;46.75;4;-1.0;8.75

8g;Lanter Christian;;;;;;;;;;56.5
-;;;Castelli Fabio;;;;;;;;9.0
+;3;9.0;Thoma Christoph;;12;55.5;5;8.5;2;-0.5;10.0
-;4;19.0;Nägeli Roman;*;10;56.0;7;18.25;3;-0.75;9.0
+;6;28.0;Knecht Remo (2002);;21;53.25;9;27.25;3;-0.75;10.0
o;5;38.0;Reber Marcel;*;14;55.0;10;36.75;5;-1.25;8.5
+;10;46.5;Schuler Martin;;13;55.25;10;46.5;0;0.0;10.0

8h;Räbsamen Marcel (2000);;;;;;;;;;56.5
+;;;Thoma Luca (2000);;;;;;;;9.75
o;2;9.75;Bickel Roman;*;8;56.5;5;8.5;3;-1.25;8.5
+;7;18.25;Birk Till (2002);;20;53.5;7;18.25;0;0.0;10.0
o;5;28.25;Dändliker Shane;*;8;56.5;7;27.75;2;-0.5;8.5
+;10;36.75;Sieber Marc (2000);;20;53.5;11;36.5;1;-0.25;10.0
+;9;46.75;Hari Michi;;12;55.5;9;46.75;0;0.0;9.75

8i;Reichmuth Beat;;;;;;;;;;56.5
+;;;Gaccioli Benjamin;;;;;;;;10.0
+;1;10.0;Frey Aaron;;30;35.25;2;9.75;1;-0.25;10.0
o;1;20.0;Kid Simon;**;6;57.0;5;18.75;4;-1.25;8.5
+;4;28.5;Elmer Adrian;*;12;55.5;5;28.25;1;-0.25;9.75
o;4;38.25;Schlegel Sandro;**;10;56.0;8;37.25;4;-1.0;8.5
+;9;46.75;Kiener Raphael (2000);;13;55.25;9;46.75;0;0.0;9.75

8j;Bickel Roman;*;;;;;;;;;56.5
o;;;Bernold Michael;*;;;;;;;8.5
+;5;8.5;Räbsamen Marcel (2000);;8;56.5;2;9.75;-3;1.25;9.75
+;7;18.25;Furrer Matthias;;29;35.5;6;18.5;-1;0.25;10.0
+;5;28.25;Schmidlin Tobias (2001);;24;47.0;4;28.5;-1;0.25;10.0
o;4;38.25;Gmür Pirmin;**;12;55.5;9;37.0;5;-1.25;8.5
+;9;46.75;Kammermann Thomas;*;12;55.5;8;47.0;-1;0.25;9.75

8k;Leuthard Reto;*;;;;;;;;;56.5
+;;;Keller Andreas;*;;;;;;;9.75
+;2;9.75;Kammermann Thomas;*;12;55.5;2;9.75;0;0.0;9.75
o;3;19.5;Giger Samuel;***;1;59.25;3;19.5;0;0.0;8.5
+;6;28.0;Schuler Martin;;13;55.25;5;28.25;-1;0.25;10.0
o;5;38.0;Schlegel Reto;*;10;56.0;7;37.5;2;-0.5;8.5
+;10;46.5;Battaglia Ursin;**;12;55.5;9;46.75;-1;0.25;10.0

8l;Wettstein Daniel;;;;;;;;;;56.5
+;;;Knup Stephan;;;;;;;;9.75
+;2;9.75;Lusti Remo (2001);;19;53.75;2;9.75;0;0.0;9.75
o;3;19.5;Reber Marcel;*;14;55.0;7;18.25;4;-1.25;8.5
-;6;28.0;Pfister Florian;*;12;55.5;6;28.0;0;0.0;8.75
+;10;36.75;Straub Paul;;18;54.0;14;35.75;4;-1.0;9.75
+;10;46.5;Bucher Roland;;13;55.25;9;46.75;-1;0.25;10.0

9a;Schnurrenberger Roman;**;;;;;;;;;56.25
-;;;Krähenbühl Tobias;***;;;;;;;8.75
+;4;8.75;Lozza Roman;;15;54.75;1;10.0;-3;1.25;10.0
+;5;18.75;Koch Reto;*;11;55.75;2;19.75;-3;1.0;10.0
+;3;28.75;Kunz Daniel;;6;57.0;1;29.75;-2;1.0;10.0
o;2;38.75;Giger Samuel;***;1;59.25;1;39.5;-1;0.75;8.5
-;7;47.25;Breitenmoser Manuel;;9;56.25;6;47.5;-1;0.25;9.0

9b;Breitenmoser Manuel;;;;;;;;;;56.25
+;;;Götti Samuel;;;;;;;;10.0
-;1;10.0;Krähenbühl Lukas;*;16;54.5;5;8.5;4;-1.5;8.75
-;5;18.75;Küng Marco;*;29;35.5;7;18.25;2;-0.5;8.75
+;8;27.5;Wittenwiler Roman;*;28;35.75;9;27.25;1;-0.25;10.0
