4985-2022-07-03_115_Innerschweizer_Schwing-_und_Aelplerfest-ST

1a;Wicki Joel;***;;;;;;;;;58.75
-;2;9.75;Wallimann Remo;*;17;54.25;5;8.5;3;-1.25;9.0
o;5;18.75;Heinzer Stefan;**;17;54.25;6;18.5;1;-0.25;8.75
o;9;27.5;Scherrer Patrick;*;13;55.25;11;27.0;2;-0.5;8.5
+;15;36.0;Duss Yvan;;18;54.0;16;35.75;1;-0.25;9.75
-;13;45.75;Schaller Noah;*;20;53.5;17;44.75;4;-1.0;8.75

16o;von Ah Benji;***;;;;;;;;;54.5
-;;;Bucher Christian;**;;;;;;;8.75
+;4;8.75;Achermann Christoph;*;16;54.5;1;10.0;-3;1.25;9.75
-;6;18.5;Felder Martin;*;6;57.0;5;18.75;-1;0.25;8.75
-;10;27.25;Heinzer Stefan;**;17;54.25;6;28.25;-4;1.0;8.75
-;15;36.0;Kramer Dorian;**;12;55.5;11;37.0;-4;1.0;8.75
+;17;44.75;Reichmuth Lukas;*;17;54.25;13;45.75;-4;1.0;9.75

17a;Reichmuth Lukas;*;;;;;;;;;54.25
-;;;Bättig Martin;*;;;;;;;8.75
o;4;8.75;Rohrer Ueli;**;7;56.75;4;8.75;0;0.0;8.5
+;11;17.25;Felder Ivan (2004);;17;54.25;10;17.5;-1;0.25;9.75
-;11;27.0;Rogenmoser Linus;;17;54.25;10;27.25;-1;0.25;8.75
+;16;35.75;Zumstein Patrick;;24;52.5;17;35.5;1;-0.25;10.0
o;13;45.75;von Ah Benji;***;16;54.5;17;44.75;4;-1.0;8.5

17b;Huber Alex;*;;;;;;;;;54.25
-;;;Lussi Marco;**;;;;;;;8.75
+;4;8.75;Schärli Reto;*;12;55.5;4;8.75;0;0.0;10.0
-;5;18.75;Stöckli Damian;*;12;55.5;5;18.75;0;0.0;8.75
o;9;27.5;Scherrer Fabian;*;11;55.75;10;27.25;1;-0.25;8.5
o;15;36.0;Thalmann Adrian;;11;55.75;16;35.75;1;-0.25;8.5
+;18;44.5;Hurschler Stefan (2006);;21;53.25;17;44.75;-1;0.25;9.75

17c;Felder Ivan (2004);;;;;;;;;;54.25
-;;;Schwegler Flavio (2004);;;;;;;;8.75
-;4;8.75;Betschart Daniel;;32;35.0;4;8.75;0;0.0;8.75
o;10;17.5;Reichmuth Lukas;*;17;54.25;11;17.25;1;-0.25;8.5
+;15;26.0;Beffa Mario;;34;34.5;15;26.0;0;0.0;9.75
-;16;35.75;Bühlmann Daniel;*;16;54.5;16;35.75;0;0.0;8.75
+;18;44.5;Marti Simon;*;19;53.75;16;45.0;-2;0.5;9.75

17d;Achermann Ivan (2005);;;;;;;;;;54.25
-;;;Arnold Kilian;;;;;;;;9.0
+;3;9.0;Gerber Jakob;;24;52.5;5;8.5;2;-0.5;9.75
o;5;18.75;Suter Pirmin;**;13;55.25;6;18.5;1;-0.25;8.5
o;10;27.25;Mehr Lars;*;18;54.0;11;27.0;1;-0.25;8.75
o;15;36.0;Steiner Severin;;14;55.0;14;36.25;-1;0.25;8.5
+;18;44.5;Schuler Daniel;*;22;53.0;19;44.25;1;-0.25;9.75

17e;Hegner Ueli;*;;;;;;;;;54.25
-;;;Felder Martin;*;;;;;;;8.75
+;4;8.75;Jund Matthias;*;17;54.25;3;9.0;-1;0.25;10.0
o;5;18.75;Schöpfer Ronny;**;9;56.25;6;18.5;1;-0.25;8.5
+;10;27.25;Briker Raphael (2006);;15;54.75;7;28.0;-3;0.75;9.75
o;11;37.0;Lemmenmeier Lukas;*;11;55.75;11;37.0;0;0.0;8.5
-;14;45.5;Ulrich Gregor;*;16;54.5;13;45.75;-1;0.25;8.75

17f;Appert Silvan;*;;;;;;;;;54.25
-;;;Zürcher Ueli;*;;;;;;;8.75
o;4;8.75;Schwyzer Samuel;*;8;56.5;3;9.0;-1;0.25;8.5
+;11;17.25;Würsch Lars;*;15;54.75;9;17.75;-2;0.5;10.0
o;10;27.25;Murer Andy;**;6;57.0;10;27.25;0;0.0;8.5
+;16;35.75;Wicki Patrick;;22;53.0;15;36.0;-1;0.25;9.75
-;14;45.5;Binggeli Stefan;**;16;54.5;13;45.75;-1;0.25;8.75

17g;Heinzer Lukas (2004);*;;;;;;;;;54.25
-;;;Marti Simon;*;;;;;;;9.0
o;3;9.0;Burch Jonas;**;9;56.25;4;8.75;1;-0.25;8.5
+;10;17.5;Doppmann Ueli;;32;35.0;9;17.75;-1;0.25;9.75
o;10;27.25;Egli Damian;**;6;57.0;9;27.5;-1;0.25;8.5
+;16;35.75;Ming Hannes;;21;53.25;15;36.0;-1;0.25;9.75
o;14;45.5;Thalmann Thomas;*;18;54.0;19;44.25;5;-1.25;8.75

17h;Vogel Marcel;*;;;;;;;;;54.25
-;;;Gisler Jonas;*;;;;;;;8.75
+;4;8.75;Kälin Roland;**;10;56.0;4;8.75;0;0.0;9.75
-;6;18.5;Betschart Patrick;*;29;35.75;6;18.5;0;0.0;8.75
-;10;27.25;Schuler Alex;*;19;53.75;9;27.5;-1;0.25;8.75
+;15;36.0;Bucher André;;27;45.25;12;36.75;-3;0.75;9.75
o;13;45.75;Lussi Marco;**;12;55.5;13;45.75;0;0.0;8.5

17i;Betschart Roger;;;;;;;;;;54.25
-;;;Walker Jan (2004);;;;;;;;8.75
+;4;8.75;Zimmermann Raffael;;22;53.0;4;8.75;0;0.0;9.75
+;6;18.5;Bieri Christian;**;34;34.5;11;17.25;5;-1.25;10.0
-;5;28.5;Lemmenmeier Lukas;*;11;55.75;6;28.25;1;-0.25;8.75
o;10;37.25;Felder Martin;*;6;57.0;10;37.25;0;0.0;8.5
o;13;45.75;Odermatt Andreas;**;12;55.5;14;45.5;1;-0.25;8.5

17j;Durrer Markus;*;;;;;;;;;54.25
+;;;Suter Samuel;*;;;;;;;9.75
o;2;9.75;Suppiger Werner;**;3;58.0;2;9.75;0;0.0;8.5
-;7;18.25;Schuler Alex;*;19;53.75;6;18.5;-1;0.25;9.0
o;10;27.25;Hirsiger Alexander;*;11;55.75;10;27.25;0;0.0;8.75
o;15;36.0;Lüthy Ralph;;13;55.25;12;36.75;-3;0.75;8.5
+;18;44.5;Wicki Patrick;;22;53.0;18;44.5;0;0.0;9.75

17k;von Rickenbach Pirmin;;;;;;;;;;54.25
-;;;Hürlimann Ueli;;;;;;;;8.75
+;4;8.75;Zumstein Patrick;;24;52.5;4;8.75;0;0.0;10.0
o;5;18.75;Wüest David;*;17;54.25;6;18.5;1;-0.25;8.5
o;10;27.25;Reichmuth Roland;*;12;55.5;11;27.0;1;-0.25;8.5
+;16;35.75;Chiodo Gian Paolo (2005);;18;54.0;17;35.5;1;-0.25;9.75
o;14;45.5;Zürcher Ueli;*;16;54.5;18;44.5;4;-1.0;8.75

17l;Jund Matthias;*;;;;;;;;;54.25
-;;;Arnold Raphael;**;;;;;;;9.0
o;3;9.0;Hegner Ueli;*;17;54.25;4;8.75;1;-0.25;8.75
+;9;17.75;Effinger Markus;*;15;54.75;7;18.25;-2;0.5;9.75
+;9;27.5;Steiner Severin;;14;55.0;9;27.5;0;0.0;9.75
o;10;37.25;Gapany Benjamin;***;13;55.25;12;36.75;2;-0.5;8.5
o;13;45.75;Hürlimann Mathias;*;11;55.75;13;45.75;0;0.0;8.5

17m;Elsener Marcel;*;;;;;;;;;54.25
o;;;Gerber Peter;*;;;;;;;8.5
-;5;8.5;Steiner Severin;;14;55.0;1;10.0;-4;1.5;8.75
+;11;17.25;Lüscher Elias (2006);;21;53.25;7;18.25;-4;1.0;9.75
-;11;27.0;Zürcher Ueli;*;16;54.5;10;27.25;-1;0.25;8.75
-;16;35.75;Schöpfer Marco;*;18;54.0;13;36.5;-3;0.75;8.75
+;18;44.5;Gwerder Beni;;24;52.5;20;44.0;2;-0.5;9.75

17n;Wallimann Remo;*;;;;;;;;;54.25
o;;;Suter Beat;*;;;;;;;8.5
-;5;8.5;Hürlimann Marco;;16;54.5;2;9.75;-3;1.25;9.0
+;10;17.5;Walker Jan (2004);;31;35.25;9;17.75;-1;0.25;10.0
o;9;27.5;Gwerder Dario;**;7;56.75;6;28.25;-3;0.75;8.5
+;15;36.0;Gabriel Simon;;21;53.25;15;36.0;0;0.0;9.75
o;13;45.75;Müller Luca (2004);*;13;55.25;15;45.25;2;-0.5;8.5

17o;Wüest David;*;;;;;;;;;54.25
o;;;Zemp Christian (2004);*;;;;;;;8.75
+;4;8.75;von Rickenbach Pirmin;;17;54.25;4;8.75;0;0.0;9.75
o;6;18.5;Suter Bruno;*;12;55.5;6;18.5;0;0.0;8.75
+;10;27.25;Gisler Jonas;*;17;54.25;10;27.25;0;0.0;9.75
o;11;37.0;Bernhard Lukas;**;9;56.25;14;36.25;3;-0.75;8.5
-;14;45.5;Wyrsch Marco;**;17;54.25;14;45.5;0;0.0;8.75

17p;Gisler Jonas;*;;;;;;;;;54.25
o;;;Ulrich Gregor;*;;;;;;;8.5
-;5;8.5;Vogel Marcel;*;17;54.25;4;8.75;-1;0.25;8.75
+;11;17.25;Gwerder Fabian;;33;34.75;9;17.75;-2;0.5;10.0
o;10;27.25;Wüest David;*;17;54.25;10;27.25;0;0.0;8.5
+;16;35.75;Schnellmann Alexander (2004);;18;54.0;17;35.5;1;-0.25;10.0
o;13;45.75;Inderbitzin Daniel;*;15;54.75;12;46.0;-1;0.25;8.5

17q;Rogenmoser Linus;;;;;;;;;;54.25
-;;;Bühler Ramon;;;;;;;;8.75
+;4;8.75;Arnold Kilian;;34;34.5;3;9.0;-1;0.25;10.0
o;5;18.75;Lussi Marco;**;12;55.5;6;18.5;1;-0.25;8.5
-;10;27.25;Reichmuth Lukas;*;17;54.25;11;27.0;1;-0.25;8.75
o;15;36.0;Fellmann Roman;**;16;54.5;16;35.75;1;-0.25;8.5
+;18;44.5;Berchtold Kilian;;22;53.0;19;44.25;1;-0.25;9.75

17r;Gander Martin;;;;;;;;;;54.25
+;;;Schnellmann Adrian (2004);;;;;;;;9.75
-;2;9.75;Moos Christoph;*;23;52.75;5;8.5;3;-1.25;8.75
o;6;18.5;Schürpf Bruno;*;25;46.25;6;18.5;0;0.0;8.5
+;11;27.0;Baumann Marco;;31;35.25;12;26.75;1;-0.25;9.75
o;12;36.75;Stöckli Damian;*;12;55.5;15;36.0;3;-0.75;8.75
-;14;45.5;Widmer Thomas;;16;54.5;13;45.75;-1;0.25;8.75

17s;von Wyl Kevin (2004);;;;;;;;;;54.25
-;;;Beffa Mario;;;;;;;;8.75
+;4;8.75;Schwegler Flavio (2004);;35;34.25;4;8.75;0;0.0;10.0
+;5;18.75;Ulrich Gregor;*;16;54.5;6;18.5;1;-0.25;10.0
o;4;28.75;Fankhauser Reto;**;7;56.75;6;28.25;2;-0.5;8.5
o;10;37.25;Egli Damian;**;6;57.0;9;37.5;-1;0.25;8.5
o;13;45.75;Schmid Simon;*;13;55.25;15;45.25;2;-0.5;8.5

17t;Heinzer Stefan;**;;;;;;;;;54.25
o;;;Rohrer Ivan;**;;;;;;;8.5
+;5;8.5;Schöpfer Marco;*;18;54.0;3;9.0;-2;0.5;10.0
+;6;18.5;Hürlimann Marco;;16;54.5;5;18.75;-1;0.25;9.75
-;6;28.25;von Ah Benji;***;16;54.5;10;27.25;4;-1.0;8.75
o;11;37.0;Röthlin Pascal;*;12;55.5;11;37.0;0;0.0;8.5
o;14;45.5;Schärli Reto;*;12;55.5;13;45.75;-1;0.25;8.75

17u;Bühler Ramon;;;;;;;;;;54.25
-;;;Rogenmoser Linus;;;;;;;;8.75
+;4;8.75;Zberg Peter (2004);;24;52.5;5;8.5;1;-0.25;9.75
o;6;18.5;Durrer Fabian;*;12;55.5;10;17.5;4;-1.0;8.5
+;11;27.0;Käslin Ruedi;*;31;35.25;12;26.75;1;-0.25;10.0
o;11;37.0;Waser Dominik;**;7;56.75;11;37.0;0;0.0;8.5
-;14;45.5;Mehr Lars;*;18;54.0;15;45.25;1;-0.25;8.75

17v;Wyrsch Marco;**;;;;;;;;;54.25
o;;;Suppiger Werner;**;;;;;;;8.5
o;5;8.5;Felder Martin;*;6;57.0;4;8.75;-1;0.25;8.5
+;12;17.0;Schnellmann Alexander (2004);;18;54.0;6;18.5;-6;1.5;10.0
+;11;27.0;Wiget Ueli;*;13;55.25;11;27.0;0;0.0;10.0
o;11;37.0;Suter Beat;*;12;55.5;11;37.0;0;0.0;8.5
-;14;45.5;Wüest David;*;17;54.25;14;45.5;0;0.0;8.75

18a;Schnellmann Alexander (2004);;;;;;;;;;54.0
o;;;Chiodo Gian Paolo (2005);;;;;;;;8.5
+;5;8.5;Ming Peter;;16;54.5;4;8.75;-1;0.25;10.0
o;6;18.5;Wyrsch Marco;**;17;54.25;12;17.0;6;-1.5;8.5
o;11;27.0;Gerber Peter;*;16;54.5;11;27.0;0;0.0;8.5
o;17;35.5;Gisler Jonas;*;17;54.25;16;35.75;-1;0.25;8.5
+;20;44.0;Zimmermann Raffael;;22;53.0;18;44.5;-2;0.5;10.0

18b;Chiodo Gian Paolo (2005);;;;;;;;;;54.0
+;;;Schnellmann Alexander (2004);;;;;;;;10.0
o;1;10.0;Müller Luca (2004);*;13;55.25;5;8.5;4;-1.5;8.5
o;6;18.5;Omlin Toni;*;28;37.0;6;18.5;0;0.0;8.5
o;11;27.0;Lüthy Ralph;;13;55.25;11;27.0;0;0.0;8.5
o;17;35.5;von Rickenbach Pirmin;;17;54.25;16;35.75;-1;0.25;8.5
+;20;44.0;Gerber Jakob;;24;52.5;20;44.0;0;0.0;10.0

18c;Schöpfer Marco;*;;;;;;;;;54.0
-;;;Schuler Daniel;*;;;;;;;9.0
o;3;9.0;Heinzer Stefan;**;17;54.25;5;8.5;2;-0.5;8.75
-;9;17.75;Durrer Lukas;;20;53.5;5;18.75;-4;1.0;9.0
+;12;26.75;Gerber Jakob;;24;52.5;11;27.0;-1;0.25;9.75
-;13;36.5;Elsener Marcel;*;17;54.25;16;35.75;3;-0.75;8.75
o;15;45.25;Wiget Ueli;*;13;55.25;15;45.25;0;0.0;8.75

18d;Thalmann Thomas;*;;;;;;;;;54.0
o;;;Röthlin Pascal;*;;;;;;;8.5
o;5;8.5;Grab Florian;;12;55.5;2;9.75;-3;1.25;8.5
+;12;17.0;Andermatt Reto;;19;53.75;7;18.25;-5;1.25;9.75
-;12;26.75;Gasser Dominik 1;;22;53.0;12;26.75;0;0.0;8.75
-;17;35.5;Moos Christoph;*;23;52.75;17;35.5;0;0.0;8.75
+;19;44.25;Heinzer Lukas (2004);*;17;54.25;14;45.5;-5;1.25;9.75

18e;Mehr Lars;*;;;;;;;;;54.0
+;;;Arnold Marcel;*;;;;;;;10.0
o;1;10.0;Waser Dominik;**;7;56.75;4;8.75;3;-1.25;8.5
o;6;18.5;Riebli Urs;*;11;55.75;7;18.25;1;-0.25;8.5
+;11;27.0;Achermann Ivan (2005);;17;54.25;10;27.25;-1;0.25;9.75
o;12;36.75;Scherer Niklaus;**;7;56.75;11;37.0;-1;0.25;8.5
-;15;45.25;Bühler Ramon;;17;54.25;14;45.5;-1;0.25;8.75

18f;Amrhyn Jonas;;;;;;;;;;54.0
-;;;Betschart Daniel;;;;;;;;8.75
+;4;8.75;Gasser Dominik 1;;22;53.0;5;8.5;1;-0.25;9.75
+;6;18.5;Barmettler Renato;*;29;35.75;11;17.25;5;-1.25;10.0
o;5;28.5;Zurfluh Michael;*;7;56.75;6;28.25;1;-0.25;8.5
o;11;37.0;Kessler Joel;*;10;56.0;10;37.25;-1;0.25;8.5
o;14;45.5;Suter Bruno;*;12;55.5;14;45.5;0;0.0;8.5

18g;Duss Yvan;;;;;;;;;;54.0
-;;;Gwerder Fabian;;;;;;;;8.75
+;4;8.75;Berchtold Kilian;;22;53.0;4;8.75;0;0.0;9.75
-;6;18.5;Inderbitzin Daniel;*;15;54.75;11;17.25;5;-1.25;8.75
o;10;27.25;Kramer Dorian;**;12;55.5;11;27.0;1;-0.25;8.5
o;16;35.75;Hürlimann Marco;;16;54.5;15;36.0;-1;0.25;8.5
+;19;44.25;Zumstein Patrick;;24;52.5;20;44.0;1;-0.25;9.75

19a;Schuler Alex;*;;;;;;;;;53.75
+;;;Lustenberger Josef;*;;;;;;;9.75
-;2;9.75;Bieri Marcel;***;11;55.75;4;8.75;2;-1.0;8.75
-;6;18.5;Durrer Markus;*;17;54.25;7;18.25;1;-0.25;9.0
-;9;27.5;Vogel Marcel;*;17;54.25;10;27.25;1;-0.25;9.0
o;13;36.5;Hurschler Tobias;;13;55.25;12;36.75;-1;0.25;8.5
-;16;45.0;Staub Ivan;;16;54.5;13;45.75;-3;0.75;8.75

19b;Marti Simon;*;;;;;;;;;53.75
-;;;Heinzer Lukas (2004);*;;;;;;;9.0
-;3;9.0;Durrer Nando;*;9;56.25;3;9.0;0;0.0;9.0
+;8;18.0;Heinzer Ronny;*;12;55.5;7;18.25;-1;0.25;10.0
o;7;28.0;Müllestein Mike;***;10;56.0;10;27.25;3;-0.75;8.5
o;13;36.5;Birchler Fabian;;13;55.25;11;37.0;-2;0.5;8.5
o;16;45.0;Felder Ivan (2004);;17;54.25;18;44.5;2;-0.5;8.75

19c;Niederberger Markus;*;;;;;;;;;53.75
o;;;Schaller Noah;*;;;;;;;8.5
o;5;8.5;Betschart Patrick;*;29;35.75;4;8.75;-1;0.25;8.5
+;12;17.0;Rogenmoser Ryan;;34;34.5;10;17.5;-2;0.5;10.0
o;11;27.0;Arnold Raphael;**;13;55.25;10;27.25;-1;0.25;8.5
+;17;35.5;Staffelbach Noah;;23;52.75;16;35.75;-1;0.25;9.75
o;15;45.25;Lustenberger Josef;*;15;54.75;16;45.0;1;-0.25;8.5

19d;Andermatt Reto;;;;;;;;;;53.75
o;;;Bucher André;;;;;;;;8.5
+;5;8.5;Hurschler Stefan (2006);;21;53.25;4;8.75;-1;0.25;9.75
o;7;18.25;Thalmann Thomas;*;18;54.0;12;17.0;5;-1.25;8.5
+;12;26.75;Rogenmoser Ryan;;34;34.5;15;26.0;3;-0.75;10.0
o;12;36.75;Troxler Jonas;*;15;54.75;13;36.5;1;-0.25;8.5
o;15;45.25;Herger Fabian;*;16;54.5;17;44.75;2;-0.5;8.5

19e;Bättig Martin;*;;;;;;;;;53.75
-;;;Reichmuth Lukas;*;;;;;;;8.75
o;4;8.75;Ettlin Stefan;**;5;57.25;5;8.5;1;-0.25;8.5
+;11;17.25;Schnellmann Adrian (2004);;35;34.25;11;17.25;0;0.0;10.0
-;10;27.25;Herger Fabian;*;16;54.5;10;27.25;0;0.0;9.0
o;14;36.25;Durrer Jonas;*;14;55.0;13;36.5;-1;0.25;8.5
-;17;44.75;Ming Hannes;;21;53.25;18;44.5;1;-0.25;9.0

20a;Durrer Lukas;;;;;;;;;;53.5
-;;;Birchler Fabian;;;;;;;;8.75
+;4;8.75;Arnold Sebastian;;36;34.0;5;8.5;1;-0.25;10.0
-;5;18.75;Schöpfer Marco;*;18;54.0;9;17.75;4;-1.0;9.0
o;8;27.75;Binggeli Stefan;**;16;54.5;15;26.0;7;-1.75;8.5
o;14;36.25;Schwyzer Samuel;*;8;56.5;13;36.5;-1;0.25;8.5
-;17;44.75;Gabriel Simon;;21;53.25;18;44.5;1;-0.25;8.75

20b;Schaller Noah;*;;;;;;;;;53.5
+;;;Niederberger Markus;*;;;;;;;9.75
o;2;9.75;Odermatt Andreas;**;12;55.5;4;8.75;2;-1.0;8.5
-;7;18.25;Herger Fabian;*;16;54.5;7;18.25;0;0.0;9.0
o;10;27.25;Kessler Joel;*;10;56.0;10;27.25;0;0.0;8.5
-;16;35.75;Hurschler Stefan (2006);;21;53.25;16;35.75;0;0.0;9.0
-;17;44.75;Hürlimann Marco;;16;54.5;13;45.75;-4;1.0;8.75

20c;Barmettler Severin (2005);;;;;;;;;;53.5
-;;;Doppmann Ueli;;;;;;;;9.0
-;3;9.0;Gwerder Fabian;;33;34.75;4;8.75;1;-0.25;9.0
o;8;18.0;Ottiger Lukas;*;31;35.25;12;17.0;4;-1.0;8.5
+;13;26.5;Lüscher Elias (2006);;21;53.25;12;26.75;-1;0.25;9.75
o;14;36.25;Zurfluh Roman;**;10;56.0;14;36.25;0;0.0;8.5
o;17;44.75;Wyss Christian;*;15;54.75;16;45.0;-1;0.25;8.75

21a;Ming Hannes;;;;;;;;;;53.25
-;;;Rogenmoser Ryan;;;;;;;;8.75
-;4;8.75;Beffa Mario;;34;34.5;4;8.75;0;0.0;8.75
o;10;17.5;Reichmuth Roland;*;12;55.5;12;17.0;2;-0.5;8.5
+;15;26.0;Schwegler Flavio (2004);;35;34.25;16;25.75;1;-0.25;10.0
o;15;36.0;Heinzer Lukas (2004);*;17;54.25;16;35.75;1;-0.25;8.5
-;18;44.5;Bättig Martin;*;19;53.75;17;44.75;-1;0.25;8.75

21b;Gabriel Simon;;;;;;;;;;53.25
-;;;Berchtold Kilian;;;;;;;;8.75
+;4;8.75;Doppmann Ueli;;32;35.0;3;9.0;-1;0.25;9.75
-;6;18.5;Gut Koni;*;14;55.0;7;18.25;1;-0.25;8.75
-;10;27.25;Arnold Marcel;*;22;53.0;11;27.0;1;-0.25;8.75
o;15;36.0;Wallimann Remo;*;17;54.25;15;36.0;0;0.0;8.5
-;18;44.5;Durrer Lukas;;20;53.5;17;44.75;-1;0.25;8.75

21c;Christen Silvan;;;;;;;;;;53.25
+;;;Mignola Lorenzo;;;;;;;;9.75
-;2;9.75;Walker Jan (2004);;31;35.25;4;8.75;2;-1.0;9.0
o;5;18.75;Wyss Christian;*;15;54.75;9;17.75;4;-1.0;8.5
-;10;27.25;Suter Samuel;*;22;53.0;12;26.75;2;-0.5;9.0
o;14;36.25;Kenel Franz-Toni;*;15;54.75;14;36.25;0;0.0;8.5
o;17;44.75;Briker Raphael (2006);;15;54.75;16;45.0;-1;0.25;8.5

21d;Hurschler Stefan (2006);;;;;;;;;;53.25
-;;;Staffelbach Noah;;;;;;;;8.75
o;4;8.75;Andermatt Reto;;19;53.75;5;8.5;1;-0.25;8.5
+;11;17.25;Schwegler Flavio (2004);;35;34.25;11;17.25;0;0.0;10.0
o;10;27.25;Lustenberger Josef;*;15;54.75;12;26.75;2;-0.5;8.5
-;16;35.75;Schaller Noah;*;20;53.5;16;35.75;0;0.0;9.0
o;17;44.75;Huber Alex;*;17;54.25;18;44.5;1;-0.25;8.5

21e;Lüscher Elias (2006);;;;;;;;;;53.25
o;;;Hürlimann Marco;;;;;;;;8.5
+;5;8.5;Crotta Robin;;36;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Elsener Marcel;*;17;54.25;11;17.25;4;-1.0;8.5
o;12;26.75;Barmettler Severin (2005);;20;53.5;13;26.5;1;-0.25;8.75
-;17;35.5;Gasser Dominik 1;;22;53.0;17;35.5;0;0.0;9.0
-;18;44.5;Suter Samuel;*;22;53.0;19;44.25;1;-0.25;8.75

22a;Schuler Daniel;*;;;;;;;;;53.0
-;;;Schöpfer Marco;*;;;;;;;8.75
o;4;8.75;Omlin Toni;*;28;37.0;5;8.5;1;-0.25;8.5
+;11;17.25;Hurschler Adrian;;35;34.25;11;17.25;0;0.0;10.0
o;10;27.25;Felder Martin;*;6;57.0;9;27.5;-1;0.25;8.5
o;16;35.75;Scherrer Patrick;*;13;55.25;12;36.75;-4;1.0;8.5
o;19;44.25;Achermann Ivan (2005);;17;54.25;18;44.5;-1;0.25;8.75

22b;Gasser Dominik 1;;;;;;;;;;53.0
o;;;Bieri Elias;;;;;;;;8.5
o;5;8.5;Amrhyn Jonas;;18;54.0;4;8.75;-1;0.25;8.5
+;12;17.0;Arnold Robin;;36;34.0;12;17.0;0;0.0;9.75
-;12;26.75;Thalmann Thomas;*;18;54.0;12;26.75;0;0.0;8.75
-;17;35.5;Lüscher Elias (2006);;21;53.25;17;35.5;0;0.0;9.0
o;18;44.5;Heinzer Ronny;*;12;55.5;14;45.5;-4;1.0;8.5

22c;Wicki Patrick;;;;;;;;;;53.0
o;;;Gwerder Beni;;;;;;;;8.75
-;4;8.75;Hurschler Adrian;;35;34.25;5;8.5;1;-0.25;8.75
+;10;17.5;Ming Peter;;16;54.5;10;17.5;0;0.0;10.0
o;9;27.5;Kälin Roland;**;10;56.0;11;27.0;2;-0.5;8.5
o;15;36.0;Appert Silvan;*;17;54.25;16;35.75;1;-0.25;8.5
o;18;44.5;Durrer Markus;*;17;54.25;18;44.5;0;0.0;8.5

22d;Suter Samuel;*;;;;;;;;;53.0
o;;;Durrer Markus;*;;;;;;;8.5
o;5;8.5;Zurfluh Roman;**;10;56.0;4;8.75;-1;0.25;8.5
+;12;17.0;Hurschler Tobias;;13;55.25;6;18.5;-6;1.5;9.75
-;12;26.75;Christen Silvan;;21;53.25;10;27.25;-2;0.5;9.0
o;16;35.75;Ulrich Gregor;*;16;54.5;15;36.0;-1;0.25;8.5
-;19;44.25;Lüscher Elias (2006);;21;53.25;18;44.5;-1;0.25;8.75

22e;Berchtold Kilian;;;;;;;;;;53.0
-;;;Gabriel Simon;;;;;;;;8.75
o;4;8.75;Duss Yvan;;18;54.0;4;8.75;0;0.0;8.75
o;10;17.5;Scherrer Fabian;*;11;55.75;11;17.25;1;-0.25;8.5
+;15;26.0;Schnellmann Adrian (2004);;35;34.25;16;25.75;1;-0.25;9.75
o;16;35.75;Schärli Reto;*;12;55.5;16;35.75;0;0.0;8.5
o;19;44.25;Rogenmoser Linus;;17;54.25;18;44.5;-1;0.25;8.75

22f;Arnold Marcel;*;;;;;;;;;53.0
o;;;Mehr Lars;*;;;;;;;8.75
+;4;8.75;Hürlimann Mathias;*;11;55.75;4;8.75;0;0.0;9.75
o;6;18.5;Stöckli Stefan;***;8;56.5;5;18.75;-1;0.25;8.5
-;11;27.0;Gabriel Simon;;21;53.25;10;27.25;-1;0.25;9.0
o;15;36.0;Ming Peter;;16;54.5;15;36.0;0;0.0;8.5
o;18;44.5;Thalmann Adrian;;11;55.75;13;45.75;-5;1.25;8.5

22g;Zimmermann Raffael;;;;;;;;;;53.0
-;;;Ming Peter;;;;;;;;8.75
o;4;8.75;Betschart Roger;;17;54.25;4;8.75;0;0.0;8.5
+;11;17.25;Arnold Kilian;;34;34.5;10;17.5;-1;0.25;10.0
-;10;27.25;Ulrich Gregor;*;16;54.5;11;27.0;1;-0.25;8.75
o;15;36.0;Hürlimann Mathias;*;11;55.75;15;36.0;0;0.0;8.5
o;18;44.5;Schnellmann Alexander (2004);;18;54.0;20;44.0;2;-0.5;8.5

23a;Staffelbach Noah;;;;;;;;;;52.75
-;;;Hurschler Stefan (2006);;;;;;;;8.75
+;4;8.75;Arnold Robin;;36;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Hürlimann Mathias;*;11;55.75;10;17.5;5;-1.25;8.5
o;10;27.25;Rohrer Ivan;**;13;55.25;11;27.0;1;-0.25;8.5
o;16;35.75;Niederberger Markus;*;19;53.75;17;35.5;1;-0.25;8.5
o;19;44.25;Steinauer Kevin (2004);;15;54.75;16;45.0;-3;0.75;8.5

23b;Moos Christoph;*;;;;;;;;;52.75
o;;;Käslin Ruedi;*;;;;;;;8.5
-;5;8.5;Gander Martin;;17;54.25;2;9.75;-3;1.25;8.75
o;11;17.25;Briker Raphael (2006);;15;54.75;7;18.25;-4;1.0;8.5
+;16;25.75;Forster Christian;;36;34.0;17;25.5;1;-0.25;9.75
-;17;35.5;Thalmann Thomas;*;18;54.0;17;35.5;0;0.0;8.75
o;19;44.25;Bühlmann Daniel;*;16;54.5;18;44.5;-1;0.25;8.5

24a;Zumstein Patrick;;;;;;;;;;52.5
-;;;Staub Ivan;;;;;;;;8.75
o;4;8.75;von Rickenbach Pirmin;;17;54.25;4;8.75;0;0.0;8.5
