4985-2022-07-03_115_Innerschweizer_Schwing-_und_Aelplerfest-ST

1a;Wicki Joel;***;;;;;;;;;58.75
8c;Burger Matthieu;**;;;;;;;;;56.5
o;;;Nötzli Reto;***;;;;;;;8.5
+;5;8.5;Bucher Roland;*;40;18.25;2;9.75;-3;1.25;10.0
-;6;18.5;Murer Andy;**;6;57.0;6;18.5;0;0.0;9.0
-;9;27.5;Kaufmann Reto;*;9;56.25;5;28.5;-4;1.0;9.0
+;13;36.5;Heinzer Ronny;*;12;55.5;11;37.0;-2;0.5;10.0
+;10;46.5;Arnold Raphael;**;13;55.25;9;46.75;-1;0.25;10.0

8d;Kurmann Toni;*;;;;;;;;;56.5
+;;;Waser Reto;*;;;;;;;10.0
o;1;10.0;Hermann Oliver;**;16;54.5;4;8.75;3;-1.25;8.5
+;6;18.5;Ulrich Michael;*;26;45.75;6;18.5;0;0.0;9.75
+;6;28.25;Grab Florian;;12;55.5;6;28.25;0;0.0;10.0
o;6;38.25;Müllestein Mike;***;10;56.0;10;37.25;4;-1.0;8.5
+;9;46.75;Rohrer Ivan;**;13;55.25;9;46.75;0;0.0;9.75

8e;Bucher Thomas;*;;;;;;;;;56.5
+;;;Riebli Urs;*;;;;;;;10.0
+;1;10.0;Lang Sven;**;39;18.5;2;9.75;1;-0.25;9.75
o;2;19.75;Suppiger Werner;**;3;58.0;2;19.75;0;0.0;8.5
+;6;28.25;Suter Bruno;*;12;55.5;5;28.5;-1;0.25;10.0
o;6;38.25;Stöckli Stefan;***;8;56.5;9;37.5;3;-0.75;8.5
+;9;46.75;Birchler Fabian;;13;55.25;9;46.75;0;0.0;9.75

8f;Schwyzer Samuel;*;;;;;;;;;56.5
-;;;Würsch Lars;*;;;;;;;9.0
+;3;9.0;Appert Silvan;*;17;54.25;4;8.75;1;-0.25;10.0
-;4;19.0;Hermann Oliver;**;16;54.5;6;18.5;2;-0.5;8.75
-;8;27.75;Kenel Franz-Toni;*;15;54.75;9;27.5;1;-0.25;8.75
+;13;36.5;Durrer Lukas;;20;53.5;14;36.25;1;-0.25;10.0
+;10;46.5;Strebel Joel;***;14;55.0;10;46.5;0;0.0;10.0

9a;Burch Jonas;**;;;;;;;;;56.25
o;;;Ulrich Marco;**;;;;;;;8.75
+;4;8.75;Heinzer Lukas (2004);*;17;54.25;3;9.0;-1;0.25;10.0
+;5;18.75;Grab Florian;;12;55.5;2;19.75;-3;1.0;10.0
o;4;28.75;Wicki Joel;***;1;58.75;4;28.75;0;0.0;8.5
-;10;37.25;Hirsiger Alexander;*;11;55.75;11;37.0;1;-0.25;9.0
+;11;46.25;Troxler Jonas;*;15;54.75;11;46.25;0;0.0;10.0

9b;Bernhard Lukas;**;;;;;;;;;56.25
+;;;Reichmuth Roland;*;;;;;;;10.0
o;1;10.0;Elmiger Andreas;*;9;56.25;2;9.75;1;-0.25;8.5
-;6;18.5;Scherer Niklaus;**;7;56.75;6;18.5;0;0.0;8.75
-;10;27.25;Widmer Thomas;;16;54.5;5;28.5;-5;1.25;9.0
+;14;36.25;Wüest David;*;17;54.25;11;37.0;-3;0.75;10.0
+;11;46.25;Bieri Elias;;15;54.75;11;46.25;0;0.0;10.0

9c;Elmiger Andreas;*;;;;;;;;;56.25
+;;;Ulrich Michael;*;;;;;;;9.75
+;2;9.75;Bernhard Lukas;**;9;56.25;1;10.0;-1;0.25;9.75
o;3;19.5;Nötzli Reto;***;4;57.75;3;19.5;0;0.0;8.5
o;7;28.0;Züger Benjamin (2004);;10;56.0;5;28.5;-2;0.5;8.5
+;13;36.5;Herger Fabian;*;16;54.5;14;36.25;1;-0.25;9.75
+;11;46.25;Kenel Franz-Toni;*;15;54.75;11;46.25;0;0.0;10.0

9d;Schöpfer Ronny;**;;;;;;;;;56.25
o;;;Suter Pirmin;**;;;;;;;8.5
+;5;8.5;Betschart Marcel;*;13;55.25;2;9.75;-3;1.25;10.0
+;6;18.5;Hegner Ueli;*;17;54.25;5;18.75;-1;0.25;10.0
-;5;28.5;Schürpf Bruno;*;25;46.25;6;28.25;1;-0.25;9.0
+;9;37.5;Zemp Christian (2004);*;15;54.75;10;37.25;1;-0.25;10.0
-;6;47.5;Müllestein Mike;***;10;56.0;7;47.25;1;-0.25;8.75

9e;Arnold Stefan;**;;;;;;;;;56.25
+;;;Kramer Dorian;**;;;;;;;9.75
o;2;9.75;Bless Michael;***;31;35.25;5;8.5;3;-1.25;8.5
+;7;18.25;Hürlimann Ueli;;16;54.5;4;19.0;-3;0.75;10.0
+;6;28.25;Wyss Christian;*;15;54.75;8;27.75;2;-0.5;9.75
o;7;38.0;Suppiger Werner;**;3;58.0;6;38.25;-1;0.25;8.5
+;10;46.5;Thierstein Marco;*;14;55.0;10;46.5;0;0.0;9.75

9f;Durrer Nando;*;;;;;;;;;56.25
-;;;Wandeler Roman;*;;;;;;;9.0
-;3;9.0;Marti Simon;*;19;53.75;3;9.0;0;0.0;9.0
+;8;18.0;Meier Daniel;*;31;35.25;7;18.25;-1;0.25;9.75
-;8;27.75;Zurfluh Roman;**;10;56.0;9;27.5;1;-0.25;8.75
+;13;36.5;Briker Raphael (2006);;15;54.75;13;36.5;0;0.0;10.0
+;10;46.5;Gapany Benjamin;***;13;55.25;10;46.5;0;0.0;9.75

9g;Wandeler Roman;*;;;;;;;;;56.25
-;;;Durrer Nando;*;;;;;;;9.0
+;3;9.0;Effinger Markus;*;15;54.75;2;9.75;-1;0.75;10.0
+;4;19.0;Gapany Benjamin;***;13;55.25;6;18.5;2;-0.5;10.0
o;3;29.0;Bucher Christian;**;6;57.0;5;28.5;2;-0.5;8.75
o;8;37.75;Odermatt Christian;**;7;56.75;7;38.0;-1;0.25;8.75
+;10;46.5;Odermatt Remo;*;14;55.0;10;46.5;0;0.0;9.75

9h;Kaufmann Reto;*;;;;;;;;;56.25
+;;;Durrer Fabian;*;;;;;;;10.0
o;1;10.0;Strebel Joel;***;14;55.0;5;8.5;4;-1.5;8.5
+;6;18.5;Lüthy Ralph;;13;55.25;6;18.5;0;0.0;10.0
-;5;28.5;Burger Matthieu;**;8;56.5;9;27.5;4;-1.0;8.75
-;10;37.25;Suter Pirmin;**;13;55.25;10;37.25;0;0.0;9.0
+;11;46.25;Ulrich Marco;**;7;56.75;3;48.25;-8;2.0;10.0

10a;Zurfluh Roman;**;;;;;;;;;56.0
-;;;Kälin Roland;**;;;;;;;8.75
+;4;8.75;Suter Samuel;*;22;53.0;5;8.5;1;-0.25;10.0
-;5;18.75;Steiner Severin;;14;55.0;5;18.75;0;0.0;8.75
-;9;27.5;Durrer Nando;*;9;56.25;8;27.75;-1;0.25;8.75
+;14;36.25;Barmettler Severin (2005);;20;53.5;14;36.25;0;0.0;9.75
+;12;46.0;Effinger Markus;*;15;54.75;11;46.25;-1;0.25;10.0

10b;Kessler Joel;*;;;;;;;;;56.0
o;;;Doppmann Urs;**;;;;;;;8.5
+;5;8.5;Zürcher Ueli;*;16;54.5;4;8.75;-1;0.25;9.75
-;7;18.25;Kramer Dorian;**;12;55.5;7;18.25;0;0.0;9.0
+;10;27.25;Schaller Noah;*;20;53.5;10;27.25;0;0.0;10.0
+;10;37.25;Amrhyn Jonas;;18;54.0;11;37.0;1;-0.25;10.0
o;7;47.25;Felder Martin;*;6;57.0;7;47.25;0;0.0;8.75

10c;Züger Benjamin (2004);;;;;;;;;;56.0
+;;;Hurschler Adrian;;;;;;;;10.0
o;1;10.0;Riebli Urs;*;11;55.75;5;8.5;4;-1.5;8.5
+;6;18.5;Achermann Christoph;*;16;54.5;6;18.5;0;0.0;10.0
+;5;28.5;Elmiger Andreas;*;9;56.25;7;28.0;2;-0.5;10.0
o;5;38.5;Müller Michael;**;5;57.25;9;37.5;4;-1.0;8.75
o;7;47.25;Murer Andy;**;6;57.0;8;47.0;1;-0.25;8.75

10d;Kälin Roland;**;;;;;;;;;56.0
-;;;Zurfluh Roman;**;;;;;;;8.75
o;4;8.75;Vogel Marcel;*;17;54.25;4;8.75;0;0.0;8.5
+;11;17.25;Schärli Reto;*;12;55.5;11;17.25;0;0.0;9.75
+;11;27.0;Wicki Patrick;;22;53.0;9;27.5;-2;0.5;10.0
+;11;37.0;Scherrer Fabian;*;11;55.75;11;37.0;0;0.0;10.0
-;8;47.0;Stöckli Stefan;***;8;56.5;6;47.5;-2;0.5;9.0

10e;Müllestein Mike;***;;;;;;;;;56.0
-;;;Gapany Benjamin;***;;;;;;;8.75
+;4;8.75;Scherer Niklaus;**;7;56.75;1;10.0;-3;1.25;10.0
o;5;18.75;Doppmann Urs;**;7;56.75;2;19.75;-3;1.0;8.5
+;10;27.25;Marti Simon;*;19;53.75;7;28.0;-3;0.75;10.0
+;10;37.25;Kurmann Toni;*;8;56.5;6;38.25;-4;1.0;10.0
-;7;47.25;Schöpfer Ronny;**;9;56.25;6;47.5;-1;0.25;8.75

11a;Lemmenmeier Lukas;*;;;;;;;;;55.75
+;;;Omlin Toni;*;;;;;;;10.0
o;1;10.0;Gapany Benjamin;***;13;55.25;4;8.75;3;-1.25;8.5
+;6;18.5;Röthlin Pascal;*;12;55.5;6;18.5;0;0.0;9.75
-;6;28.25;Betschart Roger;;17;54.25;5;28.5;-1;0.25;8.75
+;11;37.0;Hegner Ueli;*;17;54.25;11;37.0;0;0.0;10.0
o;8;47.0;Zurfluh Michael;*;7;56.75;8;47.0;0;0.0;8.75

11b;Hirsiger Alexander;*;;;;;;;;;55.75
o;;;Bucher Roland;*;;;;;;;8.5
+;5;8.5;Lüthy Ralph;;13;55.25;1;10.0;-4;1.5;10.0
-;6;18.5;Suter Beat;*;12;55.5;6;18.5;0;0.0;8.75
+;10;27.25;Durrer Markus;*;17;54.25;10;27.25;0;0.0;9.75
-;11;37.0;Burch Jonas;**;9;56.25;10;37.25;-1;0.25;8.75
+;13;45.75;Hermann Oliver;**;16;54.5;13;45.75;0;0.0;10.0

11c;Thalmann Adrian;;;;;;;;;;55.75
o;;;Grab Florian;;;;;;;;8.5
o;5;8.5;Hürlimann Ueli;;16;54.5;3;9.0;-2;0.5;8.5
+;12;17.0;Crotta Robin;;36;34.0;12;17.0;0;0.0;10.0
-;11;27.0;Bieri Christian;**;34;34.5;16;25.75;5;-1.25;8.75
+;16;35.75;Huber Alex;*;17;54.25;15;36.0;-1;0.25;10.0
+;13;45.75;Arnold Marcel;*;22;53.0;18;44.5;5;-1.25;10.0

11d;Hürlimann Mathias;*;;;;;;;;;55.75
-;;;Kenel Franz-Toni;*;;;;;;;8.75
o;4;8.75;Arnold Marcel;*;22;53.0;4;8.75;0;0.0;8.75
+;10;17.5;Staffelbach Noah;;23;52.75;5;18.75;-5;1.25;10.0
o;9;27.5;Müller Michael;**;5;57.25;9;27.5;0;0.0;8.5
+;15;36.0;Zimmermann Raffael;;22;53.0;15;36.0;0;0.0;9.75
+;13;45.75;Jund Matthias;*;17;54.25;13;45.75;0;0.0;10.0

11e;Bieri Marcel;***;;;;;;;;;55.75
-;;;Hermann Oliver;**;;;;;;;8.75
-;4;8.75;Schuler Alex;*;19;53.75;2;9.75;-2;1.0;8.75
+;10;17.5;Scherrer Patrick;*;13;55.25;6;18.5;-4;1.0;10.0
+;9;27.5;Troxler Jonas;*;15;54.75;7;28.0;-2;0.5;9.75
-;10;37.25;Zurfluh Michael;*;7;56.75;6;38.25;-4;1.0;8.75
+;12;46.0;Würsch Lars;*;15;54.75;11;46.25;-1;0.25;9.75

11f;Bühler Kilian;*;;;;;;;;;55.75
o;;;Effinger Markus;*;;;;;;;8.75
+;4;8.75;Reichmuth Roland;*;12;55.5;5;8.5;1;-0.25;10.0
-;5;18.75;Imhof Andi;***;37;27.25;6;18.5;1;-0.25;8.75
+;9;27.5;Durrer Jonas;*;14;55.0;8;27.75;-1;0.25;9.75
+;10;37.25;Widmer Thomas;;16;54.5;10;37.25;0;0.0;10.0
o;7;47.25;Rohrer Ueli;**;7;56.75;8;47.0;1;-0.25;8.5

11g;Riebli Urs;*;;;;;;;;;55.75
o;;;Bucher Thomas;*;;;;;;;8.5
+;5;8.5;Züger Benjamin (2004);;10;56.0;1;10.0;-4;1.5;9.75
+;7;18.25;Mehr Lars;*;18;54.0;6;18.5;-1;0.25;9.75
+;7;28.0;Bless Michael;***;31;35.25;12;26.75;5;-1.25;9.75
-;8;37.75;Schürpf Bruno;*;25;46.25;10;37.25;2;-0.5;9.0
-;9;46.75;Suter Pirmin;**;13;55.25;11;46.25;2;-0.5;9.0

11h;Scherrer Fabian;*;;;;;;;;;55.75
-;;;Durrer Jonas;*;;;;;;;8.75
o;4;8.75;Heinzer Ronny;*;12;55.5;5;8.5;1;-0.25;8.5
+;11;17.25;Berchtold Kilian;;22;53.0;10;17.5;-1;0.25;10.0
+;10;27.25;Huber Alex;*;17;54.25;9;27.5;-1;0.25;9.75
o;11;37.0;Kälin Roland;**;10;56.0;11;37.0;0;0.0;8.75
+;13;45.75;Ming Peter;;16;54.5;12;46.0;-1;0.25;10.0

12a;Lussi Marco;**;;;;;;;;;55.5
-;;;Huber Alex;*;;;;;;;8.75
+;4;8.75;Schilter Daniel;*;36;34.0;5;8.5;1;-0.25;9.75
+;6;18.5;Rogenmoser Linus;;17;54.25;5;18.75;-1;0.25;9.75
-;6;28.25;Hermann Oliver;**;16;54.5;10;27.25;4;-1.0;8.75
-;11;37.0;Achermann Christoph;*;16;54.5;11;37.0;0;0.0;8.75
+;13;45.75;Vogel Marcel;*;17;54.25;13;45.75;0;0.0;9.75

12b;Suter Bruno;*;;;;;;;;;55.5
+;;;Scherrer Patrick;*;;;;;;;9.75
-;2;9.75;Müller Michael;**;5;57.25;2;9.75;0;0.0;8.75
+;6;18.5;Wüest David;*;17;54.25;6;18.5;0;0.0;10.0
o;5;28.5;Bucher Thomas;*;8;56.5;6;28.25;1;-0.25;8.5
o;11;37.0;Rohrer Ivan;**;13;55.25;12;36.75;1;-0.25;8.5
+;14;45.5;Amrhyn Jonas;;18;54.0;14;45.5;0;0.0;10.0

12c;Heinzer Ronny;*;;;;;;;;;55.5
o;;;Stöckli Damian;*;;;;;;;8.5
+;5;8.5;Scherrer Fabian;*;11;55.75;4;8.75;-1;0.25;9.75
o;7;18.25;Marti Simon;*;19;53.75;8;18.0;1;-0.25;8.75
+;11;27.0;Hurschler Adrian;;35;34.25;16;25.75;5;-1.25;10.0
o;11;37.0;Burger Matthieu;**;8;56.5;13;36.5;2;-0.5;8.5
+;14;45.5;Gasser Dominik 1;;22;53.0;18;44.5;4;-1.0;10.0

12d;Schärli Reto;*;;;;;;;;;55.5
-;;;Odermatt Remo;*;;;;;;;8.75
o;4;8.75;Huber Alex;*;17;54.25;4;8.75;0;0.0;8.5
o;11;17.25;Kälin Roland;**;10;56.0;11;17.25;0;0.0;8.5
+;16;25.75;Arnold Kilian;;34;34.5;15;26.0;-1;0.25;10.0
+;16;35.75;Berchtold Kilian;;22;53.0;16;35.75;0;0.0;10.0
+;13;45.75;Heinzer Stefan;**;17;54.25;14;45.5;1;-0.25;9.75

