3621-2019-07-20_68_Weissenstein-Schwinget-ST

1a;Giger Samuel;***;;;;;;;;;59.75
-;;;Hauri Urs;**;;;;;;;8.75
+;4;8.75;Scherrer Johann;**;25;34.0;5;8.5;1;-0.25;10.0
+;5;18.75;Schwenkfelder Lukas;*;19;52.75;6;18.5;1;-0.25;10.0
o;4;28.75;Alpiger Nick;***;6;56.25;6;28.25;2;-0.5;8.5
-;7;37.25;Steiner Michael;**;12;54.75;7;37.25;0;0.0;9.0
+;9;46.25;Stalder Remo;***;10;55.25;8;46.5;-1;0.25;9.75

7b;Oertig Dominik;**;;;;;;;;;56.0
+;;;Stegmüller Klemens;*;;;;;;;10.0
+;1;10.0;Gnägi Florian;***;3;57.0;1;10.0;0;0.0;10.0
-;1;20.0;Aeschbacher Matthias;**;8;55.75;4;19.0;3;-1.0;9.0
o;3;29.0;Wenger Kilian;***;3;57.0;5;28.5;2;-0.5;8.5
o;6;37.5;Zangger Dominik;*;7;56.0;6;37.5;0;0.0;8.5
+;10;46.0;Gobeli Patrick;**;9;55.5;6;47.0;-4;1.0;10.0

7c;Zangger Dominik;*;;;;;;;;;56.0
-;;;Hügli Kaj;**;;;;;;;8.75
-;4;8.75;Krebs Clemens;*;23;34.5;5;8.5;1;-0.25;8.75
+;8;17.5;Scherrer Johann;**;25;34.0;10;17.0;2;-0.5;10.0
+;8;27.5;Mangold Michael;**;14;54.25;9;27.25;1;-0.25;10.0
+;6;37.5;Oertig Dominik;**;7;56.0;6;37.5;0;0.0;10.0
o;4;47.5;Räbmatter Patrick;***;3;57.0;6;47.0;2;-0.5;8.5

7d;Döbeli Andreas;**;;;;;;;;;56.0
-;;;Schenk Patrick;***;;;;;;;8.75
+;4;8.75;Jöhl Christian;*;20;35.25;5;8.5;1;-0.25;10.0
-;5;18.75;Kämpf Bernhard;***;7;56.0;6;18.5;1;-0.25;8.75
+;8;27.5;Jörger Marc;*;13;54.5;8;27.5;0;0.0;10.0
o;6;37.5;Gasser Dominik;*;9;55.5;8;37.0;2;-0.5;8.5
+;10;46.0;Iseli Marco;**;10;55.25;7;46.75;-3;0.75;10.0

7e;Kämpf Bernhard;***;;;;;;;;;56.0
-;;;Alpiger Nick;***;;;;;;;8.75
+;4;8.75;Schmid Samuel;**;29;18.25;2;9.75;-2;1.0;9.75
-;6;18.5;Döbeli Andreas;**;7;56.0;5;18.75;-1;0.25;8.75
+;9;27.25;Stadler Kevin (2002);*;16;53.75;6;28.25;-3;1.0;10.0
-;7;37.25;Leuppi Samir;**;5;56.5;5;38.0;-2;0.75;8.75
+;10;46.0;Widmer David;**;13;54.5;10;46.0;0;0.0;10.0

8a;Kuster Thomas;*;;;;;;;;;55.75
+;;;Bader Andreas;**;;;;;;;10.0
o;1;10.0;Schmid David;***;15;54.0;4;8.75;3;-1.25;8.75
o;5;18.75;Wenger Kilian;***;3;57.0;6;18.5;1;-0.25;8.5
+;9;27.25;Studinger Stephan;**;8;55.75;9;27.25;0;0.0;10.0
o;7;37.25;von Weissenfluh Kilian;**;6;56.25;6;37.5;-1;0.25;8.5
+;11;45.75;Kropf Marcel;**;14;54.25;11;45.75;0;0.0;10.0

