5623-2022-06-12_Fete_Cantonale_Vaudoise-ST

1a;Gapany Benjamin;***;;;;;;;;;59.5
+;9;27.25;Sudan Jonathan;;12;55.25;6;28.25;-3;1.0;9.75
+;10;37.0;Mermillod Jérôme (2004);;16;54.25;10;37.0;0;0.0;10.0
-;7;47.0;Schläfli Hugo;*;11;55.5;8;46.75;1;-0.25;9.0

10a;Haenni Stéphane;**;;;;;;;;;55.75
-;;;Droxler Jonathan;**;;;;;;;8.75
+;3;8.75;Monney Branighan;;13;55.0;2;9.75;-1;1.0;9.75
+;5;18.5;Riedo Fredy;*;11;55.5;5;18.5;0;0.0;10.0
o;5;28.5;Kramer Lario;***;2;58.25;2;29.5;-3;1.0;8.5
+;10;37.0;Clément Aurélien;;10;55.75;9;37.25;-1;0.25;9.75
-;8;46.75;Grossenbacher Simon;*;9;56.0;7;47.0;-1;0.25;9.0

10b;Wieland Janis;*;;;;;;;;;55.75
+;;;Dind Samuel;**;;;;;;;10.0
o;1;10.0;Piemontesi Pascal;**;4;57.5;1;10.0;0;0.0;8.5
+;5;18.5;Isoz Bertrand;;18;53.75;5;18.5;0;0.0;10.0
o;5;28.5;Duplan Steve;***;2;58.25;5;28.5;0;0.0;8.5
+;10;37.0;Erb Vincent;;16;54.25;10;37.0;0;0.0;10.0
o;7;47.0;Dousse Michel;**;6;57.0;7;47.0;0;0.0;8.75

10c;Kramer Dorian;**;;;;;;;;;55.75
-;;;Minder Florian;**;;;;;;;8.75
+;3;8.75;Germanier Joel;;11;55.5;1;10.0;-2;1.25;10.0
+;4;18.75;Zbinden Lukas;;15;54.5;5;18.5;1;-0.25;9.75
+;5;28.5;Emonet Frédéric;**;8;56.25;7;28.0;2;-0.5;9.75
o;5;38.25;Gapany Benjamin;***;1;59.5;1;39.75;-4;1.5;8.5
-;8;46.75;Baeriswyl Christoph;**;6;57.0;4;48.0;-4;1.25;9.0

10d;Collaud Bastien (2005);;;;;;;;;;55.75
-;;;Berger Dilan;;;;;;;;8.75
+;3;8.75;Giuliani Johann;;24;51.25;4;8.5;1;-0.25;10.0
+;4;18.75;Hayoz Quentin;*;11;55.5;5;18.5;1;-0.25;9.75
o;5;28.5;Zürcher Remo;*;12;55.25;10;27.0;5;-1.5;8.5
-;10;37.0;Zbinden Dario (2004);*;12;55.25;8;37.5;-2;0.5;8.75
+;12;45.75;Imhasly Jorin;;17;54.0;13;45.5;1;-0.25;10.0

10e;Clément Aurélien;;;;;;;;;;55.75
+;;;Juon Martin;;;;;;;;10.0
o;1;10.0;Dorsaz Théo;*;11;55.5;3;8.75;2;-1.25;8.75
o;4;18.75;Germanier Joel;;11;55.5;5;18.5;1;-0.25;8.75
+;8;27.5;Berger Dilan;;28;35.75;9;27.25;1;-0.25;9.75
o;9;37.25;Haenni Stéphane;**;10;55.75;10;37.0;1;-0.25;8.5
+;12;45.75;Berger Sascha;;17;54.0;13;45.5;1;-0.25;10.0

11a;Varone Luc;*;;;;;;;;;55.5
o;;;Sturny Nicolas;**;;;;;;;8.5
+;4;8.5;Zbinden Samuel;;14;54.75;2;9.75;-2;1.25;10.0
o;5;18.5;Dousse Michel;**;6;57.0;5;18.5;0;0.0;8.5
+;10;27.0;Berger Sascha;;17;54.0;6;28.25;-4;1.25;10.0
o;10;37.0;Tornare Paul;;7;56.75;10;37.0;0;0.0;8.5
+;13;45.5;Pasquier Loïc;*;17;54.0;13;45.5;0;0.0;10.0

11b;Balimann Fabian;;;;;;;;;;55.5
-;;;Vaucher Rémy;;;;;;;;8.75
+;3;8.75;Lauber Grégoire;;17;54.0;4;8.5;1;-0.25;9.75
o;5;18.5;Colò Kilian;**;7;56.75;6;18.25;1;-0.25;8.5
+;10;27.0;Imhasly Jorin;;17;54.0;10;27.0;0;0.0;10.0
-;10;37.0;Ducrest Etienne;*;26;46.25;9;37.25;-1;0.25;8.5
+;13;45.5;Neuenschwander Levin;;17;54.0;13;45.5;0;0.0;10.0

11c;Perret Loïc;;;;;;;;;;55.5
+;;;Sutter Samuel (2005);;;;;;;;9.75
o;2;9.75;Barras François;*;12;55.25;4;8.5;2;-1.25;8.5
+;6;18.25;Raboud Mathieu;;18;53.75;5;18.5;-1;0.25;10.0
o;6;28.25;Riedo Fredy;*;11;55.5;10;27.0;4;-1.25;8.5
+;11;36.75;Buchs Stefan;;17;54.0;11;36.75;0;0.0;9.75
-;9;46.5;Dubey Gaël;*;13;55.0;11;46.0;2;-0.5;9.0

11d;Schläfli Hugo;*;;;;;;;;;55.5
+;;;Berger Sascha;;;;;;;;10.0
o;1;10.0;Kramer Lario;***;2;58.25;2;9.75;1;-0.25;8.5
+;5;18.5;Zbinden Silvan (2004);;15;54.5;4;18.75;-1;0.25;9.75
+;6;28.25;Ducrest Etienne;*;26;46.25;5;28.5;-1;0.25;10.0
o;5;38.25;Borcard Johann;**;7;56.75;5;38.25;0;0.0;8.5
-;8;46.75;Dufey Gil;*;9;56.0;7;47.0;-1;0.25;8.75

11e;Droxler Jonathan;**;;;;;;;;;55.5
-;;;Haenni Stéphane;**;;;;;;;8.75
-;3;8.75;Zbinden Silvan (2004);;15;54.5;1;10.0;-2;1.25;8.75
-;7;17.5;Egger Pierre;;14;54.75;5;18.5;-2;1.0;8.75
+;13;26.25;Neuenschwander Noel (2005);;11;55.5;10;27.0;-3;0.75;9.75
+;14;36.0;Portmann Fabio;*;14;54.75;12;36.5;-2;0.5;9.75
+;12;45.75;Pürro David;*;17;54.0;13;45.5;1;-0.25;9.75

11f;Dorsaz Théo;*;;;;;;;;;55.5
-;;;Borcard Clovis;*;;;;;;;8.75
+;3;8.75;Clément Aurélien;;10;55.75;1;10.0;-2;1.25;9.75
o;5;18.5;Tschumi Lukas;*;7;56.75;6;18.25;1;-0.25;8.5
+;10;27.0;Buchs Stefan;;17;54.0;6;28.25;-4;1.25;10.0
