2779-2019-06-30_124_Nordostschweizer_Schwingfest-ST

1a;Orlik Armon;***;;;;;;;;;58.75
+;8;17.75;Schiesser Patrik;;17;54.0;11;17.0;3;-0.75;10.0
o;7;27.75;Dumelin David;**;7;56.5;6;28.0;-1;0.25;8.75
+;10;36.5;Burkhard Tobias;;19;53.5;10;36.5;0;0.0;10.0
+;9;46.5;Giger Urs;*;10;55.75;7;47.0;-2;0.5;10.0

8a;Baumann Rico;*;;;;;;;;;56.25
+;;;Blaser Christian;*;;;;;;;10.0
-;1;10.0;Zwyssig Raphael;***;7;56.5;5;8.5;4;-1.5;8.75
+;5;18.75;Inauen Aurel;;21;53.0;6;18.5;1;-0.25;10.0
-;3;28.75;Neff Florian;*;14;54.75;5;28.25;2;-0.5;9.0
o;5;37.75;Dändliker Shane;**;8;56.25;7;37.25;2;-0.5;8.5
+;10;46.25;Landolt Reto;*;15;54.5;11;46.0;1;-0.25;10.0

8b;Kindlimann Fabian;***;;;;;;;;;56.25
-;;;Borcard Johann;**;;;;;;;8.75
+;4;8.75;Wittenwiler Roman;*;12;55.25;1;10.0;-3;1.25;10.0
+;5;18.75;Oertle Daniel;*;14;54.75;4;19.0;-1;0.25;10.0
-;3;28.75;Mathis Marcel;***;5;57.0;4;28.5;1;-0.25;8.75
+;6;37.5;Oettli Marco;*;5;57.0;2;38.5;-4;1.0;10.0
-;5;47.5;Roth Martin;**;5;57.0;2;48.25;-3;0.75;8.75

8c;Bernold Christian;**;;;;;;;;;56.25
+;;;Wey Nicola;*;;;;;;;9.75
o;2;9.75;Giger Samuel;***;3;57.5;4;8.75;2;-1.0;8.5
-;7;18.25;Rüegg Patrick;;17;54.0;3;19.5;-4;1.25;9.0
+;9;27.25;Burkhard Patrick;*;15;54.5;9;27.25;0;0.0;10.0
+;7;37.25;Poltera Andrin;*;11;55.5;8;37.0;1;-0.25;10.0
-;6;47.25;Dändliker Shane;**;8;56.25;6;47.25;0;0.0;9.0

8d;Dändliker Shane;**;;;;;;;;;56.25
-;;;Schlegel Sandro;**;;;;;;;8.75
+;4;8.75;Wild Thomas;;18;53.75;2;9.75;-2;1.0;10.0
o;5;18.75;Kuster Marcel;***;10;55.75;6;18.5;1;-0.25;8.5
+;9;27.25;Badat Thomas;;21;53.0;8;27.5;-1;0.25;10.0
+;7;37.25;Baumann Rico;*;8;56.25;5;37.75;-2;0.5;10.0
-;6;47.25;Bernold Christian;**;8;56.25;6;47.25;0;0.0;9.0

8e;Straub Robin;*;;;;;;;;;56.25
-;;;Lanter Christian;*;;;;;;;8.75
+;4;8.75;Keller Andreas;*;29;34.5;5;8.5;1;-0.25;10.0
-;5;18.75;Peng Mike;***;24;44.5;7;18.25;2;-0.5;8.75
+;8;27.5;Castelli Fabio;;18;53.75;9;27.25;1;-0.25;10.0
+;6;37.5;Battaglia Ursin;**;15;54.5;6;37.5;0;0.0;9.75
-;6;47.25;Oertig Dominik;**;8;56.25;5;47.5;-1;0.25;9.0

8f;Oertig Dominik;**;;;;;;;;;56.25
+;;;Jörger Marc;*;;;;;;;10.0
o;1;10.0;Kramer Lario;**;9;56.0;2;9.75;1;-0.25;8.5
+;6;18.5;Oettli Silvio;*;12;55.25;6;18.5;0;0.0;10.0
+;4;28.5;Strebel Joel;**;12;55.25;5;28.25;1;-0.25;10.0
-;2;38.5;Fankhauser Erich;***;7;56.5;6;37.5;4;-1.0;9.0
-;5;47.5;Straub Robin;*;8;56.25;6;47.25;1;-0.25;8.75

9a;Kramer Lario;**;;;;;;;;;56.0
+;;;Bless Michael;***;;;;;;;9.75
+;2;9.75;Oertig Dominik;**;8;56.25;1;10.0;-1;0.25;10.0
o;2;19.75;Orlik Armon;***;1;58.75;4;19.0;2;-0.75;8.75
-;4;28.5;Vollenweider Jeremy;*;3;57.5;3;28.75;-1;0.25;8.75
-;7;37.25;Geisser Lars;**;6;56.75;3;38.25;-4;1.0;8.75
+;11;46.0;Egli Martin;;13;55.0;9;46.5;-2;0.5;10.0

9b;Ott Damian;**;;;;;;;;;56.0
+;;;Lehmann Philipp;*;;;;;;;10.0
-;1;10.0;Gerber Christian;**;13;55.0;4;8.75;3;-1.25;8.75
-;5;18.75;Bühler Hannes;*;10;55.75;6;18.5;1;-0.25;8.75
+;8;27.5;Pianta Christian;*;19;53.5;8;27.5;0;0.0;10.0
+;6;37.5;Schmid Patrick;*;9;56.0;7;37.25;1;-0.25;10.0
o;5;47.5;Krähenbühl Tobias;***;4;57.25;6;47.25;1;-0.25;8.5

9c;Schmid Patrick;*;;;;;;;;;56.0
o;;;Nock Benjamin (2001);*;;;;;;;8.75
+;4;8.75;Breitenmoser Simon;;15;54.5;1;10.0;-3;1.25;10.0
o;5;18.75;Krähenbühl Tobias;***;4;57.25;5;18.75;0;0.0;8.5
+;9;27.25;Baumgartner Ramon (2002);;17;54.0;10;27.0;1;-0.25;10.0
o;7;37.25;Ott Damian;**;9;56.0;6;37.5;-1;0.25;8.75
+;11;46.0;Battaglia Ursin;**;15;54.5;11;46.0;0;0.0;10.0

9d;Schnurrenberger Roman;**;;;;;;;;;56.0
+;;;Marty Jaime;*;;;;;;;9.75
-;2;9.75;Riget Florian;*;16;54.25;2;9.75;0;0.0;9.0
+;5;18.75;Bollhalder Manuel (2001);*;14;54.75;5;18.75;0;0.0;10.0
o;3;28.75;Orlik Armon;***;1;58.75;2;29.0;-1;0.25;8.5
+;7;37.25;Neff Florian;*;14;54.75;7;37.25;0;0.0;10.0
o;6;47.25;Burkhalter Stefan;***;4;57.25;6;47.25;0;0.0;8.75

9e;Wickli Beat;**;;;;;;;;;56.0
o;;;Koch Reto;*;;;;;;;8.5
+;5;8.5;Inauen Aurel;;21;53.0;1;10.0;-4;1.5;9.75
+;7;18.25;Keller Manuel;*;17;54.0;6;18.5;-1;0.25;10.0
-;5;28.25;Gerber Christian;**;13;55.0;9;27.25;4;-1.0;8.75
+;8;37.0;Oertle Daniel;*;14;54.75;6;37.5;-2;0.5;10.0
-;7;47.0;Kuster Marcel;***;10;55.75;8;46.75;1;-0.25;9.0

10a;Jörger Marc;*;;;;;;;;;55.75
o;;;Oertig Dominik;**;;;;;;;8.5
+;5;8.5;Kiener Raphael;;26;35.25;2;9.75;-3;1.25;10.0
+;6;18.5;Ammann Rico;*;15;54.5;6;18.5;0;0.0;10.0
o;4;28.5;Burkhalter Stefan;***;4;57.25;3;28.75;-1;0.25;8.5
-;8;37.0;Rüegg Roman;*;17;54.0;10;36.5;2;-0.5;8.75
+;12;45.75;Aerne Christian;*;16;54.25;12;45.75;0;0.0;10.0

10b;Heierli Pascal;*;;;;;;;;;55.75
+;;;Blaser Niklas;*;;;;;;;9.75
-;2;9.75;Battaglia Ursin;**;15;54.5;4;8.75;2;-1.0;9.0
o;5;18.75;Rychen Roger;***;5;57.0;6;18.5;1;-0.25;8.5
+;9;27.25;Bürgler Patrick;;17;54.0;10;27.0;1;-0.25;10.0
o;7;37.25;Schlegel Sandro;**;10;55.75;7;37.25;0;0.0;8.5
+;12;45.75;Keller Manuel;*;17;54.0;13;45.5;1;-0.25;10.0

10c;Kuster Marcel;***;;;;;;;;;55.75
o;;;Fankhauser Erich;***;;;;;;;8.5
+;5;8.5;Nock Benjamin (2001);*;11;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Dändliker Shane;**;8;56.25;5;18.75;-1;0.25;10.0
+;4;28.5;Landolt Reto;*;15;54.5;3;28.75;-1;0.25;9.75
o;3;38.25;Schneider Domenic;***;3;57.5;1;38.75;-2;0.5;8.5
-;8;46.75;Wickli Beat;**;9;56.0;7;47.0;-1;0.25;9.0

10d;Schmidlin Tobias (2001);*;;;;;;;;;55.75
+;;;Koller Fabian;*;;;;;;;10.0
o;1;10.0;Peng Mike;***;24;44.5;5;8.5;4;-1.5;8.5
+;6;18.5;Bürgler Patrick;;17;54.0;6;18.5;0;0.0;10.0
o;4;28.5;Bless Michael;***;6;56.75;5;28.25;1;-0.25;8.5
+;8;37.0;Horner Sämi;;16;54.25;9;36.75;1;-0.25;10.0
o;7;47.0;Vollenweider Jeremy;*;3;57.5;5;47.5;-2;0.5;8.75

10e;Bühler Hannes;*;;;;;;;;;55.75
-;;;Gmür Pirmin;**;;;;;;;8.75
+;4;8.75;Buchmann Michael;;20;53.25;1;10.0;-3;1.25;9.75
-;6;18.5;Ott Damian;**;9;56.0;5;18.75;-1;0.25;8.75
+;9;27.25;Büsser Remo;;21;53.0;9;27.25;0;0.0;9.75
-;8;37.0;Riget Florian;*;16;54.25;9;36.75;1;-0.25;8.75
+;12;45.75;Funk Nicola;*;16;54.25;12;45.75;0;0.0;10.0

10f;Schlegel Sandro;**;;;;;;;;;55.75
-;;;Dändliker Shane;**;;;;;;;8.75
+;4;8.75;Tremp Remo;;26;35.25;2;9.75;-2;1.0;10.0
+;5;18.75;Borcard Johann;**;12;55.25;6;18.5;1;-0.25;9.75
-;4;28.5;Döbeli Andreas;*;5;57.0;4;28.5;0;0.0;8.75
+;7;37.25;Heierli Pascal;*;10;55.75;7;37.25;0;0.0;9.75
o;7;47.0;Blaser Christian;*;7;56.5;8;46.75;1;-0.25;8.75

10g;Giger Urs;*;;;;;;;;;55.75
+;;;Gwerder Andreas;**;;;;;;;9.75
+;2;9.75;Elmer Daniel;*;13;55.0;1;10.0;-1;0.25;10.0
-;2;19.75;Notz Beni;***;3;57.5;2;19.75;0;0.0;9.0
+;3;28.75;Hugelshofer Lars (2001);*;12;55.25;5;28.25;2;-0.5;9.75
o;2;38.5;Mathis Marcel;***;5;57.0;7;37.25;5;-1.25;8.5
o;7;47.0;Gartmann Mauro;*;7;56.5;9;46.5;2;-0.5;8.75

10h;Fausch Kjetil;*;;;;;;;;;55.75
+;;;Kolb Pirmin (2001);*;;;;;;;9.75
o;2;9.75;Burkhalter Stefan;***;4;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Knellwolf Sebastian (2001);;23;52.5;6;18.5;-1;0.25;10.0
o;5;28.25;Schläpfer Matthias;*;13;55.0;5;28.25;0;0.0;8.5
-;9;36.75;Gwerder Andreas;**;14;54.75;8;37.0;-1;0.25;9.0
+;12;45.75;Krähenbühl Lukas;*;16;54.25;12;45.75;0;0.0;10.0

10i;Koch Reto;*;;;;;;;;;55.75
+;;;Wickli Beat;**;;;;;;;10.0
+;1;10.0;Biäsch Christian;*;11;55.5;1;10.0;0;0.0;9.75
o;2;19.75;Schneider Domenic;***;3;57.5;4;19.0;2;-0.75;8.75
o;4;28.5;Breitenmoser Manuel;*;11;55.5;4;28.5;0;0.0;8.75
+;7;37.25;Wolfer Lukas;*;13;55.0;9;36.75;2;-0.5;10.0
o;6;47.25;Notz Beni;***;3;57.5;5;47.5;-1;0.25;8.5

11a;Poltera Andrin;*;;;;;;;;;55.5
-;;;Pianta Christian;*;;;;;;;8.75
+;4;8.75;Bürgler Patrick;;17;54.0;1;10.0;-3;1.25;9.75
o;6;18.5;Burkhalter Stefan;***;4;57.25;5;18.75;-1;0.25;8.5
+;10;27.0;Roth Michael;;19;53.5;9;27.25;-1;0.25;10.0
o;8;37.0;Bernold Christian;**;8;56.25;7;37.25;-1;0.25;8.5
+;13;45.5;Schnyder Christian;;18;53.75;14;45.25;1;-0.25;10.0

11b;Schudel Simon;*;;;;;;;;;55.5
o;;;Elmer Daniel;*;;;;;;;8.5
+;5;8.5;Blaser Niklas;*;18;53.75;5;8.5;0;0.0;10.0
o;6;18.5;Riget Tobias;**;25;37.5;5;18.75;-1;0.25;8.5
+;10;27.0;Rhyner Beni;;17;54.0;10;27.0;0;0.0;10.0
o;8;37.0;Forrer Arnold;***;13;55.0;11;36.25;3;-0.75;8.5
+;13;45.5;Schiesser Patrik;;17;54.0;13;45.5;0;0.0;10.0

11c;Rotach Lars;*;;;;;;;;;55.5
-;;;Burkhard Patrick;*;;;;;;;8.75
+;4;8.75;Aerne Christian;*;16;54.25;5;8.5;1;-0.25;9.75
o;6;18.5;Vollenweider Jeremy;*;3;57.5;5;18.75;-1;0.25;8.5
o;10;27.0;Blaser Christian;*;7;56.5;10;27.0;0;0.0;8.75
+;13;35.75;Langenegger Beat;;23;52.5;14;35.5;1;-0.25;9.75
+;13;45.5;Rhyner Beni;;17;54.0;13;45.5;0;0.0;10.0

11d;Biäsch Christian;*;;;;;;;;;55.5
+;;;Fejzaj Naim;**;;;;;;;10.0
o;1;10.0;Koch Reto;*;10;55.75;1;10.0;0;0.0;8.5
+;6;18.5;Roth Michael;;19;53.5;5;18.75;-1;0.25;9.75
-;5;28.25;Forrer Arnold;***;13;55.0;8;27.5;3;-0.75;8.75
+;8;37.0;Rüegg Patrick;;17;54.0;8;37.0;0;0.0;9.75
o;8;46.75;Schlegel Werner (2002);*;5;57.0;7;47.0;-1;0.25;8.75

11e;Wey Nicola;*;;;;;;;;;55.5
o;;;Bernold Christian;**;;;;;;;8.75
+;4;8.75;Schwyn Patrick;;16;54.25;1;10.0;-3;1.25;10.0
+;5;18.75;Thoma Christoph;;18;53.75;6;18.5;1;-0.25;9.75
o;4;28.5;Schneider Domenic;***;3;57.5;3;28.75;-1;0.25;8.5
-;8;37.0;Landolt Reto;*;15;54.5;7;37.25;-1;0.25;8.75
+;12;45.75;Koller Fabian;*;16;54.25;12;45.75;0;0.0;9.75

11f;Nock Benjamin (2001);*;;;;;;;;;55.5
+;;;Schmid Patrick;*;;;;;;;10.0
o;1;10.0;Kuster Marcel;***;10;55.75;5;8.5;4;-1.5;8.5
+;6;18.5;Castelli Fabio;;18;53.75;5;18.75;-1;0.25;10.0
o;4;28.5;Giger Samuel;***;3;57.5;7;27.75;3;-0.75;8.5
+;8;37.0;Kolb This (2003);;18;53.75;10;36.5;2;-0.5;10.0
o;7;47.0;Döbeli Andreas;*;5;57.0;7;47.0;0;0.0;8.5

11g;Breitenmoser Manuel;*;;;;;;;;;55.5
+;;;Jöhl Christian;*;;;;;;;10.0
o;1;10.0;Bless Michael;***;6;56.75;5;8.5;4;-1.5;8.5
+;6;18.5;Schnyder Christian;;18;53.75;6;18.5;0;0.0;10.0
+;4;28.5;Koch Reto;*;10;55.75;4;28.5;0;0.0;10.0
o;2;38.5;Schläpfer Markus;**;6;56.75;2;38.5;0;0.0;8.5
o;7;47.0;Mathis Marcel;***;5;57.0;7;47.0;0;0.0;8.5

12a;Rüegg Fabian;*;;;;;;;;;55.25
+;;;Oettli Silvio;*;;;;;;;10.0
o;1;10.0;Notz Beni;***;3;57.5;2;9.75;1;-0.25;8.5
