3417-2016-06-12_Stoos-Schwinget2-ST

1a;Schuler Christian;***;;;;;;;;;58.25
-;8;36.75;Gwerder Dario;*;14;54.25;9;36.5;1;-0.25;9.0
+;11;45.75;Bürgler Lukas;*;14;54.25;11;45.75;0;0.0;10.0

9a;Schuler Alex;**;;;;;;;;;55.5
-;;;Gassmann Fabian;**;;;;;;;8.75
+;4;8.75;Hess Dominik;*;8;55.75;1;10.0;-3;1.25;9.75
-;6;18.5;Bieri Marcel;**;7;56.0;5;18.75;-1;0.25;8.75
+;12;27.25;Briker Michael;*;14;54.25;12;27.25;0;0.0;9.75
+;7;37.0;Stalder Remo;***;14;54.25;7;37.0;0;0.0;9.75
-;7;46.75;Stöckli Stefan;**;12;54.75;10;46.0;3;-0.75;8.75

9b;Nietlispach Pascal;**;;;;;;;;;55.5
-;;;Stöckli Stefan;**;;;;;;;8.75
+;4;8.75;Widmer Tobias;**;13;54.5;3;9.0;-1;0.25;9.75
o;6;18.5;Müllestein Mike;**;5;56.5;5;18.75;-1;0.25;8.5
+;13;27.0;Gassmann Michael;*;17;53.0;12;27.25;-1;0.25;10.0
+;7;37.0;Kenel Franz-Toni;*;14;54.25;6;37.25;-1;0.25;10.0
o;6;47.0;Suppiger René;**;2;57.25;5;47.25;-1;0.25;8.5

9c;Voggensperger Janic (1998);*;;;;;;;;;55.5
+;;;Gwerder Dario;*;;;;;;;9.75
+;2;9.75;Bernhard Lukas;*;13;54.5;2;9.75;0;0.0;9.75
-;3;19.5;Nötzli Bruno;***;13;54.5;6;18.5;3;-1.0;8.75
-;8;28.25;Kälin Roland;**;10;55.25;9;28.0;1;-0.25;8.75
+;7;37.0;Kennel Beat;*;12;54.75;9;36.5;2;-0.5;9.75
-;7;46.75;Höfliger Andreas;**;6;56.25;4;47.5;-3;0.75;8.75

9d;Bürgler André;*;;;;;;;;;55.5
+;;;Koch Roger;*;;;;;;;10.0
+;1;10.0;Fankhauser Reto;**;20;34.75;4;8.75;3;-1.25;10.0
o;1;20.0;Mathis Marcel;***;6;56.25;5;18.75;4;-1.25;8.5
o;7;28.5;Alpiger Nick;**;4;56.75;8;28.25;1;-0.25;8.5
o;7;37.0;Fink Bruno;*;10;55.25;8;36.75;1;-0.25;8.5
+;12;45.5;Thalmann Thomas;*;13;54.5;11;45.75;-1;0.25;10.0

9e;Küttel Pirmin;**;;;;;;;;;55.5
+;;;Probst Gabriel;**;;;;;;;9.75
-;2;9.75;Gasser Stefan;**;11;55.0;4;8.75;2;-1.0;8.75
-;6;18.5;Gerber Manuel;*;17;53.0;6;18.5;0;0.0;8.75
+;12;27.25;Bader Andreas;*;18;35.5;13;27.0;1;-0.25;10.0
+;6;37.25;Imboden Roger;**;14;54.25;7;37.0;1;-0.25;9.75
o;6;47.0;Alpiger Nick;**;4;56.75;7;46.75;1;-0.25;8.5

9f;Räbmatter Patrick;**;;;;;;;;;55.5
o;;;von Ah Benji;***;;;;;;;8.5
+;5;8.5;Egli David;*;13;54.5;2;9.75;-3;1.25;10.0
+;6;18.5;Bisig Thomas;**;13;54.5;6;18.5;0;0.0;9.75
+;8;28.25;Kennel Stefan;*;13;54.5;7;28.5;-1;0.25;10.0
o;3;38.25;Mathis Marcel;***;6;56.25;5;37.5;2;-0.75;8.5
-;7;46.75;Zimmermann Martin;**;8;55.75;6;47.0;-1;0.25;8.75

10a;Fink Bruno;*;;;;;;;;;55.25
o;;;Kennel Beat;*;;;;;;;8.5
+;5;8.5;Brun Samuel (1999);*;20;34.75;4;8.75;-1;0.25;9.75
o;7;18.25;Gasser Stefan;**;11;55.0;9;17.5;2;-0.75;8.5
+;14;26.75;Winiger Fabian;**;21;34.5;16;26.0;2;-0.75;10.0
+;8;36.75;Bürgler André;*;9;55.5;7;37.0;-1;0.25;10.0
o;7;46.75;Schelbert Ralf;**;4;56.75;7;46.75;0;0.0;8.5

10b;Kälin Roland;**;;;;;;;;;55.25
+;;;Waldner Patrick;**;;;;;;;9.75
o;2;9.75;Betschart Rainer;**;5;56.5;1;10.0;-1;0.25;8.5
+;7;18.25;Winiger Fabian;**;21;34.5;9;17.5;2;-0.75;9.75
-;9;28.0;Voggensperger Janic (1998);*;9;55.5;8;28.25;-1;0.25;8.75
-;8;36.75;Schmid David;**;14;54.25;7;37.0;-1;0.25;8.75
+;12;45.5;Heiniger Marco;*;13;54.5;11;45.75;-1;0.25;9.75

11a;Laimbacher Philipp;***;;;;;;;;;55.0
o;;;Alpiger Nick;**;;;;;;;8.5
+;5;8.5;Britschgi Melk;**;14;54.25;2;9.75;-3;1.25;10.0
+;6;18.5;Egli Manuel;*;16;53.25;5;18.75;-1;0.25;10.0
-;7;28.5;Suppiger René;**;2;57.25;3;29.5;-4;1.0;8.75
o;6;37.25;Gloggner Philipp;***;2;57.25;6;37.25;0;0.0;8.75
-;10;46.0;Fankhauser Erich;***;12;54.75;10;46.0;0;0.0;9.0

11b;Gasser Stefan;**;;;;;;;;;55.0
-;;;Fankhauser Erich;***;;;;;;;8.75
-;4;8.75;Küttel Pirmin;**;9;55.5;2;9.75;-2;1.0;8.75
+;9;17.5;Fink Bruno;*;10;55.25;7;18.25;-2;0.75;10.0
-;11;27.5;Heinzer Stefan;*;14;54.25;12;27.25;1;-0.25;9.0
+;9;36.5;Bisig Thomas;**;13;54.5;8;36.75;-1;0.25;10.0
o;8;46.5;Nötzli Reto;***;5;56.5;8;46.5;0;0.0;8.5

12a;Odermatt Christian;**;;;;;;;;;54.75
o;;;Muff Armin;**;;;;;;;8.5
+;5;8.5;Widmer Tobias;**;13;54.5;3;9.0;-2;0.5;9.75
+;7;18.25;Schnider Markus;*;22;34.25;10;17.25;3;-1.0;9.75
o;9;28.0;Fankhauser Erich;***;12;54.75;11;27.5;2;-0.5;8.5
+;9;36.5;Hasler Florian;**;13;54.5;10;36.25;1;-0.25;9.75
o;9;46.25;Gloggner Philipp;***;2;57.25;5;47.25;-4;1.0;8.5

12b;Kennel Beat;*;;;;;;;;;54.75
+;;;Fink Bruno;*;;;;;;;9.75
o;2;9.75;Arnold Stefan;**;4;56.75;2;9.75;0;0.0;8.5
+;7;18.25;Hess Dominik;*;8;55.75;6;18.5;-1;0.25;9.75
o;9;28.0;von Ah Benji;***;12;54.75;11;27.5;2;-0.5;8.5
o;9;36.5;Voggensperger Janic (1998);*;9;55.5;7;37.0;-2;0.5;8.5
+;14;45.0;Briker Michael;*;14;54.25;12;45.5;-2;0.5;9.75

12c;Stöckli Stefan;**;;;;;;;;;54.75
-;;;Nietlispach Pascal;**;;;;;;;8.75
-;4;8.75;Klausner Yanick;**;17;53.0;5;8.5;1;-0.25;8.75
o;9;17.5;Schuler Philipp;**;8;55.75;6;18.5;-3;1.0;8.5
+;16;26.0;Waldner Patrick;**;22;34.25;17;25.75;1;-0.25;10.0
+;11;36.0;Gerber Manuel;*;17;53.0;11;36.0;0;0.0;10.0
-;10;46.0;Schuler Alex;**;9;55.5;7;46.75;-3;0.75;8.75

12d;Fankhauser Erich;***;;;;;;;;;54.75
-;;;Gasser Stefan;**;;;;;;;8.75
-;4;8.75;Kennel Stefan;*;13;54.5;1;10.0;-3;1.25;9.0
+;8;17.75;Kocher Remo;**;16;53.25;5;18.75;-3;1.0;9.75
+;11;27.5;Odermatt Christian;**;12;54.75;9;28.0;-2;0.5;9.75
-;6;37.25;Schelbert Ralf;**;4;56.75;4;38.0;-2;0.75;8.75
-;10;46.0;Laimbacher Philipp;***;11;55.0;10;46.0;0;0.0;8.75

12e;von Ah Benji;***;;;;;;;;;54.75
+;;;Räbmatter Patrick;**;;;;;;;9.75
-;2;9.75;Müllestein Mike;**;5;56.5;1;10.0;-1;0.25;8.75
-;6;18.5;Hasler Florian;**;13;54.5;5;18.75;-1;0.25;9.0
+;11;27.5;Kennel Beat;*;12;54.75;9;28.0;-2;0.5;10.0
-;5;37.5;Ulrich Andreas;***;7;56.0;5;37.5;0;0.0;8.75
o;9;46.25;Bieri Marcel;**;7;56.0;9;46.25;0;0.0;8.5

13a;Bernhard Lukas;*;;;;;;;;;54.5
+;;;Bättig Martin;*;;;;;;;9.75
o;2;9.75;Voggensperger Janic (1998);*;9;55.5;2;9.75;0;0.0;8.5
o;7;18.25;Schurtenberger Sven;**;3;57.0;10;17.25;3;-1.0;8.75
+;13;27.0;Hügli Kaj;*;18;35.5;13;27.0;0;0.0;9.75
-;8;36.75;Schuler Philipp;**;8;55.75;8;36.75;0;0.0;8.75
-;12;45.5;Bisig Thomas;**;13;54.5;12;45.5;0;0.0;9.0

13b;Widmer Tobias;**;;;;;;;;;54.5
-;;;Müller Michael;**;;;;;;;9.0
o;3;9.0;Odermatt Christian;**;12;54.75;5;8.5;2;-0.5;8.5
o;9;17.5;Nietlispach Pascal;**;9;55.5;6;18.5;-3;1.0;8.5
+;16;26.0;Fankhauser Reto;**;20;34.75;15;26.25;-1;0.25;9.75
-;12;35.75;Effinger Markus;*;14;54.25;12;35.75;0;0.0;8.75
+;16;44.5;Diener Pirmin;*;17;53.0;16;44.5;0;0.0;10.0

13c;Egli Damian;**;;;;;;;;;54.5
o;;;Bieri Marcel;**;;;;;;;8.5
-;5;8.5;Betschart Remo;**;13;54.5;4;8.75;-1;0.25;8.75
-;10;17.25;Klausner Yanick;**;17;53.0;10;17.25;0;0.0;8.75
+;16;26.0;Moser Matthias;*;22;34.25;17;25.75;1;-0.25;9.75
-;12;35.75;Kocher Remo;**;16;53.25;12;35.75;0;0.0;8.75
+;16;44.5;Gerber Manuel;*;17;53.0;16;44.5;0;0.0;10.0

13d;Müller Michael;**;;;;;;;;;54.5
-;;;Widmer Tobias;**;;;;;;;9.0
+;3;9.0;Scherrer Johann;**;22;34.25;5;8.5;2;-0.5;10.0
o;4;19.0;Imhof Andi;***;8;55.75;7;18.25;3;-0.75;8.5
o;11;27.5;Ulrich Andreas;***;7;56.0;10;27.75;-1;0.25;8.5
+;11;36.0;Heinzer Stefan;*;14;54.25;11;36.0;0;0.0;10.0
o;10;46.0;Betschart Rainer;**;5;56.5;8;46.5;-2;0.5;8.5

13e;Heiniger Marco;*;;;;;;;;;54.5
o;;;Effinger Markus;*;;;;;;;8.5
+;5;8.5;Moser Matthias;*;22;34.25;4;8.75;-1;0.25;10.0
-;6;18.5;Bürgler Lukas;*;14;54.25;6;18.5;0;0.0;8.75
o;12;27.25;Stalder Remo;***;14;54.25;13;27.0;1;-0.25;8.5
+;12;35.75;Arnold Andreas;*;17;53.0;12;35.75;0;0.0;10.0
o;11;45.75;Kälin Roland;**;10;55.25;12;45.5;1;-0.25;8.75

13f;Bisig Thomas;**;;;;;;;;;54.5
o;;;Britschgi Melk;**;;;;;;;8.5
+;5;8.5;Brun Jonas;**;14;54.25;5;8.5;0;0.0;10.0
o;6;18.5;Räbmatter Patrick;**;9;55.5;6;18.5;0;0.0;8.5
+;13;27.0;Scherer Adrian;*;14;54.25;12;27.25;-1;0.25;9.75
o;8;36.75;Gasser Stefan;**;11;55.0;9;36.5;1;-0.25;8.75
-;12;45.5;Bernhard Lukas;*;13;54.5;12;45.5;0;0.0;9.0

13g;Nötzli Bruno;***;;;;;;;;;54.5
o;;;Suppiger René;**;;;;;;;8.5
+;5;8.5;Arnold Andreas;*;17;53.0;2;9.75;-3;1.25;10.0
-;6;18.5;Voggensperger Janic (1998);*;9;55.5;3;19.5;-3;1.0;9.0
o;11;27.5;Betschart Remo;**;13;54.5;11;27.5;0;0.0;8.5
+;11;36.0;Brun Jonas;**;14;54.25;8;36.75;-3;0.75;9.75
o;11;45.75;Imhof Andi;***;8;55.75;11;45.75;0;0.0;8.75

13h;Hauri Urs;**;;;;;;;;;54.5
o;;;Arnold Stefan;**;;;;;;;8.5
+;5;8.5;Kempf Elias;**;13;54.5;5;8.5;0;0.0;9.75
-;7;18.25;Heinzer Stefan;*;14;54.25;6;18.5;-1;0.25;8.75
-;13;27.0;Effinger Markus;*;14;54.25;13;27.0;0;0.0;8.75
+;12;35.75;Gassmann Michael;*;17;53.0;12;35.75;0;0.0;10.0
-;11;45.75;Britschgi Melk;**;14;54.25;12;45.5;1;-0.25;8.75

13i;Thalmann Thomas;*;;;;;;;;;54.5
-;;;Kenel Franz-Toni;*;;;;;;;8.75
+;4;8.75;Hermann Oliver;*;22;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Höfliger Andreas;**;6;56.25;1;20.0;-4;1.25;8.5
-;12;27.25;Döbeli Lukas (2000);*;17;53.0;13;27.0;1;-0.25;8.75
+;11;36.0;Diener Pirmin;*;17;53.0;11;36.0;0;0.0;9.75
o;11;45.75;Bürgler André;*;9;55.5;12;45.5;1;-0.25;8.75

13j;Kempf Elias;**;;;;;;;;;54.5
o;;;Betschart Rainer;**;;;;;;;8.5
o;5;8.5;Hauri Urs;**;13;54.5;5;8.5;0;0.0;8.5
-;11;17.0;Waldner Patrick;**;22;34.25;11;17.0;0;0.0;8.75
+;17;25.75;Probst Gabriel;**;23;34.0;18;25.5;1;-0.25;10.0
+;12;35.75;Bättig Martin;*;17;53.0;12;35.75;0;0.0;10.0
-;11;45.75;Stalder Remo;***;14;54.25;12;45.5;1;-0.25;8.75

13k;Hasler Florian;**;;;;;;;;;54.5
-;;;Winiger Fabian;**;;;;;;;8.75
+;4;8.75;Waldner Patrick;**;22;34.25;5;8.5;1;-0.25;10.0
-;5;18.75;von Ah Benji;***;12;54.75;6;18.5;1;-0.25;8.75
-;11;27.5;Gerber Manuel;*;17;53.0;12;27.25;1;-0.25;8.75
o;10;36.25;Odermatt Christian;**;12;54.75;9;36.5;-1;0.25;8.5
+;15;44.75;Bernet Christoph;*;15;53.75;13;45.25;-2;0.5;9.75

13l;Betschart Remo;**;;;;;;;;;54.5
-;;;Fankhauser Reto;**;;;;;;;8.75
-;4;8.75;Egli Damian;**;13;54.5;5;8.5;1;-0.25;8.75
+;9;17.5;Stüdeli Thomas;**;19;35.25;7;18.25;-2;0.75;10.0
+;11;27.5;Nötzli Bruno;***;13;54.5;11;27.5;0;0.0;9.75
-;6;37.25;Britschgi Melk;**;14;54.25;8;36.75;2;-0.5;8.75
o;10;46.0;Schurtenberger Sven;**;3;57.0;6;47.0;-4;1.0;8.5

13m;Kennel Stefan;*;;;;;;;;;54.5
+;;;Hügli Kaj;*;;;;;;;10.0
-;1;10.0;Fankhauser Erich;***;12;54.75;4;8.75;3;-1.25;8.75
+;5;18.75;Bader Andreas;*;18;35.5;6;18.5;1;-0.25;9.75
o;7;28.5;Räbmatter Patrick;**;9;55.5;8;28.25;1;-0.25;8.5
-;7;37.0;Bernet Christoph;*;15;53.75;9;36.5;2;-0.5;8.75
-;11;45.75;Imboden Roger;**;14;54.25;12;45.5;1;-0.25;8.75

13n;Egli David;*;;;;;;;;;54.5
+;;;Döbeli Lukas (2000);*;;;;;;;9.75
o;2;9.75;Räbmatter Patrick;**;9;55.5;5;8.5;3;-1.25;8.5
+;7;18.25;Inderbitzin Daniel;*;18;35.5;6;18.5;-1;0.25;10.0
-;8;28.25;Nötzli Reto;***;5;56.5;10;27.75;2;-0.5;8.75
-;7;37.0;Bieri Marcel;**;7;56.0;6;37.25;-1;0.25;9.0
o;10;46.0;Ulrich Andreas;***;7;56.0;9;46.25;-1;0.25;8.5

14a;Briker Michael;*;;;;;;;;;54.25
-;;;Moser Matthias;*;;;;;;;9.0
o;3;9.0;Kocher Remo;**;16;53.25;4;8.75;1;-0.25;8.5
+;9;17.5;Hermann Oliver;*;22;34.25;11;17.0;2;-0.5;9.75
o;12;27.25;Schuler Alex;**;9;55.5;12;27.25;0;0.0;8.5
+;12;35.75;Döbeli Lukas (2000);*;17;53.0;12;35.75;0;0.0;9.75
o;12;45.5;Kennel Beat;*;12;54.75;14;45.0;2;-0.5;8.75

14b;Gwerder Dario;*;;;;;;;;;54.25
o;;;Voggensperger Janic (1998);*;;;;;;;8.75
+;4;8.75;Leuthard Reto;*;22;34.25;4;8.75;0;0.0;10.0
-;5;18.75;Gassmann Michael;*;17;53.0;6;18.5;1;-0.25;9.0
-;10;27.75;Britschgi Melk;**;14;54.25;9;28.0;-1;0.25;8.75
-;9;36.5;Muff Armin;**;8;55.75;8;36.75;-1;0.25;9.0
-;12;45.5;Brun Jonas;**;14;54.25;12;45.5;0;0.0;8.75

14c;Effinger Markus;*;;;;;;;;;54.25
+;;;Heiniger Marco;*;;;;;;;10.0
o;1;10.0;Alpiger Nick;**;4;56.75;1;10.0;0;0.0;8.5
o;6;18.5;Britschgi Melk;**;14;54.25;7;18.25;1;-0.25;8.5
-;13;27.0;Hauri Urs;**;13;54.5;13;27.0;0;0.0;8.75
-;12;35.75;Widmer Tobias;**;13;54.5;12;35.75;0;0.0;8.75
+;16;44.5;Arnold Andreas;*;17;53.0;16;44.5;0;0.0;9.75

14d;Imboden Roger;**;;;;;;;;;54.25
-;;;Kocher Remo;**;;;;;;;8.75
o;4;8.75;Stüdeli Thomas;**;19;35.25;5;8.5;1;-0.25;8.5
+;10;17.25;Moser Matthias;*;22;34.25;10;17.25;0;0.0;9.75
+;13;27.0;Brun Samuel (1999);*;20;34.75;15;26.25;2;-0.75;10.0
o;7;37.0;Küttel Pirmin;**;9;55.5;6;37.25;-1;0.25;8.5
-;12;45.5;Kennel Stefan;*;13;54.5;11;45.75;-1;0.25;8.75

14e;Kenel Franz-Toni;*;;;;;;;;;54.25
-;;;Thalmann Thomas;*;;;;;;;8.75
-;4;8.75;Winiger Fabian;**;21;34.5;4;8.75;0;0.0;8.75
+;9;17.5;Scherrer Johann;**;22;34.25;11;17.0;2;-0.5;9.75
+;12;27.25;Bättig Martin;*;17;53.0;12;27.25;0;0.0;10.0
o;6;37.25;Nietlispach Pascal;**;9;55.5;7;37.0;1;-0.25;8.5
o;11;45.75;Hess Dominik;*;8;55.75;11;45.75;0;0.0;8.5

14f;Bürgler Lukas;*;;;;;;;;;54.25
-;;;Brun Samuel (1999);*;;;;;;;8.75
+;4;8.75;Schnell Mathias;*;19;35.25;5;8.5;1;-0.25;9.75
