5522-2022-05-26_Baselstaedtischer_Schwingertag-ST

1a;Giger Samuel;***;;;;;;;;;59.75
+;4;8.75;Brugger Jonas;;17;54.0;2;9.75;-2;1.0;10.0
-;5;18.75;Kindlimann Fabian;***;26;35.0;8;17.5;3;-1.25;8.75
+;8;27.5;Böni Ralf (2004);;12;55.25;5;28.25;-3;0.75;10.0
o;6;37.5;Strebel Joel;***;6;56.75;8;37.0;2;-0.5;8.5
+;11;46.0;Glutz Jonas (2006);;17;54.0;13;45.5;2;-0.5;9.75

10c;Schwenkfelder Lukas;*;;;;;;;;;55.75
-;;;Bachmann Sämi;;;;;;;;9.0
+;3;9.0;Nussbaumer Gabriel;;12;55.25;1;10.0;-2;1.0;9.75
o;5;18.75;Räbmatter Patrick;***;6;56.75;7;18.25;2;-0.5;8.5
+;9;27.25;Gisin Yanic;;17;54.0;9;27.25;0;0.0;10.0
o;7;37.25;Vieira Tiago;**;9;56.0;6;37.5;-1;0.25;8.5
+;12;45.75;Späti Jan;;14;54.75;11;46.0;-1;0.25;10.0

10d;Gerber Andrj;*;;;;;;;;;55.75
+;;;Küng Marco;*;;;;;;;10.0
o;1;10.0;Strebel Joel;***;6;56.75;5;8.5;4;-1.5;8.5
+;6;18.5;Furrer Mathias;;23;36.5;3;19.5;-3;1.0;10.0
o;4;28.5;Döbeli Andreas;***;6;56.75;8;27.5;4;-1.0;8.5
+;8;37.0;Strebel Dominic (2005);;16;54.25;7;37.25;-1;0.25;9.75
-;8;46.75;Joho Pascal (2004);;6;56.75;4;47.75;-4;1.0;9.0

10e;Stoll Simon;**;;;;;;;;;55.75
-;;;Leuthard Reto;**;;;;;;;8.75
-;4;8.75;Mangold Michael;**;14;54.75;4;8.75;0;0.0;8.75
+;8;17.5;Buchmann Moritz (2005);;12;55.25;6;18.5;-2;1.0;10.0
+;8;27.5;Burren Dominik;;13;55.0;5;28.25;-3;0.75;10.0
o;6;37.5;Döbeli Andreas;***;6;56.75;7;37.25;1;-0.25;8.5
+;11;46.0;Dünner Tobias (2005);;12;55.25;8;46.75;-3;0.75;9.75

10f;Rüegger Aaron;*;;;;;;;;;55.75
+;;;Odermatt Jonas (2004);*;;;;;;;9.75
o;2;9.75;Ledermann Michael;**;5;57.0;3;9.0;1;-0.75;8.75
-;6;18.5;Bachmann Sämi;;13;55.0;4;19.0;-2;0.5;9.0
+;8;27.5;Abt Robin;;19;53.5;6;28.0;-2;0.5;10.0
o;6;37.5;Fankhauser Marco;**;11;55.5;9;36.75;3;-0.75;8.5
+;11;46.0;Gisin Yanic;;17;54.0;13;45.5;2;-0.5;9.75

10g;Kehr Damian;;;;;;;;;;55.75
+;;;Béguelin Elias (2006);;;;;;;;10.0
-;1;10.0;Scherrer Johann;**;26;35.0;5;8.5;4;-1.5;8.75
o;5;18.75;Leuthard Reto;**;13;55.0;6;18.5;1;-0.25;8.5
+;9;27.25;Antenen Remo (2004);;17;54.0;10;27.0;1;-0.25;10.0
o;7;37.25;Döbeli Lukas;**;14;54.75;11;36.25;4;-1.0;8.5
+;12;45.75;Brugger Jonas;;17;54.0;13;45.5;1;-0.25;10.0

11a;Bearda Samuel;**;;;;;;;;;55.5
+;;;Voggensperger Lars;*;;;;;;;10.0
o;1;10.0;Odermatt Adrian;**;4;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Büttler Gian;;12;55.25;4;19.0;-2;0.5;10.0
o;4;28.5;Strebel Joel;***;6;56.75;9;27.25;5;-1.25;8.5
+;8;37.0;Buchmann Moritz (2005);;12;55.25;8;37.0;0;0.0;10.0
o;7;47.0;Döbeli Andreas;***;6;56.75;7;47.0;0;0.0;8.5

11b;Hasler Luis;;;;;;;;;;55.5
-;;;Studer Remo;*;;;;;;;9.0
+;3;9.0;Burkhardt Roy;;17;54.0;4;8.75;1;-0.25;9.75
o;5;18.75;Widmer Tobias;**;8;56.25;5;18.75;0;0.0;8.5
+;9;27.25;Suter Jonas;;12;55.25;10;27.0;1;-0.25;9.75
+;8;37.0;Furter Jannis (2004);;12;55.25;8;37.0;0;0.0;10.0
o;7;47.0;Vogel Remo;**;9;56.0;11;46.0;4;-1.0;8.5

11c;Fankhauser Marco;**;;;;;;;;;55.5
-;;;Widmer Tobias;**;;;;;;;8.75
+;4;8.75;Schmid Samuel;**;5;57.0;1;10.0;-3;1.25;9.75
o;6;18.5;Alpiger Nick;***;6;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Odermatt Jonas (2004);*;12;55.25;5;28.25;-5;1.25;9.75
+;9;36.75;Rüegger Aaron;*;10;55.75;6;37.5;-3;0.75;10.0
o;8;46.75;Voggensperger Lars;*;6;56.75;7;47.0;-1;0.25;8.75

11d;Stegmüller Klemens;*;;;;;;;;;55.5
o;;;Schmid Samuel;**;;;;;;;8.5
o;5;8.5;Döbeli Lukas;**;14;54.75;3;9.0;-2;0.5;8.5
+;10;17.0;Studinger Robin (2006);;14;54.75;7;18.25;-3;1.25;10.0
+;10;27.0;Reinhard Roman (2005);;28;34.25;14;25.75;4;-1.25;10.0
o;8;37.0;Schmid David;***;6;56.75;7;37.25;-1;0.25;8.5
+;13;45.5;Regenass Beat;;16;54.25;12;45.75;-1;0.25;10.0

11e;Roth Jan (2004);*;;;;;;;;;55.5
-;;;Probst Gabriel;**;;;;;;;8.75
-;4;8.75;Rohrbach Jérôme;;9;56.0;1;10.0;-3;1.25;8.75
-;8;17.5;Dobler Florian;;15;54.5;5;18.75;-3;1.25;8.75
+;12;26.25;Stalder Jonas;;17;54.0;9;27.25;-3;1.0;9.75
+;12;36.0;Huser Roman;;13;55.0;9;36.75;-3;0.75;9.75
+;12;45.75;Antenen Remo (2004);;17;54.0;13;45.5;1;-0.25;9.75

12a;Studer Remo;*;;;;;;;;;55.25
-;;;Hasler Luis;;;;;;;;9.0
o;3;9.0;Alpiger Nick;***;6;56.75;5;8.5;2;-0.5;8.5
+;8;17.5;Strebel Dominic (2005);;16;54.25;5;18.75;-3;1.25;9.75
+;9;27.25;Hermann Lukas;;14;54.75;6;28.0;-3;0.75;9.75
+;8;37.0;Hermann Oliver;**;9;56.0;7;37.25;-1;0.25;9.75
o;8;46.75;Schmid David;***;6;56.75;7;47.0;-1;0.25;8.5

12b;Büttler Gian;;;;;;;;;;55.25
+;;;Strebel Dominic (2005);;;;;;;;10.0
-;1;10.0;Stadler Kevin;*;12;55.25;5;8.5;4;-1.5;9.0
o;4;19.0;Bearda Samuel;**;11;55.5;6;18.5;2;-0.5;8.75
-;7;27.75;Müller Simon;;15;54.5;10;27.0;3;-0.75;9.0
o;9;36.75;Hermann Lukas;;14;54.75;10;36.5;1;-0.25;8.75
+;13;45.5;Anderegg David;*;16;54.25;13;45.5;0;0.0;9.75

12c;Nussbaumer Gabriel;;;;;;;;;;55.25
+;;;Meier Dario (2005);;;;;;;;10.0
o;1;10.0;Schwenkfelder Lukas;*;10;55.75;3;9.0;2;-1.0;8.5
+;6;18.5;Steffen Lunik (2006);;25;35.25;7;18.25;1;-0.25;10.0
+;4;28.5;Leuthard Reto;**;13;55.0;5;28.25;1;-0.25;9.75
o;3;38.25;Widmer Tobias;**;8;56.25;6;37.5;3;-0.75;8.5
o;8;46.75;Stüdeli Thomas;**;6;56.75;7;47.0;-1;0.25;8.5

12d;Dünner Tobias (2005);;;;;;;;;;55.25
+;;;Steffen Lunik (2006);;;;;;;;9.75
o;2;9.75;Stüdeli Thomas;**;6;56.75;4;8.75;2;-1.0;8.5
+;7;18.25;Antenen Remo (2004);;17;54.0;6;18.5;-1;0.25;10.0
o;5;28.25;Vieira Tiago;**;9;56.0;8;27.5;3;-0.75;8.5
+;9;36.75;Widmer Dino;;19;53.5;10;36.5;1;-0.25;10.0
o;8;46.75;Stoll Simon;**;10;55.75;11;46.0;3;-0.75;8.5

12e;Graber Colin;;;;;;;;;;55.25
+;;;Jüngling Pascal (2006);;;;;;;;10.0
-;1;10.0;Probst Gabriel;**;19;53.5;4;8.75;3;-1.25;8.75
+;5;18.75;Caviezel Nicolas;;25;35.25;7;18.25;2;-0.5;9.75
+;4;28.5;Döbeli Lukas;**;14;54.75;8;27.5;4;-1.0;9.75
o;3;38.25;Hügli Kaj;**;6;56.75;7;37.25;4;-1.0;8.5
o;8;46.75;Schwegler Dominik;;5;57.0;7;47.0;-1;0.25;8.5

12f;Kohler Adrian;*;;;;;;;;;55.25
-;;;Hermann Oliver;**;;;;;;;8.75
o;4;8.75;Döbeli Andreas;***;6;56.75;3;9.0;-1;0.25;8.5
+;9;17.25;Anderegg Michael (2006);;17;54.0;6;18.5;-3;1.25;10.0
+;9;27.25;Kirchmeier Christof;;14;54.75;6;28.0;-3;0.75;9.75
o;8;37.0;Voggensperger Lars;*;6;56.75;7;37.25;-1;0.25;8.5
+;13;45.5;Strebel Dominic (2005);;16;54.25;12;45.75;-1;0.25;9.75

12g;Suter Jonas;;;;;;;;;;55.25
+;;;Allenbach Patrick;;;;;;;;10.0
o;1;10.0;Henzer Andreas;**;13;55.0;5;8.5;4;-1.5;8.5
o;6;18.5;Späti Jan;;14;54.75;5;18.75;-1;0.25;8.5
o;10;27.0;Hasler Luis;;11;55.5;9;27.25;-1;0.25;8.5
+;14;35.5;Studer Louis (2004);;22;52.5;14;35.5;0;0.0;10.0
+;13;45.5;Stalder Jonas;;17;54.0;13;45.5;0;0.0;9.75

12h;Odermatt Jonas (2004);*;;;;;;;;;55.25
o;;;Rüegger Aaron;*;;;;;;;8.5
+;5;8.5;Müller Christian;;17;54.0;1;10.0;-4;1.5;9.75
+;7;18.25;Furter Jannis (2004);;12;55.25;6;18.5;-1;0.25;10.0
o;5;28.25;Fankhauser Marco;**;11;55.5;10;27.0;5;-1.25;8.5
+;9;36.75;Anderegg David;*;16;54.25;8;37.0;-1;0.25;10.0
o;8;46.75;Schmid Samuel;**;5;57.0;7;47.0;-1;0.25;8.5

12i;Buchmann Moritz (2005);;;;;;;;;;55.25
+;;;Rodemerk Kevin;;;;;;;;10.0
o;1;10.0;Ancona Enea (2004);;13;55.0;2;9.75;1;-0.25;8.5
o;6;18.5;Stoll Simon;**;10;55.75;8;17.5;2;-1.0;8.5
+;10;27.0;Nussbaumer Dominik;;25;35.25;11;26.75;1;-0.25;10.0
o;8;37.0;Bearda Samuel;**;11;55.5;8;37.0;0;0.0;8.5
+;13;45.5;Stalder Jonas;;17;54.0;13;45.5;0;0.0;9.75

12j;Böni Ralf (2004);;;;;;;;;;55.25
+;;;Brunner Lukas (2006);;;;;;;;9.75
+;2;9.75;Vogt Sandro (2004);;13;55.0;2;9.75;0;0.0;10.0
o;2;19.75;Lüscher Sinisha (2006);*;10;55.75;6;18.5;4;-1.25;8.5
o;5;28.25;Streich Sascha;*;10;55.75;8;27.5;3;-0.75;8.5
o;9;36.75;Ancona Enea (2004);;13;55.0;10;36.5;1;-0.25;8.5
+;14;45.25;Burtschi Michael;;18;53.75;14;45.25;0;0.0;10.0

12k;Stadler Kevin;*;;;;;;;;;55.25
o;;;Lüscher Sinisha (2006);*;;;;;;;8.5
-;5;8.5;Büttler Gian;;12;55.25;1;10.0;-4;1.5;9.0
+;8;17.5;Vogt Marco;;20;53.25;5;18.75;-3;1.25;9.75
+;9;27.25;Voggensperger Til (2004);;14;54.75;8;27.5;-1;0.25;9.75
o;8;37.0;Vogel Remo;**;9;56.0;12;36.0;4;-1.0;8.5
+;13;45.5;Hermann Lukas;;14;54.75;10;46.25;-3;0.75;9.75

12l;Furter Jannis (2004);;;;;;;;;;55.25
o;;;Hermann Lukas;;;;;;;;8.5
+;5;8.5;Yeschiltepe Turgut (2006);;29;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Odermatt Jonas (2004);*;12;55.25;7;18.25;1;-0.25;8.5
+;10;27.0;Brunner Lukas (2006);;22;52.5;10;27.0;0;0.0;10.0
o;8;37.0;Hasler Luis;;11;55.5;8;37.0;0;0.0;8.5
+;13;45.5;Anderegg Michael (2006);;17;54.0;13;45.5;0;0.0;9.75

13a;Henzer Andreas;**;;;;;;;;;55.0
