4437-2019-05-19_96_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Schuler Alex;***;;;;;;;;;113.0
o;5;29.25;Schurtenberger Sven;***;4;59.5;4;29.75;-1;0.5;8.75
+;8;38.0;Egli Damian;**;9;56.5;7;38.25;-1;0.25;10.0
-;6;48.0;Kenel Franz-Toni;*;7;57.0;6;48.0;0;0.0;9.0

7h;von Ah Benji;***;;;;;;;;;57.0
-;;;Nötzli Reto;***;;;;;;;8.75
+;6;8.75;Schürpf Bruno;*;8;56.75;4;9.75;-2;1.0;9.75
+;8;18.5;Kälin Roland;**;6;57.25;7;18.75;-1;0.25;10.0
+;8;28.5;Eﬃnger Markus;*;8;56.75;8;28.5;0;0.0;10.0
-;6;38.5;Suppiger René;***;7;57.0;6;38.5;0;0.0;8.75
+;9;47.25;Linggi Bruno;**;13;55.5;10;47.0;1;-0.25;9.75

8a;Bienz Romeo;;;;;;;;;;56.75
+;;;Gander Benjamin;;;;;;;;9.75
+;4;9.75;Hodel Martin;;18;54.25;3;10.0;-1;0.25;10.0
-;4;19.75;Moos Christoph;*;16;54.75;8;18.5;4;-1.25;8.75
+;8;28.5;Fankhauser Reto;**;15;55.0;10;28.0;2;-0.5;9.75
o;7;38.25;Gwerder Dario;**;10;56.25;10;37.5;3;-0.75;8.75
+;10;47.0;Wicki David;;16;54.75;13;46.25;3;-0.75;9.75

8b;Schürpf Bruno;*;;;;;;;;;56.75
+;;;Thalmann Thomas;*;;;;;;;9.75
o;4;9.75;von Ah Benji;***;7;57.0;6;8.75;2;-1.0;8.5
+;9;18.25;Hodel Martin;;18;54.25;8;18.5;-1;0.25;10.0
+;9;28.25;Dittli Mathias (2002);;20;53.75;10;28.0;1;-0.25;10.0
o;7;38.25;Schuler Christian;***;10;56.25;11;37.25;4;-1.0;8.75
+;10;47.0;Gwerder Andreas;*;15;55.0;12;46.5;2;-0.5;9.75

8c;Hess Michael;*;;;;;;;;;56.75
-;;;Hess Dominik;*;;;;;;;9.0
-;5;9.0;Elsener Adrian;**;13;55.5;6;8.75;1;-0.25;8.75
+;11;17.75;Gander Benjamin;;17;54.5;8;18.5;-3;0.75;10.0
-;11;27.75;Binggeli Stefan;**;13;55.5;12;27.5;1;-0.25;9.0
+;13;36.75;Widmer Dominik;;21;53.5;14;36.5;1;-0.25;10.0
+;11;46.75;Bachmann Roger;*;13;55.5;10;47.0;-1;0.25;10.0

8d;Eﬃnger Markus;*;;;;;;;;;56.75
o;;;Gasser Peter;*;;;;;;;8.5
+;7;8.5;Amgarten Martin;*;27;45.75;6;8.75;-1;0.25;10.0
+;8;18.5;Ettlin Martin;;16;54.75;6;19.0;-2;0.5;10.0
o;8;28.5;von Ah Benji;***;7;57.0;8;28.5;0;0.0;8.5
+;12;37.0;Buchmann Michael;;14;55.25;12;37.0;0;0.0;10.0
+;10;47.0;Thierstein Marco;*;14;55.25;12;46.5;2;-0.5;9.75

8e;Betschart Patrick;*;;;;;;;;;56.75
+;;;Ming Christian;*;;;;;;;10.0
o;3;10.0;Gwerder Michael;**;7;57.0;4;9.75;1;-0.25;8.5
+;8;18.5;Zumstein Patrick;;16;54.75;7;18.75;-1;0.25;10.0
o;8;28.5;Suppiger René;***;7;57.0;8;28.5;0;0.0;8.5
+;12;37.0;Egli Adrian (2002);;18;54.25;12;37.0;0;0.0;9.75
+;11;46.75;Durrer Robin;*;15;55.0;12;46.5;1;-0.25;10.0

8f;Müllestein Mike;***;;;;;;;;;56.75
o;;;Rychen Roger;***;;;;;;;8.75
+;6;8.75;Pianta Christian;*;17;54.5;3;10.0;-3;1.25;10.0
-;7;18.75;Ettlin Stefan;**;10;56.25;7;18.75;0;0.0;9.0
+;11;27.75;Zürcher Ueli;*;15;55.0;9;28.25;-2;0.5;10.0
-;9;37.75;Gasser Stefan;**;10;56.25;10;37.5;1;-0.25;9.0
+;11;46.75;Elsener Adrian;**;13;55.5;10;47.0;-1;0.25;10.0

9a;Durrer Nando;*;;;;;;;;;56.5
-;;;Keller Janik;*;;;;;;;8.75
-;6;8.75;Lemmenmeier Lukas;*;12;55.75;6;8.75;0;0.0;9.0
+;11;17.75;Arnold Robin (2003);;22;53.25;12;17.5;1;-0.25;10.0
-;11;27.75;Suter Pirmin;;17;54.5;9;28.25;-2;0.5;9.0
+;13;36.75;Epp Elias (2003);;20;53.75;13;36.75;0;0.0;10.0
+;11;46.75;Schuler Philipp;**;11;56.0;9;47.25;-2;0.5;9.75

9b;Egli Damian;**;;;;;;;;;56.5
o;;;Waser Dominik;**;;;;;;;8.5
+;7;8.5;Bürgi Reto;*;18;54.25;6;8.75;-1;0.25;9.75
+;9;18.25;Forster Christian;;22;53.25;7;18.75;-2;0.5;10.0
+;9;28.25;Bürgler André;*;10;56.25;8;28.5;-1;0.25;10.0
o;7;38.25;Rychen Roger;***;7;57.0;8;38.0;1;-0.25;8.5
+;11;46.75;Blaser Theo;*;15;55.0;12;46.5;1;-0.25;9.75

9c;Zurﬂuh Roman;**;;;;;;;;;56.5
-;;;Murer Andy;**;;;;;;;8.75
+;6;8.75;Gwerder Andreas;*;15;55.0;4;9.75;-2;1.0;10.0
-;7;18.75;Schuler Alex;***;1;113.0;1;37.0;-6;18.25;9.0
+;11;27.75;Ulrich Damian;;19;54.0;9;28.25;-2;0.5;10.0
+;9;37.75;Heinzer Ronny;*;13;55.5;7;38.25;-2;0.5;10.0
-;7;47.75;Schuler Christian;***;10;56.25;9;47.25;2;-0.5;8.75

10a;Bucher Christian;*;;;;;;;;;56.25
-;;;Arnold Fabian;*;;;;;;;8.75
-;6;8.75;Binggeli Stefan;**;13;55.5;6;8.75;0;0.0;8.75
o;12;17.5;Gasser Stefan;**;10;56.25;11;17.75;-1;0.25;8.75
+;17;26.25;Kaufmann Jens;;31;35.5;14;27.0;-3;0.75;10.0
+;15;36.25;Gander Benjamin;;17;54.5;16;36.0;1;-0.25;10.0
+;13;46.25;Fankhauser Reto;**;15;55.0;13;46.25;0;0.0;10.0

10b;Schärli Reto;;;;;;;;;;56.25
-;;;Flück Bruno;;;;;;;;9.0
+;5;9.0;Schuler Thomas;;35;34.5;6;8.75;1;-0.25;9.75
o;7;18.75;Waser Reto;*;11;56.0;9;18.25;2;-0.5;8.5
+;13;27.25;Elsener Peter;**;32;35.25;15;26.75;2;-0.5;10.0
-;11;37.25;Arnold Fabian;*;14;55.25;11;37.25;0;0.0;9.0
+;13;46.25;Gwerder Beni;;16;54.75;13;46.25;0;0.0;10.0

10c;Ettlin Stefan;**;;;;;;;;;56.25
-;;;Fankhauser Reto;**;;;;;;;9.0
+;5;9.0;Bucher Thomas;*;11;56.0;5;9.0;0;0.0;9.75
-;7;18.75;Müllestein Mike;***;8;56.75;7;18.75;0;0.0;9.0
+;11;27.75;Betschart Daniel;;17;54.5;8;28.5;-3;0.75;10.0
o;9;37.75;Kessler Joel;*;7;57.0;6;38.5;-3;0.75;8.75
+;12;46.5;Arnold Marcel;*;14;55.25;12;46.5;0;0.0;9.75

10d;Hurschler Thomas;**;;;;;;;;;56.25
-;;;Elsener Adrian;**;;;;;;;8.75
-;6;8.75;Schmidiger Marco;*;16;54.75;6;8.75;0;0.0;8.75
+;12;17.5;Gisler Noah (2002);;23;53.0;8;18.5;-4;1.0;10.0
+;12;27.5;Lustenberger Florian (2002);;18;54.25;9;28.25;-3;0.75;10.0
+;10;37.5;Kennel Beat;*;12;55.75;11;37.25;1;-0.25;10.0
-;8;47.5;Ulrich Andreas;***;10;56.25;8;47.5;0;0.0;8.75

10e;Hess Dominik;*;;;;;;;;;56.25
-;;;Hess Michael;*;;;;;;;9.0
o;5;9.0;Gwerder Dario;**;10;56.25;6;8.75;1;-0.25;8.75
+;11;17.75;Buchmann Michael;;14;55.25;8;18.5;-3;0.75;10.0
+;11;27.75;Gwerder Andreas;*;15;55.0;9;28.25;-2;0.5;10.0
o;9;37.75;Nötzli Reto;***;5;57.5;10;37.5;1;-0.25;8.75
+;12;46.5;Gwerder Fabian;;15;55.0;13;46.25;1;-0.25;9.75

10f;Gwerder Dario;**;;;;;;;;;56.25
-;;;Wey Nicola;*;;;;;;;8.75
+;6;8.75;Hess Dominik;*;10;56.25;5;9.0;-1;0.25;10.0
+;7;18.75;Jund Matthias;;11;56.0;3;20.0;-4;1.25;9.75
-;8;28.5;Kurmann Toni;*;11;56.0;8;28.5;0;0.0;9.0
+;10;37.5;Bienz Romeo;;8;56.75;7;38.25;-3;0.75;9.75
-;9;47.25;Bucher Thomas;*;11;56.0;10;47.0;1;-0.25;9.0

10g;Gasser Stefan;**;;;;;;;;;56.25
o;;;Kessler Joel;*;;;;;;;8.75
-;6;8.75;Hösli Fritz;*;39;26.25;6;8.75;0;0.0;9.0
+;11;17.75;Bucher Christian;*;10;56.25;12;17.5;1;-0.25;9.75
+;12;27.5;Gwerder Fabian;;15;55.0;10;28.0;-2;0.5;10.0
-;10;37.5;Müllestein Mike;***;8;56.75;9;37.75;-1;0.25;8.75
+;13;46.25;Hürlimann Marco (2002);;16;54.75;13;46.25;0;0.0;10.0

10h;Bürgler André;*;;;;;;;;;56.25
+;;;Gisler Jonas (2001);*;;;;;;;9.75
-;4;9.75;Murer Andy;**;11;56.0;6;8.75;2;-1.0;9.0
+;7;18.75;Egli Adrian (2002);;18;54.25;3;20.0;-4;1.25;9.75
o;8;28.5;Egli Damian;**;9;56.5;9;28.25;1;-0.25;8.75
-;11;37.25;Wicki David;;16;54.75;10;37.5;-1;0.25;9.0
+;13;46.25;Ettlin Martin;;16;54.75;13;46.25;0;0.0;10.0

10i;Schuler Christian;***;;;;;;;;;56.25
o;;;Schurtenberger Sven;***;;;;;;;8.5
+;7;8.5;Moos Christoph;*;16;54.75;3;10.0;-4;1.5;10.0
o;8;18.5;Herger Matthias;**;6;57.25;7;18.75;-1;0.25;8.75
+;13;27.25;Durrer Robin;*;15;55.0;9;28.25;-4;1.0;10.0
+;11;37.25;Schürpf Bruno;*;8;56.75;7;38.25;-4;1.0;10.0
-;9;47.25;Zurﬂuh Roman;**;9;56.5;7;47.75;-2;0.5;9.0

10j;Ulrich Andreas;***;;;;;;;;;56.25
-;;;Fankhauser Erich;***;;;;;;;9.0
+;5;9.0;Gander Adrian;*;16;54.75;3;10.0;-2;1.0;9.75
-;7;18.75;Betschart Rainer;**;6;57.25;7;18.75;0;0.0;9.0
+;11;27.75;Gisler Jonas (2001);*;17;54.5;8;28.5;-3;0.75;9.75
+;10;37.5;Gwerder Carlo;**;13;55.5;8;38.0;-2;0.5;10.0
-;8;47.5;Hurschler Thomas;**;10;56.25;8;47.5;0;0.0;8.75

11a;Lagler Christian;;;;;;;;;;56.0
+;;;Buchmann Michael;;;;;;;;10.0
+;3;10.0;Schwyzer Samuel (2001);;17;54.5;3;10.0;0;0.0;9.75
+;4;19.75;Gasser Peter;*;14;55.25;8;18.5;4;-1.25;10.0
o;4;29.75;Waser Dominik;**;7;57.0;8;28.5;4;-1.25;8.5
-;7;38.25;Murer Andy;**;11;56.0;11;37.25;4;-1.0;8.75
-;10;47.0;Steiner Severin (2001);;11;56.0;10;47.0;0;0.0;9.0

11b;Dändliker Shane;**;;;;;;;;;56.0
o;;;Gwerder Michael;**;;;;;;;8.5
-;7;8.5;Elsener Marcel;*;20;53.75;6;8.75;-1;0.25;9.0
+;12;17.5;Andermatt Reto (2002);;32;35.25;9;18.25;-3;0.75;10.0
+;12;27.5;Ziegler Elias;;21;53.5;10;28.0;-2;0.5;10.0
o;10;37.5;Elsener Adrian;**;13;55.5;12;37.0;2;-0.5;8.5
+;14;46.0;Hodel Martin;;18;54.25;15;45.75;1;-0.25;10.0

11c;Murer Andy;**;;;;;;;;;56.0
-;;;Zurﬂuh Roman;**;;;;;;;8.75
-;6;8.75;Bürgler André;*;10;56.25;4;9.75;-2;1.0;8.75
+;12;17.5;Suter Lukas (2002);;38;26.75;9;18.25;-3;0.75;10.0
+;12;27.5;Grab Daniel;**;14;55.25;10;28.0;-2;0.5;9.75
-;11;37.25;Lagler Christian;;11;56.0;7;38.25;-4;1.0;8.75
+;14;46.0;Weber Ivo;;17;54.5;14;46.0;0;0.0;10.0

11d;Waser Reto;*;;;;;;;;;56.0
+;;;Müller Roger;*;;;;;;;9.75
o;4;9.75;Waser Dominik;**;7;57.0;4;9.75;0;0.0;8.5
+;9;18.25;Schärli Reto;;10;56.25;7;18.75;-2;0.5;10.0
-;9;28.25;Burch Jonas;*;14;55.25;11;27.75;2;-0.5;8.75
+;12;37.0;Blattmann Philipp;;15;55.0;13;36.75;1;-0.25;10.0
-;10;47.0;Binggeli Stefan;**;13;55.5;12;46.5;2;-0.5;9.0

11e;Kurmann Toni;*;;;;;;;;;56.0
-;;;Blaser Theo;*;;;;;;;8.75
+;6;8.75;Ulrich Marco;*;16;54.75;6;8.75;0;0.0;10.0
+;7;18.75;Ulrich Pascal;;12;55.75;3;20.0;-4;1.25;9.75
-;8;28.5;Gwerder Dario;**;10;56.25;8;28.5;0;0.0;9.0
o;10;37.5;Kenel Franz-Toni;*;7;57.0;8;38.0;-2;0.5;8.5
+;14;46.0;Beffa Mario;;17;54.5;14;46.0;0;0.0;10.0

11f;Jund Matthias;;;;;;;;;;56.0
+;;;Rogenmoser Linus (2002);;;;;;;;10.0
+;3;10.0;Spichtig Aldo;;17;54.5;3;10.0;0;0.0;10.0
o;3;20.0;Gwerder Dario;**;10;56.25;7;18.75;4;-1.25;8.75
o;7;28.75;Gwerder Carlo;**;13;55.5;9;28.25;2;-0.5;8.75
o;10;37.5;Inderbitzin Daniel;*;13;55.5;11;37.25;1;-0.25;8.5
+;14;46.0;Betschart Daniel;;17;54.5;15;45.75;1;-0.25;10.0

11g;Bucher Thomas;*;;;;;;;;;56.0
-;;;Arnold Marcel;*;;;;;;;9.0
o;5;9.0;Ettlin Stefan;**;10;56.25;5;9.0;0;0.0;8.5
+;12;17.5;Graber Sandro;;15;55.0;8;18.5;-4;1.0;9.75
+;13;27.25;Wyss Sven (2001);;21;53.5;12;27.5;-1;0.25;9.75
+;12;37.0;Dissler Philipp;*;22;53.25;16;36.0;4;-1.0;10.0
-;10;47.0;Gwerder Dario;**;10;56.25;9;47.25;-1;0.25;9.0

11h;Briker Hannes;;;;;;;;;;56.0
-;;;Gwerder Marco;;;;;;;;8.75
+;6;8.75;Lagler Reto;;32;35.25;7;8.5;1;-0.25;10.0
o;7;18.75;Reichmuth Lukas;*;13;55.5;8;18.5;1;-0.25;8.5
-;13;27.25;Schmidiger Marco;*;16;54.75;13;27.25;0;0.0;8.75
+;16;36.0;Forster Christian;;22;53.25;17;35.75;1;-0.25;10.0
+;14;46.0;Kammermann Christoph;*;23;53.0;20;44.5;6;-1.5;10.0

11i;Schuler Philipp;**;;;;;;;;;56.0
+;;;Reichmuth Armin;*;;;;;;;10.0
o;3;10.0;Schurtenberger Sven;***;4;59.5;3;10.0;0;0.0;8.5
+;8;18.5;Herger Simon;;19;54.0;5;19.5;-3;1.0;10.0
+;8;28.5;Ming Hannes;;18;54.25;8;28.5;0;0.0;10.0
-;6;38.5;Brun Jonas;**;25;47.0;12;37.0;6;-1.5;8.75
o;9;47.25;Durrer Nando;*;9;56.5;11;46.75;2;-0.5;8.75

11j;Steiner Severin (2001);;;;;;;;;;56.0
+;;;Ming Christian 2;;;;;;;;10.0
+;3;10.0;Zgraggen Peter;;19;54.0;3;10.0;0;0.0;10.0
o;3;20.0;Brun Jonas;**;25;47.0;8;18.5;5;-1.5;8.5
+;8;28.5;Thierstein Marco;*;14;55.25;10;28.0;2;-0.5;9.75
o;7;38.25;Höﬂiger Andreas;**;6;57.25;10;37.5;3;-0.75;8.75
-;10;47.0;Lagler Christian;;11;56.0;10;47.0;0;0.0;9.0

12a;Langensand Stefan;*;;;;;;;;;55.75
-;;;Lemmenmeier Lukas;*;;;;;;;8.75
o;6;8.75;Kenel Franz-Toni;*;7;57.0;6;8.75;0;0.0;8.75
+;12;17.5;Keller Janik;*;19;54.0;12;17.5;0;0.0;9.75
+;13;27.25;Grüter Marcel;;23;53.0;13;27.25;0;0.0;10.0
+;11;37.25;Weber Ivo;;17;54.5;10;37.5;-1;0.25;10.0
o;9;47.25;Nötzli Reto;***;5;57.5;8;47.5;-1;0.25;8.5

12b;Lemmenmeier Lukas;*;;;;;;;;;55.75
-;;;Langensand Stefan;*;;;;;;;8.75
-;6;8.75;Durrer Nando;*;9;56.5;6;8.75;0;0.0;9.0
+;11;17.75;Flück Bruno;;23;53.0;11;17.75;0;0.0;9.75
o;12;27.5;Kenel Franz-Toni;*;7;57.0;9;28.25;-3;0.75;8.5
