3754-2017-05-14_94_Schwyzer_Kant_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
+;12;27.25;Grab Daniel;**;14;54.75;9;28.0;-3;0.75;9.75
+;10;37.0;Huber Alex;;6;56.75;5;38.25;-5;1.25;10.0
+;8;47.0;Heinzer Stefan;*;1;111.0;1;93.75;-7;46.75;9.75

6g;Müllestein Mike;***;;;;;;;;;56.75
+;;;Fankhauser Erich;***;;;;;;;10.0
+;3;10.0;Rohrer Ivan;**;10;55.75;3;10.0;0;0.0;9.75
-;4;19.75;Schuler Alex;***;2;92.75;2;38.0;-2;18.25;9.0
-;6;28.75;Kennel Stefan;**;5;57.0;7;28.5;1;-0.25;9.0
+;7;37.75;Niederberger Markus;*;12;55.25;5;38.25;-2;0.5;10.0
-;5;47.75;Egli Pirmin;**;7;56.5;5;47.75;0;0.0;9.0

7a;Bucher Christian;*;;;;;;;;;56.5
+;;;Betschart Silvan;*;;;;;;;9.75
o;4;9.75;Schuler Alex;***;2;92.75;1;19.75;-3;10.0;8.5
+;9;18.25;Heinzer Josef;;12;55.25;8;18.5;-1;0.25;10.0
-;8;28.25;Kempf Damian;;15;54.5;7;28.5;-1;0.25;8.75
+;10;37.0;Kennel Beat;*;11;55.5;10;37.0;0;0.0;9.75
+;9;46.75;Portmann Josef;*;13;55.0;11;46.25;2;-0.5;9.75

7b;Arnold Stefan;**;;;;;;;;;56.5
o;;;Höﬂiger Andreas;**;;;;;;;8.5
o;7;8.5;Bucher Roland;*;8;56.25;4;9.75;-3;1.25;8.5
+;13;17.0;Ulrich Marcel;;17;54.0;8;18.5;-5;1.5;10.0
+;13;27.0;Gwerder Andreas;*;16;54.25;11;27.5;-2;0.5;10.0
+;10;37.0;Diethelm Albert;*;16;54.25;9;37.25;-1;0.25;9.75
+;9;46.75;Grab Daniel;**;14;54.75;11;46.25;2;-0.5;9.75

7c;Egli Pirmin;**;;;;;;;;;56.5
o;;;Kennel Stefan;**;;;;;;;8.5
+;7;8.5;Nauer Robin;;12;55.25;3;10.0;-4;1.5;9.75
+;9;18.25;Durrer Fabian (1999);;13;55.0;8;18.5;-1;0.25;10.0
+;8;28.25;Keller Markus;*;16;54.25;7;28.5;-1;0.25;9.75
+;6;38.0;Heinzer Stefan;*;1;111.0;1;75.25;-5;37.25;9.75
-;5;47.75;Müllestein Mike;***;6;56.75;5;47.75;0;0.0;8.75

7d;Gloggner Philipp;***;;;;;;;;;56.5
-;;;Nötzli Reto;***;;;;;;;8.75
o;6;8.75;Heinzer Stefan;*;1;111.0;2;18.5;-4;9.75;8.5
+;12;17.25;Kenel Franz-Toni;*;11;55.5;9;18.25;-3;1.0;10.0
+;12;27.25;Heinzer Stefan;*;1;111.0;1;58.0;-11;30.75;9.75
+;10;37.0;Blaser Theo;*;11;55.5;9;37.25;-1;0.25;9.75
+;9;46.75;Fässler Cornel;*;13;55.0;10;46.5;1;-0.25;9.75

8a;Briker Michael;*;;;;;;;;;56.25
+;;;Kenel Franz-Toni;*;;;;;;;9.75
