3754-2017-05-14_94_Schwyzer_Kant_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
-;8;18.5;Amgarten Roman;*;17;54.0;12;17.25;4;-1.25;8.75
-;12;27.25;Fallegger Joel;;15;54.5;12;27.25;0;0.0;8.75
+;14;36.0;Durrer Lukas (1999);;19;53.5;12;36.5;-2;0.5;10.0
-;12;46.0;Dober Adrian;**;13;55.0;12;46.0;0;0.0;8.75

14h;Schelbert Roman;;;;;;;;;;54.75
+;;;Spichtig Clemens;;;;;;;;9.75
-;4;9.75;Amgarten Roman;*;17;54.0;7;8.5;3;-1.25;8.75
-;8;18.5;Herger Andreas;;15;54.5;7;18.75;-1;0.25;9.0
o;11;27.5;Felder Seppi;*;13;55.0;12;27.25;1;-0.25;8.5
+;14;36.0;Heiniger Luca;;19;53.5;12;36.5;-2;0.5;10.0
-;12;46.0;Hurschler Thomas;**;14;54.75;12;46.0;0;0.0;8.75

14i;Grab Daniel;**;;;;;;;;;54.75
o;;;Hermann Oliver;*;;;;;;;8.5
+;7;8.5;Heiniger Luca;;19;53.5;4;9.75;-3;1.25;9.75
+;9;18.25;Thierstein Marco;;16;54.25;8;18.5;-1;0.25;9.75
o;9;28.0;Fankhauser Erich;***;6;56.75;12;27.25;3;-0.75;8.5
+;12;36.5;Albert Thomas;;17;54.0;10;37.0;-2;0.5;9.75
o;11;46.25;Arnold Stefan;**;7;56.5;9;46.75;-2;0.5;8.5

14j;Beffa Mario;;;;;;;;;;54.75
+;;;Wallimann Remo;;;;;;;;9.75
-;4;9.75;Bachmann Roger;*;11;55.5;7;8.5;3;-1.25;8.75
+;8;18.5;Amgarten Martin;*;17;54.0;9;18.25;1;-0.25;9.75
o;8;28.25;Niederberger Markus;*;12;55.25;8;28.25;0;0.0;8.5
-;11;36.75;Della Torre Simon;;10;55.75;10;37.0;-1;0.25;9.0
-;13;45.75;Hürlimann Mathias (2000);;16;54.25;14;45.5;1;-0.25;9.0

14k;Egli Damian;**;;;;;;;;;54.75
-;;;Hurschler Thomas;**;;;;;;;8.75
-;6;8.75;Schürpf Bruno;;13;55.0;3;10.0;-3;1.25;8.75
+;11;17.5;Spichtig Clemens;;15;54.5;8;18.5;-3;1.0;9.75
+;12;27.25;Suter Samuel (1999);;16;54.25;12;27.25;0;0.0;10.0
o;9;37.25;Bieri Marcel;**;5;57.0;9;37.25;0;0.0;8.5
-;13;45.75;Bürgler Lukas;*;14;54.75;13;45.75;0;0.0;9.0

14l;Fink Bruno;*;;;;;;;;;54.75
-;;;Gwerder Carlo;**;;;;;;;8.75
-;6;8.75;Ulrich Marco;*;28;34.75;6;8.75;0;0.0;8.75
+;11;17.5;Staub Devin;;25;35.5;9;18.25;-2;0.75;10.0
o;11;27.5;Huber Alex;;6;56.75;8;28.25;-3;0.75;8.75
+;13;36.25;Bucher André (2001);;21;53.0;15;35.75;2;-0.5;10.0
o;11;46.25;Schuler Alex;***;2;92.75;2;82.75;-9;36.5;8.5

14m;Suter Pirmin;;;;;;;;;;54.75
+;;;Arnold Fabian;;;;;;;;9.75
o;4;9.75;Fankhauser Reto;**;12;55.25;7;8.5;3;-1.25;8.5
-;9;18.25;Stöckli Damian;;11;55.5;9;18.25;0;0.0;9.0
-;12;27.25;Gisler Jonas (2001);;21;53.0;13;27.0;1;-0.25;9.0
+;13;36.25;Gander Benjamin (2000);;19;53.5;14;36.0;1;-0.25;9.75
o;12;46.0;Bürgi Reto;*;9;56.0;12;46.0;0;0.0;8.75

15a;Bienz Romeo;;;;;;;;;;54.5
+;;;Burren Patrick (1999);;;;;;;;10.0
o;3;10.0;Betschart Marcel;;13;55.0;4;9.75;1;-0.25;8.75
o;7;18.75;Briker Michael;*;8;56.25;8;18.5;1;-0.25;8.5
o;12;27.25;Thierstein Marco;;16;54.25;12;27.25;0;0.0;8.5
-;15;35.75;Fallegger Joel;;15;54.5;14;36.0;-1;0.25;9.0
+;17;44.75;Zimmermann Reto;;21;53.0;18;44.5;1;-0.25;9.75

15b;Hauser Roman (2000);;;;;;;;;;54.5
o;;;Betschart Patrick (1999);;;;;;;;8.5
+;7;8.5;Bienz Manuel (1999);;25;35.5;7;8.5;0;0.0;10.0
o;8;18.5;Bürgler Lukas;*;14;54.75;11;17.5;3;-1.0;8.5
+;13;27.0;Steiner Severin (2001);;26;35.25;14;26.75;1;-0.25;9.75
-;11;36.75;Reichmuth Lukas (2000);;18;53.75;13;36.25;2;-0.5;8.75
-;14;45.5;Schöpfer Dio;**;16;54.25;15;45.25;1;-0.25;9.0

15c;Hügli Kaj;*;;;;;;;;;54.5
o;;;Eﬃnger Markus;*;;;;;;;8.5
-;7;8.5;Lagler Christian;;24;37.0;3;10.0;-4;1.5;8.75
+;12;17.25;Eﬃnger Peter;;12;55.25;8;18.5;-4;1.25;10.0
-;12;27.25;Schuler Daniel;;14;54.75;11;27.5;-1;0.25;8.75
+;14;36.0;Keller Janik;*;16;54.25;14;36.0;0;0.0;10.0
o;12;46.0;Omlin Toni;*;9;56.0;12;46.0;0;0.0;8.5

15d;Vonlaufen Lukas;*;;;;;;;;;54.5
-;;;Linggi Bruno;**;;;;;;;8.75
+;6;8.75;Diethelm Albert;*;16;54.25;6;8.75;0;0.0;9.75
o;8;18.5;Grab Martin;***;9;56.0;8;18.5;0;0.0;8.5
+;13;27.0;Reichmuth Lukas (2000);;18;53.75;10;27.75;-3;0.75;10.0
-;10;37.0;Wyrsch Silvio;;11;55.5;10;37.0;0;0.0;8.75
-;13;45.75;Schuler Daniel;;14;54.75;12;46.0;-1;0.25;8.75

15e;Herger Andreas;;;;;;;;;;54.5
+;;;Spichtig Aldo;;;;;;;;10.0
-;3;10.0;Gwerder Andreas;*;16;54.25;7;8.5;4;-1.5;8.75
-;7;18.75;Schelbert Roman;;14;54.75;8;18.5;1;-0.25;9.0
+;10;27.75;Schöpfer Dio;**;16;54.25;8;28.25;-2;0.5;9.75
o;8;37.5;Hurschler Adrian;;12;55.25;10;37.0;2;-0.5;8.5
o;12;46.0;Betschart Patrick (1999);;9;56.0;12;46.0;0;0.0;8.5

15f;Elmiger Andreas;;;;;;;;;;54.5
+;;;Hediger Kilian (2001);;;;;;;;10.0
o;3;10.0;Blaser Theo;*;11;55.5;6;8.75;3;-1.25;8.5
-;8;18.5;Schürpf Bruno;;13;55.0;7;18.75;-1;0.25;9.0
o;11;27.5;Fässler Cornel;*;13;55.0;13;27.0;2;-0.5;8.5
+;14;36.0;Staub Ivan (1999);;20;53.25;13;36.25;-1;0.25;10.0
o;12;46.0;Gwerder Carlo;**;9;56.0;12;46.0;0;0.0;8.5

15g;Rüttimann Daniel;;;;;;;;;;54.5
+;;;Gwerder Marco;;;;;;;;10.0
-;3;10.0;Keller Janik;*;16;54.25;6;8.75;3;-1.25;8.75
o;7;18.75;Eﬃnger Markus;*;10;55.75;8;18.5;1;-0.25;8.5
-;12;27.25;Betschart Daniel;;18;53.75;12;27.25;0;0.0;8.75
+;14;36.0;Kennel Roger (1999);;17;54.0;15;35.75;1;-0.25;10.0
o;12;46.0;Eﬃnger Markus;*;10;55.75;12;46.0;0;0.0;8.5

15h;Zimmermann Armin;;;;;;;;;;54.5
-;;;Herger Lukas;;;;;;;;9.0
-;5;9.0;Bühler Kilian (2000);;25;35.5;4;9.75;-1;0.75;8.75
+;10;17.75;Auf der Maur Michael (2000);;29;34.5;11;17.5;1;-0.25;9.75
o;11;27.5;Fankhauser Reto;**;12;55.25;14;26.75;3;-0.75;8.5
-;14;36.0;Zimmermann Reto;;21;53.0;15;35.75;1;-0.25;8.75
+;17;44.75;Durrer Ive (2000);;21;53.0;18;44.5;1;-0.25;9.75

15i;Elmiger Matthias;;;;;;;;;;54.5
+;;;Auf der Maur Michael (2000);;;;;;;;9.75
o;4;9.75;Gwerder Beni;;25;35.5;6;8.75;2;-1.0;8.5
o;9;18.25;Bürgi Reto;*;9;56.0;11;17.5;2;-0.75;8.75
+;13;27.0;Krieg Silvan (2000);;25;35.5;13;27.0;0;0.0;10.0
-;10;37.0;Betschart Patrick (1999);;9;56.0;10;37.0;0;0.0;9.0
o;12;46.0;Kennel Beat;*;11;55.5;13;45.75;1;-0.25;8.5

15j;Bingisser Roman;;;;;;;;;;54.5
-;;;Imfeld Beat;;;;;;;;8.75
+;6;8.75;Bucher André (2001);;21;53.0;6;8.75;0;0.0;9.75
o;8;18.5;Odermatt Andreas;*;9;56.0;11;17.5;3;-1.0;8.5
-;13;27.0;Spichtig Clemens;;15;54.5;13;27.0;0;0.0;8.75
-;15;35.75;Zanini David (2000);;21;53.0;15;35.75;0;0.0;8.75
+;18;44.5;Bacher Andreas;;20;53.25;17;44.75;-1;0.25;10.0

15k;Fallegger Joel;;;;;;;;;;54.5
+;;;Auf der Maur Alex (1999);;;;;;;;10.0
-;3;10.0;Ulrich Marco;*;28;34.75;6;8.75;3;-1.25;8.75
o;7;18.75;Kempf Damian;;15;54.5;7;18.75;0;0.0;8.5
-;12;27.25;Weber Ivo;;14;54.75;12;27.25;0;0.0;8.75
-;14;36.0;Bienz Romeo;;15;54.5;15;35.75;1;-0.25;8.75
+;17;44.75;Zanini David (2000);;21;53.0;18;44.5;1;-0.25;9.75

15l;Spichtig Clemens;;;;;;;;;;54.5
o;;;Schelbert Roman;;;;;;;;8.5
+;7;8.5;Schuler Koni;;12;55.25;7;8.5;0;0.0;10.0
o;8;18.5;Egli Damian;**;14;54.75;11;17.5;3;-1.0;8.5
-;13;27.0;Bingisser Roman;;15;54.5;13;27.0;0;0.0;8.75
-;15;35.75;Suter Ruedi;;19;53.5;15;35.75;0;0.0;9.0
+;17;44.75;Staub Ivan (1999);;20;53.25;17;44.75;0;0.0;9.75

15m;Kempf Damian;;;;;;;;;;54.5
+;;;Schürpf Guido;;;;;;;;10.0
-;3;10.0;Betschart Silvan;*;25;35.5;7;8.5;4;-1.5;8.75
+;7;18.75;Fallegger Joel;;15;54.5;7;18.75;0;0.0;9.75
-;7;28.5;Bucher Christian;*;7;56.5;8;28.25;1;-0.25;8.75
-;9;37.25;Keller Markus;*;16;54.25;10;37.0;1;-0.25;8.75
o;12;46.0;Schmid Simon (2000);;10;55.75;13;45.75;1;-0.25;8.5

16a;Keller Markus;*;;;;;;;;;54.25
-;;;Dober Adrian;**;;;;;;;8.75
+;6;8.75;Zurﬂuh Michael (1999);*;11;55.5;6;8.75;0;0.0;10.0
+;7;18.75;Durrer Markus (1999);;17;54.0;3;20.0;-4;1.25;9.75
o;7;28.5;Egli Pirmin;**;7;56.5;8;28.25;1;-0.25;8.5
-;10;37.0;Kempf Damian;;15;54.5;9;37.25;-1;0.25;8.75
o;13;45.75;Moos Christoph;;9;56.0;12;46.0;-1;0.25;8.5

16b;Schöpfer Dio;**;;;;;;;;;54.25
+;;;Schilter Daniel;*;;;;;;;10.0
o;3;10.0;Vonlaufen Alexander;**;10;55.75;6;8.75;3;-1.25;8.5
+;8;18.5;Staub Ivan (1999);;20;53.25;7;18.75;-1;0.25;9.75
o;8;28.25;Herger Andreas;;15;54.5;10;27.75;2;-0.5;8.5
o;11;36.75;Bieri Christian;**;10;55.75;10;37.0;-1;0.25;8.5
-;15;45.25;Hauser Roman (2000);;15;54.5;14;45.5;-1;0.25;9.0

16c;Thierstein Marco;;;;;;;;;;54.25
+;;;Troxler Roman;;;;;;;;10.0
o;3;10.0;Suter David;**;8;56.25;6;8.75;3;-1.25;8.5
o;8;18.5;Grab Daniel;**;14;54.75;9;18.25;1;-0.25;8.75
+;12;27.25;Bienz Romeo;;15;54.5;12;27.25;0;0.0;9.75
-;10;37.0;von Ah Markus;;12;55.25;11;36.75;1;-0.25;8.75
o;13;45.75;Heinzer Ronny;*;10;55.75;13;45.75;0;0.0;8.5

16d;Walker Roger;;;;;;;;;;54.25
o;;;Weber Ivo;;;;;;;;8.5
+;7;8.5;Suter Samuel (1999);;16;54.25;6;8.75;-1;0.25;9.75
+;9;18.25;Inderbitzin Dominic (1999);;26;35.25;9;18.25;0;0.0;10.0
o;8;28.25;Linggi Bruno;**;11;55.5;11;27.5;3;-0.75;8.5
-;11;36.75;Schürpf Guido;;13;55.0;13;36.25;2;-0.5;8.75
o;14;45.5;Wallimann Remo;;12;55.25;15;45.25;1;-0.25;8.75

16e;Hegner Ueli (1999);*;;;;;;;;;54.25
-;;;Martin Robin;*;;;;;;;8.75
+;6;8.75;Weber Ivo;;14;54.75;3;10.0;-3;1.25;10.0
o;7;18.75;Fessler Linus;;8;56.25;6;19.0;-1;0.25;8.5
+;12;27.25;Betschart Fabian (1999);;22;52.75;12;27.25;0;0.0;10.0
o;9;37.25;Widmer Tobias;**;6;56.75;10;37.0;1;-0.25;8.5
o;13;45.75;Bachmann Roger;*;11;55.5;14;45.5;1;-0.25;8.5

16f;Bissig Fabian;;;;;;;;;;54.25
+;;;Eﬃnger Peter;;;;;;;;10.0
o;3;10.0;Kennel Beat;*;11;55.5;7;8.5;4;-1.5;8.5
o;8;18.5;Bernet Christoph;*;10;55.75;12;17.25;4;-1.25;8.5
+;13;27.0;Wiget Ueli (1999);;25;35.5;13;27.0;0;0.0;10.0
-;10;37.0;Eﬃnger Markus;*;10;55.75;10;37.0;0;0.0;8.75
o;13;45.75;Hermann Oliver;*;11;55.5;13;45.75;0;0.0;8.5

16g;Keller Janik;*;;;;;;;;;54.25
-;;;Langenstein Philip;*;;;;;;;8.75
-;6;8.75;Rüttimann Daniel;;15;54.5;3;10.0;-3;1.25;8.75
+;11;17.5;Bühler Kilian (2000);;25;35.5;8;18.5;-3;1.0;9.75
-;12;27.25;Moos Christoph;;9;56.0;12;27.25;0;0.0;8.75
o;14;36.0;Hügli Kaj;*;15;54.5;14;36.0;0;0.0;8.5
+;18;44.5;Murpf Dario (1999);;20;53.25;17;44.75;-1;0.25;9.75

16h;Diethelm Albert;*;;;;;;;;;54.25
-;;;Käslin Benno;*;;;;;;;8.75
o;6;8.75;Vonlaufen Lukas;*;15;54.5;6;8.75;0;0.0;8.5
+;12;17.25;Wallimann Remo;;12;55.25;8;18.5;-4;1.25;10.0
+;12;27.25;Zgraggen Peter;;20;53.25;12;27.25;0;0.0;10.0
o;9;37.25;Arnold Stefan;**;7;56.5;10;37.0;1;-0.25;8.5
o;13;45.75;Bucher Thomas;;11;55.5;13;45.75;0;0.0;8.5

16i;Stutzer Michael (1999);;;;;;;;;;54.25
o;;;Fellmann Simon;;;;;;;;8.5
+;7;8.5;Arnold Philipp (2000);;25;35.5;7;8.5;0;0.0;10.0
-;8;18.5;Burren Patrick (1999);;13;55.0;9;18.25;1;-0.25;8.75
o;12;27.25;Hurschler Adrian;;12;55.25;12;27.25;0;0.0;8.5
o;15;35.75;Bucher Thomas;;11;55.5;14;36.0;-1;0.25;8.5
+;19;44.25;Schilter Daniel;*;20;53.25;17;44.75;-2;0.5;10.0

16j;Suter Samuel (1999);;;;;;;;;;54.25
-;;;Herger Simon;;;;;;;;8.75
o;6;8.75;Walker Roger;;16;54.25;7;8.5;1;-0.25;8.75
+;11;17.5;Annen Michael;;31;34.0;13;17.0;2;-0.5;9.75
o;12;27.25;Egli Damian;**;14;54.75;12;27.25;0;0.0;8.5
+;15;35.75;Gisler Jonas (2001);;21;53.0;15;35.75;0;0.0;9.75
-;14;45.5;Berchtold Kilian (2001);;18;53.75;16;45.0;2;-0.5;8.75

16k;von Flüe Michael;;;;;;;;;;54.25
-;;;Ulrich Roman (2000);;;;;;;;8.75
+;6;8.75;Gemsch Stefan;;26;35.25;4;9.75;-2;1.0;9.75
o;8;18.5;Gwerder Christian;**;12;55.25;11;17.5;3;-1.0;8.5
-;13;27.0;Andermatt Erwin (1999);;25;35.5;14;26.75;1;-0.25;8.75
o;15;35.75;Ulrich Marcel;;17;54.0;15;35.75;0;0.0;8.5
+;19;44.25;Marty Lukas;;22;52.75;19;44.25;0;0.0;10.0

16l;Gwerder Andreas;*;;;;;;;;;54.25
o;;;Bucher Roland;*;;;;;;;8.5
-;7;8.5;Herger Andreas;;15;54.5;3;10.0;-4;1.5;9.0
+;11;17.5;Arnold David;;26;35.25;9;18.25;-2;0.75;10.0
o;11;27.5;Arnold Stefan;**;7;56.5;13;27.0;2;-0.5;8.5
+;14;36.0;Hürlimann Ueli (2001);;18;53.75;11;36.75;-3;0.75;9.75
o;13;45.75;Martin Robin;*;10;55.75;12;46.0;-1;0.25;8.5

16m;Birchler Fabian (2000);;;;;;;;;;54.25
+;;;Gisler Jonas (2001);;;;;;;;9.75
-;4;9.75;Zanini David (2000);;21;53.0;4;9.75;0;0.0;8.75
o;8;18.5;Martin Robin;*;10;55.75;12;17.25;4;-1.25;8.5
-;13;27.0;Hürlimann Mathias (2000);;16;54.25;13;27.0;0;0.0;9.0
+;14;36.0;Durrer Ive (2000);;21;53.0;15;35.75;1;-0.25;9.75
o;13;45.75;Zurﬂuh Michael (1999);*;11;55.5;13;45.75;0;0.0;8.5

16n;Hürlimann Mathias (2000);;;;;;;;;;54.25
+;;;Gerig Dario;;;;;;;;10.0
o;3;10.0;Durrer Robin;;17;54.0;6;8.75;3;-1.25;8.5
o;8;18.5;Kälin Roland;**;11;55.5;9;18.25;1;-0.25;8.5
-;13;27.0;Birchler Fabian (2000);;16;54.25;13;27.0;0;0.0;8.75
+;15;35.75;Betschart Fabian (1999);;22;52.75;15;35.75;0;0.0;9.75
-;14;45.5;Beffa Mario;;14;54.75;13;45.75;-1;0.25;8.75

16o;Suter Paul;*;;;;;;;;;54.25
-;;;Zurﬂuh Michael (1999);*;;;;;;;8.75
+;6;8.75;Hurschler Adrian;;12;55.25;3;10.0;-3;1.25;10.0
-;7;18.75;Fellmann Simon;;11;55.5;4;19.75;-3;1.0;8.75
o;11;27.5;Portmann Josef;*;13;55.0;11;27.5;0;0.0;8.5
+;14;36.0;Gasser Dominik 2;;17;54.0;15;35.75;1;-0.25;9.75
o;13;45.75;Odermatt Andreas;*;9;56.0;12;46.0;-1;0.25;8.5

16p;Ming Christian 2;;;;;;;;;;54.25
+;;;Annen Michael;;;;;;;;9.75
+;4;9.75;Suter Ruedi;;19;53.5;4;9.75;0;0.0;10.0
o;4;19.75;Betschart Remo;**;12;55.25;7;18.75;3;-1.0;8.5
-;8;28.25;Gwerder Christian;**;12;55.25;11;27.5;3;-0.75;9.0
o;9;37.25;Gloggner Reto;**;10;55.75;10;37.0;1;-0.25;8.5
o;13;45.75;Heinzer Josef;;12;55.25;14;45.5;1;-0.25;8.5

17a;Forster Christian;;;;;;;;;;54.0
o;;;Stöckli Damian;;;;;;;;8.5
+;7;8.5;Gisler Patrick;;31;34.0;7;8.5;0;0.0;9.75
o;9;18.25;Zurﬂuh Michael (1999);*;11;55.5;12;17.25;3;-1.0;8.5
+;14;26.75;Bissig Joris (2001);;25;35.5;13;27.0;-1;0.25;10.0
o;11;36.75;Fellmann Simon;;11;55.5;10;37.0;-1;0.25;8.5
-;15;45.25;Wyss Sven (2001);;18;53.75;16;45.0;1;-0.25;8.75

17b;Gasser Dominik 2;;;;;;;;;;54.0
o;;;Troxler Jonas (2000);;;;;;;;8.5
+;7;8.5;Annen Adrian;;25;35.5;7;8.5;0;0.0;10.0
o;8;18.5;Linggi Bruno;**;11;55.5;11;17.5;3;-1.0;8.5
-;13;27.0;Troxler Roman;;25;35.5;14;26.75;1;-0.25;8.75
o;15;35.75;Suter Paul;*;16;54.25;14;36.0;-1;0.25;8.5
+;19;44.25;Suter Raphael (2000);;22;52.75;19;44.25;0;0.0;9.75

17c;Kennel Roger (1999);;;;;;;;;;54.0
-;;;Zimmermann Reto;;;;;;;;8.75
+;6;8.75;Burch Bruno (2000);;25;35.5;7;8.5;1;-0.25;10.0
o;7;18.75;Niederberger Markus;*;12;55.25;8;18.5;1;-0.25;8.5
o;12;27.25;Stöckli Damian;;11;55.5;12;27.25;0;0.0;8.5
o;15;35.75;Rüttimann Daniel;;15;54.5;14;36.0;-1;0.25;8.5
+;19;44.25;Widmer Simon;;17;54.0;19;44.25;0;0.0;9.75

17d;Amgarten Roman;*;;;;;;;;;54.0
o;;;Inderbitzin Daniel;*;;;;;;;8.5
-;7;8.5;Schelbert Roman;;14;54.75;4;9.75;-3;1.25;8.75
-;12;17.25;Weber Ivo;;14;54.75;8;18.5;-4;1.25;8.75
+;16;26.0;Annen Adrian;;25;35.5;13;27.0;-3;1.0;9.75
+;15;35.75;Fassbind René;*;17;54.0;15;35.75;0;0.0;9.75
o;14;45.5;Blaser Theo;*;11;55.5;13;45.75;-1;0.25;8.5

17e;Durrer Robin;;;;;;;;;;54.0
-;;;Schuler Daniel;;;;;;;;8.75
+;6;8.75;Hürlimann Mathias (2000);;16;54.25;3;10.0;-3;1.25;9.75
o;8;18.5;Widmer Tobias;**;6;56.75;9;18.25;1;-0.25;8.5
+;13;27.0;Schuler Alex;;2;92.75;2;55.5;-11;28.5;10.0
o;10;37.0;Kennel Stefan;**;5;57.0;8;37.5;-2;0.5;8.5
o;14;45.5;Eﬃnger Peter;;12;55.25;15;45.25;1;-0.25;8.5

17f;Ulrich Pascal (1999);;;;;;;;;;54.0
o;;;Della Torre Simon;;;;;;;;8.5
+;7;8.5;Betschart Fabian (1999);;22;52.75;6;8.75;-1;0.25;9.75
+;9;18.25;Inderbitzin Dominic (1999);;26;35.25;9;18.25;0;0.0;10.0
o;8;28.25;Wyrsch Marco;*;13;55.0;11;27.5;3;-0.75;8.5
o;11;36.75;Fankhauser Reto;**;12;55.25;11;36.75;0;0.0;8.5
o;15;45.25;Stöckli Damian;;11;55.5;13;45.75;-2;0.5;8.75

17g;Ulrich Marcel;;;;;;;;;;54.0
o;;;Scherer Niklaus;;;;;;;;8.5
+;7;8.5;Schnider Simon (2001);;25;35.5;7;8.5;0;0.0;10.0
o;8;18.5;Arnold Stefan;**;7;56.5;13;17.0;5;-1.5;8.5
-;13;27.0;Staub Devin;;25;35.5;14;26.75;1;-0.25;8.75
+;15;35.75;von Flüe Michael;;16;54.25;15;35.75;0;0.0;9.75
o;14;45.5;von Ah Markus;;12;55.25;14;45.5;0;0.0;8.5

17h;Widmer Simon;;;;;;;;;;54.0
o;;;Suter Ruedi;;;;;;;;8.5
+;7;8.5;Marty Lukas;;22;52.75;6;8.75;-1;0.25;9.75
-;9;18.25;Schindler Roland;;28;34.75;11;17.5;2;-0.75;9.0
o;12;27.25;Gwerder Michael (2000);*;13;55.0;13;27.0;1;-0.25;8.5
o;15;35.75;Kennel Roger (1999);;17;54.0;15;35.75;0;0.0;8.5
+;19;44.25;Betschart Fabian (1999);;22;52.75;19;44.25;0;0.0;9.75

17i;Fassbind René;*;;;;;;;;;54.0
o;;;Amgarten Martin;*;;;;;;;8.75
o;6;8.75;Reichmuth Roland;;12;55.25;3;10.0;-3;1.25;8.5
o;12;17.25;Hirsiger Alexander;;12;55.25;9;18.25;-3;1.0;8.5
+;17;25.75;Kempf Marco (2000);;26;35.25;14;26.75;-3;1.0;10.0
o;15;35.75;Amgarten Roman;*;17;54.0;15;35.75;0;0.0;8.5
+;19;44.25;Hürlimann Ueli (2001);;18;53.75;15;45.25;-4;1.0;9.75

17j;Durrer Markus (1999);;;;;;;;;;54.0
+;;;Diethelm Patrick (2001);;;;;;;;10.0
+;3;10.0;Kälin Marco (2000);;26;35.25;4;9.75;1;-0.25;10.0
o;3;20.0;Keller Markus;*;16;54.25;7;18.75;4;-1.25;8.5
o;7;28.5;Bucher Roland;*;8;56.25;8;28.25;1;-0.25;8.5
o;10;37.0;Fässler Cornel;*;13;55.0;11;36.75;1;-0.25;8.5
o;14;45.5;Wyrsch Silvio;;11;55.5;13;45.75;-1;0.25;8.5

17k;Amgarten Martin;*;;;;;;;;;54.0
+;;;Fassbind René;*;;;;;;;9.75
o;4;9.75;Nötzli Reto;***;5;57.0;6;8.75;2;-1.0;8.5
o;9;18.25;Beffa Mario;;14;54.75;8;18.5;-1;0.25;8.5
+;14;26.75;Gemsch Stefan;;26;35.25;14;26.75;0;0.0;10.0
o;11;36.75;Durrer Fabian (1999);;13;55.0;11;36.75;0;0.0;8.5
o;15;45.25;Arnold Marcel;*;11;55.5;14;45.5;-1;0.25;8.75

17l;Scheuber Stefan;;;;;;;;;;54.0
+;;;Steiner Severin (2001);;;;;;;;9.75
o;4;9.75;Fässler Cornel;*;13;55.0;7;8.5;3;-1.25;8.5
+;9;18.25;Kälin Markus (2001);;26;35.25;9;18.25;0;0.0;10.0
-;8;28.25;Bürgi Reto;*;9;56.0;11;27.5;3;-0.75;8.75
o;10;37.0;Rohrer Ivan;**;10;55.75;10;37.0;0;0.0;8.5
o;14;45.5;Nauer Robin;;12;55.25;14;45.5;0;0.0;8.5

17m;Albert Thomas;;;;;;;;;;54.0
-;;;Gwerder Beni;;;;;;;;8.75
+;6;8.75;Troxler Roman;;25;35.5;7;8.5;1;-0.25;9.75
o;8;18.5;Gwerder Michael (2000);*;13;55.0;12;17.25;4;-1.25;8.5
+;13;27.0;Suter Ruedi;;19;53.5;13;27.0;0;0.0;10.0
o;10;37.0;Grab Daniel;**;14;54.75;12;36.5;2;-0.5;8.5
o;14;45.5;Grab Martin jun. (1999);;13;55.0;10;46.5;-4;1.0;8.5

18a;Wyss Sven (2001);;;;;;;;;;53.75
+;;;Bienz Manuel (1999);;;;;;;;9.75
+;4;9.75;Krieg Silvan (2000);;25;35.5;3;10.0;-1;0.25;9.75
o;5;19.5;Heinzer Stefan;*;1;111.0;1;38.5;-4;19.0;8.5
o;9;28.0;Bieri Christian;**;10;55.75;12;27.25;3;-0.75;8.5
o;12;36.5;Imfeld Beat;;14;54.75;13;36.25;1;-0.25;8.5
-;16;45.0;Forster Christian;;17;54.0;15;45.25;-1;0.25;8.75

18b;Von Euw Adi;;;;;;;;;;53.75
o;;;Bieri Elias;;;;;;;;8.5
o;7;8.5;Staub Ivan (1999);;20;53.25;6;8.75;-1;0.25;8.5
+;13;17.0;Strickler Fabio (2001);;26;35.25;13;17.0;0;0.0;9.75
+;14;26.75;Schindler Roland;;28;34.75;15;26.25;1;-0.5;10.0
o;11;36.75;Studinger Stephan;**;9;56.0;14;36.0;3;-0.75;8.5
o;15;45.25;Burren Patrick (1999);;13;55.0;15;45.25;0;0.0;8.5

18c;Betschart Daniel;;;;;;;;;;53.75
+;;;Fischer Tobias;;;;;;;;10.0
o;3;10.0;Omlin Toni;*;9;56.0;6;8.75;3;-1.25;8.5
-;8;18.5;Zürcher Ueli (2000);;23;45.25;9;18.25;1;-0.25;8.75
-;12;27.25;Rüttimann Daniel;;15;54.5;12;27.25;0;0.0;8.75
-;14;36.0;Zgraggen Peter;;20;53.25;15;35.75;1;-0.25;9.0
-;16;45.0;Arnold Fabian;;18;53.75;16;45.0;0;0.0;8.75

18d;Berchtold Kilian (2001);;;;;;;;;;53.75
o;;;Annen David (2000);;;;;;;;8.5
+;7;8.5;Inderbitzin Karl;;31;34.0;7;8.5;0;0.0;9.75
o;9;18.25;Zimmermann Daniel;*;32;27.25;12;17.25;3;-1.0;8.5
+;14;26.75;Auf der Maur Michael (2000);;29;34.5;16;26.0;2;-0.75;9.75
o;12;36.5;Bieri Elias;;14;54.75;12;36.5;0;0.0;8.5
-;16;45.0;Suter Samuel (1999);;16;54.25;14;45.5;-2;0.5;8.75

18e;Reichmuth Lukas (2000);;;;;;;;;;53.75
-;;;Bacher Andreas;;;;;;;;9.0
+;5;9.0;Fischer Markus (2000);;19;53.5;4;9.75;-1;0.75;10.0
o;6;19.0;Hermann Oliver;*;11;55.5;8;18.5;2;-0.5;8.75
o;10;27.75;Vonlaufen Lukas;*;15;54.5;13;27.0;3;-0.75;8.5
