3390-2017-08-12_Schaffhauser_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.25
o;4;38.0;Bickel Roman;*;7;56.75;3;38.25;-1;0.25;8.5
+;9;46.5;Funk Nicola (1999);;13;55.25;8;46.75;-1;0.25;10.0

8d;Giger Urs;*;;;;;;;;;56.5
+;;;Güntensperger Marcel;*;;;;;;;9.75
o;2;9.75;Dumelin David;*;8;56.5;2;9.75;0;0.0;8.5
+;7;18.25;Ulmann Fabian (1999);;19;53.75;3;19.5;-4;1.25;10.0
+;6;28.25;Arztmann Beda;*;13;55.25;6;28.25;0;0.0;9.75
o;4;38.0;Battaglia Ursin;**;5;57.25;3;38.25;-1;0.25;8.5
+;9;46.5;Gwerder Andreas;**;15;54.75;10;46.25;1;-0.25;10.0

9a;Hari Michi;;;;;;;;;;56.25
+;;;Hobi Ignaz;;;;;;;;9.75
o;2;9.75;Kuhn Roman;*;13;55.25;5;8.5;3;-1.25;8.5
o;7;18.25;Battaglia Ursin;**;5;57.25;6;18.5;-1;0.25;8.5
+;12;26.75;Tschudi Mario (2001);;25;35.25;12;26.75;0;0.0;9.75
+;10;36.5;Bollhalder Manuel (2001);;12;55.5;8;37.0;-2;0.5;10.0
+;9;46.5;Schudel Simon;*;10;56.0;5;47.5;-4;1.0;9.75

9b;Baumann Rico;*;;;;;;;;;56.25
-;;;Gartmann Mauro;*;;;;;;;8.75
o;4;8.75;Koller Martin;*;3;57.75;4;8.75;0;0.0;8.5
+;11;17.25;Buchmann Michael;;24;35.5;6;18.5;-5;1.25;9.75
+;11;27.0;Kiser Michael;;20;53.25;11;27.0;0;0.0;9.75
+;9;36.75;Arztmann Beda;*;13;55.25;9;36.75;0;0.0;9.75
+;9;46.5;Koch Thomas;*;13;55.25;8;46.75;-1;0.25;9.75

9c;Dändliker Shane;*;;;;;;;;;56.25
+;;;Koch Reto;*;;;;;;;10.0
o;1;10.0;Forrer Arnold;***;11;55.75;4;8.75;3;-1.25;8.5
-;6;18.5;Breitenmoser Simon;;12;55.5;6;18.5;0;0.0;8.75
-;10;27.25;Kammermann Dominik;;14;55.0;9;27.5;-1;0.25;9.0
+;11;36.25;Dobler Mathias;;18;54.0;8;37.0;-3;0.75;10.0
+;10;46.25;Elmer Daniel;*;15;54.75;11;46.0;1;-0.25;10.0

9d;Dörig Erich;*;;;;;;;;;56.25
-;;;Landolt Reto;*;;;;;;;9.0
-;3;9.0;Elmer Daniel;*;15;54.75;4;8.75;1;-0.25;9.0
+;8;18.0;Furrer Matthias;;25;35.25;7;18.25;-1;0.25;10.0
+;7;28.0;Lehmann Philipp (1999);;15;54.75;6;28.25;-1;0.25;9.75
+;5;37.75;Braun Mathias;*;14;55.0;4;38.0;-1;0.25;10.0
o;4;47.75;Kid Simon;**;7;56.75;7;47.0;3;-0.75;8.5

10a;Schudel Simon;*;;;;;;;;;56.0
+;;;Kuhn Roman;*;;;;;;;10.0
+;1;10.0;Keller Andreas;*;18;54.0;2;9.75;1;-0.25;10.0
o;1;20.0;Ammann Rico;*;4;57.5;3;19.5;2;-0.5;8.5
-;5;28.5;Wetter Silvan (2000);;16;54.5;6;28.25;1;-0.25;9.0
+;6;37.5;Raschle Adrian;;15;54.75;10;36.5;4;-1.0;10.0
o;5;47.5;Hari Michi;;9;56.25;9;46.5;4;-1.0;8.5

11a;Forrer Arnold;***;;;;;;;;;55.75
-;;;Burkhalter Stefan;***;;;;;;;8.75
+;4;8.75;Dändliker Shane;*;9;56.25;1;10.0;-3;1.25;10.0
+;5;18.75;Landolt Reto;*;13;55.25;4;19.0;-1;0.25;10.0
+;4;28.75;Ammann Rico;*;4;57.5;3;29.25;-1;0.5;9.75
-;2;38.5;Kindlimann Fabian;***;6;57.0;3;38.25;1;-0.25;8.75
o;6;47.25;Roth Martin;*;4;57.5;4;47.75;-2;0.5;8.5

11b;Bischof Martin;;;;;;;;;;55.75
+;;;Bollier Fabian;;;;;;;;10.0
o;1;10.0;Koch Thomas;*;13;55.25;4;8.75;3;-1.25;8.5
o;6;18.5;Blaser Niklas;*;14;55.0;6;18.5;0;0.0;8.5
-;11;27.0;Wingeier Janik;;17;54.25;11;27.0;0;0.0;8.75
+;13;35.75;Keller Werner;;20;53.25;13;35.75;0;0.0;10.0
+;12;45.75;Bürgler Patrick;;14;55.0;9;46.5;-3;0.75;10.0

12a;Bernold Michael (1999);*;;;;;;;;;55.5
+;;;Inauen Andreas;*;;;;;;;10.0
o;1;10.0;Kindlimann Fabian;***;6;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Hodler Mathias;;17;54.25;5;18.75;-1;0.25;10.0
+;5;28.5;Ott Matthias (1999);;13;55.25;5;28.5;0;0.0;10.0
