5494-2021-07-25_Thurgauer_Kant_Schwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.25
+;8;37.25;Oettli Silvio;*;9;56.0;7;37.5;-1;0.25;10.0
o;5;47.25;Krähenbühl Tobias;***;7;56.75;7;46.75;2;-0.5;8.5

11a;Thiemann Fabrice;;;;;;;;;;55.5
-;;;Bischof Martin;;;;;;;;9.0
o;3;9.0;Bürgler Patrick;*;10;55.75;1;10.0;-2;1.0;8.5
+;9;17.5;Arnold Lukas;;23;52.25;11;17.0;2;-0.5;10.0
-;8;27.5;Neff Florian;*;16;54.25;13;25.75;5;-1.75;9.0
+;11;36.5;Anliker Nino (2005);;17;54.0;10;36.75;-1;0.25;10.0
-;8;46.5;Fuster Sepp;*;12;55.25;9;46.25;1;-0.25;9.0

11b;Buchmann Michael;;;;;;;;;;55.5
+;;;Straub Paul;;;;;;;;10.0
o;1;10.0;Bernold Christian;**;6;57.0;5;8.5;4;-1.5;8.5
o;6;18.5;Koller Silvan;;6;57.0;1;20.0;-5;1.5;8.75
+;9;27.25;Kern Sven (2003);;19;53.5;11;26.75;2;-0.5;9.75
o;9;37.0;Mettler Valentin;*;12;55.25;9;37.0;0;0.0;8.5
+;12;45.5;Magani Flurin;;17;54.0;12;45.5;0;0.0;10.0

11c;Lengacher Gian (2003);;;;;;;;;;55.5
+;;;Fuster Arjuna (2003);;;;;;;;9.75
-;2;9.75;Kiener Raphael;;16;54.25;2;9.75;0;0.0;9.0
o;5;18.75;Baumann Rico;*;11;55.5;7;18.25;2;-0.5;8.5
o;9;27.25;Vollmeier Sandro;;25;45.25;10;27.0;1;-0.25;8.5
+;14;35.75;Hinrichs Silvio (2004);;16;54.25;14;35.75;0;0.0;9.75
+;12;45.5;Anliker Nino (2005);;17;54.0;12;45.5;0;0.0;10.0

11d;Keller Manuel;*;;;;;;;;;55.5
-;;;Oertig Simon;*;;;;;;;8.75
+;4;8.75;Inauen Maurus (2003);;17;54.0;1;10.0;-3;1.25;9.75
+;6;18.5;Anliker Nino (2005);;17;54.0;2;19.75;-4;1.25;10.0
+;5;28.5;Hangartner Maurice (2003);;19;53.5;7;28.0;2;-0.5;10.0
o;3;38.5;Ackermann Remo;*;6;57.0;4;38.25;1;-0.25;8.5
o;6;47.0;Kuster Thomas;*;2;58.0;3;48.0;-3;1.0;8.5

11e;Baumann Rico;*;;;;;;;;;55.5
+;;;Koller Fabian;*;;;;;;;9.75
o;2;9.75;Krähenbühl Tobias;***;7;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Lengacher Gian (2003);;11;55.5;5;18.75;-2;0.5;10.0
+;6;28.25;Kolb This (2003);*;7;56.75;6;28.25;0;0.0;10.0
o;4;38.25;Schneider Mario;**;6;57.0;3;38.5;-1;0.25;8.5
-;7;46.75;Krähenbühl Lukas;*;11;55.5;7;46.75;0;0.0;8.75

11f;Steiner Michael;**;;;;;;;;;55.5
o;;;Giger Urs;*;;;;;;;8.75
+;4;8.75;Stadelmann Patrick;;13;55.0;2;9.75;-2;1.0;9.75
+;6;18.5;Kammermann Dominik;;9;56.0;1;20.0;-5;1.5;9.75
o;6;28.25;Ackermann Remo;*;6;57.0;5;28.5;-1;0.25;8.5
+;10;36.75;Müggler Silvan;;19;53.5;11;36.5;1;-0.25;10.0
o;7;46.75;Bernold Christian;**;6;57.0;5;47.25;-2;0.5;8.75

11g;Mösli Marcel;;;;;;;;;;55.5
o;;;Kiener Raphael;;;;;;;;8.5
+;5;8.5;Arnold Lukas;;23;52.25;5;8.5;0;0.0;10.0
o;6;18.5;Kobler Janosch;;8;56.25;7;18.25;1;-0.25;8.5
+;10;27.0;Koller Andreas;;16;54.25;10;27.0;0;0.0;10.0
