3343-2021-06-13_Stoos-Schwinget-ST

1a;Wicki Joel;***;;;;;;;;;58.5
+;;;Duplan Steve;***;;;;;;;10.0
+;1;10.0;Bieri Marcel;***;2;57.25;1;10.0;0;0.0;9.75
-;1;19.75;Wittwer Jan;*;4;56.75;1;19.75;0;0.0;8.75
-;3;28.5;Studer Stefan;**;12;54.5;3;28.5;0;0.0;8.75
+;7;37.25;Scherer Niklaus;*;8;55.5;8;37.0;1;-0.25;9.75
+;4;47.0;Balimann Sandro;*;9;55.25;5;46.75;1;-0.25;10.0

3e;von Weissenfluh Kilian;***;;;;;;;;;57.0
-;;;von Ah Benji;***;;;;;;;8.75
+;4;8.75;Zurfluh Roman;**;12;54.5;1;10.0;-3;1.25;9.75
+;4;18.5;Hess Dominik;*;17;53.0;3;18.75;-1;0.25;9.75
-;4;28.25;Müllestein Mike;***;5;56.25;3;28.5;-1;0.25;9.0
+;7;37.25;Lang Sven;**;9;55.25;5;37.75;-2;0.5;10.0
+;3;47.25;Arnold Stefan;**;9;55.25;6;46.5;3;-0.75;9.75

4a;Wittwer Jan;*;;;;;;;;;56.75
+;;;Briker Michael;**;;;;;;;10.0
+;1;10.0;Schurtenberger Sven;***;2;57.25;1;10.0;0;0.0;9.75
-;1;19.75;Nötzli Reto;***;3;57.0;1;19.75;0;0.0;8.75
+;3;28.5;Zurfluh Roman;**;12;54.5;3;28.5;0;0.0;9.75
o;3;38.25;Wicki Joel;***;1;58.5;1;38.75;-2;0.5;8.5
+;5;46.75;Kessler Joel;*;11;54.75;8;46.0;3;-0.75;10.0

5a;Müllestein Mike;***;;;;;;;;;56.25
-;;;Gerber Christian;***;;;;;;;8.75
+;4;8.75;Schwander Severin;**;8;55.5;1;10.0;-3;1.25;9.75
+;4;18.5;Balimann Sandro;*;9;55.25;4;18.5;0;0.0;10.0
-;3;28.5;von Weissenfluh Kilian;***;3;57.0;4;28.25;1;-0.25;9.0
+;6;37.5;Bürli Roger;**;8;55.5;8;37.0;2;-0.5;10.0
-;2;47.5;Staudenmann Fabian;***;5;56.25;2;47.5;0;0.0;8.75

5b;Staudenmann Fabian;***;;;;;;;;;56.25
o;;;Gwerder Michael;***;;;;;;;8.75
+;4;8.75;Bucher Christian;*;15;53.5;2;9.75;-2;1.0;10.0
+;3;18.75;Fankhauser Marco;**;7;55.75;3;18.75;0;0.0;10.0
-;2;28.75;Wicki Joel;***;1;58.5;1;29.75;-1;1.0;8.75
+;6;37.5;Ulrich Marco;*;6;56.0;2;38.5;-4;1.0;10.0
-;2;47.5;Müllestein Mike;***;5;56.25;2;47.5;0;0.0;8.75

6a;Ulrich Marco;*;;;;;;;;;56.0
+;;;Odermatt Remo;*;;;;;;;9.75
+;2;9.75;Dousse Michel;**;17;53.0;5;8.5;3;-1.25;10.0
-;1;19.75;von Ah Benji;***;10;55.0;3;18.75;2;-1.0;8.75
+;3;28.5;Ledermann Michael;*;6;56.0;4;28.25;1;-0.25;10.0
o;2;38.5;Staudenmann Fabian;***;5;56.25;6;37.5;4;-1.0;8.5
-;4;47.0;Arnold Raphael;**;9;55.25;7;46.25;3;-0.75;9.0

6b;Ledermann Michael;*;;;;;;;;;56.0
+;;;Betschart Marcel;*;;;;;;;9.75
+;2;9.75;Van Messel Noe;**;27;17.5;3;9.0;1;-0.75;9.75
-;2;19.5;Stöckli Stefan;***;22;36.0;3;18.75;1;-0.75;8.75
o;4;28.25;Ulrich Marco;*;6;56.0;3;28.5;-1;0.25;8.75
+;8;37.0;Suppiger René;***;9;55.25;9;36.75;1;-0.25;10.0
-;4;47.0;Lang Sven;**;9;55.25;7;46.25;3;-0.75;9.0

6c;Heiniger Marco;*;;;;;;;;;56.0
+;;;Leuenberger Michael;*;;;;;;;10.0
-;1;10.0;Inniger Thomas;***;23;35.0;4;8.75;3;-1.25;8.75
o;3;18.75;Ducrest Etienne;*;13;54.25;4;18.5;1;-0.25;8.5
+;8;27.25;Loup Alexandre;*;19;52.5;10;26.75;2;-0.5;9.75
+;8;37.0;Weyermann Florian;**;11;54.75;8;37.0;0;0.0;10.0
-;4;47.0;Schwander Severin;**;8;55.5;6;46.5;2;-0.5;9.0

6d;Schuler Christian;***;;;;;;;;;56.0
+;;;Colò Kilian;**;;;;;;;9.75
+;2;9.75;Suppiger René;***;9;55.25;1;10.0;-1;0.25;10.0
o;1;19.75;Wicki Joel;***;1;58.5;1;19.75;0;0.0;8.5
-;4;28.25;Gobeli Patrick;**;7;55.75;4;28.25;0;0.0;9.0
-;7;37.25;Gasser Dominik;*;9;55.25;6;37.5;-1;0.25;8.75
+;8;46.0;Cardinaux Victor;**;12;54.5;8;46.0;0;0.0;10.0

6e;Ambühl Joel;**;;;;;;;;;56.0
-;;;Renfer Lukas;**;;;;;;;8.75
-;4;8.75;Collaud Romain;*;12;54.5;2;9.75;-2;1.0;8.75
+;6;17.5;Loup Alexandre;*;19;52.5;5;18.25;-1;0.75;9.75
+;8;27.25;Odermatt Andreas;*;13;54.25;8;27.25;0;0.0;10.0
+;7;37.25;von Ah Benji;***;10;55.0;6;37.5;-1;0.25;10.0
-;3;47.25;Gasser Dominik;*;9;55.25;7;46.25;4;-1.0;8.75

7a;Fellmann Roman;**;;;;;;;;;55.75
-;;;Weyermann Florian;**;;;;;;;8.75
+;4;8.75;Hofer Sven;*;10;55.0;2;9.75;-2;1.0;10.0
o;3;18.75;Studer Stefan;**;12;54.5;4;18.5;1;-0.25;8.5
+;8;27.25;Duplan Steve;***;24;34.5;12;26.0;4;-1.25;10.0
o;7;37.25;Gobeli Patrick;**;7;55.75;7;37.25;0;0.0;8.5
+;9;45.75;Ducrest Etienne;*;13;54.25;9;45.75;0;0.0;10.0

7b;Gobeli Patrick;**;;;;;;;;;55.75
-;;;Fankhauser Marco;**;;;;;;;8.75
+;4;8.75;Schürpf Bruno;*;12;54.5;5;8.5;1;-0.25;9.75
+;4;18.5;Rohrer Ueli;*;16;53.25;5;18.25;1;-0.25;9.75
-;4;28.25;Schuler Christian;***;6;56.0;4;28.25;0;0.0;9.0
+;7;37.25;Fellmann Roman;**;7;55.75;7;37.25;0;0.0;9.75
-;4;47.0;von Ah Benji;***;10;55.0;7;46.25;3;-0.75;8.75

7c;Fankhauser Marco;**;;;;;;;;;55.75
-;;;Gobeli Patrick;**;;;;;;;8.75
+;4;8.75;Betschart Marcel;*;25;34.25;4;8.75;0;0.0;10.0
o;3;18.75;Staudenmann Fabian;***;5;56.25;3;18.75;0;0.0;8.5
+;8;27.25;Colò Kilian;**;16;53.25;7;27.5;-1;0.25;10.0
+;7;37.25;Collaud Romain;*;12;54.5;6;37.5;-1;0.25;9.75
o;4;47.0;Kramer Lario;***;3;57.0;4;47.0;0;0.0;8.75

7d;Gottofrey Marc;**;;;;;;;;;55.75
-;;;Van Messel Noe;**;;;;;;;8.75
+;4;8.75;Reichmuth Lukas;*;20;52.25;2;9.75;-2;1.0;9.75
o;4;18.5;Schurtenberger Sven;***;2;57.25;3;18.75;-1;0.25;8.5
+;9;27.0;Durrer Jonas (2003);*;8;55.5;9;27.0;0;0.0;9.75
-;9;36.75;Arnold Stefan;**;9;55.25;6;37.5;-3;0.75;9.0
+;9;45.75;Ettlin Martin;*;13;54.25;9;45.75;0;0.0;10.0

8a;Durrer Jonas (2003);*;;;;;;;;;55.5
o;;;Ducrest Etienne;*;;;;;;;8.5
+;5;8.5;Mathys Simon;**;28;17.25;4;8.75;-1;0.25;9.75
-;5;18.25;Duplan Steve;***;24;34.5;7;17.25;2;-1.0;8.75
o;9;27.0;Gottofrey Marc;**;7;55.75;9;27.0;0;0.0;8.5
+;14;35.5;Haenni Stéphane;**;18;52.75;13;35.75;-1;0.25;10.0
+;10;45.5;Reichmuth Roland;*;14;54.0;11;45.25;1;-0.25;10.0

8b;Berger Lorenz;**;;;;;;;;;55.5
+;;;Lang Sven;**;;;;;;;9.75
o;2;9.75;Fankhauser Erich;***;3;57.0;4;8.75;2;-1.0;8.5
+;5;18.25;Ettlin Martin;*;13;54.25;4;18.5;-1;0.25;10.0
o;4;28.25;von Ah Benji;***;10;55.0;7;27.5;3;-0.75;8.5
-;9;36.75;Bucher Christian;*;15;53.5;13;35.75;4;-1.0;8.75
+;10;45.5;Rohrer Ueli;*;16;53.25;13;44.75;3;-0.75;10.0

8c;Klossner Adrian;*;;;;;;;;;55.5
-;;;Kennel Beat;*;;;;;;;8.75
+;4;8.75;Schmid Simon;*;14;54.0;5;8.5;1;-0.25;9.75
-;4;18.5;Egli Damian;**;10;55.0;5;18.25;1;-0.25;8.75
+;8;27.25;Steinauer Adrian;**;10;55.0;9;27.0;1;-0.25;9.75
o;8;37.0;Fankhauser Erich;***;3;57.0;8;37.0;0;0.0;8.75
+;9;45.75;Betschart Patrick;*;13;54.25;9;45.75;0;0.0;9.75

8d;Schwander Severin;**;;;;;;;;;55.5
+;;;Waser Dominik;**;;;;;;;10.0
o;1;10.0;Müllestein Mike;***;5;56.25;4;8.75;3;-1.25;8.5
+;4;18.5;Betschart Patrick;*;13;54.25;3;18.75;-1;0.25;9.75
+;4;28.25;Suppiger René;***;9;55.25;4;28.25;0;0.0;9.75
o;4;38.0;Schurtenberger Sven;***;2;57.25;2;38.5;-2;0.5;8.5
-;6;46.5;Heiniger Marco;*;6;56.0;4;47.0;-2;0.5;9.0

8e;Scherer Niklaus;*;;;;;;;;;55.5
+;;;Balimann Sandro;*;;;;;;;9.75
-;2;9.75;Piemontesi Pascal;**;17;53.0;5;8.5;3;-1.25;8.75
-;4;18.5;Matthey Mickaël;**;15;53.5;3;18.75;-1;0.25;8.75
+;8;27.25;Zangger Dominik;*;14;54.0;9;27.0;1;-0.25;9.75
o;8;37.0;Nötzli Reto;***;3;57.0;7;37.25;-1;0.25;8.5
+;10;45.5;Hess Dominik;*;17;53.0;14;44.5;4;-1.0;10.0

8f;Bürli Roger;**;;;;;;;;;55.5
-;;;Gasser Dominik;*;;;;;;;8.75
o;4;8.75;Aeschbacher Matthias;***;3;57.0;5;8.5;1;-0.25;8.5
+;7;17.25;Gwerder Andreas;*;26;34.0;8;17.0;1;-0.25;10.0
+;8;27.25;Ramseier Fritz;**;14;54.0;8;27.25;0;0.0;9.75
o;8;37.0;Müllestein Mike;***;5;56.25;6;37.5;-2;0.5;8.5
+;10;45.5;Haenni Stéphane;**;18;52.75;15;44.25;5;-1.25;10.0

9a;Lang Sven;**;;;;;;;;;55.25
o;;;Berger Lorenz;**;;;;;;;8.5
+;5;8.5;Gasser Dominik;*;9;55.25;4;8.75;-1;0.25;9.75
+;5;18.25;Ramseier Fritz;**;14;54.0;4;18.5;-1;0.25;9.75
+;5;28.0;Orlik Curdin;***;14;54.0;10;26.75;5;-1.25;9.75
o;5;37.75;von Weissenfluh Kilian;***;3;57.0;7;37.25;2;-0.5;8.5
-;7;46.25;Ledermann Michael;*;6;56.0;4;47.0;-3;0.75;9.0

9b;Suppiger René;***;;;;;;;;;55.25
+;;;Piemontesi Pascal;**;;;;;;;10.0
o;1;10.0;Schuler Christian;***;6;56.0;2;9.75;1;-0.25;8.5
+;4;18.5;Kessler Joel;*;11;54.75;3;18.75;-1;0.25;9.75
o;4;28.25;Schwander Severin;**;8;55.5;4;28.25;0;0.0;8.5
o;9;36.75;Ledermann Michael;*;6;56.0;8;37.0;-1;0.25;8.5
+;11;45.25;Matthey Mickaël;**;15;53.5;12;45.0;1;-0.25;10.0

9c;Gasser Dominik;*;;;;;;;;;55.25
-;;;Bürli Roger;**;;;;;;;8.75
o;4;8.75;Lang Sven;**;9;55.25;5;8.5;1;-0.25;8.75
+;6;17.5;Kälin Roland;**;14;54.0;8;17.0;2;-0.5;10.0
+;7;27.5;Stöckli Stefan;***;22;36.0;7;27.5;0;0.0;10.0
-;6;37.5;Schuler Christian;***;6;56.0;7;37.25;1;-0.25;8.75
-;7;46.25;Ambühl Joel;**;6;56.0;3;47.25;-4;1.0;9.0

9d;Balimann Sandro;*;;;;;;;;;55.25
o;;;Scherer Niklaus;*;;;;;;;8.5
+;5;8.5;Gisler Jonas;*;25;34.25;5;8.5;0;0.0;10.0
o;4;18.5;Müllestein Mike;***;5;56.25;4;18.5;0;0.0;8.5
+;9;27.0;Reichmuth Lukas;*;20;52.25;10;26.75;1;-0.25;9.75
+;9;36.75;Kennel Beat;*;17;53.0;13;35.75;4;-1.0;10.0
o;5;46.75;Nötzli Reto;***;3;57.0;4;47.0;-1;0.25;8.5

9e;Arnold Raphael;**;;;;;;;;;55.25
-;;;Cardinaux Victor;**;;;;;;;8.75
+;4;8.75;Loup Alexandre;*;19;52.5;2;9.75;-2;1.0;10.0
-;3;18.75;Gwerder Michael;***;21;37.5;1;19.75;-2;1.0;9.0
+;6;27.75;Riedo Fredy;*;17;53.0;8;27.25;2;-0.5;10.0
o;5;37.75;Kramer Lario;***;3;57.0;8;37.0;3;-0.75;8.5
-;7;46.25;Ulrich Marco;*;6;56.0;4;47.0;-3;0.75;9.0

9f;Waser Dominik;**;;;;;;;;;55.25
o;;;Schwander Severin;**;;;;;;;8.5
+;5;8.5;Briker Michael;**;18;52.75;5;8.5;0;0.0;10.0
o;4;18.5;Gerber Christian;***;10;55.0;6;17.5;2;-1.0;8.5
+;9;27.0;Haenni Stéphane;**;18;52.75;9;27.0;0;0.0;9.75
+;9;36.75;Ducrest Etienne;*;13;54.25;7;37.25;-2;0.5;10.0
o;5;46.75;Aeschbacher Matthias;***;3;57.0;3;47.25;-2;0.5;8.5

9g;Arnold Stefan;**;;;;;;;;;55.25
-;;;Borcard Johann;**;;;;;;;8.75
+;4;8.75;Orlik Curdin;***;14;54.0;5;8.5;1;-0.25;10.0
-;3;18.75;Haenni Stéphane;**;18;52.75;5;18.25;2;-0.5;8.75
+;7;27.5;Schmid Simon;*;14;54.0;9;27.0;2;-0.5;10.0
-;6;37.5;Gottofrey Marc;**;7;55.75;9;36.75;3;-0.75;9.0
o;6;46.5;von Weissenfluh Kilian;***;3;57.0;3;47.25;-3;0.75;8.75

10a;Schuler Alex;***;;;;;;;;;55.0
-;;;Matthey Mickaël;**;;;;;;;8.75
+;4;8.75;Zangger Dominik;*;14;54.0;1;10.0;-3;1.25;9.75
-;4;18.5;Collaud Romain;*;12;54.5;3;18.75;-1;0.25;8.75
+;8;27.25;Ducrest Etienne;*;13;54.25;3;28.5;-5;1.25;10.0
-;7;37.25;Gerber Christian;***;10;55.0;6;37.5;-1;0.25;8.75
-;8;46.0;Hofer Sven;*;10;55.0;8;46.0;0;0.0;9.0

10b;Steinauer Adrian;**;;;;;;;;;55.0
o;;;Studer Stefan;**;;;;;;;8.5
+;5;8.5;Troxler Jonas;*;26;34.0;5;8.5;0;0.0;10.0
o;4;18.5;Orlik Curdin;***;14;54.0;8;17.0;4;-1.5;8.5
o;9;27.0;Klossner Adrian;*;8;55.5;8;27.25;-1;0.25;8.5
+;14;35.5;Borcard Johann;**;14;54.0;13;35.75;-1;0.25;9.75
+;11;45.25;Colò Kilian;**;16;53.25;13;44.75;2;-0.5;9.75

10c;Egli Damian;**;;;;;;;;;55.0
+;;;Dousse Michel;**;;;;;;;9.75
o;2;9.75;Kramer Lario;***;3;57.0;5;8.5;3;-1.25;8.5
-;5;18.25;Klossner Adrian;*;8;55.5;4;18.5;-1;0.25;9.0
-;8;27.25;Cardinaux Victor;**;12;54.5;8;27.25;0;0.0;9.0
+;11;36.25;Renfer Lukas;**;14;54.0;9;36.75;-2;0.5;9.75
-;8;46.0;Gerber Christian;***;10;55.0;7;46.25;-1;0.25;9.0

10d;Hofer Sven;*;;;;;;;;;55.0
+;;;Gisler Jonas;*;;;;;;;9.75
o;2;9.75;Fellmann Roman;**;7;55.75;4;8.75;2;-1.0;8.5
-;5;18.25;Durrer Nando;*;12;54.5;5;18.25;0;0.0;9.0
-;8;27.25;Kennel Beat;*;17;53.0;9;27.0;1;-0.25;8.75
+;12;36.0;Reichmuth Lukas;*;20;52.25;15;35.25;3;-0.75;10.0
-;8;46.0;Schuler Alex;***;10;55.0;8;46.0;0;0.0;9.0

10e;von Ah Benji;***;;;;;;;;;55.0
-;;;von Weissenfluh Kilian;***;;;;;;;8.75
+;4;8.75;Studer Stefan;**;12;54.5;1;10.0;-3;1.25;10.0
-;3;18.75;Ulrich Marco;*;6;56.0;1;19.75;-2;1.0;8.75
+;7;27.5;Berger Lorenz;**;8;55.5;4;28.25;-3;0.75;10.0
o;6;37.5;Ambühl Joel;**;6;56.0;7;37.25;1;-0.25;8.75
-;7;46.25;Gobeli Patrick;**;7;55.75;4;47.0;-3;0.75;8.75

10f;Gerber Christian;***;;;;;;;;;55.0
-;;;Müllestein Mike;***;;;;;;;8.75
-;4;8.75;Reichmuth Roland;*;14;54.0;1;10.0;-3;1.25;8.75
+;6;17.5;Waser Dominik;**;9;55.25;4;18.5;-2;1.0;10.0
+;7;27.5;Fankhauser Erich;***;3;57.0;3;28.5;-4;1.0;10.0
-;6;37.5;Schuler Alex;***;10;55.0;7;37.25;1;-0.25;8.75
-;7;46.25;Egli Damian;**;10;55.0;8;46.0;1;-0.25;8.75

11a;Kessler Joel;*;;;;;;;;;54.75
-;;;Odermatt Andreas;*;;;;;;;8.75
+;4;8.75;Müller Roger;*;19;52.5;5;8.5;1;-0.25;10.0
o;3;18.75;Suppiger René;***;9;55.25;4;18.5;1;-0.25;8.5
o;8;27.25;Collaud Romain;*;12;54.5;7;27.5;-1;0.25;8.75
+;12;36.0;Zangger Dominik;*;14;54.0;14;35.5;2;-0.5;10.0
o;8;46.0;Wittwer Jan;*;4;56.75;5;46.75;-3;0.75;8.75

11b;Weyermann Florian;**;;;;;;;;;54.75
-;;;Fellmann Roman;**;;;;;;;8.75
+;4;8.75;Rohrer Ueli;*;16;53.25;2;9.75;-2;1.0;10.0
+;3;18.75;Bucher Christian;*;15;53.5;5;18.25;2;-0.5;9.75
o;3;28.5;Bieri Marcel;***;2;57.25;3;28.5;0;0.0;8.5
o;8;37.0;Heiniger Marco;*;6;56.0;8;37.0;0;0.0;8.75
-;9;45.75;Zurfluh Roman;**;12;54.5;9;45.75;0;0.0;9.0

12a;Durrer Nando;*;;;;;;;;;54.5
o;;;Bucher Christian;*;;;;;;;8.5
+;5;8.5;Cardinaux Victor;**;12;54.5;4;8.75;-1;0.25;9.75
-;5;18.25;Inniger Thomas;***;23;35.0;6;17.5;1;-0.75;8.75
-;9;27.0;Hofer Sven;*;10;55.0;8;27.25;-1;0.25;8.75
-;13;35.75;Loup Alexandre;*;19;52.5;15;35.25;2;-0.5;9.0
+;13;44.75;Kramer Dorian;*;15;53.5;13;44.75;0;0.0;9.75

12b;Schürpf Bruno;*;;;;;;;;;54.5
o;;;Collaud Romain;*;;;;;;;8.5
o;5;8.5;Gobeli Patrick;**;7;55.75;4;8.75;-1;0.25;8.5
-;8;17.0;Kramer Dorian;*;15;53.5;6;17.5;-2;0.5;8.75
+;13;25.75;Müller Roger;*;19;52.5;10;26.75;-3;1.0;10.0
-;13;35.75;Orlik Curdin;***;14;54.0;15;35.25;2;-0.5;8.75
+;14;44.5;Dousse Michel;**;17;53.0;14;44.5;0;0.0;10.0

12c;Leuenberger Michael;*;;;;;;;;;54.5
o;;;Heiniger Marco;*;;;;;;;8.5
o;5;8.5;Hess Dominik;*;17;53.0;4;8.75;-1;0.25;8.75
o;7;17.25;Felder Martin;*;16;53.25;8;17.0;1;-0.25;8.5
+;13;25.75;Troxler Jonas;*;26;34.0;14;25.5;1;-0.25;10.0
-;13;35.75;Briker Michael;**;18;52.75;15;35.25;2;-0.5;9.0
+;13;44.75;Kälin Roland;**;14;54.0;11;45.25;-2;0.5;9.75

12d;Collaud Romain;*;;;;;;;;;54.5
+;;;Schürpf Bruno;*;;;;;;;9.75
-;2;9.75;Ambühl Joel;**;6;56.0;4;8.75;2;-1.0;9.0
-;3;18.75;Schuler Alex;***;10;55.0;4;18.5;1;-0.25;8.75
+;7;27.5;Kessler Joel;*;11;54.75;8;27.25;1;-0.25;10.0
o;6;37.5;Fankhauser Marco;**;7;55.75;7;37.25;1;-0.25;8.5
o;8;46.0;Bieri Marcel;***;2;57.25;3;47.25;-5;1.25;8.5

12e;Cardinaux Victor;**;;;;;;;;;54.5
-;;;Arnold Raphael;**;;;;;;;8.75
o;4;8.75;Durrer Nando;*;12;54.5;5;8.5;1;-0.25;8.5
+;7;17.25;Troxler Jonas;*;26;34.0;8;17.0;1;-0.25;10.0
-;8;27.25;Egli Damian;**;10;55.0;8;27.25;0;0.0;9.0
+;11;36.25;Schmid Simon;*;14;54.0;14;35.5;3;-0.75;9.75
o;8;46.0;Schuler Christian;***;6;56.0;8;46.0;0;0.0;8.5

12f;Studer Stefan;**;;;;;;;;;54.5
+;;;Steinauer Adrian;**;;;;;;;10.0
o;1;10.0;von Ah Benji;***;10;55.0;4;8.75;3;-1.25;8.5
+;4;18.5;Fellmann Roman;**;7;55.75;3;18.75;-1;0.25;10.0
-;3;28.5;Nötzli Reto;***;3;57.0;3;28.5;0;0.0;8.75
-;7;37.25;Betschart Patrick;*;13;54.25;8;37.0;1;-0.25;8.75
o;8;46.0;Fankhauser Erich;***;3;57.0;4;47.0;-4;1.0;8.5

12g;Zurfluh Roman;**;;;;;;;;;54.5
+;;;Ramseier Fritz;**;;;;;;;10.0
o;1;10.0;von Weissenfluh Kilian;***;3;57.0;4;8.75;3;-1.25;8.5
+;4;18.5;Zangger Dominik;*;14;54.0;4;18.5;0;0.0;10.0
o;3;28.5;Wittwer Jan;*;4;56.75;3;28.5;0;0.0;8.5
-;8;37.0;Reichmuth Roland;*;14;54.0;10;36.5;2;-0.5;8.75
-;9;45.75;Weyermann Florian;**;11;54.75;9;45.75;0;0.0;8.75

13a;Odermatt Andreas;*;;;;;;;;;54.25
-;;;Kessler Joel;*;;;;;;;8.75
-;4;8.75;Mollet Ivan;**;25;34.25;5;8.5;1;-0.25;8.75
+;6;17.5;Piemontesi Pascal;**;17;53.0;7;17.25;1;-0.25;9.75
o;8;27.25;Ambühl Joel;**;6;56.0;8;27.25;0;0.0;8.5
+;13;35.75;Kramer Dorian;*;15;53.5;11;36.25;-2;0.5;9.75
-;10;45.5;Renfer Lukas;**;14;54.0;11;45.25;1;-0.25;8.75

13b;Ettlin Martin;*;;;;;;;;;54.25
+;;;Gwerder Andreas;*;;;;;;;10.0
o;1;10.0;Matthey Mickaël;**;15;53.5;4;8.75;3;-1.25;8.5
o;4;18.5;Berger Lorenz;**;8;55.5;5;18.25;1;-0.25;8.5
-;9;27.0;Borcard Johann;**;14;54.0;9;27.0;0;0.0;8.75
+;13;35.75;Ramseier Fritz;**;14;54.0;13;35.75;0;0.0;10.0
o;9;45.75;Gottofrey Marc;**;7;55.75;9;45.75;0;0.0;8.5

13c;Ducrest Etienne;*;;;;;;;;;54.25
+;;;Durrer Jonas (2003);*;;;;;;;10.0
o;1;10.0;Stöckli Stefan;***;22;36.0;4;8.75;3;-1.25;8.5
+;4;18.5;Heiniger Marco;*;6;56.0;3;18.75;-1;0.25;10.0
o;3;28.5;Schuler Alex;***;10;55.0;8;27.25;5;-1.25;8.75
o;7;37.25;Waser Dominik;**;9;55.25;9;36.75;2;-0.5;8.5
o;9;45.75;Fellmann Roman;**;7;55.75;9;45.75;0;0.0;8.5

13d;Betschart Patrick;*;;;;;;;;;54.25
+;;;Riedo Fredy;*;;;;;;;10.0
-;1;10.0;Duplan Steve;***;24;34.5;5;8.5;4;-1.5;8.75
o;3;18.75;Schwander Severin;**;8;55.5;4;18.5;1;-0.25;8.5
+;8;27.25;Odermatt Remo;*;24;34.5;12;26.0;4;-1.25;9.75
-;8;37.0;Studer Stefan;**;12;54.5;7;37.25;-1;0.25;8.75
o;9;45.75;Klossner Adrian;*;8;55.5;9;45.75;0;0.0;8.5

14a;Borcard Johann;**;;;;;;;;;54.0
-;;;Arnold Stefan;**;;;;;;;8.75
o;4;8.75;Gwerder Michael;***;21;37.5;2;9.75;-2;1.0;8.5
+;7;17.25;Betschart Marcel;*;25;34.25;7;17.25;0;0.0;9.75
-;9;27.0;Ettlin Martin;*;13;54.25;9;27.0;0;0.0;8.75
o;13;35.75;Steinauer Adrian;**;10;55.0;14;35.5;1;-0.25;8.5
+;15;44.25;Kennel Beat;*;17;53.0;14;44.5;-1;0.25;9.75

14b;Ramseier Fritz;**;;;;;;;;;54.0
o;;;Zurfluh Roman;**;;;;;;;8.5
+;5;8.5;Kälin Roland;**;14;54.0;5;8.5;0;0.0;10.0
