3773-2017-05-28_103_StGaller_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;58.5
+;6;18.5;Güntensperger Marcel;*;12;55.5;6;18.5;0;0.0;10.0
o;5;28.5;Schlegel Reto;*;10;56.0;3;29.0;-2;0.5;8.5
+;8;37.0;Büsser André;;7;56.75;3;38.25;-5;1.25;10.0
+;7;47.0;Rychen Roger;***;11;55.75;7;47.0;0;0.0;10.0

6b;Kid Simon;**;;;;;;;;;57.0
+;;;Hochholdinger Roman;**;;;;;;;9.75
+;2;9.75;Schmid Patrick;*;12;55.5;1;10.0;-1;0.25;9.75
+;3;19.5;Bless Michael;***;5;57.25;5;18.75;2;-0.75;9.75
-;2;29.25;Hersche Martin;***;9;56.25;4;28.75;2;-0.5;9.0
+;3;38.25;Lanter Christian;;10;56.0;1;38.75;-2;0.5;10.0
o;2;48.25;Bösch Daniel;***;1;58.5;1;48.5;-1;0.25;8.75

6c;Korrodi Paul;*;;;;;;;;;57.0
o;;;Eugster Ruedi;**;;;;;;;8.5
-;5;8.5;Vollmeier Sandro;;13;55.25;1;10.0;-4;1.5;8.75
+;10;17.25;Meier Joel (1999);;25;35.5;6;18.5;-4;1.25;10.0
+;10;27.25;Bäbler Sandro;**;25;35.5;11;27.0;1;-0.25;9.75
+;8;37.0;Schegg Daniel (2000);;19;53.75;9;36.75;1;-0.25;10.0
+;7;47.0;Schlegel Reto;*;10;56.0;6;47.25;-1;0.25;10.0

6d;Hasler Florian;**;;;;;;;;;57.0
-;;;Notz Beni;***;;;;;;;8.75
+;4;8.75;Wolfer Lukas;*;14;55.0;2;9.75;-2;1.0;10.0
o;5;18.75;Bösch Daniel;***;1;58.5;2;19.75;-3;1.0;8.5
+;10;27.25;Marty Jaime (2000);;11;55.75;6;28.25;-4;1.0;9.75
+;8;37.0;Zbinden Marc;*;11;55.75;7;37.25;-1;0.25;10.0
+;7;47.0;Wickli Beat;**;11;55.75;7;47.0;0;0.0;10.0

6e;Battaglia Ursin;**;;;;;;;;;57.0
o;;;Gmür Pirmin;*;;;;;;;8.75
+;4;8.75;Ott Damian (2000);;8;56.5;2;9.75;-2;1.0;10.0
o;5;18.75;Forrer Arnold;***;5;57.25;6;18.5;1;-0.25;8.5
+;10;27.25;Bucher Roland;;12;55.5;9;27.5;-1;0.25;10.0
+;7;37.25;Elmer Daniel;*;8;56.5;3;38.25;-4;1.0;9.75
+;7;47.0;Roth Martin;*;13;55.25;8;46.75;1;-0.25;10.0

6f;Schlegel Sandro;**;;;;;;;;;57.0
+;;;Bäbler Sandro;**;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;1;58.5;2;9.75;1;-0.25;8.5
+;6;18.5;Zahner Stefan;;15;54.75;3;19.5;-3;1.0;10.0
+;5;28.5;Riget Tobias;**;5;57.25;4;28.75;-1;0.25;10.0
+;2;38.5;Nötzli Bruno;***;9;56.25;6;37.5;4;-1.0;9.75
o;2;48.25;Bless Michael;***;5;57.25;6;47.25;4;-1.0;8.75

7a;Rüegg Fabian;*;;;;;;;;;56.75
+;;;Straub Robin;*;;;;;;;9.75
o;2;9.75;Notz Beni;***;6;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Giger Florian (2001);;32;26.75;7;18.25;0;0.0;10.0
o;6;28.25;Lanter Christian;;10;56.0;4;28.75;-2;0.5;8.5
+;9;36.75;Zumbach Michael;;18;54.0;9;36.75;0;0.0;10.0
+;8;46.75;Frick Andreas;*;14;55.0;9;46.5;1;-0.25;10.0

7b;Landolt Reto;*;;;;;;;;;56.75
+;;;Truniger Manuel;*;;;;;;;9.75
o;2;9.75;Kindlimann Fabian;***;8;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Martin Dominik;;18;54.0;7;18.25;0;0.0;9.75
-;7;28.0;Breitenmoser Manuel;;13;55.25;3;29.0;-4;1.0;8.75
+;9;36.75;Eisenring Daniel;;19;53.75;9;36.75;0;0.0;10.0
+;8;46.75;Coray Beda;*;13;55.25;9;46.5;1;-0.25;10.0

7c;Büsser André;;;;;;;;;;56.75
+;;;Leuppi Karim;*;;;;;;;10.0
+;1;10.0;Eisenring Daniel;;19;53.75;1;10.0;0;0.0;9.75
o;2;19.75;Schmid Patrick;*;12;55.5;6;18.5;4;-1.25;8.5
+;6;28.25;Schegg Daniel (2000);;19;53.75;6;28.25;0;0.0;10.0
o;3;38.25;Notz Beni;***;6;57.0;8;37.0;5;-1.25;8.5
+;8;46.75;Schönenberger Philipp;;13;55.25;8;46.75;0;0.0;10.0

7d;Rüegg Roman;*;;;;;;;;;56.75
+;;;Inauen Franz;*;;;;;;;10.0
o;1;10.0;Höfliger Andreas;**;11;55.75;5;8.5;4;-1.5;8.5
+;6;18.5;Götti Samuel;;17;54.25;6;18.5;0;0.0;10.0
o;5;28.5;Zwyssig Raphael;***;7;56.75;6;28.25;1;-0.25;8.5
+;8;37.0;Riedi Thomas;;14;55.0;9;36.75;1;-0.25;10.0
+;7;47.0;Bollhalder Manuel (2001);;13;55.25;8;46.75;1;-0.25;9.75

7e;Oertig Adrian;**;;;;;;;;;56.75
o;;;Nägeli Marco;*;;;;;;;8.5
+;5;8.5;Jörger Corsin;;12;55.5;1;10.0;-4;1.5;10.0
-;6;18.5;Kammermann Dominik;;11;55.75;6;18.5;0;0.0;8.75
+;10;27.25;Hauser Simon;;19;53.75;7;28.0;-3;0.75;9.75
+;8;37.0;Arztmann Beda;*;8;56.5;3;38.25;-5;1.25;10.0
+;7;47.0;Brügger Stefan;*;12;55.5;7;47.0;0;0.0;9.75

7f;Dändliker Shane;;;;;;;;;;56.75
+;;;Kobler Janosch (2000);;;;;;;;9.75
o;2;9.75;Wickli Beat;**;11;55.75;4;8.75;2;-1.0;8.75
+;6;18.5;Egli Martin;;25;35.5;6;18.5;0;0.0;10.0
+;5;28.5;Coray Beda;*;13;55.25;7;28.0;2;-0.5;9.75
+;3;38.25;Roth Martin;*;13;55.25;3;38.25;0;0.0;10.0
o;2;48.25;Forrer Arnold;***;5;57.25;6;47.25;4;-1.0;8.5

7g;Bernold Edi;**;;;;;;;;;56.75
o;;;Schmid Patrick;*;;;;;;;8.5
+;5;8.5;Marty Jaime (2000);;11;55.75;2;9.75;-3;1.25;10.0
o;6;18.5;Peng Mike;***;18;54.0;8;17.75;2;-0.75;8.75
+;10;27.25;Mathis Patrick;;25;35.5;11;27.0;1;-0.25;9.75
+;8;37.0;Jörger Marc;;11;55.75;8;37.0;0;0.0;10.0
+;7;47.0;Jöhl Christian;*;12;55.5;8;46.75;1;-0.25;9.75

7h;Hochholdinger Roman;**;;;;;;;;;56.75
o;;;Kid Simon;**;;;;;;;8.5
+;5;8.5;Ulmann Fabian (1999);;18;54.0;1;10.0;-4;1.5;10.0
o;6;18.5;Leuppi Samir;**;4;57.5;7;18.25;1;-0.25;8.5
+;11;27.0;Vestner Bruno;*;17;54.25;10;27.25;-1;0.25;9.75
+;9;36.75;Wey Nicola;*;18;54.0;9;36.75;0;0.0;10.0
+;8;46.75;Kuster Thomas;*;12;55.5;7;47.0;-1;0.25;10.0

7i;Bäbler Dominik;*;;;;;;;;;56.75
+;;;Sprecher Sandro;*;;;;;;;10.0
o;1;10.0;Krähenbühl Tobias;***;12;55.5;5;8.5;4;-1.5;8.75
+;5;18.75;Wicki Cédric;;17;54.25;5;18.75;0;0.0;9.75
+;5;28.5;Brügger Stefan;*;12;55.5;5;28.5;0;0.0;10.0
o;2;38.5;Rychen Roger;***;11;55.75;7;37.25;5;-1.25;8.5
+;7;47.0;Kunz Daniel;;13;55.25;8;46.75;1;-0.25;9.75

7j;Zwyssig Raphael;***;;;;;;;;;56.75
o;;;Leuppi Samir;**;;;;;;;8.5
+;5;8.5;Nägeli Marco;*;10;56.0;1;10.0;-4;1.5;9.75
+;7;18.25;Elmer Adrian;*;14;55.0;6;18.5;-1;0.25;10.0
+;6;28.25;Rüegg Roman;*;7;56.75;5;28.5;-1;0.25;9.75
+;4;38.0;Gmür Pirmin;*;8;56.5;3;38.25;-1;0.25;10.0
-;3;48.0;Kindlimann Fabian;***;8;56.5;4;47.75;1;-0.25;8.75

8a;Arztmann Beda;*;;;;;;;;;56.5
o;;;Roth Martin;*;;;;;;;8.5
+;5;8.5;Lozza Roman;;19;53.75;1;10.0;-4;1.5;10.0
+;6;18.5;Lieberherr Michael (1999);;16;54.5;2;19.75;-4;1.25;9.75
+;6;28.25;Wetter Marcel;;18;54.0;5;28.5;-1;0.25;10.0
o;3;38.25;Oertig Adrian;**;7;56.75;8;37.0;5;-1.25;8.5
+;8;46.75;Elmer Adrian;*;14;55.0;9;46.5;1;-0.25;9.75

8b;Kindlimann Fabian;***;;;;;;;;;56.5
-;;;Bless Michael;***;;;;;;;8.75
+;4;8.75;Landolt Reto;*;7;56.75;2;9.75;-2;1.0;10.0
+;5;18.75;Coray Beda;*;13;55.25;3;19.5;-2;0.75;10.0
+;4;28.75;Eugster Ruedi;**;5;57.25;3;29.0;-1;0.25;10.0
-;1;38.75;Forrer Arnold;***;5;57.25;3;38.25;2;-0.5;9.0
-;4;47.75;Zwyssig Raphael;***;7;56.75;3;48.0;-1;0.25;8.75

8c;Elmer Daniel;*;;;;;;;;;56.5
+;;;Oertle Daniel;*;;;;;;;9.75
-;2;9.75;Peng Mike;***;18;54.0;4;8.75;2;-1.0;8.75
+;6;18.5;Schwager Ivo;;25;35.5;6;18.5;0;0.0;9.75
+;6;28.25;Hari Michi;;17;54.25;5;28.5;-1;0.25;10.0
o;3;38.25;Battaglia Ursin;**;6;57.0;7;37.25;4;-1.0;8.5
+;8;46.75;Reichmuth Beat;;13;55.25;8;46.75;0;0.0;9.75

8d;Gmür Pirmin;*;;;;;;;;;56.5
+;;;Battaglia Ursin;**;;;;;;;9.75
o;2;9.75;Nötzli Bruno;***;9;56.25;4;8.75;2;-1.0;8.5
+;7;18.25;Müller Elias;;25;35.5;6;18.5;-1;0.25;10.0
+;6;28.25;Kunz Daniel;;13;55.25;5;28.5;-1;0.25;10.0
o;3;38.25;Zwyssig Raphael;***;7;56.75;4;38.0;1;-0.25;8.5
+;8;46.75;Güntensperger Marcel;*;12;55.5;7;47.0;-1;0.25;9.75

8e;Ott Damian (2000);;;;;;;;;;56.5
+;;;Poltera Andrin (1999);;;;;;;;9.75
o;2;9.75;Battaglia Ursin;**;6;57.0;4;8.75;2;-1.0;8.75
+;6;18.5;Rhyner Beni (1999);;26;35.25;7;18.25;1;-0.25;10.0
o;5;28.5;Wolfer Lukas;*;14;55.0;7;28.0;2;-0.5;8.5
+;8;37.0;Oertle Daniel;*;14;55.0;9;36.75;1;-0.25;9.75
+;8;46.75;Vollmeier Sandro;;13;55.25;8;46.75;0;0.0;9.75

9a;Hersche Martin;***;;;;;;;;;56.25
+;;;Krähenbühl Tobias;***;;;;;;;10.0
-;1;10.0;Riget Tobias;**;5;57.25;1;10.0;0;0.0;8.75
+;5;18.75;Good Marco;*;4;57.5;4;19.0;-1;0.25;10.0
-;4;28.75;Kid Simon;**;6;57.0;2;29.25;-2;0.5;9.0
+;5;37.75;Oertig Simon;;10;56.0;2;38.5;-3;0.75;10.0
o;4;47.75;Oertig Dominik;**;2;58.25;2;48.25;-2;0.5;8.5

9b;Straub Robin;*;;;;;;;;;56.25
o;;;Rüegg Fabian;*;;;;;;;8.5
+;5;8.5;Roth Sämi (2000);;25;35.5;1;10.0;-4;1.5;9.75
+;7;18.25;Schönenberger Björn;;19;53.75;7;18.25;0;0.0;9.75
o;7;28.0;Bernold Michael (1999);;4;57.5;7;28.0;0;0.0;8.5
+;10;36.5;Heierli Pascal (1999);;19;53.75;9;36.75;-1;0.25;10.0
+;9;46.5;Breitenmoser Manuel;;13;55.25;8;46.75;-1;0.25;9.75

9c;Nötzli Bruno;***;;;;;;;;;56.25
-;;;Forrer Arnold;***;;;;;;;8.75
+;4;8.75;Gmür Pirmin;*;8;56.5;2;9.75;-2;1.0;10.0
+;5;18.75;Geisser Lars;*;5;57.25;1;20.0;-4;1.25;10.0
-;4;28.75;Bösch Daniel;***;1;58.5;1;29.75;-3;1.0;8.75
o;6;37.5;Schlegel Sandro;**;6;57.0;2;38.5;-4;1.0;8.75
+;10;46.25;Schläpfer Matthias;*;13;55.25;8;46.75;-2;0.5;10.0

10a;Oertig Simon;;;;;;;;;;56.0
+;;;Funk Nicola (1999);;;;;;;;9.75
+;2;9.75;Schilter Daniel;*;30;34.25;5;8.5;3;-1.25;10.0
-;2;19.75;Sprecher Sandro;*;10;56.0;6;18.5;4;-1.25;8.75
+;5;28.5;Jörger Corsin;;12;55.5;5;28.5;0;0.0;10.0
o;2;38.5;Hersche Martin;***;9;56.25;5;37.75;3;-0.75;8.5
-;7;47.0;Pfister Florian;*;10;56.0;7;47.0;0;0.0;9.0

10b;Koller Martin;*;;;;;;;;;56.0
+;;;Güntensperger Marcel;*;;;;;;;9.75
+;2;9.75;Baumann Simon;;20;53.5;2;9.75;0;0.0;9.75
-;3;19.5;Bernold Christian;**;3;57.75;5;18.75;2;-0.75;9.0
o;5;28.5;Oertig Dominik;**;2;58.25;4;28.75;-1;0.25;8.75
-;7;37.25;Marty Jaime (2000);;11;55.75;8;37.0;1;-0.25;8.75
+;11;46.0;Heierli Pascal (1999);;19;53.75;14;45.25;3;-0.75;10.0

10c;Sprecher Sandro;*;;;;;;;;;56.0
o;;;Bäbler Dominik;*;;;;;;;8.5
+;5;8.5;Schrepfer Roy;;17;54.25;1;10.0;-4;1.5;10.0
-;6;18.5;Oertig Simon;;10;56.0;2;19.75;-4;1.25;8.75
o;10;27.25;Bischof Martin;;10;56.0;10;27.25;0;0.0;8.75
+;12;36.0;Ulmann Fabian (1999);;18;54.0;8;37.0;-4;1.0;10.0
+;11;46.0;Vogel Beat;*;15;54.75;10;46.25;-1;0.25;10.0

10d;Kessler Joel;*;;;;;;;;;56.0
-;;;Wickli Beat;**;;;;;;;8.75
-;4;8.75;Egli Martin;;25;35.5;2;9.75;-2;1.0;8.75
+;9;17.5;Schmucki Ivo;;10;56.0;5;18.75;-4;1.25;10.0
+;9;27.5;Wild Thomas;;18;54.0;5;28.5;-4;1.0;10.0
o;6;37.5;Riget Tobias;**;5;57.25;7;37.25;1;-0.25;8.5
+;11;46.0;Mettler Valentin;;16;54.5;12;45.75;1;-0.25;10.0

10e;Lanter Christian;;;;;;;;;;56.0
+;;;Bommer Christoph;;;;;;;;9.75
+;2;9.75;Vogel Beat;*;15;54.75;2;9.75;0;0.0;10.0
-;2;19.75;Eugster Ruedi;**;5;57.25;1;20.0;-1;0.25;9.0
+;4;28.75;Rüegg Fabian;*;7;56.75;6;28.25;2;-0.5;10.0
o;1;38.75;Kid Simon;**;6;57.0;3;38.25;2;-0.5;8.5
o;6;47.25;Geisser Lars;*;5;57.25;5;47.5;-1;0.25;8.75

10f;Fässler Cornel;*;;;;;;;;;56.0
-;;;Bernold Christian;**;;;;;;;8.75
+;4;8.75;Städler Lars;;26;35.25;2;9.75;-2;1.0;10.0
-;5;18.75;Vestner Roman;*;11;55.75;5;18.75;0;0.0;8.75
-;9;27.5;Peng Mike;***;18;54.0;8;27.75;-1;0.25;8.75
+;11;36.25;Baumann Simon;;20;53.5;10;36.5;-1;0.25;9.75
+;11;46.0;Lozza Roman;;19;53.75;14;45.25;3;-0.75;10.0

10g;Schlegel Reto;*;;;;;;;;;56.0
+;;;Schilter Daniel;*;;;;;;;10.0
-;1;10.0;Schnurrenberger Roman;**;15;54.75;5;8.5;4;-1.5;9.0
+;4;19.0;Riedi Thomas;;14;55.0;6;18.5;2;-0.5;10.0
+;3;29.0;Notz Beni;***;6;57.0;5;28.5;2;-0.5;9.75
o;1;38.75;Leuppi Samir;**;4;57.5;4;38.0;3;-0.75;8.5
o;6;47.25;Korrodi Paul;*;6;57.0;7;47.0;1;-0.25;8.75

10h;Nägeli Marco;*;;;;;;;;;56.0
+;;;Oertig Adrian;**;;;;;;;10.0
o;1;10.0;Zwyssig Raphael;***;7;56.75;5;8.5;4;-1.5;8.5
+;6;18.5;Schegg Daniel (2000);;19;53.75;2;19.75;-4;1.25;10.0
+;5;28.5;Alder Armin;;12;55.5;5;28.5;0;0.0;9.75
-;3;38.25;Geisser Lars;*;5;57.25;2;38.5;-1;0.25;9.0
o;6;47.25;Bernold Christian;**;3;57.75;4;47.75;-2;0.5;8.75

10i;Bischof Martin;;;;;;;;;;56.0
-;;;Kammermann Dominik;;;;;;;;8.75
-;4;8.75;Keller Lukas;;27;35.0;4;8.75;0;0.0;8.75
+;9;17.5;Bärtsch Jann (2000);;13;55.25;7;18.25;-2;0.75;9.75
+;10;27.25;Sprecher Sandro;*;10;56.0;10;27.25;0;0.0;10.0
-;7;37.25;Höfliger Andreas;**;11;55.75;9;36.75;2;-0.5;8.75
+;11;46.0;Schegg Daniel (2000);;19;53.75;14;45.25;3;-0.75;10.0

10j;Schmucki Ivo;;;;;;;;;;56.0
-;;;Bucher Roland;;;;;;;;8.75
+;4;8.75;Roth Michael (1999);;26;35.25;4;8.75;0;0.0;10.0
o;5;18.75;Kessler Joel;*;10;56.0;9;17.5;4;-1.25;8.5
+;10;27.25;Schwager Ivo;;25;35.5;11;27.0;1;-0.25;10.0
+;7;37.25;Wicki Cédric;;17;54.25;13;35.75;6;-1.5;10.0
o;6;47.25;Baumann Rico;*;4;57.5;4;47.75;-2;0.5;8.75

10k;Pfister Florian;*;;;;;;;;;56.0
-;;;Dörig Erich;*;;;;;;;8.75
+;4;8.75;Dändliker Hansheinrich;;25;35.5;1;10.0;-3;1.25;9.75
-;6;18.5;Wey Nicola;*;18;54.0;7;18.25;1;-0.25;8.75
+;10;27.25;Hersche Daniel;;25;35.5;11;27.0;1;-0.25;9.75
+;8;37.0;Götti Samuel;;17;54.25;8;37.0;0;0.0;10.0
-;7;47.0;Oertig Simon;;10;56.0;7;47.0;0;0.0;9.0

11a;Kammermann Dominik;;;;;;;;;;55.75
-;;;Bischof Martin;;;;;;;;8.75
+;4;8.75;Harder Benj;;18;54.0;4;8.75;0;0.0;9.75
-;6;18.5;Oertig Adrian;**;7;56.75;6;18.5;0;0.0;8.75
+;10;27.25;Rütsche Werner;;25;35.5;11;27.0;1;-0.25;9.75
-;8;37.0;Peng Mike;***;18;54.0;10;36.5;2;-0.5;8.75
+;12;45.75;Baumann Simon;;20;53.5;15;45.0;3;-0.75;10.0

11b;Höfliger Andreas;**;;;;;;;;;55.75
o;;;Riget Tobias;**;;;;;;;8.5
+;5;8.5;Rüegg Roman;*;7;56.75;1;10.0;-4;1.5;10.0
+;6;18.5;Bärtsch Fabian (2000);;12;55.5;5;18.75;-1;0.25;9.75
o;6;28.25;Forrer Arnold;***;5;57.25;5;28.5;-1;0.25;8.5
-;9;36.75;Bischof Martin;;10;56.0;7;37.25;-2;0.5;9.0
+;12;45.75;Keller Dominic;;17;54.25;12;45.75;0;0.0;10.0

11c;Jörger Marc;;;;;;;;;;55.75
o;;;Vollmeier Sandro;;;;;;;;8.5
+;5;8.5;Bommer Christoph;;14;55.0;5;8.5;0;0.0;10.0
+;6;18.5;Schumacher Florian (2001);;25;35.5;6;18.5;0;0.0;10.0
o;5;28.5;Geisser Lars;*;5;57.25;5;28.5;0;0.0;8.5
o;8;37.0;Bernold Edi;**;7;56.75;8;37.0;0;0.0;8.75
+;12;45.75;Lieberherr Michael (1999);;16;54.5;12;45.75;0;0.0;10.0

11d;Marty Jaime (2000);;;;;;;;;;55.75
+;;;Bernold Michael (1999);;;;;;;;9.75
o;2;9.75;Bernold Edi;**;7;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Rütsche Werner;;25;35.5;6;18.5;-1;0.25;10.0
o;6;28.25;Hasler Florian;**;6;57.0;10;27.25;4;-1.0;8.75
-;8;37.0;Koller Martin;*;10;56.0;7;37.25;-1;0.25;8.75
+;12;45.75;Egli Patrick;;18;54.0;13;45.5;1;-0.25;10.0

11e;Zbinden Marc;*;;;;;;;;;55.75
+;;;Schläpfer Matthias;*;;;;;;;10.0
o;1;10.0;Forrer Arnold;***;5;57.25;4;8.75;3;-1.25;8.5
-;6;18.5;Wickli Beat;**;11;55.75;6;18.5;0;0.0;9.0
+;9;27.5;Schönenberger Philipp;;13;55.25;6;28.25;-3;0.75;9.75
o;7;37.25;Hasler Florian;**;6;57.0;8;37.0;1;-0.25;8.5
+;12;45.75;Hari Michi;;17;54.25;12;45.75;0;0.0;10.0

11f;Oettli Marco;*;;;;;;;;;55.75
+;;;Raymann David;*;;;;;;;10.0
o;1;10.0;Bless Michael;***;5;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Müller Loris (1999);;25;35.5;6;18.5;0;0.0;10.0
+;5;28.5;Schiess Christian;;19;53.75;6;28.25;1;-0.25;10.0
o;2;38.5;Oertig Dominik;**;2;58.25;2;38.5;0;0.0;8.5
o;7;47.0;Good Marco;*;4;57.5;5;47.5;-2;0.5;8.75

11g;Vestner Roman;*;;;;;;;;;55.75
-;;;Bühler Hannes;*;;;;;;;8.75
+;4;8.75;Odermatt Michi;;23;52.75;4;8.75;0;0.0;10.0
-;5;18.75;Fässler Cornel;*;10;56.0;5;18.75;0;0.0;8.75
+;9;27.5;Pianta Christian;;24;36.0;9;27.5;0;0.0;9.75
