1500-2015-08-16_16_Schwaegalp-Schwinget-ST

1a;Glarner Matthias;***;;;;;;;;;58.25
-;;;Borcard Johann;**;;;;;;;8.75
+;4;8.75;Vestner Bruno;*;14;54.5;4;8.75;0;0.0;10.0
o;3;18.75;Zaugg Thomas;***;4;57.0;3;18.75;0;0.0;8.75
+;7;27.5;Häni William;**;22;45.25;4;28.25;-3;0.75;9.75
+;6;37.25;Röthlisberger Simon;*;11;55.25;4;38.0;-2;0.75;9.75
o;4;47.0;Stucki Christian;***;3;57.25;3;47.25;-1;0.25;8.5

11a;Röthlisberger Simon;*;;;;;;;;;55.25
+;;;Schnurrenberger Roman;**;;;;;;;10.0
o;1;10.0;Zwyssig Raphael;***;9;55.75;5;8.5;4;-1.5;8.5
+;4;18.5;Rychen Roger;**;9;55.75;4;18.5;0;0.0;9.75
+;4;28.25;Nigg Lukas;**;20;53.0;7;27.5;3;-0.75;9.75
o;4;38.0;Krähenbühl Tobias;**;10;55.5;6;37.25;2;-0.75;8.5
o;6;46.5;Fässler Andreas;**;6;56.5;6;46.5;0;0.0;8.75

11b;Rhyner Michael;**;;;;;;;;;55.25
+;;;Aeschbacher Matthias;**;;;;;;;10.0
o;1;10.0;Gnägi Florian;***;4;57.0;2;9.75;1;-0.25;8.5
o;4;18.5;Moser Steven;**;9;55.75;3;18.75;-1;0.25;8.5
+;9;27.0;Borcard Johann;**;23;35.5;9;27.0;0;0.0;9.75
+;8;36.75;Matthey Mickaël;**;17;53.75;8;36.75;0;0.0;10.0
o;5;46.75;Kämpf Bernhard;***;5;56.75;4;47.0;-1;0.25;8.5

11c;Vögeli Sven;*;;;;;;;;;55.25
-;;;Streuli Martin;*;;;;;;;8.75
+;4;8.75;Baumann Rico;*;27;34.5;4;8.75;0;0.0;10.0
o;3;18.75;Peng Mike;***;16;54.0;5;18.25;2;-0.5;8.5
o;8;27.25;Zenger Niklaus;***;8;56.0;13;26.0;5;-1.25;8.5
+;12;35.75;Geisser Lars;*;21;52.75;12;35.75;0;0.0;9.75
+;10;45.5;Hersche Martin;**;17;53.75;11;45.25;1;-0.25;9.75

11d;Steiner Michael;**;;;;;;;;;55.25
+;;;Brügger Stefan;*;;;;;;;10.0
-;1;10.0;Schmid Reto;**;11;55.25;4;8.75;3;-1.25;8.75
o;3;18.75;Glarner Matthias;***;1;58.25;4;18.5;1;-0.25;8.5
o;8;27.25;Gapany Benjamin;**;9;55.75;8;27.25;0;0.0;8.5
+;12;35.75;Battaglia Ursin;**;19;53.25;11;36.0;-1;0.25;9.75
+;10;45.5;Brodard Augustin;**;16;54.0;10;45.5;0;0.0;9.75

11e;Schmid Reto;**;;;;;;;;;55.25
-;;;Orlik Curdin;**;;;;;;;8.75
-;4;8.75;Steiner Michael;**;11;55.25;1;10.0;-3;1.25;8.75
+;7;17.5;Oertig Dominik;*;23;35.5;5;18.25;-2;0.75;10.0
-;7;27.5;Gmür Pirmin;*;16;54.0;9;27.0;2;-0.5;9.0
-;9;36.5;Burkhalter Stefan;***;18;53.5;10;36.25;1;-0.25;8.75
+;11;45.25;Giger Urs;*;17;53.75;11;45.25;0;0.0;10.0

11f;Schläpfer Markus;**;;;;;;;;;55.25
+;;;Haenni Stéphane;**;;;;;;;9.75
o;2;9.75;Anderegg Simon;***;4;57.0;2;9.75;0;0.0;8.5
o;5;18.25;Wyss Kilian;**;14;54.5;5;18.25;0;0.0;8.5
+;10;26.75;Zbinden Marc;*;24;35.25;10;26.75;0;0.0;10.0
-;8;36.75;Gapany Benjamin;**;9;55.75;7;37.0;-1;0.25;8.75
+;10;45.5;Nägeli Marco;*;15;54.25;14;44.5;4;-1.0;9.75

12a;Horner Peter;**;;;;;;;;;55.0
o;;;Schenk Patrick;**;;;;;;;8.5
+;5;8.5;Brodard Augustin;**;16;54.0;5;8.5;0;0.0;9.75
+;5;18.25;Gwerder Andreas;**;24;35.25;5;18.25;0;0.0;9.75
o;5;28.0;Siegenthaler Matthias;***;2;57.5;5;28.0;0;0.0;8.5
+;9;36.5;Nägeli Marco;*;15;54.25;11;36.0;2;-0.5;9.75
-;7;46.25;Wyss Kilian;**;14;54.5;9;45.75;2;-0.5;8.75

12b;Roth Martin;*;;;;;;;;;55.0
-;;;Baumann Rico;*;;;;;;;8.75
