4347-2021-08-22_116_Ob-_und_Nidw_Kant_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;109.25
-;7;47.25;Lang Sven;**;11;55.75;8;47.0;1;-0.25;8.75

10b;Achermann Simon;;;;;;;;;;56.0
+;;;Gander Sebastian (2003);;;;;;;;10.0
+;2;10.0;Hürlimann Marco;;12;55.5;3;9.75;1;-0.25;10.0
-;2;20.0;Kessler Joel;*;10;56.0;6;18.75;4;-1.25;8.75
o;4;28.75;Schuler Alex;***;1;109.25;1;55.75;-3;27.0;8.5
+;8;37.25;Zumstein Patrick;;25;45.5;9;37.0;1;-0.25;9.75
-;8;47.0;Ming Christian;*;8;56.5;6;47.5;-2;0.5;9.0

10c;Bättig Martin;*;;;;;;;;;56.0
+;;;Barmettler Peter;*;;;;;;;10.0
-;2;10.0;Bucher Christian;**;6;57.0;5;8.75;3;-1.25;8.75
+;6;18.75;Kaufmann Jens;;17;54.25;2;20.0;-4;1.25;10.0
o;4;28.75;Müllestein Mike;***;5;57.25;5;28.5;1;-0.25;8.5
+;8;37.25;Gasser Dominik 1;;18;54.0;9;37.0;1;-0.25;10.0
o;7;47.25;Arnold Raphael;**;7;56.75;9;46.75;2;-0.5;8.75

10d;Gut Koni;;;;;;;;;;56.0
+;;;Zberg Nuyen (2003);;;;;;;;10.0
+;2;10.0;Felder Seppi;*;13;55.25;6;8.5;4;-1.5;10.0
o;2;20.0;Portmann Josef;**;12;55.5;7;18.5;5;-1.5;8.5
+;5;28.5;Fuster Sepp;*;16;54.5;9;27.5;4;-1.0;10.0
o;3;38.5;Egli Damian;**;11;55.75;8;37.25;5;-1.25;8.5
-;8;47.0;Doppmann Ueli;;11;55.75;9;46.75;1;-0.25;9.0

10e;Kessler Joel;*;;;;;;;;;56.0
+;;;Achermann Christoph;*;;;;;;;10.0
-;2;10.0;Ambühl Joel;**;11;55.75;3;9.75;1;-0.25;8.75
-;6;18.75;Achermann Simon;;10;56.0;2;20.0;-4;1.25;8.75
+;9;27.5;Wittwer Roy;;18;54.0;5;28.5;-4;1.0;9.75
+;8;37.25;Hess Dominik;*;10;56.0;8;37.25;0;0.0;9.75
-;8;47.0;Gander Michael;;11;55.75;9;46.75;1;-0.25;9.0

10f;Hess Dominik;*;;;;;;;;;56.0
o;;;Felder Martin;*;;;;;;;8.75
+;5;8.75;Bieri Elias;;17;54.25;3;9.75;-2;1.0;10.0
o;6;18.75;Fankhauser Erich;***;5;57.25;6;18.75;0;0.0;8.5
+;10;27.25;Schmidiger Lukas (2004);;21;53.25;9;27.5;-1;0.25;10.0
o;8;37.25;Kessler Joel;*;10;56.0;8;37.25;0;0.0;8.75
+;12;46.0;Albert Thomas;;15;54.75;12;46.0;0;0.0;10.0

10g;Reichmuth Roland;*;;;;;;;;;56.0
-;;;Kaufmann Reto;*;;;;;;;9.0
o;4;9.0;Portmann Josef;**;12;55.5;6;8.5;2;-0.5;8.75
+;9;17.75;Wicki Kevin;;13;55.25;6;18.75;-3;1.0;9.75
+;9;27.5;Kaiser Sandro;;14;55.0;6;28.25;-3;0.75;10.0
o;7;37.5;Suppiger René;***;15;54.75;13;36.0;6;-1.5;8.5
+;12;46.0;Imfeld Beat;*;16;54.5;12;46.0;0;0.0;10.0

10h;Kenel Franz-Toni;*;;;;;;;;;56.0
-;;;Arnold Raphael;**;;;;;;;8.75
+;5;8.75;Gasser Peter;*;14;55.0;6;8.5;1;-0.25;10.0
+;6;18.75;Ziegler Elias;;19;53.75;3;19.75;-3;1.0;9.75
-;5;28.5;Lang Sven;**;11;55.75;5;28.5;0;0.0;8.75
+;8;37.25;Graber Sandro;;15;54.75;7;37.5;-1;0.25;10.0
o;7;47.25;Fankhauser Erich;***;5;57.25;6;47.5;-1;0.25;8.75

10i;von Wyl Kevin (2004);;;;;;;;;;56.0
+;;;Stadler Simon;;;;;;;;10.0
o;2;10.0;Betschart Marcel;*;9;56.25;4;9.0;2;-1.0;8.5
-;7;18.5;Hürlimann Marco;;12;55.5;8;18.25;1;-0.25;9.0
o;9;27.5;Suter Beat;*;14;55.0;11;27.0;2;-0.5;8.5
+;13;36.0;Rohrer Timo;;23;52.75;14;35.75;1;-0.25;10.0
+;12;46.0;Felder Martin;*;15;54.75;12;46.0;0;0.0;10.0

10j;Wyrsch Marco;**;;;;;;;;;56.0
-;;;Lang Sven;**;;;;;;;8.75
-;5;8.75;Poltera Andrin;*;9;56.25;4;9.0;-1;0.25;8.75
+;10;17.5;Ettlin Kevin;;28;35.25;8;18.25;-2;0.75;10.0
+;9;27.5;Waser Raphael;;13;55.25;6;28.25;-3;0.75;9.75
+;8;37.25;Waser Christoph;*;18;54.0;9;37.0;1;-0.25;10.0
-;7;47.25;Suppiger Werner;**;8;56.5;5;47.75;-2;0.5;8.75

11a;Lang Sven;**;;;;;;;;;55.75
-;;;Wyrsch Marco;**;;;;;;;9.0
+;4;9.0;Odermatt Remo;*;11;55.75;2;10.0;-2;1.0;9.75
+;6;18.75;Zemp Christian (2004);;11;55.75;2;20.0;-4;1.25;9.75
-;5;28.5;Kenel Franz-Toni;*;10;56.0;5;28.5;0;0.0;8.75
+;8;37.25;Durrer Markus;;13;55.25;5;38.0;-3;0.75;9.75
-;8;47.0;Durrer Nando;*;10;56.0;7;47.25;-1;0.25;8.75

11b;Huser Christian;;;;;;;;;;55.75
o;;;Zimmermann Raffael;;;;;;;;8.75
+;5;8.75;von Matt Lars;;21;53.25;4;9.0;-1;0.25;10.0
o;6;18.75;Odermatt Remo;*;11;55.75;7;18.5;1;-0.25;8.5
o;10;27.25;Odermatt Christian;**;13;55.25;10;27.25;0;0.0;8.5
+;14;35.75;Huwyler Sven;;21;53.25;13;36.0;-1;0.25;10.0
+;13;45.75;Ettlin Mario (2003);;19;53.75;15;45.25;2;-0.5;10.0

11c;Ambühl Joel;**;;;;;;;;;55.75
+;;;Ulrich Marco;**;;;;;;;9.75
-;3;9.75;Kessler Joel;*;10;56.0;2;10.0;-1;0.25;8.75
+;7;18.5;Zumstein Patrick;;25;45.5;2;20.0;-5;1.5;10.0
+;5;28.5;Würsch Lars;*;15;54.75;4;28.75;-1;0.25;9.75
-;4;38.25;Müllestein Mike;***;5;57.25;3;38.5;-1;0.25;8.75
-;8;47.0;Odermatt Remo;*;11;55.75;8;47.0;0;0.0;8.75

11d;Niederberger Markus;*;;;;;;;;;55.75
+;;;Hürlimann Mathias;*;;;;;;;10.0
o;2;10.0;Arnold Stefan;**;7;56.75;3;9.75;1;-0.25;8.5
+;7;18.5;Schnellmann Alexander (2004);;19;53.75;7;18.5;0;0.0;9.75
o;6;28.25;Heiniger Marco;**;6;57.0;5;28.5;-1;0.25;8.5
+;10;36.75;Auf der Maur Alex;;14;55.0;10;36.75;0;0.0;10.0
-;9;46.75;Schmid Dominik;**;9;56.25;7;47.25;-2;0.5;9.0

11e;Egli Damian;**;;;;;;;;;55.75
o;;;Schuler Philipp;**;;;;;;;8.5
+;6;8.5;Amgarten Martin;*;14;55.0;4;9.0;-2;0.5;10.0
+;7;18.5;Zimmermann Raffael;;14;55.0;3;19.75;-4;1.25;10.0
-;5;28.5;Durrer Nando;*;10;56.0;5;28.5;0;0.0;8.75
+;8;37.25;Gut Koni;;10;56.0;3;38.5;-5;1.25;9.75
-;8;47.0;Lussi Marco;**;13;55.25;10;46.5;2;-0.5;8.75

11f;Suter Raphael;;;;;;;;;;55.75
+;;;Bucher Sandro;;;;;;;;9.75
-;3;9.75;von Ah Markus;;16;54.5;2;10.0;-1;0.25;8.75
+;7;18.5;Felder Ivan (2004);;16;54.5;7;18.5;0;0.0;10.0
o;5;28.5;Arnold Stefan;**;7;56.75;7;28.0;2;-0.5;8.5
-;9;37.0;Wallimann Remo;*;15;54.75;8;37.25;-1;0.25;8.75
+;13;45.75;Häller Nick;;16;54.5;13;45.75;0;0.0;10.0

11g;Gander Michael;;;;;;;;;;55.75
o;;;Wicki Kevin;;;;;;;;8.5
+;6;8.5;Waser Sandro (2004);;34;17.0;6;8.5;0;0.0;10.0
o;7;18.5;Arnold Raphael;**;7;56.75;11;17.25;4;-1.25;8.5
+;11;27.0;Hodler Mathias;;28;35.25;12;26.75;1;-0.25;10.0
+;9;37.0;Müller Roger;*;13;55.25;10;36.75;1;-0.25;9.75
-;9;46.75;Kessler Joel;*;10;56.0;8;47.0;-1;0.25;9.0

11h;Kaufmann Reto;*;;;;;;;;;55.75
-;;;Reichmuth Roland;*;;;;;;;8.75
o;5;8.75;Omlin Toni;*;9;56.25;4;9.0;-1;0.25;8.5
+;11;17.25;Suter Michael;;14;55.0;8;18.25;-3;1.0;9.75
-;11;27.0;Zemp Christian (2004);;11;55.75;5;28.5;-6;1.5;9.0
+;13;36.0;Dörig Erich;*;18;54.0;15;35.5;2;-0.5;10.0
+;12;46.0;Wallimann Remo;*;15;54.75;11;46.25;-1;0.25;9.75

11i;Waser Dominik;**;;;;;;;;;55.75
-;;;Murer Andy;**;;;;;;;8.75
o;5;8.75;Heiniger Marco;**;6;57.0;5;8.75;0;0.0;8.5
+;11;17.25;Ettlin Mario (2003);;19;53.75;8;18.25;-3;1.0;9.75
+;11;27.0;Durrer Lukas;;13;55.25;6;28.25;-5;1.25;10.0
+;9;37.0;Odermatt Christian;**;13;55.25;9;37.0;0;0.0;10.0
-;8;47.0;Omlin Toni;*;9;56.25;6;47.5;-2;0.5;8.75

11j;Heinzer Lukas (2004);;;;;;;;;;55.75
-;;;Riebli Urs;;;;;;;;9.0
+;4;9.0;von Wyl Simon;;23;52.75;6;8.5;2;-0.5;10.0
o;5;19.0;Vogel Marcel;*;11;55.75;7;18.5;2;-0.5;8.5
