5234-2021-09-19_Fete_Cantonale_Vaudoise-ST

1a;Sempach Thomas;***;;;;;;;;;58.5
-;2;9.75;Loup Alexandre;*;9;55.75;5;8.5;3;-1.25;8.75
+;4;18.5;Maitre Damien;;16;54.0;4;18.5;0;0.0;10.0
o;3;28.5;Mollet Ivan;**;3;57.5;4;28.25;1;-0.25;8.5
o;8;37.0;Loup Grégoire;;8;56.0;7;37.25;-1;0.25;8.5
+;13;45.5;Buchs Stefan;;16;54.0;13;45.5;0;0.0;10.0

10e;Collaud Bastien (2005);;;;;;;;;;55.5
o;;;Vaucher Rémy;;;;;;;;8.5
+;5;8.5;Crettaz Julien;;20;53.0;4;8.75;-1;0.25;10.0
-;4;18.5;Riebli Leon (2003);;12;55.0;4;18.5;0;0.0;9.0
o;7;27.5;Dubey Gaël;*;15;54.25;8;27.25;1;-0.25;8.5
+;12;36.0;Vallotton Jason;;18;53.5;12;36.0;0;0.0;9.75
+;12;45.75;Menoud Liam;;15;54.25;12;45.75;0;0.0;9.75

11a;Sturny Nicolas;**;;;;;;;;;55.25
o;;;Mollet Ivan;**;;;;;;;8.5
+;5;8.5;Heim Michael;;13;54.75;1;10.0;-4;1.5;9.75
-;5;18.25;Dubey Gaël;*;15;54.25;4;18.5;-1;0.25;8.75
+;9;27.0;Panchaud Noé (2004);;20;53.0;8;27.25;-1;0.25;10.0
+;8;37.0;Wieland Micha;;11;55.25;8;37.0;0;0.0;9.75
o;8;46.75;Matthey Mickaël;**;4;57.0;7;47.0;-1;0.25;8.5

11b;Wieland Micha;;;;;;;;;;55.25
-;;;Monney Branighan;;;;;;;;8.75
+;4;8.75;Buchs Simon (2004);;23;52.25;2;9.75;-2;1.0;10.0
o;3;18.75;Matthey Mickaël;**;4;57.0;4;18.5;1;-0.25;8.5
+;8;27.25;Menoud Liam;;15;54.25;9;27.0;1;-0.25;9.75
o;8;37.0;Sturny Nicolas;**;11;55.25;8;37.0;0;0.0;8.5
+;13;45.5;Cherpillod Cédric;;16;54.0;13;45.5;0;0.0;9.75

11c;Dufey Gil;*;;;;;;;;;55.25
-;;;Dubey Gaël;*;;;;;;;8.75
+;4;8.75;Deschenaux Martin (2004);;17;53.75;1;10.0;-3;1.25;10.0
o;3;18.75;Kramer Dorian;**;7;56.25;5;18.25;2;-0.5;8.5
