3215-2021-09-12_125_Nordostschweizer_Schwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.5
+;7;46.75;Ulmann Fabian;*;13;54.75;9;46.25;2;-0.5;10.0

5e;Good Marco;*;;;;;;;;;56.75
+;;;Battaglia Ursin;**;;;;;;;9.75
-;2;9.75;Luginbühl Hanspeter;**;9;55.75;3;9.0;1;-0.75;8.75
+;6;18.5;Galli Cedric;;18;53.5;3;19.5;-3;1.0;9.75
+;7;28.25;Inauen Maurus (2003);;10;55.5;6;28.5;-1;0.25;10.0
-;4;38.25;von Ah Benji;***;7;56.25;7;37.5;3;-0.75;8.75
+;6;47.0;Graf Nicola (2003);;11;55.25;7;46.75;1;-0.25;9.75

6a;Kuster Thomas;*;;;;;;;;;56.5
+;;;Bernold Edi;**;;;;;;;9.75
-;2;9.75;Krähenbühl Tobias;***;7;56.25;2;9.75;0;0.0;8.75
+;6;18.5;Schlegel Reto;*;15;54.25;6;18.5;0;0.0;9.75
+;7;28.25;Kurmann Patrick (2003);;10;55.5;6;28.5;-1;0.25;10.0
o;4;38.25;Luginbühl Hanspeter;**;9;55.75;7;37.5;3;-0.75;8.5
+;7;46.75;Mathis Patrick;;13;54.75;9;46.25;2;-0.5;9.75

6b;Kolb This (2003);*;;;;;;;;;56.5
+;;;Schuler Martin;*;;;;;;;10.0
o;1;10.0;Kindlimann Fabian;***;4;57.0;1;10.0;0;0.0;8.5
+;6;18.5;Wehrli Jan;;13;54.75;4;19.0;-2;0.5;9.75
+;7;28.25;Bärtsch Fabian;*;11;55.25;8;28.0;1;-0.25;9.75
o;5;38.0;Müllestein Mike;***;8;56.0;8;37.25;3;-0.75;8.5
+;8;46.5;Raschle Urban (2003);;12;55.0;8;46.5;0;0.0;10.0

6c;Riget Florian;*;;;;;;;;;56.5
-;;;Giger Urs;*;;;;;;;9.0
+;3;9.0;Hinrichs Silvio (2004);;15;54.25;1;10.0;-2;1.0;10.0
+;4;19.0;Collaud Romain;**;11;55.25;6;18.5;2;-0.5;10.0
-;4;29.0;Krähenbühl Tobias;***;7;56.25;5;28.75;1;-0.25;8.75
+;6;37.75;Rüegg Patrick;;14;54.5;8;37.25;2;-0.5;10.0
-;3;47.75;Notz Beni;***;8;56.0;5;47.25;2;-0.5;8.75

6d;Oettli Silvio;*;;;;;;;;;56.5
o;;;Elmer Daniel;*;;;;;;;8.5
+;5;8.5;Oertig Simon;*;11;55.25;5;8.5;0;0.0;10.0
-;6;18.5;Geisser Lars;**;9;55.75;5;18.75;-1;0.25;8.75
+;11;27.25;Ziegler Andreas;;13;54.75;8;28.0;-3;0.75;9.75
+;9;37.0;Kobler Janosch;*;11;55.25;9;37.0;0;0.0;9.75
+;7;46.75;Giger Urs;*;10;55.5;6;47.0;-1;0.25;9.75

6e;Schuler Martin;*;;;;;;;;;56.5
o;;;Kolb This (2003);*;;;;;;;8.5
+;5;8.5;Koller Fabian;*;14;54.5;5;8.5;0;0.0;9.75
+;7;18.25;Elmer Daniel;*;9;55.75;5;18.75;-2;0.5;10.0
+;7;28.25;Schegg Daniel;;18;53.5;8;28.0;1;-0.25;9.75
o;5;38.0;Räbmatter Patrick;***;10;55.5;9;37.0;4;-1.0;8.5
+;8;46.5;Bollhalder Manuel;*;10;55.5;7;46.75;-1;0.25;10.0

6f;Battaglia Ursin;**;;;;;;;;;56.5
o;;;Good Marco;*;;;;;;;8.5
+;5;8.5;Hug Jan;;12;55.0;2;9.75;-3;1.25;9.75
+;7;18.25;Keller Werner;*;12;55.0;6;18.5;-1;0.25;9.75
o;8;28.0;Luginbühl Hanspeter;**;9;55.75;9;27.75;1;-0.25;8.5
+;11;36.5;Bürgler Patrick;*;16;54.0;10;36.75;-1;0.25;10.0
+;8;46.5;Inauen Maurus (2003);;10;55.5;6;47.0;-2;0.5;10.0

6g;Alpiger Nick;***;;;;;;;;;56.5
-;;;Ott Damian;**;;;;;;;9.0
-;3;9.0;Vollenweider Jeremy;**;5;56.75;2;9.75;-1;0.75;8.75
+;8;17.75;Ackermann Remo;*;12;55.0;7;18.25;-1;0.5;10.0
+;9;27.75;Wolfer Lukas;*;12;55.0;7;28.25;-2;0.5;10.0
+;6;37.75;Räbsamen Marcel;**;5;56.75;4;38.25;-2;0.5;9.75
-;4;47.5;Rychen Roger;***;3;57.25;2;48.25;-2;0.75;9.0

7a;Poltera Andrin;*;;;;;;;;;56.25
+;;;Steiner Michael;**;;;;;;;9.75
+;2;9.75;Mettler Valentin;*;16;54.0;2;9.75;0;0.0;9.75
+;3;19.5;Müllestein Mike;***;8;56.0;6;18.5;3;-1.0;9.75
o;3;29.25;Leuppi Samir;***;3;57.25;6;28.5;3;-0.75;8.5
+;6;37.75;Wild Thomas;*;16;54.0;9;37.0;3;-0.75;9.75
-;4;47.5;Dumelin David;**;8;56.0;5;47.25;1;-0.25;8.75

7b;Heierli Pascal;*;;;;;;;;;56.25
+;;;Notz Armin;*;;;;;;;9.75
o;2;9.75;Schneider Domenic;***;2;57.75;2;9.75;0;0.0;8.5
+;7;18.25;Büchler Livio;;16;54.0;6;18.5;-1;0.25;9.75
o;8;28.0;Burkhalter Thomas (2003);*;8;56.0;8;28.0;0;0.0;8.5
+;11;36.5;Lehmann Philipp;*;24;44.5;13;36.0;2;-0.5;9.75
+;9;46.25;Ackermann Remo;*;12;55.0;8;46.5;-1;0.25;10.0

7c;Oettli Marco;**;;;;;;;;;56.25
-;;;Rüegg Fabian;*;;;;;;;9.0
+;3;9.0;Ulmann Fabian;*;13;54.75;2;9.75;-1;0.75;10.0
o;4;19.0;Räbmatter Patrick;***;10;55.5;5;18.75;1;-0.25;8.75
+;9;27.75;Zumbach Michael;;17;53.75;8;28.0;-1;0.25;9.75
-;7;37.5;Funk Nicola;*;9;55.75;9;37.0;2;-0.5;9.0
+;8;46.5;Bärtsch Fabian;*;11;55.25;8;46.5;0;0.0;9.75

7d;Krähenbühl Tobias;***;;;;;;;;;56.25
+;;;Räbsamen Marcel;**;;;;;;;9.75
-;2;9.75;Kuster Thomas;*;6;56.5;2;9.75;0;0.0;9.0
+;5;18.75;Bernold Edi;**;15;54.25;6;18.5;1;-0.25;10.0
-;5;28.75;Riget Florian;*;6;56.5;4;29.0;-1;0.25;8.75
+;7;37.5;Wey Nicola;*;12;55.0;6;37.75;-1;0.25;9.75
-;5;47.25;Müllestein Mike;***;8;56.0;6;47.0;1;-0.25;9.0

7e;von Ah Benji;***;;;;;;;;;56.25
o;;;Schneider Domenic;***;;;;;;;8.75
-;4;8.75;Schneider Mario;**;3;57.25;1;10.0;-3;1.25;8.75
+;9;17.5;Kobler Janosch;*;11;55.25;5;18.75;-4;1.25;10.0
+;10;27.5;Schiesser Patrik;*;16;54.0;7;28.25;-3;0.75;10.0
-;7;37.5;Good Marco;*;5;56.75;4;38.25;-3;0.75;8.75
+;9;46.25;Signer Andy (2003);*;11;55.25;7;46.75;-2;0.5;10.0

8a;Dumelin David;**;;;;;;;;;56.0
-;;;Hochholdinger Roman;**;;;;;;;8.75
+;4;8.75;Fausch Kjetil;*;10;55.5;2;9.75;-2;1.0;9.75
+;6;18.5;Raschle Urban (2003);;12;55.0;3;19.5;-3;1.0;10.0
-;6;28.5;Vollenweider Jeremy;**;5;56.75;6;28.5;0;0.0;8.75
+;8;37.25;Hinrichs Silvio (2004);;15;54.25;9;37.0;1;-0.25;10.0
-;5;47.25;Poltera Andrin;*;7;56.25;4;47.5;-1;0.25;8.75

8b;Burkhalter Thomas (2003);*;;;;;;;;;56.0
+;;;Lüthi Manuel (2003);*;;;;;;;9.75
o;2;9.75;Räbsamen Marcel;**;5;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Fässler Tobias;;21;52.75;6;18.5;-1;0.25;9.75
+;8;28.0;Heierli Pascal;*;7;56.25;8;28.0;0;0.0;9.75
o;6;37.75;Ott Damian;**;3;57.25;7;37.5;1;-0.25;8.5
+;9;46.25;Rüegg Fabian;*;13;54.75;9;46.25;0;0.0;9.75

8c;Notz Beni;***;;;;;;;;;56.0
+;;;Dändliker Shane;**;;;;;;;10.0
-;1;10.0;Elmer Daniel;*;9;55.75;1;10.0;0;0.0;8.75
+;5;18.75;Lenherr Cédric (2003);*;12;55.0;3;19.5;-2;0.75;10.0
o;5;28.75;Bless Michael;***;3;57.25;5;28.75;0;0.0;8.5
+;8;37.25;Lanter Christian;*;9;55.75;8;37.25;0;0.0;10.0
-;5;47.25;Riget Florian;*;6;56.5;3;47.75;-2;0.5;8.75

8d;Müllestein Mike;***;;;;;;;;;56.0
o;;;Kindlimann Fabian;***;;;;;;;8.5
+;5;8.5;Wey Nicola;*;12;55.0;2;9.75;-3;1.25;10.0
o;6;18.5;Poltera Andrin;*;7;56.25;3;19.5;-3;1.0;8.75
+;11;27.25;Wittenwiler Roman;*;10;55.5;6;28.5;-5;1.25;10.0
+;8;37.25;Kolb This (2003);*;6;56.5;5;38.0;-3;0.75;9.75
-;6;47.0;Krähenbühl Tobias;***;7;56.25;5;47.25;-1;0.25;9.0

9a;Blaser Christian;**;;;;;;;;;55.75
o;;;Vollenweider Jeremy;**;;;;;;;8.5
o;5;8.5;Kiser Aron;;14;54.5;1;10.0;-4;1.5;8.75
o;10;17.25;Ziegler Andreas;;13;54.75;7;18.25;-3;1.0;8.5
+;16;25.75;Steiner Lukas;;20;53.0;12;27.0;-4;1.25;10.0
+;14;35.75;Hug Jan;;12;55.0;10;36.75;-4;1.0;10.0
+;11;45.75;Bernold Edi;**;15;54.25;11;45.75;0;0.0;10.0

9b;Odermatt Michi;;;;;;;;;;55.75
-;;;Brülisauer Dominik;;;;;;;;8.75
-;4;8.75;Thiemann Fabrice;;19;53.25;4;8.75;0;0.0;8.75
+;9;17.5;Langenegger Beat;;26;34.5;9;17.5;0;0.0;10.0
o;10;27.5;Blaser Niklas;*;17;53.75;13;26.75;3;-0.75;8.5
+;13;36.0;Nüesch Remo;;21;52.75;14;35.75;1;-0.25;10.0
+;10;46.0;Schlegel Reto;*;15;54.25;11;45.75;1;-0.25;9.75

9c;Geisser Lars;**;;;;;;;;;55.75
-;;;Burkhalter Stefan;***;;;;;;;8.75
+;4;8.75;Rüegg Patrick;;14;54.5;1;10.0;-3;1.25;10.0
-;5;18.75;Oettli Silvio;*;6;56.5;6;18.5;1;-0.25;8.75
+;10;27.5;Burkhard Tobias;*;12;55.0;7;28.25;-3;0.75;10.0
+;7;37.5;Krähenbühl Lukas;*;15;54.25;9;37.0;2;-0.5;9.75
o;5;47.25;Schneider Domenic;***;2;57.75;3;47.75;-2;0.5;8.5

9d;Steiner Michael;**;;;;;;;;;55.75
o;;;Poltera Andrin;*;;;;;;;8.5
-;5;8.5;Egli Martin;;15;54.25;1;10.0;-4;1.5;8.75
+;10;17.25;Lüthi Manuel (2003);*;16;54.0;7;18.25;-3;1.0;9.75
-;12;27.0;Signer Andy (2003);*;11;55.25;8;28.0;-4;1.0;9.0
+;13;36.0;Aebli Nino;*;17;53.75;10;36.75;-3;0.75;9.75
+;11;45.75;Joos Enrico (2003);*;17;53.75;14;45.0;3;-0.75;10.0

9e;Funk Nicola;*;;;;;;;;;55.75
o;;;Bollhalder Manuel;*;;;;;;;8.5
+;5;8.5;Ziegler Andreas;;13;54.75;2;9.75;-3;1.25;10.0
o;6;18.5;Aeschbacher Matthias;***;4;57.0;6;18.5;0;0.0;8.5
+;12;27.0;Thiemann Fabrice;;19;53.25;11;27.25;-1;0.25;10.0
-;9;37.0;Oettli Marco;**;7;56.25;7;37.5;-2;0.5;9.0
+;10;46.0;Hochholdinger Roman;**;15;54.25;11;45.75;1;-0.25;9.75

9f;Elmer Daniel;*;;;;;;;;;55.75
+;;;Oettli Silvio;*;;;;;;;10.0
-;1;10.0;Notz Beni;***;8;56.0;1;10.0;0;0.0;8.75
o;5;18.75;Schuler Martin;*;6;56.5;7;18.25;2;-0.5;8.5
+;11;27.25;Wehrli Jan;;13;54.75;10;27.5;-1;0.25;9.75
-;9;37.0;Collaud Romain;**;11;55.25;10;36.75;1;-0.25;8.75
+;11;45.75;Bucher Roman (2003);;14;54.5;10;46.0;-1;0.25;10.0

9g;Lanter Christian;*;;;;;;;;;55.75
o;;;Schlegel Reto;*;;;;;;;8.5
-;5;8.5;Fontana Michael;*;15;54.25;5;8.5;0;0.0;8.75
+;10;17.25;Oettli Reto (2005);;17;53.75;7;18.25;-3;1.0;10.0
+;11;27.25;Niederer Andreas;;12;55.0;12;27.0;1;-0.25;10.0
o;8;37.25;Notz Beni;***;8;56.0;8;37.25;0;0.0;8.5
+;11;45.75;Egli Martin;;15;54.25;11;45.75;0;0.0;10.0

9h;Keller Lukas;;;;;;;;;;55.75
+;;;Kammermann Dominik;;;;;;;;10.0
-;1;10.0;Joos Enrico (2003);*;17;53.75;4;8.75;3;-1.25;9.0
o;4;19.0;Bärtsch Fabian;*;11;55.25;7;18.25;3;-0.75;8.5
o;10;27.5;Schlegel Reto;*;15;54.25;11;27.25;1;-0.25;8.5
+;13;36.0;Ziegler Andreas;;13;54.75;11;36.5;-2;0.5;9.75
+;11;45.75;Schiess Christian;;14;54.5;10;46.0;-1;0.25;10.0

9i;Luginbühl Hanspeter;**;;;;;;;;;55.75
-;;;Bless Michael;***;;;;;;;9.0
-;3;9.0;Good Marco;*;5;56.75;2;9.75;-1;0.75;8.75
+;8;17.75;Wild Thomas;*;16;54.0;6;18.5;-2;0.75;10.0
+;9;27.75;Battaglia Ursin;**;6;56.5;8;28.0;-1;0.25;9.75
+;7;37.5;Kuster Thomas;*;6;56.5;4;38.25;-3;0.75;9.75
o;5;47.25;Ott Damian;**;3;57.25;4;47.5;-1;0.25;8.5

9j;Gartmann Mauro;**;;;;;;;;;55.75
o;;;Wey Nicola;*;;;;;;;8.5
-;5;8.5;Hobi Ignaz;*;17;53.75;2;9.75;-3;1.25;8.75
+;10;17.25;Schwyn Patrick;;15;54.25;6;18.5;-4;1.25;9.75
-;12;27.0;Baumgartner Ramon;*;5;56.75;8;28.0;-4;1.0;9.0
+;13;36.0;Schegg Daniel;;18;53.5;11;36.5;-2;0.5;9.75
+;11;45.75;Stadelmann Patrick;;14;54.5;10;46.0;-1;0.25;10.0

10a;Mollet Ivan;**;;;;;;;;;55.5
-;;;Arztmann Beda;**;;;;;;;8.75
+;4;8.75;Ackermann Rico (2003);*;12;55.0;1;10.0;-3;1.25;10.0
-;5;18.75;Rüegg Fabian;*;13;54.75;4;19.0;-1;0.25;8.75
+;10;27.5;Fuster Sepp;*;11;55.25;7;28.25;-3;0.75;9.75
+;8;37.25;Graf Nicola (2003);;11;55.25;5;38.0;-3;0.75;9.75
o;6;47.0;Bless Michael;***;3;57.25;5;47.25;-1;0.25;8.5

10b;Baumann Elia;;;;;;;;;;55.5
+;;;Giger Florian;;;;;;;;10.0
+;1;10.0;Gosswiler Livio;*;12;55.0;5;8.5;4;-1.5;10.0
o;1;20.0;Schneider Mario;**;3;57.25;5;18.75;4;-1.25;8.5
o;6;28.5;Giger Urs;*;10;55.5;10;27.5;4;-1.0;8.5
+;9;37.0;Kiser Aron;;14;54.5;8;37.25;-1;0.25;10.0
o;6;47.0;Vollenweider Jeremy;**;5;56.75;6;47.0;0;0.0;8.5

10c;Bollhalder Manuel;*;;;;;;;;;55.5
+;;;Funk Nicola;*;;;;;;;9.75
-;2;9.75;Hugelshofer Lars;*;11;55.25;2;9.75;0;0.0;8.75
+;6;18.5;Graf Nicola (2003);;11;55.25;2;19.75;-4;1.25;9.75
o;7;28.25;Schneider Domenic;***;2;57.75;7;28.25;0;0.0;8.5
+;10;36.75;Büchler Livio;;16;54.0;9;37.0;-1;0.25;10.0
o;7;46.75;Schuler Martin;*;6;56.5;8;46.5;1;-0.25;8.75

10d;Kurmann Patrick (2003);;;;;;;;;;55.5
-;;;Thiemann Fabrice;;;;;;;;8.75
+;4;8.75;Ackermann Roman;;27;34.25;4;8.75;0;0.0;9.75
+;6;18.5;Hochholdinger Roman;**;15;54.25;10;17.25;4;-1.25;10.0
o;6;28.5;Kuster Thomas;*;6;56.5;7;28.25;1;-0.25;8.5
o;9;37.0;Wittenwiler Roman;*;10;55.5;9;37.0;0;0.0;8.5
+;12;45.5;Kammermann Dominik;;17;53.75;13;45.25;1;-0.25;10.0

10e;Räbmatter Patrick;***;;;;;;;;;55.5
-;;;Leuppi Samir;***;;;;;;;8.75
+;4;8.75;Bärtsch Fabian;*;11;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Oettli Marco;**;7;56.25;4;19.0;-1;0.25;9.75
o;6;28.5;Giger Samuel;***;1;58.5;1;30.0;-5;1.5;8.5
+;9;37.0;Schuler Martin;*;6;56.5;5;38.0;-4;1.0;10.0
o;6;47.0;Arztmann Beda;**;4;57.0;6;47.0;0;0.0;8.5

10f;Inauen Maurus (2003);;;;;;;;;;55.5
+;;;Schegg Daniel;;;;;;;;10.0
o;1;10.0;Bernold Edi;**;15;54.25;4;8.75;3;-1.25;8.5
+;6;18.5;Ulmann Fabian;*;13;54.75;7;18.25;1;-0.25;10.0
o;6;28.5;Good Marco;*;5;56.75;7;28.25;1;-0.25;8.5
+;9;37.0;Hobi Ignaz;*;17;53.75;10;36.75;1;-0.25;10.0
o;6;47.0;Battaglia Ursin;**;6;56.5;8;46.5;2;-0.5;8.5

10g;Giger Urs;*;;;;;;;;;55.5
-;;;Riget Florian;*;;;;;;;9.0
+;3;9.0;Lacher Tobias (2005);;16;54.0;1;10.0;-2;1.0;9.75
-;5;18.75;Ott Damian;**;3;57.25;4;19.0;-1;0.25;8.75
+;10;27.5;Baumann Elia;;10;55.5;6;28.5;-4;1.0;9.75
+;8;37.25;Schlegel Reto;*;15;54.25;8;37.25;0;0.0;9.75
o;6;47.0;Oettli Silvio;*;6;56.5;7;46.75;1;-0.25;8.5

10h;Fausch Kjetil;*;;;;;;;;;55.5
+;;;Blaser Niklas;*;;;;;;;9.75
o;2;9.75;Dumelin David;**;8;56.0;4;8.75;2;-1.0;8.75
+;6;18.5;Hugelshofer Lars;*;11;55.25;6;18.5;0;0.0;10.0
o;6;28.5;Schneider Mario;**;3;57.25;6;28.5;0;0.0;8.5
+;9;37.0;Fuster Arjuna (2003);;15;54.25;9;37.0;0;0.0;10.0
o;6;47.0;Kindlimann Fabian;***;4;57.0;6;47.0;0;0.0;8.5

10i;Wittenwiler Roman;*;;;;;;;;;55.5
+;;;Lehmann Philipp;*;;;;;;;10.0
o;1;10.0;Giger Samuel;***;1;58.5;1;10.0;0;0.0;8.5
+;6;18.5;Niederer Andreas;;12;55.0;6;18.5;0;0.0;10.0
o;6;28.5;Müllestein Mike;***;8;56.0;11;27.25;5;-1.25;8.5
+;9;37.0;Kurmann Patrick (2003);;10;55.5;9;37.0;0;0.0;10.0
o;6;47.0;Schneider Mario;**;3;57.25;5;47.25;-1;0.25;8.5

10j;Inauen Aurel;;;;;;;;;;55.5
-;;;Hauser Simon;;;;;;;;8.75
+;4;8.75;Müller Christian;;18;53.5;5;8.5;1;-0.25;9.75
o;6;18.5;Aebli Nino;*;17;53.75;11;17.0;5;-1.5;8.5
-;12;27.0;Lacher Tobias (2005);;16;54.0;12;27.0;0;0.0;8.75
+;14;35.75;Lüthi Manuel (2003);*;16;54.0;15;35.5;1;-0.25;9.75
+;12;45.5;Hobi Ignaz;*;17;53.75;13;45.25;1;-0.25;10.0

11a;Flütsch Marco;;;;;;;;;;55.25
+;;;Kiener Raphael;;;;;;;;9.75
-;2;9.75;Schild Cornel (2004);;11;55.25;5;8.5;3;-1.25;8.75
-;6;18.5;Odermatt Gian Maria (2004);*;15;54.25;6;18.5;0;0.0;8.75
+;11;27.25;Lüthi Manuel (2003);*;16;54.0;12;27.0;1;-0.25;9.75
o;9;37.0;Signer Andy (2003);*;11;55.25;9;37.0;0;0.0;8.5
+;12;45.5;Oettli Reto (2005);;17;53.75;13;45.25;1;-0.25;9.75

