4814-2021-08-01_106_St_Galler_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.5
-;2;48.5;Geisser Lars;**;6;57.0;3;48.25;1;-0.25;8.75

5b;Baumgartner Ramon;;;;;;;;;;57.25
+;;;Knellwolf Sebastian;;;;;;;;10.0
+;1;10.0;Thoma Christoph;*;8;56.5;5;8.5;4;-1.5;10.0
+;1;20.0;Jörger Corsin;*;35;27.0;6;18.5;5;-1.5;10.0
o;1;30.0;Schneider Mario;**;4;57.5;5;28.75;4;-1.25;8.5
-;2;38.5;Steiner Michael;**;9;56.25;7;37.25;5;-1.25;8.75
+;6;47.25;Hinrichs Silvio (2004);;13;55.25;8;46.75;2;-0.5;10.0

5c;Schlegel Sandro;**;;;;;;;;;57.25
+;;;Arztmann Beda;**;;;;;;;9.75
o;2;9.75;Schlegel Werner;**;2;58.0;1;10.0;-1;0.25;8.5
+;7;18.25;Keller Manuel;*;16;54.5;10;17.25;3;-1.0;10.0
+;7;28.25;Burch Dean;;7;56.75;6;28.5;-1;0.25;10.0
-;3;38.25;Bollhalder Manuel;*;4;57.5;2;38.5;-1;0.25;9.0
+;6;47.25;Dörig Erich;*;11;55.75;6;47.25;0;0.0;10.0

6a;Rüegg Fabian;*;;;;;;;;;57.0
+;;;Ammann Rico;*;;;;;;;10.0
o;1;10.0;Notz Beni;***;5;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Schild Cornel (2004);;33;28.0;3;19.5;-3;1.0;10.0
+;6;28.5;Vetterli Sven (2003);;19;53.75;7;28.25;1;-0.25;10.0
+;2;38.5;Schlegel Reto;*;7;56.75;3;38.25;1;-0.25;9.75
-;3;48.25;Schuler Alex;***;10;56.0;6;47.25;3;-1.0;8.75

6b;Elmer Adrian;*;;;;;;;;;57.0
o;;;Jörger Corsin;*;;;;;;;8.5
+;5;8.5;Weder Yanick (2003);;27;35.25;2;9.75;-3;1.25;10.0
+;6;18.5;Gerig Marcel;;14;55.0;2;19.75;-4;1.25;10.0
-;6;28.5;Kindlimann Fabian;***;10;56.0;10;27.25;4;-1.25;8.75
+;7;37.25;Landolt Cla;;18;54.0;8;37.0;1;-0.25;9.75
+;7;47.0;Fuster Sepp;*;12;55.5;8;46.75;1;-0.25;10.0

6c;Geisser Lars;**;;;;;;;;;57.0
+;;;Effinger Markus;*;;;;;;;10.0
-;1;10.0;Schuler Alex;***;10;56.0;3;9.0;2;-1.0;8.75
+;5;18.75;Blaser Niklas;*;13;55.25;6;18.5;1;-0.25;10.0
+;5;28.75;Birchler Fabian;;13;55.25;6;28.5;1;-0.25;9.75
+;2;38.5;Biäsch Christian;*;8;56.5;3;38.25;1;-0.25;9.75
-;3;48.25;Notz Beni;***;5;57.25;2;48.5;-1;0.25;8.75

6d;Lenherr Cédric (2003);;;;;;;;;;57.0
+;;;Mathis Patrick;;;;;;;;9.75
o;2;9.75;Schuler Daniel;*;13;55.25;5;8.5;3;-1.25;8.75
+;6;18.5;Anliker Nino (2005);;17;54.25;6;18.5;0;0.0;10.0
+;6;28.5;Walser Simon (2004);;18;54.0;7;28.25;1;-0.25;10.0
o;2;38.5;Arztmann Beda;**;7;56.75;8;37.0;6;-1.5;8.5
+;7;47.0;Mannhart Jan (2003);;13;55.25;8;46.75;1;-0.25;10.0

6e;Signer Andy (2003);;;;;;;;;;57.0
+;;;Lazzarotto Salomon (2005);;;;;;;;9.75
+;2;9.75;Blaser Christian;**;14;55.0;5;8.5;3;-1.25;10.0
-;2;19.75;Krähenbühl Lukas;*;13;55.25;7;18.25;5;-1.5;8.75
+;6;28.5;Steiner Lukas;;15;54.75;6;28.5;0;0.0;9.75
-;3;38.25;Lanter Christian;*;15;54.75;7;37.25;4;-1.0;9.0
+;6;47.25;Brülisauer Dominik;;12;55.5;8;46.75;2;-0.5;9.75

6f;Gmür Pirmin;**;;;;;;;;;57.0
-;;;Schuler Alex;***;;;;;;;9.0
+;3;9.0;Fuster Sepp;*;12;55.5;1;10.0;-2;1.0;9.75
+;5;18.75;Fässler Tobias;;19;53.75;6;18.5;1;-0.25;10.0
+;5;28.75;Schuler Daniel;*;13;55.25;8;28.0;3;-0.75;9.75
-;2;38.5;Schläpfer Markus;**;6;57.0;2;38.5;0;0.0;8.75
+;6;47.25;Birchler Fabian;;13;55.25;8;46.75;2;-0.5;9.75

6g;Riget Tobias;**;;;;;;;;;57.0
+;;;Schuler Philipp;**;;;;;;;10.0
o;1;10.0;Oettli Marco;**;8;56.5;2;9.75;1;-0.25;8.75
+;5;18.75;Kiser Aron;;13;55.25;6;18.5;1;-0.25;10.0
+;5;28.75;Pianta Christian;*;16;54.5;5;28.75;0;0.0;9.75
o;2;38.5;Giger Samuel;***;1;58.5;1;38.75;-1;0.25;8.5
+;7;47.0;Ammann Rico;*;14;55.0;9;46.5;2;-0.5;10.0

6h;Schläpfer Markus;**;;;;;;;;;57.0
+;;;Steiner Michael;**;;;;;;;9.75
-;2;9.75;Funk Nicola;*;12;55.5;2;9.75;0;0.0;8.75
+;6;18.5;Arztmann Beda;**;7;56.75;6;18.5;0;0.0;10.0
+;6;28.5;Wild Thomas;;12;55.5;2;29.75;-4;1.25;10.0
-;2;38.5;Gmür Pirmin;**;6;57.0;2;38.5;0;0.0;8.75
+;6;47.25;Hugelshofer Lars;*;14;55.0;9;46.5;3;-0.75;9.75

7a;Arztmann Beda;**;;;;;;;;;56.75
o;;;Schlegel Sandro;**;;;;;;;8.75
+;4;8.75;Steiner Michael;**;9;56.25;4;8.75;0;0.0;9.75
o;6;18.5;Schläpfer Markus;**;6;57.0;6;18.5;0;0.0;8.5
+;11;27.0;Stauffacher Martin;;17;54.25;6;28.5;-5;1.5;10.0
+;8;37.0;Lenherr Cédric (2003);;6;57.0;2;38.5;-6;1.5;10.0
+;7;47.0;Giger Urs;*;12;55.5;7;47.0;0;0.0;9.75

7b;Bernold Edi;**;;;;;;;;;56.75
-;;;Gartmann Mauro;**;;;;;;;8.75
+;4;8.75;Neff Florian;*;18;54.0;4;8.75;0;0.0;10.0
+;5;18.75;Korrodi Janik (2004);;22;52.75;6;18.5;1;-0.25;9.75
o;6;28.5;Rychen Roger;***;8;56.5;8;28.0;2;-0.5;8.5
+;8;37.0;Lüönd Remo (2003);;17;54.25;9;36.75;1;-0.25;10.0
+;7;47.0;Baumann Rico;*;11;55.75;6;47.25;-1;0.25;9.75

7c;Wey Nicola;*;;;;;;;;;56.75
o;;;Schmid Patrick;*;;;;;;;8.5
+;5;8.5;Fallegger Marc (2003);;15;54.75;2;9.75;-3;1.25;10.0
+;6;18.5;Ott Damian;**;10;56.0;4;19.0;-2;0.5;9.75
+;7;28.25;Egli Patrick;;18;54.0;7;28.25;0;0.0;10.0
+;3;38.25;Dumelin David;**;8;56.5;3;38.25;0;0.0;10.0
o;3;48.25;Räbsamen Marcel;*;3;57.75;4;48.0;1;-0.25;8.5

7d;Schlegel Reto;*;;;;;;;;;56.75
+;;;Schuler Daniel;*;;;;;;;9.75
+;2;9.75;Krähenbühl Lukas;*;13;55.25;2;9.75;0;0.0;10.0
o;2;19.75;Schneider Mario;**;4;57.5;5;18.75;3;-1.0;8.5
+;7;28.25;Niederer Andreas;;11;55.75;7;28.25;0;0.0;10.0
o;3;38.25;Rüegg Fabian;*;6;57.0;2;38.5;-1;0.25;8.5
+;8;46.75;Kamer Hanspeter;*;12;55.5;8;46.75;0;0.0;10.0

7e;Kobler Janosch;;;;;;;;;;56.75
o;;;Birchler Fabian;;;;;;;;8.5
+;5;8.5;Lüönd Remo (2003);;17;54.25;5;8.5;0;0.0;10.0
+;6;18.5;Lengacher Gian (2003);;13;55.25;7;18.25;1;-0.25;10.0
o;6;28.5;Gartmann Mauro;**;16;54.5;14;26.25;8;-2.25;8.5
+;8;37.0;Laager Kaspar (2004);;19;53.75;9;36.75;1;-0.25;9.75
+;8;46.75;Kiser Aron;;13;55.25;9;46.5;1;-0.25;10.0

7f;Burch Dean;;;;;;;;;;56.75
-;;;Brülisauer Dominik;;;;;;;;9.0
+;3;9.0;Lusti Remo;;30;34.25;4;8.75;1;-0.25;9.75
+;5;18.75;Tschudi Mario;;17;54.25;6;18.5;1;-0.25;9.75
o;6;28.5;Schlegel Sandro;**;5;57.25;7;28.25;1;-0.25;8.5
+;8;37.0;Peter Philipp;;13;55.25;9;36.75;1;-0.25;10.0
+;7;47.0;Wild Thomas;;12;55.5;7;47.0;0;0.0;9.75

7g;Ulmann Fabian;*;;;;;;;;;56.75
+;;;Odermatt Gian Maria (2004);*;;;;;;;9.75
-;2;9.75;Schiesser Patrik;*;17;54.25;2;9.75;0;0.0;8.75
+;6;18.5;Tremp Ruedi (2003);;19;53.75;7;18.25;1;-0.25;10.0
+;6;28.5;Forrer Marco (2003);;14;55.0;7;28.25;1;-0.25;10.0
o;2;38.5;Schnurrenberger Roman;**;7;56.75;8;37.0;6;-1.5;8.5
+;7;47.0;Kamer Ueli;*;12;55.5;7;47.0;0;0.0;9.75

7h;Schnurrenberger Roman;**;;;;;;;;;56.75
o;;;Oettli Marco;**;;;;;;;8.75
+;4;8.75;Blaser Niklas;*;13;55.25;1;10.0;-3;1.25;9.75
o;6;18.5;Rychen Roger;***;8;56.5;7;18.25;1;-0.25;8.5
+;11;27.0;Schmucki Ivo;;18;54.0;6;28.5;-5;1.5;10.0
+;8;37.0;Ulmann Fabian;*;7;56.75;2;38.5;-6;1.5;10.0
+;7;47.0;Bleiker Ueli (2004);;15;54.75;10;46.25;3;-0.75;9.75

7i;Fausch Kjetil;*;;;;;;;;;56.75
+;;;Schäppi Urs;*;;;;;;;10.0
o;1;10.0;Schneider Mario;**;4;57.5;4;8.75;3;-1.25;8.5
+;6;18.5;Koller Fabian;*;16;54.5;6;18.5;0;0.0;10.0
o;6;28.5;Brülisauer Dominik;;12;55.5;6;28.5;0;0.0;8.5
+;8;37.0;Blaser Niklas;*;13;55.25;9;36.75;1;-0.25;10.0
+;7;47.0;Blaser Christian;**;14;55.0;9;46.5;2;-0.5;9.75

8a;Dumelin David;**;;;;;;;;;56.5
o;;;Rhyner Michael;**;;;;;;;8.5
+;5;8.5;Nock Benjamin;*;15;54.75;4;8.75;-1;0.25;9.75
+;7;18.25;Schiess Christian;;13;55.25;6;18.5;-1;0.25;10.0
+;7;28.25;Kälin Remo;*;12;55.5;6;28.5;-1;0.25;10.0
o;3;38.25;Wey Nicola;*;7;56.75;3;38.25;0;0.0;8.5
+;8;46.75;Steiner Lukas;;15;54.75;10;46.25;2;-0.5;9.75

8b;Oettli Marco;**;;;;;;;;;56.5
+;;;Schnurrenberger Roman;**;;;;;;;9.75
+;2;9.75;Riget Tobias;**;6;57.0;1;10.0;-1;0.25;9.75
o;3;19.5;Schlegel Werner;**;2;58.0;2;19.75;-1;0.25;8.5
+;8;28.0;Hobi Ignaz;;8;56.5;7;28.25;-1;0.25;9.75
-;5;37.75;Baumann Rico;*;11;55.75;2;38.5;-3;0.75;8.75
+;9;46.5;Lüthi Manuel (2003);*;13;55.25;9;46.5;0;0.0;10.0

8c;Biäsch Christian;*;;;;;;;;;56.5
+;;;Ackermann Remo;*;;;;;;;9.75
+;2;9.75;Heierli Pascal;*;12;55.5;1;10.0;-1;0.25;9.75
-;3;19.5;Kindlimann Fabian;***;10;56.0;6;18.5;3;-1.0;8.75
+;7;28.25;Schönenberger Tobias (2004);;13;55.25;5;28.75;-2;0.5;10.0
o;3;38.25;Geisser Lars;**;6;57.0;2;38.5;-1;0.25;8.5
+;8;46.75;Krähenbühl Lukas;*;13;55.25;8;46.75;0;0.0;9.75

8d;Rhyner Michael;**;;;;;;;;;56.5
+;;;Dumelin David;**;;;;;;;10.0
o;1;10.0;Giger Samuel;***;1;58.5;3;9.0;2;-1.0;8.5
+;6;18.5;Lanter Christian;*;15;54.75;6;18.5;0;0.0;9.75
+;7;28.25;Hinrichs Silvio (2004);;13;55.25;7;28.25;0;0.0;10.0
o;3;38.25;Notz Beni;***;5;57.25;2;38.5;-1;0.25;8.5
+;8;46.75;Laager Michael;;15;54.75;10;46.25;2;-0.5;9.75

8e;Effinger Markus;*;;;;;;;;;56.5
o;;;Geisser Lars;**;;;;;;;8.5
+;5;8.5;Schmid Gian (2003);;13;55.25;1;10.0;-4;1.5;10.0
+;6;18.5;Egli Patrick;;18;54.0;2;19.75;-4;1.25;10.0
+;6;28.5;Mannhart Jan (2003);;13;55.25;7;28.25;1;-0.25;9.75
+;3;38.25;Ott Damian;**;10;56.0;6;37.5;3;-0.75;9.75
o;4;48.0;Schlegel Werner;**;2;58.0;4;48.0;0;0.0;8.5

8f;Rychen Roger;***;;;;;;;;;56.5
o;;;Schlegel Werner;**;;;;;;;8.5
+;5;8.5;Schmid Patrick;*;11;55.75;2;9.75;-3;1.25;9.75
+;7;18.25;Schnurrenberger Roman;**;7;56.75;6;18.5;-1;0.25;9.75
+;8;28.0;Bernold Edi;**;7;56.75;6;28.5;-2;0.5;10.0
o;4;38.0;Schneider Mario;**;4;57.5;1;38.75;-3;0.75;8.5
+;9;46.5;Lanter Christian;*;15;54.75;10;46.25;1;-0.25;10.0

8g;Hobi Ignaz;;;;;;;;;;56.5
+;;;Flütsch Marco;;;;;;;;10.0
o;1;10.0;Ackermann Remo;*;34;27.25;5;8.5;4;-1.5;8.5
+;6;18.5;Landolt Cla;;18;54.0;6;18.5;0;0.0;9.75
o;7;28.25;Oettli Marco;**;8;56.5;8;28.0;1;-0.25;8.5
+;9;36.75;Koller Fabian;*;16;54.5;12;36.0;3;-0.75;9.75
+;9;46.5;Bachmann Janos (2004);;14;55.0;9;46.5;0;0.0;10.0

8h;Thoma Christoph;*;;;;;;;;;56.5
o;;;Lüthi Manuel (2003);*;;;;;;;8.5
o;5;8.5;Baumgartner Ramon;;5;57.25;1;10.0;-4;1.5;8.5
+;11;17.0;Abderhalden Lukas (2003);;21;53.0;6;18.5;-5;1.5;9.75
+;12;26.75;Gasenzer Christian (2004);;22;52.75;11;27.0;-1;0.25;10.0
+;9;36.75;Signer Tobias (2004);;12;55.5;8;37.0;-1;0.25;10.0
+;8;46.75;Baumann Elia;;13;55.25;8;46.75;0;0.0;9.75

9a;Steiner Michael;**;;;;;;;;;56.25
o;;;Schläpfer Markus;**;;;;;;;8.75
o;4;8.75;Arztmann Beda;**;7;56.75;4;8.75;0;0.0;8.5
+;10;17.25;Feller Yannic (2004);;31;34.0;11;17.0;1;-0.25;10.0
+;10;27.25;Zumbach Michael;;11;55.75;6;28.5;-4;1.25;10.0
-;7;37.25;Baumgartner Ramon;;5;57.25;2;38.5;-5;1.25;9.0
+;10;46.25;Forrer Marco (2003);;14;55.0;9;46.5;-1;0.25;10.0

9b;Good Marco;*;;;;;;;;;56.25
o;;;Giger Urs;*;;;;;;;8.5
-;5;8.5;Kolb Pirmin;*;24;44.75;4;8.75;-1;0.25;9.0
+;9;17.5;Schiess Daniel;;19;53.75;7;18.25;-2;0.75;10.0
+;9;27.5;Burkhard Tobias;;12;55.5;11;27.0;2;-0.5;10.0
+;6;37.5;Schmid Patrick;*;11;55.75;7;37.25;1;-0.25;10.0
-;5;47.5;Schuler Philipp;**;11;55.75;7;47.0;2;-0.5;8.75

9c;Odermatt Gian Maria (2004);*;;;;;;;;;56.25
o;;;Ulmann Fabian;*;;;;;;;8.75
o;4;8.75;Kurmann Patrick (2003);;15;54.75;2;9.75;-2;1.0;8.5
-;10;17.25;Roth Peter;*;27;35.25;9;17.5;-1;0.25;9.0
+;14;26.25;Schmid Gian (2003);;13;55.25;11;27.0;-3;0.75;10.0
+;11;36.25;Gerig Marcel;;14;55.0;9;36.75;-2;0.5;10.0
+;10;46.25;Flück Bruno;;12;55.5;8;46.75;-2;0.5;10.0

10a;Schuler Alex;***;;;;;;;;;56.0
-;;;Gmür Pirmin;**;;;;;;;9.0
-;3;9.0;Geisser Lars;**;6;57.0;1;10.0;-2;1.0;8.75
+;8;17.75;Funk Nicola;*;12;55.5;6;18.5;-2;0.75;9.75
+;9;27.5;Mettler Valentin;*;16;54.5;5;28.75;-4;1.25;9.75
+;7;37.25;Elmer Daniel;*;11;55.75;2;38.5;-5;1.25;10.0
-;6;47.25;Rüegg Fabian;*;6;57.0;3;48.25;-3;1.0;8.75

10b;Ott Damian;**;;;;;;;;;56.0
-;;;Giger Samuel;***;;;;;;;9.0
+;3;9.0;Koller Fabian;*;16;54.5;1;10.0;-2;1.0;10.0
o;4;19.0;Wey Nicola;*;7;56.75;6;18.5;2;-0.5;8.5
+;9;27.5;Laager Kaspar (2004);;19;53.75;7;28.25;-2;0.75;10.0
o;6;37.5;Effinger Markus;*;8;56.5;3;38.25;-3;0.75;8.5
+;11;46.0;Mathis Patrick;;18;54.0;13;45.5;2;-0.5;10.0

10c;Kindlimann Fabian;***;;;;;;;;;56.0
-;;;Schneider Mario;**;;;;;;;8.75
+;4;8.75;Ueltschi Patric;*;15;54.75;1;10.0;-3;1.25;9.75
-;6;18.5;Biäsch Christian;*;8;56.5;3;19.5;-3;1.0;8.75
-;10;27.25;Elmer Adrian;*;6;57.0;6;28.5;-4;1.25;8.75
+;12;36.0;Schäppi Urs;*;12;55.5;8;37.0;-4;1.0;10.0
+;11;46.0;Gartmann Mauro;**;16;54.5;11;46.0;0;0.0;10.0

10d;Riget Florian;*;;;;;;;;;56.0
o;;;Funk Nicola;*;;;;;;;8.5
-;5;8.5;Keller Manuel;*;16;54.5;5;8.5;0;0.0;8.75
+;10;17.25;Lusti Remo;;30;34.25;10;17.25;0;0.0;10.0
+;10;27.25;Tobler Pius;;25;35.75;10;27.25;0;0.0;9.75
+;8;37.0;Fontana Michael;*;12;55.5;8;37.0;0;0.0;10.0
-;7;47.0;Kälin Remo;*;12;55.5;8;46.75;1;-0.25;9.0

10e;Rotach Lars;*;;;;;;;;;56.0
+;;;Hugelshofer Lars;*;;;;;;;9.75
-;2;9.75;Dörig Erich;*;11;55.75;1;10.0;-1;0.25;8.75
+;6;18.5;Vetterli Sven (2003);;19;53.75;2;19.75;-4;1.25;10.0
-;6;28.5;Schmid Patrick;*;11;55.75;7;28.25;1;-0.25;9.0
o;6;37.5;Funk Nicola;*;12;55.5;8;37.0;2;-0.5;8.5
+;11;46.0;Pianta Christian;*;16;54.5;11;46.0;0;0.0;10.0

11a;Niederer Andreas;;;;;;;;;;55.75
+;;;Schegg Daniel;;;;;;;;10.0
+;1;10.0;Tschudi Mario;;17;54.25;1;10.0;0;0.0;9.75
o;2;19.75;Hugelshofer Lars;*;14;55.0;7;18.25;5;-1.5;8.5
o;7;28.25;Schlegel Reto;*;7;56.75;7;28.25;0;0.0;8.75
+;8;37.0;Vetterli Sven (2003);;19;53.75;9;36.75;1;-0.25;9.75
-;8;46.75;Schuler Daniel;*;13;55.25;10;46.25;2;-0.5;9.0

11b;Baumann Rico;*;;;;;;;;;55.75
-;;;Kolb Pirmin;*;;;;;;;8.75
+;4;8.75;Keller Cedric;;14;55.0;1;10.0;-3;1.25;10.0
+;5;18.75;Keller Lukas;;16;54.5;5;18.75;0;0.0;9.75
+;6;28.5;Keller Dominic;;16;54.5;6;28.5;0;0.0;10.0
-;2;38.5;Oettli Marco;**;8;56.5;5;37.75;3;-0.75;8.75
o;6;47.25;Bernold Edi;**;7;56.75;7;47.0;1;-0.25;8.5

11c;Schmid Patrick;*;;;;;;;;;55.75
+;;;Wey Nicola;*;;;;;;;9.75
o;2;9.75;Rychen Roger;***;8;56.5;5;8.5;3;-1.25;8.5
+;7;18.25;Weder Yanick (2003);;27;35.25;7;18.25;0;0.0;10.0
-;7;28.25;Rotach Lars;*;10;56.0;6;28.5;-1;0.25;9.0
o;7;37.25;Good Marco;*;9;56.25;6;37.5;-1;0.25;8.5
+;12;45.75;Fallegger Marc (2003);;15;54.75;10;46.25;-2;0.5;10.0

11d;Roth Sämi;;;;;;;;;;55.75
+;;;Tobler Tobias (2005);;;;;;;;10.0
o;1;10.0;Koller Silvan;*;16;54.5;4;8.75;3;-1.25;8.75
-;5;18.75;Langenegger Beat;;16;54.5;5;18.75;0;0.0;8.75
+;9;27.5;Ackermann Roman;;23;52.5;11;27.0;2;-0.5;9.75
o;7;37.25;Dörig Erich;*;11;55.75;7;37.25;0;0.0;8.5
+;12;45.75;Tschudi Mario;;17;54.25;12;45.75;0;0.0;10.0

11e;Zumbach Michael;;;;;;;;;;55.75
+;;;Tobler Michael (2004);;;;;;;;9.75
-;2;9.75;Rhyner Beni;;17;54.25;2;9.75;0;0.0;9.0
+;5;18.75;Knellwolf Sebastian;;19;53.75;6;18.5;1;-0.25;9.75
o;6;28.5;Steiner Michael;**;9;56.25;10;27.25;4;-1.25;8.5
-;8;37.0;Bleiker Ueli (2004);;15;54.75;7;37.25;-1;0.25;9.0
+;11;46.0;Manser Adrian;;16;54.5;12;45.75;1;-0.25;9.75

11f;Elmer Daniel;*;;;;;;;;;55.75
-;;;Kälin Remo;*;;;;;;;8.75
+;4;8.75;Fehr Christian;;17;54.25;2;9.75;-2;1.0;9.75
+;6;18.5;Wettstein Daniel;*;19;53.75;7;18.25;1;-0.25;10.0
+;6;28.5;Hangartner Maurice (2003);;17;54.25;7;28.25;1;-0.25;10.0
o;2;38.5;Schuler Alex;***;10;56.0;7;37.25;5;-1.25;8.5
o;7;47.0;Bollhalder Manuel;*;4;57.5;5;47.5;-2;0.5;8.75

11g;Schuler Philipp;**;;;;;;;;;55.75
o;;;Riget Tobias;**;;;;;;;8.5
-;5;8.5;Gartmann Mauro;**;16;54.5;4;8.75;-1;0.25;8.75
+;10;17.25;Odermatt Michi;;18;54.0;10;17.25;0;0.0;10.0
+;10;27.25;Eisenring Leandro;;20;53.5;9;27.5;-1;0.25;10.0
+;7;37.25;Baumann Elia;;13;55.25;3;38.25;-4;1.0;9.75
-;7;47.0;Good Marco;*;9;56.25;5;47.5;-2;0.5;8.75

11h;Dörig Erich;*;;;;;;;;;55.75
+;;;Fontana Michael;*;;;;;;;10.0
-;1;10.0;Rotach Lars;*;10;56.0;2;9.75;1;-0.25;8.75
+;5;18.75;Bleiker Roman;;17;54.25;5;18.75;0;0.0;10.0
o;5;28.75;Räbsamen Marcel;*;3;57.75;8;28.0;3;-0.75;8.5
+;7;37.25;Roth Sämi;;11;55.75;7;37.25;0;0.0;10.0
o;6;47.25;Schlegel Sandro;**;5;57.25;6;47.25;0;0.0;8.5

12a;Flück Bruno;;;;;;;;;;55.5
+;;;Fässler Tobias;;;;;;;;9.75
o;2;9.75;Pianta Christian;*;16;54.5;4;8.75;2;-1.0;8.5
+;7;18.25;Bachmann Janos (2004);;14;55.0;7;18.25;0;0.0;9.75
-;8;28.0;Kolb Pirmin;*;24;44.75;10;27.25;2;-0.75;9.0
+;8;37.0;Schiess Daniel;;19;53.75;9;36.75;1;-0.25;9.75
o;8;46.75;Odermatt Gian Maria (2004);*;9;56.25;10;46.25;2;-0.5;8.75

12b;Brülisauer Dominik;;;;;;;;;;55.5
-;;;Burch Dean;;;;;;;;9.0
+;3;9.0;Bleiker Roman;;17;54.25;1;10.0;-2;1.0;9.75
+;5;18.75;Wittenwiler Mathias (2003);;22;52.75;5;18.75;0;0.0;9.75
+;6;28.5;Fausch Kjetil;*;7;56.75;6;28.5;0;0.0;9.75
o;3;38.25;Schlegel Werner;**;2;58.0;4;38.0;1;-0.25;8.5
o;8;46.75;Signer Andy (2003);;6;57.0;6;47.25;-2;0.5;8.75

12c;Schäppi Urs;*;;;;;;;;;55.5
o;;;Fausch Kjetil;*;;;;;;;8.5
+;5;8.5;Hangartner Maurice (2003);;17;54.25;2;9.75;-3;1.25;9.75
-;7;18.25;Kurmann Patrick (2003);;15;54.75;3;19.5;-4;1.25;8.75
+;11;27.0;Buchmann Michael;;16;54.5;9;27.5;-2;0.5;10.0
o;8;37.0;Kindlimann Fabian;***;10;56.0;12;36.0;4;-1.0;8.5
+;13;45.5;Odermatt Michi;;18;54.0;13;45.5;0;0.0;10.0

12d;Burkhard Tobias;;;;;;;;;;55.5
o;;;Heierli Pascal;*;;;;;;;8.5
o;5;8.5;Bollhalder Manuel;*;4;57.5;4;8.75;-1;0.25;8.5
+;11;17.0;Keller Cedric;;14;55.0;6;18.5;-5;1.5;10.0
o;11;27.0;Good Marco;*;9;56.25;9;27.5;-2;0.5;8.5
+;14;35.5;Wenger Dominic;;23;52.5;14;35.5;0;0.0;10.0
+;13;45.5;Lenherr Jonas (2005);;18;54.0;13;45.5;0;0.0;10.0

12e;Signer Tobias (2004);;;;;;;;;;55.5
+;;;Zollinger Silvan (2004);;;;;;;;10.0
