2818-2015-07-12_Fete_romande-ST

1a;Fankhauser Erich;***;;;;;;;;;58.75
-;6;37.5;Borcard Johann;*;5;57.0;5;38.0;-1;0.5;9.0
+;10;46.5;Taillard Virgile (1998);;13;55.0;10;46.5;0;0.0;10.0

7e;Minder Florian;;;;;;;;;;56.5
+;;;Cardinaux Nicolas;;;;;;;;9.75
+;2;9.75;Lerch Jimmy;*;17;54.0;4;8.75;2;-1.0;10.0
o;2;19.75;Roch Vincent;*;7;56.5;5;18.5;3;-1.25;8.5
+;6;28.25;Vonlanthen Alexandre;;12;55.25;6;28.25;0;0.0;9.75
o;5;38.0;Gottofrey Marc;*;4;57.25;6;37.5;1;-0.5;8.5
+;10;46.5;Brodard Augustin;**;14;54.75;11;46.25;1;-0.25;10.0

7f;Roch Vincent;*;;;;;;;;;56.5
+;;;Overney Olivier;*;;;;;;;10.0
o;1;10.0;Siegenthaler Matthias;***;6;56.75;2;9.75;1;-0.25;8.5
+;5;18.5;Minder Florian;;7;56.5;2;19.75;-3;1.25;9.75
o;6;28.25;Duplan Steve (1997);*;6;56.75;6;28.25;0;0.0;8.5
+;9;36.75;Riedo Fredy;;10;55.75;7;37.25;-2;0.5;10.0
+;9;46.75;Schöpfer Dio (1997);;12;55.25;9;46.75;0;0.0;9.75

8a;Berset Cyril;;;;;;;;;;56.25
+;;;Délitroz Lucien (1999);;;;;;;;10.0
o;1;10.0;Cardinaux Victor;*;11;55.5;5;8.5;4;-1.5;8.5
+;5;18.5;Dufey Gil (1997);;14;54.75;5;18.5;0;0.0;9.75
+;6;28.25;Kramer Lario (1998);*;10;55.75;9;27.5;3;-0.75;9.75
o;5;38.0;Remy Guillaume;**;9;56.0;6;37.5;1;-0.5;8.5
+;10;46.5;Dind Samuel;**;13;55.0;10;46.5;0;0.0;9.75

9a;Von Niederhäusern Martin;;;;;;;;;;56.0
+;;;Trachsel Remo (1998);;;;;;;;10.0
+;1;10.0;Gauch Bastien;;9;56.0;4;8.75;3;-1.25;10.0
o;1;20.0;Pellet Michael;**;7;56.5;6;18.25;5;-1.75;8.5
o;5;28.5;Remy Guillaume;**;9;56.0;9;27.5;4;-1.0;8.5
-;8;37.0;Dufey Gil (1997);;14;54.75;8;37.0;0;0.0;9.0
+;12;46.0;Berger Alan (1998);;15;54.5;12;46.0;0;0.0;10.0

9b;Gauch Bastien;;;;;;;;;;56.0
-;;;Jacquier Pascal;;;;;;;;8.75
o;4;8.75;Von Niederhäusern Martin;;9;56.0;1;10.0;-3;1.25;8.5
+;8;17.25;Taillard Virgile (1998);;13;55.0;6;18.25;-2;1.0;10.0
-;10;27.25;Overney Olivier;*;17;54.0;11;27.0;1;-0.25;8.75
+;11;36.0;Mariéthoz Grégory (1999);;13;55.0;9;36.75;-2;0.75;10.0
+;12;46.0;Buchs Julien (1999);;17;54.0;14;45.5;2;-0.5;10.0

9c;Remy Guillaume;**;;;;;;;;;56.0
-;;;Haenni Stéphane;**;;;;;;;9.0
+;3;9.0;Blanchard Benjamin (1997);;17;54.0;1;10.0;-2;1.0;10.0
o;3;19.0;Kindlimann Fabian;***;4;57.25;4;18.75;1;-0.25;8.5
+;9;27.5;Von Niederhäusern Martin;;9;56.0;5;28.5;-4;1.0;10.0
+;6;37.5;Berset Cyril;;8;56.25;5;38.0;-1;0.5;10.0
o;6;47.5;Siegenthaler Matthias;***;6;56.75;8;47.0;2;-0.5;8.5

10a;Kramer Lario (1998);*;;;;;;;;;55.75
-;;;Schafer Claudio;*;;;;;;;8.75
+;4;8.75;Buchs Julien (1999);;17;54.0;1;10.0;-3;1.25;10.0
-;4;18.75;Brodard Simon;**;11;55.5;5;18.5;1;-0.25;8.75
o;9;27.5;Berset Cyril;;8;56.25;6;28.25;-3;0.75;8.5
+;11;36.0;Emonet Fabien;;11;55.5;8;37.0;-3;1.0;10.0
+;12;46.0;Colò Kilian (1999);;16;54.25;13;45.75;1;-0.25;9.75

10b;Riedo Fredy;;;;;;;;;;55.75
-;;;Colò Kilian (1999);;;;;;;;9.0
+;3;9.0;Hochuli Samuel (1998);;18;53.75;5;8.5;2;-0.5;10.0
o;3;19.0;Matthey Mickaël;**;5;57.0;9;17.0;6;-2.0;8.5
+;9;27.5;Dind Clément;;17;54.0;10;27.25;1;-0.25;9.75
o;7;37.25;Roch Vincent;*;7;56.5;9;36.75;2;-0.5;8.5
+;13;45.75;Valvini Maxime;;17;54.0;14;45.5;1;-0.25;10.0

10c;Gottofrey Luc (1997);;;;;;;;;;55.75
-;;;Dubey Gaël;;;;;;;;8.75
+;4;8.75;Tenthorey Matthieu;;11;55.5;1;10.0;-3;1.25;10.0
-;4;18.75;Brodard Augustin;**;14;54.75;5;18.5;1;-0.25;8.75
+;9;27.5;Portmann Fabio (1998);;20;53.25;10;27.25;1;-0.25;9.75
+;7;37.25;Emonet Frédéric;*;12;55.25;9;36.75;2;-0.5;10.0
o;7;47.25;Gapany Benjamin;**;5;57.0;7;47.25;0;0.0;8.5

10d;Haldi Sami;;;;;;;;;;55.75
-;;;Hayoz Paul (1998);;;;;;;;8.75
o;4;8.75;Lützelschwab Luc (1999);;11;55.5;4;8.75;0;0.0;8.5
+;8;17.25;Vaucher Rémy (1999);;21;52.75;8;17.25;0;0.0;10.0
+;10;27.25;Mosimann Vincent;*;11;55.5;11;27.0;1;-0.25;10.0
o;7;37.25;Gassmann Simon;;11;55.5;7;37.25;0;0.0;8.5
+;13;45.75;Pellet Adrian (1997);;17;54.0;14;45.5;1;-0.25;10.0

11a;Crettaz Olivier;;;;;;;;;;55.5
o;;;Schafer Damien;;;;;;;;8.5
+;5;8.5;Gauch Thierry;;18;53.75;5;8.5;0;0.0;10.0
o;5;18.5;Egger Pierre (1999);;14;54.75;6;18.25;1;-0.25;8.5
+;11;27.0;Roux Dimitri (1997);;22;52.5;11;27.0;0;0.0;10.0
-;8;37.0;Schafer Claudio;*;16;54.25;13;35.5;5;-1.5;8.75
+;13;45.75;Loup Alexandre (1997);;15;54.5;12;46.0;-1;0.25;9.75

11b;Brodard Simon;**;;;;;;;;;55.5
o;;;Kindlimann Fabian;***;;;;;;;8.5
+;5;8.5;Maridor Loïc;;22;52.5;1;10.0;-4;1.5;10.0
-;5;18.5;Kramer Lario (1998);*;10;55.75;4;18.75;-1;0.25;8.75
+;10;27.25;Ducry Antoine;;12;55.25;6;28.25;-4;1.0;9.75
o;8;37.0;Matthey Mickaël;**;5;57.0;8;37.0;0;0.0;8.5
+;14;45.5;Egger Pierre (1999);;14;54.75;11;46.25;-3;0.75;10.0

11c;Emonet Fabien;;;;;;;;;;55.5
o;;;Hayoz Quentin;;;;;;;;8.5
+;5;8.5;Cardinaux Nicolas;;16;54.25;5;8.5;0;0.0;10.0
o;5;18.5;Duplan Steve (1997);*;6;56.75;6;18.25;1;-0.25;8.5
+;11;27.0;Schafer Damien;;12;55.25;11;27.0;0;0.0;10.0
o;8;37.0;Kramer Lario (1998);*;10;55.75;11;36.0;3;-1.0;8.5
+;14;45.5;Schneiter Jérémy;;18;53.75;15;45.25;1;-0.25;10.0

11d;Lützelschwab Luc (1999);;;;;;;;;;55.5
-;;;Ambresin Cyril (1999);;;;;;;;8.75
+;4;8.75;Haldi Sami;;10;55.75;4;8.75;0;0.0;9.75
+;5;18.5;Reichenbach Ryan (1999);;18;53.75;6;18.25;1;-0.25;10.0
o;5;28.5;Cardinaux Victor;*;11;55.5;11;27.0;6;-1.5;8.5
o;8;37.0;Droxler Jonathan;*;13;55.0;9;36.75;1;-0.25;8.5
+;14;45.5;Capt Stéphane;;17;54.0;14;45.5;0;0.0;10.0

11e;Mosimann Vincent;*;;;;;;;;;55.5
-;;;Berset Julien;*;;;;;;;8.75
+;4;8.75;Mariéthoz Grégory (1999);;13;55.0;1;10.0;-3;1.25;9.75
o;5;18.5;Parvex Yannick;;12;55.25;5;18.5;0;0.0;8.5
o;11;27.0;Haldi Sami;;10;55.75;10;27.25;-1;0.25;8.75
+;12;35.75;Berger Dilan (1998);;12;55.25;8;37.0;-4;1.25;10.0
