2818-2015-07-12_Fete_romande-ST

1a;Fankhauser Erich;***;;;;;;;;;58.75
+;6;18.25;Pürro Tobias (1997);;14;54.75;6;18.25;0;0.0;10.0
+;6;28.25;Jacquier Pascal;;16;54.25;10;27.25;4;-1.0;10.0
o;4;38.25;Piemontesi Pascal;**;2;58.0;4;38.25;0;0.0;8.5
o;9;46.75;Pellet Michael;**;7;56.5;10;46.5;1;-0.25;8.5

12j;Skryapnik Oleg;*;;;;;;;;;55.25
o;;;Casarico Fabio;*;;;;;;;8.5
+;5;8.5;Rappo Yann (1998);;12;55.25;2;9.75;-3;1.25;9.75
-;6;18.25;Droxler Jonathan;*;13;55.0;6;18.25;0;0.0;8.75
+;11;27.0;Kramer Dorian (1999);;12;55.25;5;28.5;-6;1.5;9.75
o;9;36.75;Alpiger Nick;**;6;56.75;8;37.0;-1;0.25;8.5
+;15;45.25;Goy Sébastien;;19;53.5;16;45.0;1;-0.25;10.0

12k;Schafer Damien;;;;;;;;;;55.25
+;;;Crettaz Olivier;;;;;;;;10.0
o;1;10.0;Giroud Jonathan;**;11;55.5;5;8.5;4;-1.5;8.5
o;5;18.5;Emonet Fabien;;11;55.5;5;18.5;0;0.0;8.5
+;11;27.0;Cardinaux Nicolas;;16;54.25;11;27.0;0;0.0;9.75
+;9;36.75;Parvex Yannick;;12;55.25;9;36.75;0;0.0;10.0
o;9;46.75;Kropf Rolf;**;6;56.75;9;46.75;0;0.0;8.5

12l;Schöpfer Dio (1997);;;;;;;;;;55.25
+;;;Dind Clément;;;;;;;;10.0
o;1;10.0;Borcard Johann;*;5;57.0;2;9.75;1;-0.25;8.5
+;5;18.5;Maridor Loïc;;22;52.5;5;18.5;0;0.0;9.75
o;6;28.25;Guisolan Marc;**;6;56.75;6;28.25;0;0.0;8.5
+;9;36.75;Reichenbach Ryan (1999);;18;53.75;9;36.75;0;0.0;10.0
o;9;46.75;Roch Vincent;*;7;56.5;9;46.75;0;0.0;8.5

13a;Wicky Jonathan;;;;;;;;;;55.0
o;;;Gassmann Simon;;;;;;;;8.5
+;5;8.5;Dorsaz Théo (1998);;18;53.75;5;8.5;0;0.0;9.75
o;6;18.25;Jacquier Pascal;;16;54.25;8;17.25;2;-1.0;8.5
+;12;26.75;Mollet Adrian;;22;52.5;11;27.0;-1;0.25;9.75
-;10;36.5;Giroud Jonathan;**;11;55.5;9;36.75;-1;0.25;8.75
+;15;45.25;Burgy Matt (1999);;18;53.75;15;45.25;0;0.0;9.75

13b;Dind Samuel;**;;;;;;;;;55.0
o;;;Erb Roger;**;;;;;;;8.5
+;5;8.5;Derron Julien (1997);;13;55.0;1;10.0;-4;1.5;9.75
+;6;18.25;Zimmermann Mario;*;25;44.0;5;18.5;-1;0.25;9.75
+;7;28.0;Capt Stéphane;;17;54.0;5;28.5;-2;0.5;10.0
o;5;38.0;Glarner Matthias;***;5;57.0;6;37.5;1;-0.5;8.5
o;10;46.5;Berset Cyril;;8;56.25;10;46.5;0;0.0;8.5

13c;Mariéthoz Grégory (1999);;;;;;;;;;55.0
+;;;Gauch Thierry;;;;;;;;10.0
o;1;10.0;Mosimann Vincent;*;11;55.5;4;8.75;3;-1.25;8.5
+;5;18.5;Tenthorey Matthieu;;11;55.5;5;18.5;0;0.0;9.75
o;6;28.25;Hayoz Paul (1998);;11;55.5;5;28.5;-1;0.25;8.5
o;9;36.75;Gauch Bastien;;9;56.0;11;36.0;2;-0.75;8.5
+;15;45.25;Aladenise Jonathan;;19;53.5;16;45.0;1;-0.25;9.75

13d;Droxler Jonathan;*;;;;;;;;;55.0
o;;;Brodard Augustin;**;;;;;;;8.5
+;5;8.5;Hayoz Quentin;;12;55.25;2;9.75;-3;1.25;9.75
-;6;18.25;Skryapnik Oleg;*;12;55.25;6;18.25;0;0.0;8.75
+;11;27.0;Loup Alexandre (1997);;15;54.5;5;28.5;-6;1.5;9.75
+;9;36.75;Lützelschwab Luc (1999);;11;55.5;8;37.0;-1;0.25;9.75
o;10;46.5;Alpiger Nick;**;6;56.75;9;46.75;-1;0.25;8.5

13e;Derron Julien (1997);;;;;;;;;;55.0
+;;;Buchs Claude;;;;;;;;10.0
o;1;10.0;Dind Samuel;**;13;55.0;5;8.5;4;-1.5;8.5
+;5;18.5;Buchs Julien (1999);;17;54.0;5;18.5;0;0.0;9.75
o;6;28.25;Borcard Johann;*;5;57.0;6;28.25;0;0.0;8.5
o;9;36.75;Vonlanthen Alexandre;;12;55.25;9;36.75;0;0.0;8.5
+;15;45.25;Reichenbach Ryan (1999);;18;53.75;15;45.25;0;0.0;9.75

13f;Taillard Virgile (1998);;;;;;;;;;55.0
o;;;Barras André;;;;;;;;8.5
+;5;8.5;Lachavanne Noé (1999);;22;52.5;5;8.5;0;0.0;9.75
o;6;18.25;Gauch Bastien;;9;56.0;8;17.25;2;-1.0;8.75
+;11;27.0;Tenthorey Matthieu;;11;55.5;11;27.0;0;0.0;9.75
+;9;36.75;Lerch Jimmy;*;17;54.0;12;35.75;3;-1.0;9.75
o;10;46.5;Berset Julien;*;7;56.5;10;46.5;0;0.0;8.5

13g;Barras André;;;;;;;;;;55.0
+;;;Taillard Virgile (1998);;;;;;;;9.75
o;2;9.75;Schafer Claudio;*;16;54.25;4;8.75;2;-1.0;8.5
+;6;18.25;Hochuli Samuel (1998);;18;53.75;9;17.0;3;-1.25;10.0
+;6;28.25;Zimmermann Mario;*;25;44.0;11;27.0;5;-1.25;9.75
o;5;38.0;Pouye Diey;;7;56.5;5;38.0;0;0.0;8.5
o;10;46.5;Haenni Stéphane;**;7;56.5;10;46.5;0;0.0;8.5

14a;Pürro Tobias (1997);;;;;;;;;;54.75
+;;;Roux Dimitri (1997);;;;;;;;9.75
o;2;9.75;Berset Julien;*;7;56.5;4;8.75;2;-1.0;8.5
o;6;18.25;Hayoz Quentin;;12;55.25;6;18.25;0;0.0;8.5
+;12;26.75;Mollet Adrian;;22;52.5;11;27.0;-1;0.25;9.75
+;10;36.5;Schneiter Jérémy;;18;53.75;9;36.75;-1;0.25;9.75
o;11;46.25;Cardinaux Victor;*;11;55.5;14;45.5;3;-0.75;8.5

14b;Dufey Gil (1997);;;;;;;;;;54.75
+;;;Pouye Diey;;;;;;;;10.0
o;1;10.0;Emonet Frédéric;*;12;55.25;5;8.5;4;-1.5;8.5
o;5;18.5;Berset Cyril;;8;56.25;5;18.5;0;0.0;8.5
+;11;27.0;Menoud Timothée (1999);;17;54.0;11;27.0;0;0.0;10.0
-;8;37.0;Von Niederhäusern Martin;;9;56.0;8;37.0;0;0.0;9.0
-;12;46.0;Dubey Gaël;;14;54.75;12;46.0;0;0.0;8.75

14c;Dubey Gaël;;;;;;;;;;54.75
-;;;Gottofrey Luc (1997);;;;;;;;8.75
+;4;8.75;Berger Alan (1998);;15;54.5;4;8.75;0;0.0;9.75
-;5;18.5;Overney Olivier;*;17;54.0;6;18.25;1;-0.25;8.75
+;10;27.25;Maridor Loïc;;22;52.5;11;27.0;1;-0.25;9.75
-;8;37.0;Loup Alexandre (1997);;15;54.5;8;37.0;0;0.0;9.0
-;12;46.0;Dufey Gil (1997);;14;54.75;12;46.0;0;0.0;8.75

14d;Brodard Augustin;**;;;;;;;;;54.75
+;;;Droxler Jonathan;*;;;;;;;10.0
o;1;10.0;Erb Roger;**;3;57.5;2;9.75;1;-0.25;8.5
-;5;18.5;Gottofrey Luc (1997);;10;55.75;4;18.75;-1;0.25;9.0
+;9;27.5;Torche Bastian;;14;54.75;7;28.0;-2;0.5;10.0
-;6;37.5;Haenni Stéphane;**;7;56.5;6;37.5;0;0.0;8.75
o;11;46.25;Minder Florian;;7;56.5;10;46.5;-1;0.25;8.5

14e;Torche Bastian;;;;;;;;;;54.75
+;;;Curty Alexandre;;;;;;;;9.75
o;2;9.75;Zimmermann Mario;*;25;44.0;4;8.75;2;-1.0;8.5
+;6;18.25;Menoud Timothée (1999);;17;54.0;5;18.5;-1;0.25;9.75
o;7;28.0;Brodard Augustin;**;14;54.75;9;27.5;2;-0.5;8.5
+;10;36.5;Aladenise Jonathan;;19;53.5;10;36.5;0;0.0;9.75
o;11;46.25;Mosimann Vincent;*;11;55.5;13;45.75;2;-0.5;8.5

14f;Egger Pierre (1999);;;;;;;;;;54.75
+;;;Croisier Anthony;;;;;;;;9.75
o;2;9.75;Haenni Stéphane;**;7;56.5;3;9.0;1;-0.75;8.5
+;6;18.25;Crettaz Olivier;;11;55.5;5;18.5;-1;0.25;9.75
o;7;28.0;Pellet Michael;**;7;56.5;7;28.0;0;0.0;8.5
+;10;36.5;Pellet Adrian (1997);;17;54.0;8;37.0;-2;0.5;9.75
o;11;46.25;Brodard Simon;**;11;55.5;14;45.5;3;-0.75;8.5

15a;Berger Alan (1998);;;;;;;;;;54.5
-;;;Vaucher Rémy (1999);;;;;;;;8.75
o;4;8.75;Dubey Gaël;;14;54.75;4;8.75;0;0.0;8.5
+;8;17.25;Pürro Christian (1999);;22;52.5;8;17.25;0;0.0;10.0
-;10;27.25;Curty Alexandre;;17;54.0;11;27.0;1;-0.25;8.75
+;11;36.0;Zimmermann Mario;*;25;44.0;13;35.5;2;-0.5;10.0
o;12;46.0;Von Niederhäusern Martin;;9;56.0;12;46.0;0;0.0;8.5

15b;Loup Alexandre (1997);;;;;;;;;;54.5
+;;;Dorsaz Théo (1998);;;;;;;;10.0
o;1;10.0;Piemontesi Pascal;**;2;58.0;5;8.5;4;-1.5;8.5
+;5;18.5;Blanchard Benjamin (1997);;17;54.0;5;18.5;0;0.0;10.0
o;5;28.5;Droxler Jonathan;*;13;55.0;11;27.0;6;-1.5;8.5
-;8;37.0;Dubey Gaël;;14;54.75;8;37.0;0;0.0;9.0
o;12;46.0;Crettaz Olivier;;11;55.5;13;45.75;1;-0.25;8.5

16a;Colò Kilian (1999);;;;;;;;;;54.25
-;;;Riedo Fredy;;;;;;;;8.75
+;4;8.75;Vaucher Rémy (1999);;21;52.75;4;8.75;0;0.0;10.0
o;4;18.75;Liaudat Rudy;*;6;56.75;2;19.75;-2;1.0;8.5
+;10;27.25;Blanchard Benjamin (1997);;17;54.0;11;27.0;1;-0.25;10.0
o;7;37.25;Casarico Fabio;*;6;56.75;9;36.75;2;-0.5;8.5
o;13;45.75;Kramer Lario (1998);*;10;55.75;12;46.0;-1;0.25;8.5

16b;Schafer Claudio;*;;;;;;;;;54.25
-;;;Kramer Lario (1998);*;;;;;;;8.75
+;4;8.75;Barras André;;13;55.0;2;9.75;-2;1.0;9.75
o;5;18.5;Glauser Thomas;**;6;56.75;5;18.5;0;0.0;8.5
o;11;27.0;Pouye Diey;;7;56.5;6;28.25;-5;1.25;8.5
-;13;35.5;Crettaz Olivier;;11;55.5;8;37.0;-5;1.5;8.75
+;19;44.25;Gauch Thierry;;18;53.75;15;45.25;-4;1.0;10.0

16c;Cardinaux Nicolas;;;;;;;;;;54.25
o;;;Minder Florian;;;;;;;;8.5
o;5;8.5;Emonet Fabien;;11;55.5;5;8.5;0;0.0;8.5
+;9;17.0;Buchs Remo (1999);;22;52.5;9;17.0;0;0.0;10.0
o;11;27.0;Schafer Damien;;12;55.25;11;27.0;0;0.0;8.5
-;13;35.5;Jacquier Pascal;;16;54.25;12;35.75;-1;0.25;8.75
+;19;44.25;Vaucher Rémy (1999);;21;52.75;19;44.25;0;0.0;10.0

16d;Jacquier Pascal;;;;;;;;;;54.25
-;;;Gauch Bastien;;;;;;;;8.75
o;4;8.75;Pouye Diey;;7;56.5;5;8.5;1;-0.25;8.5
+;8;17.25;Wicky Jonathan;;13;55.0;6;18.25;-2;1.0;10.0
o;10;27.25;Hayoz Quentin;;12;55.25;6;28.25;-4;1.0;8.5
-;12;35.75;Cardinaux Nicolas;;16;54.25;13;35.5;1;-0.25;8.75
+;18;44.5;Lachavanne Noé (1999);;22;52.5;20;44.0;2;-0.5;9.75

17a;Pellet Adrian (1997);;;;;;;;;;54.0
+;;;Roulet Denis;;;;;;;;10.0
o;1;10.0;Guisolan Marc;**;6;56.75;5;8.5;4;-1.5;8.5
+;5;18.5;Valvini Maxime;;17;54.0;5;18.5;0;0.0;10.0
o;5;28.5;Heiniger Vincent;*;12;55.25;11;27.0;6;-1.5;8.5
o;8;37.0;Egger Pierre (1999);;14;54.75;10;36.5;2;-0.5;8.5
o;14;45.5;Haldi Sami;;10;55.75;13;45.75;-1;0.25;8.5

17b;Valvini Maxime;;;;;;;;;;54.0
o;;;Rappo Yann (1998);;;;;;;;8.5
+;5;8.5;Egger Fabio (1999);;23;52.25;5;8.5;0;0.0;10.0
o;5;18.5;Pellet Adrian (1997);;17;54.0;5;18.5;0;0.0;8.5
o;11;27.0;Lerch Jimmy;*;17;54.0;13;26.0;2;-1.0;8.5
+;13;35.5;Dorsaz Théo (1998);;18;53.75;13;35.5;0;0.0;10.0
o;14;45.5;Riedo Fredy;;10;55.75;13;45.75;-1;0.25;8.5

17c;Lerch Jimmy;*;;;;;;;;;54.0
-;;;Zimmermann Mario;*;;;;;;;8.75
o;4;8.75;Minder Florian;;7;56.5;2;9.75;-2;1.0;8.75
o;7;17.5;Pouye Diey;;7;56.5;6;18.25;-1;0.75;8.5
+;13;26.0;Valvini Maxime;;17;54.0;11;27.0;-2;1.0;9.75
o;12;35.75;Taillard Virgile (1998);;13;55.0;9;36.75;-3;1.0;8.5
+;19;44.25;Curty Alexandre;;17;54.0;14;45.5;-5;1.25;9.75

17d;Croisier Anthony;;;;;;;;;;54.0
o;;;Egger Pierre (1999);;;;;;;;8.5
+;5;8.5;Buchs Remo (1999);;22;52.5;5;8.5;0;0.0;9.75
+;6;18.25;Beraud Bastien (1999);;17;54.0;9;17.0;3;-1.25;9.75
o;7;28.0;Emonet Frédéric;*;12;55.25;12;26.75;5;-1.25;8.5
-;10;36.5;Portmann Fabio (1998);;20;53.25;12;35.75;2;-0.75;9.0
o;14;45.5;Tenthorey Matthieu;;11;55.5;14;45.5;0;0.0;8.5

17e;Délitroz Lucien (1999);;;;;;;;;;54.0
o;;;Berset Cyril;;;;;;;;8.5
o;5;8.5;Trachsel Remo (1998);;23;52.25;5;8.5;0;0.0;8.5
+;9;17.0;Beraud Bastien (1999);;17;54.0;9;17.0;0;0.0;10.0
o;11;27.0;Buchs Julien (1999);;17;54.0;11;27.0;0;0.0;8.5
o;13;35.5;Chavagnat Benoît (1999);;18;53.75;13;35.5;0;0.0;8.5
+;20;44.0;Egger Fabio (1999);;23;52.25;21;43.75;1;-0.25;10.0

17f;Menoud Timothée (1999);;;;;;;;;;54.0
o;;;Burgy Matt (1999);;;;;;;;8.5
+;5;8.5;Beraud Bastien (1999);;17;54.0;5;8.5;0;0.0;10.0
o;5;18.5;Torche Bastian;;14;54.75;6;18.25;1;-0.25;8.5
o;11;27.0;Dufey Gil (1997);;14;54.75;11;27.0;0;0.0;8.5
+;13;35.5;Hochuli Samuel (1998);;18;53.75;13;35.5;0;0.0;10.0
o;14;45.5;Giroud Jonathan;**;11;55.5;14;45.5;0;0.0;8.5

17g;Overney Olivier;*;;;;;;;;;54.0
o;;;Roch Vincent;*;;;;;;;8.5
+;5;8.5;Mollet Adrian;;22;52.5;1;10.0;-4;1.5;9.75
-;6;18.25;Dubey Gaël;;14;54.75;5;18.5;-1;0.25;8.75
-;11;27.0;Gauch Bastien;;9;56.0;10;27.25;-1;0.25;8.75
+;12;35.75;Dind Clément;;17;54.0;12;35.75;0;0.0;9.75
o;14;45.5;Süess Gerry;***;11;55.5;13;45.75;-1;0.25;8.5

17h;Capt Stéphane;;;;;;;;;;54.0
o;;;Buchs Carlo;;;;;;;;8.5
+;5;8.5;Roulet Denis;;24;51.0;5;8.5;0;0.0;10.0
+;5;18.5;Roux Dimitri (1997);;22;52.5;5;18.5;0;0.0;10.0
o;5;28.5;Dind Samuel;**;13;55.0;7;28.0;2;-0.5;8.5
o;8;37.0;Kramer Dorian (1999);;12;55.25;8;37.0;0;0.0;8.5
o;14;45.5;Lützelschwab Luc (1999);;11;55.5;14;45.5;0;0.0;8.5

17i;Curty Alexandre;;;;;;;;;;54.0
o;;;Torche Bastian;;;;;;;;8.5
o;5;8.5;Parvex Yannick;;12;55.25;5;8.5;0;0.0;8.5
+;9;17.0;Roulet Denis;;24;51.0;9;17.0;0;0.0;10.0
-;11;27.0;Berger Alan (1998);;15;54.5;10;27.25;-1;0.25;8.75
+;12;35.75;Maridor Loïc;;22;52.5;13;35.5;1;-0.25;9.75
o;14;45.5;Lerch Jimmy;*;17;54.0;19;44.25;5;-1.25;8.5

17j;Blanchard Benjamin (1997);;;;;;;;;;54.0
+;;;Goy Sébastien;;;;;;;;10.0
o;1;10.0;Remy Guillaume;**;9;56.0;3;9.0;2;-1.0;8.5
o;5;18.5;Loup Alexandre (1997);;15;54.5;5;18.5;0;0.0;8.5
o;11;27.0;Colò Kilian (1999);;16;54.25;10;27.25;-1;0.25;8.5
+;13;35.5;Lachavanne Noé (1999);;22;52.5;13;35.5;0;0.0;10.0
o;14;45.5;Heiniger Vincent;*;12;55.25;14;45.5;0;0.0;8.5

17k;Ambresin Cyril (1999);;;;;;;;;;54.0
-;;;Lützelschwab Luc (1999);;;;;;;;8.75
o;4;8.75;Hayoz Paul (1998);;11;55.5;4;8.75;0;0.0;8.5
+;8;17.25;Gauch Thierry;;18;53.75;9;17.0;1;-0.25;10.0
o;10;27.25;Gassmann Simon;;11;55.5;10;27.25;0;0.0;8.5
+;12;35.75;Maridor Loïc;;22;52.5;13;35.5;1;-0.25;9.75
o;14;45.5;Emonet Frédéric;*;12;55.25;15;45.25;1;-0.25;8.5

17l;Beraud Bastien (1999);;;;;;;;;;54.0
o;;;Menoud Timothée (1999);;;;;;;;8.5
o;5;8.5;Délitroz Lucien (1999);;17;54.0;5;8.5;0;0.0;8.5
o;9;17.0;Croisier Anthony;;17;54.0;6;18.25;-3;1.25;8.5
+;15;25.5;Buchs Remo (1999);;22;52.5;15;25.5;0;0.0;10.0
o;13;35.5;Gauch Thierry;;18;53.75;13;35.5;0;0.0;8.5
+;20;44.0;Pürro Christian (1999);;22;52.5;20;44.0;0;0.0;10.0

17m;Dind Clément;;;;;;;;;;54.0
o;;;Schöpfer Dio (1997);;;;;;;;8.5
+;5;8.5;Chavagnat Benoît (1999);;18;53.75;5;8.5;0;0.0;9.75
-;6;18.25;Gassmann Simon;;11;55.5;6;18.25;0;0.0;9.0
o;10;27.25;Riedo Fredy;;10;55.75;9;27.5;-1;0.25;8.5
o;12;35.75;Overney Olivier;*;17;54.0;12;35.75;0;0.0;8.5
+;19;44.25;Portmann Fabio (1998);;20;53.25;17;44.75;-2;0.5;9.75

17n;Buchs Julien (1999);;;;;;;;;;54.0
+;;;Schneiter Jérémy;;;;;;;;10.0
o;1;10.0;Kramer Lario (1998);*;10;55.75;4;8.75;3;-1.25;8.5
o;5;18.5;Derron Julien (1997);;13;55.0;5;18.5;0;0.0;8.5
+;11;27.0;Délitroz Lucien (1999);;17;54.0;11;27.0;0;0.0;10.0
o;8;37.0;Buchs Carlo;;11;55.5;8;37.0;0;0.0;8.5
o;14;45.5;Gauch Bastien;;9;56.0;12;46.0;-2;0.5;8.5

18a;Martin Jérémy (1998);;;;;;;;;;53.75
o;;;Kramer Dorian (1999);;;;;;;;8.5
+;5;8.5;Hochuli Samuel (1998);;18;53.75;5;8.5;0;0.0;9.75
o;6;18.25;Aladenise Jonathan;;19;53.5;6;18.25;0;0.0;8.5
+;12;26.75;Pürro Christian (1999);;22;52.5;14;25.75;2;-1.0;10.0
o;9;36.75;Rappo Yann (1998);;12;55.25;9;36.75;0;0.0;8.5
o;15;45.25;Berger Dilan (1998);;12;55.25;14;45.5;-1;0.25;8.5

18b;Burgy Matt (1999);;;;;;;;;;53.75
+;;;Menoud Timothée (1999);;;;;;;;9.75
+;2;9.75;Aladenise Jonathan;;19;53.5;2;9.75;0;0.0;10.0
o;2;19.75;Casarico Fabio;*;6;56.75;6;18.25;4;-1.5;8.5
o;6;28.25;Berset Julien;*;7;56.5;8;27.75;2;-0.5;8.5
o;9;36.75;Ducry Antoine;;12;55.25;9;36.75;0;0.0;8.5
o;15;45.25;Wicky Jonathan;;13;55.0;15;45.25;0;0.0;8.5

18c;Dorsaz Théo (1998);;;;;;;;;;53.75
o;;;Loup Alexandre (1997);;;;;;;;8.5
o;5;8.5;Wicky Jonathan;;13;55.0;5;8.5;0;0.0;8.5
-;9;17.0;Chavagnat Benoît (1999);;18;53.75;9;17.0;0;0.0;8.75
+;14;25.75;Vaucher Rémy (1999);;21;52.75;14;25.75;0;0.0;9.75
o;13;35.5;Valvini Maxime;;17;54.0;13;35.5;0;0.0;8.5
+;20;44.0;Mollet Adrian;;22;52.5;20;44.0;0;0.0;9.75

18d;Gauch Thierry;;;;;;;;;;53.75
o;;;Mariéthoz Grégory (1999);;;;;;;;8.5
o;5;8.5;Crettaz Olivier;;11;55.5;5;8.5;0;0.0;8.5
o;9;17.0;Ambresin Cyril (1999);;17;54.0;8;17.25;-1;0.25;8.5
+;15;25.5;Roulet Denis;;24;51.0;15;25.5;0;0.0;10.0
+;13;35.5;Beraud Bastien (1999);;17;54.0;13;35.5;0;0.0;9.75
o;15;45.25;Schafer Claudio;*;16;54.25;19;44.25;4;-1.0;8.5

18e;Reichenbach Ryan (1999);;;;;;;;;;53.75
o;;;Tenthorey Matthieu;;;;;;;;8.5
+;5;8.5;Pürro Christian (1999);;22;52.5;5;8.5;0;0.0;9.75
o;6;18.25;Lützelschwab Luc (1999);;11;55.5;5;18.5;-1;0.25;8.5
+;12;26.75;Trachsel Remo (1998);;23;52.25;12;26.75;0;0.0;10.0
o;9;36.75;Schöpfer Dio (1997);;12;55.25;9;36.75;0;0.0;8.5
o;15;45.25;Derron Julien (1997);;13;55.0;15;45.25;0;0.0;8.5

18f;Chavagnat Benoît (1999);;;;;;;;;;53.75
o;;;Mollet Adrian;;;;;;;;8.5
o;5;8.5;Dind Clément;;17;54.0;5;8.5;0;0.0;8.5
-;9;17.0;Dorsaz Théo (1998);;18;53.75;9;17.0;0;0.0;8.75
+;14;25.75;Egger Fabio (1999);;23;52.25;15;25.5;1;-0.25;9.75
+;13;35.5;Délitroz Lucien (1999);;17;54.0;13;35.5;0;0.0;9.75
o;15;45.25;Parvex Yannick;;12;55.25;15;45.25;0;0.0;8.5

18g;Schneiter Jérémy;;;;;;;;;;53.75
o;;;Buchs Julien (1999);;;;;;;;8.5
+;5;8.5;Goy Sébastien;;19;53.5;5;8.5;0;0.0;9.75
+;6;18.25;Trachsel Remo (1998);;23;52.25;6;18.25;0;0.0;10.0
o;6;28.25;Giroud Jonathan;**;11;55.5;11;27.0;5;-1.25;8.5
o;9;36.75;Pürro Tobias (1997);;14;54.75;10;36.5;1;-0.25;8.5
o;15;45.25;Emonet Fabien;;11;55.5;14;45.5;-1;0.25;8.5

18h;Hochuli Samuel (1998);;;;;;;;;;53.75
o;;;Martin Jérémy (1998);;;;;;;;8.5
o;5;8.5;Riedo Fredy;;10;55.75;3;9.0;-2;0.5;8.5
o;9;17.0;Barras André;;13;55.0;6;18.25;-3;1.25;8.5
+;15;25.5;Buchs Claude;;23;52.25;15;25.5;0;0.0;10.0
o;13;35.5;Menoud Timothée (1999);;17;54.0;13;35.5;0;0.0;8.5
+;20;44.0;Roux Dimitri (1997);;22;52.5;20;44.0;0;0.0;9.75

19a;Aladenise Jonathan;;;;;;;;;;53.5
+;;;Maridor Loïc;;;;;;;;9.75
o;2;9.75;Burgy Matt (1999);;18;53.75;2;9.75;0;0.0;8.5
+;6;18.25;Martin Jérémy (1998);;18;53.75;6;18.25;0;0.0;9.75
o;7;28.0;Matthey Mickaël;**;5;57.0;11;27.0;4;-1.0;8.5
o;10;36.5;Torche Bastian;;14;54.75;10;36.5;0;0.0;8.5
o;16;45.0;Mariéthoz Grégory (1999);;13;55.0;15;45.25;-1;0.25;8.5

19b;Goy Sébastien;;;;;;;;;;53.5
o;;;Blanchard Benjamin (1997);;;;;;;;8.5
o;5;8.5;Schneiter Jérémy;;18;53.75;5;8.5;0;0.0;8.5
+;9;17.0;Buchs Claude;;23;52.25;9;17.0;0;0.0;9.75
o;12;26.75;Rappo Yann (1998);;12;55.25;12;26.75;0;0.0;8.5
+;14;35.25;Trachsel Remo (1998);;23;52.25;14;35.25;0;0.0;9.75
o;16;45.0;Skryapnik Oleg;*;12;55.25;15;45.25;-1;0.25;8.5

20a;Portmann Fabio (1998);;;;;;;;;;53.25
+;;;Lachavanne Noé (1999);;;;;;;;10.0
-;1;10.0;Kramer Dorian (1999);;12;55.25;1;10.0;0;0.0;8.75
o;4;18.75;Kropf Rolf;**;6;56.75;6;18.25;2;-0.5;8.5
o;10;27.25;Gottofrey Luc (1997);;10;55.75;9;27.5;-1;0.25;8.5
-;12;35.75;Croisier Anthony;;17;54.0;10;36.5;-2;0.75;9.0
o;17;44.75;Dind Clément;;17;54.0;19;44.25;2;-0.5;8.5

21a;Vaucher Rémy (1999);;;;;;;;;;52.75
-;;;Berger Alan (1998);;;;;;;;8.75
o;4;8.75;Colò Kilian (1999);;16;54.25;4;8.75;0;0.0;8.5
o;8;17.25;Haldi Sami;;10;55.75;8;17.25;0;0.0;8.5
o;14;25.75;Dorsaz Théo (1998);;18;53.75;14;25.75;0;0.0;8.5
+;15;34.25;Buchs Claude;;23;52.25;16;34.0;1;-0.25;10.0
o;19;44.25;Cardinaux Nicolas;;16;54.25;19;44.25;0;0.0;8.5

22a;Mollet Adrian;;;;;;;;;;52.5
+;;;Chavagnat Benoît (1999);;;;;;;;10.0
o;1;10.0;Overney Olivier;*;17;54.0;5;8.5;4;-1.5;8.5
o;5;18.5;Ducry Antoine;;12;55.25;5;18.5;0;0.0;8.5
o;11;27.0;Pürro Tobias (1997);;14;54.75;12;26.75;1;-0.25;8.5
o;13;35.5;Wicky Jonathan;;13;55.0;10;36.5;-3;1.0;8.5
o;20;44.0;Dorsaz Théo (1998);;18;53.75;20;44.0;0;0.0;8.5

22b;Maridor Loïc;;;;;;;;;;52.5
+;;;Egger Fabio (1999);;;;;;;;10.0
o;1;10.0;Brodard Simon;**;11;55.5;5;8.5;4;-1.5;8.5
o;5;18.5;Schöpfer Dio (1997);;12;55.25;5;18.5;0;0.0;8.5
o;11;27.0;Dubey Gaël;;14;54.75;10;27.25;-1;0.25;8.5
o;13;35.5;Ambresin Cyril (1999);;17;54.0;12;35.75;-1;0.25;8.5
o;20;44.0;Curty Alexandre;;17;54.0;14;45.5;-6;1.5;8.5

22c;Pürro Christian (1999);;;;;;;;;;52.5
o;;;Ducry Antoine;;;;;;;;8.5
o;5;8.5;Reichenbach Ryan (1999);;18;53.75;5;8.5;0;0.0;8.75
o;8;17.25;Berger Alan (1998);;15;54.5;8;17.25;0;0.0;8.5
o;14;25.75;Martin Jérémy (1998);;18;53.75;12;26.75;-2;1.0;8.5
+;15;34.25;Buchs Remo (1999);;22;52.5;16;34.0;1;-0.25;9.75
o;20;44.0;Beraud Bastien (1999);;17;54.0;20;44.0;0;0.0;8.5

22d;Lachavanne Noé (1999);;;;;;;;;;52.5
o;;;Portmann Fabio (1998);;;;;;;;8.5
o;5;8.5;Taillard Virgile (1998);;13;55.0;5;8.5;0;0.0;8.5
+;9;17.0;Egger Fabio (1999);;23;52.25;9;17.0;0;0.0;10.0
o;11;27.0;Berger Dilan (1998);;12;55.25;11;27.0;0;0.0;8.5
o;13;35.5;Blanchard Benjamin (1997);;17;54.0;13;35.5;0;0.0;8.5
o;20;44.0;Jacquier Pascal;;16;54.25;18;44.5;-2;0.5;8.5

22e;Buchs Remo (1999);;;;;;;;;;52.5
o;;;Berger Dilan (1998);;;;;;;;8.5
