5670-2021-09-04_113_NWSV_Schwingfest-ST

1a;Vogel Remo;*;;;;;;;;;65.0

13a;Scherrer Johann;**;;;;;;;;;54.5
o;;;Vieira Tiago;**;;;;;;;8.5
-;5;8.5;Roth Tim (2004);;10;55.25;2;9.75;-3;1.25;8.75
+;10;17.25;Müller Christian;;27;35.5;6;18.5;-4;1.25;10.0
-;7;27.25;Gfeller Joel (2005);;15;54.0;3;28.25;-4;1.0;8.75
+;12;36.0;Regenass Beat;;15;54.0;10;36.5;-2;0.5;10.0
o;9;46.0;Joho Philip;*;9;55.5;11;45.5;2;-0.5;8.5

13b;Vogt Fredy;;;;;;;;;;54.5
-;;;Odermatt Jonas (2004);;;;;;;;8.75
+;4;8.75;Rickenbacher Cedric;;19;53.0;4;8.75;0;0.0;9.75
-;6;18.5;Widmer David;**;13;54.5;9;17.5;3;-1.0;8.75
-;7;27.25;Küng Marco;*;15;54.0;8;27.0;1;-0.25;8.75
o;12;36.0;Fricker Ivo;;23;45.75;12;36.0;0;0.0;8.5
+;15;44.5;Furter Jannis (2004);;19;53.0;15;44.5;0;0.0;10.0

13c;Widmer David;**;;;;;;;;;54.5
-;;;Stoll Thomas;*;;;;;;;8.75
-;4;8.75;Bachmann Sämi;;8;55.75;1;10.0;-3;1.25;8.75
-;9;17.5;Vogt Fredy;;13;54.5;6;18.5;-3;1.0;8.75
o;10;26.25;Büttler Gian;;14;54.25;8;27.0;-2;0.75;8.5
+;16;34.75;Stampfli Simon (2004);;19;53.0;13;35.75;-3;1.0;9.75
+;15;44.5;Dobler Florian;;15;54.0;11;45.5;-4;1.0;10.0

14a;Büttler Gian;;;;;;;;;;54.25
o;;;Joho Pascal (2004);;;;;;;;8.5
-;5;8.5;Huser Roman;;9;55.5;5;8.5;0;0.0;8.75
+;10;17.25;Burkhardt Roy;;14;54.25;10;17.25;0;0.0;9.75
+;8;27.0;Widmer David;**;13;54.5;10;26.25;2;-0.75;9.75
-;9;36.75;Vogel Remo;*;1;65.0;12;36.0;3;-0.75;9.0
o;10;45.75;Hasler Luis;;7;56.0;9;46.0;-1;0.25;8.5

14b;Hengartner Jonas (2005);;;;;;;;;;54.25
+;;;Herrmann Daniel (2003);;;;;;;;9.75
o;2;9.75;Küng Marco;*;15;54.0;5;8.5;3;-1.25;8.5
o;7;18.25;Huser Roman;;9;55.5;10;17.25;3;-1.0;8.5
o;9;26.75;Schärer Nico (2004);;11;55.0;8;27.0;-1;0.25;8.5
-;15;35.25;Reinhard Roman (2005);;17;53.5;12;36.0;-3;0.75;9.0
+;16;44.25;Steger Robert;;20;52.75;16;44.25;0;0.0;10.0

14c;Nyffenegger Florian;;;;;;;;;;54.25
-;;;Späti Jan;;;;;;;;9.0
o;3;9.0;Schick Janis (2003);;17;53.5;5;8.5;2;-0.5;8.5
+;9;17.5;Vogt Sandro (2004);;18;53.25;9;17.5;0;0.0;9.75
o;7;27.25;Mangold Martin;*;11;55.0;9;26.75;2;-0.5;8.5
+;13;35.75;Vogt Marco (2003);;19;53.0;13;35.75;0;0.0;10.0
o;10;45.75;Hermann Lukas;;10;55.25;12;45.25;2;-0.5;8.5

14d;Burkhardt Roy;;;;;;;;;;54.25
-;;;Fricker Ivo;;;;;;;;8.75
o;4;8.75;Dünner Tobias (2005);;16;53.75;2;9.75;-2;1.0;8.5
o;10;17.25;Büttler Gian;;14;54.25;10;17.25;0;0.0;8.5
+;12;25.75;Furter Jannis (2004);;19;53.0;11;26.0;-1;0.25;10.0
+;13;35.75;Reimann Marco;*;19;53.0;17;34.5;4;-1.25;10.0
o;10;45.75;Vogel Remo;*;1;65.0;13;45.0;3;-0.75;8.5

14e;Strebel Dominic (2005);;;;;;;;;;54.25
+;;;Wiedmer Lukas;;;;;;;;10.0
o;1;10.0;Schmutz Simon;*;7;56.0;3;9.0;2;-1.0;8.5
o;6;18.5;Kohler Adrian;*;9;55.5;10;17.25;4;-1.25;8.5
+;8;27.0;Regenass Reto;;20;52.75;9;26.75;1;-0.25;9.75
o;9;36.75;Ris Jörn;*;9;55.5;8;37.0;-1;0.25;8.5
-;12;45.25;Regenass Beat;;15;54.0;13;45.0;1;-0.25;9.0

15a;Gfeller Joel (2005);;;;;;;;;;54.0
+;;;Hermann Lukas;;;;;;;;9.75
+;2;9.75;Dobler Florian;;15;54.0;5;8.5;3;-1.25;10.0
o;2;19.75;Bader Fabian;*;5;56.75;6;18.5;4;-1.25;8.5
-;3;28.25;Scherrer Johann;**;13;54.5;7;27.25;4;-1.0;8.75
o;8;37.0;Grieder Nonda;;9;55.5;8;37.0;0;0.0;8.5
o;11;45.5;Bachmann Sämi;;8;55.75;10;45.75;-1;0.25;8.5

15b;Küng Marco;*;;;;;;;;;54.0
o;;;Stüdeli Thomas;**;;;;;;;8.5
+;5;8.5;Hengartner Jonas (2005);;14;54.25;2;9.75;-3;1.25;9.75
-;7;18.25;Vogt Marco (2003);;19;53.0;7;18.25;0;0.0;8.75
-;8;27.0;Vogt Fredy;;13;54.5;7;27.25;-1;0.25;8.75
o;13;35.75;Huser Roman;;9;55.5;8;37.0;-5;1.25;8.5
+;16;44.25;Vogt Sandro (2004);;18;53.25;14;44.75;-2;0.5;9.75

15c;Regenass Beat;;;;;;;;;;54.0
+;;;Christ Marino (2005);;;;;;;;9.75
+;2;9.75;Fricker Ivo;;23;45.75;4;8.75;2;-1.0;9.75
o;3;19.5;Stüdeli Thomas;**;6;56.5;7;18.25;4;-1.25;8.5
o;4;28.0;Reinhard Adrian;*;12;54.75;6;27.5;2;-0.5;8.5
o;10;36.5;Scherrer Johann;**;13;54.5;12;36.0;2;-0.5;8.5
-;13;45.0;Strebel Dominic (2005);;14;54.25;12;45.25;-1;0.25;9.0

15d;Schreiber Raphael (2004);;;;;;;;;;54.0
o;;;Streich Sascha;;;;;;;;8.5
+;5;8.5;Thommen Nick;;16;53.75;5;8.5;0;0.0;9.75
-;7;18.25;Lisser Daniel;*;28;25.75;11;17.0;4;-1.25;8.75
+;8;27.0;Schick Janis (2003);;17;53.5;9;26.75;1;-0.25;10.0
o;8;37.0;Stoll Simon;**;9;55.5;7;37.25;-1;0.25;8.5
o;11;45.5;Kohler Adrian;*;9;55.5;11;45.5;0;0.0;8.5

15e;Caviezel Nicolas (2003);;;;;;;;;;54.0
-;;;Furter Jannis (2004);;;;;;;;8.75
o;4;8.75;Nussbaumer Gabriel;;12;54.75;4;8.75;0;0.0;8.5
o;10;17.25;Nussbaumer Dominik;;16;53.75;7;18.25;-3;1.0;8.5
+;12;25.75;Herrmann Daniel (2003);;22;51.25;12;25.75;0;0.0;10.0
+;13;35.75;Jehle Aaron (2005);;16;53.75;14;35.5;1;-0.25;9.75
o;11;45.5;Schärer Nico (2004);;11;55.0;12;45.25;1;-0.25;8.5

15f;Dobler Florian;;;;;;;;;;54.0
o;;;Graber Colin;;;;;;;;8.5
o;5;8.5;Gfeller Joel (2005);;15;54.0;2;9.75;-3;1.25;8.5
o;11;17.0;Fricker Ivo;;23;45.75;11;17.0;0;0.0;8.5
+;13;25.5;Halbeisen Florian (2005);;21;52.5;13;25.5;0;0.0;10.0
+;14;35.5;Maltsev Stepan (2005);;20;52.75;14;35.5;0;0.0;10.0
o;11;45.5;Widmer David;**;13;54.5;15;44.5;4;-1.0;8.5

16a;Dünner Tobias (2005);;;;;;;;;;53.75
+;;;Thommen Nick;;;;;;;;9.75
+;2;9.75;Burkhardt Roy;;14;54.25;4;8.75;2;-1.0;9.75
-;3;19.5;Stoll Simon;**;9;55.5;6;18.5;3;-1.0;8.75
o;3;28.25;Kohler Adrian;*;9;55.5;7;27.25;4;-1.0;8.5
o;9;36.75;Schmutz Adrian;*;8;55.75;12;36.0;3;-0.75;8.5
o;12;45.25;Ancona Enea (2004);;11;55.0;12;45.25;0;0.0;8.5

16b;Abt Robin;;;;;;;;;;53.75
+;;;Kulmer Nick (2004);;;;;;;;9.75
o;2;9.75;Hasler Luis;;7;56.0;1;10.0;-1;0.25;8.5
o;7;18.25;Ris Jörn;*;9;55.5;10;17.25;3;-1.0;8.5
+;9;26.75;Hermann Lukas;;10;55.25;9;26.75;0;0.0;9.75
-;10;36.5;Probst Gabriel;**;18;53.25;12;36.0;2;-0.5;8.75
o;12;45.25;Frank Marius (2004);;1;65.0;12;45.25;0;0.0;8.5

16c;Suter Jonas (2003);;;;;;;;;;53.75
-;;;Vogt Sandro (2004);;;;;;;;8.75
+;4;8.75;Regenass Reto;;20;52.75;5;8.5;1;-0.25;9.75
o;6;18.5;Christ Dario (2003);*;10;55.25;11;17.0;5;-1.5;8.5
+;8;27.0;Vogt Marco (2003);;19;53.0;8;27.0;0;0.0;9.75
o;9;36.75;Brand Christian;**;6;56.5;9;36.75;0;0.0;8.5
o;12;45.25;Schmutz Adrian;*;8;55.75;10;45.75;-2;0.5;8.5

16d;Thommen Nick;;;;;;;;;;53.75
o;;;Dünner Tobias (2005);;;;;;;;8.5
o;5;8.5;Schreiber Raphael (2004);;15;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Steger Robert;;20;52.75;10;17.25;-1;0.25;8.5
o;13;25.5;Böni Ralf (2004);;10;55.25;12;25.75;-1;0.25;8.5
+;19;34.0;Halbeisen Florian (2005);;21;52.5;19;34.0;0;0.0;9.75
+;18;43.75;Nussbaumer Joschua (2003);;22;51.25;20;42.75;2;-1.0;10.0

16e;Stocker Niklas (2005);;;;;;;;;;53.75
+;;;Nussbaumer Joschua (2003);;;;;;;;10.0
o;1;10.0;Grieder Nonda;;9;55.5;1;10.0;0;0.0;8.5
+;6;18.5;Probst Gabriel;**;18;53.25;10;17.25;4;-1.25;9.75
o;3;28.25;Stark Urban;;10;55.25;3;28.25;0;0.0;8.5
o;9;36.75;Stüdeli Thomas;**;6;56.5;10;36.5;1;-0.25;8.5
o;12;45.25;Stoll Thomas;*;10;55.25;11;45.5;-1;0.25;8.5

16f;Jehle Aaron (2005);;;;;;;;;;53.75
o;;;Bachmann Sämi;;;;;;;;8.5
o;5;8.5;Gisin Yanic;;19;53.0;5;8.5;0;0.0;8.75
+;10;17.25;Wiedmer Lukas;;21;52.5;11;17.0;1;-0.25;9.75
o;8;27.0;Probst Gabriel;**;18;53.25;11;26.0;3;-1.0;8.5
o;14;35.5;Caviezel Nicolas (2003);;15;54.0;13;35.75;-1;0.25;8.5
+;17;44.0;Vogt Marco (2003);;19;53.0;16;44.25;-1;0.25;9.75

16g;Nussbaumer Dominik;;;;;;;;;;53.75
+;;;Stampfli Simon (2004);;;;;;;;9.75
o;2;9.75;Mangold Martin;*;11;55.0;5;8.5;3;-1.25;8.5
+;7;18.25;Caviezel Nicolas (2003);;15;54.0;10;17.25;3;-1.0;10.0
o;3;28.25;Matthey Mickaël;**;7;56.0;5;27.75;2;-0.5;8.5
o;9;36.75;Schwegler Dominik;;9;55.5;8;37.0;-1;0.25;8.5
o;12;45.25;Frank Marius (2004);;1;65.0;12;45.25;0;0.0;8.5

17a;Schick Janis (2003);;;;;;;;;;53.5
o;;;Schwegler Dominik;;;;;;;;8.5
+;5;8.5;Nyffenegger Florian;;14;54.25;3;9.0;-2;0.5;9.75
o;7;18.25;Reinhard Adrian;*;12;54.75;8;17.75;1;-0.5;8.5
o;9;26.75;Schreiber Raphael (2004);;15;54.0;8;27.0;-1;0.25;8.5
+;15;35.25;Kulmer Nick (2004);;21;52.5;15;35.25;0;0.0;9.75
o;13;45.0;Böni Ralf (2004);;10;55.25;11;45.5;-2;0.5;8.5

17b;Reinhard Roman (2005);;;;;;;;;;53.5
o;;;Vogt Marco (2003);;;;;;;;8.5
+;5;8.5;Herrmann Daniel (2003);;22;51.25;5;8.5;0;0.0;10.0
o;6;18.5;Stoll Thomas;*;10;55.25;10;17.25;4;-1.25;8.5
-;8;27.0;Hengartner Jonas (2005);;14;54.25;9;26.75;1;-0.25;9.0
-;12;36.0;Regenass Reto;;20;52.75;15;35.25;3;-0.75;9.0
o;13;45.0;Späti Jan;;12;54.75;14;44.75;1;-0.25;8.5

17c;Imobersteg Matthias;**;;;;;;;;;53.5
o;;;Odermatt Adrian;*;;;;;;;8.5
+;5;8.5;Ancona Enea (2004);;11;55.0;2;9.75;-3;1.25;9.75
o;7;18.25;Kindlimann Fabian;***;7;56.0;6;18.5;-1;0.25;8.5
+;9;26.75;Steger Robert;;20;52.75;7;27.25;-2;0.5;9.75
o;10;36.5;Vieira Tiago;**;7;56.0;7;37.25;-3;0.75;8.5
o;13;45.0;Graber Colin;;8;55.75;10;45.75;-3;0.75;8.5

18a;Probst Gabriel;**;;;;;;;;;53.25
-;;;Nussbaumer Gabriel;;;;;;;;8.75
o;4;8.75;Schmid David;***;6;56.5;5;8.5;1;-0.25;8.5
o;10;17.25;Stocker Niklas (2005);;16;53.75;6;18.5;-4;1.25;8.75
+;11;26.0;Jehle Aaron (2005);;16;53.75;8;27.0;-3;1.0;10.0
-;12;36.0;Abt Robin;;16;53.75;10;36.5;-2;0.5;8.75
o;14;44.75;Vogel Remo;*;1;65.0;13;45.0;-1;0.25;8.5

18b;Vogt Sandro (2004);;;;;;;;;;53.25
-;;;Suter Jonas (2003);;;;;;;;8.75
-;4;8.75;Furter Jannis (2004);;19;53.0;4;8.75;0;0.0;8.75
o;9;17.5;Nyffenegger Florian;;14;54.25;9;17.5;0;0.0;8.75
o;10;26.25;Rickenbacher Cedric;;19;53.0;12;25.75;2;-0.5;8.5
+;16;34.75;Herrmann Daniel (2003);;22;51.25;18;34.25;2;-0.5;10.0
o;14;44.75;Küng Marco;*;15;54.0;16;44.25;2;-0.5;8.5

19a;Vogt Marco (2003);;;;;;;;;;53.0
+;;;Reinhard Roman (2005);;;;;;;;9.75
o;2;9.75;Henzer Andreas;**;7;56.0;4;8.75;2;-1.0;8.5
-;7;18.25;Küng Marco;*;15;54.0;7;18.25;0;0.0;8.75
o;8;27.0;Suter Jonas (2003);;16;53.75;8;27.0;0;0.0;8.75
o;13;35.75;Nyffenegger Florian;;14;54.25;13;35.75;0;0.0;8.5
o;16;44.25;Jehle Aaron (2005);;16;53.75;17;44.0;1;-0.25;8.75

19b;Gisin Yanic;;;;;;;;;;53.0
o;;;Roth Tim (2004);;;;;;;;8.5
+;5;8.5;Jehle Aaron (2005);;16;53.75;5;8.5;0;0.0;10.0
-;6;18.5;Reimann Marco;*;19;53.0;11;17.0;5;-1.5;8.75
o;7;27.25;Ris Jörn;*;9;55.5;7;27.25;0;0.0;8.5
-;13;35.75;Stampfli Simon (2004);;19;53.0;13;35.75;0;0.0;8.75
o;15;44.5;Christ Marino (2005);;12;54.75;13;45.0;-2;0.5;8.5

19c;Reimann Marco;*;;;;;;;;;53.0
o;;;Stoll Simon;**;;;;;;;8.5
o;5;8.5;Stark Urban;;10;55.25;2;9.75;-3;1.25;8.5
-;11;17.0;Gisin Yanic;;19;53.0;6;18.5;-5;1.5;8.75
-;12;25.75;Stampfli Simon (2004);;19;53.0;8;27.0;-4;1.25;8.75
o;17;34.5;Burkhardt Roy;;14;54.25;13;35.75;-4;1.25;8.5
+;19;43.0;Regenass Reto;;20;52.75;16;44.25;-3;1.25;10.0

19d;Stampfli Simon (2004);;;;;;;;;;53.0
o;;;Nussbaumer Dominik;;;;;;;;8.5
-;5;8.5;Steger Robert;;20;52.75;5;8.5;0;0.0;8.75
+;10;17.25;Böni Ralf (2004);;10;55.25;10;17.25;0;0.0;9.75
-;8;27.0;Reimann Marco;*;19;53.0;12;25.75;4;-1.25;8.75
o;13;35.75;Widmer David;**;13;54.5;16;34.75;3;-1.0;8.5
-;16;44.25;Gisin Yanic;;19;53.0;15;44.5;-1;0.25;8.75

19e;Furter Jannis (2004);;;;;;;;;;53.0
-;;;Caviezel Nicolas (2003);;;;;;;;8.75
-;4;8.75;Vogt Sandro (2004);;18;53.25;4;8.75;0;0.0;8.75
o;9;17.5;Huser Roman;;9;55.5;10;17.25;1;-0.25;8.5
o;11;26.0;Burkhardt Roy;;14;54.25;12;25.75;1;-0.25;8.5
+;17;34.5;Nussbaumer Joschua (2003);;22;51.25;18;34.25;1;-0.25;10.0
o;15;44.5;Vogt Fredy;;13;54.5;15;44.5;0;0.0;8.5

19f;Rickenbacher Cedric;;;;;;;;;;53.0
-;;;Böni Ralf (2004);;;;;;;;8.75
o;4;8.75;Vogt Fredy;;13;54.5;4;8.75;0;0.0;8.5
o;10;17.25;Kulmer Nick (2004);;21;52.5;11;17.0;1;-0.25;8.5
+;12;25.75;Vogt Sandro (2004);;18;53.25;10;26.25;-2;0.5;9.75
o;14;35.5;Hermann Lukas;;10;55.25;15;35.25;1;-0.25;8.5
-;17;44.0;Maltsev Stepan (2005);;20;52.75;17;44.0;0;0.0;9.0

20a;Regenass Reto;;;;;;;;;;52.75
o;;;Schärer Nico (2004);;;;;;;;8.5
o;5;8.5;Suter Jonas (2003);;16;53.75;4;8.75;-1;0.25;8.5
+;11;17.0;Halbeisen Florian (2005);;21;52.5;11;17.0;0;0.0;9.75
o;9;26.75;Strebel Dominic (2005);;14;54.25;8;27.0;-1;0.25;8.5
-;15;35.25;Reinhard Roman (2005);;17;53.5;12;36.0;-3;0.75;9.0
o;16;44.25;Reimann Marco;*;19;53.0;19;43.0;3;-1.25;8.5

20b;Maltsev Stepan (2005);;;;;;;;;;52.75
o;;;Hengartner Tobias (2003);;;;;;;;8.5
+;5;8.5;Nussbaumer Joschua (2003);;22;51.25;5;8.5;0;0.0;10.0
o;6;18.5;Späti Jan;;12;54.75;9;17.5;3;-1.0;8.5
o;8;27.0;Christ Marino (2005);;12;54.75;9;26.75;1;-0.25;8.5
o;14;35.5;Dobler Florian;;15;54.0;14;35.5;0;0.0;8.5
-;17;44.0;Rickenbacher Cedric;;19;53.0;17;44.0;0;0.0;8.75

20c;Steger Robert;;;;;;;;;;52.75
o;;;Stark Urban;;;;;;;;8.5
-;5;8.5;Stampfli Simon (2004);;19;53.0;5;8.5;0;0.0;8.75
+;10;17.25;Thommen Nick;;16;53.75;11;17.0;1;-0.25;10.0
o;7;27.25;Imobersteg Matthias;**;17;53.5;9;26.75;2;-0.5;8.5
o;13;35.75;Bachmann Sämi;;8;55.75;12;36.0;-1;0.25;8.5
o;16;44.25;Hengartner Jonas (2005);;14;54.25;16;44.25;0;0.0;8.5

21a;Wiedmer Lukas;;;;;;;;;;52.5
o;;;Strebel Dominic (2005);;;;;;;;8.5
o;5;8.5;Hermann Lukas;;10;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Jehle Aaron (2005);;16;53.75;10;17.25;-1;0.25;8.5
+;13;25.5;Nussbaumer Joschua (2003);;22;51.25;12;25.75;-1;0.25;9.75
o;15;35.25;Böni Ralf (2004);;10;55.25;14;35.5;-1;0.25;8.5
-;18;43.75;Kulmer Nick (2004);;21;52.5;18;43.75;0;0.0;8.75

21b;Halbeisen Florian (2005);;;;;;;;;;52.5
o;;;Frank Marius (2004);;;;;;;;8.5
o;5;8.5;Regenass Reto;;20;52.75;5;8.5;0;0.0;8.5
o;11;17.0;Ancona Enea (2004);;11;55.0;7;18.25;-4;1.25;8.5
o;13;25.5;Dobler Florian;;15;54.0;13;25.5;0;0.0;8.5
o;19;34.0;Thommen Nick;;16;53.75;19;34.0;0;0.0;8.5
+;21;42.5;Herrmann Daniel (2003);;22;51.25;20;42.75;-1;0.25;10.0

21c;Kulmer Nick (2004);;;;;;;;;;52.5
o;;;Abt Robin;;;;;;;;8.5
o;5;8.5;Christ Marino (2005);;12;54.75;5;8.5;0;0.0;8.5
+;11;17.0;Rickenbacher Cedric;;19;53.0;10;17.25;-1;0.25;9.75
o;9;26.75;Christ Dario (2003);*;10;55.25;8;27.0;-1;0.25;8.5
o;15;35.25;Schick Janis (2003);;17;53.5;15;35.25;0;0.0;8.5
-;18;43.75;Wiedmer Lukas;;21;52.5;18;43.75;0;0.0;8.75

22a;Nussbaumer Joschua (2003);;;;;;;;;;51.25
o;;;Stocker Niklas (2005);;;;;;;;8.5
o;5;8.5;Maltsev Stepan (2005);;20;52.75;5;8.5;0;0.0;8.5
-;11;17.0;Herrmann Daniel (2003);;22;51.25;11;17.0;0;0.0;8.75
o;12;25.75;Wiedmer Lukas;;21;52.5;13;25.5;1;-0.25;8.5
o;18;34.25;Furter Jannis (2004);;19;53.0;17;34.5;-1;0.25;8.5
o;20;42.75;Thommen Nick;;16;53.75;18;43.75;-2;1.0;8.5

22b;Herrmann Daniel (2003);;;;;;;;;;51.25
o;;;Hengartner Jonas (2005);;;;;;;;8.5
o;5;8.5;Reinhard Roman (2005);;17;53.5;5;8.5;0;0.0;8.5
-;11;17.0;Nussbaumer Joschua (2003);;22;51.25;11;17.0;0;0.0;8.75
o;12;25.75;Caviezel Nicolas (2003);;15;54.0;12;25.75;0;0.0;8.5
o;18;34.25;Vogt Sandro (2004);;18;53.25;16;34.75;-2;0.5;8.5
o;20;42.75;Halbeisen Florian (2005);;21;52.5;21;42.5;1;-0.25;8.5

23a;Fricker Ivo;;;;;;;;;;45.75
-;;;Burkhardt Roy;;;;;;;;8.75
o;4;8.75;Regenass Beat;;15;54.0;2;9.75;-2;1.0;8.25
+;11;17.0;Dobler Florian;;15;54.0;11;17.0;0;0.0;10.0
-;8;27.0;Stegmüller Klemens;*;12;54.75;9;26.75;1;-0.25;9.0
+;12;36.0;Vogt Fredy;;13;54.5;12;36.0;0;0.0;9.75

24a;Hengartner Tobias (2003);;;;;;;;;;36.25
+;;;Maltsev Stepan (2005);;;;;;;;9.75
-;2;9.75;Vogel Remo;*;1;65.0;5;8.5;3;-1.25;9.0
o;5;18.75;Schwegler Dominik;;9;55.5;6;18.5;1;-0.25;8.75
o;6;27.5;Roth Tim (2004);;10;55.25;3;28.25;-3;0.75;8.75

25a;Suppiger René;***;;;;;;;;;36.0
o;;;Döbeli Andreas;***;;;;;;;8.75
-;4;8.75;Hügli Kaj;**;7;56.0;1;10.0;-3;1.25;8.75
+;9;17.5;Mangold Martin;*;11;55.0;7;18.25;-2;0.75;9.75
-;7;27.25;Brand Christian;**;6;56.5;4;28.0;-3;0.75;8.75

26a;Duplan Steve;***;;;;;;;;;35.75
+;;;Hermann Oliver;**;;;;;;;10.0
-;1;10.0;Odermatt Adrian;*;3;57.25;1;10.0;0;0.0;8.75
o;5;18.75;Strebel Joel;***;6;56.5;6;18.5;1;-0.25;8.5
o;7;27.25;Schmid Samuel;**;6;56.5;3;28.25;-4;1.0;8.5

27a;Müller Christian;;;;;;;;;;35.5
+;;;Huser Roman;;;;;;;;10.0
o;1;10.0;Stegmüller Klemens;*;12;54.75;5;8.5;4;-1.5;8.5
o;6;18.5;Scherrer Johann;**;13;54.5;10;17.25;4;-1.25;8.5
o;8;27.0;Streich Sascha;;12;54.75;6;27.5;-2;0.5;8.5

28a;Lisser Daniel;*;;;;;;;;;25.75
o;;;Hasler Luis;;;;;;;;8.5
o;5;8.5;Brun Samuel;**;7;56.0;3;9.0;-2;0.5;8.5
-;11;17.0;Schreiber Raphael (2004);;15;54.0;7;18.25;-4;1.25;8.75

