3310-2016-05-29_102_StGaller_Kantonalschwingfest-ST

1a;Clopath Beat;***;;;;;;;;;58.25
11g;Fejzaj Naim;*;;;;;;;;;55.5
+;;;Rüegg Roman;*;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;8;56.25;5;8.5;4;-1.5;8.5
+;6;18.5;Zinniel Markus;*;23;35.5;6;18.5;0;0.0;9.75
+;4;28.25;Stauffacher Martin (1998);;18;53.75;4;28.25;0;0.0;10.0
-;3;38.25;Eugster Ruedi;**;13;55.0;7;37.25;4;-1.0;8.75
o;6;47.0;Bühler Ernst;**;5;57.0;6;47.0;0;0.0;8.5

11h;Bernold Christian;*;;;;;;;;;55.5
o;;;Steiner Michael;**;;;;;;;8.5
+;5;8.5;Koller Fabian;;17;54.0;1;10.0;-4;1.5;10.0
+;6;18.5;Schlegel Sämi (2000);;21;53.0;6;18.5;0;0.0;10.0
o;3;28.5;Fässler Andreas;**;5;57.0;4;28.25;1;-0.25;8.5
+;8;37.0;Wetter Silvan (2000);;17;54.0;8;37.0;0;0.0;10.0
o;6;47.0;Krähenbühl Tobias;**;6;56.75;6;47.0;0;0.0;8.5

11i;Steiner Michael;**;;;;;;;;;55.5
+;;;Bernold Christian;*;;;;;;;10.0
o;1;10.0;Bless Michael;***;7;56.5;5;8.5;4;-1.5;8.5
+;6;18.5;Wild Thomas;;11;55.5;6;18.5;0;0.0;10.0
-;3;28.5;Kuster Marcel;**;7;56.5;7;27.5;4;-1.0;8.75
+;7;37.25;Güntensperger Marcel;*;12;55.25;9;36.75;2;-0.5;9.75
o;6;47.0;Rhyner Michael;**;7;56.5;7;46.75;1;-0.25;8.5

11j;Schwyn Adrian;;;;;;;;;;55.5
+;;;Schlegel Sämi (2000);;;;;;;;9.75
-;2;9.75;Bernold Edi;**;9;56.0;4;8.75;2;-1.0;8.75
-;6;18.5;Lieberherr Michael (1999);;17;54.0;6;18.5;0;0.0;8.75
o;8;27.25;Wild Thomas;;11;55.5;9;27.0;1;-0.25;8.75
+;12;36.0;Ulmann Fabian (1999);;15;54.5;12;36.0;0;0.0;9.75
+;11;45.75;Arnold Christian;;17;54.0;12;45.5;1;-0.25;9.75

11k;Elmer Daniel;*;;;;;;;;;55.5
-;;;Scheiwiller Andreas;*;;;;;;;8.75
+;4;8.75;Schegg Michael;;19;53.5;2;9.75;-2;1.0;10.0
+;5;18.75;Koller Fabian;;17;54.0;6;18.5;1;-0.25;10.0
o;2;28.75;Schneider Domenic;**;5;57.0;8;27.25;6;-1.5;8.5
+;7;37.25;Roth Peter (1998);;16;54.25;8;37.0;1;-0.25;9.75
o;6;47.0;Orlik Curdin;**;6;56.75;6;47.0;0;0.0;8.5

11l;Wild Thomas;;;;;;;;;;55.5
+;;;Bärtsch Fabian (2000);;;;;;;;10.0
o;1;10.0;Bühler Ernst;**;5;57.0;4;8.75;3;-1.25;8.5
o;6;18.5;Steiner Michael;**;11;55.5;6;18.5;0;0.0;8.5
+;9;27.0;Schwyn Adrian;;11;55.5;8;27.25;-1;0.25;10.0
+;8;37.0;Schmid Sascha (1999);;19;53.5;10;36.5;2;-0.5;10.0
o;6;47.0;Gmür Pirmin;*;6;56.75;6;47.0;0;0.0;8.5

11m;Räbsamen Marcel (2000);;;;;;;;;;55.5
+;;;Raymann Jan (1999);;;;;;;;9.75
+;2;9.75;Gschwend Walter;*;28;34.25;4;8.75;2;-1.0;10.0
o;2;19.75;Notz Hans;*;14;54.75;7;18.25;5;-1.5;8.5
o;4;28.25;Schmucki Ivo;;10;55.75;3;28.5;-1;0.25;8.75
+;8;37.0;Schegg Daniel (2000);;19;53.5;10;36.5;2;-0.5;10.0
o;6;47.0;Giger Samuel (1998);**;5;57.0;6;47.0;0;0.0;8.5

11n;Schlegel Reto;*;;;;;;;;;55.5
+;;;Kuster Thomas;*;;;;;;;10.0
o;1;10.0;Krähenbühl Tobias;**;6;56.75;5;8.5;4;-1.5;8.5
+;6;18.5;Breitenmoser Simon;;15;54.5;6;18.5;0;0.0;10.0
+;3;28.5;Koller Andreas (1998);;18;53.75;4;28.25;1;-0.25;10.0
o;2;38.5;Schneider Domenic;**;5;57.0;7;37.25;5;-1.25;8.5
o;6;47.0;Knechtle Martin;**;5;57.0;5;47.25;-1;0.25;8.5

11o;Vogel Beat;*;;;;;;;;;55.5
o;;;Zbinden Marc;*;;;;;;;8.5
o;5;8.5;Lozza Roman;;17;54.0;1;10.0;-4;1.5;8.5
+;11;17.0;Raschle Adrian;;24;35.25;7;18.25;-4;1.25;9.75
+;10;26.75;Sonderegger Damian;;23;35.5;9;27.0;-1;0.25;10.0
-;9;36.75;Reber Marcel;*;9;56.0;7;37.25;-2;0.5;8.75
+;12;45.5;Müller Elias;;16;54.25;11;45.75;-1;0.25;10.0

11p;Hobi Ignaz;;;;;;;;;;55.5
o;;;Scheiwiller Tobias;;;;;;;;8.5
+;5;8.5;Fuster Sepp;;17;54.0;5;8.5;0;0.0;9.75
-;7;18.25;Ueltschi Patric;*;23;35.5;11;17.0;4;-1.25;9.0
+;8;27.25;Eisenring Leandro (2000);;23;35.5;9;27.0;1;-0.25;10.0
o;7;37.25;Roth Martin;*;11;55.5;7;37.25;0;0.0;8.5
+;11;45.75;Koller Fabian;;17;54.0;12;45.5;1;-0.25;9.75

11q;Fausch Kjetil;;;;;;;;;;55.5
+;;;Jörger Marc;;;;;;;;9.75
o;2;9.75;Brühlmann Martin;*;12;55.25;4;8.75;2;-1.0;8.5
+;7;18.25;Stadelmann Patrick (2000);;24;35.25;7;18.25;0;0.0;10.0
-;4;28.25;Bäbler Dominik;*;19;53.5;8;27.25;4;-1.0;8.75
+;8;37.0;Büsser André;;12;55.25;8;37.0;0;0.0;9.75
o;7;46.75;Rüegg Fabian;*;6;56.75;7;46.75;0;0.0;8.75

12a;Schiess Christian;;;;;;;;;;55.25
+;;;Gerig Marcel;;;;;;;;9.75
o;2;9.75;Good Marco;*;9;56.0;3;9.0;1;-0.75;8.5
+;7;18.25;Schegg Michael;;19;53.5;7;18.25;0;0.0;10.0
o;4;28.25;Hämmerli Gian-Franco;*;12;55.25;9;27.0;5;-1.25;8.5
+;9;36.75;Lozza Roman;;17;54.0;8;37.0;-1;0.25;10.0
o;7;46.75;Coray Beda;*;8;56.25;8;46.5;1;-0.25;8.5

12b;Schrepfer Chris;;;;;;;;;;55.25
+;;;Streule Marco;;;;;;;;10.0
o;1;10.0;Oertig Adrian;**;11;55.5;5;8.5;4;-1.5;8.5
+;6;18.5;Moser Andrin (2000);;23;35.5;6;18.5;0;0.0;10.0
o;3;28.5;Knechtle Martin;**;5;57.0;7;27.5;4;-1.0;8.5
o;8;37.0;Harder Benj;;12;55.25;9;36.75;1;-0.25;8.5
+;12;45.5;Wetter Silvan (2000);;17;54.0;12;45.5;0;0.0;9.75

12c;Kobler Janosch (2000);;;;;;;;;;55.25
o;;;Langenegger Remo;;;;;;;;8.5
+;5;8.5;Eisenring Leandro (2000);;23;35.5;1;10.0;-4;1.5;9.75
o;7;18.25;Ammann Rico;*;12;55.25;11;17.0;4;-1.25;8.5
+;10;26.75;Oppliger Matthias (1999);;23;35.5;9;27.0;-1;0.25;10.0
o;9;36.75;Brühlmann Martin;*;12;55.25;8;37.0;-1;0.25;8.5
+;13;45.25;Zahner Stefan;;17;54.0;12;45.5;-1;0.25;10.0

12d;Elmer Adrian;;;;;;;;;;55.25
-;;;Zinniel Markus;*;;;;;;;8.75
+;4;8.75;Roth Peter (1998);;16;54.25;5;8.5;1;-0.25;10.0
+;5;18.75;Schlegel Beni (1999);;23;35.5;6;18.5;1;-0.25;9.75
o;3;28.5;Peterer Ivan;**;17;54.0;9;27.0;6;-1.5;8.5
o;8;37.0;Egli Martin;;13;55.0;9;36.75;1;-0.25;8.5
+;12;45.5;Schönenberger Philipp;;16;54.25;11;45.75;-1;0.25;9.75

12e;Büsser André;;;;;;;;;;55.25
o;;;Koch Thomas;;;;;;;;8.5
+;5;8.5;Nigg Kaspar;;23;35.5;1;10.0;-4;1.5;10.0
o;6;18.5;Krähenbühl Tobias;**;6;56.75;7;18.25;1;-0.25;8.5
+;9;27.0;Frei Kilian (2000);;23;35.5;9;27.0;0;0.0;10.0
o;8;37.0;Fausch Kjetil;;11;55.5;8;37.0;0;0.0;8.5
+;12;45.5;Lozza Roman;;17;54.0;12;45.5;0;0.0;9.75

12f;Hämmerli Gian-Franco;*;;;;;;;;;55.25
o;;;Notz Hans;*;;;;;;;8.5
+;5;8.5;Gubler Daniel;;23;35.5;1;10.0;-4;1.5;9.75
-;7;18.25;Ulmann Fabian (1999);;15;54.5;6;18.5;-1;0.25;8.75
+;9;27.0;Schiess Christian;;12;55.25;4;28.25;-5;1.25;10.0
+;8;37.0;Fuster Sepp;;17;54.0;9;36.75;1;-0.25;9.75
o;7;46.75;Notz Beni;***;10;55.75;10;46.0;3;-0.75;8.5

12g;Harder Benj;;;;;;;;;;55.25
o;;;Wicki Cédric;;;;;;;;8.5
+;5;8.5;Raymann Jan (1999);;29;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Krähenbühl Lukas;*;13;55.0;6;18.5;-1;0.25;8.5
+;10;26.75;Zumbach Michael;;17;54.0;9;27.0;-1;0.25;10.0
+;9;36.75;Schrepfer Chris;;12;55.25;8;37.0;-1;0.25;10.0
o;7;46.75;Rüegg Roman;*;9;56.0;10;46.0;3;-0.75;8.5

12h;Marty Jaime (2000);;;;;;;;;;55.25
o;;;Fontana Michael;;;;;;;;8.5
+;5;8.5;Moser Andrin (2000);;23;35.5;1;10.0;-4;1.5;10.0
o;6;18.5;Oertig Adrian;**;11;55.5;7;18.25;1;-0.25;8.5
+;9;27.0;Eisenring Daniel;;16;54.25;8;27.25;-1;0.25;10.0
+;8;37.0;Peterer Ivan;**;17;54.0;8;37.0;0;0.0;9.75
o;7;46.75;Scherer Christian;*;9;56.0;9;46.25;2;-0.5;8.5

12i;Baumann Simon;;;;;;;;;;55.25
-;;;Büsser Remo;;;;;;;;8.75
+;4;8.75;Streule Marco;;22;52.75;5;8.5;1;-0.25;9.75
o;6;18.5;Rüegg Fabian;*;6;56.75;6;18.5;0;0.0;8.5
+;9;27.0;Steiner Michael (1998);;23;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Scheiwiller Tobias;;11;55.5;8;37.0;-1;0.25;8.5
+;13;45.25;Schmid Sascha (1999);;19;53.5;14;45.0;1;-0.25;10.0

12j;Güntensperger Marcel;*;;;;;;;;;55.25
o;;;Bühler Hannes;*;;;;;;;8.5
+;5;8.5;Schwyn Patrick (1999);;19;53.5;2;9.75;-3;1.25;10.0
+;6;18.5;Nigg Kaspar;;23;35.5;6;18.5;0;0.0;9.75
o;4;28.25;Battaglia Ursin;**;12;55.25;4;28.25;0;0.0;8.5
o;9;36.75;Steiner Michael;**;11;55.5;7;37.25;-2;0.5;8.5
+;13;45.25;Schegg Daniel (2000);;19;53.5;14;45.0;1;-0.25;10.0

12k;Vollmeier Sandro;;;;;;;;;;55.25
+;;;Tritten Robin (1998);;;;;;;;10.0
+;1;10.0;Ueltschi Patric;*;23;35.5;5;8.5;4;-1.5;9.75
o;2;19.75;Gmür Pirmin;*;6;56.75;6;18.5;4;-1.25;8.5
+;4;28.25;Lozza Roman;;17;54.0;3;28.5;-1;0.25;10.0
o;3;38.25;Bühler Ernst;**;5;57.0;7;37.25;4;-1.0;8.5
o;7;46.75;Truniger Manuel;;6;56.75;7;46.75;0;0.0;8.5

12l;Brühlmann Martin;*;;;;;;;;;55.25
-;;;Holenstein Christian;*;;;;;;;8.75
+;4;8.75;Fausch Kjetil;;11;55.5;2;9.75;-2;1.0;9.75
+;6;18.5;Schmucki Ivo;;10;55.75;1;20.0;-5;1.5;9.75
o;4;28.25;Oertig Dominik;*;8;56.25;4;28.25;0;0.0;8.75
+;8;37.0;Kobler Janosch (2000);;12;55.25;9;36.75;1;-0.25;9.75
o;7;46.75;Bösch Daniel;***;8;56.25;8;46.5;1;-0.25;8.5

12m;Battaglia Ursin;**;;;;;;;;;55.25
o;;;Kamer Hanspeter;*;;;;;;;8.5
+;5;8.5;Pfister Florian;*;6;56.75;2;9.75;-3;1.25;9.75
+;7;18.25;Schrepfer Roy;;14;54.75;5;18.75;-2;0.5;10.0
+;4;28.25;Güntensperger Marcel;*;12;55.25;4;28.25;0;0.0;9.75
o;4;38.0;Oertig Dominik;*;8;56.25;4;38.0;0;0.0;8.75
o;7;46.75;Bless Michael;***;7;56.5;7;46.75;0;0.0;8.5

12n;Ammann Rico;*;;;;;;;;;55.25
o;;;Rüegg Fabian;*;;;;;;;8.5
o;5;8.5;Schmucki Ivo;;10;55.75;1;10.0;-4;1.5;8.5
+;11;17.0;Kobler Janosch (2000);;12;55.25;7;18.25;-4;1.25;9.75
-;10;26.75;Pfister Florian;*;6;56.75;5;28.0;-5;1.25;9.0
+;13;35.75;Bischof Martin;;17;54.0;9;36.75;-4;1.0;9.75
+;12;45.5;Peterer Ivan;**;17;54.0;12;45.5;0;0.0;9.75

12o;Bühler Hannes;*;;;;;;;;;55.25
+;;;Güntensperger Marcel;*;;;;;;;9.75
+;2;9.75;Schläpfer Markus;**;6;56.75;3;9.0;1;-0.75;9.75
o;3;19.5;Bösch Daniel;***;8;56.25;6;18.5;3;-1.0;8.5
+;5;28.0;Breitenmoser Manuel;;10;55.75;4;28.25;-1;0.25;9.75
-;5;37.75;Bleiker Reto;*;8;56.25;6;37.5;1;-0.25;8.75
o;8;46.5;Kuster Marcel;**;7;56.5;8;46.5;0;0.0;8.75

12p;Koch Thomas;;;;;;;;;;55.25
+;;;Büsser André;;;;;;;;10.0
o;1;10.0;Rhyner Michael;**;7;56.5;5;8.5;4;-1.5;8.5
o;6;18.5;Good Marco;*;9;56.0;4;19.0;-2;0.5;8.75
+;8;27.25;Koller Fabian;;17;54.0;8;27.25;0;0.0;9.75
o;8;37.0;Streuli Martin;*;10;55.75;7;37.25;-1;0.25;8.5
+;12;45.5;Pfleghart Remo;;18;53.75;13;45.25;1;-0.25;9.75

12q;Baumgartner Alexander;;;;;;;;;;55.25
+;;;Roth Peter (1998);;;;;;;;9.75
o;2;9.75;Holenstein Christian;*;10;55.75;4;8.75;2;-1.0;8.5
+;7;18.25;Frei Kilian (2000);;23;35.5;6;18.5;-1;0.25;10.0
+;4;28.25;Hengartner Ivo;;11;55.5;8;27.25;4;-1.0;9.75
o;4;38.0;Kuster Marcel;**;7;56.5;10;36.5;6;-1.5;8.75
o;7;46.75;Hersche Martin;**;5;57.0;6;47.0;-1;0.25;8.5

12r;Ott Damian (2000);;;;;;;;;;55.25
+;;;Roth Michael (1999);;;;;;;;10.0
o;1;10.0;Bleiker Reto;*;8;56.25;4;8.75;3;-1.25;8.5
+;6;18.5;Steiner Michael (1998);;23;35.5;6;18.5;0;0.0;10.0
o;3;28.5;Rüegg Fabian;*;6;56.75;3;28.5;0;0.0;8.5
+;8;37.0;Tremp Remo (1999);;18;53.75;9;36.75;1;-0.25;9.75
o;7;46.75;Giger Urs;*;8;56.25;9;46.25;2;-0.5;8.5

12s;Rütsche Stefan;*;;;;;;;;;55.25
-;;;Gschwend Walter;*;;;;;;;8.75
+;4;8.75;Winzeler Dominik (2000);;23;35.5;5;8.5;1;-0.25;9.75
+;6;18.5;Zumbach Michael;;17;54.0;6;18.5;0;0.0;9.75
o;4;28.25;Sprecher Sandro;*;10;55.75;6;27.75;2;-0.5;8.5
+;9;36.75;Schrepfer Roy;;14;54.75;7;37.25;-2;0.5;10.0
o;7;46.75;Schneider Domenic;**;5;57.0;6;47.0;-1;0.25;8.5

12t;Kamer Hanspeter;*;;;;;;;;;55.25
+;;;Battaglia Ursin;**;;;;;;;9.75
o;2;9.75;Peng Mike;***;9;56.0;4;8.75;2;-1.0;8.5
+;7;18.25;Bommer Christoph;;23;35.5;6;18.5;-1;0.25;10.0
+;4;28.25;Bärtsch Fabian (2000);;13;55.0;4;28.25;0;0.0;10.0
o;3;38.25;Schneider Mario;**;2;57.75;4;38.0;1;-0.25;8.5
o;7;46.75;Pfister Florian;*;6;56.75;6;47.0;-1;0.25;8.5

13a;Jörger Marc;;;;;;;;;;55.0
o;;;Fausch Kjetil;;;;;;;;8.5
+;5;8.5;Rotach Lars (2000);;23;35.5;1;10.0;-4;1.5;10.0
o;6;18.5;Rhyner Michael;**;7;56.5;7;18.25;1;-0.25;8.75
+;8;27.25;Alder Armin;;11;55.5;8;27.25;0;0.0;10.0
-;7;37.25;Scherer Christian;*;9;56.0;7;37.25;0;0.0;9.0
-;9;46.25;Eugster Ruedi;**;13;55.0;10;46.0;1;-0.25;8.75

13b;Egli Martin;;;;;;;;;;55.0
+;;;Ulmann Fabian (1999);;;;;;;;9.75
-;2;9.75;Scheiwiller Andreas;*;25;35.0;4;8.75;2;-1.0;8.75
o;6;18.5;Bärtsch Fabian (2000);;13;55.0;7;18.25;1;-0.25;8.5
+;9;27.0;Raymann Jan (1999);;29;34.0;14;25.5;5;-1.5;9.75
+;9;36.75;Elmer Adrian;;12;55.25;8;37.0;-1;0.25;9.75
o;8;46.5;Schläpfer Matthias;*;10;55.75;11;45.75;3;-0.75;8.5

13c;Gerig Marcel;;;;;;;;;;55.0
o;;;Schiess Christian;;;;;;;;8.5
+;5;8.5;Winzeler Simon (2000);;23;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Nigg Jakob (1999);;16;54.25;9;17.5;2;-0.75;8.5
+;10;26.75;Lieberherr Michael (1999);;17;54.0;8;27.25;-2;0.5;9.75
o;10;36.5;Näf Pius;*;10;55.75;12;36.0;2;-0.5;8.5
+;14;45.0;Schegg Michael;;19;53.5;14;45.0;0;0.0;10.0

13d;Eugster Ruedi;**;;;;;;;;;55.0
-;;;Orlik Armon;**;;;;;;;8.75
+;4;8.75;Langenegger Remo;;14;54.75;2;9.75;-2;1.0;10.0
+;5;18.75;Koller Andreas (1998);;18;53.75;2;19.75;-3;1.0;9.75
-;3;28.5;Clopath Beat;***;1;58.25;1;29.5;-2;1.0;8.75
-;7;37.25;Fejzaj Naim;*;11;55.5;3;38.25;-4;1.0;8.75
-;10;46.0;Jörger Marc;;13;55.0;9;46.25;-1;0.25;9.0

13e;Bärtsch Fabian (2000);;;;;;;;;;55.0
o;;;Wild Thomas;;;;;;;;8.5
+;5;8.5;Dobler Lorenz (2000);;29;34.0;5;8.5;0;0.0;9.75
+;7;18.25;Egli Martin;;13;55.0;6;18.5;-1;0.25;10.0
o;4;28.25;Kamer Hanspeter;*;12;55.25;4;28.25;0;0.0;8.5
+;9;36.75;Weber Erwin (2000);;18;53.75;9;36.75;0;0.0;9.75
o;8;46.5;Reber Marcel;*;9;56.0;10;46.0;2;-0.5;8.5

13f;Hersche Daniel;;;;;;;;;;55.0
o;;;Pfiffner Ivo;;;;;;;;8.75
+;4;8.75;Zahner Stefan;;17;54.0;4;8.75;0;0.0;9.75
o;6;18.5;Wickli Beat;**;6;56.75;11;17.0;5;-1.5;8.5
+;9;27.0;Thoma Nils (1999);;24;35.25;10;26.75;1;-0.25;9.75
o;9;36.75;Bernold Edi;**;9;56.0;7;37.25;-2;0.5;8.5
+;13;45.25;Zumbach Michael;;17;54.0;12;45.5;-1;0.25;9.75

13g;Krähenbühl Lukas;*;;;;;;;;;55.0
+;;;Ueltschi Patric;*;;;;;;;9.75
-;2;9.75;Bäbler Dominik;*;19;53.5;5;8.5;3;-1.25;8.75
+;6;18.5;Harder Benj;;12;55.25;7;18.25;1;-0.25;10.0
-;3;28.5;Vestner Roman;*;10;55.75;4;28.25;1;-0.25;9.0
o;6;37.5;Wickli Beat;**;6;56.75;8;37.0;2;-0.5;8.5
-;10;46.0;Breitenmoser Manuel;;10;55.75;7;46.75;-3;0.75;9.0

13h;Keller Dominic;;;;;;;;;;55.0
o;;;Scherrer Willi;;;;;;;;8.5
+;5;8.5;Stadelmann Patrick (2000);;24;35.25;2;9.75;-3;1.25;9.75
+;7;18.25;Rütsche Werner;;14;54.75;7;18.25;0;0.0;9.75
o;5;28.0;Bernold Edi;**;9;56.0;7;27.5;2;-0.5;8.5
o;10;36.5;Schläpfer Matthias;*;10;55.75;13;35.75;3;-0.75;8.5
+;14;45.0;Weber Erwin (2000);;18;53.75;13;45.25;-1;0.25;10.0

14a;Notz Hans;*;;;;;;;;;54.75
+;;;Hämmerli Gian-Franco;*;;;;;;;9.75
o;2;9.75;Peterer Ivan;**;17;54.0;1;10.0;-1;0.25;8.5
+;7;18.25;Räbsamen Marcel (2000);;11;55.5;2;19.75;-5;1.5;9.75
+;5;28.0;Truniger Manuel;;6;56.75;3;28.5;-2;0.5;9.75
o;5;37.75;Zwyssig Raphael;***;5;57.0;8;37.0;3;-0.75;8.5
o;9;46.25;Wickli Beat;**;6;56.75;7;46.75;-2;0.5;8.5

14b;Rütsche Werner;;;;;;;;;;54.75
+;;;Herrsche Lars (1998);;;;;;;;9.75
o;2;9.75;Reber Marcel;*;9;56.0;4;8.75;2;-1.0;8.5
o;7;18.25;Keller Dominic;;13;55.0;7;18.25;0;0.0;8.5
+;10;26.75;Roth Sämi (2000);;24;35.25;10;26.75;0;0.0;9.75
o;10;36.5;Oertig Adrian;**;11;55.5;9;36.75;-1;0.25;8.5
+;14;45.0;Schwyn Patrick (1999);;19;53.5;14;45.0;0;0.0;9.75

14c;Langenegger Remo;;;;;;;;;;54.75
+;;;Kobler Janosch (2000);;;;;;;;9.75
o;2;9.75;Eugster Ruedi;**;13;55.0;4;8.75;2;-1.0;8.5
+;7;18.25;Schmid Sascha (1999);;19;53.5;7;18.25;0;0.0;9.75
o;5;28.0;Streuli Martin;*;10;55.75;7;27.5;2;-0.5;8.5
o;10;36.5;Pfister Florian;*;6;56.75;8;37.0;-2;0.5;8.5
+;14;45.0;Tremp Remo (1999);;18;53.75;13;45.25;-1;0.25;9.75

14d;Büsser Remo;;;;;;;;;;54.75
-;;;Baumann Simon;;;;;;;;8.75
-;4;8.75;Nigg Jakob (1999);;16;54.25;4;8.75;0;0.0;8.75
+;9;17.5;Winzeler Simon (2000);;23;35.5;11;17.0;2;-0.5;10.0
+;7;27.5;Ott Dominik;*;27;34.5;12;26.0;5;-1.5;9.75
-;7;37.25;Scherrer Willi;;15;54.5;8;37.0;1;-0.25;9.0
o;9;46.25;Bleiker Reto;*;8;56.25;9;46.25;0;0.0;8.5

14e;Schrepfer Roy;;;;;;;;;;54.75
+;;;Rhyner Marco;;;;;;;;10.0
-;1;10.0;Keller Lukas;;18;53.75;4;8.75;3;-1.25;8.75
o;5;18.75;Battaglia Ursin;**;12;55.25;7;18.25;2;-0.5;8.5
+;8;27.25;Rotach Lars (2000);;23;35.5;9;27.0;1;-0.25;10.0
o;7;37.25;Rütsche Stefan;*;12;55.25;9;36.75;2;-0.5;8.75
-;10;46.0;Bänziger Peter;;14;54.75;10;46.0;0;0.0;8.75

14f;Bänziger Peter;;;;;;;;;;54.75
-;;;Pfleghart Remo;;;;;;;;8.75
+;4;8.75;Beck Dominik;;23;35.5;1;10.0;-3;1.25;9.75
-;6;18.5;Ott Dominik;*;27;34.5;10;17.25;4;-1.25;8.75
+;8;27.25;Gubler Daniel;;23;35.5;9;27.0;1;-0.25;10.0
-;7;37.25;Hochholdinger Roman;**;15;54.5;7;37.25;0;0.0;8.75
-;10;46.0;Schrepfer Roy;;14;54.75;10;46.0;0;0.0;8.75

15a;Ulmann Fabian (1999);;;;;;;;;;54.5
o;;;Egli Martin;;;;;;;;8.5
+;5;8.5;Kamm Kurt;;23;35.5;5;8.5;0;0.0;10.0
-;6;18.5;Hämmerli Gian-Franco;*;12;55.25;7;18.25;1;-0.25;8.75
-;8;27.25;Meier Joel (1999);;21;53.0;9;27.0;1;-0.25;8.75
o;12;36.0;Schwyn Adrian;;11;55.5;12;36.0;0;0.0;8.5
+;16;44.5;Schlegel Sämi (2000);;21;53.0;16;44.5;0;0.0;10.0

15b;Schönenberger Björn;;;;;;;;;;54.5
+;;;Roth Markus;;;;;;;;10.0
o;1;10.0;Oertig Dominik;*;8;56.25;5;8.5;4;-1.5;8.5
-;6;18.5;Pfiffner Ivo;;10;55.75;6;18.5;0;0.0;8.75
-;8;27.25;Scheiwiller Andreas;*;25;35.0;11;26.25;3;-1.0;8.75
o;12;36.0;Fontana Michael;;10;55.75;12;36.0;0;0.0;8.5
+;16;44.5;Meier Joel (1999);;21;53.0;16;44.5;0;0.0;10.0

15c;Breitenmoser Simon;;;;;;;;;;54.5
o;;;Koller Andreas (1998);;;;;;;;8.5
+;5;8.5;Meier Joel (1999);;21;53.0;1;10.0;-4;1.5;10.0
o;6;18.5;Schlegel Reto;*;11;55.5;6;18.5;0;0.0;8.75
-;8;27.25;Rhyner Marco;;23;35.5;10;26.75;2;-0.5;9.0
+;11;36.25;Koch Reto;;15;54.5;11;36.25;0;0.0;9.75
o;10;46.0;Sprecher Sandro;*;10;55.75;10;46.0;0;0.0;8.5

15d;Hochholdinger Roman;**;;;;;;;;;54.5
-;;;Gmür Pirmin;*;;;;;;;8.75
+;4;8.75;Schönenberger Philipp;;16;54.25;2;9.75;-2;1.0;10.0
-;5;18.75;Kuster Marcel;**;7;56.5;5;18.75;0;0.0;8.75
+;7;27.5;Näf Pius;*;10;55.75;7;27.5;0;0.0;9.75
-;7;37.25;Bänziger Peter;;14;54.75;7;37.25;0;0.0;8.75
o;10;46.0;Schläpfer Markus;**;6;56.75;7;46.75;-3;0.75;8.5

15e;Scherrer Willi;;;;;;;;;;54.5
+;;;Keller Dominic;;;;;;;;10.0
o;1;10.0;Näf Pius;*;10;55.75;4;8.75;3;-1.25;8.5
+;6;18.5;Meier Joel (1999);;21;53.0;6;18.5;0;0.0;10.0
o;3;28.5;Schläpfer Markus;**;6;56.75;8;27.25;5;-1.25;8.5
-;8;37.0;Büsser Remo;;14;54.75;7;37.25;-1;0.25;9.0
o;10;46.0;Fontana Michael;;10;55.75;10;46.0;0;0.0;8.5

15f;Koch Reto;;;;;;;;;;54.5
+;;;Alder Armin;;;;;;;;9.75
o;2;9.75;Knechtle Martin;**;5;57.0;4;8.75;2;-1.0;8.75
-;6;18.5;Schönenberger Philipp;;16;54.25;7;18.25;1;-0.25;9.0
o;7;27.5;Baumann Rico;*;10;55.75;7;27.5;0;0.0;8.75
o;11;36.25;Breitenmoser Simon;;15;54.5;11;36.25;0;0.0;8.5
+;15;44.75;Stauffacher Martin (1998);;18;53.75;13;45.25;-2;0.5;9.75

16a;Bernold Michael (1999);;;;;;;;;;54.25
o;;;Hengartner Ivo;;;;;;;;8.5
+;5;8.5;Schmid Sascha (1999);;19;53.5;2;9.75;-3;1.25;9.75
o;7;18.25;Baumann Rico;*;10;55.75;8;17.75;1;-0.5;8.75
+;9;27.0;Bommer Christoph;;23;35.5;9;27.0;0;0.0;10.0
o;8;37.0;Knechtle Martin;**;5;57.0;7;37.25;-1;0.25;8.5
-;12;45.5;Fuster Sepp;;17;54.0;13;45.25;1;-0.25;8.75

16b;Müller Elias;;;;;;;;;;54.25
o;;;Tremp Remo (1999);;;;;;;;8.5
-;5;8.5;Roth Markus;;22;52.75;5;8.5;0;0.0;9.0
o;9;17.5;Fuster Sepp;;17;54.0;11;17.0;2;-0.5;8.5
+;12;26.0;Roth Michael (1999);;26;34.75;11;26.25;-1;0.25;10.0
+;12;36.0;Meier Joel (1999);;21;53.0;13;35.75;1;-0.25;9.75
o;11;45.75;Vogel Beat;*;11;55.5;12;45.5;1;-0.25;8.5

16c;Schönenberger Philipp;;;;;;;;;;54.25
+;;;Winzeler Dominik (2000);;;;;;;;9.75
o;2;9.75;Hochholdinger Roman;**;15;54.5;4;8.75;2;-1.0;8.5
