3310-2016-05-29_102_StGaller_Kantonalschwingfest-ST

1a;Clopath Beat;***;;;;;;;;;58.25
+;8;37.0;Notz Hans;*;14;54.75;5;37.75;-3;0.75;10.0
+;6;47.0;Baumann Rico;*;10;55.75;5;47.25;-1;0.25;10.0

5g;Fässler Andreas;**;;;;;;;;;57.0
+;;;Oertig Dominik;*;;;;;;;10.0
+;1;10.0;Coray Beda;*;8;56.25;2;9.75;1;-0.25;9.75
o;2;19.75;Forrer Arnold;***;3;57.5;5;18.75;3;-1.0;8.5
+;4;28.25;Bernold Christian;*;11;55.5;3;28.5;-1;0.25;10.0
-;3;38.25;Notz Beni;***;10;55.75;7;37.25;4;-1.0;8.75
+;6;47.0;Streuli Martin;*;10;55.75;5;47.25;-1;0.25;10.0

6a;Rüegg Fabian;*;;;;;;;;;56.75
+;;;Ammann Rico;*;;;;;;;10.0
o;1;10.0;Hersche Martin;**;5;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Baumann Simon;;12;55.25;6;18.5;0;0.0;10.0
+;3;28.5;Ott Damian (2000);;12;55.25;3;28.5;0;0.0;9.75
o;3;38.25;Orlik Curdin;**;6;56.75;7;37.25;4;-1.0;8.5
+;7;46.75;Fausch Kjetil;;11;55.5;7;46.75;0;0.0;10.0

6b;Truniger Manuel;;;;;;;;;;56.75
+;;;Raschle Adrian;;;;;;;;10.0
-;1;10.0;Ott Dominik;*;27;34.5;5;8.5;4;-1.5;8.75
+;5;18.75;Tremp Remo (1999);;18;53.75;6;18.5;1;-0.25;9.75
o;3;28.5;Notz Hans;*;14;54.75;5;28.0;2;-0.5;8.5
+;8;37.0;Arnold Christian;;17;54.0;8;37.0;0;0.0;9.75
+;7;46.75;Vollmeier Sandro;;12;55.25;7;46.75;0;0.0;10.0

6c;Gmür Pirmin;*;;;;;;;;;56.75
-;;;Hochholdinger Roman;**;;;;;;;8.75
+;4;8.75;Stauffacher Martin (1998);;18;53.75;2;9.75;-2;1.0;9.75
+;6;18.5;Vollmeier Sandro;;12;55.25;2;19.75;-4;1.25;10.0
o;3;28.5;Giger Samuel (1998);**;5;57.0;4;28.25;1;-0.25;8.5
+;8;37.0;Schönenberger Philipp;;16;54.25;7;37.25;-1;0.25;10.0
+;6;47.0;Wild Thomas;;11;55.5;6;47.0;0;0.0;9.75

6d;Wickli Beat;**;;;;;;;;;56.75
o;;;Clopath Beat;***;;;;;;;8.5
o;5;8.5;Koller Andreas (1998);;18;53.75;1;10.0;-4;1.5;8.5
+;11;17.0;Hersche Daniel;;13;55.0;6;18.5;-5;1.5;10.0
+;9;27.0;Schwyn Patrick (1999);;19;53.5;5;28.0;-4;1.0;10.0
+;8;37.0;Krähenbühl Lukas;*;13;55.0;6;37.5;-2;0.5;9.75
+;7;46.75;Notz Hans;*;14;54.75;9;46.25;2;-0.5;10.0

6e;Orlik Curdin;**;;;;;;;;;56.75
-;;;Bühler Ernst;**;;;;;;;8.75
+;4;8.75;Roth Martin;*;11;55.5;2;9.75;-2;1.0;9.75
-;6;18.5;Notz Beni;***;10;55.75;6;18.5;0;0.0;8.75
+;8;27.25;Nigg Kaspar;;23;35.5;9;27.0;1;-0.25;10.0
+;7;37.25;Rüegg Fabian;*;6;56.75;3;38.25;-4;1.0;9.75
+;6;47.0;Elmer Daniel;*;11;55.5;6;47.0;0;0.0;9.75

6f;Pfister Florian;*;;;;;;;;;56.75
+;;;Ott Dominik;*;;;;;;;9.75
o;2;9.75;Battaglia Ursin;**;12;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Gubler Daniel;;23;35.5;6;18.5;-1;0.25;9.75
-;5;28.0;Ammann Rico;*;12;55.25;10;26.75;5;-1.25;9.0
+;8;37.0;Langenegger Remo;;14;54.75;10;36.5;2;-0.5;10.0
+;6;47.0;Kamer Hanspeter;*;12;55.25;7;46.75;1;-0.25;9.75

6g;Krähenbühl Tobias;**;;;;;;;;;56.75
o;;;Kuster Marcel;**;;;;;;;8.5
+;5;8.5;Schlegel Reto;*;11;55.5;1;10.0;-4;1.5;9.75
+;7;18.25;Büsser André;;12;55.25;6;18.5;-1;0.25;10.0
+;4;28.25;Coray Beda;*;8;56.25;4;28.25;0;0.0;10.0
