3581-2018-05-10_Baselstaedtischer_Schwingertag-ST

1a;Sempach Thomas;***;;;;;;;;;59.25
o;4;28.25;Stalder Remo;***;11;55.5;4;28.25;0;0.0;8.5
+;10;36.75;Nyffenegger Florian (2001);;15;54.5;9;37.0;-1;0.25;9.75
o;10;46.5;Döbeli Andreas;*;6;56.75;9;46.75;-1;0.25;8.5

13d;Bearda Samuel;**;;;;;;;;;55.0
o;;;Stegmüller Klemens;*;;;;;;;8.5
+;4;8.5;Büttler Gian (2000);;10;55.75;1;10.0;-3;1.5;10.0
o;6;18.5;Schenk Patrick;***;6;56.75;10;17.0;4;-1.5;8.5
+;9;27.0;Ris Jörn;;16;54.25;4;28.25;-5;1.25;9.75
+;10;36.75;Grieder Nonda;;17;54.0;10;36.75;0;0.0;9.75
o;10;46.5;Gisler Bruno;***;6;56.75;9;46.75;-1;0.25;8.5

13e;Probst Gabriel;**;;;;;;;;;55.0
+;;;Brand Christian;**;;;;;;;10.0
o;1;10.0;Widmer Tobias;**;4;57.25;1;10.0;0;0.0;8.5
+;6;18.5;Hitz Florian;;16;54.25;6;18.5;0;0.0;10.0
o;3;28.5;Döbeli Andreas;*;6;56.75;4;28.25;1;-0.25;8.5
-;9;37.0;Reinhard Adrian;;14;54.75;8;37.25;-1;0.25;9.0
-;12;46.0;Küng Marco;*;15;54.5;13;45.75;1;-0.25;9.0

13f;Stoll Thomas;;;;;;;;;;55.0
+;;;Järmann Florian (2002);;;;;;;;9.75
-;2;9.75;Reinhard Pirmin (2001);;16;54.25;1;10.0;-1;0.25;8.75
o;6;18.5;Döbeli Andreas;*;6;56.75;7;18.25;1;-0.25;8.5
+;9;27.0;Meyer Lukas (2001);;17;54.0;9;27.0;0;0.0;9.75
+;10;36.75;Kehr Damian (2001);;18;53.75;11;36.5;1;-0.25;9.75
o;10;46.5;Voggensperger Janic;**;6;56.75;9;46.75;-1;0.25;8.5

13g;Reimann Marco;;;;;;;;;;55.0
+;;;Rüegg Benjamin;;;;;;;;9.75
o;2;9.75;Hasler Manuel;*;10;55.75;3;8.75;1;-1.0;8.5
o;7;18.25;Nyffenegger Florian (2001);;15;54.5;6;18.5;-1;0.25;8.5
+;10;26.75;Herrmann Adrian (2000);;27;34.25;12;25.75;2;-1.0;9.75
+;11;36.5;Kaspar Jan;;17;54.0;15;35.5;4;-1.0;10.0
o;10;46.5;Stüdeli Thomas;**;4;57.25;7;47.25;-3;0.75;8.5

13h;Winiger Fabian;**;;;;;;;;;55.0
o;;;Schillig Willi;**;;;;;;;8.5
+;4;8.5;Kramer Franz;*;10;55.75;3;8.75;-1;0.25;9.75
+;7;18.25;Abt Robin;;16;54.25;6;18.5;-1;0.25;9.75
+;5;28.0;Kehr Damian (2001);;18;53.75;5;28.0;0;0.0;10.0
o;5;38.0;Oertig Dominik;**;3;57.5;7;37.5;2;-0.5;8.5
o;10;46.5;Kropf Marcel;**;5;57.0;8;47.0;-2;0.5;8.5

13i;Rüegger Aaron;;;;;;;;;;55.0
+;;;Krebs Clemens;;;;;;;;9.75
o;2;9.75;Bader Andreas;**;15;54.5;3;8.75;1;-1.0;8.5
+;7;18.25;Fritz Christian;;12;55.25;8;17.5;1;-0.75;10.0
o;4;28.25;Schillig Willi;**;11;55.5;8;27.25;4;-1.0;8.5
+;10;36.75;Kohler Adrian;;16;54.25;9;37.0;-1;0.25;9.75
o;10;46.5;Klausner Yanick;**;6;56.75;8;47.0;-2;0.5;8.5

13j;Bruder Adrian;;;;;;;;;;55.0
-;;;Jusufi Ilber;;;;;;;;8.75
+;3;8.75;Hermann Lukas (2002);;18;53.75;4;8.5;1;-0.25;9.75
o;6;18.5;Schmid Samuel;**;10;55.75;8;17.5;2;-1.0;8.5
+;9;27.0;Furrer Mathias;;17;54.0;9;27.0;0;0.0;9.75
o;10;36.75;Schwenkfelder Lukas;;9;56.0;9;37.0;-1;0.25;8.5
+;15;45.25;Järmann Florian (2002);;19;53.5;16;45.0;1;-0.25;9.75

14a;Brügger Joël (2000);;;;;;;;;;54.75
+;;;Müller Christian;;;;;;;;9.75
+;2;9.75;Furrer Mathias;;17;54.0;1;10.0;-1;0.25;9.75
o;3;19.5;Schmid Dominik;**;8;56.25;7;18.25;4;-1.25;8.5
o;5;28.0;Schmid Samuel;**;10;55.75;8;27.25;3;-0.75;8.5
+;11;36.5;Stadler Kevin (2002);;16;54.25;13;36.0;2;-0.5;9.75
o;11;46.25;Arnold Kornel;*;10;55.75;13;45.75;2;-0.5;8.5

14b;Schmutz Simon (2000);;;;;;;;;;54.75
-;;;Müller Simon;;;;;;;;8.75
o;3;8.75;Burren Patrick;;15;54.5;3;8.75;0;0.0;8.5
+;9;17.25;Lazic Marco (2000);;26;34.5;9;17.25;0;0.0;10.0
-;8;27.25;Eggen Markus;;19;53.5;8;27.25;0;0.0;9.0
+;12;36.25;Bieri Florian (2001);;18;53.75;11;36.5;-1;0.25;10.0
o;11;46.25;Schaffner Samuel;**;12;55.25;15;45.25;4;-1.0;8.5

14c;Mangold Michael;**;;;;;;;;;54.75
-;;;Voggensperger Janic;**;;;;;;;8.75
-;3;8.75;Stüdeli Thomas;**;4;57.25;3;8.75;0;0.0;8.75
+;8;17.5;Büttler Gian (2000);;10;55.75;6;18.5;-2;1.0;10.0
o;7;27.5;Stoll Simon;*;6;56.75;4;28.25;-3;0.75;8.5
+;13;36.0;Dobler Florian;;11;55.5;9;37.0;-4;1.0;10.0
-;12;46.0;Waldner Patrick;**;15;54.5;13;45.75;1;-0.25;8.75

14d;Reinhard Adrian;;;;;;;;;;54.75
+;;;Lisser Beat;;;;;;;;9.75
-;2;9.75;Moser Matthias;*;16;54.25;4;8.5;2;-1.25;8.75
-;6;18.5;Stegmüller Klemens;*;10;55.75;5;18.75;-1;0.25;9.0
+;7;27.5;Stadler Kevin (2002);;16;54.25;7;27.5;0;0.0;9.75
-;8;37.25;Probst Gabriel;**;13;55.0;9;37.0;1;-0.25;9.0
o;11;46.25;Schmid Samuel;**;10;55.75;12;46.0;1;-0.25;8.5

15a;Scherrer Johann;**;;;;;;;;;54.5
o;;;Vieira Tiago;**;;;;;;;8.5
-;4;8.5;Mangold Martin;;5;57.0;1;10.0;-3;1.5;8.75
-;9;17.25;Stadler Kevin (2002);;16;54.25;5;18.75;-4;1.5;8.75
+;11;26.0;Müller Simon;;16;54.25;7;27.5;-4;1.5;9.75
+;14;35.75;Büchi Christian;;17;54.0;9;37.0;-5;1.25;10.0
-;13;45.75;Reinhard Pirmin (2001);;16;54.25;14;45.5;1;-0.25;8.75

15b;Burren Patrick;;;;;;;;;;54.5
-;;;Schaub Florent;;;;;;;;8.75
+;3;8.75;Schmutz Simon (2000);;14;54.75;3;8.75;0;0.0;10.0
o;5;18.75;Hauri Urs;**;10;55.75;8;17.5;3;-1.25;8.5
o;8;27.25;Stegmüller Klemens;*;10;55.75;6;27.75;-2;0.5;8.5
+;14;35.75;Fritz Andreas;;21;52.5;15;35.5;1;-0.25;9.75
-;14;45.5;Hasler Luis (2002);;16;54.25;14;45.5;0;0.0;9.0

15c;Waldner Patrick;**;;;;;;;;;54.5
+;;;Küng Marco;*;;;;;;;9.75
o;2;9.75;Schmid David;***;6;56.75;3;8.75;1;-1.0;8.5
+;7;18.25;Schwegler Dominik;;17;54.0;2;19.75;-5;1.5;10.0
-;4;28.25;Steinmann Yves;*;11;55.5;4;28.25;0;0.0;8.75
-;9;37.0;Läuchli Janik (2000);;12;55.25;10;36.75;1;-0.25;8.75
-;13;45.75;Mangold Michael;**;14;54.75;12;46.0;-1;0.25;8.75

15d;Bachmann Sämi (2001);;;;;;;;;;54.5
-;;;Stadler Kevin (2002);;;;;;;;8.75
+;3;8.75;Büchi Christian;;17;54.0;4;8.5;1;-0.25;10.0
o;5;18.75;Küng Marco;*;15;54.5;7;18.25;2;-0.5;8.5
o;8;27.25;Jusufi Azret;;12;55.25;8;27.25;0;0.0;8.75
o;13;36.0;Müller Simon;;16;54.25;13;36.0;0;0.0;8.5
+;18;44.5;Huber Fabian;;20;52.75;19;44.25;1;-0.25;10.0

15e;Küng Marco;*;;;;;;;;;54.5
o;;;Waldner Patrick;**;;;;;;;8.5
+;4;8.5;Bachmann Sämi (2001);;15;54.5;3;8.75;-1;0.25;9.75
+;7;18.25;Rüegg Benjamin;;24;35.25;7;18.25;0;0.0;10.0
-;4;28.25;Räber Lukas;;4;57.25;4;28.25;0;0.0;8.75
o;9;37.0;Krebs Clemens;;11;55.5;9;37.0;0;0.0;8.75
-;13;45.75;Probst Gabriel;**;13;55.0;12;46.0;-1;0.25;8.75

15f;Nyffenegger Florian (2001);;;;;;;;;;54.5
+;;;Lazic Serge (2000);;;;;;;;10.0
o;1;10.0;Steinmann Yves;*;11;55.5;4;8.5;3;-1.5;8.5
+;6;18.5;Reimann Marco;;13;55.0;7;18.25;1;-0.25;10.0
o;3;28.5;Arnold Kornel;*;10;55.75;8;27.25;5;-1.25;8.5
o;9;37.0;Graber Colin;;13;55.0;10;36.75;1;-0.25;8.5
-;14;45.5;Furrer Mathias;;17;54.0;15;45.25;1;-0.25;9.0

15g;Bader Andreas;**;;;;;;;;;54.5
-;;;Hasler Manuel;*;;;;;;;8.75
+;3;8.75;Rüegger Aaron;;13;55.0;2;9.75;-1;1.0;10.0
o;5;18.75;Alpiger Nick;***;2;58.0;5;18.75;0;0.0;8.5
+;8;27.25;Lehmann Robin;;17;54.0;4;28.25;-4;1.0;9.75
-;9;37.0;Schmid Samuel;**;10;55.75;8;37.25;-1;0.25;8.75
-;13;45.75;Aerni Lars;;16;54.25;14;45.5;1;-0.25;8.75

16a;Lisser Beat;;;;;;;;;;54.25
o;;;Reinhard Adrian;;;;;;;;8.5
+;4;8.5;Lazic Serge (2000);;28;34.0;4;8.5;0;0.0;10.0
o;6;18.5;Läuchli Janik (2000);;12;55.25;6;18.5;0;0.0;8.5
-;9;27.0;Wilhelm Manuel;;17;54.0;10;26.75;1;-0.25;8.75
-;14;35.75;Schwander Kilian;;11;55.5;10;36.75;-4;1.0;8.75
+;18;44.5;Jakober Daniel;;21;52.5;20;44.0;2;-0.5;9.75

16b;Hasler Luis (2002);;;;;;;;;;54.25
+;;;Eggenschwiler Fabian;;;;;;;;9.75
o;2;9.75;Lisser Daniel;*;22;37.0;4;8.5;2;-1.25;8.75
o;6;18.5;Vieira Tiago;**;12;55.25;6;18.5;0;0.0;8.5
+;9;27.0;Widmer Dino;;17;54.0;9;27.0;0;0.0;10.0
o;9;37.0;Schmutz Adrian;*;11;55.5;9;37.0;0;0.0;8.5
-;14;45.5;Burren Patrick;;15;54.5;14;45.5;0;0.0;8.75

16c;Reinhard Pirmin (2001);;;;;;;;;;54.25
+;;;Bader Stefan;;;;;;;;10.0
-;1;10.0;Stoll Thomas;;13;55.0;2;9.75;1;-0.25;8.75
o;5;18.75;Kocher Remo;**;12;55.25;8;17.5;3;-1.25;8.5
+;8;27.25;Gisin Yanic;;23;36.0;8;27.25;0;0.0;9.75
o;9;37.0;Kropf Marcel;**;5;57.0;9;37.0;0;0.0;8.5
-;14;45.5;Scherrer Johann;**;15;54.5;13;45.75;-1;0.25;8.75

16d;Abt Robin;;;;;;;;;;54.25
o;;;Kaspar Jan;;;;;;;;8.5
+;4;8.5;Geissberger Marc (2002);;28;34.0;4;8.5;0;0.0;10.0
o;6;18.5;Winiger Fabian;**;13;55.0;7;18.25;1;-0.25;8.5
o;9;27.0;Joho Philip (2002);;11;55.5;8;27.25;-1;0.25;8.5
+;15;35.5;Meyer Lukas (2001);;17;54.0;15;35.5;0;0.0;10.0
-;14;45.5;Bieri Florian (2001);;18;53.75;16;45.0;2;-0.5;8.75

16e;Kohler Adrian;;;;;;;;;;54.25
+;;;Widmer David;;;;;;;;10.0
+;1;10.0;Huber Fabian;;20;52.75;1;10.0;0;0.0;10.0
o;1;20.0;Leuthard Reto;*;11;55.5;5;18.75;4;-1.25;8.5
o;3;28.5;Hermann Oliver;*;12;55.25;9;27.0;6;-1.5;8.5
-;9;37.0;Schwegler Dominik;;17;54.0;10;36.75;1;-0.25;8.75
o;13;45.75;Rüegger Aaron;;13;55.0;10;46.5;-3;0.75;8.5

16f;Ris Jörn;;;;;;;;;;54.25
o;;;Mangold Martin;;;;;;;;8.5
+;4;8.5;Peterhans Alex (2000);;24;35.25;4;8.5;0;0.0;10.0
+;6;18.5;Wilhelm Manuel;;17;54.0;7;18.25;1;-0.25;9.75
o;4;28.25;Bearda Samuel;**;13;55.0;9;27.0;5;-1.25;8.5
-;10;36.75;Widmer David;;16;54.25;10;36.75;0;0.0;9.0
o;13;45.75;Läuchli Janik (2000);;12;55.25;14;45.5;1;-0.25;8.5

16g;Aerni Lars;;;;;;;;;;54.25
-;;;Widmer Dino;;;;;;;;8.75
+;3;8.75;Grossmann Andreas;;17;54.0;4;8.5;1;-0.25;9.75
o;6;18.5;Schmutz Adrian;*;11;55.5;6;18.5;0;0.0;8.5
+;9;27.0;Hermann Lukas 1 (2000);;21;52.5;9;27.0;0;0.0;10.0
o;9;37.0;Brun Samuel;**;13;55.0;10;36.75;1;-0.25;8.5
-;14;45.5;Bader Andreas;**;15;54.5;13;45.75;-1;0.25;8.75

16h;Stadler Kevin (2002);;;;;;;;;;54.25
-;;;Bachmann Sämi (2001);;;;;;;;8.75
+;3;8.75;Herrmann Adrian (2000);;27;34.25;4;8.5;1;-0.25;10.0
-;5;18.75;Scherrer Johann;**;15;54.5;9;17.25;4;-1.5;8.75
o;7;27.5;Reinhard Adrian;;14;54.75;7;27.5;0;0.0;8.5
o;13;36.0;Brügger Joël (2000);;14;54.75;11;36.5;-2;0.5;8.5
+;18;44.5;Vogt Patrick;;18;53.75;16;45.0;-2;0.5;9.75

16i;Müller Simon;;;;;;;;;;54.25
-;;;Schmutz Simon (2000);;;;;;;;8.75
+;3;8.75;Grieder Nonda;;17;54.0;4;8.5;1;-0.25;9.75
-;6;18.5;Fritz Christian;;12;55.25;8;17.5;2;-1.0;9.0
o;7;27.5;Scherrer Johann;**;15;54.5;11;26.0;4;-1.5;8.5
+;13;36.0;Bachmann Sämi (2001);;15;54.5;13;36.0;0;0.0;9.75
o;13;45.75;Hasler Manuel;*;10;55.75;13;45.75;0;0.0;8.5

16j;Jusufi Ilber;;;;;;;;;;54.25
-;;;Bruder Adrian;;;;;;;;8.75
+;3;8.75;Brunner Patrick (2002);;24;35.25;4;8.5;1;-0.25;9.75
o;6;18.5;Arnold Stefan;**;10;55.75;8;17.5;2;-1.0;8.5
+;9;27.0;Rüegg Benjamin;;24;35.25;10;26.75;1;-0.25;10.0
o;9;37.0;Klausner Yanick;**;6;56.75;8;37.25;-1;0.25;8.5
-;14;45.5;Hitz Florian;;16;54.25;14;45.5;0;0.0;8.75

16k;Moser Matthias;*;;;;;;;;;54.25
o;;;Döbeli Andreas;*;;;;;;;8.5
-;4;8.5;Reinhard Adrian;;14;54.75;2;9.75;-2;1.25;8.75
+;9;17.25;Furrer Mathias;;17;54.0;6;18.5;-3;1.25;9.75
+;9;27.0;Järmann Florian (2002);;19;53.5;5;28.0;-4;1.0;9.75
o;10;36.75;Mangold Martin;;5;57.0;7;37.5;-3;0.75;8.5
-;15;45.25;Wilhelm Manuel;;17;54.0;19;44.25;4;-1.0;9.0

16l;Anderegg David;*;;;;;;;;;54.25
+;;;Fritz Christian;;;;;;;;10.0
o;1;10.0;Räbmatter Patrick;***;6;56.75;4;8.5;3;-1.5;8.5
-;6;18.5;Mangold Martin;;5;57.0;5;18.75;-1;0.25;8.75
+;8;27.25;Vogt Patrick;;18;53.75;5;28.0;-3;0.75;10.0
o;8;37.25;Voggensperger Janic;**;6;56.75;9;37.0;1;-0.25;8.5
o;13;45.75;Arnold Stefan;**;10;55.75;13;45.75;0;0.0;8.5

16m;Hitz Florian;;;;;;;;;;54.25
o;;;Graber Colin;;;;;;;;8.5
+;4;8.5;Bieli Andreas;;17;54.0;4;8.5;0;0.0;10.0
o;6;18.5;Probst Gabriel;**;13;55.0;6;18.5;0;0.0;8.75
o;8;27.25;Mangold Martin;;5;57.0;7;27.5;-1;0.25;8.5
+;14;35.75;Hermann Lukas 1 (2000);;21;52.5;15;35.5;1;-0.25;9.75
-;14;45.5;Jusufi Ilber;;16;54.25;14;45.5;0;0.0;8.75

16n;Stark Urban (2000);;;;;;;;;;54.25
+;;;Peterhans Alex (2000);;;;;;;;10.0
+;1;10.0;Huber Pascal;;24;35.25;2;9.75;1;-0.25;10.0
o;1;20.0;Nägeli Marco;**;12;55.25;7;18.25;6;-1.75;8.5
o;3;28.5;Schmid David;***;6;56.75;8;27.25;5;-1.25;8.5
o;9;37.0;Leuthard Reto;*;11;55.5;9;37.0;0;0.0;8.5
o;14;45.5;Joho Philip (2002);;11;55.5;14;45.5;0;0.0;8.75

16o;Widmer David;;;;;;;;;;54.25
o;;;Kohler Adrian;;;;;;;;8.5
+;4;8.5;Burkart Simon;;24;35.25;4;8.5;0;0.0;9.75
+;7;18.25;Bader Stefan;;17;54.0;6;18.5;-1;0.25;10.0
o;4;28.25;Schenk Patrick;***;6;56.75;9;27.0;5;-1.25;8.5
-;10;36.75;Ris Jörn;;16;54.25;10;36.75;0;0.0;9.0
o;13;45.75;Stegmüller Klemens;*;10;55.75;12;46.0;-1;0.25;8.5

17a;Furrer Mathias;;;;;;;;;;54.0
+;;;Burkart Simon;;;;;;;;10.0
o;1;10.0;Brügger Joël (2000);;14;54.75;2;9.75;1;-0.25;8.5
o;6;18.5;Moser Matthias;*;16;54.25;9;17.25;3;-1.25;8.5
o;9;27.0;Bruder Adrian;;13;55.0;9;27.0;0;0.0;8.5
+;15;35.5;Lehmann Robin;;17;54.0;9;37.0;-6;1.5;9.75
-;15;45.25;Nyffenegger Florian (2001);;15;54.5;14;45.5;-1;0.25;8.75

17b;Bieli Andreas;;;;;;;;;;54.0
o;;;Jusufi Azret;;;;;;;;8.5
o;4;8.5;Hitz Florian;;16;54.25;4;8.5;0;0.0;8.75
+;9;17.25;Huber Pascal;;24;35.25;7;18.25;-2;1.0;10.0
o;8;27.25;Klausner Yanick;**;6;56.75;8;27.25;0;0.0;8.5
+;14;35.75;Jakober Daniel;;21;52.5;15;35.5;1;-0.25;9.75
o;14;45.5;Schwander Kilian;;11;55.5;14;45.5;0;0.0;8.5

17c;Büchi Christian;;;;;;;;;;54.0
o;;;Büttler Gian (2000);;;;;;;;8.5
o;4;8.5;Bachmann Sämi (2001);;15;54.5;3;8.75;-1;0.25;8.5
+;10;17.0;Burkart Simon;;24;35.25;10;17.0;0;0.0;10.0
+;9;27.0;Buser Thomas;;24;35.25;10;26.75;1;-0.25;10.0
o;9;37.0;Scherrer Johann;**;15;54.5;14;35.75;5;-1.25;8.5
o;14;45.5;Hauri Urs;**;10;55.75;13;45.75;-1;0.25;8.5

17d;Bader Stefan;;;;;;;;;;54.0
o;;;Reinhard Pirmin (2001);;;;;;;;8.5
+;4;8.5;Kramer Lukas (2001);;21;52.5;4;8.5;0;0.0;10.0
o;6;18.5;Widmer David;;16;54.25;7;18.25;1;-0.25;8.5
o;9;27.0;Schwenkfelder Lukas;;9;56.0;9;27.0;0;0.0;8.5
o;15;35.5;Loosli Adrian;;13;55.0;11;36.5;-4;1.0;8.5
+;20;44.0;Meyer Lukas (2001);;17;54.0;20;44.0;0;0.0;10.0

17e;Meyer Lukas (2001);;;;;;;;;;54.0
-;;;Lazic Marco (2000);;;;;;;;8.75
o;3;8.75;Widmer Dino;;17;54.0;3;8.75;0;0.0;8.5
+;9;17.25;Fritz Andreas;;21;52.5;10;17.0;1;-0.25;9.75
o;9;27.0;Stoll Thomas;;13;55.0;9;27.0;0;0.0;8.5
o;15;35.5;Abt Robin;;16;54.25;15;35.5;0;0.0;8.5
+;20;44.0;Hermann Lukas 1 (2000);;21;52.5;20;44.0;0;0.0;10.0
o;17;54.0;Bader Stefan;;17;54.0;17;54.0;0;0.0;0.0

17f;Schwegler Dominik;;;;;;;;;;54.0
+;;;Lüscher Michael;;;;;;;;10.0
+;1;10.0;Jakober Daniel;;21;52.5;1;10.0;0;0.0;9.75
o;2;19.75;Waldner Patrick;**;15;54.5;7;18.25;5;-1.5;8.5
o;4;28.25;Stüdeli Thomas;**;4;57.25;8;27.25;4;-1.0;8.5
-;10;36.75;Kohler Adrian;;16;54.25;9;37.0;-1;0.25;8.75
o;14;45.5;Jusufi Azret;;12;55.25;14;45.5;0;0.0;8.5

17g;Kaspar Jan;;;;;;;;;;54.0
+;;;Abt Robin;;;;;;;;10.0
o;1;10.0;Voggensperger Janic;**;6;56.75;3;8.75;2;-1.25;8.5
o;6;18.5;Schaffner Samuel;**;12;55.25;6;18.5;0;0.0;8.5
o;9;27.0;Grieder Nonda;;17;54.0;9;27.0;0;0.0;8.5
o;15;35.5;Reimann Marco;;13;55.0;11;36.5;-4;1.0;8.5
+;20;44.0;Fritz Andreas;;21;52.5;20;44.0;0;0.0;10.0

17h;Grossmann Andreas;;;;;;;;;;54.0
o;;;Schwenkfelder Lukas;;;;;;;;8.5
o;4;8.5;Aerni Lars;;16;54.25;3;8.75;-1;0.25;8.5
o;10;17.0;Müller Christian;;24;35.25;10;17.0;0;0.0;8.5
+;13;25.5;Lüscher Michael;;28;34.0;13;25.5;0;0.0;10.0
+;15;35.5;Hermann Lukas (2002);;18;53.75;15;35.5;0;0.0;10.0
o;14;45.5;Steinmann Yves;*;11;55.5;14;45.5;0;0.0;8.5

17i;Eggenschwiler Fabian;;;;;;;;;;54.0
o;;;Hasler Luis (2002);;;;;;;;8.5
o;4;8.5;Gisin Yanic;;23;36.0;3;8.75;-1;0.25;8.5
o;10;17.0;Hermann Lukas (2002);;18;53.75;10;17.0;0;0.0;8.5
+;13;25.5;Geissberger Marc (2002);;28;34.0;13;25.5;0;0.0;10.0
+;15;35.5;Kramer Lukas (2001);;21;52.5;15;35.5;0;0.0;10.0
o;14;45.5;Hermann Oliver;*;12;55.25;15;45.25;1;-0.25;8.5

17j;Widmer Dino;;;;;;;;;;54.0
-;;;Aerni Lars;;;;;;;;8.75
+;3;8.75;Meyer Lukas (2001);;17;54.0;3;8.75;0;0.0;9.75
o;6;18.5;Steinmann Yves;*;11;55.5;7;18.25;1;-0.25;8.5
o;9;27.0;Hasler Luis (2002);;16;54.25;9;27.0;0;0.0;8.5
-;15;35.5;Eggen Markus;;19;53.5;13;36.0;-2;0.5;8.75
+;19;44.25;Kramer Lukas (2001);;21;52.5;20;44.0;1;-0.25;9.75

17k;Wilhelm Manuel;;;;;;;;;;54.0
+;;;Grieder Nonda;;;;;;;;9.75
o;2;9.75;Schaffner Samuel;**;12;55.25;4;8.5;2;-1.25;8.5
o;7;18.25;Ris Jörn;;16;54.25;6;18.5;-1;0.25;8.5
-;10;26.75;Lisser Beat;;16;54.25;9;27.0;-1;0.25;8.75
-;15;35.5;Moser Matthias;*;16;54.25;10;36.75;-5;1.25;8.75
+;19;44.25;Nussbaumer Dominik;;18;53.75;15;45.25;-4;1.0;9.75

17l;Lehmann Robin;;;;;;;;;;54.0
+;;;Kramer Lukas (2001);;;;;;;;9.75
+;2;9.75;Vogt Patrick;;18;53.75;2;9.75;0;0.0;10.0
o;2;19.75;Brun Samuel;**;13;55.0;7;18.25;5;-1.5;8.5
o;4;28.25;Bader Andreas;**;15;54.5;8;27.25;4;-1.0;8.75
o;9;37.0;Furrer Mathias;;17;54.0;15;35.5;6;-1.5;8.5
o;14;45.5;Fritz Christian;;12;55.25;14;45.5;0;0.0;8.5

17m;Grieder Nonda;;;;;;;;;;54.0
o;;;Wilhelm Manuel;;;;;;;;8.5
o;4;8.5;Müller Simon;;16;54.25;3;8.75;-1;0.25;8.5
+;10;17.0;Lüscher Michael;;28;34.0;10;17.0;0;0.0;10.0
+;9;27.0;Kaspar Jan;;17;54.0;9;27.0;0;0.0;9.75
o;10;36.75;Bearda Samuel;**;13;55.0;10;36.75;0;0.0;8.5
-;15;45.25;Eggen Markus;;19;53.5;17;44.75;2;-0.5;8.75

18a;Dettwiler Patrick;;;;;;;;;;53.75
o;;;Kehr Damian (2001);;;;;;;;8.5
o;4;8.5;Järmann Florian (2002);;19;53.5;4;8.5;0;0.0;8.5
+;10;17.0;Geissberger Marc (2002);;28;34.0;10;17.0;0;0.0;10.0
+;9;27.0;Huber Fabian;;20;52.75;9;27.0;0;0.0;9.75
o;10;36.75;Räber Lukas;;4;57.25;8;37.25;-2;0.5;8.5
o;15;45.25;Hermann Lukas (2002);;18;53.75;20;44.0;5;-1.25;8.5

18b;Kehr Damian (2001);;;;;;;;;;53.75
+;;;Dettwiler Patrick;;;;;;;;9.75
+;2;9.75;Fritz Andreas;;21;52.5;4;8.5;2;-1.25;9.75
o;3;19.5;Voggensperger Janic;**;6;56.75;6;18.5;3;-1.0;8.5
o;5;28.0;Winiger Fabian;**;13;55.0;5;28.0;0;0.0;8.5
o;11;36.5;Stoll Thomas;;13;55.0;10;36.75;-1;0.25;8.75
o;15;45.25;Dobler Florian;;11;55.5;14;45.5;-1;0.25;8.5

18c;Hermann Lukas (2002);;;;;;;;;;53.75
o;;;Jakober Daniel;;;;;;;;8.5
o;4;8.5;Bruder Adrian;;13;55.0;3;8.75;-1;0.25;8.5
+;10;17.0;Eggenschwiler Fabian;;17;54.0;10;17.0;0;0.0;9.75
-;10;26.75;Saladin Pascal (2002);;25;34.75;11;26.0;1;-0.75;8.75
o;15;35.5;Grossmann Andreas;;17;54.0;15;35.5;0;0.0;8.5
+;20;44.0;Dettwiler Patrick;;18;53.75;15;45.25;-5;1.25;9.75

18d;Bieri Florian (2001);;;;;;;;;;53.75
+;;;Joho Philip (2002);;;;;;;;9.75
+;2;9.75;Buser Thomas;;24;35.25;2;9.75;0;0.0;9.75
o;3;19.5;Hasler Manuel;*;10;55.75;6;18.5;3;-1.0;8.5
o;5;28.0;Büttler Gian (2000);;10;55.75;8;27.25;3;-0.75;8.5
o;11;36.5;Schmutz Simon (2000);;14;54.75;12;36.25;1;-0.25;8.5
-;16;45.0;Abt Robin;;16;54.25;14;45.5;-2;0.5;8.75

18e;Vogt Patrick;;;;;;;;;;53.75
+;;;Saladin Pascal (2002);;;;;;;;9.75
o;2;9.75;Lehmann Robin;;17;54.0;2;9.75;0;0.0;8.5
+;7;18.25;Schmid Justin (2002);;27;34.25;9;17.25;2;-1.0;9.75
o;5;28.0;Kramer Franz;*;10;55.75;9;27.0;4;-1.0;8.5
o;11;36.5;Anderegg David;*;16;54.25;8;37.25;-3;0.75;8.5
o;16;45.0;Stadler Kevin (2002);;16;54.25;18;44.5;2;-0.5;8.75

18f;Nussbaumer Dominik;;;;;;;;;;53.75
o;;;Läuchli Janik (2000);;;;;;;;8.5
+;4;8.5;Müller Christian;;24;35.25;4;8.5;0;0.0;9.75
o;7;18.25;Järmann Florian (2002);;19;53.5;7;18.25;0;0.0;8.5
+;10;26.75;Kramer Lukas (2001);;21;52.5;9;27.0;-1;0.25;10.0
o;10;36.75;Kramer Franz;*;10;55.75;9;37.0;-1;0.25;8.5
o;15;45.25;Wilhelm Manuel;;17;54.0;19;44.25;4;-1.0;8.5

19a;Järmann Florian (2002);;;;;;;;;;53.5
o;;;Stoll Thomas;;;;;;;;8.5
+;4;8.5;Dettwiler Patrick;;18;53.75;4;8.5;0;0.0;9.75
+;7;18.25;Nussbaumer Dominik;;18;53.75;7;18.25;0;0.0;9.75
o;5;28.0;Moser Matthias;*;16;54.25;9;27.0;4;-1.0;8.5
o;11;36.5;Büttler Adrian;;12;55.25;10;36.75;-1;0.25;8.5
o;16;45.0;Bruder Adrian;;13;55.0;15;45.25;-1;0.25;8.5

19b;Eggen Markus;;;;;;;;;;53.5
