3581-2018-05-10_Baselstaedtischer_Schwingertag-ST

1a;Sempach Thomas;***;;;;;;;;;59.25
+;8;47.0;Brun Samuel;**;13;55.0;10;46.5;2;-0.5;9.75

6b;Räbmatter Patrick;***;;;;;;;;;56.75
o;;;Oertig Dominik;**;;;;;;;8.5
+;4;8.5;Anderegg David;*;16;54.25;1;10.0;-3;1.5;10.0
o;6;18.5;Bieri Marcel;**;7;56.5;6;18.5;0;0.0;8.5
+;9;27.0;Krebs Clemens;;11;55.5;3;28.5;-6;1.5;10.0
+;9;37.0;Hauri Urs;**;10;55.75;8;37.25;-1;0.25;10.0
+;8;47.0;Schmid Dominik;**;8;56.25;5;47.75;-3;0.75;9.75

6c;Gisler Bruno;***;;;;;;;;;56.75
o;;;Sempach Thomas;***;;;;;;;8.5
+;4;8.5;Hermann Oliver;*;12;55.25;2;9.75;-2;1.25;10.0
+;6;18.5;Jusufi Azret;;12;55.25;5;18.75;-1;0.25;10.0
+;3;28.5;Nägeli Marco;**;12;55.25;4;28.25;1;-0.25;9.75
o;4;38.25;Alpiger Nick;***;2;58.0;3;38.5;-1;0.25;8.5
+;9;46.75;Bearda Samuel;**;13;55.0;10;46.5;1;-0.25;10.0

6d;Freund Romeo;**;;;;;;;;;56.75
+;;;Fritz Andreas;;;;;;;;9.75
o;2;9.75;Nägeli Marco;**;12;55.25;4;8.5;2;-1.25;8.5
+;7;18.25;Jakober Daniel;;21;52.5;6;18.5;-1;0.25;9.75
+;5;28.0;Läuchli Janik (2000);;12;55.25;4;28.25;-1;0.25;9.75
-;6;37.75;Thürig Mario;***;8;56.25;8;37.25;2;-0.5;9.0
+;9;46.75;Leuthard Reto;*;11;55.5;8;47.0;-1;0.25;10.0

6e;Klausner Yanick;**;;;;;;;;;56.75
+;;;Lisser Daniel;*;;;;;;;10.0
-;1;10.0;von Weissenfluh Kilian;**;5;57.0;3;8.75;2;-1.25;8.75
o;5;18.75;Thürig Mario;***;8;56.25;5;18.75;0;0.0;8.5
+;8;27.25;Bieli Andreas;;17;54.0;8;27.25;0;0.0;10.0
+;8;37.25;Jusufi Ilber;;16;54.25;9;37.0;1;-0.25;9.75
+;8;47.0;Rüegger Aaron;;13;55.0;10;46.5;2;-0.5;9.75

6f;Döbeli Andreas;*;;;;;;;;;56.75
+;;;Moser Matthias;*;;;;;;;9.75
o;2;9.75;Sempach Thomas;***;1;59.25;1;10.0;-1;0.25;8.5
+;7;18.25;Stoll Thomas;;13;55.0;6;18.5;-1;0.25;10.0
+;4;28.25;Probst Gabriel;**;13;55.0;3;28.5;-1;0.25;10.0
o;4;38.25;Schenk Patrick;***;6;56.75;9;37.0;5;-1.25;8.5
+;9;46.75;Graber Colin;;13;55.0;10;46.5;1;-0.25;10.0

6g;Stoll Simon;*;;;;;;;;;56.75
-;;;Kramer Franz;*;;;;;;;8.75
+;3;8.75;Graber Colin;;13;55.0;2;9.75;-1;1.0;9.75
+;6;18.5;Eggen Markus;;19;53.5;5;18.75;-1;0.25;9.75
+;4;28.25;Mangold Michael;**;14;54.75;7;27.5;3;-0.75;10.0
o;4;38.25;von Weissenfluh Kilian;**;5;57.0;7;37.5;3;-0.75;8.5
+;9;46.75;Loosli Adrian;;13;55.0;10;46.5;1;-0.25;10.0

6h;Voggensperger Janic;**;;;;;;;;;56.75
-;;;Mangold Michael;**;;;;;;;8.75
+;3;8.75;Kaspar Jan;;17;54.0;1;10.0;-2;1.25;9.75
+;6;18.5;Kehr Damian (2001);;18;53.75;3;19.5;-3;1.0;10.0
o;3;28.5;Bieri Marcel;**;7;56.5;4;28.25;1;-0.25;8.5
+;9;37.0;Anderegg David;*;16;54.25;8;37.25;-1;0.25;9.75
+;9;46.75;Stoll Thomas;;13;55.0;10;46.5;1;-0.25;10.0

6i;Schenk Patrick;***;;;;;;;;;56.75
o;;;Alpiger Nick;***;;;;;;;8.5
o;4;8.5;Erb Roger;**;4;57.25;1;10.0;-3;1.5;8.5
+;10;17.0;Bearda Samuel;**;13;55.0;6;18.5;-4;1.5;10.0
+;9;27.0;Widmer David;;16;54.25;4;28.25;-5;1.25;10.0
+;9;37.0;Döbeli Andreas;*;6;56.75;4;38.25;-5;1.25;9.75
+;9;46.75;Vieira Tiago;**;12;55.25;9;46.75;0;0.0;10.0

7a;Bieri Marcel;**;;;;;;;;;56.5
-;;;Schmid David;***;;;;;;;8.75
+;3;8.75;Vieira Tiago;**;12;55.25;1;10.0;-2;1.25;9.75
+;6;18.5;Räbmatter Patrick;***;6;56.75;6;18.5;0;0.0;9.75
+;4;28.25;Voggensperger Janic;**;6;56.75;3;28.5;-1;0.25;9.75
+;5;38.0;Stalder Remo;***;11;55.5;5;38.0;0;0.0;10.0
o;4;48.0;Alpiger Nick;***;2;58.0;3;48.25;-1;0.25;8.5

8a;Thürig Mario;***;;;;;;;;;56.25
-;;;von Weissenfluh Kilian;**;;;;;;;8.75
+;3;8.75;Schillig Willi;**;11;55.5;1;10.0;-2;1.25;10.0
+;5;18.75;Klausner Yanick;**;6;56.75;5;18.75;0;0.0;10.0
o;2;28.75;Sempach Thomas;***;1;59.25;1;29.75;-1;1.0;8.5
-;8;37.25;Freund Romeo;**;6;56.75;6;37.75;-2;0.5;9.0
+;11;46.25;Nägeli Marco;**;12;55.25;9;46.75;-2;0.5;10.0

8b;Schmid Dominik;**;;;;;;;;;56.25
+;;;Studinger Stephan;**;;;;;;;9.75
o;2;9.75;Stalder Remo;***;11;55.5;2;9.75;0;0.0;8.5
+;7;18.25;Brügger Joël (2000);;14;54.75;3;19.5;-4;1.25;9.75
+;5;28.0;Kropf Marcel;**;5;57.0;3;28.5;-2;0.5;9.75
+;6;37.75;Stegmüller Klemens;*;10;55.75;7;37.5;1;-0.25;10.0
o;5;47.75;Räbmatter Patrick;***;6;56.75;8;47.0;3;-0.75;8.5

