2947-2015-08-16_100_Basellandschaftliche_Kantonalschwingfest-ST

1a;Räbmatter Patrick;**;;;;;;;;;58.5
+;12;36.0;Widmer Dino;;15;54.5;11;36.25;-1;0.25;10.0
o;10;46.0;Kaech Frank;*;9;56.0;10;46.0;0;0.0;8.75

15a;Nyffeler Christoph;;;;;;;;;;54.5
+;;;Büchi Christian;;;;;;;;10.0
+;1;10.0;Widmer David;;13;55.0;1;10.0;0;0.0;10.0
-;1;20.0;Schär Simon;*;9;56.0;5;18.75;4;-1.25;8.75
o;3;28.75;Hasler Jimmy;*;11;55.5;8;27.5;5;-1.25;8.5
-;7;37.25;Mangold Michael (1997);;12;55.25;9;36.75;2;-0.5;8.75
o;10;46.0;Steinmann Yves;*;10;55.75;10;46.0;0;0.0;8.5

15b;Studer Remo;;;;;;;;;;54.5
-;;;Dobler Florian;;;;;;;;9.0
+;3;9.0;Fritz Christian;;16;54.25;5;8.5;2;-0.5;10.0
o;4;19.0;Klausner Yanick;**;12;55.25;7;18.25;3;-0.75;8.75
o;7;27.75;Schär Simon;*;9;56.0;8;27.5;1;-0.25;8.5
+;11;36.25;Widmer Sandro;;16;54.25;13;35.75;2;-0.5;9.75
o;10;46.0;Henzer Andreas;**;9;56.0;10;46.0;0;0.0;8.5

15c;Reinhard Adrian (1997);;;;;;;;;;54.5
o;;;Brun Samuel (1999);;;;;;;;8.5
+;5;8.5;Zagarella Davide (1999);;28;34.25;5;8.5;0;0.0;10.0
-;6;18.5;Widmer Dino;;15;54.5;9;17.5;3;-1.0;8.75
o;9;27.25;Lehmann Nicola;*;11;55.5;10;27.0;1;-0.25;8.5
-;13;35.75;Dobler Florian;;12;55.25;10;36.5;-3;0.75;8.75
+;16;44.5;Burtschi Michael;;21;53.0;16;44.5;0;0.0;10.0

15d;Widmer Tobias;**;;;;;;;;;54.5
-;;;von Arx Christian;*;;;;;;;8.75
-;4;8.75;Henzer Andreas;**;9;56.0;4;8.75;0;0.0;8.75
+;9;17.5;Büttler Adrian (1999);;17;54.0;5;18.75;-4;1.25;9.75
+;9;27.25;Treier Tobias (1998);;22;52.75;9;27.25;0;0.0;10.0
o;7;37.25;Odermatt Christian;**;12;55.25;8;37.0;1;-0.25;8.75
o;10;46.0;Stüdeli Thomas;**;7;56.5;7;46.75;-3;0.75;8.5

15e;Bader Andreas;*;;;;;;;;;54.5
-;;;Steinmann Yves;*;;;;;;;9.0
o;3;9.0;Räbmatter Patrick;**;1;58.5;5;8.5;2;-0.5;8.5
+;9;17.5;Wilhelm Manuel;;16;54.25;6;18.5;-3;1.0;10.0
+;8;27.5;Furrer Mathias;;14;54.75;6;28.0;-2;0.5;9.75
-;7;37.25;Henzer Andreas;**;9;56.0;7;37.25;0;0.0;8.75
o;10;46.0;Studinger Mathias;**;10;55.75;10;46.0;0;0.0;8.5

15f;Widmer Dino;;;;;;;;;;54.5
-;;;Müller Simon;;;;;;;;8.75
-;4;8.75;Bär Leo;;17;54.0;4;8.75;0;0.0;8.75
-;9;17.5;Reinhard Adrian (1997);;15;54.5;6;18.5;-3;1.0;8.75
+;12;26.25;Wyss Cyrill;;29;34.0;15;25.5;3;-0.75;10.0
o;11;36.25;Hügli Kaj (1997);*;14;54.75;12;36.0;1;-0.25;8.5
+;15;44.75;Leu Dominik (1999);;20;53.25;15;44.75;0;0.0;9.75

16a;Widmer Sandro;;;;;;;;;;54.25
-;;;Kohler Adrian;;;;;;;;8.75
+;4;8.75;Fritz Andreas;;26;34.75;4;8.75;0;0.0;10.0
o;5;18.75;Henzer Andreas;**;9;56.0;9;17.5;4;-1.25;8.5
o;9;27.25;Odermatt Christian;**;12;55.25;9;27.25;0;0.0;8.5
o;13;35.75;Studer Remo;;15;54.5;11;36.25;-2;0.5;8.75
+;16;44.5;Grossmann Andreas;;20;53.25;16;44.5;0;0.0;9.75

16b;Strebel Sandro;**;;;;;;;;;54.25
o;;;Waldner Patrick;**;;;;;;;8.5
-;5;8.5;Winiger Fabian;**;10;55.75;5;8.5;0;0.0;8.75
+;10;17.25;Lehmann Robin (1999);;18;53.75;6;18.5;-4;1.25;10.0
+;9;27.25;Burren Patrick (1999);;17;54.0;9;27.25;0;0.0;9.75
o;8;37.0;Hermann Oliver;;12;55.25;9;36.75;1;-0.25;8.75
o;11;45.75;Lang Martin;**;11;55.5;11;45.75;0;0.0;8.5

16c;Kaspar Jan (1999);;;;;;;;;;54.25
+;;;Haymoz Jan (1999);;;;;;;;10.0
o;1;10.0;Brun Samuel (1999);;13;55.0;2;9.75;1;-0.25;8.5
-;6;18.5;Gisin Yanic;;20;53.25;9;17.5;3;-1.0;8.75
o;9;27.25;Kaech Frank;*;9;56.0;10;27.0;1;-0.25;8.5
+;13;35.75;Bär Leo;;17;54.0;13;35.75;0;0.0;9.75
o;12;45.5;Dobler Florian;;12;55.25;12;45.5;0;0.0;8.75

16d;Fritz Christian;;;;;;;;;;54.25
o;;;Andermatt Adrian;;;;;;;;8.5
o;5;8.5;Studer Remo;;15;54.5;3;9.0;-2;0.5;8.5
+;11;17.0;Wittlin Philipp;;29;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Mangold Michael (1997);;12;55.25;10;27.0;0;0.0;8.5
+;14;35.5;Burren Patrick (1999);;17;54.0;13;35.75;-1;0.25;9.75
-;13;45.25;Müller Simon;;16;54.25;13;45.25;0;0.0;9.0

16e;Müller Simon;;;;;;;;;;54.25
-;;;Widmer Dino;;;;;;;;8.75
+;4;8.75;Stich Yannick (1997);;23;52.5;5;8.5;1;-0.25;9.75
o;6;18.5;Scherrer Johann;**;14;54.75;10;17.25;4;-1.25;8.5
o;10;27.0;Krebs Clemens;;12;55.25;9;27.25;-1;0.25;8.5
+;14;35.5;Burkhardt Roy;;22;52.75;13;35.75;-1;0.25;9.75
-;13;45.25;Fritz Christian;;16;54.25;13;45.25;0;0.0;9.0

16f;Kramer Franz;*;;;;;;;;;54.25
o;;;Kocher Remo;**;;;;;;;8.5
+;5;8.5;Kaech Frank;*;9;56.0;5;8.5;0;0.0;10.0
+;6;18.5;Brügger Cyrill (1998);;12;55.25;3;19.5;-3;1.0;10.0
o;4;28.5;Gisler Bruno;***;5;57.0;9;27.25;5;-1.25;8.5
-;8;37.0;Kohler Adrian;;10;55.75;8;37.0;0;0.0;8.75
o;11;45.75;Mangold Michael (1997);;12;55.25;12;45.5;1;-0.25;8.5

16g;Wilhelm Manuel;;;;;;;;;;54.25
o;;;Stoll Simon;;;;;;;;8.5
+;5;8.5;Nebiker Thomas;;24;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Bader Andreas;*;15;54.5;9;17.5;3;-1.0;8.5
+;10;27.0;Stich Yannick (1997);;23;52.5;10;27.0;0;0.0;9.75
o;9;36.75;von Arx Christian;*;12;55.25;8;37.0;-1;0.25;8.5
-;13;45.25;Riesen Ruedi;;17;54.0;14;45.0;1;-0.25;9.0

17a;Burren Patrick (1999);;;;;;;;;;54.0
+;;;Wyss Cyrill;;;;;;;;9.75
-;2;9.75;Gisin Yanic;;20;53.25;3;9.0;1;-0.75;9.0
o;5;18.75;Steinmann Yves;*;10;55.75;9;17.5;4;-1.25;8.5
o;9;27.25;Strebel Sandro;**;16;54.25;9;27.25;0;0.0;8.5
o;13;35.75;Fritz Christian;;16;54.25;14;35.5;1;-0.25;8.5
+;17;44.25;Buess Dominik;;23;52.5;18;44.0;1;-0.25;9.75

17b;Küng Marco;;;;;;;;;;54.0
+;;;Krebs Clemens;;;;;;;;9.75
-;2;9.75;Suter Beat;;11;55.5;1;10.0;-1;0.25;8.75
o;6;18.5;Odermatt Christian;**;12;55.25;10;17.25;4;-1.25;8.5
+;10;27.0;Grossmann Andreas;;20;53.25;13;26.0;3;-1.0;10.0
o;8;37.0;Waldner Patrick;**;10;55.75;8;37.0;0;0.0;8.5
o;12;45.5;Kohler Adrian;;10;55.75;11;45.75;-1;0.25;8.5

17c;Regenass Beat;;;;;;;;;;54.0
-;;;Wüthrich Martin;;;;;;;;8.75
o;4;8.75;Furrer Mathias;;14;54.75;2;9.75;-2;1.0;8.5
o;10;17.25;Hermann Oliver;;12;55.25;6;18.5;-4;1.25;8.5
+;14;25.75;Weber Stephan;;29;34.0;15;25.5;1;-0.25;10.0
+;13;35.75;Lehmann Robin (1999);;18;53.75;14;35.5;1;-0.25;9.75
o;12;45.5;Döbeli Andreas (1998);*;11;55.5;12;45.5;0;0.0;8.5

17d;Bär Leo;;;;;;;;;;54.0
-;;;Fritz Andreas;;;;;;;;8.75
-;4;8.75;Widmer Dino;;15;54.5;4;8.75;0;0.0;8.75
+;9;17.5;Schaub Adrian (1999);;25;35.0;9;17.5;0;0.0;9.75
o;9;27.25;Hügli Kaj (1997);*;14;54.75;13;26.0;4;-1.25;8.5
o;13;35.75;Kaspar Jan (1999);;16;54.25;13;35.75;0;0.0;8.5
+;17;44.25;Burkhardt Roy;;22;52.75;17;44.25;0;0.0;9.75

17e;Büchi Christian;;;;;;;;;;54.0
o;;;Nyffeler Christoph;;;;;;;;8.5
o;5;8.5;Krebs Clemens;;12;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Weber Stephan;;29;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Hauri Urs;**;6;56.75;9;27.25;-1;0.25;8.5
+;14;35.5;Abt Robin (1997);;17;54.0;13;35.75;-1;0.25;10.0
o;12;45.5;Schneider Markus;*;10;55.75;11;45.75;-1;0.25;8.5

17f;Haymoz Jan (1999);;;;;;;;;;54.0
o;;;Kaspar Jan (1999);;;;;;;;8.5
o;5;8.5;Burkhardt Roy;;22;52.75;5;8.5;0;0.0;8.5
+;11;17.0;Nebiker Thomas;;24;35.25;11;17.0;0;0.0;10.0
o;10;27.0;Schneider Markus;*;10;55.75;13;26.0;3;-1.0;8.5
+;14;35.5;Stich Yannick (1997);;23;52.5;14;35.5;0;0.0;10.0
o;12;45.5;Lehmann Nicola;*;11;55.5;12;45.5;0;0.0;8.5

17g;Inderwildi Daniel;;;;;;;;;;54.0
-;;;Grossmann Andreas;;;;;;;;8.75
+;4;8.75;Weber Stephan;;29;34.0;5;8.5;1;-0.25;9.75
o;6;18.5;Dobler Florian;;12;55.25;9;17.5;3;-1.0;8.5
+;10;27.0;Buess Dominik;;23;52.5;11;26.75;1;-0.25;9.75
-;9;36.75;Lehmann Nicola;*;11;55.5;9;36.75;0;0.0;8.75
o;12;45.5;Winiger Fabian;**;10;55.75;11;45.75;-1;0.25;8.5

17h;Abt Robin (1997);;;;;;;;;;54.0
o;;;Reimann Marco (1998);;;;;;;;8.5
-;5;8.5;Haymoz Kevin;;21;53.0;5;8.5;0;0.0;8.75
o;10;17.25;Riesen Ruedi;;17;54.0;7;18.25;-3;1.0;8.5
+;14;25.75;Körkel Yannik (1997);;24;35.25;11;26.75;-3;1.0;10.0
o;13;35.75;Büchi Christian;;17;54.0;14;35.5;1;-0.25;8.5
+;17;44.25;Treier Tobias (1998);;22;52.75;17;44.25;0;0.0;9.75

17i;Büttler Adrian (1999);;;;;;;;;;54.0
+;;;Zagarella Davide (1999);;;;;;;;10.0
o;1;10.0;Roth Christian;;19;53.5;2;9.75;1;-0.25;8.75
o;5;18.75;Widmer Tobias;**;15;54.5;9;17.5;4;-1.25;8.5
o;9;27.25;Döbeli Andreas (1998);*;11;55.5;9;27.25;0;0.0;8.5
+;13;35.75;Treier Tobias (1998);;22;52.75;13;35.75;0;0.0;9.75
o;12;45.5;Suter Beat;;11;55.5;11;45.75;-1;0.25;8.5

17j;Riesen Ruedi;;;;;;;;;;54.0
o;;;Hasler Manuel;;;;;;;;8.5
+;5;8.5;Dobler Florian;;12;55.25;3;9.0;-2;0.5;9.75
+;7;18.25;Abt Robin (1997);;17;54.0;10;17.25;3;-1.0;9.75
o;6;28.0;Vieira Tiago;**;9;56.0;8;27.5;2;-0.5;8.5
o;10;36.5;Klausner Yanick;**;12;55.25;9;36.75;-1;0.25;8.5
-;14;45.0;Wilhelm Manuel;;16;54.25;13;45.25;-1;0.25;9.0

18a;Seiler Thomas;;;;;;;;;;53.75
+;;;Wittlin Philipp;;;;;;;;9.75
o;2;9.75;Andermatt Adrian;;12;55.25;2;9.75;0;0.0;8.5
+;7;18.25;Fehlmann Armin;;27;34.5;10;17.25;3;-1.0;10.0
o;5;28.25;Schmid David;**;3;57.5;4;28.5;-1;0.25;8.5
o;9;36.75;Hasler Manuel;;5;57.0;7;37.25;-2;0.5;8.5
o;13;45.25;Schaub Florent;;11;55.5;12;45.5;-1;0.25;8.5

18b;Lehmann Robin (1999);;;;;;;;;;53.75
+;;;Buess Dominik;;;;;;;;10.0
o;1;10.0;Brügger Cyrill (1998);;12;55.25;2;9.75;1;-0.25;8.5
o;6;18.5;Strebel Sandro;**;16;54.25;10;17.25;4;-1.25;8.5
o;10;27.0;Schaub Florent;;11;55.5;10;27.0;0;0.0;8.5
o;14;35.5;Regenass Beat;;17;54.0;13;35.75;-1;0.25;8.5
+;18;44.0;Stich Yannick (1997);;23;52.5;18;44.0;0;0.0;9.75

18c;Reimann Marco (1998);;;;;;;;;;53.75
+;;;Abt Robin (1997);;;;;;;;9.75
+;2;9.75;Fehlmann Armin;;27;34.5;4;8.75;2;-1.0;10.0
o;2;19.75;Waldner Patrick;**;10;55.75;6;18.5;4;-1.25;8.5
o;5;28.25;Brand Christian;**;12;55.25;5;28.25;0;0.0;8.5
o;9;36.75;Brügger Cyrill (1998);;12;55.25;9;36.75;0;0.0;8.5
o;13;45.25;Krebs Clemens;;12;55.25;12;45.5;-1;0.25;8.5

19a;Roth Christian;;;;;;;;;;53.5
+;;;Burkhardt Roy;;;;;;;;9.75
+;2;9.75;Büttler Adrian (1999);;17;54.0;1;10.0;-1;0.25;9.75
o;3;19.5;Studinger Stephan;**;5;57.0;6;18.5;3;-1.0;8.5
o;6;28.0;Steinmann Yves;*;10;55.75;8;27.5;2;-0.5;8.5
o;10;36.5;Furrer Mathias;;14;54.75;10;36.5;0;0.0;8.5
o;14;45.0;Widmer David;;13;55.0;14;45.0;0;0.0;8.5

19b;Steger Robert (1998);;;;;;;;;;53.5
+;;;Stich Yannick (1997);;;;;;;;9.75
+;2;9.75;Gisin Yanic;;20;53.25;3;9.0;1;-0.75;9.75
o;3;19.5;Blatter Lorenz;**;5;57.0;7;18.25;4;-1.25;8.5
o;6;28.0;Henzer Andreas;**;9;56.0;9;27.25;3;-0.75;8.5
o;10;36.5;Brun Samuel (1999);;13;55.0;9;36.75;-1;0.25;8.5
o;14;45.0;Hiltbrand Ron;;13;55.0;13;45.25;-1;0.25;8.5

20a;Leu Dominik (1999);;;;;;;;;;53.25
+;;;Schaub Adrian (1999);;;;;;;;9.75
-;2;9.75;Fehlmann Armin;;27;34.5;4;8.75;2;-1.0;8.75
o;6;18.5;Hauri Urs;**;6;56.75;10;17.25;4;-1.25;8.5
-;10;27.0;Burtschi Michael;;21;53.0;10;27.0;0;0.0;9.0
o;12;36.0;Schneider Markus;*;10;55.75;12;36.0;0;0.0;8.75
o;15;44.75;Widmer Dino;;15;54.5;15;44.75;0;0.0;8.5

20b;Gisin Yanic;;;;;;;;;;53.25
-;;;Burren Patrick (1999);;;;;;;;9.0
o;3;9.0;Steger Robert (1998);;19;53.5;2;9.75;-1;0.75;8.5
-;9;17.5;Kaspar Jan (1999);;16;54.25;6;18.5;-3;1.0;8.75
+;12;26.25;Zagarella Davide (1999);;28;34.25;14;25.75;2;-0.5;10.0
o;11;36.25;Probst Gabriel;**;12;55.25;9;36.75;-2;0.5;8.5
o;15;44.75;Siegrist Christian (1997);;14;54.75;14;45.0;-1;0.25;8.5

20c;Grossmann Andreas;;;;;;;;;;53.25
-;;;Inderwildi Daniel;;;;;;;;8.75
o;4;8.75;Kohler Adrian;;10;55.75;4;8.75;0;0.0;8.5
-;10;17.25;Wüthrich Martin;;26;34.75;10;17.25;0;0.0;8.75
+;13;26.0;Aeschlimann Fabian (1999);;27;34.5;13;26.0;0;0.0;10.0
o;12;36.0;Küng Marco;;17;54.0;8;37.0;-4;1.0;8.5
o;16;44.5;Widmer Sandro;;16;54.25;16;44.5;0;0.0;8.75

21a;Haymoz Kevin;;;;;;;;;;53.0
o;;;Furrer Mathias;;;;;;;;8.5
-;5;8.5;Abt Robin (1997);;17;54.0;5;8.5;0;0.0;8.75
+;10;17.25;Zagarella Davide (1999);;28;34.25;11;17.0;1;-0.25;9.75
-;10;27.0;Burkhardt Roy;;22;52.75;10;27.0;0;0.0;8.75
o;13;35.75;Lang Martin;**;11;55.5;13;35.75;0;0.0;8.5
-;17;44.25;Stich Yannick (1997);;23;52.5;18;44.0;1;-0.25;8.75

21b;Burtschi Michael;;;;;;;;;;53.0
o;;;Suter Beat;;;;;;;;8.5
o;5;8.5;Siegrist Christian (1997);;14;54.75;5;8.5;0;0.0;8.5
+;11;17.0;Aeschlimann Fabian (1999);;27;34.5;9;17.5;-2;0.5;10.0
-;10;27.0;Leu Dominik (1999);;20;53.25;10;27.0;0;0.0;9.0
o;12;36.0;Scherrer Johann;**;14;54.75;11;36.25;-1;0.25;8.5
o;16;44.5;Reinhard Adrian (1997);;15;54.5;16;44.5;0;0.0;8.5

22a;Treier Tobias (1998);;;;;;;;;;52.75
+;;;Aeschlimann Fabian (1999);;;;;;;;10.0
o;1;10.0;Hiltbrand Ron;;13;55.0;2;9.75;1;-0.25;8.5
-;6;18.5;Schneider Markus;*;10;55.75;11;17.0;5;-1.5;8.75
o;9;27.25;Widmer Tobias;**;15;54.5;9;27.25;0;0.0;8.5
o;13;35.75;Büttler Adrian (1999);;17;54.0;13;35.75;0;0.0;8.5
o;17;44.25;Abt Robin (1997);;17;54.0;17;44.25;0;0.0;8.5

22b;Burkhardt Roy;;;;;;;;;;52.75
o;;;Roth Christian;;;;;;;;8.5
+;5;8.5;Haymoz Jan (1999);;17;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Döbeli Andreas (1998);*;11;55.5;10;17.25;4;-1.25;8.5
-;10;27.0;Haymoz Kevin;;21;53.0;10;27.0;0;0.0;8.75
o;13;35.75;Müller Simon;;16;54.25;14;35.5;1;-0.25;8.5
o;17;44.25;Bär Leo;;17;54.0;17;44.25;0;0.0;8.5

23a;Stich Yannick (1997);;;;;;;;;;52.5
o;;;Steger Robert (1998);;;;;;;;8.5
o;5;8.5;Müller Simon;;16;54.25;4;8.75;-1;0.25;8.5
+;11;17.0;Wyss Cyrill;;29;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Wilhelm Manuel;;16;54.25;10;27.0;0;0.0;8.5
o;14;35.5;Haymoz Jan (1999);;17;54.0;14;35.5;0;0.0;8.5
o;18;44.0;Lehmann Robin (1999);;18;53.75;18;44.0;0;0.0;8.5
-;23;52.5;Haymoz Kevin;;21;53.0;21;53.0;-2;0.5;0.0

23b;Buess Dominik;;;;;;;;;;52.5
o;;;Lehmann Robin (1999);;;;;;;;8.5
+;5;8.5;Wittlin Philipp;;29;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Lang Martin;**;11;55.5;11;17.0;4;-1.25;8.5
o;11;26.75;Inderwildi Daniel;;17;54.0;10;27.0;-1;0.25;8.75
o;14;35.5;Winiger Fabian;**;10;55.75;13;35.75;-1;0.25;8.5
o;18;44.0;Burren Patrick (1999);;17;54.0;17;44.25;-1;0.25;8.5

24a;Körkel Yannik (1997);;;;;;;;;;35.25
o;;;Brügger Cyrill (1998);;;;;;;;8.5
+;5;8.5;Wyss Cyrill;;29;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Kaech Frank;*;9;56.0;11;17.0;4;-1.25;8.5
o;11;26.75;Abt Robin (1997);;17;54.0;14;25.75;3;-1.0;8.5

24b;Nebiker Thomas;;;;;;;;;;35.25
o;;;Mangold Michael (1997);;;;;;;;8.5
o;5;8.5;Wilhelm Manuel;;16;54.25;5;8.5;0;0.0;8.5
o;11;17.0;Haymoz Jan (1999);;17;54.0;11;17.0;0;0.0;8.5
+;15;25.5;Wittlin Philipp;;29;34.0;15;25.5;0;0.0;9.75

24c;Moser Matthias;*;;;;;;;;;35.25
o;;;Hasler Jimmy;*;;;;;;;8.5
-;5;8.5;Schläpfer Matthias;*;30;26.25;4;8.75;-1;0.25;8.75
-;10;17.25;Krebs Clemens;;12;55.25;6;18.5;-4;1.25;9.0
-;12;26.25;Dobler Florian;;12;55.25;8;27.5;-4;1.25;9.0

25a;Schaub Adrian (1999);;;;;;;;;;35.0
o;;;Leu Dominik (1999);;;;;;;;8.5
-;5;8.5;Aeschlimann Fabian (1999);;27;34.5;5;8.5;0;0.0;9.0
o;9;17.5;Bär Leo;;17;54.0;9;17.5;0;0.0;8.75
-;12;26.25;Wüthrich Martin;;26;34.75;13;26.0;1;-0.25;8.75

26a;Wüthrich Martin;;;;;;;;;;34.75
-;;;Regenass Beat;;;;;;;;8.75
o;4;8.75;Schaub Florent;;11;55.5;5;8.5;1;-0.25;8.5
-;10;17.25;Grossmann Andreas;;20;53.25;10;17.25;0;0.0;8.75
-;13;26.0;Schaub Adrian (1999);;25;35.0;12;26.25;-1;0.25;8.75

26b;Fritz Andreas;;;;;;;;;;34.75
-;;;Bär Leo;;;;;;;;8.75
o;4;8.75;Widmer Sandro;;16;54.25;4;8.75;0;0.0;8.5
o;10;17.25;Siegrist Christian (1997);;14;54.75;7;18.25;-3;1.0;8.5
-;14;25.75;Fehlmann Armin;;27;34.5;14;25.75;0;0.0;9.0

27a;Aeschlimann Fabian (1999);;;;;;;;;;34.5
o;;;Treier Tobias (1998);;;;;;;;8.5
-;5;8.5;Schaub Adrian (1999);;25;35.0;5;8.5;0;0.0;9.0
o;9;17.5;Burtschi Michael;;21;53.0;11;17.0;2;-0.5;8.5
o;13;26.0;Grossmann Andreas;;20;53.25;13;26.0;0;0.0;8.5

27b;Fehlmann Armin;;;;;;;;;;34.5
-;;;Leu Dominik (1999);;;;;;;;8.75
o;4;8.75;Reimann Marco (1998);;18;53.75;2;9.75;-2;1.0;8.5
o;10;17.25;Seiler Thomas;;18;53.75;7;18.25;-3;1.0;8.5
-;14;25.75;Fritz Andreas;;26;34.75;14;25.75;0;0.0;8.75

28a;Zagarella Davide (1999);;;;;;;;;;34.25
o;;;Büttler Adrian (1999);;;;;;;;8.5
o;5;8.5;Reinhard Adrian (1997);;15;54.5;5;8.5;0;0.0;8.5
o;11;17.0;Haymoz Kevin;;21;53.0;10;17.25;-1;0.25;8.75
o;14;25.75;Gisin Yanic;;20;53.25;12;26.25;-2;0.5;8.5

29a;Wittlin Philipp;;;;;;;;;;34.0
o;;;Seiler Thomas;;;;;;;;8.5
o;5;8.5;Buess Dominik;;23;52.5;5;8.5;0;0.0;8.5
o;11;17.0;Fritz Christian;;16;54.25;11;17.0;0;0.0;8.5
o;15;25.5;Nebiker Thomas;;24;35.25;15;25.5;0;0.0;8.5

29b;Wyss Cyrill;;;;;;;;;;34.0
o;;;Burren Patrick (1999);;;;;;;;8.5
o;5;8.5;Körkel Yannik (1997);;24;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Stich Yannick (1997);;23;52.5;11;17.0;0;0.0;8.5
o;15;25.5;Widmer Dino;;15;54.5;12;26.25;-3;0.75;8.5

29c;Weber Stephan;;;;;;;;;;34.0
o;;;Widmer David;;;;;;;;8.5
o;5;8.5;Inderwildi Daniel;;17;54.0;4;8.75;-1;0.25;8.5
o;11;17.0;Büchi Christian;;17;54.0;11;17.0;0;0.0;8.5
o;15;25.5;Regenass Beat;;17;54.0;14;25.75;-1;0.25;8.5

30a;Strebel Joel (1997);**;;;;;;;;;26.25
o;;;Studinger Stephan;**;;;;;;;8.75
-;4;8.75;Bächli Michael (1998);**;30;26.25;4;8.75;0;0.0;9.0
o;8;17.75;Stoll Simon;;13;55.0;4;19.0;-4;1.25;8.5

30b;Bächli Michael (1998);**;;;;;;;;;26.25
-;;;Stüdeli Thomas;**;;;;;;;8.75
-;4;8.75;Strebel Joel (1997);**;30;26.25;4;8.75;0;0.0;8.75
o;9;17.5;Suter Beat;;11;55.5;5;18.75;-4;1.25;8.75

30c;Schläpfer Matthias;*;;;;;;;;;26.25
-;;;Hügli Kaj (1997);*;;;;;;;8.75
-;4;8.75;Moser Matthias;*;24;35.25;5;8.5;1;-0.25;8.75
-;9;17.5;Widmer David;;13;55.0;5;18.75;-4;1.25;8.75

31a;Löw Christophe;**;;;;;;;;;17.25
o;;;Huber Jan (1997);*;;;;;;;8.5
-;5;8.5;Döbeli Andreas (1998);*;11;55.5;5;8.5;0;0.0;8.75

