3339-2019-06-23_Fete_alpestre_Lac_Noir-Bergschwinget_Schwarzsee-ST

1a;Aeschbacher Matthias;**;;;;;;;;;58.75
+;10;27.25;Minder Florian;**;20;53.25;10;27.25;0;0.0;10.0
+;8;37.25;Brodard Augustin;**;12;55.25;9;37.0;1;-0.25;10.0
-;6;47.25;Orlik Curdin;**;5;57.0;4;48.25;-2;1.0;8.75

10a;Dändliker Shane;**;;;;;;;;;55.75
o;;;von Weissenfluh Kilian;**;;;;;;;8.75
+;4;8.75;Ducry Antoine;**;14;54.75;4;8.75;0;0.0;9.75
o;6;18.5;Gobeli Patrick;**;5;57.0;5;18.75;-1;0.25;8.5
-;11;27.0;Gottofrey Marc;**;14;54.75;11;27.0;0;0.0;9.0
+;13;36.0;Lerch Jimmy;*;22;52.5;15;35.5;2;-0.5;10.0
+;11;46.0;Habegger Heinz;**;15;54.5;11;46.0;0;0.0;9.75

11a;Good Marco;*;;;;;;;;;55.5
-;;;Matthey Mickaël;**;;;;;;;9.0
+;3;9.0;Habegger Heinz;**;15;54.5;1;10.0;-2;1.0;10.0
-;4;19.0;Wenger Kilian;***;7;56.5;6;18.5;2;-0.5;8.75
-;8;27.75;Zangger Dominik;*;11;55.5;7;28.0;-1;0.25;9.0
+;10;36.75;Ramseier Thomas;*;14;54.75;13;36.0;3;-0.75;10.0
o;8;46.75;Zenger Niklaus;***;6;56.75;8;46.75;0;0.0;8.75

11b;Ramseier Fritz;**;;;;;;;;;55.5
+;;;Minder Florian;**;;;;;;;10.0
+;1;10.0;Balimann Sandro (2001);*;20;53.25;4;8.75;3;-1.25;10.0
o;1;20.0;von Weissenfluh Kilian;**;5;57.0;2;19.75;1;-0.25;8.5
o;5;28.5;Kämpf Bernhard;***;5;57.0;6;28.25;1;-0.25;8.5
+;9;37.0;Wittenwiler Roman;*;18;53.75;11;36.5;2;-0.5;9.75
-;8;46.75;Burkhalter Stefan;***;13;55.0;10;46.25;2;-0.5;8.75

11c;Kämpf Alexander;**;;;;;;;;;55.5
-;;;Ducry Antoine;**;;;;;;;8.75
+;4;8.75;Dubey Gaël;*;26;34.5;5;8.5;1;-0.25;9.75
-;6;18.5;Geisser Lars;**;15;54.5;6;18.5;0;0.0;8.75
+;10;27.25;Balimann Sandro (2001);*;20;53.25;14;26.0;4;-1.25;9.75
o;9;37.0;Schneider Domenic;***;15;54.5;12;36.25;3;-0.75;8.5
+;13;45.5;Riedo Fredy;*;17;54.0;13;45.5;0;0.0;10.0

11d;Roth Martin;**;;;;;;;;;55.5
o;;;Gottofrey Marc;**;;;;;;;8.5
+;5;8.5;Crettaz Olivier;*;27;34.25;5;8.5;0;0.0;10.0
+;6;18.5;Steffen Valentin;*;23;35.75;5;18.75;-1;0.25;9.75
-;6;28.25;Staudenmann Fabian;**;4;57.25;4;28.75;-2;0.5;9.0
+;8;37.25;Schwander Severin;**;16;54.25;8;37.25;0;0.0;9.75
o;7;47.0;Käser Remo;***;4;57.25;6;47.25;-1;0.25;8.5

11e;Zangger Dominik;*;;;;;;;;;55.5
-;;;Balimann Sandro (2001);*;;;;;;;9.0
+;3;9.0;Buchs Carlo;*;27;34.25;5;8.5;2;-0.5;10.0
-;4;19.0;Schlegel Werner (2002);*;14;54.75;6;18.5;2;-0.5;9.0
-;7;28.0;Good Marco;*;11;55.5;8;27.75;1;-0.25;9.0
+;9;37.0;Kuster Marcel;***;13;55.0;11;36.5;2;-0.5;10.0
o;7;47.0;Kramer Lario;**;7;56.5;8;46.75;1;-0.25;8.5

11f;Ducrest Etienne;*;;;;;;;;;55.5
+;;;Schwander Severin;**;;;;;;;9.75
o;2;9.75;Sempach Thomas;***;7;56.5;2;9.75;0;0.0;8.5
-;7;18.25;Dubey Gaël;*;26;34.5;11;17.0;4;-1.25;9.0
o;10;27.25;Rolli Martin;**;8;56.25;7;28.0;-3;0.75;8.5
+;14;35.75;Duplan Steve;**;16;54.25;15;35.5;1;-0.25;10.0
+;12;45.75;Steffen Konrad;*;15;54.5;12;45.75;0;0.0;9.75

11g;Krähenbühl Tobias;***;;;;;;;;;55.5
o;;;Anderegg Simon;***;;;;;;;8.5
+;5;8.5;Leuenberger Michael;*;12;55.25;1;10.0;-4;1.5;10.0
o;6;18.5;Schwander Severin;**;16;54.25;6;18.5;0;0.0;8.5
+;11;27.0;von Büren Stephan;**;13;55.0;6;28.25;-5;1.25;10.0
+;9;37.0;Borcard Johann;**;16;54.25;9;37.0;0;0.0;10.0
o;7;47.0;Wiget Michael;*;6;56.75;8;46.75;1;-0.25;8.5

11h;Gerber Christian;**;;;;;;;;;55.5
+;;;Geisser Lars;**;;;;;;;9.75
-;2;9.75;Rychen Roger;***;15;54.5;2;9.75;0;0.0;8.75
+;6;18.5;Riedo Fredy;*;17;54.0;6;18.5;0;0.0;10.0
+;5;28.5;Wey Nicola;*;12;55.25;5;28.5;0;0.0;9.75
-;4;38.25;Gobeli Patrick;**;5;57.0;4;38.25;0;0.0;8.75
o;7;47.0;Bösch Daniel;***;6;56.75;7;47.0;0;0.0;8.5

11i;Gäumann Stefan;*;;;;;;;;;55.5
+;;;Kramer Dorian;*;;;;;;;9.75
+;2;9.75;Piemontesi Pascal;**;18;53.75;3;9.0;1;-0.75;10.0
+;2;19.75;Collaud Romain (2002);*;16;54.25;5;18.75;3;-1.0;9.75
o;2;29.5;Anderegg Simon;***;3;58.0;2;29.5;0;0.0;8.5
-;5;38.0;Kramer Lario;**;7;56.5;6;37.75;1;-0.25;9.0
o;7;47.0;Gobeli Patrick;**;5;57.0;7;47.0;0;0.0;8.5

12a;Wey Nicola;*;;;;;;;;;55.25
+;;;Crettaz Olivier;*;;;;;;;10.0
o;1;10.0;Zenger Niklaus;***;6;56.75;2;9.75;1;-0.25;8.5
+;6;18.5;Borcard Clovis;*;18;53.75;6;18.5;0;0.0;10.0
o;5;28.5;Gerber Christian;**;11;55.5;5;28.5;0;0.0;8.5
o;9;37.0;von Büren Stephan;**;13;55.0;10;36.75;1;-0.25;8.5
+;13;45.5;Schwander Severin;**;16;54.25;12;45.75;-1;0.25;9.75

12b;Dumelin David;**;;;;;;;;;55.25
o;;;Lengacher Jonas;**;;;;;;;8.5
+;5;8.5;Parvex Yannick;*;28;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Leuenberger Michael;*;12;55.25;6;18.5;0;0.0;10.0
o;5;28.5;Aeschbacher Matthias;**;1;58.75;4;28.75;-1;0.25;8.5
o;9;37.0;Sempach Thomas;***;7;56.5;9;37.0;0;0.0;8.5
+;13;45.5;Borcard Johann;**;16;54.25;12;45.75;-1;0.25;9.75

