2756-2016-06-19_Fete_Alpestre_Lac_Noir-Schwarzsee-Schwingfest2-ST

1a;Sempach Matthias;***;;;;;;;;;58.5
+;5;8.5;Barras David;*;25;35.5;4;8.75;-1;0.25;10.0
o;6;18.5;Aeschbacher Matthias;**;6;56.75;7;18.25;1;-0.25;8.5
+;10;27.0;Schwander Severin;*;25;35.5;10;27.0;0;0.0;9.75
+;12;36.75;Sempach Thomas;***;10;55.75;10;37.25;-2;0.5;9.75
-;9;46.5;Anderegg Simon;***;11;55.5;8;46.75;-1;0.25;8.75

13a;Borcard Johann;**;;;;;;;;;55.0
o;;;Marti Stefan;**;;;;;;;8.5
+;5;8.5;Zenger Niklaus;***;10;55.75;4;8.75;-1;0.25;9.75
+;7;18.25;Wüthrich Niklaus;**;25;35.5;6;18.5;-1;0.25;9.75
-;7;28.0;Mathys Simon;*;11;55.5;5;28.5;-2;0.5;8.75
+;12;36.75;Gäggeler Adrian;*;14;54.75;11;37.0;-1;0.25;9.75
o;9;46.5;Röthlisberger Simon;**;6;56.75;8;46.75;-1;0.25;8.5

13b;Hersche Martin;**;;;;;;;;;55.0
+;;;Schwander Severin;*;;;;;;;9.75
o;2;9.75;Käser Remo;**;7;56.5;3;9.0;1;-0.75;8.5
+;7;18.25;Schütz Urs;**;17;54.0;6;18.5;-1;0.25;10.0
+;6;28.25;Gäggeler Adrian;*;14;54.75;5;28.5;-1;0.25;9.75
o;7;38.0;Zaugg Thomas;***;6;56.75;6;38.25;-1;0.25;8.5
o;9;46.5;Gnägi Florian;***;6;56.75;7;47.0;-2;0.5;8.5

13c;Roschi Ruedi;**;;;;;;;;;55.0
+;;;Cropt Harald;**;;;;;;;9.75
o;2;9.75;Guisolan Marc;**;6;56.75;5;8.5;3;-1.25;8.5
o;7;18.25;Krähenbühl Tobias;**;10;55.75;6;18.5;-1;0.25;8.5
+;11;26.75;Roch Vincent;**;26;35.25;11;26.75;0;0.0;9.75
+;13;36.5;Zosso Remo;**;20;53.0;16;35.75;3;-0.75;10.0
o;9;46.5;Bösch Daniel;***;5;57.0;7;47.0;-2;0.5;8.5

13d;von Weissenfluh Kilian;*;;;;;;;;;55.0
+;;;Ducry Antoine;*;;;;;;;9.75
o;2;9.75;Rychen Roger;**;11;55.5;4;8.75;2;-1.0;8.5
o;7;18.25;Nydegger Michael;***;22;46.0;9;17.25;2;-1.0;8.5
+;11;26.75;Dousse Michel;**;29;34.25;13;25.75;2;-1.0;9.75
+;13;36.5;Gapany Benjamin;**;23;45.0;13;36.5;0;0.0;10.0
o;9;46.5;Zwyssig Raphael;***;8;56.25;9;46.5;0;0.0;8.5

14a;von Büren Stephan;*;;;;;;;;;54.75
-;;;Berset Julien;*;;;;;;;8.75
+;4;8.75;Overney Olivier;*;32;17.0;5;8.5;1;-0.25;9.75
-;6;18.5;Burkhalter Stefan;***;24;35.75;6;18.5;0;0.0;8.75
+;9;27.25;Gassmann Simon;*;25;35.5;10;27.0;1;-0.25;10.0
-;10;37.25;Nydegger Michael;***;22;46.0;11;37.0;1;-0.25;9.0
o;10;46.25;Glaus Martin;***;9;56.0;11;46.0;1;-0.25;8.5

14b;Piemontesi Pascal;**;;;;;;;;;54.75
-;;;Glaus Martin;***;;;;;;;8.75
+;4;8.75;Wyss Kilian;**;17;54.0;1;10.0;-3;1.25;10.0
-;5;18.75;Schenk Patrick;**;10;55.75;2;19.75;-3;1.0;8.75
-;8;27.5;Röthlisberger Simon;**;6;56.75;6;28.25;-2;0.75;8.75
+;14;36.25;Schneider Mario;**;15;54.5;15;36.0;1;-0.25;10.0
o;10;46.25;Orlik Armon;**;9;56.0;10;46.25;0;0.0;8.5

14c;Gäggeler Adrian;*;;;;;;;;;54.75
+;;;Mosimann Vincent;*;;;;;;;10.0
+;1;10.0;Nydegger Michael;***;22;46.0;5;8.5;4;-1.5;10.0
o;1;20.0;Zwyssig Raphael;***;8;56.25;6;18.5;5;-1.5;8.5
o;5;28.5;Hersche Martin;**;13;55.0;6;28.25;1;-0.25;8.5
o;11;37.0;Borcard Johann;**;13;55.0;12;36.75;1;-0.25;8.75
-;12;45.75;Battaglia Ursin;**;16;54.25;14;45.25;2;-0.5;9.0

15a;Kramer Lario (1998);**;;;;;;;;;54.5
o;;;Schenk Patrick;**;;;;;;;8.5
+;5;8.5;Rolli Martin;**;16;54.25;4;8.75;-1;0.25;10.0
o;6;18.5;Gnägi Florian;***;6;56.75;5;18.75;-1;0.25;8.5
+;10;27.0;Scherer Christian;*;25;35.5;10;27.0;0;0.0;10.0
o;11;37.0;Glarner Matthias;***;8;56.25;9;37.5;-2;0.5;8.5
-;13;45.5;Schütz Urs;**;17;54.0;14;45.25;1;-0.25;9.0

15b;Kämpf Alexander;**;;;;;;;;;54.5
+;;;Brodard Augustin;**;;;;;;;9.75
o;2;9.75;Sempach Thomas;***;10;55.75;2;9.75;0;0.0;8.5
-;7;18.25;Zosso Remo;**;20;53.0;7;18.25;0;0.0;8.75
-;10;27.0;Gottofrey Marc;**;16;54.25;10;27.0;0;0.0;8.75
+;16;35.75;Liaudat Rudy;**;21;52.75;16;35.75;0;0.0;10.0
-;12;45.75;Schneider Domenic;**;16;54.25;13;45.5;1;-0.25;8.75

15c;Schneider Mario;**;;;;;;;;;54.5
+;;;Zosso Remo;**;;;;;;;10.0
o;1;10.0;Stucki Christian;***;2;58.25;2;9.75;1;-0.25;8.5
-;6;18.5;Renfer Lukas;*;18;53.5;5;18.75;-1;0.25;8.75
-;9;27.25;Schenk Patrick;**;10;55.75;5;28.5;-4;1.25;8.75
o;15;36.0;Piemontesi Pascal;**;14;54.75;14;36.25;-1;0.25;8.5
+;17;44.5;Liaudat Rudy;**;21;52.75;18;44.25;1;-0.25;10.0

16a;Kuster Marcel;**;;;;;;;;;54.25
-;;;Zenger Niklaus;***;;;;;;;8.75
o;4;8.75;Moser Michael;**;6;56.75;1;10.0;-3;1.25;8.5
+;9;17.25;Dind Samuel;**;25;35.5;10;17.0;1;-0.25;9.75
+;10;27.0;Wüthrich Niklaus;**;25;35.5;10;27.0;0;0.0;10.0
o;11;37.0;Graber Willy;***;9;56.0;10;37.25;-1;0.25;8.75
o;12;45.75;Schenk Patrick;**;10;55.75;12;45.75;0;0.0;8.5

16b;Cropt Harald;**;;;;;;;;;54.25
o;;;Roschi Ruedi;**;;;;;;;8.5
-;5;8.5;Glauser Thomas;**;21;52.75;5;8.5;0;0.0;8.75
+;9;17.25;Emonet Fabien;**;30;34.0;10;17.0;1;-0.25;10.0
o;9;27.25;Wampfler Beat;***;11;55.5;9;27.25;0;0.0;8.5
+;16;35.75;Ramseier Fritz;*;16;54.25;16;35.75;0;0.0;9.75
-;13;45.5;Rolli Martin;**;16;54.25;13;45.5;0;0.0;8.75

16c;Ramseier Fritz;*;;;;;;;;;54.25
+;;;Hayoz Paul (1998);*;;;;;;;9.75
-;2;9.75;Moser Steven;**;31;17.25;5;8.5;3;-1.25;8.75
o;6;18.5;Liaudat Rudy;**;21;52.75;9;17.25;3;-1.25;8.5
-;10;27.0;Brodard Augustin;**;25;35.5;10;27.0;0;0.0;8.75
o;16;35.75;Cropt Harald;**;16;54.25;16;35.75;0;0.0;8.5
+;18;44.25;Glauser Thomas;**;21;52.75;18;44.25;0;0.0;10.0

16d;Schneider Domenic;**;;;;;;;;;54.25
o;;;Aeschbacher Matthias;**;;;;;;;8.5
+;5;8.5;Roch Vincent;**;26;35.25;5;8.5;0;0.0;9.75
-;7;18.25;Wampfler Beat;***;11;55.5;6;18.5;-1;0.25;8.75
+;10;27.0;Emonet Frédéric;*;26;35.25;11;26.75;1;-0.25;10.0
o;11;37.0;Gnägi Florian;***;6;56.75;10;37.25;-1;0.25;8.5
-;13;45.5;Schmid Reto;**;17;54.0;14;45.25;1;-0.25;8.75
-;16;54.25;Kämpf Alexander;**;15;54.5;15;54.5;-1;0.25;0.0

16e;Rolli Martin;**;;;;;;;;;54.25
-;;;Droxler Jonathan;**;;;;;;;8.75
o;4;8.75;Kramer Lario (1998);**;15;54.5;5;8.5;1;-0.25;8.5
+;9;17.25;Pouye Diey;*;28;34.5;9;17.25;0;0.0;9.75
-;10;27.0;Brodard Simon;**;19;53.25;10;27.0;0;0.0;8.75
+;16;35.75;Mosimann Vincent;*;21;52.75;16;35.75;0;0.0;9.75
-;13;45.5;Cropt Harald;**;16;54.25;13;45.5;0;0.0;8.75

16f;Marti Stefan;**;;;;;;;;;54.25
+;;;Borcard Johann;**;;;;;;;10.0
o;1;10.0;Orlik Armon;**;9;56.0;4;8.75;3;-1.25;8.5
+;6;18.5;Wickli Beat;**;16;54.25;6;18.5;0;0.0;10.0
-;5;28.5;Glaus Martin;***;9;56.0;9;27.25;4;-1.25;8.75
o;10;37.25;Bless Michael;***;10;55.75;11;37.0;1;-0.25;8.5
o;12;45.75;Rychen Roger;**;11;55.5;12;45.75;0;0.0;8.5

16g;Battaglia Ursin;**;;;;;;;;;54.25
o;;;Zaugg Thomas;***;;;;;;;8.5
o;5;8.5;Zosso Remo;**;20;53.0;5;8.5;0;0.0;8.5
+;10;17.0;Kropf Rolf;**;28;34.5;9;17.25;-1;0.25;10.0
+;10;27.0;Haenni Stéphane;**;25;35.5;10;27.0;0;0.0;9.75
o;12;36.75;Anderegg Simon;***;11;55.5;11;37.0;-1;0.25;8.5
-;14;45.25;Gäggeler Adrian;*;14;54.75;12;45.75;-2;0.5;9.0

16h;Wickli Beat;**;;;;;;;;;54.25
+;;;Emonet Frédéric;*;;;;;;;10.0
o;1;10.0;Zaugg Thomas;***;6;56.75;1;10.0;0;0.0;8.5
o;6;18.5;Marti Stefan;**;16;54.25;6;18.5;0;0.0;8.75
+;9;27.25;Cardinaux Victor;**;25;35.5;10;27.0;1;-0.25;9.75
o;11;37.0;Aeschbacher Matthias;**;6;56.75;11;37.0;0;0.0;8.75
o;12;45.75;Mathys Simon;*;11;55.5;12;45.75;0;0.0;8.5

16i;Gottofrey Marc;**;;;;;;;;;54.25
o;;;Krähenbühl Tobias;**;;;;;;;8.5
+;5;8.5;Ducry Antoine;*;26;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Wenger Kilian;***;4;57.25;6;18.5;0;0.0;8.5
-;10;27.0;Kämpf Alexander;**;15;54.5;10;27.0;0;0.0;8.75
+;16;35.75;Renfer Lukas;*;18;53.5;14;36.25;-2;0.5;10.0
o;12;45.75;Sempach Thomas;***;10;55.75;12;45.75;0;0.0;8.5

17a;Schütz Urs;**;;;;;;;;;54.0
-;;;Barras David;*;;;;;;;8.75
+;4;8.75;Hayoz Paul (1998);*;29;34.25;5;8.5;1;-0.25;9.75
o;6;18.5;Hersche Martin;**;13;55.0;7;18.25;1;-0.25;8.5
+;10;27.0;Ducry Antoine;*;26;35.25;11;26.75;1;-0.25;9.75
o;12;36.75;Glaus Martin;***;9;56.0;15;36.0;3;-0.75;8.5
-;14;45.25;Kramer Lario (1998);**;15;54.5;13;45.5;-1;0.25;8.75

17b;Schmid Reto;**;;;;;;;;;54.0
+;;;Glauser Thomas;**;;;;;;;9.75
o;2;9.75;Glaus Martin;***;9;56.0;4;8.75;2;-1.0;8.5
+;7;18.25;Berset Julien;*;27;34.75;8;17.5;1;-0.75;10.0
o;6;28.25;Gerber Christian;**;8;56.25;4;28.75;-2;0.5;8.5
