5192-2021-06-27_Glarner-Buendner_Kantonalschwingfest-ST

1a;Schneider Domenic;***;;;;;;;;;58.25
+;6;37.25;Schiesser Patrik;;7;56.25;3;38.0;-3;0.75;10.0
o;4;47.25;Leuppi Samir;***;2;57.5;3;47.5;-1;0.25;8.5

9e;Huber Alex;*;;;;;;;;;55.75
-;;;Oettli Marco;**;;;;;;;8.75
+;4;8.75;Baumgartner Ramon;;10;55.5;1;10.0;-3;1.25;10.0
-;4;18.75;Zwyssig Raphael;***;10;55.5;8;17.5;4;-1.25;8.75
+;8;27.5;Ziegler Andreas;;10;55.5;8;27.5;0;0.0;10.0
o;5;37.5;Leuppi Samir;***;2;57.5;5;37.5;0;0.0;8.5
+;9;46.0;Kammermann Dominik;;12;55.0;8;46.25;-1;0.25;9.75

9f;Notz Beni;***;;;;;;;;;55.75
+;;;Schläpfer Markus;**;;;;;;;10.0
o;1;10.0;Riget Tobias;**;8;56.0;2;9.75;1;-0.25;8.5
+;5;18.5;Baumann Rico;*;12;55.0;4;18.75;-1;0.25;9.75
-;5;28.25;Gmür Pirmin;**;5;56.75;4;28.5;-1;0.25;8.75
+;7;37.0;Fejzaj Naim;**;11;55.25;7;37.0;0;0.0;10.0
-;5;47.0;Schlegel Sandro;**;6;56.5;2;47.75;-3;0.75;8.75

9g;Oettli Silvio;*;;;;;;;;;55.75
-;;;Schlegel Reto;*;;;;;;;8.75
+;4;8.75;Mayer Elia (2004);;20;53.0;2;9.75;-2;1.0;9.75
-;5;18.5;Lenherr Cédric (2003);;16;54.0;4;18.75;-1;0.25;9.0
o;8;27.5;Landolt Reto;*;9;55.75;9;27.25;1;-0.25;8.75
+;10;36.25;Sprecher Martin;;16;54.0;8;36.75;-2;0.5;9.75
+;9;46.0;Schegg Daniel;;13;54.75;8;46.25;-1;0.25;9.75

9h;Streiff Dominik;*;;;;;;;;;55.75
o;;;Räbsamen Marcel;*;;;;;;;8.5
+;5;8.5;Knellwolf Sebastian;;11;55.25;1;10.0;-4;1.5;10.0
+;5;18.5;Keller Lukas;;15;54.25;5;18.5;0;0.0;10.0
o;4;28.5;Geisser Lars;**;9;55.75;8;27.5;4;-1.0;8.5
+;7;37.0;Wettstein Daniel;;11;55.25;8;36.75;1;-0.25;9.75
-;6;46.75;Poltera Andrin;*;10;55.5;7;46.5;1;-0.25;9.0

10a;Poltera Andrin;*;;;;;;;;;55.5
+;;;Rotach Lars;*;;;;;;;10.0
-;1;10.0;Schlegel Sandro;**;6;56.5;3;9.0;2;-1.0;9.0
o;3;19.0;Räbsamen Marcel;*;8;56.0;4;18.75;1;-0.25;8.5
+;8;27.5;Rüegger Remo;;14;54.5;8;27.5;0;0.0;10.0
-;5;37.5;Nägeli Marco;**;11;55.25;4;37.75;-1;0.25;9.0
-;7;46.5;Streiff Dominik;*;9;55.75;6;46.75;-1;0.25;9.0

10b;Jörger Corsin;*;;;;;;;;;55.5
+;;;Neff Florian;*;;;;;;;10.0
o;1;10.0;Rychen Roger;***;4;57.0;4;8.75;3;-1.25;8.5
+;5;18.5;Galli Cedric;;16;54.0;5;18.5;0;0.0;10.0
o;4;28.5;Krähenbühl Tobias;***;5;56.75;5;28.25;1;-0.25;8.5
+;7;37.0;Giger Florian;;15;54.25;7;37.0;0;0.0;10.0
o;5;47.0;Dändliker Shane;**;4;57.0;5;47.0;0;0.0;8.5

10c;Arnold Fabian;*;;;;;;;;;55.5
o;;;Gmür Pirmin;**;;;;;;;8.5
+;5;8.5;Fässler Tobias;;12;55.0;2;9.75;-3;1.25;10.0
o;5;18.5;Krähenbühl Tobias;***;5;56.75;6;18.25;1;-0.25;8.5
o;10;27.0;Schönenberger Tobias (2004);;16;54.0;10;27.0;0;0.0;8.75
+;12;35.75;Korrodi Janik (2004);;19;53.25;11;36.0;-1;0.25;9.75
+;11;45.5;Oettli Reto (2005);;16;54.0;11;45.5;0;0.0;10.0

10d;Ziegler Andreas;;;;;;;;;;55.5
-;;;Aebli Nino;;;;;;;;9.0
-;3;9.0;Koller Silvan;;15;54.25;2;9.75;-1;0.75;8.75
+;7;17.75;Laager Kaspar (2004);;13;54.75;6;18.25;-1;0.5;9.75
o;8;27.5;Huber Alex;*;9;55.75;8;27.5;0;0.0;8.5
+;11;36.0;Tanner Adrian;;16;54.0;12;35.75;1;-0.25;9.75
+;10;45.75;Kolb Pirmin;*;16;54.0;11;45.5;1;-0.25;9.75

10e;Baumgartner Ramon;;;;;;;;;;55.5
+;;;Giger Florian;;;;;;;;10.0
o;1;10.0;Huber Alex;*;9;55.75;4;8.75;3;-1.25;8.5
o;5;18.5;Koch Reto;*;8;56.0;5;18.5;0;0.0;8.5
o;10;27.0;Keller Lukas;;15;54.25;10;27.0;0;0.0;8.75
+;12;35.75;Mösli Marcel;;22;52.5;13;35.5;1;-0.25;9.75
+;11;45.5;Schläpfer Matthias;*;17;53.75;12;45.25;1;-0.25;10.0

10f;Schlegel Reto;*;;;;;;;;;55.5
-;;;Oettli Silvio;*;;;;;;;8.75
+;4;8.75;Wettstein Daniel;;11;55.25;1;10.0;-3;1.25;9.75
o;5;18.5;Burkhalter Stefan;***;12;55.0;8;17.5;3;-1.0;8.5
+;10;27.0;Rust Emanuel;;16;54.0;10;27.0;0;0.0;10.0
+;7;37.0;Schläpfer Matthias;*;17;53.75;8;36.75;1;-0.25;10.0
o;5;47.0;Krähenbühl Tobias;***;5;56.75;5;47.0;0;0.0;8.5

10g;Neff Florian;*;;;;;;;;;55.5
o;;;Riget Florian;*;;;;;;;8.5
o;5;8.5;Jörger Corsin;*;10;55.5;1;10.0;-4;1.5;8.5
+;10;17.0;Gantenbein Linard (2004);;18;53.5;6;18.25;-4;1.25;10.0
+;10;27.0;Gosswiler Livio;*;11;55.25;10;27.0;0;0.0;10.0
-;7;37.0;Hochholdinger Roman;**;15;54.25;7;37.0;0;0.0;8.75
+;10;45.75;Horner Sämi;;14;54.5;10;45.75;0;0.0;9.75

10h;Rhyner Beni;;;;;;;;;;55.5
+;;;Wenger Dominic;;;;;;;;10.0
o;1;10.0;Rotach Lars;*;15;54.25;5;8.5;4;-1.5;8.5
+;5;18.5;Mayer Elia (2004);;20;53.0;6;18.25;1;-0.25;10.0
o;4;28.5;Fontana Michael;*;6;56.5;5;28.25;1;-0.25;8.75
o;6;37.25;Castelli Fabio;;11;55.25;7;37.0;1;-0.25;8.5
+;10;45.75;Steiner Lukas;;15;54.25;10;45.75;0;0.0;9.75

10i;Zwyssig Raphael;***;;;;;;;;;55.5
-;;;Burkhalter Stefan;***;;;;;;;8.75
-;4;8.75;Rüegg Fabian;*;11;55.25;2;9.75;-2;1.0;8.75
-;8;17.5;Huber Alex;*;9;55.75;4;18.75;-4;1.25;8.75
+;12;26.25;Jud Pirmin;*;23;45.75;9;27.25;-3;1.0;9.75
+;11;36.0;Rotach Lars;*;15;54.25;8;36.75;-3;0.75;9.75
+;10;45.75;Hochholdinger Roman;**;15;54.25;10;45.75;0;0.0;9.75

10j;Keller Janik;*;;;;;;;;;55.5
-;;;Koch Thomas;*;;;;;;;8.75
+;4;8.75;Flütsch Marco;;15;54.25;1;10.0;-3;1.25;9.75
o;5;18.5;Gmür Pirmin;**;5;56.75;5;18.5;0;0.0;8.75
+;9;27.25;Wehrli Jan;;14;54.5;8;27.5;-1;0.25;9.75
-;7;37.0;Burkhalter Stefan;***;12;55.0;10;36.25;3;-0.75;8.75
+;10;45.75;Niederer Andreas;;14;54.5;9;46.0;-1;0.25;9.75

11a;Joos Enrico (2003);;;;;;;;;;55.25
+;;;Lusti Adrian;;;;;;;;9.75
o;2;9.75;Krähenbühl Lukas;*;12;55.0;4;8.75;2;-1.0;8.5
+;6;18.25;Oettli Reto (2005);;16;54.0;5;18.5;-1;0.25;9.75
+;6;28.0;Keller Manuel;*;24;36.0;9;27.25;3;-0.75;10.0
o;3;38.0;Bernold Edi;**;11;55.25;7;37.0;4;-1.0;8.75
o;6;46.75;Schuler Martin;;5;56.75;5;47.0;-1;0.25;8.5

11b;Rüegg Fabian;*;;;;;;;;;55.25
+;;;Fontana Michael;*;;;;;;;9.75
-;2;9.75;Zwyssig Raphael;***;10;55.5;4;8.75;2;-1.0;8.75
