5192-2021-06-27_Glarner-Buendner_Kantonalschwingfest-ST

1a;Schneider Domenic;***;;;;;;;;;58.25
o;8;36.75;Schlegel Reto;*;10;55.5;7;37.0;-1;0.25;8.5
o;12;45.25;Baumgartner Ramon;;10;55.5;11;45.5;-1;0.25;8.5

18a;Gantenbein Linard (2004);;;;;;;;;;53.5
o;;;Kurmann Patrick (2003);;;;;;;;8.5
+;5;8.5;Meier Adrian;;28;34.0;5;8.5;0;0.0;9.75
o;6;18.25;Neff Florian;*;10;55.5;10;17.0;4;-1.25;8.5
+;11;26.75;Bärtsch Tobias (2003);;27;34.25;14;25.75;3;-1.0;9.75
o;9;36.5;Fässler Tobias;;12;55.0;8;36.75;-1;0.25;8.5
o;13;45.0;Knellwolf Sebastian;;11;55.25;12;45.25;-1;0.25;8.5

19a;Korrodi Janik (2004);;;;;;;;;;53.25
o;;;Laager Michael;;;;;;;;8.5
+;5;8.5;Meier Adrian (2005);;25;35.25;5;8.5;0;0.0;10.0
o;5;18.5;Giger Florian;;15;54.25;5;18.5;0;0.0;8.5
-;10;27.0;Imhof Gregor;;15;54.25;10;27.0;0;0.0;9.0
o;11;36.0;Arnold Fabian;*;10;55.5;12;35.75;1;-0.25;8.75
o;14;44.75;Tanner Adrian;;16;54.0;16;44.25;2;-0.5;8.5

19b;Tanner Markus;;;;;;;;;;53.25
-;;;Steiner Lukas;;;;;;;;8.75
-;4;8.75;Plüer Fabian (2003);;26;34.5;4;8.75;0;0.0;8.75
+;8;17.5;Arnold Lukas;;22;52.5;10;17.0;2;-0.5;10.0
o;8;27.5;Dörig Erich;*;13;54.75;9;27.25;1;-0.25;8.5
o;11;36.0;Schegg Daniel;;13;54.75;9;36.5;-2;0.5;8.5
-;15;44.5;Lusti Adrian;;20;53.0;16;44.25;1;-0.25;8.75

20a;Mayer Elia (2004);;;;;;;;;;53.0
+;;;Müller Christian;;;;;;;;9.75
o;2;9.75;Oettli Silvio;*;9;55.75;4;8.75;2;-1.0;8.5
o;6;18.25;Rhyner Beni;;10;55.5;5;18.5;-1;0.25;8.5
o;11;26.75;Niederer Andreas;;14;54.5;10;27.0;-1;0.25;8.75
o;13;35.5;Oettli Reto (2005);;16;54.0;13;35.5;0;0.0;8.5
-;17;44.0;Brülisauer Thomas (2003);;20;53.0;17;44.0;0;0.0;9.0

20b;Lusti Adrian;;;;;;;;;;53.0
o;;;Joos Enrico (2003);;;;;;;;8.5
o;5;8.5;Langenegger Beat;;16;54.0;5;8.5;0;0.0;8.5
+;10;17.0;Meier Adrian (2005);;25;35.25;10;17.0;0;0.0;10.0
o;10;27.0;Laager Kaspar (2004);;13;54.75;11;26.75;1;-0.25;8.5
-;13;35.5;Nüesch Sandro (2005);;21;52.75;13;35.5;0;0.0;8.75
-;16;44.25;Tanner Markus;;19;53.25;15;44.5;-1;0.25;8.75

20c;Brülisauer Thomas (2003);;;;;;;;;;53.0
o;;;Koller Silvan;;;;;;;;8.5
+;5;8.5;Bärtsch Tobias (2003);;27;34.25;5;8.5;0;0.0;9.75
o;6;18.25;Gosswiler Livio;*;11;55.25;10;17.0;4;-1.25;8.5
o;11;26.75;Müller Christian;;11;55.25;10;27.0;-1;0.25;8.75
o;13;35.5;Stadelmann Patrick;;16;54.0;13;35.5;0;0.0;8.5
-;17;44.0;Mayer Elia (2004);;20;53.0;17;44.0;0;0.0;9.0

21a;Nüesch Sandro (2005);;;;;;;;;;52.75
o;;;Hobi Ignaz;;;;;;;;8.5
o;5;8.5;Imhof Gregor;;15;54.25;5;8.5;0;0.0;8.5
+;10;17.0;Meier Adrian;;28;34.0;10;17.0;0;0.0;10.0
o;10;27.0;Pianta Christian;*;16;54.0;10;27.0;0;0.0;8.5
-;13;35.5;Lusti Adrian;;20;53.0;13;35.5;0;0.0;8.75
o;16;44.25;Mannhart Jan (2003);;14;54.5;15;44.5;-1;0.25;8.5

21b;Fallegger Marc (2003);;;;;;;;;;52.75
+;;;Schiegg Raphael (2005);;;;;;;;10.0
o;1;10.0;Landolt Reto;*;9;55.75;4;8.75;3;-1.25;8.75
o;4;18.75;Schiesser Patrik;;7;56.25;2;19.5;-2;0.75;8.5
o;9;27.25;Schläpfer Markus;**;15;54.25;13;26.0;4;-1.25;8.5
o;12;35.75;Horner Sämi;;14;54.5;12;35.75;0;0.0;8.5
o;16;44.25;Mathis Patrick;;14;54.5;15;44.5;-1;0.25;8.5

21c;Brand Andreas (2003);;;;;;;;;;52.75
+;;;Meier Adrian;;;;;;;;10.0
o;1;10.0;Baumann Rico;*;12;55.0;4;8.75;3;-1.25;8.5
o;5;18.5;Laager Michael;;9;55.75;5;18.5;0;0.0;8.5
o;10;27.0;Steiner Lukas;;15;54.25;10;27.0;0;0.0;8.75
o;12;35.75;Gasenzer Christian (2004);;17;53.75;13;35.5;1;-0.25;8.5
o;16;44.25;Rust Emanuel;;16;54.0;17;44.0;1;-0.25;8.5

22a;Mösli Marcel;;;;;;;;;;52.5
o;;;Fässler Tobias;;;;;;;;8.75
o;4;8.75;Lenherr Cédric (2003);;16;54.0;1;10.0;-3;1.25;8.5
o;9;17.25;Steiner Lukas;;15;54.25;9;17.25;0;0.0;8.5
+;14;25.75;Krucker Silvan;;27;34.25;14;25.75;0;0.0;9.75
o;13;35.5;Baumgartner Ramon;;10;55.5;12;35.75;-1;0.25;8.5
o;17;44.0;Büsser André;*;16;54.0;17;44.0;0;0.0;8.5

22b;Arnold Lukas;;;;;;;;;;52.5
o;;;Laager Kaspar (2004);;;;;;;;8.5
o;5;8.5;Wüthrich Hans;;12;55.0;5;8.5;0;0.0;8.5
o;10;17.0;Tanner Markus;;19;53.25;8;17.5;-2;0.5;8.5
+;15;25.5;Meier Adrian;;28;34.0;15;25.5;0;0.0;10.0
o;13;35.5;Schlegel Jamie (2004);;16;54.0;13;35.5;0;0.0;8.5
o;17;44.0;Schiegg Raphael (2005);;17;53.75;17;44.0;0;0.0;8.5

23a;Jud Pirmin;*;;;;;;;;;45.75
-;;;Krähenbühl Lukas;*;;;;;;;8.75
o;4;8.75;Schiesser Patrik;;7;56.25;2;9.75;-2;1.0;8.5
+;9;17.25;Ackermann Rico (2003);;16;54.0;5;18.5;-4;1.25;10.0
o;9;27.25;Zwyssig Raphael;***;10;55.5;12;26.25;3;-1.0;8.5
+;12;35.75;Müller Christian;;11;55.25;8;36.75;-4;1.0;10.0

24a;Keller Manuel;*;;;;;;;;;36.0
+;;;Gosswiler Livio;*;;;;;;;9.75
-;2;9.75;Schläpfer Markus;**;15;54.25;5;8.5;3;-1.25;8.75
-;5;18.5;Kurmann Patrick (2003);;14;54.5;4;18.75;-1;0.25;8.75
o;9;27.25;Joos Enrico (2003);;11;55.25;6;28.0;-3;0.75;8.75

25a;Inauen Ivo;;;;;;;;;;35.25
+;;;Bärtsch Tobias (2003);;;;;;;;9.75
o;2;9.75;Nägeli Marco;**;11;55.25;3;9.0;1;-0.75;8.5
o;6;18.25;Lusti Remo;;17;53.75;6;18.25;0;0.0;8.5
o;11;26.75;Hobi Ignaz;;13;54.75;10;27.0;-1;0.25;8.5

25b;Meier Adrian (2005);;;;;;;;;;35.25
o;;;Gasenzer Christian (2004);;;;;;;;8.5
o;5;8.5;Korrodi Janik (2004);;19;53.25;5;8.5;0;0.0;8.5
o;10;17.0;Lusti Adrian;;20;53.0;10;17.0;0;0.0;8.5
+;15;25.5;Oberhänsli Kilian;;27;34.25;15;25.5;0;0.0;9.75

26a;Hollenstein Mathias;;;;;;;;;;34.5
o;;;Knellwolf Sebastian;;;;;;;;8.5
o;5;8.5;Zumbach Michael;;11;55.25;4;8.75;-1;0.25;8.5
-;10;17.0;Krucker Silvan;;27;34.25;10;17.0;0;0.0;8.75
o;14;25.75;Schiegg Raphael (2005);;17;53.75;14;25.75;0;0.0;8.75

26b;Plüer Fabian (2003);;;;;;;;;;34.5
o;;;Horner Sämi;;;;;;;;8.75
-;4;8.75;Tanner Markus;;19;53.25;4;8.75;0;0.0;8.75
o;8;17.5;Mathis Patrick;;14;54.5;7;17.75;-1;0.25;8.5
o;13;26.0;Büsser André;*;16;54.0;14;25.75;1;-0.25;8.5

27a;Oberhänsli Kilian;;;;;;;;;;34.25
o;;;Flütsch Marco;;;;;;;;8.5
o;5;8.5;Sprecher Martin;;16;54.0;5;8.5;0;0.0;8.5
o;10;17.0;Rust Emanuel;;16;54.0;10;17.0;0;0.0;8.5
o;15;25.5;Meier Adrian (2005);;25;35.25;15;25.5;0;0.0;8.75

27b;Bärtsch Tobias (2003);;;;;;;;;;34.25
o;;;Inauen Ivo;;;;;;;;8.5
o;5;8.5;Brülisauer Thomas (2003);;20;53.0;5;8.5;0;0.0;8.75
o;9;17.25;Rüegger Remo;;14;54.5;8;17.5;-1;0.25;8.5
o;14;25.75;Gantenbein Linard (2004);;18;53.5;11;26.75;-3;1.0;8.5

27c;Krucker Silvan;;;;;;;;;;34.25
o;;;Schiesser Patrik;;;;;;;;8.5
o;5;8.5;Tanner Adrian;;16;54.0;5;8.5;0;0.0;8.5
-;10;17.0;Hollenstein Mathias;;26;34.5;10;17.0;0;0.0;8.75
o;14;25.75;Mösli Marcel;;22;52.5;14;25.75;0;0.0;8.5

28a;Wenger Dominic;;;;;;;;;;34.0
o;;;Rhyner Beni;;;;;;;;8.5
o;5;8.5;Giger Florian;;15;54.25;5;8.5;0;0.0;8.5
o;10;17.0;Wehrli Jan;;14;54.5;8;17.5;-2;0.5;8.5
o;15;25.5;Schlegel Jamie (2004);;16;54.0;14;25.75;-1;0.25;8.5

28b;Meier Adrian;;;;;;;;;;34.0
o;;;Brand Andreas (2003);;;;;;;;8.5
o;5;8.5;Gantenbein Linard (2004);;18;53.5;5;8.5;0;0.0;8.5
o;10;17.0;Nüesch Sandro (2005);;21;52.75;10;17.0;0;0.0;8.5
o;15;25.5;Arnold Lukas;;22;52.5;15;25.5;0;0.0;8.5

