2694-2015-08-09_108_Nordwestschweizerisches_Schwingfest-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
+;6;37.75;Schneider Mario;**;9;55.75;8;37.25;2;-0.5;9.75
-;5;47.5;Henzer Andreas;**;8;56.0;6;47.25;1;-0.25;8.75

8a;Henzer Andreas;**;;;;;;;;;56.0
+;;;Bader Andreas;*;;;;;;;10.0
o;1;10.0;Laimbacher Philipp;***;1;58.5;2;9.75;1;-0.25;8.5
+;5;18.5;Hermann Oliver;;11;55.25;1;19.75;-4;1.25;10.0
+;4;28.5;Leuthard Mario;;16;54.0;5;28.25;1;-0.25;10.0
-;3;38.5;von Ah Benji;***;6;56.5;7;37.5;4;-1.0;8.75
-;6;47.25;Studinger Stephan;**;7;56.25;5;47.5;-1;0.25;8.75

8b;Vieira Tiago;**;;;;;;;;;56.0
-;;;Brand Christian;**;;;;;;;8.75
-;4;8.75;Voggensperger Janic (1998);*;23;36.75;2;9.75;-2;1.0;8.75
+;7;17.5;Bucher Pascal;;15;54.25;5;18.5;-2;1.0;10.0
+;8;27.5;Wiederkehr Michael;;16;54.0;10;27.0;2;-0.5;10.0
o;7;37.5;Kämpf Bernhard;***;5;57.0;8;37.25;1;-0.25;8.5
+;11;46.0;Scherrer Johann;**;14;54.5;11;46.0;0;0.0;10.0

8c;Hügli Kaj (1997);*;;;;;;;;;56.0
+;;;Huber Jan (1997);*;;;;;;;9.75
o;2;9.75;Hauri Urs;**;6;56.5;2;9.75;0;0.0;8.5
+;6;18.25;Löw Christophe;**;11;55.25;6;18.25;0;0.0;9.75
+;6;28.0;Studer Remo;;13;54.75;6;28.0;0;0.0;9.75
o;6;37.75;Mahrer Jürg;**;9;55.75;8;37.25;2;-0.5;8.5
+;10;46.25;Krebs Clemens;;12;55.0;9;46.5;-1;0.25;9.75

9a;Räber Lukas;;;;;;;;;;55.75
+;;;Büttler Adrian (1999);;;;;;;;9.75
-;2;9.75;Kohler Adrian;;10;55.5;1;10.0;-1;0.25;9.0
+;4;18.75;Schneider Markus;*;13;54.75;6;18.25;2;-0.5;10.0
+;3;28.75;Moser Steven;**;12;55.0;8;27.5;5;-1.25;9.75
o;3;38.5;Stalder Remo;***;4;57.25;7;37.5;4;-1.0;8.75
o;6;47.25;Schmid David;**;3;57.75;4;47.75;-2;0.5;8.5

9b;Mahrer Jürg;**;;;;;;;;;55.75
o;;;Gnägi Florian;***;;;;;;;8.5
-;5;8.5;Häni William;**;9;55.75;5;8.5;0;0.0;8.75
+;8;17.25;Nyffeler Christoph;;16;54.0;5;18.5;-3;1.25;10.0
+;9;27.25;Scherrer Johann;**;14;54.5;8;27.5;-1;0.25;10.0
+;8;37.25;Hügli Kaj (1997);*;8;56.0;6;37.75;-2;0.5;10.0
o;6;47.25;Laimbacher Philipp;***;1;58.5;2;48.5;-4;1.25;8.5

9c;Schneider Mario;**;;;;;;;;;55.75
-;;;Räbmatter Patrick;**;;;;;;;8.75
+;4;8.75;Lang Martin;**;11;55.25;2;9.75;-2;1.0;9.75
+;5;18.5;Hauri Urs;**;6;56.5;2;19.5;-3;1.0;10.0
o;4;28.5;Alpiger Nick;**;2;58.0;1;29.5;-3;1.0;8.75
o;8;37.25;Studinger Stephan;**;7;56.25;6;37.75;-2;0.5;8.5
+;12;45.75;Schaub Florent;;15;54.25;12;45.75;0;0.0;10.0

9d;Häni William;**;;;;;;;;;55.75
o;;;Alpiger Nick;**;;;;;;;8.5
-;5;8.5;Mahrer Jürg;**;9;55.75;5;8.5;0;0.0;8.75
+;8;17.25;Döbeli Andreas (1998);*;10;55.5;5;18.5;-3;1.25;10.0
+;9;27.25;Hermann Oliver;;11;55.25;5;28.25;-4;1.0;9.75
o;9;37.0;Räbmatter Patrick;**;5;57.0;8;37.25;-1;0.25;8.75
+;12;45.75;Studer Remo;;13;54.75;10;46.25;-2;0.5;10.0

9e;Kocher Remo;**;;;;;;;;;55.75
-;;;Leuthard Reto;*;;;;;;;8.75
+;4;8.75;Schumacher Michael;*;27;34.25;5;8.5;1;-0.25;10.0
o;4;18.75;von Ah Benji;***;6;56.5;4;18.75;0;0.0;8.5
+;9;27.25;Roth Christian;;17;53.75;6;28.0;-3;0.75;10.0
+;8;37.25;Wehrli Christian;;11;55.25;10;36.75;2;-0.5;10.0
o;6;47.25;Bieri Christoph;***;3;57.75;4;47.75;-2;0.5;8.5

9f;Stegmüller Klemens;*;;;;;;;;;55.75
o;;;Lang Martin;**;;;;;;;8.5
o;5;8.5;Hasler Jimmy;*;14;54.5;5;8.5;0;0.0;8.5
-;9;17.0;Schär Simon;*;10;55.5;9;17.0;0;0.0;8.75
+;14;25.75;Körkel Yannik (1997);;28;34.0;15;25.5;1;-0.25;10.0
+;14;35.75;Müller Christian (1998);;21;52.75;14;35.75;0;0.0;10.0
+;12;45.75;Roth Christian;;17;53.75;14;45.25;2;-0.5;10.0

9g;Leuthard Reto;*;;;;;;;;;55.75
-;;;Kocher Remo;**;;;;;;;8.75
o;4;8.75;von Arx Christian;*;13;54.75;4;8.75;0;0.0;8.5
+;8;17.25;Grossmann Andreas;;16;54.0;5;18.5;-3;1.25;10.0
+;9;27.25;Brun Samuel (1999);;13;54.75;9;27.25;0;0.0;9.75
+;9;37.0;Schneider Markus;*;13;54.75;11;36.5;2;-0.5;9.75
-;8;46.75;Gnägi Florian;***;6;56.5;5;47.5;-3;0.75;9.0

10a;Erb Roger;**;;;;;;;;;55.5
o;;;Moser Steven;**;;;;;;;8.5
+;5;8.5;Villiger Damian;*;16;54.0;4;8.75;-1;0.25;10.0
o;5;18.5;Bösch Daniel;***;2;58.0;3;19.0;-2;0.5;8.5
+;10;27.0;Büttler Adrian (1999);;15;54.25;5;28.25;-5;1.25;10.0
o;9;37.0;Widmer Tobias;*;4;57.25;8;37.25;-1;0.25;8.5
+;13;45.5;Wiederkehr Michael;;16;54.0;13;45.5;0;0.0;10.0

10b;Huber Jan (1997);*;;;;;;;;;55.5
o;;;Hügli Kaj (1997);*;;;;;;;8.5
o;5;8.5;Stoffel Marc;**;6;56.5;4;8.75;-1;0.25;8.5
o;9;17.0;Büttler Adrian (1999);;15;54.25;6;18.25;-3;1.25;8.5
+;15;25.5;Burkhardt Roy;;28;34.0;15;25.5;0;0.0;10.0
+;15;35.5;Reinhard Adrian (1997);;20;53.0;13;36.0;-2;0.5;10.0
+;13;45.5;Weber Roger;;16;54.0;13;45.5;0;0.0;10.0

10c;Steinmann Kevin;**;;;;;;;;;55.5
-;;;Scherrer Johann;**;;;;;;;8.75
-;4;8.75;Winiger Fabian;**;10;55.5;5;8.5;1;-0.25;8.75
o;7;17.5;Voggensperger Janic (1998);*;23;36.75;5;18.5;-2;1.0;8.75
+;12;26.25;Müller Simon;;22;52.5;10;27.0;-2;0.75;9.75
+;13;36.0;Büchi Christian;;16;54.0;15;35.5;2;-0.5;9.75
+;12;45.75;Nyffeler Christoph;;16;54.0;13;45.5;1;-0.25;9.75

10d;Studinger Mathias;**;;;;;;;;;55.5
-;;;Stoffel Marc;**;;;;;;;8.75
o;4;8.75;Döbeli Andreas (1998);*;10;55.5;5;8.5;1;-0.25;8.5
+;8;17.25;Bieli Andreas;;15;54.25;5;18.5;-3;1.25;9.75
+;10;27.0;Nussbaumer Gabriel;;17;53.75;5;28.25;-5;1.25;10.0
+;9;37.0;Brand Christian;**;11;55.25;9;37.0;0;0.0;10.0
o;7;47.0;Kämpf Bernhard;***;5;57.0;7;47.0;0;0.0;8.5

10e;Kohler Adrian;;;;;;;;;;55.5
+;;;Suter Manuel (1997);;;;;;;;10.0
-;1;10.0;Räber Lukas;;9;55.75;2;9.75;1;-0.25;9.0
o;3;19.0;Lang Martin;**;11;55.25;6;18.25;3;-0.75;8.75
-;7;27.75;Villiger Damian;*;16;54.0;10;27.0;3;-0.75;9.0
o;10;36.75;Odermatt Christian;**;11;55.25;9;37.0;-1;0.25;8.75
+;13;45.5;Roth Christian;;17;53.75;14;45.25;1;-0.25;10.0

10f;Probst Gabriel;**;;;;;;;;;55.5
o;;;Studinger Stephan;**;;;;;;;8.5
+;5;8.5;Siegrist Christian (1997);;16;54.0;2;9.75;-3;1.25;10.0
+;5;18.5;Reimann Marco (1998);;18;53.5;4;18.75;-1;0.25;10.0
o;4;28.5;Schmid David;**;3;57.75;2;29.0;-2;0.5;8.5
+;9;37.0;Lehmann Robin (1999);;17;53.75;11;36.5;2;-0.5;10.0
o;7;47.0;Strebel Joel (1997);*;6;56.5;8;46.75;1;-0.25;8.5

10g;Winiger Fabian;**;;;;;;;;;55.5
o;;;Löw Christophe;**;;;;;;;8.5
-;5;8.5;Steinmann Kevin;**;10;55.5;4;8.75;-1;0.25;8.75
+;8;17.25;Schumacher Michael;*;27;34.25;9;17.0;1;-0.25;10.0
+;9;27.25;Brügger Cyrill (1998);;12;55.0;6;28.0;-3;0.75;9.75
+;9;37.0;Ris Jörn (1998);;17;53.75;10;36.75;1;-0.25;10.0
o;7;47.0;Bösch Daniel;***;2;58.0;3;48.0;-4;1.0;8.5

10h;Döbeli Andreas (1998);*;;;;;;;;;55.5
o;;;Voggensperger Janic (1998);*;;;;;;;8.5
+;5;8.5;Studinger Mathias;**;10;55.5;4;8.75;-1;0.25;10.0
o;5;18.5;Häni William;**;9;55.75;8;17.25;3;-1.25;8.5
+;10;27.0;Lisser Beat;;21;52.75;9;27.25;-1;0.25;10.0
+;9;37.0;Weber Roger;;16;54.0;9;37.0;0;0.0;10.0
o;7;47.0;Bächli Michael (1998);**;5;57.0;6;47.25;-1;0.25;8.5

10i;Hasler Manuel;;;;;;;;;;55.5
+;;;Bearda Samuel;;;;;;;;10.0
o;1;10.0;Klausner Yanick;**;10;55.5;4;8.75;3;-1.25;8.5
+;5;18.5;Wiederkehr Michael;;16;54.0;5;18.5;0;0.0;10.0
-;4;28.5;Studinger Stephan;**;7;56.25;3;28.75;-1;0.25;8.75
+;8;37.25;Hasler Jimmy;*;14;54.5;13;36.0;5;-1.25;9.75
o;7;47.0;Räbmatter Patrick;**;5;57.0;6;47.25;-1;0.25;8.5

10j;Klausner Yanick;**;;;;;;;;;55.5
-;;;Widmer Tobias;*;;;;;;;8.75
+;4;8.75;Hasler Manuel;;10;55.5;1;10.0;-3;1.25;9.75
+;5;18.5;Stoll Simon;;11;55.25;1;19.75;-4;1.25;10.0
o;4;28.5;Gnägi Florian;***;6;56.5;8;27.5;4;-1.0;8.5
+;9;37.0;Büttler Adrian (1999);;15;54.25;10;36.75;1;-0.25;10.0
o;7;47.0;Stalder Remo;***;4;57.25;6;47.25;-1;0.25;8.5

10k;Schär Simon;*;;;;;;;;;55.5
o;;;Strebel Joel (1997);*;;;;;;;8.5
o;5;8.5;Bächli Michael (1998);**;5;57.0;5;8.5;0;0.0;8.5
-;9;17.0;Stegmüller Klemens;*;9;55.75;9;17.0;0;0.0;8.75
+;14;25.75;Büchi Christian;;16;54.0;10;27.0;-4;1.25;10.0
+;14;35.75;Nussbaumer Gabriel;;17;53.75;10;36.75;-4;1.0;10.0
+;12;45.75;Ris Jörn (1998);;17;53.75;14;45.25;2;-0.5;9.75

10l;Mangold Martin;;;;;;;;;;55.5
+;;;Kaspar Jan (1999);;;;;;;;10.0
o;1;10.0;Brügger Cyrill (1998);;12;55.0;2;9.75;1;-0.25;8.5
o;5;18.5;Villiger Damian;*;16;54.0;8;17.25;3;-1.25;8.5
-;10;27.0;Schumacher Michael;*;27;34.25;15;25.5;5;-1.5;8.75
+;14;35.75;Schär Jonas (1999);;19;53.25;12;36.25;-2;0.5;9.75
+;13;45.5;Wittmer Lukas;;17;53.75;14;45.25;1;-0.25;10.0

11a;Hermann Oliver;;;;;;;;;;55.25
+;;;Wyss Cyrill;;;;;;;;10.0
+;1;10.0;Lisser Beat;;21;52.75;2;9.75;1;-0.25;9.75
o;1;19.75;Henzer Andreas;**;8;56.0;5;18.5;4;-1.25;8.5
o;5;28.25;Häni William;**;9;55.75;9;27.25;4;-1.0;8.5
+;10;36.75;Bieli Andreas;;15;54.25;9;37.0;-1;0.25;10.0
o;8;46.75;Hauri Urs;**;6;56.5;9;46.5;1;-0.25;8.5

11b;Löw Christophe;**;;;;;;;;;55.25
+;;;Winiger Fabian;**;;;;;;;9.75
o;2;9.75;Odermatt Christian;**;11;55.25;5;8.5;3;-1.25;8.5
o;6;18.25;Hügli Kaj (1997);*;8;56.0;6;18.25;0;0.0;8.5
+;11;26.75;Aerni Lars (1997);;15;54.25;9;27.25;-2;0.5;10.0
+;10;36.75;Bucher Pascal;;15;54.25;9;37.0;-1;0.25;10.0
o;8;46.75;von Ah Benji;***;6;56.5;9;46.5;1;-0.25;8.5

11c;Steinmann Yves;*;;;;;;;;;55.25
o;;;Schneider Markus;*;;;;;;;8.5
+;5;8.5;Nyffeler Christoph;;16;54.0;2;9.75;-3;1.25;9.75
+;6;18.25;Dobler Florian;;15;54.25;4;18.75;-2;0.5;9.75
o;6;28.0;Bächli Michael (1998);**;5;57.0;4;28.5;-2;0.5;8.5
+;11;36.5;Grossmann Andreas;;16;54.0;10;36.75;-1;0.25;10.0
o;9;46.5;Blatter Lorenz;*;5;57.0;7;47.0;-2;0.5;8.75

11d;Odermatt Christian;**;;;;;;;;;55.25
o;;;Blatter Lorenz;*;;;;;;;8.5
+;5;8.5;Löw Christophe;**;11;55.25;2;9.75;-3;1.25;9.75
-;6;18.25;Moser Steven;**;12;55.0;5;18.5;-1;0.25;9.0
+;9;27.25;Stoll Simon;;11;55.25;4;28.5;-5;1.25;9.75
