3506-2016-05-05_Baselstaedtischer_Schwingertag-ST

1a;Wenger Kilian;***;;;;;;;;;59.5
o;2;9.75;Käser Remo;**;2;58.0;2;9.75;0;0.0;8.5
+;7;18.25;Bearda Samuel;;11;55.25;2;19.75;-5;1.5;9.75
+;6;28.0;Arnold Kornel;*;16;54.0;5;28.25;-1;0.25;10.0
-;5;38.0;Schuler Alex;**;5;56.75;5;38.0;0;0.0;8.75
+;8;46.75;Mangold Michael;;9;55.75;6;47.25;-2;0.5;9.75

6b;Alpiger Nick;**;;;;;;;;;56.5
o;;;Käser Remo;**;;;;;;;8.5
+;5;8.5;Bader Andreas;*;13;54.75;4;8.75;-1;0.25;10.0
+;6;18.5;Ris Jörn (1998);;10;55.5;1;20.0;-5;1.5;10.0
+;4;28.5;Huber Cédric;**;10;55.5;5;28.25;1;-0.25;9.75
o;4;38.25;Schuler Christian;***;3;57.5;2;38.75;-2;0.5;8.5
+;8;46.75;Kropf Marcel;**;13;54.75;10;46.25;2;-0.5;9.75

7a;Bieri Christoph;***;;;;;;;;;56.25
o;;;Schuler Christian;***;;;;;;;8.5
+;5;8.5;Brand Christian;**;11;55.25;2;9.75;-3;1.25;10.0
+;6;18.5;Probst Gabriel;**;10;55.5;5;18.75;-1;0.25;10.0
-;4;28.5;Aeschbacher Matthias;**;4;57.0;2;29.5;-2;1.0;8.75
+;8;37.25;Löw Christophe;**;9;55.75;8;37.25;0;0.0;10.0
-;6;47.25;Matthey Mickaël;**;10;55.5;8;46.75;2;-0.5;9.0

8a;Erb Roger;**;;;;;;;;;56.0
o;;;Müllestein Mike;**;;;;;;;8.5
+;5;8.5;Roch Vincent;*;9;55.75;5;8.5;0;0.0;9.75
+;7;18.25;Schwander Kilian;;12;55.0;3;19.5;-4;1.25;10.0
-;5;28.25;Vieira Tiago;**;8;56.0;4;28.5;-1;0.25;8.75
-;9;37.0;Klausner Yanick;**;11;55.25;6;37.75;-3;0.75;9.0
+;11;46.0;Lehmann Robin (1999);;11;55.25;8;46.75;-3;0.75;10.0

8b;Nyffeler Christoph;;;;;;;;;;56.0
+;;;Siegrist Christian;;;;;;;;10.0
-;1;10.0;Döbeli Lukas (2000);;9;55.75;2;9.75;1;-0.25;8.75
o;5;18.75;Matthey Mickaël;**;10;55.5;7;18.25;2;-0.5;8.5
+;9;27.25;Hügli Kaj;*;11;55.25;9;27.25;0;0.0;10.0
+;8;37.25;Scherrer Johann;**;14;54.5;13;36.0;5;-1.25;10.0
-;6;47.25;Schaffner Samuel;**;9;55.75;7;47.0;1;-0.25;8.75

8c;Henzer Andreas;**;;;;;;;;;56.0
-;;;Kropf Marcel;**;;;;;;;8.75
o;4;8.75;Schuler Alex;**;5;56.75;2;9.75;-2;1.0;8.5
+;10;17.25;Hitz Florian (1999);;20;53.0;6;18.5;-4;1.25;10.0
+;9;27.25;Reimann Marco (1998);;11;55.25;5;28.25;-4;1.0;10.0
+;8;37.25;Steinmann Yves;*;10;55.5;9;37.0;1;-0.25;10.0
-;6;47.25;Müllestein Mike;**;5;56.75;4;47.75;-2;0.5;8.75

8d;Voggensperger Janic (1998);*;;;;;;;;;56.0
-;;;Döbeli Andreas (1998);*;;;;;;;9.0
-;3;9.0;Leuthard Reto;*;10;55.5;4;8.75;1;-0.25;8.75
+;8;17.75;Reinhard Adrian;;19;53.25;6;18.5;-2;0.75;10.0
+;7;27.75;Jusufi Azret;;12;55.0;6;28.0;-1;0.25;9.75
o;7;37.5;Vieira Tiago;**;8;56.0;8;37.25;1;-0.25;8.5
+;11;46.0;Reimann Marco (1998);;11;55.25;8;46.75;-3;0.75;10.0

8e;Döbeli Andreas (1998);*;;;;;;;;;56.0
-;;;Voggensperger Janic (1998);*;;;;;;;9.0
+;3;9.0;Grossmann Andreas;;13;54.75;5;8.5;2;-0.5;10.0
o;4;19.0;Schuler Christian;***;3;57.5;2;19.75;-2;0.75;8.5
-;8;27.5;Stoll Simon;;9;55.75;4;28.5;-4;1.0;8.75
+;12;36.25;Bieli Andreas;;16;54.0;14;35.75;2;-0.5;9.75
+;11;46.0;Rüegger Aaron (1999);;14;54.5;11;46.0;0;0.0;10.0

8f;Vieira Tiago;**;;;;;;;;;56.0
+;;;Scherrer Johann;**;;;;;;;10.0
o;1;10.0;Schuler Christian;***;3;57.5;2;9.75;1;-0.25;8.5
+;6;18.5;Lehmann Robin (1999);;11;55.25;2;19.75;-4;1.25;10.0
-;4;28.5;Erb Roger;**;8;56.0;5;28.25;1;-0.25;8.75
+;8;37.25;Voggensperger Janic (1998);*;8;56.0;7;37.5;-1;0.25;10.0
-;6;47.25;Huber Cédric;**;10;55.5;8;46.75;2;-0.5;8.75

9a;Löw Christophe;**;;;;;;;;;55.75
o;;;Schuler Alex;**;;;;;;;8.5
o;5;8.5;Schär Simon;*;21;35.5;5;8.5;0;0.0;8.75
+;10;17.25;Läuchli Janik (2000);;17;53.75;6;18.5;-4;1.25;10.0
+;9;27.25;Rüegger Aaron (1999);;14;54.5;4;28.5;-5;1.25;10.0
o;8;37.25;Bieri Christoph;***;7;56.25;8;37.25;0;0.0;8.5
+;12;45.75;Hermann Oliver;;11;55.25;8;46.75;-4;1.0;10.0

9b;Schaffner Samuel;**;;;;;;;;;55.75
o;;;Brand Christian;**;;;;;;;8.5
+;5;8.5;Waldner Patrick;**;21;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Gisler Bruno;***;4;57.0;6;18.5;0;0.0;8.5
+;10;27.0;Fritz Christian;;17;53.75;5;28.25;-5;1.25;10.0
+;9;37.0;Gerber Andrj (2000);;16;54.0;10;36.75;1;-0.25;10.0
-;7;47.0;Nyffeler Christoph;;8;56.0;6;47.25;-1;0.25;8.75

9c;von Arx Christian;*;;;;;;;;;55.75
+;;;Schär Simon;*;;;;;;;10.0
o;1;10.0;Studinger Stephan;**;5;56.75;2;9.75;1;-0.25;8.5
-;6;18.5;Hermann Oliver;;11;55.25;2;19.75;-4;1.25;8.75
+;9;27.25;Seiler Thomas;;12;55.0;5;28.25;-4;1.0;9.75
+;9;37.0;Roth Christian;;17;53.75;10;36.75;1;-0.25;10.0
-;7;47.0;Mahrer Jürg;**;9;55.75;7;47.0;0;0.0;8.75

9d;Mahrer Jürg;**;;;;;;;;;55.75
+;;;Waldner Patrick;**;;;;;;;10.0
o;1;10.0;Aeschbacher Matthias;**;4;57.0;2;9.75;1;-0.25;8.75
o;5;18.75;Käser Remo;**;2;58.0;3;19.5;-2;0.75;8.5
+;9;27.25;Burkart Simon;;19;53.25;9;27.25;0;0.0;9.75
+;9;37.0;Burkhardt Roy;;17;53.75;10;36.75;1;-0.25;10.0
-;7;47.0;von Arx Christian;*;9;55.75;7;47.0;0;0.0;8.75

9e;Mangold Michael;;;;;;;;;;55.75
+;;;Bader Fabian (2000);;;;;;;;10.0
+;1;10.0;Moser Matthias;*;12;55.0;4;8.75;3;-1.25;9.75
o;2;19.75;Müllestein Mike;**;5;56.75;3;19.5;1;-0.25;8.5
-;5;28.25;Bader Andreas;*;13;54.75;9;27.25;4;-1.0;9.0
+;8;37.25;Fritz Christian;;17;53.75;10;36.75;2;-0.5;10.0
o;6;47.25;Stoffel Marc;**;6;56.5;8;46.75;2;-0.5;8.5

9f;Hasler Manuel;*;;;;;;;;;55.75
+;;;Büchi Christian;;;;;;;;10.0
-;1;10.0;Klausner Yanick;**;11;55.25;4;8.75;3;-1.25;9.0
o;4;19.0;Schuler Alex;**;5;56.75;2;19.75;-2;0.75;8.5
+;8;27.5;Lehmann Robin (1999);;11;55.25;5;28.25;-3;0.75;10.0
+;7;37.5;Schmid Samuel;**;12;55.0;7;37.5;0;0.0;9.75
o;6;47.25;Käser Remo;**;2;58.0;3;48.25;-3;1.0;8.5

9g;Widmer Tobias;**;;;;;;;;;55.75
o;;;Hauri Urs;**;;;;;;;8.5
+;5;8.5;Stegmüller Klemens;*;19;53.25;5;8.5;0;0.0;10.0
-;6;18.5;Stoll Simon;;9;55.75;2;19.75;-4;1.25;8.75
+;9;27.25;Ris Jörn (1998);;10;55.5;4;28.5;-5;1.25;10.0
+;8;37.25;Bader Andreas;*;13;54.75;12;36.25;4;-1.0;10.0
o;6;47.25;Thoenen Henryc;**;3;57.5;5;47.5;-1;0.25;8.5

9h;Roch Vincent;*;;;;;;;;;55.75
o;;;Studinger Stephan;**;;;;;;;8.5
o;5;8.5;Erb Roger;**;8;56.0;5;8.5;0;0.0;8.5
+;11;17.0;Dobler Florian;;22;35.25;7;18.25;-4;1.25;10.0
+;10;27.0;Loosli Adrian;;17;53.75;5;28.25;-5;1.25;10.0
+;9;37.0;Stoll Simon;;9;55.75;8;37.25;-1;0.25;10.0
o;7;47.0;Gisler Bruno;***;4;57.0;6;47.25;-1;0.25;8.75

9i;Eggen Markus;;;;;;;;;;55.75
+;;;Stoll Thomas (1998);;;;;;;;10.0
-;1;10.0;Studer Remo;;21;35.5;2;9.75;1;-0.25;8.75
o;5;18.75;Huber Cédric;**;10;55.5;7;18.25;2;-0.5;8.5
+;9;27.25;Brügger Cyrill (1998);;21;35.5;10;27.0;1;-0.25;10.0
o;8;37.25;Bader Andreas;*;13;54.75;12;36.25;4;-1.0;8.5
+;12;45.75;Mangold Martin;;17;53.75;14;45.25;2;-0.5;10.0

9j;Stoll Simon;;;;;;;;;;55.75
+;;;Roth Christian;;;;;;;;10.0
+;1;10.0;Mangold Martin;;17;53.75;2;9.75;1;-0.25;9.75
-;2;19.75;Widmer Tobias;**;9;55.75;6;18.5;4;-1.25;8.75
-;4;28.5;Döbeli Andreas (1998);*;8;56.0;8;27.5;4;-1.0;8.75
o;8;37.25;Roch Vincent;*;9;55.75;9;37.0;1;-0.25;8.5
+;12;45.75;Loosli Adrian;;17;53.75;14;45.25;2;-0.5;10.0

9k;Döbeli Lukas (2000);;;;;;;;;;55.75
+;;;Burtschi Michael;;;;;;;;9.75
-;2;9.75;Nyffeler Christoph;;8;56.0;1;10.0;-1;0.25;8.75
o;6;18.5;Kocher Remo;**;10;55.5;10;17.25;4;-1.25;8.75
+;9;27.25;Studer Remo;;21;35.5;10;27.0;1;-0.25;9.75
+;9;37.0;Duplan Steve;**;11;55.25;10;36.75;1;-0.25;10.0
-;7;47.0;Hauri Urs;**;10;55.5;8;46.75;1;-0.25;8.75

10a;Huber Cédric;**;;;;;;;;;55.5
+;;;Steinmann Yves;*;;;;;;;9.75
o;2;9.75;Kramer Franz;*;15;54.25;1;10.0;-1;0.25;8.5
+;7;18.25;Eggen Markus;;9;55.75;5;18.75;-2;0.5;10.0
o;5;28.25;Alpiger Nick;**;6;56.5;4;28.5;-1;0.25;8.5
+;10;36.75;Mangold Martin;;17;53.75;10;36.75;0;0.0;10.0
-;8;46.75;Vieira Tiago;**;8;56.0;6;47.25;-2;0.5;8.75

10b;Hauri Urs;**;;;;;;;;;55.5
+;;;Widmer Tobias;**;;;;;;;9.75
o;2;9.75;Matthey Mickaël;**;10;55.5;5;8.5;3;-1.25;8.5
+;7;18.25;Gerber Andrj (2000);;16;54.0;6;18.5;-1;0.25;10.0
-;5;28.25;Räbmatter Patrick;**;10;55.5;5;28.25;0;0.0;8.75
+;9;37.0;Leuthard Reto;*;10;55.5;8;37.25;-1;0.25;9.75
-;8;46.75;Döbeli Lukas (2000);;9;55.75;7;47.0;-1;0.25;8.75

10c;Steinmann Yves;*;;;;;;;;;55.5
o;;;Huber Cédric;**;;;;;;;8.5
-;5;8.5;Schmutz Adrian;*;18;53.5;3;9.0;-2;0.5;8.75
+;10;17.25;Studer Remo;;21;35.5;6;18.5;-4;1.25;9.75
+;10;27.0;Schopferer Cyril (2000);;20;53.0;9;27.25;-1;0.25;10.0
o;9;37.0;Henzer Andreas;**;8;56.0;8;37.25;-1;0.25;8.5
+;13;45.5;Fritz Christian;;17;53.75;14;45.25;1;-0.25;10.0

10d;Ris Jörn (1998);;;;;;;;;;55.5
+;;;Kaspar Jan (1999);;;;;;;;10.0
+;1;10.0;Hitz Florian (1999);;20;53.0;1;10.0;0;0.0;10.0
o;1;20.0;Alpiger Nick;**;6;56.5;6;18.5;5;-1.5;8.5
o;4;28.5;Widmer Tobias;**;9;55.75;9;27.25;5;-1.25;8.5
o;9;37.0;Seiler Thomas;;12;55.0;10;36.75;1;-0.25;8.5
+;13;45.5;Roth Christian;;17;53.75;14;45.25;1;-0.25;10.0

10e;Probst Gabriel;**;;;;;;;;;55.5
-;;;Schmid Samuel;**;;;;;;;8.75
+;4;8.75;Wiederkehr Michael;;11;55.25;2;9.75;-2;1.0;10.0
o;5;18.75;Bieri Christoph;***;7;56.25;6;18.5;1;-0.25;8.5
o;9;27.25;Hermann Oliver;;11;55.25;4;28.5;-5;1.25;8.75
+;13;36.0;Müller Simon;;15;54.25;14;35.75;1;-0.25;9.75
+;12;45.75;Seiler Thomas;;12;55.0;9;46.5;-3;0.75;9.75

10f;Räbmatter Patrick;**;;;;;;;;;55.5
+;;;Duplan Steve;**;;;;;;;9.75
o;2;9.75;Wenger Kilian;***;1;59.5;1;10.0;-1;0.25;8.5
+;7;18.25;Reimann Marco (1998);;11;55.25;2;19.75;-5;1.5;10.0
-;5;28.25;Hauri Urs;**;10;55.5;5;28.25;0;0.0;8.75
+;9;37.0;Widmer Cyrill (1998);;12;55.0;10;36.75;1;-0.25;10.0
o;7;47.0;Aeschbacher Matthias;**;4;57.0;7;47.0;0;0.0;8.5

10g;Winiger Fabian;**;;;;;;;;;55.5
o;;;Stoffel Marc;**;;;;;;;8.5
-;5;8.5;Scherrer Johann;**;14;54.5;5;8.5;0;0.0;8.75
+;10;17.25;Brügger Cyrill (1998);;21;35.5;6;18.5;-4;1.25;9.75
+;10;27.0;Gabathuler Björn (1998);;11;55.25;5;28.25;-5;1.25;10.0
+;9;37.0;Schär Jonas (1999);;12;55.0;10;36.75;1;-0.25;9.75
-;8;46.75;Kocher Remo;**;10;55.5;8;46.75;0;0.0;8.75

10h;Kocher Remo;**;;;;;;;;;55.5
o;;;Kramer Franz;*;;;;;;;8.5
-;5;8.5;Schmid Samuel;**;12;55.0;4;8.75;-1;0.25;8.75
+;10;17.25;Döbeli Lukas (2000);;9;55.75;6;18.5;-4;1.25;9.75
+;10;27.0;Schär Jonas (1999);;12;55.0;5;28.25;-5;1.25;10.0
+;9;37.0;Arnold Kornel;*;16;54.0;10;36.75;1;-0.25;9.75
-;8;46.75;Winiger Fabian;**;10;55.5;8;46.75;0;0.0;8.75

10i;Leuthard Reto;*;;;;;;;;;55.5
-;;;Schmutz Adrian;*;;;;;;;8.75
-;4;8.75;Voggensperger Janic (1998);*;8;56.0;3;9.0;-1;0.25;8.75
+;9;17.5;Fritz Andreas;;16;54.0;6;18.5;-3;1.0;10.0
+;8;27.5;Brun Samuel (1999);;14;54.5;8;27.5;0;0.0;9.75
o;8;37.25;Hauri Urs;**;10;55.5;9;37.0;1;-0.25;8.5
+;12;45.75;Büchi Christian;;12;55.0;9;46.5;-3;0.75;9.75

10j;Matthey Mickaël;**;;;;;;;;;55.5
o;;;Stalder Remo;***;;;;;;;8.5
+;5;8.5;Hauri Urs;**;10;55.5;2;9.75;-3;1.25;9.75
+;7;18.25;Nyffeler Christoph;;8;56.0;5;18.75;-2;0.5;9.75
-;6;28.0;Thoenen Henryc;**;3;57.5;4;28.5;-2;0.5;8.75
+;10;36.75;Widmer David;;16;54.0;9;37.0;-1;0.25;10.0
-;8;46.75;Bieri Christoph;***;7;56.25;6;47.25;-2;0.5;8.75

11a;Hermann Oliver;;;;;;;;;;55.25
+;;;Nussbaumer Gabriel;;;;;;;;9.75
+;2;9.75;Dobler Florian;;22;35.25;2;9.75;0;0.0;10.0
-;2;19.75;von Arx Christian;*;9;55.75;6;18.5;4;-1.25;8.75
+;4;28.5;Probst Gabriel;**;10;55.5;9;27.25;5;-1.25;9.75
o;4;38.25;Thoenen Henryc;**;3;57.5;7;37.5;3;-0.75;8.5
o;8;46.75;Löw Christophe;**;9;55.75;12;45.75;4;-1.0;8.5

11b;Wiederkehr Michael;;;;;;;;;;55.25
+;;;Grossmann Andreas;;;;;;;;9.75
o;2;9.75;Probst Gabriel;**;10;55.5;4;8.75;2;-1.0;8.5
+;7;18.25;Brügger Joël (2000);;20;53.0;6;18.5;-1;0.25;9.75
-;6;28.0;Kropf Marcel;**;13;54.75;8;27.5;2;-0.5;8.75
-;10;36.75;Büttler Adrian (1999);;15;54.25;14;35.75;4;-1.0;8.75
+;13;45.5;Fritz Andreas;;16;54.0;13;45.5;0;0.0;9.75

11c;Hügli Kaj;*;;;;;;;;;55.25
-;;;Moser Matthias;*;;;;;;;8.75
o;4;8.75;Gisler Bruno;***;4;57.0;5;8.5;1;-0.25;8.5
+;10;17.25;Schaub Reto (2000);;22;35.25;7;18.25;-3;1.0;10.0
o;9;27.25;Nyffeler Christoph;;8;56.0;9;27.25;0;0.0;8.5
+;14;35.75;Fritz Andreas;;16;54.0;9;37.0;-5;1.25;9.75
+;13;45.5;Stoll Thomas (1998);;15;54.25;12;45.75;-1;0.25;9.75

11d;Duplan Steve;**;;;;;;;;;55.25
o;;;Räbmatter Patrick;**;;;;;;;8.5
o;5;8.5;Thoenen Henryc;**;3;57.5;5;8.5;0;0.0;8.5
+;11;17.0;Lisser Beat;;22;35.25;7;18.25;-4;1.25;10.0
+;10;27.0;Bearda Samuel;;11;55.25;5;28.25;-5;1.25;9.75
o;10;36.75;Döbeli Lukas (2000);;9;55.75;9;37.0;-1;0.25;8.5
+;14;45.25;Schmutz Adrian;*;18;53.5;15;45.0;1;-0.25;10.0

11e;Gabathuler Björn (1998);;;;;;;;;;55.25
-;;;Jusufi Ilber;;;;;;;;8.75
+;4;8.75;Widmer Simon;;23;35.0;4;8.75;0;0.0;9.75
+;6;18.5;Krebs Clemens;;24;34.5;10;17.25;4;-1.25;9.75
o;5;28.25;Winiger Fabian;**;10;55.5;10;27.0;5;-1.25;8.5
+;10;36.75;Kramer Franz;*;15;54.25;9;37.0;-1;0.25;10.0
o;8;46.75;Studinger Stephan;**;5;56.75;7;47.0;-1;0.25;8.5

11f;Bearda Samuel;;;;;;;;;;55.25
+;;;Fritz Christian;;;;;;;;9.75
+;2;9.75;Krebs Clemens;;24;34.5;4;8.75;2;-1.0;10.0
o;2;19.75;Stoffel Marc;**;6;56.5;7;18.25;5;-1.5;8.5
o;5;28.25;Duplan Steve;**;11;55.25;10;27.0;5;-1.25;8.5
+;10;36.75;Schmutz Adrian;*;18;53.5;11;36.5;1;-0.25;10.0
o;8;46.75;Schuler Alex;**;5;56.75;8;46.75;0;0.0;8.5

11g;Brand Christian;**;;;;;;;;;55.25
+;;;Schaffner Samuel;**;;;;;;;9.75
o;2;9.75;Bieri Christoph;***;7;56.25;5;8.5;3;-1.25;8.5
+;7;18.25;Jusufi Azret;;12;55.0;3;19.5;-4;1.25;9.75
+;6;28.0;Schwander Kilian;;12;55.0;6;28.0;0;0.0;10.0
o;5;38.0;Müllestein Mike;**;5;56.75;6;37.75;1;-0.25;8.5
-;9;46.5;Schmid Samuel;**;12;55.0;10;46.25;1;-0.25;8.75

11h;Lehmann Robin (1999);;;;;;;;;;55.25
+;;;Wyss Cyrill;;;;;;;;9.75
+;2;9.75;Fritz Andreas;;16;54.0;1;10.0;-1;0.25;10.0
o;2;19.75;Vieira Tiago;**;8;56.0;6;18.5;4;-1.25;8.5
o;5;28.25;Hasler Manuel;*;9;55.75;8;27.5;3;-0.75;8.5
+;10;36.75;Läuchli Janik (2000);;17;53.75;10;36.75;0;0.0;10.0
o;8;46.75;Erb Roger;**;8;56.0;11;46.0;3;-0.75;8.5

11i;Klausner Yanick;**;;;;;;;;;55.25
-;;;Bader Andreas;*;;;;;;;8.75
-;4;8.75;Hasler Manuel;*;9;55.75;1;10.0;-3;1.25;9.0
+;8;17.75;Schopferer Cyril (2000);;20;53.0;5;18.75;-3;1.0;10.0
+;7;27.75;Aerni Lars;;18;53.5;8;27.5;1;-0.25;10.0
-;6;37.75;Erb Roger;**;8;56.0;9;37.0;3;-0.75;9.0
o;8;46.75;Stalder Remo;***;5;56.75;7;47.0;-1;0.25;8.5

11j;Reimann Marco (1998);;;;;;;;;;55.25
+;;;Aeschlimann Fabian (1999);;;;;;;;9.75
+;2;9.75;Schaub Reto (2000);;22;35.25;2;9.75;0;0.0;10.0
o;2;19.75;Räbmatter Patrick;**;10;55.5;7;18.25;5;-1.5;8.5
o;5;28.25;Henzer Andreas;**;8;56.0;9;27.25;4;-1.0;8.5
+;10;36.75;Reinhard Adrian;;19;53.25;14;35.75;4;-1.0;10.0
o;8;46.75;Voggensperger Janic (1998);*;8;56.0;11;46.0;3;-0.75;8.5

12a;Siegrist Christian;;;;;;;;;;55.0
o;;;Nyffeler Christoph;;;;;;;;8.5
+;5;8.5;Imobersteg Tobias (1998);;25;34.25;5;8.5;0;0.0;9.75
+;7;18.25;Schmutz Simon (2000);;20;53.0;7;18.25;0;0.0;9.75
o;6;28.0;Schmutz Adrian;*;18;53.5;11;26.75;5;-1.25;8.5
+;11;36.5;Brügger Joël (2000);;20;53.0;14;35.75;3;-0.75;9.75
-;10;46.25;Arnold Kornel;*;16;54.0;14;45.25;4;-1.0;8.75

12b;Seiler Thomas;;;;;;;;;;55.0
+;;;Imobersteg Tobias (1998);;;;;;;;10.0
+;1;10.0;Gerber Andrj (2000);;16;54.0;1;10.0;0;0.0;9.75
o;2;19.75;Arnold Kornel;*;16;54.0;6;18.5;4;-1.25;8.5
o;5;28.25;von Arx Christian;*;9;55.75;9;27.25;4;-1.0;8.5
+;10;36.75;Ris Jörn (1998);;10;55.5;9;37.0;-1;0.25;9.75
o;9;46.5;Probst Gabriel;**;10;55.5;12;45.75;3;-0.75;8.5

12c;Widmer Cyrill (1998);;;;;;;;;;55.0
-;;;Widmer David;;;;;;;;8.75
+;4;8.75;Furrer Mathias;;21;35.5;4;8.75;0;0.0;9.75
+;6;18.5;Müller Christian (1998);;21;35.5;6;18.5;0;0.0;9.75
o;5;28.25;Studinger Stephan;**;5;56.75;5;28.25;0;0.0;8.5
o;10;36.75;Räbmatter Patrick;**;10;55.5;9;37.0;-1;0.25;8.5
+;14;45.25;Roth Christian;;17;53.75;14;45.25;0;0.0;9.75

12d;Büchi Christian;;;;;;;;;;55.0
o;;;Hasler Manuel;*;;;;;;;8.5
