5672-2022-05-01_Thurgauer_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;59.0
+;7;18.25;Bakr Deliar (2006);;20;53.5;7;18.25;0;0.0;10.0
+;5;28.25;Jäger Mathias (2006);;13;55.25;5;28.25;0;0.0;9.75
o;6;38.0;Stöckli Stefan;***;7;56.75;9;37.0;3;-1.0;8.5
+;10;46.5;Studerus Jan;;13;55.25;9;46.75;-1;0.25;10.0

8g;Bärtsch Fabian;*;;;;;;;;;56.5
o;;;Burkhalter Thomas;*;;;;;;;8.5
+;5;8.5;Inauen Ivo;;24;52.5;1;10.0;-4;1.5;10.0
o;6;18.5;Dumelin David;**;7;56.75;6;18.5;0;0.0;8.5
+;9;27.0;Mösli Marcel;;15;54.75;6;28.0;-3;1.0;9.75
+;10;36.75;Schild Cornel (2004);;17;54.25;9;37.0;-1;0.25;9.75
+;10;46.5;Hänni Marc;;14;55.0;10;46.5;0;0.0;10.0

9a;Kuster Thomas;**;;;;;;;;;56.25
o;;;Notz Beni;***;;;;;;;8.5
+;5;8.5;Bleiker Ueli (2004);;11;55.75;1;10.0;-4;1.5;9.75
o;7;18.25;Hugelshofer Lars;*;7;56.75;6;18.5;-1;0.25;8.5
+;10;26.75;Lozza Roman;;14;55.0;5;28.25;-5;1.5;10.0
+;10;36.75;Tschudi Mario;;18;54.0;10;36.75;0;0.0;9.75
+;10;46.5;Elmer Adrian;*;15;54.75;11;46.25;1;-0.25;9.75

9b;Niederer Andreas;;;;;;;;;;56.25
+;;;Knup Stephan;;;;;;;;9.75
-;2;9.75;Akeret Benno;*;10;56.0;5;8.5;3;-1.25;9.0
+;5;18.75;Nef Tobias (2005);;23;52.75;5;18.75;0;0.0;10.0
o;3;28.75;Steiner Michael;**;8;56.5;5;28.25;2;-0.5;8.5
+;8;37.25;Wey Nicola;*;7;56.75;5;38.25;-3;1.0;10.0
-;7;47.25;Kolb This;**;7;56.75;5;47.75;-2;0.5;9.0

9c;Schudel Simon;*;;;;;;;;;56.25
o;;;Wolfer Lukas;*;;;;;;;8.5
+;5;8.5;Bachmann Oliver (2004);;16;54.5;1;10.0;-4;1.5;9.75
+;7;18.25;Studerus Jan;;13;55.25;7;18.25;0;0.0;9.75
+;6;28.0;Schild Cornel (2004);;17;54.25;4;28.5;-2;0.5;10.0
o;6;38.0;Notz Beni;***;7;56.75;6;38.0;0;0.0;8.5
+;10;46.5;Brunner Dominik (2004);;14;55.0;10;46.5;0;0.0;9.75

9d;Schäppi Urs;*;;;;;;;;;56.25
-;;;Fuster Sepp;*;;;;;;;8.75
o;4;8.75;Walser Simon (2004);;13;55.25;5;8.5;1;-0.25;8.75
+;9;17.5;Wenger Dominic;;29;34.0;11;17.0;2;-0.5;10.0
+;7;27.5;Kleinberger Alex;;23;52.75;8;27.25;1;-0.25;10.0
+;7;37.5;Poltera Andrin;**;27;45.0;11;36.5;4;-1.0;10.0
-;6;47.5;Koch Thomas;*;11;55.75;8;47.0;2;-0.5;8.75

9e;Odermatt Gian Maria (2004);*;;;;;;;;;56.25
-;;;Elmer Adrian;*;;;;;;;8.75
+;4;8.75;Inauen Aurel;;16;54.5;1;10.0;-3;1.25;10.0
+;5;18.75;Keller Elija;;14;55.0;6;18.5;1;-0.25;10.0
o;3;28.75;Schmid Dominik;**;6;57.0;3;28.75;0;0.0;8.5
-;8;37.25;Kolb Kilian (2005);;8;56.5;7;37.5;-1;0.25;9.0
+;11;46.25;Lozza Roman;;14;55.0;10;46.5;-1;0.25;10.0

10a;Kundert Elias (2005);;;;;;;;;;56.0
+;;;Hengartner Ivo;*;;;;;;;9.75
+;2;9.75;Roth Lukas;*;19;53.75;5;8.5;3;-1.25;10.0
o;2;19.75;Dändliker Shane;**;6;57.0;6;18.5;4;-1.25;8.5
+;5;28.25;Bucher Roman;;12;55.5;4;28.5;-1;0.25;10.0
o;5;38.25;Ammann Rico;*;7;56.75;5;38.25;0;0.0;8.75
-;8;47.0;Kiser Aron;;10;56.0;8;47.0;0;0.0;9.0

10b;Kolb Pirmin;*;;;;;;;;;56.0
-;;;Burch Dean;*;;;;;;;9.0
+;3;9.0;Stauffacher Martin;;17;54.25;1;10.0;-2;1.0;9.75
-;5;18.75;Poltera Andrin;**;27;45.0;6;18.5;1;-0.25;8.75
+;7;27.5;Schönenberger Tobias (2004);;13;55.25;5;28.25;-2;0.75;9.75
+;8;37.25;Horner Sämi;;13;55.25;5;38.25;-3;1.0;9.75
-;8;47.0;Mettler Valentin;*;11;55.75;9;46.75;1;-0.25;9.0

10c;Inauen Maurus;;;;;;;;;;56.0
+;;;Kolb Kilian (2005);;;;;;;;10.0
o;1;10.0;von Büren Stephan;**;13;55.25;5;8.5;4;-1.5;8.5
-;6;18.5;Winzeler Simon;;11;55.75;5;18.75;-1;0.25;8.75
-;8;27.25;Ochsner Reto;;17;54.25;8;27.25;0;0.0;8.75
+;12;36.0;Bischof Loris (2006);;21;53.25;12;36.0;0;0.0;10.0
+;12;46.0;Lengacher Gian;;16;54.5;12;46.0;0;0.0;10.0

10d;Akeret Benno;*;;;;;;;;;56.0
o;;;Signer Andy;*;;;;;;;8.5
-;5;8.5;Niederer Andreas;;9;56.25;2;9.75;-3;1.25;9.0
o;9;17.5;Bucher Roman;;12;55.5;6;18.5;-3;1.0;8.75
+;12;26.25;Burkhard Tobias;*;22;53.0;9;27.0;-3;0.75;9.75
+;12;36.0;Bakr Deliar (2006);;20;53.5;11;36.5;-1;0.5;10.0
+;12;46.0;Hobi Ignaz;*;20;53.5;16;44.75;4;-1.25;10.0

10e;Habegger Andrin (2005);;;;;;;;;;56.0
o;;;Horner Sämi;;;;;;;;8.5
+;5;8.5;Kern Sven;;28;35.25;5;8.5;0;0.0;9.75
+;7;18.25;Meier Christian;;18;54.0;6;18.5;-1;0.25;10.0
-;5;28.25;Poltera Andrin;**;27;45.0;7;27.5;2;-0.75;9.0
-;8;37.25;Bleiker Ueli (2004);;11;55.75;9;37.0;1;-0.25;9.0
+;11;46.25;Diem Hansruedi;;18;54.0;13;45.5;2;-0.75;9.75

10f;Kiser Aron;;;;;;;;;;56.0
+;;;Burkhard Tobias;*;;;;;;;9.75
+;2;9.75;Ruppanner Philipp;;17;54.25;1;10.0;-1;0.25;9.75
o;3;19.5;von Büren Stephan;**;13;55.25;7;18.25;4;-1.25;8.5
+;6;28.0;Brülisauer Dominik;;13;55.25;5;28.25;-1;0.25;10.0
-;6;38.0;Elmer Adrian;*;15;54.75;8;37.25;2;-0.75;9.0
-;8;47.0;Kundert Elias (2005);;10;56.0;8;47.0;0;0.0;9.0

11a;Winzeler Simon;;;;;;;;;;55.75
+;;;Studerus Jan;;;;;;;;10.0
-;1;10.0;Hobi Ignaz;*;20;53.5;5;8.5;4;-1.5;8.75
-;5;18.75;Inauen Maurus;;10;56.0;6;18.5;1;-0.25;8.75
o;7;27.5;Ulmann Fabian;*;13;55.25;9;27.0;2;-0.5;8.5
+;12;36.0;Koch Sämi (2006);;23;52.75;13;35.75;1;-0.25;10.0
+;12;46.0;Gerig Marcel;;15;54.75;11;46.25;-1;0.25;9.75

11b;Bürli Roger;**;;;;;;;;;55.75
-;;;Bless Michael;***;;;;;;;9.0
+;3;9.0;Ackermann Roman;;17;54.25;2;9.75;-1;0.75;10.0
+;4;19.0;Schneider Mario;**;3;58.0;2;19.75;-2;0.75;9.75
o;3;28.75;Voggensperger Janic;**;2;58.25;1;30.0;-2;1.25;8.5
+;8;37.25;Kiener Raphael;;13;55.25;9;37.0;1;-0.25;10.0
o;7;47.25;Dändliker Shane;**;6;57.0;8;47.0;1;-0.25;8.5

11c;Imhof Gregor;;;;;;;;;;55.75
-;;;Hari Michi;;;;;;;;8.75
+;4;8.75;Jäger Mathias (2006);;13;55.25;2;9.75;-2;1.0;10.0
o;5;18.75;Schnurrenberger Roman;**;11;55.75;6;18.5;1;-0.25;8.5
+;8;27.25;Bischof Loris (2006);;21;53.25;7;27.5;-1;0.25;10.0
+;8;37.25;Lenherr Jonas (2005);;12;55.5;9;37.0;1;-0.25;9.75
-;8;47.0;Notz Beni;***;7;56.75;4;48.0;-4;1.0;8.75

11d;Bleiker Ueli (2004);;;;;;;;;;55.75
+;;;Affentranger Martin;;;;;;;;10.0
o;1;10.0;Kuster Thomas;**;9;56.25;5;8.5;4;-1.5;8.5
+;6;18.5;Magani Flurin;;19;53.75;6;18.5;0;0.0;10.0
o;4;28.5;Burkhalter Stefan;***;15;54.75;7;27.5;3;-1.0;8.5
-;9;37.0;Habegger Andrin (2005);;10;56.0;8;37.25;-1;0.25;9.0
+;12;46.0;Vogel Simon;;16;54.5;12;46.0;0;0.0;9.75

11e;Schnurrenberger Roman;**;;;;;;;;;55.75
o;;;Voggensperger Janic;**;;;;;;;8.5
+;5;8.5;Ammann Rico;*;7;56.75;1;10.0;-4;1.5;10.0
+;6;18.5;Imhof Gregor;;11;55.75;5;18.75;-1;0.25;10.0
o;4;28.5;Schneider Domenic;***;6;57.0;3;28.75;-1;0.25;8.5
+;9;37.0;Hinrichs Silvio (2004);;12;55.5;9;37.0;0;0.0;10.0
-;8;47.0;Stöckli Damian;*;12;55.5;9;46.75;1;-0.25;8.75

11f;Mettler Valentin;*;;;;;;;;;55.75
-;;;Krähenbühl Lukas;*;;;;;;;8.75
+;4;8.75;Feldmann Patrik (2005);;13;55.25;1;10.0;-3;1.25;10.0
o;5;18.75;Stöckli Stefan;***;7;56.75;6;18.5;1;-0.25;8.5
+;8;27.25;Signer Walter;;19;53.75;6;28.0;-2;0.75;9.75
+;9;37.0;Bachmann Janos (2004);;12;55.5;9;37.0;0;0.0;9.75
-;9;46.75;Kolb Pirmin;*;10;56.0;8;47.0;-1;0.25;9.0

11g;Koch Thomas;*;;;;;;;;;55.75
o;;;Wey Nicola;*;;;;;;;8.75
+;4;8.75;Schönenberger Tobias (2004);;13;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;Henz Marc (2006);;20;53.5;3;19.5;-3;1.0;10.0
+;4;28.5;Kindlimann Fabian;***;5;57.25;7;27.5;3;-1.0;10.0
o;4;38.5;Oettli Marco;**;5;57.25;4;38.5;0;0.0;8.5
-;8;47.0;Schäppi Urs;*;9;56.25;6;47.5;-2;0.5;8.75
