4405-2019-05-12_98_Urner_Kant_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;112.0
+;4;40.0;Arnold Stefan;**;13;55.75;5;38.75;1;-1.25;10.0
+;4;50.0;Schurtenberger Sven;***;5;58.5;5;48.5;1;-1.5;10.0

5a;Schurtenberger Sven;***;;;;;;;;;58.5
+;;;Imhof Andi;***;;;;;;;10.0
o;3;10.0;Reichmuth Pirmin;***;4;60.0;3;10.0;0;0.0;8.5
+;9;18.5;Zimmermann Simon;**;15;55.25;8;18.75;-1;0.25;10.0
+;8;28.5;Herger Fabian;*;10;56.5;5;29.5;-3;1.0;10.0
+;6;38.5;Betschart Remo;**;8;57.0;6;38.5;0;0.0;10.0
+;5;48.5;Mathis Marcel;***;9;56.75;6;48.25;1;-0.25;10.0
o;5;58.5;Reichmuth Pirmin;***;4;60.0;4;60.0;-1;1.5;0.0

6a;Nötzli Reto;***;;;;;;;;;57.75
+;;;Fankhauser Erich;***;;;;;;;10.0
+;3;10.0;Mathis Marcel;***;9;56.75;3;10.0;0;0.0;9.75
+;5;19.75;Graber Michael;*;9;56.75;5;19.75;0;0.0;10.0
o;4;29.75;Reichmuth Pirmin;***;4;60.0;3;30.0;-1;0.25;8.5
+;7;38.25;Schmid Simon;*;10;56.5;7;38.25;0;0.0;9.75
+;7;48.0;Muff André;*;10;56.5;7;48.0;0;0.0;9.75

6b;Wicki Joel;**;;;;;;;;;57.75
o;;;Reichmuth Pirmin;***;;;;;;;8.75
+;6;8.75;Arnold Raphael;**;13;55.75;3;10.0;-3;1.25;9.75
+;9;18.5;Röthlin Pascal;;15;55.25;6;19.5;-3;1.0;10.0
+;8;28.5;Reichmuth Marco;**;13;55.75;6;29.0;-2;0.5;9.75
+;7;38.25;Gwerder Michael;**;10;56.5;8;38.0;1;-0.25;9.75
+;7;48.0;Müllestein Mike;***;10;56.5;7;48.0;0;0.0;9.75

7a;Suppiger René;***;;;;;;;;;57.25
+;;;Ulrich Andreas;***;;;;;;;10.0
-;3;10.0;Müllestein Mike;***;10;56.5;3;10.0;0;0.0;9.0
+;7;19.0;Bucher Roland;*;16;55.0;6;19.5;-1;0.5;9.75
+;7;28.75;Scheuber Lutz;**;7;57.25;6;29.0;-1;0.25;9.75
-;6;38.5;Herger Matthias;**;8;57.0;6;38.5;0;0.0;8.75
+;9;47.25;Van Messel Noe (2002);*;10;56.5;7;48.0;-2;0.75;10.0

7b;Bieri Marcel;**;;;;;;;;;57.25
-;;;Schuler Christian;***;;;;;;;8.75
-;6;8.75;Rohrer Marco;**;3;91.0;2;18.25;-4;9.5;8.75
+;13;17.5;Barmet Sven;;17;54.75;8;18.75;-5;1.25;10.0
+;12;27.5;Reichmuth Lukas;*;12;56.0;11;27.75;-1;0.25;10.0
+;10;37.5;Arnold Andreas;*;12;56.0;9;37.75;-1;0.25;9.75
+;9;47.25;Müller Michael;**;12;56.0;9;47.25;0;0.0;10.0

7c;Scheuber Lutz;**;;;;;;;;;57.25
-;;;Gloggner Reto;**;;;;;;;9.0
+;5;9.0;Bürgler André;*;16;55.0;5;9.0;0;0.0;10.0
+;7;19.0;Bühlmann Daniel;;13;55.75;4;20.0;-3;1.0;10.0
o;6;29.0;Suppiger René;***;7;57.25;7;28.75;1;-0.25;8.5
