4226-2019-05-26_105_StGaller_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;59.5
+;10;17.25;Bosshard Dario;;10;55.75;6;18.5;-4;1.25;10.0
+;9;27.25;Fuster Sepp;*;8;56.25;7;27.75;-2;0.5;10.0
+;8;37.25;Fontana Michael;*;10;55.75;8;37.25;0;0.0;9.75
+;7;47.0;Biäsch Christian;*;11;55.5;7;47.0;0;0.0;9.75

6f;Fausch Kjetil;*;;;;;;;;;56.75
o;;;Koch Thomas;*;;;;;;;8.5
+;5;8.5;Schönenberger Björn;;16;54.25;3;9.0;-2;0.5;10.0
-;6;18.5;Fuster Sepp;*;8;56.25;5;18.75;-1;0.25;9.0
+;8;27.5;Ott Dominik;*;23;35.5;10;27.0;2;-0.5;9.75
+;8;37.25;Rüegg Patrick;;11;55.5;8;37.25;0;0.0;9.75
+;7;47.0;Breitenmoser Simon;;12;55.25;8;46.75;1;-0.25;9.75

6g;Koch Reto;*;;;;;;;;;56.75
o;;;Good Marco;*;;;;;;;8.75
+;4;8.75;Niederer Andreas (2002);;9;56.0;2;9.75;-2;1.0;9.75
+;6;18.5;Rütsche Stefan;*;22;35.75;6;18.5;0;0.0;10.0
+;4;28.5;Roth Peter;;16;54.25;4;28.5;0;0.0;9.75
+;4;38.25;Baumgartner Ramon (2002);;12;55.25;4;38.25;0;0.0;10.0
o;2;48.25;Forrer Arnold;***;5;57.0;6;47.25;4;-1.0;8.5

7a;Schlegel Werner (2002);*;;;;;;;;;56.5
+;;;Lanter Christian;*;;;;;;;9.75
o;2;9.75;Zwyssig Raphael;***;10;55.75;4;8.75;2;-1.0;8.5
+;7;18.25;Keller Werner;;22;35.75;5;18.75;-2;0.5;10.0
+;5;28.25;Wehrli Jan (2002);;18;53.75;5;28.25;0;0.0;10.0
o;4;38.25;Bless Michael;***;5;57.0;8;37.25;4;-1.0;8.5
+;8;46.75;Flück Bruno;;12;55.25;8;46.75;0;0.0;9.75

7b;Bernold Michael;*;;;;;;;;;56.5
+;;;Wittenwiler Roman;*;;;;;;;10.0
o;1;10.0;Kuster Marcel;***;2;57.75;5;8.5;4;-1.5;8.5
-;6;18.5;Rüegg Patrick;;11;55.5;6;18.5;0;0.0;8.75
+;9;27.25;Neff Florian;;14;54.75;7;27.75;-2;0.5;9.75
+;9;37.0;Graf Nicola (2003);;11;55.5;9;37.0;0;0.0;9.75
+;8;46.75;Egli Martin;;11;55.5;7;47.0;-1;0.25;9.75

7c;Good Marco;*;;;;;;;;;56.5
+;;;Koch Reto;*;;;;;;;10.0
+;1;10.0;Schudel Simon;*;10;55.75;1;10.0;0;0.0;10.0
-;1;20.0;Zwyssig Raphael;***;10;55.75;5;18.75;4;-1.25;8.75
-;3;28.75;Bollhalder Manuel (2001);;4;57.25;1;29.75;-2;1.0;9.0
+;6;37.75;Schmid Patrick;*;9;56.0;3;38.5;-3;0.75;10.0
-;4;47.75;Schläpfer Markus;**;8;56.25;5;47.5;1;-0.25;8.75

7d;Wey Nicola;*;;;;;;;;;56.5
+;;;Heierli Pascal;*;;;;;;;10.0
o;1;10.0;Forrer Arnold;***;5;57.0;4;8.75;3;-1.25;8.75
+;5;18.75;Vollmeier Sandro;;11;55.5;1;20.0;-4;1.25;9.75
+;4;28.5;Egli Martin;;11;55.5;4;28.5;0;0.0;9.75
+;4;38.25;Rüegg Roman;*;9;56.0;7;37.5;3;-0.75;9.75
o;3;48.0;Geisser Lars;**;5;57.0;6;47.25;3;-0.75;8.5

7e;Giger Urs;*;;;;;;;;;56.5
-;;;Mettler Valentin;*;;;;;;;9.0
+;3;9.0;Tremp Remo;;22;35.75;1;10.0;-2;1.0;10.0
-;4;19.0;Wetter Silvan;;4;57.25;2;19.75;-2;0.75;9.0
+;6;28.0;Schegg Daniel;;18;53.75;5;28.25;-1;0.25;10.0
o;5;38.0;Ott Damian;**;5;57.0;4;38.25;-1;0.25;8.5
+;9;46.5;Breitenmoser Manuel;*;13;55.0;10;46.25;1;-0.25;10.0

8a;Poltera Andrin;*;;;;;;;;;56.25
+;;;Ueltschi Patric;*;;;;;;;9.75
+;2;9.75;Baumann Simon;;24;35.25;2;9.75;0;0.0;10.0
-;2;19.75;Riget Tobias;**;3;57.5;2;19.75;0;0.0;9.0
-;3;28.75;Geisser Lars;**;5;57.0;5;28.25;2;-0.5;8.75
-;7;37.5;Rotach Lars;;4;57.25;3;38.5;-4;1.0;8.75
+;10;46.25;Eisenring Leandro;;13;55.0;9;46.5;-1;0.25;10.0

8b;Badat Thomas;;;;;;;;;;56.25
+;;;Dudli Gallus;;;;;;;;10.0
-;1;10.0;Castelli Fabio;;14;54.75;4;8.75;3;-1.25;9.0
-;4;19.0;Ueltschi Patric;*;10;55.75;6;18.5;2;-0.5;9.0
-;6;28.0;Breitenmoser Manuel;*;13;55.0;8;27.5;2;-0.5;8.75
+;10;36.75;Schmid Reto;;14;54.75;12;36.25;2;-0.5;9.75
+;9;46.5;Alder Armin;*;15;54.5;11;46.0;2;-0.5;9.75

8c;Bernold Christian;**;;;;;;;;;56.25
+;;;Gwerder Andreas;**;;;;;;;10.0
-;1;10.0;Roth Martin;**;5;57.0;1;10.0;0;0.0;9.0
+;4;19.0;Buchmann Michael;;22;35.75;5;18.75;1;-0.25;9.75
-;3;28.75;Schläpfer Markus;**;8;56.25;3;28.75;0;0.0;9.0
+;6;37.75;Kuster Thomas;*;11;55.5;3;38.5;-3;0.75;10.0
o;4;47.75;Kuster Marcel;***;2;57.75;3;48.0;-1;0.25;8.5

8d;Fuster Sepp;*;;;;;;;;;56.25
-;;;Hobi Ignaz;;;;;;;;8.75
+;4;8.75;Roth Michael;;9;56.0;2;9.75;-2;1.0;10.0
-;5;18.75;Fausch Kjetil;*;6;56.75;6;18.5;1;-0.25;9.0
o;7;27.75;Gmür Pirmin;**;6;56.75;9;27.25;2;-0.5;8.5
+;12;36.25;Schmid Gian (2003);;12;55.25;10;36.75;-2;0.5;10.0
+;10;46.25;Lozza Roman;;14;54.75;10;46.25;0;0.0;10.0

8e;Schlegel Sandro;**;;;;;;;;;56.25
+;;;Rüegg Fabian;*;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;1;59.5;2;9.75;1;-0.25;8.75
+;5;18.75;Rotach Lars;;4;57.25;2;19.75;-3;1.0;10.0
-;3;28.75;Rhyner Michael;**;3;57.5;3;28.75;0;0.0;9.0
-;6;37.75;Wetter Silvan;;4;57.25;2;38.75;-4;1.0;8.75
+;9;46.5;Kuster Thomas;*;11;55.5;7;47.0;-2;0.5;9.75

8f;Schläpfer Markus;**;;;;;;;;;56.25
-;;;Gmür Pirmin;**;;;;;;;8.75
+;4;8.75;Burch Dean (2001);;14;54.75;1;10.0;-3;1.25;10.0
+;5;18.75;Lanter Christian;*;12;55.25;5;18.75;0;0.0;10.0
-;3;28.75;Bernold Christian;**;8;56.25;3;28.75;0;0.0;9.0
+;6;37.75;Schnurrenberger Roman;**;9;56.0;7;37.5;1;-0.25;9.75
-;5;47.5;Good Marco;*;7;56.5;4;47.75;-1;0.25;8.75

9a;Baumann Rico;*;;;;;;;;;56.0
+;;;Schmid Patrick;*;;;;;;;10.0
o;1;10.0;Battaglia Ursin;**;11;55.5;5;8.5;4;-1.5;8.75
+;5;18.75;Preisig Manuel;;23;35.5;6;18.5;1;-0.25;10.0
o;3;28.75;Kuster Marcel;***;2;57.75;4;28.5;1;-0.25;8.5
+;8;37.25;Steiner Joel;;13;55.0;11;36.5;3;-0.75;9.75
