4226-2019-05-26_105_StGaller_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;59.5
o;4;28.5;Koch Reto;*;6;56.75;4;28.5;0;0.0;8.5
-;9;37.0;Bosshard Dario;;10;55.75;9;37.0;0;0.0;8.75
o;12;45.75;Graf Nicola (2003);;11;55.5;13;45.5;1;-0.25;8.5

16e;Mettler Valentin;*;;;;;;;;;54.25
-;;;Giger Urs;*;;;;;;;9.0
-;3;9.0;Hobi Ignaz;;9;56.0;4;8.75;1;-0.25;8.75
+;8;17.75;Lusti Adrian (2001);;23;35.5;7;18.25;-1;0.5;10.0
-;7;27.75;Bürgler Patrick;;12;55.25;6;28.0;-1;0.25;9.0
o;10;36.75;Elmer Daniel;*;10;55.75;7;37.5;-3;0.75;8.75
o;13;45.5;Lanter Christian;*;12;55.25;13;45.5;0;0.0;8.75

17a;Burkhard Tobias;;;;;;;;;;54.0
-;;;Bischof Martin;;;;;;;;8.75
o;4;8.75;Martin Dominik;;9;56.0;1;10.0;-3;1.25;8.5
+;10;17.25;Raschle Urban (2003);;13;55.0;7;18.25;-3;1.0;10.0
+;9;27.25;Meier Adrian;;24;35.25;11;26.75;2;-0.5;9.75
o;9;37.0;Pfister Florian;*;11;55.5;10;36.75;1;-0.25;8.5
o;13;45.5;Arnold Christian;;12;55.25;14;45.25;1;-0.25;8.5

17b;Bleiker Daniel;;;;;;;;;;54.0
-;;;Kiener Raphael;;;;;;;;8.75
+;4;8.75;Inauen Ivo (2002);;22;35.75;5;8.5;1;-0.25;9.75
o;6;18.5;Bürgler Patrick;;12;55.25;7;18.25;1;-0.25;8.5
+;10;27.0;Tobler Marco;;23;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Riget Ivan;*;9;56.0;13;36.0;4;-1.0;8.5
o;13;45.5;Knellwolf Sebastian (2001);;11;55.5;13;45.5;0;0.0;8.5

17c;Ritter Fabio (2001);;;;;;;;;;54.0
o;;;Gerig Marcel;;;;;;;;8.5
o;5;8.5;Forrer Marco (2003);;15;54.5;5;8.5;0;0.0;8.5
+;11;17.0;Tschumper Lewin (2002);;29;34.0;11;17.0;0;0.0;10.0
+;10;27.0;Kurmann Patrick (2003);;23;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Alder Armin;*;15;54.5;12;36.25;3;-0.75;8.5
o;13;45.5;Stadelmann Patrick;;15;54.5;16;44.75;3;-0.75;8.5

18a;Wehrli Jan (2002);;;;;;;;;;53.75
+;;;Stauffacher Martin;;;;;;;;10.0
+;1;10.0;Oertig Simon;*;31;17.25;4;8.75;3;-1.25;9.75
o;2;19.75;Rhyner Michael;**;3;57.5;5;18.75;3;-1.0;8.5
o;5;28.25;Schlegel Werner (2002);*;7;56.5;5;28.25;0;0.0;8.5
o;10;36.75;Raschle Urban (2003);;13;55.0;11;36.5;1;-0.25;8.5
o;14;45.25;Egli Ramon (2001);;14;54.75;15;45.0;1;-0.25;8.5

18b;Mösli Marcel;;;;;;;;;;53.75
o;;;Lozza Roman;;;;;;;;8.5
+;5;8.5;Lusti Elias (2003);;29;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Schiess Christian;;13;55.0;6;18.5;-1;0.25;8.5
+;11;26.75;Krucker Silvan (2001);;27;34.5;13;26.0;2;-0.75;9.75
o;11;36.5;Ziegler Michael;;15;54.5;13;36.0;2;-0.5;8.5
-;15;45.0;Baumgartner Joël;;20;53.25;17;44.5;2;-0.5;8.75

18c;Schoch Cornel;;;;;;;;;;53.75
o;;;Lüthi Manuel (2003);;;;;;;;8.5
+;5;8.5;Lauchenauer Paul (2002);;24;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Breitenmoser Manuel;*;13;55.0;9;17.5;2;-0.75;8.5
+;11;26.75;Baumann Simon;;24;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Schiess Christian;;13;55.0;10;36.75;0;0.0;8.5
o;14;45.25;Schönenberger Björn;;16;54.25;17;44.5;3;-0.75;8.5

18d;Schegg Daniel;;;;;;;;;;53.75
+;;;Bosshard Dario;;;;;;;;10.0
o;1;10.0;Ueltschi Patric;*;10;55.75;5;8.5;4;-1.5;8.5
+;6;18.5;Martin Tobias (2001);;22;35.75;6;18.5;0;0.0;9.75
o;5;28.25;Giger Urs;*;7;56.5;6;28.0;1;-0.25;8.5
o;10;36.75;Bürgler Patrick;;12;55.25;9;37.0;-1;0.25;8.5
o;14;45.25;Battaglia Ursin;**;11;55.5;12;45.75;-2;0.5;8.5

18e;Wenger Dominic;;;;;;;;;;53.75
o;;;Preisig Manuel;;;;;;;;8.5
+;5;8.5;Weder Yanick (2003);;29;34.0;5;8.5;0;0.0;9.75
+;7;18.25;Oberhänsli Kilian;;27;34.5;9;17.5;2;-0.75;10.0
o;5;28.25;Wetter Silvan;;4;57.25;3;28.75;-2;0.5;8.5
o;10;36.75;Schläpfer Matthias;*;5;57.0;9;37.0;-1;0.25;8.5
o;14;45.25;Kiener Raphael;;15;54.5;16;44.75;2;-0.5;8.5

18f;Stauffacher Martin;;;;;;;;;;53.75
o;;;Wehrli Jan (2002);;;;;;;;8.5
+;5;8.5;Bucher Roland;;23;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Peng Mike;***;5;57.0;9;17.5;3;-1.0;8.5
+;10;27.0;Nüesch Remo (2001);;23;35.5;11;26.75;1;-0.25;9.75
o;10;36.75;Ziegler Andreas (2002);;13;55.0;10;36.75;0;0.0;8.5
o;14;45.25;Galli Cedric (2001);;12;55.25;13;45.5;-1;0.25;8.5

19a;Flütsch Marco;;;;;;;;;;53.5
-;;;Stadelmann Patrick;;;;;;;;9.0
-;3;9.0;Ziegler Michael;;15;54.5;2;9.75;-1;0.75;8.75
+;8;17.75;Egli Patrick;;23;35.5;6;18.5;-2;0.75;9.75
-;8;27.5;Rütsche Stefan;*;22;35.75;10;27.0;2;-0.5;8.75
-;12;36.25;Roth Sämi;;19;53.5;12;36.25;0;0.0;8.75
o;15;45.0;Schmid Gian (2003);;12;55.25;14;45.25;-1;0.25;8.5

19b;Roth Sämi;;;;;;;;;;53.5
+;;;Düring Dominik (2003);;;;;;;;10.0
o;1;10.0;Schnurrenberger Roman;**;9;56.0;4;8.75;3;-1.25;8.5
-;6;18.5;Niederer Andreas (2002);;9;56.0;7;18.25;1;-0.25;9.0
o;8;27.5;Rüegg Patrick;;11;55.5;9;27.25;1;-0.25;8.75
-;12;36.25;Flütsch Marco;;19;53.5;12;36.25;0;0.0;8.75
o;15;45.0;Jörger Corsin;;11;55.5;13;45.5;-2;0.5;8.5

19c;Steiner Lukas (2002);;;;;;;;;;53.5
+;;;Bollhalder Mario (2002);;;;;;;;9.75
+;2;9.75;Lenherr Cédric (2003);;21;53.0;1;10.0;-1;0.25;9.75
o;3;19.5;Wittenwiler Roman;*;9;56.0;6;18.5;3;-1.0;8.5
o;6;28.0;Lanter Christian;*;12;55.25;9;27.25;3;-0.75;8.5
o;11;36.5;Flück Bruno;;12;55.25;9;37.0;-2;0.5;8.5
o;15;45.0;Schmid Reto;;14;54.75;15;45.0;0;0.0;8.5

19d;Frauenfelder Florian (2001);;;;;;;;;;53.5
-;;;Schönenberger Björn;;;;;;;;9.0
+;3;9.0;Lusti Adrian (2001);;23;35.5;2;9.75;-1;0.75;10.0
o;4;19.0;Heierli Pascal;*;6;56.75;6;18.5;2;-0.5;8.5
o;8;27.5;Breitenmoser Simon;;12;55.25;5;28.25;-3;0.75;8.5
o;13;36.0;Niederer Andreas (2002);;9;56.0;13;36.0;0;0.0;8.75
-;16;44.75;Gerig Marcel;;16;54.25;13;45.5;-3;0.75;8.75

20a;Baumgartner Joël;;;;;;;;;;53.25
-;;;Müller Loris;;;;;;;;8.75
-;4;8.75;Tobler Marco;;23;35.5;5;8.5;1;-0.25;8.75
o;9;17.5;Schmid Gian (2003);;12;55.25;6;18.5;-3;1.0;8.5
+;13;26.0;Tschumper Lewin (2002);;29;34.0;15;25.5;2;-0.5;10.0
o;13;36.0;Schmid Michael;;16;54.25;13;36.0;0;0.0;8.5
-;17;44.5;Mösli Marcel;;18;53.75;15;45.0;-2;0.5;8.75

21a;Lenherr Cédric (2003);;;;;;;;;;53.0
+;;;Koller Silvan (2003);;;;;;;;10.0
o;1;10.0;Steiner Lukas (2002);;19;53.5;2;9.75;1;-0.25;8.5
o;6;18.5;Schmid Patrick;*;9;56.0;6;18.5;0;0.0;8.5
-;10;27.0;Fallegger Marc (2003);;21;53.0;10;27.0;0;0.0;9.0
o;13;36.0;Bleiker Roman;;13;55.0;11;36.5;-2;0.5;8.5
o;17;44.5;Wild Thomas;;13;55.0;14;45.25;-3;0.75;8.5

21b;Bernold Edi;**;;;;;;;;;53.0
-;;;Fejzaj Naim;**;;;;;;;8.75
+;4;8.75;Jörger Corsin;;11;55.5;2;9.75;-2;1.0;10.0
-;5;18.75;Kuster Thomas;*;11;55.5;2;19.75;-3;1.0;8.75
o;8;27.5;Baumgartner Ramon (2002);;12;55.25;5;28.25;-3;0.75;8.5
o;13;36.0;Kamer Hanspeter;*;3;57.5;7;37.5;-6;1.5;8.5
o;17;44.5;Bosshard Dario;;10;55.75;12;45.75;-5;1.25;8.5

21c;Müller Loris;;;;;;;;;;53.0
-;;;Baumgartner Joël;;;;;;;;8.75
+;4;8.75;Tschumper Lewin (2002);;29;34.0;5;8.5;1;-0.25;10.0
-;5;18.75;Riget Ivan;*;9;56.0;10;17.25;5;-1.5;8.75
o;8;27.5;Castelli Fabio;;14;54.75;8;27.5;0;0.0;8.5
o;13;36.0;Egli Martin;;11;55.5;9;37.0;-4;1.0;8.5
o;17;44.5;Steiner Joel;;13;55.0;15;45.0;-2;0.5;8.5

21d;Fallegger Marc (2003);;;;;;;;;;53.0
o;;;Eisenring Leandro;;;;;;;;8.5
o;5;8.5;Langenegger Beat;;23;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Lusti Elias (2003);;29;34.0;11;17.0;0;0.0;10.0
-;10;27.0;Lenherr Cédric (2003);;21;53.0;10;27.0;0;0.0;9.0
o;13;36.0;Lieberherr David (2003);;12;55.25;10;36.75;-3;0.75;8.5
o;17;44.5;Sieber Marc;;14;54.75;15;45.0;-2;0.5;8.5

22a;Buchmann Michael;;;;;;;;;;35.75
+;;;Lieberherr David (2003);;;;;;;;10.0
o;1;10.0;Heierli Pascal;*;6;56.75;4;8.75;3;-1.25;8.75
o;5;18.75;Bernold Christian;**;8;56.25;4;19.0;-1;0.25;8.5
o;9;27.25;Lozza Roman;;14;54.75;8;27.5;-1;0.25;8.5

22b;Ruppanner Philipp;;;;;;;;;;35.75
o;;;Arnold Christian;;;;;;;;8.5
-;5;8.5;Krucker Silvan (2001);;27;34.5;4;8.75;-1;0.25;8.75
o;10;17.25;Lieberherr David (2003);;12;55.25;7;18.25;-3;1.0;8.5
+;14;25.75;Grob Rachen (2002);;29;34.0;15;25.5;1;-0.25;10.0

22c;Signer Walter;;;;;;;;;;35.75
o;;;Schrepfer Roy;;;;;;;;8.5
o;5;8.5;Wild Thomas;;13;55.0;5;8.5;0;0.0;8.5
+;11;17.0;Koller Silvan (2003);;28;34.25;11;17.0;0;0.0;10.0
-;10;27.0;Tremp Remo;;22;35.75;10;27.0;0;0.0;8.75

22d;Keller Werner;;;;;;;;;;35.75
o;;;Wetter Silvan;;;;;;;;8.75
+;4;8.75;Meier Adrian;;24;35.25;2;9.75;-2;1.0;10.0
o;5;18.75;Schlegel Werner (2002);*;7;56.5;7;18.25;2;-0.5;8.5
o;9;27.25;Bischof Martin;;15;54.5;9;27.25;0;0.0;8.5

22e;Hangartner Maurice (2003);;;;;;;;;;35.75
+;;;Tschumper Lewin (2002);;;;;;;;10.0
o;1;10.0;Fejzaj Naim;**;22;35.75;4;8.75;3;-1.25;8.5
o;6;18.5;Eisenring Leandro;;13;55.0;7;18.25;1;-0.25;8.5
-;10;27.0;Lusti Adrian (2001);;23;35.5;11;26.75;1;-0.25;8.75

22f;Tremp Remo;;;;;;;;;;35.75
+;;;Knellwolf Sebastian (2001);;;;;;;;10.0
o;1;10.0;Giger Urs;*;7;56.5;3;9.0;2;-1.0;8.5
o;6;18.5;Baumgartner Ramon (2002);;12;55.25;6;18.5;0;0.0;8.5
-;10;27.0;Signer Walter;;22;35.75;10;27.0;0;0.0;8.75

22g;Fejzaj Naim;**;;;;;;;;;35.75
-;;;Bernold Edi;**;;;;;;;8.75
+;4;8.75;Hangartner Maurice (2003);;22;35.75;1;10.0;-3;1.25;10.0
o;5;18.75;Schnurrenberger Roman;**;9;56.0;5;18.75;0;0.0;8.5
o;9;27.25;Scheiwiller Andreas;*;9;56.0;9;27.25;0;0.0;8.5

22h;Mannhart Jan (2003);;;;;;;;;;35.75
-;;;Scherrer Pascal;;;;;;;;8.75
+;4;8.75;Rust Emanuel;;23;35.5;5;8.5;1;-0.25;10.0
o;5;18.75;Bischof Martin;;15;54.5;5;18.75;0;0.0;8.5
o;9;27.25;Burkhard Patrick;*;22;35.75;13;26.0;4;-1.25;8.5

22i;Burkhard Patrick;*;;;;;;;;;35.75
o;;;Breitenmoser Simon;;;;;;;;8.5
o;5;8.5;Wetter Silvan;;4;57.25;1;10.0;-4;1.5;8.5
-;11;17.0;Lozza Roman;;14;54.75;6;18.5;-5;1.5;9.0
+;13;26.0;Mannhart Jan (2003);;22;35.75;9;27.25;-4;1.25;9.75

22j;Martin Tobias (2001);;;;;;;;;;35.75
+;;;Inauen Ivo (2002);;;;;;;;10.0
o;1;10.0;Wittenwiler Roman;*;9;56.0;4;8.75;3;-1.25;8.5
o;6;18.5;Schegg Daniel;;18;53.75;6;18.5;0;0.0;8.75
o;9;27.25;Roth Michael;;9;56.0;9;27.25;0;0.0;8.5

22k;Inauen Ivo (2002);;;;;;;;;;35.75
o;;;Martin Tobias (2001);;;;;;;;8.5
o;5;8.5;Bleiker Daniel;;17;54.0;4;8.75;-1;0.25;8.5
+;11;17.0;Lauchenauer Paul (2002);;24;35.25;11;17.0;0;0.0;10.0
-;10;27.0;Ziegler Michael;;15;54.5;9;27.25;-1;0.25;8.75

22l;Jud Reto (2001);;;;;;;;;;35.75
o;;;Schiess Christian;;;;;;;;8.5
o;5;8.5;Bleiker Roman;;13;55.0;5;8.5;0;0.0;8.5
+;11;17.0;Weder Yanick (2003);;29;34.0;11;17.0;0;0.0;9.75
-;11;26.75;Scherrer Pascal;;25;35.0;13;26.0;2;-0.75;9.0

22m;Lüthi Manuel (2003);;;;;;;;;;35.75
+;;;Schoch Cornel;;;;;;;;9.75
o;2;9.75;Rütsche Stefan;*;22;35.75;5;8.5;3;-1.25;8.5
-;7;18.25;Schmid Reto;;14;54.75;9;17.5;2;-0.75;8.75
-;10;27.0;Leuppi Karim;*;26;34.75;13;26.0;3;-1.0;8.75

22n;Rütsche Stefan;*;;;;;;;;;35.75
o;;;Oertle Daniel;*;;;;;;;8.5
+;5;8.5;Lüthi Manuel (2003);;22;35.75;2;9.75;-3;1.25;10.0
o;6;18.5;Koch Reto;*;6;56.75;6;18.5;0;0.0;8.5
-;10;27.0;Flütsch Marco;;19;53.5;8;27.5;-2;0.5;8.75

23a;Ackermann Roman;;;;;;;;;;35.5
o;;;Egli Martin;;;;;;;;8.5
+;5;8.5;Abderhalden Lukas (2003);;29;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Kamer Hanspeter;*;3;57.5;6;18.5;0;0.0;8.5
o;10;27.0;Lieberherr Michael;;10;55.75;10;27.0;0;0.0;8.5

23b;Bucher Roland;;;;;;;;;;35.5
o;;;Martin Dominik;;;;;;;;8.5
o;5;8.5;Stauffacher Martin;;18;53.75;5;8.5;0;0.0;8.5
+;11;17.0;Höpli Remo;;23;35.5;6;18.5;-5;1.5;9.75
o;11;26.75;Ueltschi Patric;*;10;55.75;8;27.5;-3;0.75;8.75

23c;Höpli Remo;;;;;;;;;;35.5
+;;;Bossert Alain (2001);;;;;;;;10.0
o;1;10.0;Rüegg Roman;*;9;56.0;5;8.5;4;-1.5;8.5
o;6;18.5;Bucher Roland;;23;35.5;11;17.0;5;-1.5;8.5
o;10;27.0;Bosshard Dario;;10;55.75;10;27.0;0;0.0;8.5

23d;Nüesch Remo (2001);;;;;;;;;;35.5
+;;;Schmid Gian (2003);;;;;;;;9.75
o;2;9.75;Schlegel Reto;*;6;56.75;5;8.5;3;-1.25;8.5
o;7;18.25;Hobi Ignaz;;9;56.0;9;17.5;2;-0.75;8.5
o;11;26.75;Stauffacher Martin;;18;53.75;10;27.0;-1;0.25;8.75

23e;Langenegger Beat;;;;;;;;;;35.5
o;;;Flück Bruno;;;;;;;;8.5
+;5;8.5;Fallegger Marc (2003);;21;53.0;5;8.5;0;0.0;10.0
o;6;18.5;Büsser André;*;6;56.75;6;18.5;0;0.0;8.5
o;10;27.0;Raschle Urban (2003);;13;55.0;11;26.75;1;-0.25;8.5

23f;Kurmann Patrick (2003);;;;;;;;;;35.5
o;;;Zumbach Michael;;;;;;;;8.5
+;5;8.5;Bossert Alain (2001);;24;35.25;5;8.5;0;0.0;9.75
-;7;18.25;Schmid Michael;;16;54.25;10;17.25;3;-1.0;8.75
o;10;27.0;Ritter Fabio (2001);;17;54.0;10;27.0;0;0.0;8.5

23g;Rust Emanuel;;;;;;;;;;35.5
o;;;Ziegler Andreas (2002);;;;;;;;8.5
o;5;8.5;Mannhart Jan (2003);;22;35.75;4;8.75;-1;0.25;8.5
+;11;17.0;Bollhalder Mario (2002);;29;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Büsser Remo;;11;55.5;9;27.25;-1;0.25;8.5

23h;Granwehr Adrian (2003);;;;;;;;;;35.5
o;;;Rickenmann Ramon (2001);;;;;;;;8.5
o;5;8.5;Egli Ramon (2001);;14;54.75;5;8.5;0;0.0;8.5
o;11;17.0;Tanner Markus (2002);;24;35.25;11;17.0;0;0.0;8.5
+;15;25.5;Abderhalden Lukas (2003);;29;34.0;15;25.5;0;0.0;10.0

23i;Egli Patrick;;;;;;;;;;35.5
-;;;Krucker Silvan (2001);;;;;;;;8.75
+;4;8.75;Koller Silvan (2003);;28;34.25;5;8.5;1;-0.25;9.75
o;6;18.5;Flütsch Marco;;19;53.5;8;17.75;2;-0.75;8.5
o;10;27.0;Riget Ivan;*;9;56.0;13;26.0;3;-1.0;8.5

23j;Rickenmann Ramon (2001);;;;;;;;;;35.5
+;;;Granwehr Adrian (2003);;;;;;;;10.0
o;1;10.0;Arnold Christian;;12;55.25;2;9.75;1;-0.25;8.5
o;6;18.5;Rüegg Fabian;*;5;57.0;6;18.5;0;0.0;8.5
o;10;27.0;Galli Cedric (2001);;12;55.25;10;27.0;0;0.0;8.5

23k;Preisig Manuel;;;;;;;;;;35.5
+;;;Wenger Dominic;;;;;;;;10.0
o;1;10.0;Alder Armin;*;15;54.5;4;8.75;3;-1.25;8.5
o;6;18.5;Baumann Rico;*;9;56.0;5;18.75;-1;0.25;8.5
o;10;27.0;Zumbach Michael;;15;54.5;9;27.25;-1;0.25;8.5

23l;Tobler Pius (2001);;;;;;;;;;35.5
o;;;Steiner Joel;;;;;;;;8.5
+;5;8.5;Düring Dominik (2003);;29;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Pfister Florian;*;11;55.5;6;18.5;0;0.0;8.5
o;10;27.0;Wild Thomas;;13;55.0;11;26.75;1;-0.25;8.5

23m;Tobler Marco;;;;;;;;;;35.5
o;;;Niederer Andreas (2002);;;;;;;;8.5
-;5;8.5;Baumgartner Joël;;20;53.25;4;8.75;-1;0.25;8.75
+;10;17.25;Abderhalden Lukas (2003);;29;34.0;11;17.0;1;-0.25;9.75
o;10;27.0;Bleiker Daniel;;17;54.0;10;27.0;0;0.0;8.5

23n;Schrepfer Roy;;;;;;;;;;35.5
+;;;Signer Walter;;;;;;;;9.75
-;2;9.75;Kiener Raphael;;15;54.5;4;8.75;2;-1.0;8.75
o;6;18.5;Ott Dominik;*;23;35.5;11;17.0;5;-1.5;8.5
o;10;27.0;Sieber Marc;;14;54.75;11;26.75;1;-0.25;8.5

23o;Ott Dominik;*;;;;;;;;;35.5
o;;;Bärtsch Fabian;;;;;;;;8.5
o;5;8.5;Rotach Lars;;4;57.25;1;10.0;-4;1.5;8.5
+;11;17.0;Schrepfer Roy;;23;35.5;6;18.5;-5;1.5;10.0
o;10;27.0;Fausch Kjetil;*;6;56.75;8;27.5;-2;0.5;8.5

23p;Inauen Maurus (2003);;;;;;;;;;35.5
+;;;Bärtsch Tobias (2003);;;;;;;;9.75
o;2;9.75;Kamer Hanspeter;*;3;57.5;5;8.5;3;-1.25;8.5
-;7;18.25;Schönenberger Björn;;16;54.25;9;17.5;2;-0.75;8.75
o;10;27.0;Egli Ramon (2001);;14;54.75;11;26.75;1;-0.25;8.5

23q;Lusti Adrian (2001);;;;;;;;;;35.5
+;;;Keller Cedric (2002);;;;;;;;9.75
o;2;9.75;Frauenfelder Florian (2001);;19;53.5;3;9.0;1;-0.75;8.5
o;7;18.25;Mettler Valentin;*;16;54.25;8;17.75;1;-0.5;8.5
-;11;26.75;Hangartner Maurice (2003);;22;35.75;10;27.0;-1;0.25;8.75

24a;Steinbacher Silvan (2003);;;;;;;;;;35.25
+;;;Lauchenauer Paul (2002);;;;;;;;9.75
o;2;9.75;Neff Florian;;14;54.75;4;8.75;2;-1.0;8.5
o;7;18.25;Scheiwiller Andreas;*;9;56.0;10;17.25;3;-1.0;8.5
o;11;26.75;Graf Nicola (2003);;11;55.5;10;27.0;-1;0.25;8.5

24b;Lauchenauer Paul (2002);;;;;;;;;;35.25
o;;;Steinbacher Silvan (2003);;;;;;;;8.5
o;5;8.5;Schoch Cornel;;18;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Inauen Ivo (2002);;22;35.75;11;17.0;0;0.0;8.5
+;15;25.5;Bollhalder Mario (2002);;29;34.0;15;25.5;0;0.0;9.75

24c;Baumann Simon;;;;;;;;;;35.25
+;;;Weder Yanick (2003);;;;;;;;9.75
o;2;9.75;Poltera Andrin;*;8;56.25;2;9.75;0;0.0;8.5
o;7;18.25;Schoch Cornel;;18;53.75;7;18.25;0;0.0;8.5
o;11;26.75;Steiner Joel;;13;55.0;11;26.75;0;0.0;8.5

24d;Kaufmann Rico (2003);;;;;;;;;;35.25
o;;;Meier Adrian;;;;;;;;8.5
o;5;8.5;Bosshard Dario;;10;55.75;5;8.5;0;0.0;8.5
+;11;17.0;Düring Dominik (2003);;29;34.0;11;17.0;0;0.0;9.75
o;11;26.75;Knellwolf Sebastian (2001);;11;55.5;10;27.0;-1;0.25;8.5

24e;Tanner Markus (2002);;;;;;;;;;35.25
o;;;Baumgartner Ramon (2002);;;;;;;;8.5
o;5;8.5;Wicki Cédric;;12;55.25;3;9.0;-2;0.5;8.5
+;11;17.0;Granwehr Adrian (2003);;23;35.5;11;17.0;0;0.0;9.75
o;11;26.75;Bleiker Roman;;13;55.0;11;26.75;0;0.0;8.5

24f;Dudli Gallus;;;;;;;;;;35.25
o;;;Badat Thomas;;;;;;;;8.5
o;5;8.5;Schoch René;;30;27.0;5;8.5;0;0.0;8.5
o;11;17.0;Sieber Marc;;14;54.75;11;17.0;0;0.0;8.5
+;15;25.5;Koller Silvan (2003);;28;34.25;15;25.5;0;0.0;9.75

24g;Bossert Alain (2001);;;;;;;;;;35.25
o;;;Höpli Remo;;;;;;;;8.5
o;5;8.5;Kurmann Patrick (2003);;23;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Stadelmann Patrick;;15;54.5;8;17.75;-3;0.75;8.5
+;15;25.5;Lusti Elias (2003);;29;34.0;15;25.5;0;0.0;9.75

24h;Meier Adrian;;;;;;;;;;35.25
+;;;Kaufmann Rico (2003);;;;;;;;9.75
o;2;9.75;Keller Werner;;22;35.75;4;8.75;2;-1.0;8.5
o;7;18.25;Burch Dean (2001);;14;54.75;6;18.5;-1;0.25;8.5
o;11;26.75;Burkhard Tobias;;17;54.0;9;27.25;-2;0.5;8.5

24i;Keller Cedric (2002);;;;;;;;;;35.25
o;;;Lusti Adrian (2001);;;;;;;;8.5
o;5;8.5;Lieberherr David (2003);;12;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Grob Rachen (2002);;29;34.0;11;17.0;0;0.0;9.75
o;11;26.75;Giger Florian (2001);;12;55.25;10;27.0;-1;0.25;8.5

25a;Scherrer Pascal;;;;;;;;;;35.0
-;;;Mannhart Jan (2003);;;;;;;;8.75
o;4;8.75;Rüegg Fabian;*;5;57.0;5;8.5;1;-0.25;8.5
-;10;17.25;Roth Michael;;9;56.0;7;18.25;-3;1.0;8.75
-;13;26.0;Jud Reto (2001);;22;35.75;11;26.75;-2;0.75;9.0

26a;Leuppi Karim;*;;;;;;;;;34.75
o;;;Büsser André;*;;;;;;;8.5
-;5;8.5;Zumbach Michael;;15;54.5;2;9.75;-3;1.25;8.75
-;10;17.25;Ziegler Michael;;15;54.5;6;18.5;-4;1.25;8.75
-;13;26.0;Lüthi Manuel (2003);;22;35.75;10;27.0;-3;1.0;8.75

27a;Krucker Silvan (2001);;;;;;;;;;34.5
-;;;Egli Patrick;;;;;;;;8.75
-;4;8.75;Ruppanner Philipp;;22;35.75;5;8.5;1;-0.25;8.75
o;9;17.5;Gerig Marcel;;16;54.25;6;18.5;-3;1.0;8.5
o;13;26.0;Mösli Marcel;;18;53.75;11;26.75;-2;0.75;8.5

27b;Oberhänsli Kilian;;;;;;;;;;34.5
o;;;Büsser Remo;;;;;;;;8.5
-;5;8.5;Bärtsch Tobias (2003);;27;34.5;5;8.5;0;0.0;9.0
o;9;17.5;Wenger Dominic;;18;53.75;7;18.25;-2;0.75;8.5
o;13;26.0;Kiener Raphael;;15;54.5;12;26.25;-1;0.25;8.5

27c;Bärtsch Tobias (2003);;;;;;;;;;34.5
o;;;Inauen Maurus (2003);;;;;;;;8.5
-;5;8.5;Oberhänsli Kilian;;27;34.5;5;8.5;0;0.0;9.0
o;9;17.5;Forrer Marco (2003);;15;54.5;7;18.25;-2;0.75;8.5
o;13;26.0;Schmid Reto;;14;54.75;12;26.25;-1;0.25;8.5

28a;Koller Silvan (2003);;;;;;;;;;34.25
o;;;Lenherr Cédric (2003);;;;;;;;8.5
o;5;8.5;Egli Patrick;;23;35.5;4;8.75;-1;0.25;8.5
o;11;17.0;Signer Walter;;22;35.75;11;17.0;0;0.0;8.5
o;15;25.5;Dudli Gallus;;24;35.25;15;25.5;0;0.0;8.75

29a;Weder Yanick (2003);;;;;;;;;;34.0
o;;;Baumann Simon;;;;;;;;8.5
o;5;8.5;Wenger Dominic;;18;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Jud Reto (2001);;22;35.75;11;17.0;0;0.0;8.5
o;15;25.5;Schönenberger Björn;;16;54.25;12;26.25;-3;0.75;8.5

29b;Abderhalden Lukas (2003);;;;;;;;;;34.0
o;;;Roth Michael;;;;;;;;8.5
o;5;8.5;Ackermann Roman;;23;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Tobler Marco;;23;35.5;10;17.25;-1;0.25;8.5
o;15;25.5;Granwehr Adrian (2003);;23;35.5;15;25.5;0;0.0;8.5

29c;Düring Dominik (2003);;;;;;;;;;34.0
o;;;Roth Sämi;;;;;;;;8.5
o;5;8.5;Tobler Pius (2001);;23;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Kaufmann Rico (2003);;24;35.25;11;17.0;0;0.0;8.5
o;15;25.5;Schmid Michael;;16;54.25;13;26.0;-2;0.5;8.5

29d;Bollhalder Mario (2002);;;;;;;;;;34.0
o;;;Steiner Lukas (2002);;;;;;;;8.5
o;5;8.5;Knellwolf Sebastian (2001);;11;55.5;5;8.5;0;0.0;8.5
