3071-2018-07-08_Fete_Romande2-ST

1a;Käser Remo;***;;;;;;;;;59.5
-;;;Droxler Jonathan;**;;;;;;;8.75
+;4;8.75;Kolly Simon (2002);;18;54.0;1;10.0;-3;1.25;10.0
o;5;18.75;Gerber Christian;**;6;57.0;6;18.5;1;-0.25;8.5
-;9;27.25;Germanier Joel (2000);;17;54.25;6;28.0;-3;0.75;9.0
+;11;36.25;Kyburz Silas;;11;55.75;8;37.0;-3;0.75;10.0
+;10;46.25;Chofflon Anthony;;13;55.25;8;46.75;-2;0.5;10.0

10a;Rapin Florent;*;;;;;;;;;56.0
-;;;Kramer Dorian;*;;;;;;;8.75
+;4;8.75;Zosso Fabian;;19;53.75;2;9.75;-2;1.0;10.0
o;5;18.75;Droxler Jonathan;**;12;55.5;5;18.75;0;0.0;8.5
-;9;27.25;Dind Clément;;12;55.5;6;28.0;-3;0.75;9.0
+;11;36.25;Schläfli Hugo (2002);;13;55.25;9;36.75;-2;0.5;9.75
+;11;46.0;Kohler Matthias;;14;55.0;9;46.5;-2;0.5;10.0

10b;Mauron Olivier;*;;;;;;;;;56.0
o;;;Cardinaux Victor;**;;;;;;;8.5
-;5;8.5;Chofflon Anthony;;13;55.25;1;10.0;-4;1.5;9.0
+;9;17.5;Jeannin Jess (2000);;16;54.5;6;18.5;-3;1.0;10.0
o;8;27.5;Colò Kilian;*;8;56.5;6;28.0;-2;0.5;8.5
+;12;36.0;Fankhauser Hans (2001);;18;54.0;8;37.0;-4;1.0;10.0
+;11;46.0;Z'Rotz Roman;;13;55.25;8;46.75;-3;0.75;10.0

10c;Minder Florian;**;;;;;;;;;56.0
+;;;Bersier Jean-Jacques;*;;;;;;;9.75
o;2;9.75;Kuster Marcel;***;14;55.0;5;8.5;3;-1.25;8.5
-;7;18.25;Dubey Gaël;;13;55.25;3;19.5;-4;1.25;9.0
+;9;27.25;Goy Sébastien;;20;53.5;6;28.0;-3;0.75;10.0
-;7;37.25;Mollet Ivan;*;11;55.75;3;38.25;-4;1.0;8.75
+;11;46.0;Perret Loïc (2002);;13;55.25;8;46.75;-3;0.75;10.0

10d;Lötscher Adrian;*;;;;;;;;;56.0
o;;;Haenni Stéphane;**;;;;;;;8.5
-;5;8.5;Vonlanthen Alexandre;;13;55.25;2;9.75;-3;1.25;8.75
-;10;17.25;Kyburz Silas;;11;55.75;6;18.5;-4;1.25;8.75
+;12;26.0;Délitroz Lucien;;12;55.5;9;27.25;-3;1.25;10.0
+;12;36.0;Parvex Bryan;;18;54.0;8;37.0;-4;1.0;10.0
+;11;46.0;Berthet Luca (2001);;14;55.0;9;46.5;-2;0.5;10.0

10e;Ledermann Michael (2000);;;;;;;;;;56.0
+;;;Dind Clément;;;;;;;;9.75
o;2;9.75;Guisolan Marc;**;7;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Z'Rotz Roman;;13;55.25;2;19.75;-5;1.5;9.75
+;6;28.0;Zosso Fabian;;19;53.75;6;28.0;0;0.0;9.75
o;5;37.75;Kramer Lario;**;3;58.0;3;38.25;-2;0.5;8.5
+;10;46.25;Baeriswyl Christoph (2002);;15;54.75;10;46.25;0;0.0;9.75

10f;Balimann Sandro (2001);;;;;;;;;;56.0
o;;;Mollet Adrian;;;;;;;;8.5
+;5;8.5;Jacot Ismaël (2000);;19;53.75;1;10.0;-4;1.5;9.75
+;7;18.25;Tissot Aurélien (2002);;21;53.0;6;18.5;-1;0.25;9.75
o;6;28.0;Dousse Michel;**;11;55.75;9;27.25;3;-0.75;8.5
+;10;36.5;Schweizer Jason (2001);;20;53.5;10;36.5;0;0.0;9.75
+;10;46.25;Parvex Yannick;*;17;54.25;12;45.75;2;-0.5;9.75

11a;Kyburz Silas;;;;;;;;;;55.75
o;;;Dubey Gaël;;;;;;;;8.5
+;5;8.5;Kolly Elmar (2002);;13;55.25;1;10.0;-4;1.5;10.0
-;6;18.5;Lötscher Adrian;*;10;56.0;10;17.25;4;-1.25;8.75
+;9;27.25;Buchs Julien;;17;54.25;10;27.0;1;-0.25;9.75
o;8;37.0;Loup Alexandre;*;9;56.25;11;36.25;3;-0.75;8.75
+;12;45.75;Roth Simon (2000);;16;54.5;11;46.0;-1;0.25;10.0

11b;Mollet Ivan;*;;;;;;;;;55.75
o;;;Ducry Antoine;*;;;;;;;8.5
+;5;8.5;Balimann Fabian;;14;55.0;2;9.75;-3;1.25;10.0
+;6;18.5;Kuster Marcel;***;14;55.0;7;18.25;1;-0.25;9.75
+;5;28.25;Crausaz Simon;;14;55.0;5;28.25;0;0.0;10.0
-;3;38.25;Minder Florian;**;10;56.0;7;37.25;4;-1.0;9.0
o;6;47.25;Kramer Lario;**;3;58.0;4;48.0;-2;0.75;8.5

11c;Zimmermann Mario;*;;;;;;;;;55.75
+;;;Parvex Yannick;*;;;;;;;9.75
-;2;9.75;Crettaz Olivier;*;13;55.25;4;8.75;2;-1.0;9.0
+;5;18.75;Golliard Steve;;12;55.5;1;20.0;-4;1.25;10.0
o;3;28.75;Gerber Christian;**;6;57.0;4;28.5;1;-0.25;8.5
+;7;37.25;Dind Clément;;12;55.5;8;37.0;1;-0.25;10.0
o;6;47.25;Cardinaux Victor;**;5;57.25;6;47.25;0;0.0;8.5

11d;Buchs Carlo;*;;;;;;;;;55.75
-;;;Dousse Michel;**;;;;;;;8.75
o;4;8.75;Kramer Lario;**;3;58.0;5;8.5;1;-0.25;8.5
+;10;17.25;Squaratti Yannick;;19;53.75;6;18.5;-4;1.25;10.0
+;9;27.25;Niederberger Nicola (2000);;13;55.25;6;28.0;-3;0.75;10.0
o;7;37.25;Roch Vincent;**;4;57.5;4;38.0;-3;0.75;8.5
+;12;45.75;Menoud Liam (2001);;14;55.0;9;46.5;-3;0.75;10.0

11e;Dousse Michel;**;;;;;;;;;55.75
-;;;Buchs Carlo;*;;;;;;;8.75
+;4;8.75;Cotting Alexandre;;15;54.75;2;9.75;-2;1.0;10.0
o;5;18.75;Bieri Christoph;***;9;56.25;5;18.75;0;0.0;8.5
+;9;27.25;Balimann Sandro (2001);;10;56.0;6;28.0;-3;0.75;10.0
+;7;37.25;Crettaz Olivier;*;13;55.25;8;37.0;1;-0.25;10.0
o;6;47.25;Schuler Christian;***;3;58.0;4;48.0;-2;0.75;8.5

12a;Emonet Fabien;**;;;;;;;;;55.5
o;;;Dind Samuel;**;;;;;;;8.5
+;5;8.5;Menoud Liam (2001);;14;55.0;2;9.75;-3;1.25;10.0
o;6;18.5;Matthey Mickaël;**;7;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Châtelain Sébastien;;20;53.5;6;28.0;-4;1.0;10.0
o;8;37.0;Colò Kilian;*;8;56.5;4;38.0;-4;1.0;8.5
+;13;45.5;Zingrich Jan;;13;55.25;9;46.5;-4;1.0;10.0

12b;Erb Vincent;;;;;;;;;;55.5
o;;;Cotting Florian;;;;;;;;8.5
+;5;8.5;Dubuis Marc (2000);;23;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Crettaz Olivier;*;13;55.25;9;17.5;2;-0.75;8.75
+;10;27.0;Kolly Elmar (2002);;13;55.25;10;27.0;0;0.0;10.0
o;8;37.0;Kramer Dorian;*;12;55.5;12;36.0;4;-1.0;8.5
+;13;45.5;Kolly Simon (2002);;18;54.0;13;45.5;0;0.0;10.0

12c;Golliard Steve;;;;;;;;;;55.5
+;;;Germanier Joel (2000);;;;;;;;10.0
+;1;10.0;Pürro Tobias;;18;54.0;2;9.75;1;-0.25;10.0
o;1;20.0;Zimmermann Mario;*;11;55.75;5;18.75;4;-1.25;8.5
o;4;28.5;Haenni Stéphane;**;6;57.0;4;28.5;0;0.0;8.5
-;8;37.0;Maridor Loïc;;16;54.5;8;37.0;0;0.0;8.75
+;12;45.75;Amez-Droz Arnaud (2002);;17;54.25;12;45.75;0;0.0;9.75

12d;Droxler Jonathan;**;;;;;;;;;55.5
-;;;Loup Alexandre;*;;;;;;;8.75
+;4;8.75;Burri Flemming;;13;55.25;1;10.0;-3;1.25;10.0
+;5;18.75;Rapin Florent;*;10;56.0;5;18.75;0;0.0;9.75
-;4;28.5;Bieri Christoph;***;9;56.25;4;28.5;0;0.0;8.75
+;7;37.25;Zingrich Jan;;13;55.25;4;38.0;-3;0.75;9.75
o;7;47.0;Ducry Antoine;*;8;56.5;9;46.5;2;-0.5;8.5

12e;Délitroz Lucien;;;;;;;;;;55.5
o;;;Grossenbacher Marc (2000);;;;;;;;8.5
+;5;8.5;Weissert Eric (2000);;23;52.5;5;8.5;0;0.0;9.75
-;7;18.25;Grisel Samuel;;21;53.0;6;18.5;-1;0.25;9.0
o;9;27.25;Lötscher Adrian;*;10;56.0;12;26.0;3;-1.25;8.5
+;13;35.75;Monney Branighan;;16;54.5;12;36.0;-1;0.25;10.0
+;12;45.75;Burri Gottfried (2001);;17;54.25;12;45.75;0;0.0;9.75

12f;Dind Clément;;;;;;;;;;55.5
o;;;Ledermann Michael (2000);;;;;;;;8.5
+;5;8.5;Buntschu Christoph;;19;53.75;4;8.75;-1;0.25;9.75
+;7;18.25;Bapst Richard;;13;55.25;2;19.75;-5;1.5;9.75
-;6;28.0;Rapin Florent;*;10;56.0;9;27.25;3;-0.75;9.0
o;8;37.0;Zimmermann Mario;*;11;55.75;7;37.25;-1;0.25;8.5
+;13;45.5;Fankhauser Hans (2001);;18;54.0;13;45.5;0;0.0;10.0

12g;Kramer Dorian;*;;;;;;;;;55.5
-;;;Rapin Florent;*;;;;;;;8.75
+;4;8.75;Schweizer Jason (2001);;20;53.5;2;9.75;-2;1.0;9.75
o;6;18.5;Guisolan Marc;**;7;56.75;6;18.5;0;0.0;8.5
-;10;27.0;Beliakov Alexandre;;14;55.0;7;27.75;-3;0.75;9.0
+;12;36.0;Erb Vincent;;12;55.5;8;37.0;-4;1.0;9.75
+;12;45.75;Vaucher Rémy;;14;55.0;9;46.5;-3;0.75;9.75

12h;Tschachtli Sven (2002);;;;;;;;;;55.5
o;;;Torche Bastian;;;;;;;;8.5
+;5;8.5;Reichenbach Ryan;;18;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Dind Samuel;**;13;55.25;6;18.5;0;0.0;8.5
+;10;27.0;Huber Thomas;;18;54.0;10;27.0;0;0.0;10.0
+;8;37.0;Cotting Florian;;19;53.75;9;36.75;1;-0.25;10.0
o;7;47.0;Moser Steven;**;7;56.75;8;46.75;1;-0.25;8.5

12i;Derron Cédric;*;;;;;;;;;55.5
-;;;Crettaz Olivier;*;;;;;;;8.75
+;4;8.75;Zbinden Samuel (2000);;14;55.0;1;10.0;-3;1.25;10.0
o;5;18.75;Schurtenberger Sven;***;2;58.5;5;18.75;0;0.0;8.5
+;9;27.25;Pellet Adrian;;14;55.0;6;28.0;-3;0.75;9.75
o;8;37.0;Gottofrey Marc;**;7;56.75;7;37.25;-1;0.25;8.5
+;13;45.5;Grossenbacher Marc (2000);;14;55.0;9;46.5;-4;1.0;10.0

13a;Bapst Richard;;;;;;;;;;55.25
+;;;Grisel Samuel;;;;;;;;10.0
+;1;10.0;Grossenbacher Simon (2002);;16;54.5;3;9.0;2;-1.0;9.75
o;2;19.75;Dind Clément;;12;55.5;7;18.25;5;-1.5;8.5
o;5;28.25;Roch Vincent;**;4;57.5;6;28.0;1;-0.25;8.5
+;9;36.75;Torche Bastian;;13;55.25;9;36.75;0;0.0;10.0
o;8;46.75;Bieri Christoph;***;9;56.25;10;46.25;2;-0.5;8.5

13b;Crettaz Olivier;*;;;;;;;;;55.25
-;;;Derron Cédric;*;;;;;;;8.75
-;4;8.75;Zimmermann Mario;*;11;55.75;2;9.75;-2;1.0;8.75
+;9;17.5;Erb Vincent;;12;55.5;7;18.25;-2;0.75;9.75
+;9;27.25;Von Niederhäusern Marcel;;14;55.0;6;28.0;-3;0.75;9.75
o;8;37.0;Dousse Michel;**;11;55.75;7;37.25;-1;0.25;8.5
+;13;45.5;Steiner Pirmin;;15;54.75;11;46.0;-2;0.5;9.75

13c;Mollet Adrian;;;;;;;;;;55.25
+;;;Balimann Sandro (2001);;;;;;;;9.75
+;2;9.75;Buchs Julien;;17;54.25;1;10.0;-1;0.25;9.75
o;3;19.5;Ducry Antoine;*;8;56.5;7;18.25;4;-1.25;8.5
o;6;28.0;Baeriswyl Christoph (2002);;15;54.75;6;28.0;0;0.0;8.5
-;10;36.5;Niederberger Nicola (2000);;13;55.25;10;36.5;0;0.0;8.75
+;14;45.25;Cotting Florian;;19;53.75;14;45.25;0;0.0;10.0

13d;Niederberger Nicola (2000);;;;;;;;;;55.25
+;;;Lambert Ousama;;;;;;;;9.75
+;2;9.75;Nussbaumer Mathieu (2002);;23;52.5;1;10.0;-1;0.25;9.75
o;3;19.5;Vonlanthen Alexandre;;13;55.25;6;18.5;3;-1.0;8.5
o;6;28.0;Buchs Carlo;*;11;55.75;9;27.25;3;-0.75;8.5
-;10;36.5;Mollet Adrian;;13;55.25;10;36.5;0;0.0;8.75
+;14;45.25;Fercher Alain;;19;53.75;14;45.25;0;0.0;10.0

13e;Zingrich Jan;;;;;;;;;;55.25
+;;;Loup Grégoire (2000);;;;;;;;10.0
