3005-2021-08-08_Bernisch-Kantonales_Schwingfest-ST

1a;Wenger Kilian;***;;;;;;;;;57.75
+;;;Luginbühl Hanspeter;**;;;;;;;9.75
+;2;9.75;Tschumi Lukas;*;13;54.75;1;10.0;-1;0.25;10.0
+;2;19.75;Bieri Marcel;***;13;54.75;5;18.75;3;-1.0;9.75
-;2;29.5;Roth Dominik;**;2;57.5;4;28.75;2;-0.75;9.0
-;3;38.5;Kämpf Bernhard;***;5;56.75;4;38.25;1;-0.25;8.75
+;5;47.25;Steudler Kevin;*;9;55.75;6;47.0;1;-0.25;10.0

3b;Borcard Johann;**;;;;;;;;;57.25
o;;;Kämpf Bernhard;***;;;;;;;8.5
+;5;8.5;Kämpf Nicolas;;12;55.0;1;10.0;-4;1.5;9.75
+;7;18.25;Scheuner Michael;*;15;54.25;7;18.25;0;0.0;9.75
+;7;28.0;Steffen Gustav;**;5;56.75;5;28.5;-2;0.5;9.75
+;6;37.75;Zaugg Lars;*;11;55.25;6;37.75;0;0.0;9.75
+;4;47.5;Schwander Severin;**;4;57.0;2;48.25;-2;0.75;9.75

3c;Stucki Christian;***;;;;;;;;;57.25
+;;;Wicki Joel;***;;;;;;;10.0
+;1;10.0;Wiget Michael;***;5;56.75;2;9.75;1;-0.25;10.0
+;1;20.0;Ott Damian;**;6;56.5;1;20.0;0;0.0;9.75
+;1;29.75;Berger Lorenz;**;2;57.5;3;29.0;2;-0.75;10.0
o;1;39.75;Schwander Severin;**;4;57.0;3;38.5;2;-1.25;8.5
-;2;48.25;Wenger Kilian;***;1;57.75;1;48.75;-1;0.5;9.0

3d;von Weissenfluh Kilian;***;;;;;;;;;57.25
+;;;Gapany Benjamin;***;;;;;;;9.75
+;2;9.75;Kropf Thomas;**;22;35.75;2;9.75;0;0.0;10.0
-;2;19.75;Gerber Christian;***;7;56.25;4;19.0;2;-0.75;8.75
+;5;28.5;Hügli Kaj;**;7;56.25;7;28.0;2;-0.5;9.75
+;4;38.25;Ott Damian;**;6;56.5;4;38.25;0;0.0;10.0
-;2;48.25;Ledermann Michael;**;4;57.0;3;48.0;1;-0.25;9.0

4a;Gnägi Florian;***;;;;;;;;;57.0
+;;;Hermann Oliver;**;;;;;;;9.75
+;2;9.75;De Fusco Dario;*;13;54.75;2;9.75;0;0.0;10.0
-;2;19.75;Kämpf Bernhard;***;5;56.75;2;19.75;0;0.0;8.75
+;5;28.5;Zangger Dominik;*;10;55.5;5;28.5;0;0.0;9.75
-;4;38.25;Anderegg Simon;***;7;56.25;6;37.75;2;-0.5;8.75
+;6;47.0;Zürcher Remo;*;12;55.0;8;46.5;2;-0.5;10.0

4b;Ledermann Michael;**;;;;;;;;;57.0
-;;;Gerber Christian;***;;;;;;;9.0
+;3;9.0;Aebersold Fabian (2003);;15;54.25;2;9.75;-1;0.75;9.75
+;5;18.75;Roth Philipp;***;15;54.25;6;18.5;1;-0.25;9.75
+;5;28.5;Schenk Thomas;*;11;55.25;6;28.25;1;-0.25;9.75
+;4;38.25;Aeschbacher Matthias;***;5;56.75;4;38.25;0;0.0;9.75
-;3;48.0;von Weissenfluh Kilian;***;3;57.25;2;48.25;-1;0.25;9.0

4c;Schwander Severin;**;;;;;;;;;57.0
-;;;Sempach Thomas;***;;;;;;;8.75
+;4;8.75;Gnägi Damian;*;14;54.5;1;10.0;-3;1.25;10.0
+;5;18.75;Burger Matthieu;*;6;56.5;3;19.5;-2;0.75;9.75
+;5;28.5;Steudler Kevin;*;9;55.75;5;28.5;0;0.0;10.0
+;3;38.5;Stucki Christian;***;3;57.25;1;39.75;-2;1.25;9.75
o;2;48.25;Borcard Johann;**;3;57.25;4;47.5;2;-0.75;8.75

4d;Gapany Benjamin;***;;;;;;;;;57.0
o;;;von Weissenfluh Kilian;***;;;;;;;8.75
+;4;8.75;Schenk Thomas;*;11;55.25;1;10.0;-3;1.25;10.0
+;5;18.75;Wüthrich Philip;*;12;55.0;6;18.5;1;-0.25;10.0
o;4;28.75;Wenger Kilian;***;1;57.75;4;28.75;0;0.0;8.5
+;8;37.25;Gäggeler Adrian;*;13;54.75;7;37.5;-1;0.25;9.75
+;6;47.0;Rüegsegger Christian;;11;55.25;7;46.75;1;-0.25;10.0

4e;Ramseier Fritz;**;;;;;;;;;57.0
+;;;Leuenberger Michael;*;;;;;;;9.75
o;2;9.75;Bieri Marcel;***;13;54.75;4;8.75;2;-1.0;8.5
+;7;18.25;Bernhard Marco;;24;35.25;7;18.25;0;0.0;10.0
-;6;28.25;Wiget Michael;***;5;56.75;7;28.0;1;-0.25;8.75
+;9;37.0;Graf Simon;;12;55.0;11;36.5;2;-0.5;10.0
+;6;47.0;von Büren Stephan;**;13;54.75;9;46.25;3;-0.75;10.0

4f;Renfer Lukas;**;;;;;;;;;57.0
+;;;Schenk Patrick;***;;;;;;;9.75
+;2;9.75;Röthlisberger Simon;*;13;54.75;1;10.0;-1;0.25;10.0
-;2;19.75;Wicki Joel;***;5;56.75;6;18.5;4;-1.25;8.75
+;5;28.5;Wittwer Mathias;;14;54.5;4;28.75;-1;0.25;10.0
o;3;38.5;Wenger Kilian;***;1;57.75;2;38.75;-1;0.25;8.5
+;6;47.0;Hehlen Nico;;12;55.0;8;46.5;2;-0.5;10.0

5a;Wicki Joel;***;;;;;;;;;56.75
o;;;Stucki Christian;***;;;;;;;8.5
+;5;8.5;Steffen Gustav;**;5;56.75;1;10.0;-4;1.5;10.0
-;6;18.5;Renfer Lukas;**;4;57.0;2;19.75;-4;1.25;8.75
+;10;27.25;Gäumann Stefan;**;10;55.5;5;28.5;-5;1.25;9.75
+;9;37.0;Roth Philipp;***;15;54.25;9;37.0;0;0.0;9.75
+;7;46.75;Burger Matthieu;*;6;56.5;3;48.0;-4;1.25;10.0

5b;Steffen Gustav;**;;;;;;;;;56.75
+;;;Binggeli Dominik;*;;;;;;;10.0
o;1;10.0;Wicki Joel;***;5;56.75;5;8.5;4;-1.5;8.5
+;6;18.5;Kämpf Nicolas;;12;55.0;6;18.5;0;0.0;10.0
o;5;28.5;Borcard Johann;**;3;57.25;7;28.0;2;-0.5;8.5
+;9;37.0;Gnägi Damian;*;14;54.5;8;37.25;-1;0.25;9.75
+;7;46.75;Meier Urs (2003);;13;54.75;9;46.25;2;-0.5;10.0

5c;Wiget Michael;***;;;;;;;;;56.75
+;;;Wittwer Jan;**;;;;;;;9.75
o;2;9.75;Stucki Christian;***;3;57.25;1;10.0;-1;0.25;8.5
+;7;18.25;Thöni Ivan (2003);*;15;54.25;6;18.5;-1;0.25;9.75
-;7;28.0;Ramseier Fritz;**;4;57.0;6;28.25;-1;0.25;8.75
+;10;36.75;Schenk Patrick;***;12;55.0;7;37.5;-3;0.75;10.0
+;7;46.75;Gasser Dominik;*;13;54.75;9;46.25;2;-0.5;10.0

5d;Wittwer Jan;**;;;;;;;;;56.75
o;;;Wiget Michael;***;;;;;;;8.5
+;5;8.5;Aebersold Adrian (2003);;12;55.0;2;9.75;-3;1.25;10.0
+;6;18.5;Berger René;**;23;35.5;7;18.25;1;-0.25;10.0
o;5;28.5;Ott Damian;**;6;56.5;5;28.5;0;0.0;8.5
+;9;37.0;Wüthrich Philip;*;12;55.0;10;36.75;1;-0.25;9.75
+;7;46.75;Zaugg Lars;*;11;55.25;8;46.5;1;-0.25;10.0

5e;Aeschbacher Matthias;***;;;;;;;;;56.75
-;;;Schneider Mario;**;;;;;;;8.75
+;4;8.75;Studer Stefan;**;16;54.0;2;9.75;-2;1.0;10.0
+;5;18.75;Walther Adrian;**;2;57.5;5;18.75;0;0.0;9.75
+;5;28.5;Käser Remo;***;6;56.5;5;28.5;0;0.0;9.75
o;4;38.25;Ledermann Michael;**;4;57.0;4;38.25;0;0.0;8.75
+;6;47.0;Marti Stefan;**;11;55.25;7;46.75;1;-0.25;9.75

5f;Inniger Thomas;***;;;;;;;;;56.75
-;;;Gäumann Stefan;**;;;;;;;8.75
+;4;8.75;Burger Etienne (2004);;23;35.5;1;10.0;-3;1.25;9.75
o;6;18.5;Berger Lorenz;**;2;57.5;4;19.0;-2;0.5;8.5
+;11;27.0;Berger Ueli;*;15;54.25;10;27.25;-1;0.25;9.75
+;10;36.75;Schneider Mario;**;15;54.25;9;37.0;-1;0.25;10.0
+;7;46.75;Schenk Thomas;*;11;55.25;8;46.5;1;-0.25;10.0

