5107-2022-07-23_71_Weissenstein-Schwinget2-ST

1a;Aeschbacher Matthias;***;;;;;;;;;59.25
o;9;27.5;Strebel Joel;***;9;55.75;12;26.75;3;-0.75;8.5
+;14;36.0;Joho Pascal (2004);*;19;53.25;13;36.25;-1;0.25;10.0
+;12;46.0;Brun Samuel;**;15;54.25;14;45.5;2;-0.5;10.0

8b;Roschi Ruedi;**;;;;;;;;;56.0
+;;;Bader Fabian;**;;;;;;;9.75
+;2;9.75;Zwyssig Raphael;***;12;55.0;5;8.5;3;-1.25;9.75
+;3;19.5;Roth Tim (2004);*;12;55.0;3;19.5;0;0.0;9.75
+;3;29.25;Voggensperger Lars;**;9;55.75;5;28.75;2;-0.5;9.75
o;2;39.0;Staudenmann Fabian;***;2;57.75;6;38.0;4;-1.0;8.5
o;6;47.5;Döbeli Lukas;**;4;57.0;8;47.0;2;-0.5;8.5

9a;Erb Roger;**;;;;;;;;;55.75
-;;;Oettli Marco;**;;;;;;;8.75
+;4;8.75;Lüthi David;*;14;54.5;4;8.75;0;0.0;10.0
+;5;18.75;Wittwer Josias;**;15;54.25;5;18.75;0;0.0;10.0
o;5;28.75;Orlik Curdin;***;4;57.0;7;28.25;2;-0.5;8.5
o;9;37.25;Koch Reto;**;9;55.75;8;37.5;-1;0.25;8.5
+;13;45.75;Koch Thomas;**;16;54.0;14;45.5;1;-0.25;10.0

9b;Berger Lorenz;**;;;;;;;;;55.75
o;;;Riget Florian;**;;;;;;;8.5
+;5;8.5;Streich Sascha;*;27;34.5;5;8.5;0;0.0;10.0
+;6;18.5;Schmid Patrick;*;30;26.75;7;18.25;1;-0.25;10.0
o;6;28.5;Burkhalter Stefan;***;15;54.25;10;27.25;4;-1.25;8.5
+;10;37.0;Ackermann Remo;*;17;53.75;11;36.75;1;-0.25;10.0
o;8;47.0;Roth Martin;***;5;56.75;9;46.75;1;-0.25;8.75

9c;Voggensperger Lars;**;;;;;;;;;55.75
o;;;Wenger Kilian;***;;;;;;;8.75
+;4;8.75;Burkhalter Thomas;*;11;55.25;5;8.5;1;-0.25;10.0
+;5;18.75;Odermatt Gian Maria (2004);**;19;53.25;5;18.75;0;0.0;10.0
o;5;28.75;Roschi Ruedi;**;8;56.0;3;29.25;-2;0.5;8.5
+;9;37.25;Steffen Konrad;*;9;55.75;9;37.25;0;0.0;9.75
o;8;47.0;Klossner Adrian;**;6;56.5;9;46.75;1;-0.25;8.75

9d;Strebel Joel;***;;;;;;;;;55.75
o;;;Aeschbacher Matthias;***;;;;;;;8.5
o;5;8.5;Gäumann Stefan;**;7;56.25;2;9.75;-3;1.25;8.5
+;10;17.0;Ackermann Remo;*;17;53.75;6;18.5;-4;1.5;9.75
+;12;26.75;Kuster Thomas;**;8;56.0;9;27.5;-3;0.75;10.0
+;11;36.75;Steffen Gustav;**;9;55.75;9;37.25;-2;0.5;10.0
-;9;46.75;Walther Adrian;**;10;55.5;10;46.5;1;-0.25;9.0

9e;Steffen Gustav;**;;;;;;;;;55.75
-;;;Schmid Dominik;**;;;;;;;8.75
o;4;8.75;Ackermann Remo;*;17;53.75;4;8.75;0;0.0;8.5
+;9;17.25;Anderegg David;*;29;34.0;10;17.0;1;-0.25;10.0
+;10;27.25;Jörger Corsin;*;22;52.5;11;27.0;1;-0.25;10.0
o;9;37.25;Strebel Joel;***;9;55.75;11;36.75;2;-0.5;8.5
+;13;45.75;Schmid Samuel;**;15;54.25;13;45.75;0;0.0;10.0

9f;Steffen Konrad;*;;;;;;;;;55.75
o;;;Odermatt Gian Maria (2004);**;;;;;;;8.5
+;5;8.5;Rüegger Aaron;*;27;34.5;4;8.75;-1;0.25;10.0
-;6;18.5;Stüdeli Thomas;**;16;54.0;7;18.25;1;-0.25;8.75
+;10;27.25;Fejzaj Naim;**;17;53.75;11;27.0;1;-0.25;10.0
o;9;37.25;Voggensperger Lars;**;9;55.75;9;37.25;0;0.0;8.5
+;13;45.75;Leuthard Reto;**;15;54.25;13;45.75;0;0.0;10.0

9g;Koch Reto;**;;;;;;;;;55.75
+;;;Roth Jan (2004);*;;;;;;;10.0
+;1;10.0;Räbmatter Patrick;***;14;54.5;4;8.75;3;-1.25;10.0
o;1;20.0;Staudenmann Fabian;***;2;57.75;2;19.75;1;-0.25;8.5
-;6;28.5;Wittwer Jan;**;3;57.25;7;28.25;1;-0.25;9.0
+;8;37.5;Erb Roger;**;9;55.75;9;37.25;1;-0.25;9.75
o;7;47.25;Gäumann Stefan;**;7;56.25;10;46.5;3;-0.75;8.5

10a;Zangger Dominik;*;;;;;;;;;55.5
+;;;Brand Christian;**;;;;;;;10.0
o;1;10.0;Döbeli Andreas;***;23;37.25;5;8.5;4;-1.5;8.5
+;6;18.5;Riget Florian;**;17;53.75;7;18.25;1;-0.25;10.0
o;6;28.5;Roth Jan (2004);*;13;54.75;8;28.0;2;-0.5;8.75
+;9;37.25;Lüscher Sinisha (2006);*;17;53.75;11;36.75;2;-0.5;9.75
o;8;47.0;Odermatt Adrian;**;3;57.25;7;47.25;-1;0.25;8.5

10b;Roth Philipp;***;;;;;;;;;55.5
-;;;Geisser Lars;**;;;;;;;8.75
-;4;8.75;Vieira Tiago;**;11;55.25;2;9.75;-2;1.0;8.75
+;8;17.5;Hermann Oliver;**;11;55.25;6;18.5;-2;1.0;9.75
+;10;27.25;Odermatt Gian Maria (2004);**;19;53.25;10;27.25;0;0.0;10.0
o;9;37.25;von Weissenfluh Kilian;***;3;57.25;7;37.75;-2;0.5;8.5
+;13;45.75;Oettli Marco;**;16;54.0;14;45.5;1;-0.25;9.75

10c;Walther Adrian;**;;;;;;;;;55.5
-;;;Schneider Domenic;***;;;;;;;9.0
+;3;9.0;Fausch Kjetil;*;24;35.25;2;9.75;-1;0.75;10.0
-;4;19.0;Joho Pascal (2004);*;19;53.25;5;18.75;1;-0.25;9.0
+;8;28.0;Hügli Kaj;**;11;55.25;6;28.5;-2;0.5;10.0
o;6;38.0;Gobeli Patrick;**;4;57.0;4;38.5;-2;0.5;8.5
-;10;46.5;Strebel Joel;***;9;55.75;9;46.75;-1;0.25;9.0

10d;Moser Michael (2005);**;;;;;;;;;55.5
-;;;Wittenwiler Roman;**;;;;;;;8.75
+;4;8.75;Späti Jan;;19;53.25;1;10.0;-3;1.25;9.75
-;6;18.5;Leuthard Reto;**;15;54.25;6;18.5;0;0.0;8.75
o;10;27.25;Zwyssig Raphael;***;12;55.0;12;26.75;2;-0.5;8.5
+;15;35.75;Hugelshofer Lars;*;19;53.25;13;36.25;-2;0.5;9.75
+;14;45.5;Notz Beni;***;22;52.5;20;44.0;6;-1.5;10.0

11a;Hermann Oliver;**;;;;;;;;;55.25
o;;;Burger Matthieu;**;;;;;;;8.5
+;5;8.5;Koch Thomas;**;16;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Roth Philipp;***;10;55.5;8;17.5;2;-1.0;8.5
+;11;27.0;Fausch Kjetil;*;24;35.25;12;26.75;1;-0.25;9.75
+;11;36.75;Elmer Daniel;*;16;54.0;15;35.75;4;-1.0;10.0
o;9;46.75;Sempach Thomas;***;2;57.75;5;47.75;-4;1.0;8.5

11b;Burkhalter Thomas;*;;;;;;;;;55.25
o;;;Lüscher Sinisha (2006);*;;;;;;;8.5
o;5;8.5;Voggensperger Lars;**;9;55.75;4;8.75;-1;0.25;8.5
o;10;17.0;Lüthi David;*;14;54.5;9;17.25;-1;0.25;8.5
+;17;25.5;Rüegger Aaron;*;27;34.5;16;25.75;-1;0.25;10.0
+;16;35.5;Späti Jan;;19;53.25;14;36.0;-2;0.5;10.0
+;14;45.5;Joho Pascal (2004);*;19;53.25;17;44.75;3;-0.75;9.75

11c;Schmutz Simon;*;;;;;;;;;55.25
o;;;Fausch Kjetil;*;;;;;;;8.5
o;5;8.5;Klossner Adrian;**;6;56.5;4;8.75;-1;0.25;8.5
+;10;17.0;Hadorn Marco;*;32;25.75;9;17.25;-1;0.25;9.75
o;12;26.75;Notz Beni;***;22;52.5;17;25.5;5;-1.25;8.5
+;17;35.25;Bühler Hannes;*;18;53.5;17;35.25;0;0.0;10.0
+;15;45.25;Hugelshofer Lars;*;19;53.25;17;44.75;2;-0.5;10.0

11d;Vieira Tiago;**;;;;;;;;;55.25
+;;;Zaugg Lars;**;;;;;;;9.75
-;2;9.75;Roth Philipp;***;10;55.5;4;8.75;2;-1.0;8.75
+;6;18.5;Fejzaj Naim;**;17;53.75;6;18.5;0;0.0;10.0
o;6;28.5;Schwander Severin;**;3;57.25;5;28.75;-1;0.25;8.5
o;10;37.0;Oettli Marco;**;16;54.0;15;35.75;5;-1.25;8.5
+;14;45.5;Schlüchter Colin;**;14;54.5;12;46.0;-2;0.5;9.75

11e;Hügli Kaj;**;;;;;;;;;55.25
+;;;Schlüchter Colin;**;;;;;;;10.0
o;1;10.0;Burkhalter Stefan;***;15;54.25;4;8.75;3;-1.25;8.5
+;6;18.5;Fausch Kjetil;*;24;35.25;7;18.25;1;-0.25;10.0
o;6;28.5;Walther Adrian;**;10;55.5;8;28.0;2;-0.5;8.5
o;10;37.0;Klossner Adrian;**;6;56.5;10;37.0;0;0.0;8.5
+;14;45.5;Ackermann Remo;*;17;53.75;15;45.25;1;-0.25;9.75

11f;Signer Andy;**;;;;;;;;;55.25
-;;;Rüegger Aaron;*;;;;;;;8.75
-;4;8.75;Tschumi Lukas;*;20;53.0;4;8.75;0;0.0;8.75
-;8;17.5;Rutsch Remo (2004);*;25;35.0;8;17.5;0;0.0;9.0
-;13;26.5;Brand Christian;**;26;34.75;15;26.0;2;-0.5;8.75
+;17;35.25;Reinhard Pirmin;*;21;52.75;15;35.75;-2;0.5;10.0
+;15;45.25;Joho Philip;*;16;54.0;15;45.25;0;0.0;10.0

12a;Zwyssig Raphael;***;;;;;;;;;55.0
o;;;von Weissenfluh Kilian;***;;;;;;;8.5
o;5;8.5;Roschi Ruedi;**;8;56.0;2;9.75;-3;1.25;8.5
+;10;17.0;Joho Philip;*;16;54.0;6;18.5;-4;1.5;9.75
+;12;26.75;Moser Michael (2005);**;10;55.5;10;27.25;-2;0.5;10.0
+;11;36.75;Roth Tim (2004);*;12;55.0;6;38.0;-5;1.25;9.75
o;10;46.5;Wenger Kilian;***;4;57.0;8;47.0;-2;0.5;8.5

12b;Roth Tim (2004);*;;;;;;;;;55.0
+;;;Koch Thomas;**;;;;;;;9.75
+;2;9.75;Notz Beni;***;22;52.5;5;8.5;3;-1.25;9.75
