3133-2015-07-26_Bruenigschwinget-ST

1a;Kämpf Bernhard;***;;;;;;;;;57.75
-;4;47.25;Britschgi Melk;**;8;55.75;6;46.75;2;-0.5;9.0

6c;Wicki Joel (1997);**;;;;;;;;;56.25
-;;;Käser Remo;**;;;;;;;8.75
+;4;8.75;Lengacher Jonas;**;7;56.0;1;10.0;-3;1.25;10.0
-;5;18.75;Gnägi Florian;***;6;56.25;4;19.0;-1;0.25;9.0
+;6;27.75;Studinger Stephan;**;10;55.25;3;28.5;-3;0.75;10.0
o;4;37.75;Stalder Remo;***;6;56.25;5;37.5;1;-0.25;8.5
+;8;46.25;Roschi Ruedi;**;9;55.5;5;47.0;-3;0.75;10.0

7a;Lengacher Jonas;**;;;;;;;;;56.0
+;;;Erb Roger;**;;;;;;;10.0
o;1;10.0;Wicki Joel (1997);**;6;56.25;4;8.75;3;-1.25;8.5
+;6;18.5;Blatter Lorenz;*;22;35.25;7;18.25;1;-0.25;10.0
o;3;28.5;Fankhauser Erich;***;2;57.25;7;27.5;4;-1.0;8.75
+;6;37.25;Zurfluh Markus;**;12;54.75;6;37.25;0;0.0;10.0
-;4;47.25;Nötzli Bruno;***;10;55.25;7;46.5;3;-0.75;8.75

7b;Anderegg Simon;***;;;;;;;;;56.0
-;;;von Ah Benji;***;;;;;;;8.75
+;4;8.75;Leuthard Reto;*;11;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Baumann Roger;*;15;54.0;5;18.75;0;0.0;10.0
-;2;28.75;Schuler Christian;***;9;55.5;3;28.5;1;-0.25;8.75
+;5;37.5;Waser Dominik;*;7;56.0;5;37.5;0;0.0;9.75
o;4;47.25;Bächli Michael (1998);*;4;56.75;5;47.0;1;-0.25;8.75

7c;Waser Dominik;*;;;;;;;;;56.0
+;;;Burger Fredy;*;;;;;;;10.0
-;1;10.0;Kämpf Bernhard;***;1;57.75;3;9.0;2;-1.0;8.75
+;5;18.75;Voggensperger Janic (1998);*;15;54.0;7;18.25;2;-0.5;10.0
-;2;28.75;Luginbühl Hanspeter;**;8;55.75;2;28.75;0;0.0;8.75
o;5;37.5;Anderegg Simon;***;7;56.0;5;37.5;0;0.0;8.5
+;9;46.0;Michel Jonas;*;13;54.5;9;46.0;0;0.0;10.0

8a;Bieri Christoph;***;;;;;;;;;55.75
-;;;Wenger Kilian;***;;;;;;;8.75
+;4;8.75;Britschgi Melk;**;8;55.75;2;9.75;-2;1.0;9.75
+;6;18.5;Schärli Peter;**;17;53.5;4;19.0;-2;0.5;9.75
+;4;28.25;Aeschbacher Matthias;**;5;56.5;3;28.5;-1;0.25;10.0
-;2;38.25;Sempach Thomas;***;3;57.0;1;38.5;-1;0.25;8.75
-;5;47.0;Schuler Alex;**;9;55.5;6;46.75;1;-0.25;8.75

8b;Schmid David;**;;;;;;;;;55.75
-;;;Zurfluh Markus;**;;;;;;;8.75
+;4;8.75;Brönnimann Ronny;*;25;34.5;4;8.75;0;0.0;10.0
+;5;18.75;Gäggeler Adrian;*;14;54.25;5;18.75;0;0.0;9.75
+;3;28.5;Röthlisberger Simon;*;9;55.5;4;28.25;1;-0.25;9.75
-;2;38.25;Laimbacher Philipp;***;5;56.5;4;37.75;2;-0.5;8.75
-;5;47.0;Gnägi Florian;***;6;56.25;3;47.5;-2;0.5;8.75

8c;Räbmatter Patrick;**;;;;;;;;;55.75
-;;;Meuter Adrian;**;;;;;;;8.75
+;4;8.75;Schuler Philipp;**;21;35.5;5;8.5;1;-0.25;10.0
+;5;18.75;Kennel Stefan;*;9;55.5;4;19.0;-1;0.25;10.0
o;2;28.75;Gnägi Florian;***;6;56.25;5;28.0;3;-0.75;8.5
+;6;37.25;Rohrer Ivan;*;14;54.25;7;37.0;1;-0.25;10.0
o;4;47.25;Sempach Thomas;***;3;57.0;4;47.25;0;0.0;8.5

8d;Roth Dominik;*;;;;;;;;;55.75
o;;;Kennel Stefan;*;;;;;;;8.5
+;5;8.5;Hess Dominik;*;26;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Nötzli Bruno;***;10;55.25;7;18.25;1;-0.25;8.5
+;9;27.0;Schuler Philipp;**;21;35.5;10;26.75;1;-0.25;9.75
-;8;36.75;Betschart Rainer;**;11;55.0;6;37.25;-2;0.5;9.0
+;10;45.75;Vieira Tiago;**;14;54.25;10;45.75;0;0.0;10.0

8e;Luginbühl Hanspeter;**;;;;;;;;;55.75
+;;;Schuler Philipp;**;;;;;;;10.0
+;1;10.0;Elsener Adrian;**;24;34.75;4;8.75;3;-1.25;10.0
-;1;20.0;Stalder Remo;***;6;56.25;5;18.75;4;-1.25;8.75
-;2;28.75;Waser Dominik;*;7;56.0;2;28.75;0;0.0;8.75
o;5;37.5;Schuler Christian;***;9;55.5;6;37.25;1;-0.25;8.5
+;9;46.0;Schelbert Ralf;**;11;55.0;7;46.5;-2;0.5;9.75

8f;Britschgi Melk;**;;;;;;;;;55.75
+;;;Studer Stefan;**;;;;;;;9.75
o;2;9.75;Bieri Christoph;***;8;55.75;4;8.75;2;-1.0;8.5
o;7;18.25;Schenk Thomas;*;16;53.75;6;18.5;-1;0.25;8.5
+;10;26.75;Kocher Remo;**;22;35.25;10;26.75;0;0.0;10.0
+;8;36.75;Röthlisberger Simon;*;9;55.5;7;37.0;-1;0.25;10.0
-;6;46.75;Stalder Remo;***;6;56.25;4;47.25;-2;0.5;9.0

9a;Schuler Alex;**;;;;;;;;;55.5
o;;;Alpiger Nick;**;;;;;;;8.5
-;5;8.5;Schenkel Adrian;**;14;54.25;4;8.75;-1;0.25;8.75
+;11;17.25;Graber Bruno;**;26;34.25;11;17.25;0;0.0;9.75
+;9;27.0;Blatter Lorenz;*;22;35.25;10;26.75;1;-0.25;9.75
+;8;36.75;Schenk Thomas;*;16;53.75;8;36.75;0;0.0;10.0
-;6;46.75;Bieri Christoph;***;8;55.75;5;47.0;-1;0.25;8.75

9b;Röthlisberger Simon;*;;;;;;;;;55.5
+;;;Muff Armin;**;;;;;;;9.75
+;2;9.75;Imfeld Peter;***;21;35.5;5;8.5;3;-1.25;10.0
o;2;19.75;von Ah Benji;***;2;57.25;5;18.75;3;-1.0;8.5
o;4;28.25;Schmid David;**;8;55.75;3;28.5;-1;0.25;8.75
o;7;37.0;Britschgi Melk;**;8;55.75;8;36.75;1;-0.25;8.5
+;11;45.5;Omlin Toni;*;15;54.0;11;45.5;0;0.0;10.0

9c;Roschi Ruedi;**;;;;;;;;;55.5
-;;;Marti Fabian;**;;;;;;;8.75
+;4;8.75;Kocher Remo;**;22;35.25;5;8.5;1;-0.25;9.75
-;6;18.5;Brun Jonas;**;13;54.5;6;18.5;0;0.0;8.75
+;8;27.25;Spichtig Markus;*;19;53.0;8;27.25;0;0.0;10.0
+;6;37.25;Kennel Stefan;*;9;55.5;6;37.25;0;0.0;9.75
o;5;47.0;Wicki Joel (1997);**;6;56.25;8;46.25;3;-0.75;8.5

9d;Scheuber Lutz;**;;;;;;;;;55.5
-;;;Zaugg Thomas;***;;;;;;;8.75
-;4;8.75;Michel Jonas;*;13;54.5;1;10.0;-3;1.25;8.75
+;10;17.5;Gnägi Christian;*;16;53.75;7;18.25;-3;0.75;9.75
+;8;27.25;Strebel Joel (1997);*;21;35.5;9;27.0;1;-0.25;10.0
o;6;37.25;Gnägi Florian;***;6;56.25;4;37.75;-2;0.5;8.5
+;10;45.75;Erb Roger;**;13;54.5;9;46.0;-1;0.25;9.75

9e;von Büren Stephan;*;;;;;;;;;55.5
+;;;Inderbitzin Daniel;*;;;;;;;9.75
o;2;9.75;Gisler Bruno;***;5;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Zimmermann Simon;*;12;54.75;10;17.5;3;-0.75;10.0
+;4;28.25;Schelbert Ralf;**;11;55.0;5;28.0;1;-0.25;10.0
o;2;38.25;Fankhauser Erich;***;2;57.25;5;37.5;3;-0.75;8.75
o;5;47.0;Alpiger Nick;**;4;56.75;6;46.75;1;-0.25;8.5

9f;Schuler Christian;***;;;;;;;;;55.5
o;;;Gnägi Florian;***;;;;;;;8.5
+;5;8.5;Blatter Lorenz;*;22;35.25;2;9.75;-3;1.25;10.0
+;6;18.5;Schenk Patrick;**;21;35.5;6;18.5;0;0.0;10.0
-;3;28.5;Anderegg Simon;***;7;56.0;2;28.75;-1;0.25;8.75
+;6;37.25;Luginbühl Hanspeter;**;8;55.75;5;37.5;-1;0.25;9.75
o;5;47.0;Kämpf Bernhard;***;1;57.75;2;47.75;-3;0.75;8.5

9g;Zaugg Thomas;***;;;;;;;;;55.5
-;;;Scheuber Lutz;**;;;;;;;8.75
+;4;8.75;Voggensperger Janic (1998);*;15;54.0;2;9.75;-2;1.0;10.0
o;5;18.75;Gisler Bruno;***;5;56.5;5;18.75;0;0.0;8.5
+;8;27.25;Heinzer Stefan;*;12;54.75;7;27.5;-1;0.25;10.0
+;6;37.25;Vieira Tiago;**;14;54.25;6;37.25;0;0.0;9.75
o;5;47.0;Laimbacher Philipp;***;5;56.5;6;46.75;1;-0.25;8.5

9h;Kennel Stefan;*;;;;;;;;;55.5
+;;;Roth Dominik;*;;;;;;;10.0
-;1;10.0;Gnägi Florian;***;6;56.25;1;10.0;0;0.0;9.0
o;4;19.0;Räbmatter Patrick;**;8;55.75;5;18.75;1;-0.25;8.5
+;7;27.5;Gäggeler Adrian;*;14;54.25;8;27.25;1;-0.25;9.75
o;6;37.25;Roschi Ruedi;**;9;55.5;6;37.25;0;0.0;8.5
+;10;45.75;Schenkel Adrian;**;14;54.25;10;45.75;0;0.0;9.75

10a;Stöckli Stefan;**;;;;;;;;;55.25
+;;;Schenk Patrick;**;;;;;;;9.75
o;2;9.75;Zenger Niklaus;***;13;54.5;4;8.75;2;-1.0;8.5
-;7;18.25;Michel Jonas;*;13;54.5;5;18.75;-2;0.5;8.75
-;9;27.0;Ramseier Fritz;*;15;54.0;9;27.0;0;0.0;8.75
+;12;35.75;Wyss Kilian;**;18;53.25;10;36.25;-2;0.5;9.75
+;11;45.5;Wickli Beat;**;14;54.25;10;45.75;-1;0.25;9.75

10b;Studinger Stephan;**;;;;;;;;;55.25
+;;;Steinauer Adrian;**;;;;;;;10.0
o;1;10.0;Fankhauser Erich;***;2;57.25;3;9.0;2;-1.0;8.75
+;5;18.75;Gehrig Damian;**;11;55.0;4;19.0;-1;0.25;9.75
o;3;28.5;Wicki Joel (1997);**;6;56.25;6;27.75;3;-0.75;8.5
o;7;37.0;Aeschbacher Matthias;**;5;56.5;7;37.0;0;0.0;8.5
+;11;45.5;Zimmermann Martin;**;16;53.75;12;45.25;1;-0.25;9.75

10c;Nötzli Bruno;***;;;;;;;;;55.25
o;;;Sempach Thomas;***;;;;;;;8.5
+;5;8.5;Schenkel Remo;*;17;53.5;2;9.75;-3;1.25;9.75
+;7;18.25;Roth Dominik;*;8;55.75;6;18.5;-1;0.25;9.75
o;5;28.0;Wenger Kilian;***;5;56.5;3;28.5;-2;0.5;8.5
+;9;36.5;Michel Jonas;*;13;54.5;5;37.5;-4;1.0;10.0
-;7;46.5;Lengacher Jonas;**;7;56.0;4;47.25;-3;0.75;8.75

10d;Fankhauser Marco;**;;;;;;;;;55.25
-;;;Kämpf Alexander;**;;;;;;;8.75
-;4;8.75;Moser Michael;*;13;54.5;1;10.0;-3;1.25;8.75
+;10;17.5;Erb Roger;**;13;54.5;10;17.5;0;0.0;10.0
-;7;27.5;Wyss Kilian;**;18;53.25;8;27.25;1;-0.25;9.0
o;9;36.5;Zenger Niklaus;***;13;54.5;12;35.75;3;-0.75;8.75
+;12;45.25;Ramseier Fritz;*;15;54.0;11;45.5;-1;0.25;10.0

11a;Henzer Andreas;**;;;;;;;;;55.0
-;;;Zenger Niklaus;***;;;;;;;8.75
-;4;8.75;Egli David;*;12;54.75;4;8.75;0;0.0;8.75
+;10;17.5;Brönnimann Ronny;*;25;34.5;11;17.25;1;-0.25;10.0
-;7;27.5;Wickli Beat;**;14;54.25;8;27.25;1;-0.25;8.75
