3313-2016-08-07_109_Nordwestschweizer_Schwingfest-ST

1a;Gisler Bruno;***;;;;;;;;;58.0
o;7;46.5;Piemontesi Pascal;**;9;56.0;9;46.0;2;-0.5;8.5

13f;Ris Jörn (1998);;;;;;;;;;55.0
o;;;Siegrist Christian;;;;;;;;8.5
+;5;8.5;Lehmann Robin (1999);;18;53.75;5;8.5;0;0.0;9.75
+;7;18.25;Roth Christian;;13;55.0;7;18.25;0;0.0;10.0
o;6;28.25;Thoenen Henryc;**;6;56.75;10;27.0;4;-1.25;8.5
o;10;36.75;Strebel Joel;**;11;55.5;9;37.0;-1;0.25;8.5
+;12;45.25;Gander Michael (1998);;16;54.25;11;45.5;-1;0.25;9.75

13g;Döbeli Andreas (1998);*;;;;;;;;;55.0
o;;;Blatter Lorenz;**;;;;;;;8.5
+;5;8.5;Schmutz Adrian;*;10;55.75;3;9.0;-2;0.5;9.75
+;7;18.25;Studer Remo;;14;54.75;3;19.5;-4;1.25;9.75
+;7;28.0;Widmer Cyrill (1998);;11;55.5;8;27.5;1;-0.5;10.0
o;5;38.0;Graber Willy;***;7;56.5;10;36.75;5;-1.25;8.5
o;7;46.5;Brand Christian;**;8;56.25;8;46.25;1;-0.25;8.5

13h;Roth Christian;;;;;;;;;;55.0
o;;;Studer Remo;;;;;;;;8.5
+;5;8.5;Stoll Thomas (1998);;29;35.0;4;8.75;-1;0.25;9.75
o;7;18.25;Ris Jörn (1998);;13;55.0;7;18.25;0;0.0;8.5
+;11;26.75;Imobersteg Tobias (1998);;28;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Hermann Oliver;*;9;56.0;9;37.0;-1;0.25;8.5
+;12;45.25;Arnold David;;17;54.0;11;45.5;-1;0.25;9.75

13i;Dobler Florian;;;;;;;;;;55.0
+;;;Müller Jan (1998);;;;;;;;9.75
+;2;9.75;Bearda Samuel;;13;55.0;2;9.75;0;0.0;9.75
o;3;19.5;Schmid Samuel;**;13;55.0;7;18.25;4;-1.25;8.5
-;7;28.0;Winiger Fabian;**;18;53.75;8;27.5;1;-0.5;8.75
+;10;36.75;Riesen Ruedi;;17;54.0;9;37.0;-1;0.25;9.75
o;7;46.5;Studinger Stephan;**;6;56.75;5;47.0;-2;0.5;8.5

13j;Eggen Markus;;;;;;;;;;55.0
+;;;Bieli Andreas;;;;;;;;9.75
+;2;9.75;Burtschi Michael;;19;53.5;2;9.75;0;0.0;9.75
o;3;19.5;Stalder Remo;***;6;56.75;7;18.25;4;-1.25;8.5
o;7;28.0;Scherrer Johann;**;11;55.5;9;27.25;2;-0.75;8.5
+;11;36.5;Büttler Gian (2000);;20;53.0;13;36.0;2;-0.5;10.0
o;7;46.5;Thoenen Henryc;**;6;56.75;6;46.75;-1;0.25;8.5

13k;Krebs Clemens;;;;;;;;;;55.0
+;;;Rohrbach Jérôme (2000);;;;;;;;9.75
+;2;9.75;François Cederic;;18;53.75;1;10.0;-1;0.25;9.75
o;3;19.5;Thürig Mario;***;22;46.75;7;18.25;4;-1.25;8.5
o;7;28.0;Kropf Marcel;**;12;55.25;10;27.0;3;-1.0;8.5
+;11;36.5;Schmutz Simon (2000);;14;54.75;13;36.0;2;-0.5;9.75
o;8;46.25;Schmid David;**;6;56.75;6;46.75;-2;0.5;8.75

13l;Schmid Samuel;**;;;;;;;;;55.0
o;;;Hauri Urs;**;;;;;;;8.5
+;5;8.5;Nyffeler Christoph;*;32;34.25;5;8.5;0;0.0;9.75
+;7;18.25;Dobler Florian;;13;55.0;3;19.5;-4;1.25;10.0
o;6;28.25;Graber Willy;***;7;56.5;10;27.0;4;-1.25;8.5
+;10;36.75;Nussbaumer Gabriel;;12;55.25;9;37.0;-1;0.25;9.75
o;7;46.5;Brun Samuel (1999);*;7;56.5;7;46.5;0;0.0;8.5

14a;Studer Remo;;;;;;;;;;54.75
+;;;Roth Christian;;;;;;;;9.75
+;2;9.75;Meyer Stefan;;18;53.75;2;9.75;0;0.0;9.75
o;3;19.5;Döbeli Andreas (1998);*;13;55.0;7;18.25;4;-1.25;8.5
o;7;28.0;Steinmann Yves;*;15;54.5;9;27.25;2;-0.75;8.5
+;11;36.5;Fritz Christian;;21;52.75;14;35.75;3;-0.75;9.75
o;8;46.25;Alpiger Nick;**;6;56.75;5;47.0;-3;0.75;8.5

14b;Seiler Thomas;;;;;;;;;;54.75
o;;;Arnold David;;;;;;;;8.5
+;5;8.5;Studer Tobias;;27;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Scherrer Johann;**;11;55.5;9;17.25;2;-1.0;8.5
+;11;26.75;Nützi Karl;;27;35.5;10;27.0;-1;0.25;9.75
o;11;36.5;Waldner Patrick;**;13;55.0;11;36.5;0;0.0;8.5
+;13;45.0;Probst Stefan;;16;54.25;10;45.75;-3;0.75;9.75

14c;Schmutz Simon (2000);;;;;;;;;;54.75
+;;;Schwob Marco;;;;;;;;10.0
o;1;10.0;Mangold Michael;;9;56.0;1;10.0;0;0.0;8.5
o;6;18.5;Mahrer Jürg;**;4;57.25;6;18.5;0;0.0;8.5
-;10;27.0;Fritz Christian;;21;52.75;11;26.75;1;-0.25;9.0
o;13;36.0;Krebs Clemens;;13;55.0;11;36.5;-2;0.5;8.75
+;14;44.75;Burtschi Michael;;19;53.5;13;45.0;-1;0.25;10.0

14d;Müller Simon;;;;;;;;;;54.75
+;;;Grossmann Andreas;;;;;;;;9.75
+;2;9.75;Vogt Patrick (1999);;19;53.5;2;9.75;0;0.0;9.75
o;3;19.5;Strebel Joel;**;11;55.5;6;18.5;3;-1.0;8.5
o;7;28.0;Brun Samuel (1999);*;7;56.5;11;26.75;4;-1.25;8.5
+;11;36.5;Brügger Joël (2000);;18;53.75;10;36.75;-1;0.25;9.75
o;8;46.25;Bader Andreas;*;7;56.5;7;46.5;-1;0.25;8.5

14e;Schär Simon;*;;;;;;;;;54.75
-;;;Moser Matthias;*;;;;;;;8.75
o;4;8.75;Stalder Remo;***;6;56.75;5;8.5;1;-0.25;8.5
+;9;17.25;Studer Mathias;;27;35.5;6;18.5;-3;1.25;9.75
+;10;27.0;Vogt Patrick (1999);;19;53.5;11;26.75;1;-0.25;10.0
o;9;37.0;Schillig Willi;**;10;55.75;8;37.25;-1;0.25;8.75
-;10;45.75;Gabathuler Björn (1998);;13;55.0;9;46.0;-1;0.25;9.0

15a;Steinmann Yves;*;;;;;;;;;54.5
-;;;Schillig Willi;**;;;;;;;8.75
o;4;8.75;Bader Andreas;*;7;56.5;5;8.5;1;-0.25;8.5
+;9;17.25;Bader Stefan (1999);;28;35.25;7;18.25;-2;1.0;10.0
+;9;27.25;Studer Remo;;14;54.75;7;28.0;-2;0.75;10.0
o;8;37.25;Stegmüller Klemens;*;10;55.75;8;37.25;0;0.0;8.5
o;10;45.75;Mangold Martin;;10;55.75;10;45.75;0;0.0;8.75

15b;Probst Gabriel;**;;;;;;;;;54.5
-;;;Arnold Kornel;*;;;;;;;8.75
o;4;8.75;Hügli Kaj;*;9;56.0;4;8.75;0;0.0;8.5
+;9;17.25;Wilhelm Manuel;;34;27.25;6;18.5;-3;1.25;10.0
o;9;27.25;Mangold Michael;;9;56.0;5;28.5;-4;1.25;8.5
-;14;35.75;Siegrist Christian;;17;54.0;10;36.75;-4;1.0;8.75
+;15;44.5;Aerni Lars;;24;44.5;15;44.5;0;0.0;10.0

15c;Schär Jonas (1999);;;;;;;;;;54.5
+;;;Studer Mathias;;;;;;;;10.0
-;1;10.0;Probst Stefan;;16;54.25;1;10.0;0;0.0;8.75
o;5;18.75;von Arx Christian;*;10;55.75;8;17.5;3;-1.25;8.5
-;9;27.25;Büttler Gian (2000);;20;53.0;10;27.0;1;-0.25;9.0
o;12;36.25;Büttler Adrian (1999);;23;46.0;8;37.25;-4;1.0;8.5
+;14;44.75;Brügger Joël (2000);;18;53.75;12;45.25;-2;0.5;9.75

15d;Gerber Andrj (2000);;;;;;;;;;54.5
-;;;Aerni Lars;;;;;;;;8.75
+;4;8.75;Mangold Martin;;10;55.75;4;8.75;0;0.0;10.0
-;5;18.75;Döbeli Lukas (2000);*;28;35.25;8;17.5;3;-1.25;8.75
-;8;27.5;Bader Andreas;*;7;56.5;7;28.0;-1;0.5;8.75
o;12;36.25;Probst Stefan;;16;54.25;13;36.0;1;-0.25;8.5
+;14;44.75;Lehmann Robin (1999);;18;53.75;12;45.25;-2;0.5;9.75

16a;Probst Stefan;;;;;;;;;;54.25
+;;;Herrmann Adrian (2000);;;;;;;;10.0
-;1;10.0;Schär Jonas (1999);;15;54.5;1;10.0;0;0.0;8.75
o;5;18.75;Schmid David;**;6;56.75;6;18.5;1;-0.25;8.5
o;9;27.25;Riesen Ruedi;;17;54.0;9;27.25;0;0.0;8.75
+;13;36.0;Gerber Andrj (2000);;15;54.5;12;36.25;-1;0.25;9.75
o;10;45.75;Seiler Thomas;;14;54.75;13;45.0;3;-0.75;8.5

16b;Schwob Marco;;;;;;;;;;54.25
o;;;Schmutz Simon (2000);;;;;;;;8.75
o;4;8.75;Körkel Yannik;;28;35.25;5;8.5;1;-0.25;8.5
o;9;17.25;Hitz Florian (1999);;16;54.25;9;17.25;0;0.0;8.5
+;14;25.75;Tschan Raphael (2000);;33;34.0;15;25.5;1;-0.25;10.0
o;14;35.75;Rohrbach Jérôme (2000);;17;54.0;14;35.75;0;0.0;8.75
+;15;44.5;Büttler Gian (2000);;20;53.0;15;44.5;0;0.0;9.75

16c;Gander Michael (1998);;;;;;;;;;54.25
+;;;Bader Stefan (1999);;;;;;;;9.75
o;2;9.75;Brügger Cyrill (1998);;11;55.5;2;9.75;0;0.0;8.5
-;7;18.25;Moser Matthias;*;30;34.75;9;17.25;2;-1.0;8.75
-;10;27.0;Lisser Beat;;18;53.75;9;27.25;-1;0.25;8.75
+;14;35.75;Vogt Patrick (1999);;19;53.5;11;36.5;-3;0.75;9.75
o;11;45.5;Ris Jörn (1998);;13;55.0;12;45.25;1;-0.25;8.75

16d;Hitz Florian (1999);;;;;;;;;;54.25
-;;;Stoll Thomas (1998);;;;;;;;8.75
o;4;8.75;Widmer Cyrill (1998);;11;55.5;4;8.75;0;0.0;8.5
+;9;17.25;Schwob Marco;;16;54.25;9;17.25;0;0.0;9.75
+;10;27.0;Studer Tobias;;27;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Studinger Stephan;**;6;56.75;9;37.0;0;0.0;8.5
-;11;45.5;Gisin Yanic;;18;53.75;13;45.0;2;-0.5;8.75

16e;Reimann Marco (1998);;;;;;;;;;54.25
+;;;Hengartner Lukas (2000);;;;;;;;10.0
+;1;10.0;Büttler Gian (2000);;20;53.0;1;10.0;0;0.0;10.0
o;1;20.0;Stoffel Marc;**;26;37.0;6;18.5;5;-1.5;8.5
o;5;28.5;Stegmüller Klemens;*;10;55.75;9;27.25;4;-1.25;8.75
o;8;37.25;Kropf Marcel;**;12;55.25;9;37.0;1;-0.25;8.5
o;10;45.75;Erb Roger;**;10;55.75;10;45.75;0;0.0;8.5

17a;Bader Fabian (2000);;;;;;;;;;54.0
-;;;Mangold Martin;;;;;;;;8.75
-;4;8.75;Aerni Lars;;24;44.5;4;8.75;0;0.0;8.75
+;8;17.5;Körkel Yannik;;28;35.25;7;18.25;-1;0.75;9.75
o;9;27.25;Zwyssig Raphael;***;9;56.0;13;26.0;4;-1.25;8.5
o;14;35.75;Widmer Cyrill (1998);;11;55.5;13;36.0;-1;0.25;8.5
+;16;44.25;Fritz Christian;;21;52.75;16;44.25;0;0.0;9.75

17b;Siegrist Christian;;;;;;;;;;54.0
+;;;Ris Jörn (1998);;;;;;;;9.75
+;2;9.75;Kohler Adrian;;19;53.5;2;9.75;0;0.0;9.75
-;3;19.5;Stegmüller Klemens;*;10;55.75;6;18.5;3;-1.0;8.75
o;6;28.25;Waldner Patrick;**;13;55.0;11;26.75;5;-1.5;8.5
-;10;36.75;Probst Gabriel;**;15;54.5;14;35.75;4;-1.0;8.75
o;11;45.5;Nussbaumer Gabriel;;12;55.25;11;45.5;0;0.0;8.5

17c;Rohrbach Jérôme (2000);;;;;;;;;;54.0
o;;;Krebs Clemens;;;;;;;;8.5
o;5;8.5;Fritz Christian;;21;52.75;5;8.5;0;0.0;8.5
-;10;17.0;Burkhardt Roy;;31;34.5;10;17.0;0;0.0;8.75
+;14;25.75;Herrmann Adrian (2000);;33;34.0;15;25.5;1;-0.25;10.0
+;14;35.75;Schwob Marco;;16;54.25;14;35.75;0;0.0;9.75
o;11;45.5;Leuthard Reto;*;11;55.5;11;45.5;0;0.0;8.5

17d;Arnold David;;;;;;;;;;54.0
+;;;Seiler Thomas;;;;;;;;10.0
+;1;10.0;Stoll Simon;;11;55.5;1;10.0;0;0.0;10.0
o;1;20.0;Gisler Bruno;***;1;58.0;4;19.0;3;-1.0;8.5
o;5;28.5;Brand Christian;**;8;56.25;9;27.25;4;-1.25;8.5
o;9;37.0;Widmer Tobias;**;11;55.5;10;36.75;1;-0.25;8.5
o;11;45.5;Roth Christian;;13;55.0;12;45.25;1;-0.25;8.5

17e;Riesen Ruedi;;;;;;;;;;54.0
+;;;Brügger Joël (2000);;;;;;;;9.75
-;2;9.75;Wittmer Lukas;;27;35.5;2;9.75;0;0.0;8.75
-;6;18.5;Nyffeler Christoph;*;32;34.25;10;17.0;4;-1.5;8.75
+;9;27.25;Probst Stefan;;16;54.25;9;27.25;0;0.0;9.75
o;9;37.0;Dobler Florian;;13;55.0;10;36.75;1;-0.25;8.5
o;11;45.5;von Arx Christian;*;10;55.75;9;46.0;-2;0.5;8.5

18a;François Cederic;;;;;;;;;;53.75
+;;;Burkhardt Roy;;;;;;;;10.0
o;1;10.0;Krebs Clemens;;13;55.0;2;9.75;1;-0.25;8.5
o;6;18.5;Kropf Marcel;**;12;55.25;10;17.0;4;-1.5;8.5
+;10;27.0;Bieli Mario;;28;35.25;11;26.75;1;-0.25;9.75
o;10;36.75;Klausner Yanick;**;5;57.0;8;37.25;-2;0.5;8.5
o;12;45.25;Brügger Cyrill (1998);;11;55.5;11;45.5;-1;0.25;8.5

18b;Brügger Joël (2000);;;;;;;;;;53.75
o;;;Riesen Ruedi;;;;;;;;8.5
+;5;8.5;Hengartner Lukas (2000);;28;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Hermann Oliver;*;9;56.0;5;18.75;-1;0.25;8.5
+;10;27.0;Körkel Yannik;;28;35.25;11;26.75;1;-0.25;9.75
o;10;36.75;Müller Simon;;14;54.75;11;36.5;1;-0.25;8.5
o;12;45.25;Schär Jonas (1999);;15;54.5;14;44.75;2;-0.5;8.5

18c;Lisser Beat;;;;;;;;;;53.75
+;;;Lüscher Michael;;;;;;;;10.0
o;1;10.0;Läuchli Janik (2000);;12;55.25;1;10.0;0;0.0;8.5
o;6;18.5;Hügli Kaj;*;9;56.0;5;18.75;-1;0.25;8.75
-;9;27.25;Gander Michael (1998);;16;54.25;10;27.0;1;-0.25;9.0
-;12;36.25;Brügger Cyrill (1998);;11;55.5;11;36.5;-1;0.25;9.0
o;12;45.25;Schaffner Samuel;**;10;55.75;11;45.5;-1;0.25;8.5

18d;Meyer Stefan;;;;;;;;;;53.75
+;;;Eggenschwiler Fabian;;;;;;;;9.75
o;2;9.75;Studer Remo;;14;54.75;2;9.75;0;0.0;8.5
o;7;18.25;Gisin Yanic;;18;53.75;7;18.25;0;0.0;8.5
+;11;26.75;Hengartner Lukas (2000);;28;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Stoll Simon;;11;55.5;9;37.0;-1;0.25;8.5
o;12;45.25;Schmutz Adrian;*;10;55.75;10;45.75;-2;0.5;8.5

18e;Gisin Yanic;;;;;;;;;;53.75
o;;;Kohler Adrian;;;;;;;;8.5
+;5;8.5;Steger Robert (1998);;27;35.5;5;8.5;0;0.0;9.75
+;7;18.25;Meyer Stefan;;18;53.75;7;18.25;0;0.0;9.75
o;7;28.0;Arnold Kornel;*;13;55.0;10;27.0;3;-1.0;8.5
o;11;36.5;Bader Andreas;*;7;56.5;10;36.75;-1;0.25;8.5
-;13;45.0;Hitz Florian (1999);;16;54.25;11;45.5;-2;0.5;8.75

18f;Winiger Fabian;**;;;;;;;;;53.75
-;;;Brand Christian;**;;;;;;;8.75
o;4;8.75;Stoffel Marc;**;26;37.0;4;8.75;0;0.0;8.75
+;8;17.5;Stoll Simon;;11;55.5;6;18.5;-2;1.0;10.0
-;8;27.5;Dobler Florian;;13;55.0;7;28.0;-1;0.5;9.0
o;11;36.5;Hauri Urs;**;6;56.75;6;37.75;-5;1.25;8.5
-;13;45.0;Büttler Adrian (1999);;23;46.0;9;46.0;-4;1.0;8.75

18g;Lehmann Robin (1999);;;;;;;;;;53.75
o;;;Burtschi Michael;;;;;;;;8.5
o;5;8.5;Ris Jörn (1998);;13;55.0;5;8.5;0;0.0;8.5
+;10;17.0;Niggli Andreas;;28;35.25;10;17.0;0;0.0;10.0
+;10;27.0;Grossmann Andreas;;27;35.5;10;27.0;0;0.0;9.75
o;10;36.75;Kocher Remo;**;5;57.0;8;37.25;-2;0.5;8.5
o;12;45.25;Gerber Andrj (2000);;15;54.5;14;44.75;2;-0.5;8.5

18h;Bruder Adrian;;;;;;;;;;53.75
+;;;Tschan Raphael (2000);;;;;;;;10.0
+;1;10.0;Wilhelm Manuel;;34;27.25;1;10.0;0;0.0;9.75
o;2;19.75;Bieri Christoph;***;9;56.0;6;18.5;4;-1.25;8.5
o;6;28.25;Hauri Urs;**;6;56.75;7;28.0;1;-0.25;8.5
o;10;36.75;Arnold Kornel;*;13;55.0;10;36.75;0;0.0;8.5
o;12;45.25;Jusufi Azret;;11;55.5;10;45.75;-2;0.5;8.5

19a;Kohler Adrian;;;;;;;;;;53.5
+;;;Gisin Yanic;;;;;;;;9.75
o;2;9.75;Siegrist Christian;;17;54.0;2;9.75;0;0.0;8.5
+;7;18.25;Fritz Christian;;21;52.75;7;18.25;0;0.0;9.75
o;7;28.0;Klausner Yanick;**;5;57.0;8;27.5;1;-0.5;8.5
o;11;36.5;Mangold Martin;;10;55.75;14;35.75;3;-0.75;8.5
o;13;45.0;Widmer Cyrill (1998);;11;55.5;10;45.75;-3;0.75;8.5

19b;Vogt Patrick (1999);;;;;;;;;;53.5
+;;;Regenass Reto (2000);;;;;;;;9.75
o;2;9.75;Müller Simon;;14;54.75;2;9.75;0;0.0;8.5
o;7;18.25;Schär Simon;*;14;54.75;9;17.25;2;-1.0;8.5
+;11;26.75;Steger Robert (1998);;27;35.5;11;26.75;0;0.0;9.75
o;11;36.5;Gander Michael (1998);;16;54.25;14;35.75;3;-0.75;8.5
o;13;45.0;Läuchli Janik (2000);;12;55.25;12;45.25;-1;0.25;8.5

19c;Burtschi Michael;;;;;;;;;;53.5
+;;;Lehmann Robin (1999);;;;;;;;9.75
o;2;9.75;Eggen Markus;;13;55.0;2;9.75;0;0.0;8.5
+;7;18.25;Stoll Thomas (1998);;29;35.0;8;17.5;1;-0.75;9.75
o;7;28.0;Leuthard Reto;*;11;55.5;10;27.0;3;-1.0;8.5
o;11;36.5;Bearda Samuel;;13;55.0;11;36.5;0;0.0;8.5
o;13;45.0;Schmutz Simon (2000);;14;54.75;14;44.75;1;-0.25;8.5

20a;Büttler Gian (2000);;;;;;;;;;53.0
+;;;Lüscher Michael;;;;;;;;10.0
o;1;10.0;Reimann Marco (1998);;16;54.25;1;10.0;0;0.0;8.5
o;6;18.5;Arnold Kornel;*;13;55.0;9;17.25;3;-1.25;8.5
-;10;27.0;Schär Jonas (1999);;15;54.5;9;27.25;-1;0.25;9.0
o;13;36.0;Eggen Markus;;13;55.0;11;36.5;-2;0.5;8.5
o;15;44.5;Schwob Marco;;16;54.25;15;44.5;0;0.0;8.5

21a;Fritz Christian;;;;;;;;;;52.75
o;;;Bearda Samuel;;;;;;;;8.5
+;5;8.5;Rohrbach Jérôme (2000);;17;54.0;5;8.5;0;0.0;9.75
o;7;18.25;Kohler Adrian;;19;53.5;7;18.25;0;0.0;8.5
-;11;26.75;Schmutz Simon (2000);;14;54.75;10;27.0;-1;0.25;9.0
o;14;35.75;Studer Remo;;14;54.75;11;36.5;-3;0.75;8.5
o;16;44.25;Bader Fabian (2000);;17;54.0;16;44.25;0;0.0;8.5

22a;Thürig Mario;***;;;;;;;;;46.75
o;;;Fankhauser Erich;***;;;;;;;8.5
+;5;8.5;von Arx Christian;*;10;55.75;3;9.0;-2;0.5;9.75
+;7;18.25;Krebs Clemens;;13;55.0;3;19.5;-4;1.25;10.0
+;6;28.25;Gottofrey Marc;**;11;55.5;6;28.25;0;0.0;10.0
o;4;38.25;Bless Michael;***;3;57.5;2;38.75;-2;0.5;8.5

23a;Rüegger Aaron (1999);;;;;;;;;;46.0
+;;;Regenass Reto (2000);;;;;;;;10.0
o;1;10.0;Schmutz Adrian;*;10;55.75;3;9.0;2;-1.0;8.75
+;5;18.75;Moser Matthias;*;30;34.75;9;17.25;4;-1.5;10.0
-;4;28.75;Brand Christian;**;8;56.25;9;27.25;5;-1.5;8.75
o;7;37.5;Kocher Remo;**;5;57.0;8;37.25;1;-0.25;8.5

23b;Büttler Adrian (1999);;;;;;;;;;46.0
-;;;Widmer Cyrill (1998);;;;;;;;8.75
+;4;8.75;Mangold Martin;;10;55.75;4;8.75;0;0.0;10.0
-;5;18.75;Döbeli Lukas (2000);*;28;35.25;8;17.5;3;-1.25;8.75
+;8;27.5;Schär Jonas (1999);;15;54.5;9;27.25;1;-0.25;9.75
-;8;37.25;Winiger Fabian;**;18;53.75;11;36.5;3;-0.75;8.75

24a;Aerni Lars;;;;;;;;;;44.5
-;;;Gerber Andrj (2000);;;;;;;;8.75
-;4;8.75;Bader Fabian (2000);;17;54.0;4;8.75;0;0.0;8.75
+;8;17.5;Bader Stefan (1999);;28;35.25;7;18.25;-1;0.75;10.0
o;8;27.5;Gabathuler Björn (1998);;13;55.0;8;27.5;0;0.0;8.5
o;13;36.0;Probst Gabriel;**;15;54.5;14;35.75;1;-0.25;8.5

25a;Bieli Andreas;;;;;;;;;;43.75
o;;;Eggen Markus;;;;;;;;8.5
+;5;8.5;Müller Jan (1998);;28;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Leuthard Reto;*;11;55.5;10;17.0;3;-1.25;8.5
o;11;26.75;Büchi Christian;;12;55.25;6;28.25;-5;1.5;8.5
o;16;35.25;Furrer Mathias;;13;55.0;10;36.75;-6;1.5;8.5

26a;Stoffel Marc;**;;;;;;;;;37.0
o;;;Graber Willy;***;;;;;;;8.75
+;4;8.75;Winiger Fabian;**;18;53.75;4;8.75;0;0.0;9.75
+;6;18.5;Reimann Marco (1998);;16;54.25;1;20.0;-5;1.5;9.75
o;6;28.25;Piemontesi Pascal;**;9;56.0;8;27.5;2;-0.75;8.75

27a;Studer Tobias;;;;;;;;;;35.5
o;;;Wilhelm Manuel;;;;;;;;8.5
o;5;8.5;Seiler Thomas;;14;54.75;5;8.5;0;0.0;8.5
+;10;17.0;Müller Jan (1998);;28;35.25;10;17.0;0;0.0;10.0
o;10;27.0;Hitz Florian (1999);;16;54.25;10;27.0;0;0.0;8.5

27b;Studer Mathias;;;;;;;;;;35.5
o;;;Schär Jonas (1999);;;;;;;;8.5
+;5;8.5;Burkhardt Roy;;31;34.5;5;8.5;0;0.0;10.0
o;6;18.5;Schär Simon;*;14;54.75;9;17.25;3;-1.25;8.5
o;10;27.0;Jusufi Azret;;11;55.5;9;27.25;-1;0.25;8.5

27c;Nützi Karl;;;;;;;;;;35.5
o;;;Jusufi Azret;;;;;;;;8.5
o;5;8.5;Grossmann Andreas;;27;35.5;5;8.5;0;0.0;8.5
+;10;17.0;Mohler Fernando;;33;34.0;10;17.0;0;0.0;10.0
o;10;27.0;Seiler Thomas;;14;54.75;11;26.75;1;-0.25;8.5

27d;Grossmann Andreas;;;;;;;;;;35.5
o;;;Müller Simon;;;;;;;;8.5
+;5;8.5;Nützi Karl;;27;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Piemontesi Pascal;**;9;56.0;8;17.5;2;-1.0;8.5
o;10;27.0;Lehmann Robin (1999);;18;53.75;10;27.0;0;0.0;8.5

27e;Eggenschwiler Fabian;;;;;;;;;;35.5
o;;;Meyer Stefan;;;;;;;;8.5
+;5;8.5;Lüscher Michael;;33;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Brand Christian;**;8;56.25;9;17.25;3;-1.25;8.5
o;10;27.0;Nussbaumer Gabriel;;12;55.25;10;27.0;0;0.0;8.5

27f;Wittmer Lukas;;;;;;;;;;35.5
+;;;Körkel Yannik;;;;;;;;9.75
-;2;9.75;Riesen Ruedi;;17;54.0;2;9.75;0;0.0;8.75
o;6;18.5;Alpiger Nick;**;6;56.75;5;18.75;-1;0.25;8.5
o;10;27.0;Bearda Samuel;;13;55.0;11;26.75;1;-0.25;8.5

27g;Steger Robert (1998);;;;;;;;;;35.5
o;;;Brügger Cyrill (1998);;;;;;;;8.5
o;5;8.5;Gisin Yanic;;18;53.75;5;8.5;0;0.0;8.5
+;10;17.0;Tschan Raphael (2000);;33;34.0;10;17.0;0;0.0;9.75
o;11;26.75;Vogt Patrick (1999);;19;53.5;11;26.75;0;0.0;8.75

28a;Körkel Yannik;;;;;;;;;;35.25
o;;;Wittmer Lukas;;;;;;;;8.5
+;5;8.5;Schwob Marco;;16;54.25;4;8.75;-1;0.25;9.75
o;7;18.25;Bader Fabian (2000);;17;54.0;8;17.5;1;-0.75;8.5
o;11;26.75;Brügger Joël (2000);;18;53.75;10;27.0;-1;0.25;8.5

28b;Müller Jan (1998);;;;;;;;;;35.25
o;;;Dobler Florian;;;;;;;;8.5
o;5;8.5;Bieli Andreas;;25;43.75;5;8.5;0;0.0;8.5
o;10;17.0;Studer Tobias;;27;35.5;10;17.0;0;0.0;8.5
+;15;25.5;Regenass Reto (2000);;33;34.0;15;25.5;0;0.0;9.75

28c;Niggli Andreas;;;;;;;;;;35.25
o;;;Büchi Christian;;;;;;;;8.5
o;5;8.5;Furrer Mathias;;13;55.0;2;9.75;-3;1.25;8.5
o;10;17.0;Lehmann Robin (1999);;18;53.75;10;17.0;0;0.0;8.5
+;15;25.5;Lüscher Michael;;33;34.0;15;25.5;0;0.0;9.75

28d;Bader Stefan (1999);;;;;;;;;;35.25
o;;;Gander Michael (1998);;;;;;;;8.5
+;5;8.5;Herrmann Adrian (2000);;33;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Steinmann Yves;*;15;54.5;9;17.25;2;-1.0;8.5
o;11;26.75;Aerni Lars;;24;44.5;8;27.5;-3;0.75;8.5

28e;Imobersteg Tobias (1998);;;;;;;;;;35.25
o;;;Furrer Mathias;;;;;;;;8.5
o;5;8.5;Büchi Christian;;12;55.25;1;10.0;-4;1.5;8.5
+;10;17.0;Regenass Reto (2000);;33;34.0;10;17.0;0;0.0;9.75
o;11;26.75;Roth Christian;;13;55.0;11;26.75;0;0.0;8.5

28f;Bieli Mario;;;;;;;;;;35.25
o;;;Mangold Michael;;;;;;;;8.5
+;5;8.5;Mohler Fernando;;33;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Brun Samuel (1999);*;7;56.5;10;17.0;3;-1.25;8.5
o;11;26.75;François Cederic;;18;53.75;10;27.0;-1;0.25;8.5

28g;Hengartner Lukas (2000);;;;;;;;;;35.25
o;;;Reimann Marco (1998);;;;;;;;8.5
o;5;8.5;Brügger Joël (2000);;18;53.75;5;8.5;0;0.0;8.5
+;10;17.0;Herrmann Adrian (2000);;33;34.0;10;17.0;0;0.0;9.75
o;11;26.75;Meyer Stefan;;18;53.75;11;26.75;0;0.0;8.5

28h;Döbeli Lukas (2000);*;;;;;;;;;35.25
