3313-2016-08-07_109_Nordwestschweizer_Schwingfest-ST

1a;Gisler Bruno;***;;;;;;;;;58.0
+;4;47.25;Widmer Tobias;**;11;55.5;6;46.75;2;-0.5;9.75

5e;Klausner Yanick;**;;;;;;;;;57.0
-;;;Scherrer Johann;**;;;;;;;8.75
+;4;8.75;Kropf Marcel;**;12;55.25;5;8.5;1;-0.25;10.0
o;5;18.75;Nötzli Bruno;***;5;57.0;8;17.5;3;-1.25;8.75
+;8;27.5;Kohler Adrian;;19;53.5;7;28.0;-1;0.5;9.75
+;8;37.25;François Cederic;;18;53.75;10;36.75;2;-0.5;10.0
+;4;47.25;Stoll Simon;;11;55.5;5;47.0;1;-0.25;9.75

6a;Thoenen Henryc;**;;;;;;;;;56.75
-;;;Piemontesi Pascal;**;;;;;;;8.75
+;4;8.75;Döbeli Lukas (2000);*;28;35.25;3;9.0;-1;0.25;9.75
o;6;18.5;Glarner Matthias;***;5;57.0;8;17.5;2;-1.0;8.5
+;10;27.0;Ris Jörn (1998);;13;55.0;6;28.25;-4;1.25;10.0
+;9;37.0;von Arx Christian;*;10;55.75;7;37.5;-2;0.5;9.75
+;6;46.75;Eggen Markus;;13;55.0;7;46.5;1;-0.25;10.0

6b;Hauri Urs;**;;;;;;;;;56.75
+;;;Schmid Samuel;**;;;;;;;9.75
o;2;9.75;Bless Michael;***;3;57.5;1;10.0;-1;0.25;8.5
+;7;18.25;Furrer Mathias;;13;55.0;2;19.75;-5;1.5;9.75
+;7;28.0;Bruder Adrian;;18;53.75;6;28.25;-1;0.25;9.75
+;6;37.75;Winiger Fabian;**;18;53.75;11;36.5;5;-1.25;10.0
-;3;47.75;Hermann Oliver;*;9;56.0;5;47.0;2;-0.75;9.0

6c;Schmid David;**;;;;;;;;;56.75
+;;;Bader Andreas;*;;;;;;;9.75
-;2;9.75;Glarner Matthias;***;5;57.0;4;8.75;2;-1.0;8.75
+;6;18.5;Probst Stefan;;16;54.25;5;18.75;-1;0.25;10.0
+;5;28.5;Widmer Tobias;**;11;55.5;6;28.25;1;-0.25;9.75
o;4;38.25;Fankhauser Erich;***;4;57.25;7;37.5;3;-0.75;8.5
+;6;46.75;Krebs Clemens;;13;55.0;8;46.25;2;-0.5;10.0

6d;Studinger Stephan;**;;;;;;;;;56.75
+;;;Gottofrey Marc;**;;;;;;;10.0
o;1;10.0;Gerber Manuel;*;11;55.5;2;9.75;1;-0.25;8.5
+;6;18.5;Nussbaumer Gabriel;;12;55.25;6;18.5;0;0.0;10.0
o;5;28.5;Glarner Matthias;***;5;57.0;9;27.25;4;-1.25;8.5
+;9;37.0;Hitz Florian (1999);;16;54.25;9;37.0;0;0.0;10.0
+;5;47.0;Dobler Florian;;13;55.0;7;46.5;2;-0.5;9.75

6e;Stalder Remo;***;;;;;;;;;56.75
o;;;Bless Michael;***;;;;;;;8.5
+;5;8.5;Schär Simon;*;14;54.75;4;8.75;-1;0.25;9.75
+;7;18.25;Eggen Markus;;13;55.0;3;19.5;-4;1.25;10.0
+;6;28.25;Hügli Kaj;*;9;56.0;4;28.75;-2;0.5;10.0
o;4;38.25;Räbmatter Patrick;**;5;57.0;3;38.5;-1;0.25;8.5
+;6;46.75;Strebel Joel;**;11;55.5;5;47.0;-1;0.25;10.0

6f;Alpiger Nick;**;;;;;;;;;56.75
-;;;Zwyssig Raphael;***;;;;;;;8.75
+;4;8.75;Scherrer Johann;**;11;55.5;4;8.75;0;0.0;10.0
+;5;18.75;Wittmer Lukas;;27;35.5;6;18.5;1;-0.25;10.0
+;4;28.75;Gerber Manuel;*;11;55.5;2;29.5;-2;0.75;9.75
o;3;38.5;Gisler Bruno;***;1;58.0;1;39.0;-2;0.5;8.5
+;5;47.0;Studer Remo;;14;54.75;8;46.25;3;-0.75;9.75

7a;Graber Willy;***;;;;;;;;;56.5
+;;;Stoffel Marc;**;;;;;;;9.75
o;2;9.75;Blatter Lorenz;**;3;57.5;1;10.0;-1;0.25;8.75
o;6;18.5;Gerber Manuel;*;11;55.5;2;19.75;-4;1.25;8.5
+;10;27.0;Schmid Samuel;**;13;55.0;6;28.25;-4;1.25;9.75
+;10;36.75;Döbeli Andreas (1998);*;13;55.0;5;38.0;-5;1.25;9.75
+;7;46.5;Waldner Patrick;**;13;55.0;7;46.5;0;0.0;10.0

7b;Brun Samuel (1999);*;;;;;;;;;56.5
o;;;Schaffner Samuel;**;;;;;;;8.5
o;5;8.5;Strebel Joel;**;11;55.5;4;8.75;-1;0.25;8.5
+;10;17.0;Bieli Mario;;28;35.25;7;18.25;-3;1.25;9.75
+;11;26.75;Müller Simon;;14;54.75;7;28.0;-4;1.25;9.75
+;11;36.5;Leuthard Reto;*;11;55.5;9;37.0;-2;0.5;10.0
+;7;46.5;Schmid Samuel;**;13;55.0;7;46.5;0;0.0;10.0

7c;Bader Andreas;*;;;;;;;;;56.5
o;;;Schmid David;**;;;;;;;8.5
+;5;8.5;Steinmann Yves;*;15;54.5;4;8.75;-1;0.25;9.75
