3430-2016-07-03_110_Innerschweizerisches_Schwingfest-ST

1a;Zimmermann Martin;*;;;;;;;;;108.5
+;11;37.0;Heinzer Josef;;14;55.25;12;36.75;1;-0.25;10.0
+;9;47.0;Briker Michael;*;13;55.5;9;47.0;0;0.0;9.75

9a;Suppiger René;**;;;;;;;;;56.5
+;;;Grab Martin;***;;;;;;;9.75
+;4;9.75;Bircher Vital;*;22;53.25;4;9.75;0;0.0;10.0
o;4;19.75;Schuler Christian;***;3;58.75;4;19.75;0;0.0;8.5
+;8;28.25;Schmid Köbi;;18;54.25;7;28.5;-1;0.25;9.75
+;8;38.0;Linggi Bruno;**;12;55.75;7;38.25;-1;0.25;10.0
o;6;48.0;Schuler Alex;**;6;57.5;7;47.5;1;-0.5;8.5

9b;Gapany Benjamin;**;;;;;;;;;56.5
o;;;Schuler Alex;**;;;;;;;8.5
+;7;8.5;Ambühl Joel (1998);*;16;54.75;3;10.0;-4;1.5;10.0
+;8;18.5;Schöpfer Ronny (1999);;16;54.75;6;19.0;-2;0.5;9.75
+;8;28.25;Zimmermann Simon;*;9;56.5;7;28.5;-1;0.25;9.75
+;8;38.0;Höﬂiger Andreas;**;15;55.0;8;38.0;0;0.0;10.0
o;6;48.0;Schurtenberger Sven;**;4;58.5;4;48.5;-2;0.5;8.5

9c;Grab Martin;***;;;;;;;;;56.5
o;;;Suppiger René;**;;;;;;;8.5
+;7;8.5;Zimmermann Simon;*;9;56.5;3;10.0;-4;1.5;9.75
+;9;18.25;Bättig Martin;*;19;54.0;7;18.75;-2;0.5;10.0
+;8;28.25;Kempf Elias;**;15;55.0;8;28.25;0;0.0;9.75
o;8;38.0;Brun Jonas;**;7;57.0;6;38.5;-2;0.5;8.5
+;11;46.5;Borcard Johann;**;14;55.25;10;46.75;-1;0.25;10.0

9d;Zimmermann Simon;*;;;;;;;;;56.5
+;;;Koch Roger;*;;;;;;;10.0
o;3;10.0;Grab Martin;***;9;56.5;7;8.5;4;-1.5;8.5
+;8;18.5;Heinzer Josef;;14;55.25;4;19.75;-4;1.25;10.0
o;7;28.5;Gapany Benjamin;**;9;56.5;8;28.25;1;-0.25;8.5
+;11;37.0;Scherer Niklaus;;17;54.5;10;37.25;-1;0.25;9.75
+;10;46.75;Nietlispach Pascal;**;12;55.75;9;47.0;-1;0.25;9.75

10a;Stöckli Stefan;**;;;;;;;;;56.25
-;;;Kempf Elias;**;;;;;;;8.75
+;6;8.75;Bucher Roland;*;37;34.75;7;8.5;1;-0.25;10.0
-;7;18.75;Imfeld Peter;***;17;54.5;8;18.5;1;-0.25;8.75
+;11;27.5;Baumann Lukas;;22;53.25;12;27.25;1;-0.25;10.0
-;9;37.5;Reichmuth Armin;*;16;54.75;10;37.25;1;-0.25;8.75
+;12;46.25;Kennel Beat;*;17;54.5;13;46.0;1;-0.25;10.0

10b;Gwerder Guido;**;;;;;;;;;56.25
-;;;Suppiger Werner;**;;;;;;;8.75
+;6;8.75;Bieri Christian;*;11;56.0;6;8.75;0;0.0;10.0
o;7;18.75;Wicki Joel;**;7;57.0;6;19.0;-1;0.25;8.5
+;12;27.25;Elsener Manuel;;14;55.25;7;28.5;-5;1.25;10.0
-;10;37.25;Gasser Stefan;**;10;56.25;10;37.25;0;0.0;9.0
+;12;46.25;Kempf Elias;**;15;55.0;11;46.5;-1;0.25;10.0

10c;Vogel Remo;*;;;;;;;;;56.25
+;;;Hösli Fritz;*;;;;;;;10.0
-;3;10.0;Forrer Arnold;***;44;17.5;6;8.75;3;-1.25;8.75
+;7;18.75;Bürgi Tobias;;18;54.25;4;19.75;-3;1.0;9.75
+;7;28.5;Heinzer Josef;;14;55.25;8;28.25;1;-0.25;10.0
-;6;38.5;Ulrich Andreas;***;7;57.0;7;38.25;1;-0.25;8.75
-;8;47.25;Rohrer Ivan;*;11;56.0;9;47.0;1;-0.25;9.0

10d;Reichmuth Marco;*;;;;;;;;;56.25
o;;;Schöpfer Thomas;*;;;;;;;8.5
+;7;8.5;Gander Adrian;*;38;34.5;7;8.5;0;0.0;9.75
-;9;18.25;Lussi Marco;*;37;34.75;11;17.5;2;-0.75;9.0
-;12;27.25;Bürgi Reto;*;18;54.25;13;27.0;1;-0.25;9.0
+;14;36.25;Schelbert Roman;;22;53.25;14;36.25;0;0.0;10.0
+;12;46.25;Gwerder Michael (2000);;14;55.25;10;46.75;-2;0.5;10.0

10e;Bieri Marcel;**;;;;;;;;;56.25
-;;;Scheidegger Philipp;**;;;;;;;9.0
+;5;9.0;Lüönd Andreas;**;41;27.25;6;8.75;1;-0.25;10.0
o;6;19.0;Sempach Thomas;***;7;57.0;7;18.75;1;-0.25;8.5
+;11;27.5;von Flüe Marco;;19;54.0;12;27.25;1;-0.25;10.0
+;9;37.5;Egli Damian;**;17;54.5;9;37.5;0;0.0;10.0
-;7;47.5;Suppiger Werner;**;10;56.25;8;47.25;1;-0.25;8.75

10f;Suppiger Werner;**;;;;;;;;;56.25
-;;;Gwerder Guido;**;;;;;;;8.75
+;6;8.75;Fässler Cornel;*;46;17.0;7;8.5;1;-0.25;10.0
+;7;18.75;Wyrsch Marco;*;13;55.5;8;18.5;1;-0.25;9.75
-;7;28.5;Nötzli Reto;***;11;56.0;8;28.25;1;-0.25;9.0
+;9;37.5;Arnold Daniel;*;27;45.5;12;36.75;3;-0.75;9.75
-;8;47.25;Bieri Marcel;**;10;56.25;7;47.5;-1;0.25;9.0

10g;Gasser Stefan;**;;;;;;;;;56.25
-;;;Gloggner Philipp;***;;;;;;;8.75
-;6;8.75;Bisig Thomas;**;17;54.5;3;10.0;-3;1.25;8.75
+;11;17.5;Heiniger Luca (1998);;19;54.0;8;18.5;-3;1.0;9.75
+;12;27.25;Portmann Josef;*;13;55.5;12;27.25;0;0.0;10.0
-;10;37.25;Gwerder Guido;**;10;56.25;10;37.25;0;0.0;9.0
+;12;46.25;Ambühl Joel (1998);*;16;54.75;12;46.25;0;0.0;10.0

10h;Waser Dominik;**;;;;;;;;;56.25
-;;;Hasler Florian;**;;;;;;;8.75
-;6;8.75;Schnider Markus;*;22;53.25;6;8.75;0;0.0;9.0
-;10;17.75;Schürpf Bruno;;13;55.5;8;18.5;-2;0.75;8.75
+;15;26.5;Gassmann Fabian;**;37;34.75;16;26.25;1;-0.25;10.0
+;13;36.5;Egli David;*;19;54.0;11;37.0;-2;0.5;9.75
+;12;46.25;Bisig Thomas;**;17;54.5;14;45.75;2;-0.5;10.0

11a;Dober Adrian;*;;;;;;;;;56.0
-;;;Lussi Marco;*;;;;;;;8.75
+;6;8.75;Arnold Raphael;*;12;55.75;6;8.75;0;0.0;10.0
