3430-2016-07-03_110_Innerschweizerisches_Schwingfest-ST

1a;Zimmermann Martin;*;;;;;;;;;108.5
-;8;18.5;Zimmermann Martin;**;1;108.5;1;35.0;-7;16.5;8.75
o;12;27.25;Schürpf Bruno;;13;55.5;12;27.25;0;0.0;8.75
-;15;36.0;Bircher Vital;*;22;53.25;16;35.75;1;-0.25;8.75
+;18;44.75;Arnold Marcel;;20;53.75;16;45.25;-2;0.5;9.75

17n;Egli Damian;**;;;;;;;;;54.5
-;;;Schuler Philipp;**;;;;;;;9.0
+;5;9.0;Eﬃnger Markus;*;22;53.25;6;8.75;1;-0.25;10.0
o;6;19.0;Linggi Bruno;**;12;55.75;8;18.5;2;-0.5;8.75
+;10;27.75;Schürpf Guido;;20;53.75;10;27.75;0;0.0;9.75
o;9;37.5;Bieri Marcel;**;10;56.25;9;37.5;0;0.0;8.5
o;13;46.0;Steinauer Adrian;**;11;56.0;13;46.0;0;0.0;8.5

17o;Bürgler André;*;;;;;;;;;54.5
-;;;Arnold Raphael;*;;;;;;;8.75
+;6;8.75;Scherer Adrian;*;39;34.25;6;8.75;0;0.0;9.75
o;8;18.5;Gloggner Philipp;***;13;55.5;11;17.5;3;-1.0;8.5
+;13;27.0;Bieri Elias;;25;52.5;13;27.0;0;0.0;10.0
-;11;37.0;Binggeli Stefan;*;16;54.75;11;37.0;0;0.0;8.75
-;14;45.75;Reichmuth Armin;*;16;54.75;13;46.0;-1;0.25;8.75

17p;Britschgi Melk;**;;;;;;;;;54.5
-;;;Gwerder Carlo;**;;;;;;;8.75
-;6;8.75;Schöpfer Thomas;*;14;55.25;4;9.75;-2;1.0;8.75
+;11;17.5;Diethelm Albert;*;38;34.5;11;17.5;0;0.0;10.0
+;11;27.5;Stöckli Damian;;30;44.5;12;27.25;1;-0.25;9.75
-;10;37.25;Steinauer Adrian;**;11;56.0;10;37.25;0;0.0;8.75
o;13;46.0;Nötzli Bruno;***;12;55.75;13;46.0;0;0.0;8.5

17q;Muff Armin;**;;;;;;;;;54.5
-;;;Bernhard Lukas;*;;;;;;;8.75
+;6;8.75;Blaser Theo;*;43;25.75;6;8.75;0;0.0;10.0
o;7;18.75;Ulrich Andreas;***;7;57.0;8;18.5;1;-0.25;8.5
-;12;27.25;Käslin Benno;*;19;54.0;10;27.75;-2;0.5;8.75
+;15;36.0;Wallimann Remo;;17;54.5;15;36.0;0;0.0;10.0
o;13;46.0;Nötzli Reto;***;11;56.0;13;46.0;0;0.0;8.5

18a;Müller Toni;*;;;;;;;;;54.25
-;;;Kaech Frank;*;;;;;;;8.75
+;6;8.75;Töngi Thomas;*;33;35.75;6;8.75;0;0.0;10.0
o;7;18.75;Nötzli Bruno;***;12;55.75;7;18.75;0;0.0;8.5
o;12;27.25;Beffa Mario;;16;54.75;13;27.0;1;-0.25;8.5
+;16;35.75;Niederberger Markus;*;25;52.5;17;35.5;1;-0.25;10.0
o;14;45.75;Gwerder Christian;**;12;55.75;14;45.75;0;0.0;8.5

18b;Muff André;*;;;;;;;;;54.25
-;;;Vonlaufen Lukas;*;;;;;;;8.75
o;6;8.75;Wyrsch Marco;*;13;55.5;7;8.5;1;-0.25;8.5
o;12;17.25;Barmettler Peter;*;18;54.25;12;17.25;0;0.0;8.5
+;18;25.75;Vogler Daniel;*;40;34.0;19;25.5;1;-0.25;10.0
+;16;35.75;Zimmermann Armin;;23;53.0;16;35.75;0;0.0;9.75
-;15;45.5;Zimmermann Martin;**;1;108.5;1;90.75;-14;45.25;8.75

18c;Barmettler Peter;*;;;;;;;;;54.25
o;;;Bircher Vital;*;;;;;;;8.5
-;7;8.5;Gwerder Andreas;*;37;34.75;6;8.75;-1;0.25;8.75
+;12;17.25;Muff André;*;18;54.25;12;17.25;0;0.0;10.0
+;12;27.25;Müller Roger;;19;54.0;12;27.25;0;0.0;10.0
o;10;37.25;Kennel Stefan;*;26;48.5;6;38.5;-4;1.25;8.5
o;14;45.75;Gwerder Carlo;**;13;55.5;14;45.75;0;0.0;8.5

18d;Schmid Köbi;;;;;;;;;;54.25
+;;;Ming Christian;;;;;;;;10.0
+;3;10.0;Stöckli Damian;;30;44.5;4;9.75;1;-0.25;10.0
o;3;20.0;Briker Michael;*;13;55.5;7;18.75;4;-1.25;8.5
o;7;28.5;Suppiger René;**;9;56.5;8;28.25;1;-0.25;8.5
-;11;37.0;Egli Pirmin;**;12;55.75;10;37.25;-1;0.25;8.75
o;14;45.75;Felder Seppi;*;12;55.75;14;45.75;0;0.0;8.5

18e;Arnold Andreas;*;;;;;;;;;54.25
o;;;Gwerder Dario;*;;;;;;;8.5
o;7;8.5;Grab Daniel;**;31;44.25;7;8.5;0;0.0;8.5
+;13;17.0;Scheuber Stefan;;35;35.25;9;18.25;-4;1.25;10.0
o;13;27.0;Stalder Remo;***;8;56.75;12;27.25;-1;0.25;8.5
+;17;35.5;Heiniger Luca (1998);;19;54.0;17;35.5;0;0.0;9.75
-;16;45.25;Bättig Martin;*;19;54.0;17;45.0;1;-0.25;9.0

18f;Kessler Joel;*;;;;;;;;;54.25
o;;;Felder Seppi;*;;;;;;;8.5
+;7;8.5;Vogler Daniel;*;40;34.0;7;8.5;0;0.0;9.75
o;9;18.25;Gloggner Hansjörg;***;17;54.5;13;17.0;4;-1.25;8.5
-;14;26.75;Lemmenmeier Lukas;;33;35.75;13;27.0;-1;0.25;8.75
+;17;35.5;Bieri Elias;;25;52.5;17;35.5;0;0.0;10.0
-;15;45.5;Arnold Daniel;*;27;45.5;15;45.5;0;0.0;8.75

18g;Bürgi Reto;*;;;;;;;;;54.25
-;;;Diener Pirmin;*;;;;;;;8.75
o;6;8.75;Kennel Stefan;*;26;48.5;3;10.0;-3;1.25;8.5
+;12;17.25;Scherer Adrian;*;39;34.25;12;17.25;0;0.0;9.75
-;13;27.0;Reichmuth Marco;*;10;56.25;12;27.25;-1;0.25;9.0
o;15;36.0;Lang Sven (1998);*;15;55.0;15;36.0;0;0.0;8.5
+;19;44.5;Lagler Christian;;21;53.5;18;44.75;-1;0.25;9.75

18h;Hirsiger Alexander;;;;;;;;;;54.25
+;;;Bär Leo;;;;;;;;9.75
o;4;9.75;Betschart Marcel;;17;54.5;3;10.0;-1;0.25;8.5
+;9;18.25;Amgarten Martin;*;40;34.0;13;17.0;4;-1.25;10.0
o;8;28.25;Betschart Rainer;**;13;55.5;7;28.5;-1;0.25;8.5
-;12;36.75;Diener Pirmin;*;16;54.75;11;37.0;-1;0.25;8.75
-;15;45.5;Heinzer Stefan;*;2;100.25;2;90.5;-13;45.0;8.75

18i;Widmer Thomas;;;;;;;;;;54.25
o;;;Bieri Elias;;;;;;;;8.75
-;6;8.75;Schuler Daniel;;36;35.0;6;8.75;0;0.0;8.75
+;11;17.5;Arnold Lukas (1998);;38;34.5;11;17.5;0;0.0;9.75
o;12;27.25;Binggeli Stefan;*;16;54.75;12;27.25;0;0.0;8.5
o;16;35.75;Odermatt Christian;**;15;55.0;17;35.5;1;-0.25;8.5
+;20;44.25;Gwerder Dominik;;25;52.5;21;44.0;1;-0.25;10.0

18j;Rohrer Beat;*;;;;;;;;;54.25
-;;;Kenel Franz-Toni;*;;;;;;;8.75
o;6;8.75;Kälin Roland;**;16;54.75;6;8.75;0;0.0;8.5
-;12;17.25;Hösli Fritz;*;14;55.25;12;17.25;0;0.0;8.75
+;17;26.0;Lang Julian (1998);;37;34.75;16;26.25;-1;0.25;9.75
-;16;35.75;Zimmermann Daniel;*;22;53.25;16;35.75;0;0.0;8.75
+;19;44.5;Baumann Lukas;;22;53.25;18;44.75;-1;0.25;9.75

18k;Bucher Christian (1998);;;;;;;;;;54.25
+;;;Heiniger Luca (1998);;;;;;;;9.75
o;4;9.75;Scherer Niklaus;;17;54.5;3;10.0;-1;0.25;8.75
-;8;18.5;Egli David;*;19;54.0;9;18.25;1;-0.25;8.75
o;12;27.25;Fellmann Roman;*;19;54.0;13;27.0;1;-0.25;8.75
+;15;36.0;Stöckli Damian;;30;44.5;15;36.0;0;0.0;9.75
o;14;45.75;Heinzer Stefan;*;2;100.25;2;90.5;-12;44.75;8.5

18l;Kälin Remo;*;;;;;;;;;54.25
o;;;Doppmann Urs;;;;;;;;8.5
+;7;8.5;Baumann Roger;*;38;34.5;7;8.5;0;0.0;10.0
o;8;18.5;Suppiger Martin;***;8;56.75;9;18.25;1;-0.25;8.5
+;13;27.0;Albert Thomas;;25;52.5;13;27.0;0;0.0;9.75
o;12;36.75;Schöpfer Thomas;*;14;55.25;12;36.75;0;0.0;8.75
-;15;45.5;Schärli Pius;*;21;53.5;18;44.75;3;-0.75;8.75

18m;Bürgi Tobias;;;;;;;;;;54.25
+;;;Kempf Damian;;;;;;;;10.0
+;3;10.0;Jund Matthias (1999);;24;52.75;3;10.0;0;0.0;9.75
o;4;19.75;Vogel Remo;*;10;56.25;7;18.75;3;-1.0;8.5
o;8;28.25;Rohrer Marco;**;15;55.0;11;27.5;3;-0.75;8.5
-;12;36.75;Bättig Martin;*;19;54.0;14;36.25;2;-0.5;8.75
-;15;45.5;Fässler Dominic;*;21;53.5;18;44.75;3;-0.75;8.75

19a;Heiniger Luca (1998);;;;;;;;;;54.0
o;;;Bucher Christian (1998);;;;;;;;8.5
+;7;8.5;Zumstein Patrick;;39;34.25;7;8.5;0;0.0;10.0
o;8;18.5;Gasser Stefan;**;10;56.25;11;17.5;3;-1.0;8.5
o;13;27.0;Gwerder Carlo;**;13;55.5;13;27.0;0;0.0;8.5
o;17;35.5;Arnold Andreas;*;18;54.25;17;35.5;0;0.0;8.5
+;21;44.0;Niederberger Markus;*;25;52.5;21;44.0;0;0.0;10.0

19b;Wicki Patrick;;;;;;;;;;54.0
+;;;Pedrazzini Diego (1998);;;;;;;;10.0
+;3;10.0;Betschart Patrick (1999);;14;55.25;3;10.0;0;0.0;9.75
o;4;19.75;Arnold Stefan;**;8;56.75;8;18.5;4;-1.25;8.5
o;8;28.25;Hurschler Thomas;**;12;55.75;11;27.5;3;-0.75;8.5
-;12;36.75;Betschart Silvan;*;19;54.0;12;36.75;0;0.0;8.75
o;15;45.5;Küttel Pirmin;**;14;55.25;16;45.25;1;-0.25;8.5

19c;Müller Roger;;;;;;;;;;54.0
+;;;Gwerder Dominik;;;;;;;;9.75
-;4;9.75;Suter Beat;;29;44.75;6;8.75;2;-1.0;8.75
-;8;18.5;Amgarten Roman;*;37;34.75;12;17.25;4;-1.25;8.75
o;12;27.25;Barmettler Peter;*;18;54.25;12;27.25;0;0.0;8.5
+;16;35.75;Grab Daniel;**;31;44.25;16;35.75;0;0.0;9.75
o;15;45.5;Heinzer Josef;;14;55.25;16;45.25;1;-0.25;8.5

19d;Bürgler Lukas;*;;;;;;;;;54.0
+;;;Zgraggen Fabian;*;;;;;;;9.75
+;4;9.75;Gloggner Hansjörg;***;17;54.5;7;8.5;3;-1.25;9.75
o;5;19.5;Schurtenberger Sven;**;4;58.5;7;18.75;2;-0.75;8.5
-;9;28.0;Scherer Niklaus;;17;54.5;7;28.5;-2;0.5;8.75
-;12;36.75;Fellmann Roman;*;19;54.0;12;36.75;0;0.0;8.75
o;15;45.5;Portmann Josef;*;13;55.5;15;45.5;0;0.0;8.5

19e;Fellmann Roman;*;;;;;;;;;54.0
+;;;Käslin Ruedi;*;;;;;;;9.75
-;4;9.75;Zurﬂuh Markus;**;37;34.75;6;8.75;2;-1.0;8.75
o;8;18.5;Hasler Florian;**;13;55.5;8;18.5;0;0.0;8.5
+;13;27.0;Bucher Christian (1998);;18;54.25;12;27.25;-1;0.25;9.75
-;12;36.75;Bürgler Lukas;*;19;54.0;12;36.75;0;0.0;8.75
o;15;45.5;Heinzer Ronny;;13;55.5;14;45.75;-1;0.25;8.5

19f;Nauer Robin;;;;;;;;;;54.0
-;;;Herger Simon;;;;;;;;8.75
+;6;8.75;Stadelmann Ron;;19;54.0;7;8.5;1;-0.25;9.75
o;8;18.5;Schöpfer Thomas;*;14;55.25;8;18.5;0;0.0;8.5
+;13;27.0;Fink Bruno;*;19;54.0;12;27.25;-1;0.25;10.0
o;11;37.0;Arnold Raphael;*;12;55.75;12;36.75;1;-0.25;8.5
o;15;45.5;Omlin Toni;*;15;55.0;16;45.25;1;-0.25;8.5

19g;von Flüe Marco;;;;;;;;;;54.0
-;;;Keller Janik;;;;;;;;8.75
+;6;8.75;Ottiger Lukas;;38;34.5;6;8.75;0;0.0;10.0
o;7;18.75;Gwerder Dario;*;8;56.75;8;18.5;1;-0.25;8.5
o;12;27.25;Bieri Marcel;**;10;56.25;11;27.5;-1;0.25;8.5
o;16;35.75;Portmann Josef;*;13;55.5;16;35.75;0;0.0;8.5
+;20;44.25;Bieri Elias;;25;52.5;21;44.0;1;-0.25;9.75

19h;Stadelmann Ron;;;;;;;;;;54.0
o;;;Elsener Manuel;;;;;;;;8.5
o;7;8.5;Nauer Robin;;19;54.0;6;8.75;-1;0.25;8.75
-;12;17.25;von Ah Markus;;38;34.5;13;17.0;1;-0.25;8.75
+;17;26.0;Arnold Severin;*;39;34.25;18;25.75;1;-0.25;9.75
o;16;35.75;Hösli Fritz;*;14;55.25;16;35.75;0;0.0;8.5
+;20;44.25;Suter Pirmin;;23;53.0;19;44.5;-1;0.25;9.75

19i;Bättig Martin;*;;;;;;;;;54.0
-;;;Blaser Theo;*;;;;;;;8.75
+;6;8.75;Hurschler Adrian;;24;52.75;6;8.75;0;0.0;10.0
o;7;18.75;Grab Martin;***;9;56.5;9;18.25;2;-0.5;8.5
-;12;27.25;Waser Reto;*;16;54.75;13;27.0;1;-0.25;9.0
-;14;36.25;Bürgi Tobias;;18;54.25;12;36.75;-2;0.5;8.75
-;17;45.0;Arnold Andreas;*;18;54.25;16;45.25;-1;0.25;9.0

19j;Betschart Silvan;*;;;;;;;;;54.0
+;;;Vogler Daniel;*;;;;;;;10.0
o;3;10.0;Suppiger Martin;***;8;56.75;7;8.5;4;-1.5;8.5
+;8;18.5;Bieri Elias;;25;52.5;8;18.5;0;0.0;9.75
o;8;28.25;Rohrer Ivan;*;11;56.0;8;28.25;0;0.0;8.5
-;12;36.75;Wicki Patrick;;19;54.0;12;36.75;0;0.0;8.75
o;15;45.5;Imboden Roger;**;14;55.25;15;45.5;0;0.0;8.5

19k;Käslin Benno;*;;;;;;;;;54.0
+;;;Bucher Roland;*;;;;;;;10.0
o;3;10.0;Ulrich Andreas;***;7;57.0;6;8.75;3;-1.25;8.75
-;7;18.75;Betschart Marcel;;17;54.5;3;20.0;-4;1.25;9.0
-;10;27.75;Muff Armin;**;17;54.5;12;27.25;2;-0.5;8.75
o;13;36.5;Gwerder Michael (2000);;14;55.25;11;37.0;-2;0.5;8.5
-;17;45.0;Schürpf Guido;;20;53.75;18;44.75;1;-0.25;9.0

19l;Felder Martin;;;;;;;;;;54.0
o;;;Ulrich Marco;;;;;;;;8.5
+;7;8.5;von Ah Markus;;38;34.5;7;8.5;0;0.0;9.75
-;9;18.25;Käslin Ruedi;*;38;34.5;13;17.0;4;-1.25;8.75
o;13;27.0;Odermatt Andreas;*;12;55.75;12;27.25;-1;0.25;8.5
o;17;35.5;Betschart Patrick (1999);;14;55.25;17;35.5;0;0.0;8.75
+;20;44.25;Albert Thomas;;25;52.5;21;44.0;1;-0.25;9.75

19m;Fink Bruno;*;;;;;;;;;54.0
+;;;Waser Reto;*;;;;;;;10.0
o;3;10.0;Steinauer Adrian;**;11;56.0;6;8.75;3;-1.25;8.75
o;7;18.75;Kennel Stefan;*;26;48.5;3;20.0;-4;1.25;8.5
o;12;27.25;Nauer Robin;;19;54.0;13;27.0;1;-0.25;8.5
+;16;35.75;Keller Janik;;17;54.5;14;36.25;-2;0.5;9.75
o;15;45.5;Odermatt Christian;**;15;55.0;16;45.25;1;-0.25;8.5

19n;Egli David;*;;;;;;;;;54.0
+;;;Amgarten Roman;*;;;;;;;9.75
o;4;9.75;Gerber Christian;**;13;55.5;6;8.75;2;-1.0;8.5
-;9;18.25;Bucher Christian (1998);;18;54.25;8;18.5;-1;0.25;8.75
+;13;27.0;Niederberger Markus;*;25;52.5;13;27.0;0;0.0;10.0
o;11;37.0;Waser Dominik;**;10;56.25;13;36.5;2;-0.5;8.5
o;15;45.5;Hösli Fritz;*;14;55.25;15;45.5;0;0.0;8.5

19o;Koch Roger;*;;;;;;;;;54.0
o;;;Zimmermann Simon;*;;;;;;;8.5
-;7;8.5;Heinzer Stefan;*;2;100.25;2;17.25;-5;8.75;8.75
o;12;17.25;Arnold Raphael;*;12;55.75;12;17.25;0;0.0;8.5
+;18;25.75;Herger Simon;;37;34.75;17;26.0;-1;0.25;9.75
+;17;35.5;Ming Christian;;28;45.25;17;35.5;0;0.0;10.0
o;15;45.5;Clopath Beat;***;16;54.75;18;44.75;3;-0.75;8.5

20a;Würsch Lars;;;;;;;;;;53.75
o;;;Eﬃnger Peter;;;;;;;;8.5
o;7;8.5;Suppiger Thomas;;15;55.0;6;8.75;-1;0.25;8.5
+;13;17.0;Pedrazzini Diego (1998);;40;34.0;13;17.0;0;0.0;10.0
+;13;27.0;Schärli Lukas;**;36;35.0;15;26.5;2;-0.5;9.75
o;12;36.75;Gwerder Dario;*;8;56.75;11;37.0;-1;0.25;8.5
o;16;45.25;Schürpf Bruno;;13;55.5;15;45.5;-1;0.25;8.5

20b;Arnold Fabian;;;;;;;;;;53.75
-;;;Heinzer Ronny;;;;;;;;8.75
+;6;8.75;Lagler Christian;;21;53.5;6;8.75;0;0.0;9.75
o;8;18.5;Nietlispach Pascal;**;12;55.75;9;18.25;1;-0.25;8.5
o;13;27.0;Stadelmann Pius;*;22;53.25;17;26.0;4;-1.0;8.5
+;17;35.5;Albert Thomas;;25;52.5;17;35.5;0;0.0;9.75
o;16;45.25;Suppiger Thomas;;15;55.0;17;45.0;1;-0.25;8.5

20c;Arnold Marcel;;;;;;;;;;53.75
+;;;Albert Thomas;;;;;;;;9.75
o;4;9.75;Thierstein Marco;;17;54.5;4;9.75;0;0.0;8.5
o;9;18.25;Herger Fabian;*;35;35.25;13;17.0;4;-1.25;8.5
o;14;26.75;Langenstein Philip;*;33;35.75;18;25.75;4;-1.0;8.75
+;17;35.5;Hurschler Adrian;;24;52.75;17;35.5;0;0.0;9.75
o;16;45.25;Graber Michael;*;17;54.5;18;44.75;2;-0.5;8.5

20d;Schürpf Guido;;;;;;;;;;53.75
-;;;Durrer Nando (1999);;;;;;;;8.75
+;6;8.75;Durrer Robin;;40;34.0;7;8.5;1;-0.25;10.0
-;7;18.75;Felder Seppi;*;12;55.75;9;18.25;2;-0.5;9.0
o;10;27.75;Egli Damian;**;17;54.5;10;27.75;0;0.0;8.5
o;14;36.25;Elsener Manuel;;14;55.25;11;37.0;-3;0.75;8.5
-;18;44.75;Käslin Benno;*;19;54.0;17;45.0;-1;0.25;9.0

21a;Bernet Christoph;*;;;;;;;;;53.5
-;;;Kennel Stefan;*;;;;;;;8.75
-;6;8.75;Arnold Daniel;*;27;45.5;6;8.75;0;0.0;8.75
-;11;17.5;Suter Paul;*;41;27.25;11;17.5;0;0.0;8.75
+;16;26.25;Ming Christian;;28;45.25;13;27.0;-3;0.75;9.75
-;15;36.0;Heinzer Stefan;*;2;100.25;1;73.25;-14;37.25;8.75
-;18;44.75;Suter Beat;;29;44.75;18;44.75;0;0.0;8.75

21b;Schärli Pius;*;;;;;;;;;53.5
-;;;Bieri Christian;*;;;;;;;8.75
+;6;8.75;Gassmann Michael;*;45;17.25;6;8.75;0;0.0;10.0
-;7;18.75;Steinauer Adrian;**;11;56.0;8;18.5;1;-0.25;8.75
-;11;27.5;Suter Pirmin;;23;53.0;12;27.25;1;-0.25;8.75
o;14;36.25;Imfeld Peter;***;17;54.5;15;36.0;1;-0.25;8.5
-;18;44.75;Kälin Remo;*;18;54.25;15;45.5;-3;0.75;8.75

21c;Lagler Christian;;;;;;;;;;53.5
-;;;Imfeld Beat;;;;;;;;8.75
o;6;8.75;Arnold Fabian;;20;53.75;6;8.75;0;0.0;8.5
-;12;17.25;Herger Peter;;38;34.5;12;17.25;0;0.0;8.75
+;17;26.0;Durrer Robin;;40;34.0;19;25.5;2;-0.5;10.0
-;15;36.0;Zgraggen Fabian;*;23;53.0;16;35.75;1;-0.25;8.75
o;18;44.75;Bürgi Reto;*;18;54.25;19;44.5;1;-0.25;8.75

21d;Fässler Dominic;*;;;;;;;;;53.5
+;;;Herger Fabian;*;;;;;;;10.0
o;3;10.0;Müllestein Mike;**;6;57.5;3;10.0;0;0.0;8.5
-;8;18.5;Baumann Lukas;;22;53.25;8;18.5;0;0.0;8.75
-;12;27.25;Murer Andy;*;17;54.5;13;27.0;1;-0.25;8.75
-;15;36.0;Beffa Mario;;16;54.75;11;37.0;-4;1.0;8.75
-;18;44.75;Bürgi Tobias;;18;54.25;15;45.5;-3;0.75;8.75

22a;Kaech Frank;*;;;;;;;;;53.25
-;;;Müller Toni;*;;;;;;;8.75
-;6;8.75;Diethelm Albert;*;38;34.5;6;8.75;0;0.0;8.75
o;11;17.5;Bernhard Lukas;*;16;54.75;11;17.5;0;0.0;8.5
+;17;26.0;Herger Peter;;38;34.5;17;26.0;0;0.0;10.0
-;15;36.0;Schnider Markus;*;22;53.25;16;35.75;1;-0.25;8.75
o;18;44.75;Betschart Patrick (1999);;14;55.25;15;45.5;-3;0.75;8.5

22b;Schnider Markus;*;;;;;;;;;53.25
-;;;Gwerder Christian;**;;;;;;;8.75
-;6;8.75;Waser Dominik;**;10;56.25;6;8.75;0;0.0;8.75
o;11;17.5;Odermatt Andreas;*;12;55.75;11;17.5;0;0.0;8.5
+;17;26.0;Gander Martin;;38;34.5;17;26.0;0;0.0;9.75
-;16;35.75;Kaech Frank;*;22;53.25;15;36.0;-1;0.25;8.75
-;19;44.5;Zimmermann Daniel;*;22;53.25;19;44.5;0;0.0;8.75

22c;Bircher Vital;*;;;;;;;;;53.25
+;;;Barmettler Peter;*;;;;;;;9.75
o;4;9.75;Suppiger René;**;9;56.5;4;9.75;0;0.0;8.5
-;9;18.25;Suppiger Thomas;;15;55.0;8;18.5;-1;0.25;9.0
o;12;27.25;Gloggner Philipp;***;13;55.5;11;27.5;-1;0.25;8.5
-;16;35.75;Graber Michael;*;17;54.5;15;36.0;-1;0.25;8.75
-;19;44.5;Eﬃnger Markus;*;22;53.25;19;44.5;0;0.0;8.75
o;22;53.25;Bernhard Lukas;*;16;54.75;16;54.75;-6;1.5;0.0

22d;Schelbert Roman;;;;;;;;;;53.25
-;;;Bachmann Adrian;;;;;;;;8.75
-;6;8.75;Rohrer Ueli (1999);;36;35.0;6;8.75;0;0.0;9.0
+;10;17.75;Baumann Roger;*;38;34.5;13;17.0;3;-0.75;10.0
o;10;27.75;Ambühl Joel (1998);*;16;54.75;11;27.5;1;-0.25;8.5
o;14;36.25;Reichmuth Marco;*;10;56.25;14;36.25;0;0.0;8.5
o;18;44.75;Achermann Christoph;*;15;55.0;16;45.25;-2;0.5;8.5

22e;Eﬃnger Markus;*;;;;;;;;;53.25
-;;;Heiniger Marco;*;;;;;;;8.75
o;6;8.75;Egli Damian;**;17;54.5;5;9.0;-1;0.25;8.5
-;12;17.25;Schärli Lukas;**;36;35.0;11;17.5;-1;0.25;8.75
+;17;26.0;Arnold Lukas (1998);;38;34.5;17;26.0;0;0.0;10.0
o;15;36.0;Dober Adrian;*;11;56.0;15;36.0;0;0.0;8.5
-;19;44.5;Bircher Vital;*;22;53.25;19;44.5;0;0.0;8.75

22f;Baumann Lukas;;;;;;;;;;53.25
-;;;Rohrer Ueli (1999);;;;;;;;8.75
+;6;8.75;Zimmermann Armin;;23;53.0;6;8.75;0;0.0;9.75
-;8;18.5;Fässler Dominic;*;21;53.5;8;18.5;0;0.0;8.75
o;12;27.25;Stöckli Stefan;**;10;56.25;11;27.5;-1;0.25;8.75
-;15;36.0;Murer Andy;*;17;54.5;16;35.75;1;-0.25;8.75
o;18;44.75;Rohrer Beat;*;18;54.25;19;44.5;1;-0.25;8.5

22g;Zimmermann Daniel;*;;;;;;;;;53.25
o;;;Niederberger Markus;*;;;;;;;8.5
-;7;8.5;Zgraggen Fabian;*;23;53.0;7;8.5;0;0.0;9.0
o;11;17.5;Omlin Toni;*;15;55.0;13;17.0;2;-0.5;8.5
+;17;26.0;Rohrer Ueli (1999);;36;35.0;15;26.5;-2;0.5;9.75
-;16;35.75;Rohrer Beat;*;18;54.25;16;35.75;0;0.0;8.75
-;19;44.5;Schnider Markus;*;22;53.25;19;44.5;0;0.0;8.75

22h;Stadelmann Pius;*;;;;;;;;;53.25
-;;;Arnold Daniel;*;;;;;;;9.0
o;5;9.0;Ulrich Marco;;17;54.5;3;10.0;-2;1.0;8.5
o;11;17.5;Odermatt Christian;**;15;55.0;12;17.25;1;-0.25;8.5
+;17;26.0;Arnold Fabian;;20;53.75;13;27.0;-4;1.0;9.75
-;16;35.75;Kenel Franz-Toni;*;37;34.75;20;34.75;4;-1.0;8.75
-;19;44.5;Andermatt Adrian;;24;52.75;20;44.25;1;-0.25;8.75

23a;Zimmermann Armin;;;;;;;;;;53.0
-;;;Hurschler Adrian;;;;;;;;8.75
o;6;8.75;Baumann Lukas;;22;53.25;6;8.75;0;0.0;8.5
-;12;17.25;Gander Martin;;38;34.5;12;17.25;0;0.0;8.75
+;17;26.0;Pedrazzini Diego (1998);;40;34.0;19;25.5;2;-0.5;9.75
o;16;35.75;Muff André;*;18;54.25;16;35.75;0;0.0;8.5
-;20;44.25;Jund Matthias (1999);;24;52.75;21;44.0;1;-0.25;8.75

23b;Kurmann Toni (1998);;;;;;;;;;53.0
-;;;Fessler Linus;;;;;;;;8.75
+;6;8.75;Durrer Nando (1999);;37;34.75;6;8.75;0;0.0;9.75
-;8;18.5;Gassmann Fabian;**;37;34.75;12;17.25;4;-1.25;9.0
o;11;27.5;Inderbitzin Daniel;*;12;55.75;11;27.5;0;0.0;8.5
o;15;36.0;Kennel Beat;*;17;54.5;15;36.0;0;0.0;8.5
o;19;44.5;Keller Janik;;17;54.5;18;44.75;-1;0.25;8.5

23c;Zgraggen Fabian;*;;;;;;;;;53.0
o;;;Bürgler Lukas;*;;;;;;;8.5
-;7;8.5;Zimmermann Daniel;*;22;53.25;7;8.5;0;0.0;8.75
-;12;17.25;Moos Christoph;;36;35.0;11;17.5;-1;0.25;8.75
+;17;26.0;Baumann Roger;*;38;34.5;18;25.75;1;-0.25;9.75
-;16;35.75;Lagler Christian;;21;53.5;15;36.0;-1;0.25;8.75
o;19;44.5;Murer Andy;*;17;54.5;19;44.5;0;0.0;8.5

23d;Suter Pirmin;;;;;;;;;;53.0
o;;;Stöckli Damian;;;;;;;;8.5
-;7;8.5;Wallimann Remo;;17;54.5;7;8.5;0;0.0;8.75
+;12;17.25;Durrer Robin;;40;34.0;13;17.0;1;-0.25;10.0
-;12;27.25;Schärli Pius;*;21;53.5;11;27.5;-1;0.25;8.75
o;15;36.0;Bieri Christian;*;11;56.0;15;36.0;0;0.0;8.5
o;19;44.5;Stadelmann Ron;;19;54.0;20;44.25;1;-0.25;8.5

24a;Bachmann Adrian;;;;;;;;;;52.75
-;;;Schelbert Roman;;;;;;;;8.75
+;6;8.75;Pedrazzini Diego (1998);;40;34.0;7;8.5;1;-0.25;10.0
o;7;18.75;Schuler Alex;**;6;57.5;8;18.5;1;-0.25;8.5
o;12;27.25;Reichmuth Armin;*;16;54.75;12;27.25;0;0.0;8.5
o;16;35.75;Waser Reto;*;16;54.75;15;36.0;-1;0.25;8.5
o;20;44.25;Wallimann Remo;;17;54.5;19;44.5;-1;0.25;8.5

24b;Hurschler Adrian;;;;;;;;;;52.75
-;;;Zimmermann Armin;;;;;;;;8.75
