3003-2019-08-11_Bernisch-Kantonales_Schwingfest-ST

1a;Aeschbacher Matthias;**;;;;;;;;;58.5
+;5;38.0;Thomet Adrian;**;12;55.75;7;37.25;2;-0.75;10.0
-;4;48.0;Wiget Michael;**;7;57.0;4;48.0;0;0.0;9.0

7b;Gobeli Patrick;**;;;;;;;;;57.0
+;;;Thomet Adrian;**;;;;;;;10.0
+;1;10.0;Weyermann Florian;**;19;54.0;1;10.0;0;0.0;10.0
o;1;20.0;Stucki Christian;***;6;57.25;5;18.5;4;-1.5;8.5
+;6;28.5;Gäggeler Adrian;*;15;55.0;7;28.25;1;-0.25;10.0
o;3;38.5;Aeschbacher Matthias;**;1;58.5;1;40.0;-2;1.5;8.5
+;8;47.0;Stalder Kurt;;14;55.25;9;46.75;1;-0.25;10.0

7c;Staudenmann Fabian;**;;;;;;;;;57.0
+;;;Hurschler Thomas;**;;;;;;;9.75
+;2;9.75;Zenger Niklaus;***;6;57.25;1;10.0;-1;0.25;10.0
o;2;19.75;Glarner Matthias;***;2;58.25;2;19.75;0;0.0;8.5
+;7;28.25;Kropf Thomas;*;8;56.75;6;28.5;-1;0.25;10.0
+;4;38.25;Klossner Adrian;*;12;55.75;4;38.25;0;0.0;9.75
-;4;48.0;Gmür Pirmin;**;12;55.75;8;47.0;4;-1.0;9.0

7d;Wiget Michael;**;;;;;;;;;57.0
-;;;von Weissenfluh Kilian;**;;;;;;;8.75
+;4;8.75;Schlüchter Colin;*;14;55.25;2;9.75;-2;1.0;9.75
+;5;18.5;Blaser Roman;*;14;55.25;5;18.5;0;0.0;10.0
+;6;28.5;Aellen Florian;*;12;55.75;6;28.5;0;0.0;9.75
+;4;38.25;Roschi Ruedi;**;9;56.5;4;38.25;0;0.0;9.75
-;4;48.0;Käser Remo;***;7;57.0;4;48.0;0;0.0;9.0

7e;Roch Vincent;**;;;;;;;;;57.0
o;;;Kämpf Bernhard;***;;;;;;;8.5
-;5;8.5;Bernhard Marco;;23;53.0;2;9.75;-3;1.25;9.0
+;8;17.5;Kämpf Lorenz;*;22;53.25;5;18.5;-3;1.0;10.0
+;10;27.5;Waber Lorenz;*;19;54.0;11;27.25;1;-0.25;9.75
+;7;37.25;Zaugg Lars (2002);;17;54.5;8;37.0;1;-0.25;10.0
+;7;47.25;Klossner Adrian;*;12;55.75;8;47.0;1;-0.25;9.75

7f;Luginbühl Hanspeter;**;;;;;;;;;57.0
-;;;Gasser Dominik;*;;;;;;;8.75
+;4;8.75;Wüthrich Bruno;;28;35.5;2;9.75;-2;1.0;9.75
-;5;18.5;Scheuner Michael;*;12;55.75;5;18.5;0;0.0;8.75
+;11;27.25;Graber Alfred;*;18;54.25;11;27.25;0;0.0;9.75
+;8;37.0;Berger Lorenz;**;12;55.75;7;37.25;-1;0.25;10.0
+;8;47.0;Gäggeler Adrian;*;15;55.0;10;46.5;2;-0.5;10.0

7g;Herger Matthias;**;;;;;;;;;57.0
o;;;Stucki Christian;***;;;;;;;8.5
+;5;8.5;Zürcher Remo;*;18;54.25;2;9.75;-3;1.25;10.0
+;5;18.5;Thomet Adrian;**;12;55.75;4;18.75;-1;0.25;9.75
-;7;28.25;Studer Stefan;**;15;55.0;6;28.5;-1;0.25;9.0
+;7;37.25;Fankhauser Thomas;*;19;54.0;8;37.0;1;-0.25;9.75
+;8;47.0;Steffen Konrad;*;13;55.5;8;47.0;0;0.0;10.0

8a;Kropf Thomas;*;;;;;;;;;56.75
+;;;Kneubühl Christian (2001);*;;;;;;;9.75
-;2;9.75;Schwander Severin;**;16;54.75;5;8.5;3;-1.25;8.75
+;5;18.5;Thöni Reto (2001);;15;55.0;5;18.5;0;0.0;10.0
o;6;28.5;Staudenmann Fabian;**;7;57.0;7;28.25;1;-0.25;8.5
+;8;37.0;Lengacher Jonas;**;14;55.25;8;37.0;0;0.0;10.0
+;8;47.0;Gehrig Philipp;**;16;54.75;11;46.25;3;-0.75;9.75

8b;Kropf Marcel;**;;;;;;;;;56.75
o;;;Zenger Niklaus;***;;;;;;;8.5
+;5;8.5;Gehrig Kilian;;28;35.5;1;10.0;-4;1.5;10.0
+;5;18.5;Kneubühl Christian (2001);*;14;55.25;5;18.5;0;0.0;9.75
+;7;28.25;Schlüchter Colin;*;14;55.25;7;28.25;0;0.0;10.0
o;4;38.25;Glarner Matthias;***;2;58.25;2;39.5;-2;1.25;8.5
+;9;46.75;Gasser Dominik;*;14;55.25;9;46.75;0;0.0;10.0

8c;Krähenbühl Tobias;***;;;;;;;;;56.75
o;;;Glarner Matthias;***;;;;;;;8.5
o;5;8.5;Binggeli Dominik;*;16;54.75;3;9.0;-2;0.5;8.75
+;9;17.25;De Fusco Dario;*;18;54.25;5;18.5;-4;1.25;10.0
+;11;27.25;Rentsch Christian;*;22;53.25;10;27.5;-1;0.25;10.0
+;7;37.25;Iseli Marco;**;13;55.5;8;37.0;1;-0.25;9.75
+;8;47.0;Sommer Roman;*;14;55.25;9;46.75;1;-0.25;9.75

8d;Schenk Patrick;***;;;;;;;;;56.75
+;;;Wittwer Josias;**;;;;;;;9.75
o;2;9.75;Anderegg Simon;***;3;58.0;1;10.0;-1;0.25;8.75
+;5;18.5;Walther Adrian (2001);*;17;54.5;4;18.75;-1;0.25;9.75
+;7;28.25;Rolli Martin;**;18;54.25;6;28.5;-1;0.25;9.75
+;5;38.0;Aellen Philipp;*;13;55.5;7;37.25;2;-0.75;10.0
o;4;48.0;Kämpf Bernhard;***;4;57.75;4;48.0;0;0.0;8.75

9a;Mathys Simon;**;;;;;;;;;56.5
+;;;Inniger Thomas;**;;;;;;;9.75
o;2;9.75;Orlik Curdin;**;10;56.25;1;10.0;-1;0.25;8.5
+;6;18.25;Reust Markus;*;23;53.0;8;17.5;2;-0.75;10.0
+;7;28.25;Habegger Heinz;**;19;54.0;7;28.25;0;0.0;10.0
+;4;38.25;Wittwer Josias;**;9;56.5;4;38.25;0;0.0;9.75
o;4;48.0;Anderegg Simon;***;3;58.0;3;48.25;-1;0.25;8.5

9b;Roschi Ruedi;**;;;;;;;;;56.5
o;;;Marti Stefan;**;;;;;;;8.5
+;5;8.5;Habegger Heinz;**;19;54.0;1;10.0;-4;1.5;9.75
+;6;18.25;Wüthrich Niklaus;**;31;34.75;8;17.5;2;-0.75;10.0
+;7;28.25;Schenk Thomas;*;19;54.0;8;28.0;1;-0.25;10.0
o;4;38.25;Wiget Michael;**;7;57.0;4;38.25;0;0.0;8.5
+;9;46.75;Binggeli Dominik;*;16;54.75;12;46.0;3;-0.75;9.75

9c;Wittwer Josias;**;;;;;;;;;56.5
o;;;Schenk Patrick;***;;;;;;;8.5
+;5;8.5;Zaugg Lars (2002);;17;54.5;2;9.75;-3;1.25;10.0
+;5;18.5;Steffen Gustav;**;12;55.75;5;18.5;0;0.0;10.0
+;6;28.5;Gasser Dominik;*;14;55.25;6;28.5;0;0.0;9.75
o;4;38.25;Mathys Simon;**;9;56.5;4;38.25;0;0.0;8.5
+;9;46.75;Rüegsegger Christian (2001);;16;54.75;12;46.0;3;-0.75;9.75

10a;Gnägi Florian;***;;;;;;;;;56.25
-;;;Rolli Martin;**;;;;;;;8.75
+;4;8.75;Camenzind Ivan;*;19;54.0;2;9.75;-2;1.0;9.75
+;5;18.5;Tschanz Richard;*;14;55.25;2;19.75;-3;1.25;10.0
-;6;28.5;Zenger Niklaus;***;6;57.25;6;28.5;0;0.0;8.75
+;7;37.25;Mösching Andy;*;14;55.25;8;37.0;1;-0.25;10.0
-;7;47.25;Aellen Florian;*;12;55.75;9;46.75;2;-0.5;9.0

10b;Orlik Curdin;**;;;;;;;;;56.25
+;;;Studer Stefan;**;;;;;;;10.0
+;1;10.0;Mathys Simon;**;9;56.5;2;9.75;1;-0.25;10.0
-;1;20.0;Gerber Christian;**;6;57.25;1;20.0;0;0.0;8.75
-;5;28.75;Marti Stefan;**;12;55.75;6;28.5;1;-0.25;8.75
+;6;37.5;Kneubühl Christian (2001);*;14;55.25;8;37.0;2;-0.5;10.0
o;6;47.5;Graber Willy;***;5;57.5;5;47.75;-1;0.25;8.75

11a;Ramseier Fritz;**;;;;;;;;;56.0
-;;;Berger Lorenz;**;;;;;;;9.0
+;3;9.0;Walther Marcel;*;35;26.75;2;9.75;-1;0.75;10.0
+;3;19.0;Fankhauser Thomas;*;19;54.0;5;18.5;2;-0.5;10.0
o;4;29.0;Glarner Matthias;***;2;58.25;3;29.5;-1;0.5;8.5
+;6;37.5;De Fusco Dario;*;18;54.25;9;36.75;3;-0.75;9.75
o;7;47.25;Steudler Kevin (2001);*;12;55.75;12;46.0;5;-1.25;8.75

11b;Wittwer Jan;*;;;;;;;;;56.0
o;;;Graber Willy;***;;;;;;;8.5
-;5;8.5;Leuenberger Lukas (2001);;17;54.5;2;9.75;-3;1.25;8.75
+;9;17.25;Dummermuth Ueli;;32;34.5;8;17.5;-1;0.25;10.0
+;11;27.25;Schwander Severin;**;16;54.75;11;27.25;0;0.0;10.0
+;7;37.25;Steffen Gustav;**;12;55.75;8;37.0;1;-0.25;10.0
-;7;47.25;Marti Stefan;**;12;55.75;8;47.0;1;-0.25;8.75

12a;Berger Lorenz;**;;;;;;;;;55.75
-;;;Ramseier Fritz;**;;;;;;;9.0
+;3;9.0;Blaser Roman;*;14;55.25;2;9.75;-1;0.75;9.75
o;4;18.75;Sempach Thomas;***;25;36.75;5;18.5;1;-0.25;8.5
+;11;27.25;Walther Patrick;*;22;53.25;11;27.25;0;0.0;10.0
o;7;37.25;Luginbühl Hanspeter;**;7;57.0;8;37.0;1;-0.25;8.5
+;13;45.75;Hadorn Christian;*;17;54.5;12;46.0;-1;0.25;10.0

12b;Marti Stefan;**;;;;;;;;;55.75
+;;;Roschi Ruedi;**;;;;;;;10.0
-;1;10.0;Iseli Marco;**;13;55.5;2;9.75;1;-0.25;8.75
+;4;18.75;Hadorn Christian;*;17;54.5;4;18.75;0;0.0;9.75
-;6;28.5;Orlik Curdin;**;10;56.25;5;28.75;-1;0.25;8.75
+;7;37.25;Tschanz Richard;*;14;55.25;5;38.0;-2;0.75;9.75
-;8;47.0;Wittwer Jan;*;11;56.0;7;47.25;-1;0.25;8.75

12c;Aellen Florian;*;;;;;;;;;55.75
+;;;Steffen Gustav;**;;;;;;;9.75
o;2;9.75;Moser Michael;**;14;55.25;1;10.0;-1;0.25;8.75
+;5;18.5;Rüegsegger Christian (2001);;16;54.75;4;18.75;-1;0.25;10.0
o;6;28.5;Wiget Michael;**;7;57.0;6;28.5;0;0.0;8.5
+;8;37.0;Hadorn Marco;*;19;54.0;10;36.5;2;-0.5;9.75
-;9;46.75;Gnägi Florian;***;10;56.25;7;47.25;-2;0.5;9.0

12d;Pulfer Thomas;*;;;;;;;;;55.75
-;;;Kämpf Marcel;*;;;;;;;8.75
+;4;8.75;Bühler Marcel;;33;34.25;5;8.5;1;-0.25;9.75
+;5;18.5;Hügli Kaj;**;24;52.75;5;18.5;0;0.0;10.0
o;6;28.5;Klossner Adrian;*;12;55.75;6;28.5;0;0.0;8.5
-;8;37.0;Studer Stefan;**;15;55.0;6;37.5;-2;0.5;8.75
+;13;45.75;Aebi Roger;;18;54.25;13;45.75;0;0.0;10.0

12e;Zangger Dominik;*;;;;;;;;;55.75
o;;;Klossner Adrian;*;;;;;;;8.5
+;5;8.5;Schenk Adrian;*;18;54.25;5;8.5;0;0.0;9.75
+;6;18.25;Graf Simon (2001);;30;35.0;8;17.5;2;-0.75;10.0
o;7;28.25;Steffen Valentin;*;14;55.25;7;28.25;0;0.0;8.75
o;8;37.0;Zenger Niklaus;***;6;57.25;7;37.25;-1;0.25;8.75
+;13;45.75;Tschan Matthias;*;18;54.25;13;45.75;0;0.0;10.0

12f;Steffen Gustav;**;;;;;;;;;55.75
o;;;Aellen Florian;*;;;;;;;8.5
+;5;8.5;Kappeler Ruedi;;32;34.5;4;8.75;-1;0.25;10.0
o;5;18.5;Wittwer Josias;**;9;56.5;5;18.5;0;0.0;8.5
+;12;27.0;Berger Ueli;*;23;53.0;11;27.25;-1;0.25;10.0
o;8;37.0;Wittwer Jan;*;11;56.0;7;37.25;-1;0.25;8.75
+;13;45.75;Tschanz Richard;*;14;55.25;9;46.75;-4;1.0;10.0

12g;Klossner Adrian;*;;;;;;;;;55.75
+;;;Zangger Dominik;*;;;;;;;10.0
o;1;10.0;Gerber Christian;**;6;57.25;1;10.0;0;0.0;8.5
+;5;18.5;Ramseier Thomas;*;28;35.5;5;18.5;0;0.0;10.0
+;6;28.5;Pulfer Thomas;*;12;55.75;6;28.5;0;0.0;9.75
o;4;38.25;Staudenmann Fabian;**;7;57.0;4;38.25;0;0.0;8.75
o;8;47.0;Roch Vincent;**;7;57.0;7;47.25;-1;0.25;8.75

12h;Gmür Pirmin;**;;;;;;;;;55.75
o;;;Anderegg Simon;***;;;;;;;8.5
+;5;8.5;Kobel Marcel;;23;53.0;1;10.0;-4;1.5;10.0
+;5;18.5;Lengacher Jonas;**;14;55.25;5;18.5;0;0.0;9.75
-;7;28.25;Grossen John;*;14;55.25;7;28.25;0;0.0;9.0
+;7;37.25;Walther Adrian (2001);*;17;54.5;7;37.25;0;0.0;9.75
-;8;47.0;Staudenmann Fabian;**;7;57.0;4;48.0;-4;1.0;8.75

12i;Steudler Kevin (2001);*;;;;;;;;;55.75
-;;;Hadorn Christian;*;;;;;;;8.75
+;4;8.75;Wüthrich Niklaus;**;31;34.75;4;8.75;0;0.0;10.0
-;4;18.75;Gehrig Philipp;**;16;54.75;4;18.75;0;0.0;9.0
+;9;27.75;Schwab David;;18;54.25;6;28.5;-3;0.75;9.75
o;6;37.5;Graber Willy;***;5;57.5;5;38.0;-1;0.5;8.5
+;12;46.0;Ramseier Fritz;**;11;56.0;7;47.25;-5;1.25;9.75

12j;Thomet Adrian;**;;;;;;;;;55.75
o;;;Gobeli Patrick;**;;;;;;;8.75
+;4;8.75;Ledermann Patrik;;28;35.5;1;10.0;-3;1.25;10.0
o;4;18.75;Herger Matthias;**;7;57.0;5;18.5;1;-0.25;8.5
+;11;27.25;Sommer Roman;*;14;55.25;7;28.25;-4;1.0;10.0
o;7;37.25;Käser Remo;***;7;57.0;5;38.0;-2;0.75;8.5
+;13;45.75;Fankhauser Reto;*;17;54.5;12;46.0;-1;0.25;10.0

12k;Scheuner Michael;*;;;;;;;;;55.75
o;;;Iseli Marco;**;;;;;;;8.5
+;5;8.5;Klopfenstein Jan;;28;35.5;5;8.5;0;0.0;10.0
-;5;18.5;Luginbühl Hanspeter;**;7;57.0;5;18.5;0;0.0;8.75
o;11;27.25;Burger Matthieu (2001);*;13;55.5;12;27.0;1;-0.25;8.5
+;13;35.75;Schwab David;;18;54.25;8;37.0;-5;1.25;10.0
+;13;45.75;Graber Alfred;*;18;54.25;13;45.75;0;0.0;10.0

13a;Aellen Philipp;*;;;;;;;;;55.5
-;;;Steffen Valentin;*;;;;;;;8.75
-;4;8.75;Walther Patrick;*;22;53.25;4;8.75;0;0.0;8.75
+;8;17.5;Fankhauser Reto;*;17;54.5;7;17.75;-1;0.25;9.75
+;11;27.25;Schenkel Remo;*;27;35.75;11;27.25;0;0.0;10.0
o;7;37.25;Schenk Patrick;***;8;56.75;5;38.0;-2;0.75;8.5
+;13;45.75;Walther Adrian (2001);*;17;54.5;13;45.75;0;0.0;9.75

13b;Staub Maël;*;;;;;;;;;55.5
o;;;Fankhauser Thomas;*;;;;;;;8.75
o;4;8.75;Hadorn Christian;*;17;54.5;4;8.75;0;0.0;8.5
+;9;17.25;Zimmermann Nicolas (2001);;28;35.5;10;17.0;1;-0.25;10.0
o;11;27.25;Lengacher Jonas;**;14;55.25;12;27.0;1;-0.25;8.5
+;13;35.75;Kobel Marcel;;23;53.0;13;35.75;0;0.0;9.75
+;14;45.5;Weyermann Florian;**;19;54.0;14;45.5;0;0.0;10.0

13c;Burger Matthieu (2001);*;;;;;;;;;55.5
o;;;Steffen Konrad;*;;;;;;;8.5
+;5;8.5;Eggimann Marco;;19;54.0;1;10.0;-4;1.5;9.75
-;6;18.25;Röthlisberger Simon;*;17;54.5;8;17.5;2;-0.75;8.75
+;12;27.0;Scheuner Michael;*;12;55.75;11;27.25;-1;0.25;9.75
-;9;36.75;Habegger Heinz;**;19;54.0;9;36.75;0;0.0;8.75
+;14;45.5;Camenzind Ivan;*;19;54.0;14;45.5;0;0.0;10.0

13d;Iseli Marco;**;;;;;;;;;55.5
+;;;Scheuner Michael;*;;;;;;;9.75
-;2;9.75;Marti Stefan;**;12;55.75;1;10.0;-1;0.25;8.75
o;5;18.5;Steffen Valentin;*;14;55.25;5;18.5;0;0.0;8.5
+;12;27.0;Siegrist Lukas;;28;35.5;12;27.0;0;0.0;10.0
o;8;37.0;Krähenbühl Tobias;***;8;56.75;7;37.25;-1;0.25;8.5
+;14;45.5;Habegger Heinz;**;19;54.0;14;45.5;0;0.0;10.0

13e;Steffen Konrad;*;;;;;;;;;55.5
+;;;Burger Matthieu (2001);*;;;;;;;9.75
o;2;9.75;Tschanz Richard;*;14;55.25;1;10.0;-1;0.25;8.75
+;5;18.5;Eggimann Marco;;19;54.0;5;18.5;0;0.0;10.0
o;6;28.5;Kämpf Bernhard;***;4;57.75;7;28.25;1;-0.25;8.5
+;8;37.0;Zehnder Jürg;*;20;53.75;9;36.75;1;-0.25;10.0
o;8;47.0;Herger Matthias;**;7;57.0;8;47.0;0;0.0;8.5

13f;Gnägi Damian;;;;;;;;;;55.5
o;;;Stalder Kurt;;;;;;;;8.5
+;5;8.5;Bütikofer Lukas;*;28;35.5;5;8.5;0;0.0;10.0
o;5;18.5;Sommer Roman;*;14;55.25;5;18.5;0;0.0;8.5
-;12;27.0;Walther Patrick;*;22;53.25;11;27.25;-1;0.25;8.75
+;13;35.75;Kobel Marcel;;23;53.0;13;35.75;0;0.0;10.0
+;13;45.75;Kneubühl Christian (2001);*;14;55.25;14;45.5;1;-0.25;9.75

14a;Lengacher Jonas;**;;;;;;;;;55.25
o;;;Käser Remo;***;;;;;;;8.5
+;5;8.5;Gäggeler Adrian;*;15;55.0;2;9.75;-3;1.25;10.0
o;5;18.5;Gmür Pirmin;**;12;55.75;5;18.5;0;0.0;8.5
+;12;27.0;Staub Maël;*;13;55.5;11;27.25;-1;0.25;10.0
o;8;37.0;Kropf Thomas;*;8;56.75;8;37.0;0;0.0;8.5
+;14;45.5;Leuenberger Lukas (2001);;17;54.5;12;46.0;-2;0.5;9.75

14b;Sommer Roman;*;;;;;;;;;55.25
-;;;Walther Adrian (2001);*;;;;;;;8.75
+;4;8.75;Mösching Andy;*;14;55.25;4;8.75;0;0.0;9.75
+;5;18.5;Gnägi Damian;;13;55.5;5;18.5;0;0.0;9.75
o;7;28.25;Thomet Adrian;**;12;55.75;11;27.25;4;-1.0;8.5
+;9;36.75;Wicki Cédric;;14;55.25;9;36.75;0;0.0;10.0
o;9;46.75;Krähenbühl Tobias;***;8;56.75;8;47.0;-1;0.25;8.5

14c;Gasser Dominik;*;;;;;;;;;55.25
-;;;Luginbühl Hanspeter;**;;;;;;;8.75
+;4;8.75;Thöni Reto (2001);;15;55.0;2;9.75;-2;1.0;9.75
+;5;18.5;Matthey Mickaël;**;26;36.5;6;18.25;1;-0.25;10.0
o;6;28.5;Wittwer Josias;**;9;56.5;6;28.5;0;0.0;8.5
+;8;37.0;Tschumi Lukas (2001);*;15;55.0;9;36.75;1;-0.25;9.75
o;9;46.75;Kropf Marcel;**;8;56.75;9;46.75;0;0.0;8.5

14d;Tschanz Richard;*;;;;;;;;;55.25
+;;;Lüthi David (2002);;;;;;;;10.0
+;1;10.0;Steffen Konrad;*;13;55.5;2;9.75;1;-0.25;9.75
o;2;19.75;Gnägi Florian;***;10;56.25;5;18.5;3;-1.25;8.5
+;7;28.25;Tschumi Lukas (2001);*;15;55.0;7;28.25;0;0.0;9.75
o;5;38.0;Marti Stefan;**;12;55.75;7;37.25;2;-0.75;8.75
o;9;46.75;Steffen Gustav;**;12;55.75;13;45.75;4;-1.0;8.5

14e;Wicki Cédric;;;;;;;;;;55.25
+;;;Kyburz Silas;;;;;;;;9.75
o;2;9.75;Hügli Kaj;**;24;52.75;4;8.75;2;-1.0;8.5
o;6;18.25;Rentsch Christian;*;22;53.25;8;17.5;2;-0.75;8.5
+;13;26.75;Dummermuth Ueli;;32;34.5;16;26.0;3;-0.75;10.0
o;9;36.75;Sommer Roman;*;14;55.25;9;36.75;0;0.0;8.5
+;15;45.25;Schenk Thomas;*;19;54.0;15;45.25;0;0.0;10.0

14f;Steffen Valentin;*;;;;;;;;;55.25
-;;;Aellen Philipp;*;;;;;;;8.75
+;4;8.75;Graber Alfred;*;18;54.25;4;8.75;0;0.0;9.75
+;5;18.5;Iseli Marco;**;13;55.5;5;18.5;0;0.0;9.75
+;7;28.25;Zangger Dominik;*;12;55.75;7;28.25;0;0.0;10.0
o;4;38.25;Anderegg Simon;***;3;58.0;4;38.25;0;0.0;8.5
o;9;46.75;Inniger Thomas;**;6;57.25;7;47.25;-2;0.5;8.5

14g;Stalder Kurt;;;;;;;;;;55.25
+;;;Gnägi Damian;;;;;;;;9.75
o;2;9.75;Studer Stefan;**;15;55.0;5;8.5;3;-1.25;8.5
o;6;18.25;Hadorn Marco;*;19;54.0;10;17.0;4;-1.25;8.5
+;13;26.75;Neukomm Thierry;;32;34.5;16;26.0;3;-0.75;10.0
+;9;36.75;Berger Ueli;*;23;53.0;12;36.0;3;-0.75;10.0
o;9;46.75;Gobeli Patrick;**;7;57.0;8;47.0;-1;0.25;8.5

14h;Blaser Roman;*;;;;;;;;;55.25
+;;;Bütikofer Lukas;*;;;;;;;9.75
o;2;9.75;Berger Lorenz;**;12;55.75;3;9.0;1;-0.75;8.75
o;5;18.5;Wiget Michael;**;7;57.0;5;18.5;0;0.0;8.5
+;12;27.0;Willimann Stefan;;28;35.5;12;27.0;0;0.0;10.0
+;8;37.0;Binggeli Dominik;*;16;54.75;6;37.5;-2;0.5;9.75
o;9;46.75;Stucki Christian;***;6;57.25;7;47.25;-2;0.5;8.5

