5376-2021-07-24_Buendner_Glarner_Kantonalschwingfest-ST

1a;Leuppi Samir;***;;;;;;;;;58.25
o;5;18.5;Wüthrich Hans;;13;54.5;4;18.75;-1;0.25;8.5
o;9;27.0;Feldmann Patrik (2005);;12;54.75;7;27.5;-2;0.5;8.5
-;12;35.5;Aebli Andrin;;18;53.0;11;35.75;-1;0.25;8.75
o;16;44.25;Wittenwiler Mathias (2003);;15;54.0;16;44.25;0;0.0;8.5

20a;Gmür Pascal (2003);;;;;;;;;;52.5
o;;;Abderhalden Lukas (2003);;;;;;;;8.5
o;5;8.5;Rhyner Beni;;13;54.5;3;9.0;-2;0.5;8.5
o;9;17.0;Frei Felix (2003);;15;54.0;9;17.0;0;0.0;8.5
-;13;25.5;Baumgartner Joël;;19;52.75;13;25.5;0;0.0;8.75
o;15;34.25;Schiess Christian;;18;53.0;14;34.5;-1;0.25;8.5
+;19;42.75;Zumstein Silvan;;22;51.0;20;42.5;1;-0.25;9.75

20b;Nef Tobias (2005);;;;;;;;;;52.5
o;;;Fässler Tobias;;;;;;;;8.5
o;5;8.5;Laager Kaspar (2004);;15;54.0;5;8.5;0;0.0;8.5
o;9;17.0;Lacher Tobias (2005);;16;53.75;9;17.0;0;0.0;8.5
o;13;25.5;Bebi Nic (2003);;21;52.25;13;25.5;0;0.0;8.5
+;16;34.0;Denoth Michel;;22;51.0;16;34.0;0;0.0;10.0
o;17;44.0;Riatsch Albin;;17;53.5;18;43.75;1;-0.25;8.5

21a;Nogler David;;;;;;;;;;52.25
o;;;Gasenzer Christian (2004);;;;;;;;8.5
o;5;8.5;Schoch René;;17;53.5;5;8.5;0;0.0;8.5
o;9;17.0;Stadelmann Lukas (2004);;16;53.75;9;17.0;0;0.0;8.5
o;13;25.5;Inauen Aurel;;10;55.25;13;25.5;0;0.0;8.5
+;16;34.0;Zumstein Silvan;;22;51.0;16;34.0;0;0.0;9.75
o;18;43.75;Graf Dominik (2005);;17;53.5;18;43.75;0;0.0;8.5

21b;Bebi Nic (2003);;;;;;;;;;52.25
o;;;Krucker Silvan;;;;;;;;8.5
o;5;8.5;Hangartner Maurice (2003);;10;55.25;5;8.5;0;0.0;8.5
o;9;17.0;Diem Hansruedi;;15;54.0;8;17.25;-1;0.25;8.5
+;13;25.5;Nef Tobias (2005);;20;52.5;13;25.5;0;0.0;9.75
o;13;35.25;Stadelmann Lukas (2004);;16;53.75;13;35.25;0;0.0;8.5
o;18;43.75;Schwyn Patrick;;15;54.0;17;44.0;-1;0.25;8.5

22a;Zumstein Silvan;;;;;;;;;;51.0
o;;;Bütler Roman (2004);;;;;;;;8.5
o;5;8.5;Schlegel Jamie (2004);;12;54.75;4;8.75;-1;0.25;8.5
o;9;17.0;Bernhard Thomas;;16;53.75;9;17.0;0;0.0;8.5
o;13;25.5;Baumann Reto;;15;54.0;13;25.5;0;0.0;8.5
o;16;34.0;Nogler David;;21;52.25;16;34.0;0;0.0;8.5
o;20;42.5;Gmür Pascal (2003);;20;52.5;19;42.75;-1;0.25;8.5

22b;Denoth Michel;;;;;;;;;;51.0
o;;;Mannhart Jan (2003);;;;;;;;8.5
o;5;8.5;Bleiker Daniel;;16;53.75;5;8.5;0;0.0;8.5
o;9;17.0;Sieber Marc;;15;54.0;9;17.0;0;0.0;8.5
o;13;25.5;Graf Dominik (2005);;17;53.5;13;25.5;0;0.0;8.5
o;16;34.0;Nef Tobias (2005);;20;52.5;16;34.0;0;0.0;8.5
o;20;42.5;Baumgartner Joël;;19;52.75;19;42.75;-1;0.25;8.5

23a;Schwyn Adrian;*;;;;;;;;;27.0
-;;;Fontana Michael;*;;;;;;;8.75
o;4;8.75;Elmer Daniel;*;9;55.5;2;9.75;-2;1.0;8.5
+;8;17.25;Steiner Lukas;;13;54.5;5;18.5;-3;1.25;9.75

