5376-2021-07-24_Buendner_Glarner_Kantonalschwingfest-ST

1a;Leuppi Samir;***;;;;;;;;;58.25
o;4;18.75;Ackermann Rico (2003);*;11;55.0;5;18.5;1;-0.25;8.75
+;7;27.5;Frei Felix (2003);;15;54.0;9;27.0;2;-0.5;10.0
-;5;37.5;Wüthrich Hans;;13;54.5;7;37.0;2;-0.5;9.0
+;7;46.5;Schiesser Patrik;*;10;55.25;7;46.5;0;0.0;10.0

5c;Aebli Nino;;;;;;;;;;56.5
+;;;Ziegler Andreas;;;;;;;;10.0
+;1;10.0;Steiner Lukas;;13;54.5;1;10.0;0;0.0;10.0
o;1;20.0;Nock Benjamin;*;13;54.5;5;18.5;4;-1.5;8.5
+;4;28.5;Stadelmann Patrick;;11;55.0;6;28.0;2;-0.5;9.75
o;2;38.25;Geisser Lars;**;3;57.0;7;37.0;5;-1.25;8.5
+;6;46.75;Keller Cedric;;10;55.25;6;46.75;0;0.0;9.75

5d;Good Marco;*;;;;;;;;;56.5
-;;;Habegger Heinz;**;;;;;;;8.75
+;4;8.75;Inauen Maurus (2003);;9;55.5;1;10.0;-3;1.25;9.75
+;5;18.5;Lehmann Philipp;*;8;55.75;6;18.25;1;-0.25;9.75
+;5;28.25;Wüthrich Hans;;13;54.5;4;28.5;-1;0.25;10.0
o;2;38.25;Orlik Armon;***;2;57.25;5;37.5;3;-0.75;8.5
+;6;46.75;Flütsch Marco;;10;55.25;6;46.75;0;0.0;9.75

5e;Wey Nicola;*;;;;;;;;;56.5
+;;;Rotach Lars;*;;;;;;;9.75
o;2;9.75;Orlik Armon;***;2;57.25;4;8.75;2;-1.0;8.5
+;6;18.25;Mannhart Jan (2003);;13;54.5;3;19.0;-3;0.75;9.75
+;6;28.0;Lüthi Manuel (2003);*;12;54.75;6;28.0;0;0.0;9.75
-;4;37.75;Landolt Reto;*;3;57.0;2;38.25;-2;0.5;8.75
+;7;46.5;Bernold Edi;**;9;55.5;6;46.75;-1;0.25;10.0

5f;Schlegel Reto;*;;;;;;;;;56.5
-;;;Schuler Martin;*;;;;;;;8.75
+;4;8.75;Wehrli Jan;;11;55.0;1;10.0;-3;1.25;9.75
+;5;18.5;Castelli Fabio;;2;57.25;1;20.0;-4;1.5;10.0
-;4;28.5;Schmid Patrick;*;7;56.0;4;28.5;0;0.0;9.0
-;5;37.5;Lehmann Philipp;*;8;55.75;7;37.0;2;-0.5;9.0
+;7;46.5;Gantenbein Linard (2004);;10;55.25;6;46.75;-1;0.25;10.0

5g;Arnold Stefan;**;;;;;;;;;56.5
+;;;Lehmann Philipp;*;;;;;;;10.0
o;1;10.0;Leuppi Samir;***;1;58.25;2;9.75;1;-0.25;8.5
+;5;18.5;Fontana Michael;*;13;54.5;4;18.75;-1;0.25;9.75
+;5;28.25;Wild Thomas;;13;54.5;3;28.75;-2;0.5;9.75
+;3;38.0;Gosswiler Livio;*;4;56.75;2;38.25;-1;0.25;9.75
-;2;47.75;Kindlimann Fabian;***;7;56.0;4;47.25;2;-0.5;8.75

6a;Jörger Corsin;*;;;;;;;;;56.25
o;;;Nock Benjamin;*;;;;;;;8.75
+;4;8.75;Abderhalden Lukas (2003);;16;53.75;2;9.75;-2;1.0;10.0
+;4;18.75;Forrer Marco (2003);;18;53.0;3;19.0;-1;0.25;9.75
o;4;28.5;Ackermann Rico (2003);*;11;55.0;5;28.25;1;-0.25;8.75
-;6;37.25;Wüthrich Severin;;12;54.75;6;37.25;0;0.0;9.0
