3377-2016-05-01_111_Thurgauer_Kantonales_Schwingfest-ST

1a;Orlik Armon;**;;;;;;;;;58.75
7e;Schnurrenberger Roman;**;;;;;;;;;56.75
o;;;Schneider Mario;**;;;;;;;8.5
+;5;8.5;Büsser André;;14;55.0;1;10.0;-4;1.5;10.0
+;5;18.5;Hochholdinger Roman;**;17;54.25;5;18.5;0;0.0;10.0
+;5;28.5;Rüegg Fabian;*;15;54.75;4;28.75;-1;0.25;10.0
+;3;38.5;Schneider Domenic;**;5;57.25;3;38.5;0;0.0;9.75
o;3;48.25;Forrer Arnold;***;7;56.75;8;47.0;5;-1.25;8.5

7f;Schläpfer Markus;**;;;;;;;;;56.75
-;;;Wickli Beat;**;;;;;;;8.75
+;4;8.75;Freuler Franz;**;9;56.25;3;9.0;-1;0.25;10.0
+;4;18.75;Korrodi Paul;*;16;54.5;4;18.75;0;0.0;9.75
+;5;28.5;Coray Beda;*;13;55.25;6;28.25;1;-0.25;9.75
o;4;38.25;Steiner Michael;**;7;56.75;3;38.5;-1;0.25;8.75
+;8;47.0;Brand Andreas;*;13;55.25;9;46.75;1;-0.25;9.75

7g;Schläpfer Matthias;*;;;;;;;;;56.75
+;;;Schlegel Reto;*;;;;;;;10.0
o;1;10.0;Schneider Mario;**;3;58.0;2;9.75;1;-0.25;8.5
+;5;18.5;Roth Lukas;*;15;54.75;4;18.75;-1;0.25;9.75
o;6;28.25;Rhyner Michael;**;7;56.75;10;27.25;4;-1.0;8.5
+;10;36.75;Thiemann Fabrice;;16;54.5;9;37.0;-1;0.25;10.0
+;9;46.75;Glaus Martin;***;12;55.5;9;46.75;0;0.0;10.0

8a;Oettli Marco;;;;;;;;;;56.5
+;;;Fankhauser Jürg;*;;;;;;;10.0
+;1;10.0;Burkhard Patrick;*;14;55.0;5;8.5;4;-1.5;10.0
o;1;20.0;Glaus Martin;***;12;55.5;4;18.75;3;-1.25;8.5
+;5;28.5;Tanner Adrian;;18;54.0;6;28.25;1;-0.25;9.75
o;4;38.25;Fejzaj Naim;*;10;56.0;7;37.5;3;-0.75;8.5
+;9;46.75;Koller Fabian;;11;55.75;7;47.25;-2;0.5;9.75

8b;Wickli Beat;**;;;;;;;;;56.5
-;;;Schläpfer Markus;**;;;;;;;8.75
+;4;8.75;Fässler Patrick;;17;54.25;2;9.75;-2;1.0;9.75
o;5;18.5;Leuppi Samir;**;8;56.5;4;18.75;-1;0.25;8.5
+;11;27.0;Koch Reto;;13;55.25;5;28.5;-6;1.5;9.75
+;10;36.75;Bickel Roman (1998);;12;55.5;8;37.25;-2;0.5;10.0
+;9;46.75;Giger Urs;*;13;55.25;9;46.75;0;0.0;9.75

8c;Rychen Roger;**;;;;;;;;;56.5
-;;;Notz Beni;***;;;;;;;8.75
+;4;8.75;Blaser Jan;*;18;54.0;4;8.75;0;0.0;10.0
+;4;18.75;Raymann David;;13;55.25;5;18.5;1;-0.25;10.0
-;4;28.75;Schneider Mario;**;3;58.0;3;29.25;-1;0.5;9.0
+;6;37.75;Inauen Aurel;;17;54.25;8;37.25;2;-0.5;10.0
o;5;47.75;Bühler Ernst;**;4;57.75;4;48.0;-1;0.25;8.75

8d;Leuppi Samir;**;;;;;;;;;56.5
-;;;Hersche Martin;**;;;;;;;8.75
+;4;8.75;Dörig Erich;*;16;54.5;4;8.75;0;0.0;10.0
+;4;18.75;Wickli Beat;**;8;56.5;5;18.5;1;-0.25;9.75
+;5;28.5;Koch Thomas;;13;55.25;1;29.75;-4;1.25;9.75
o;4;38.25;Bösch Daniel;***;2;58.25;4;38.25;0;0.0;8.5
+;9;46.75;Koch Reto;;13;55.25;9;46.75;0;0.0;9.75

9a;Freuler Franz;**;;;;;;;;;56.25
-;;;Bühler Ernst;**;;;;;;;9.0
o;3;9.0;Schläpfer Markus;**;7;56.75;4;8.75;1;-0.25;8.5
+;9;17.5;Frei Dominic;;26;35.25;6;18.25;-3;0.75;10.0
-;9;27.5;Holenstein Christian;*;16;54.5;10;27.25;1;-0.25;8.75
+;12;36.25;Wetter Dominik;;18;54.0;9;37.0;-3;0.75;10.0
+;11;46.25;Keller Dominic;;12;55.5;8;47.0;-3;0.75;10.0

9b;Zwyssig Raphael;***;;;;;;;;;56.25
-;;;Glaus Martin;***;;;;;;;8.75
-;4;8.75;Zbinden Marc;*;6;57.0;2;9.75;-2;1.0;8.75
+;9;17.5;Trümpy Simon (1998);;17;54.25;5;18.5;-4;1.0;10.0
-;9;27.5;Oertig Dominik;*;11;55.75;5;28.5;-4;1.0;8.75
+;12;36.25;Blaser Jan;*;18;54.0;9;37.0;-3;0.75;10.0
+;11;46.25;Gwerder Andreas;**;16;54.5;12;46.0;1;-0.25;10.0

10a;Schmid Patrick;*;;;;;;;;;56.0
+;;;Krähenbühl Lukas;*;;;;;;;9.75
o;2;9.75;Glaus Martin;***;12;55.5;4;8.75;2;-1.0;8.5
+;6;18.25;Buchmann Michael;;18;54.0;4;18.75;-2;0.5;9.75
o;7;28.0;Krähenbühl Tobias;**;6;57.0;9;27.5;2;-0.5;8.5
+;11;36.5;Hungerbühler Marcel;;12;55.5;9;37.0;-2;0.5;9.75
+;11;46.25;Roth Lukas;*;15;54.75;11;46.25;0;0.0;9.75

10b;Fejzaj Naim;*;;;;;;;;;56.0
+;;;Holenstein Christian;*;;;;;;;9.75
+;2;9.75;Hochholdinger Roman;**;17;54.25;1;10.0;-1;0.25;10.0
-;2;19.75;Steiner Michael;**;7;56.75;2;19.75;0;0.0;9.0
o;4;28.75;Schneider Domenic;**;5;57.25;5;28.5;1;-0.25;8.75
+;7;37.5;Oettli Marco;;8;56.5;4;38.25;-3;0.75;10.0
o;6;47.5;Schneider Mario;**;3;58.0;4;48.0;-2;0.5;8.5

11a;Notz Armin;*;;;;;;;;;55.75
-;;;Rüegg Fabian;*;;;;;;;8.75
+;4;8.75;Raymann David;;13;55.25;1;10.0;-3;1.25;9.75
+;5;18.5;Fuster Sepp;;15;54.75;6;18.25;1;-0.25;9.75
-;6;28.25;Nägeli Marco;*;12;55.5;6;28.25;0;0.0;8.75
-;9;37.0;Raschle Adrian;;18;54.0;10;36.75;1;-0.25;8.75
+;13;45.75;Inauen Aurel;;17;54.25;13;45.75;0;0.0;10.0

11b;Näf Pius;*;;;;;;;;;55.75
o;;;Huber Pascal;*;;;;;;;8.5
+;5;8.5;Fuster Sepp;;15;54.75;2;9.75;-3;1.25;9.75
+;6;18.25;Frauchiger Remo;;14;55.0;2;19.75;-4;1.5;9.75
+;7;28.0;Sprecher Sandro;*;21;53.25;9;27.5;2;-0.5;10.0
-;5;38.0;Rüegg Fabian;*;15;54.75;8;37.25;3;-0.75;9.0
o;8;47.0;Rhyner Michael;**;7;56.75;9;46.75;1;-0.25;8.75

11c;Wittenwiler Roman (1998);;;;;;;;;;55.75
+;;;Blaser Niklas;;;;;;;;9.75
+;2;9.75;Vogel Beat;*;25;35.5;5;8.5;3;-1.25;10.0
+;2;19.75;Huber Pascal;*;30;27.0;5;18.5;3;-1.25;10.0
o;1;29.75;Steiner Michael;**;7;56.75;4;28.75;3;-1.0;8.5
