3377-2016-05-01_111_Thurgauer_Kantonales_Schwingfest-ST

1a;Orlik Armon;**;;;;;;;;;58.75
-;14;35.75;Pfleghart Remo;;16;54.5;14;35.75;0;0.0;9.0
o;17;44.75;Beck Dominik;;14;55.0;15;45.25;-2;0.5;8.75

20d;Biäsch Christian;;;;;;;;;;53.5
o;;;Vogel Thomas;;;;;;;;8.5
+;5;8.5;Mathys David;;26;35.25;5;8.5;0;0.0;9.75
o;6;18.25;Wolfer Lukas;;12;55.5;10;17.25;4;-1.0;8.5
+;12;26.75;Hämmerli Gian-Franco;*;26;35.25;12;26.75;0;0.0;9.75
o;11;36.5;Holenstein Christian;*;16;54.5;13;36.0;2;-0.5;8.5
o;16;45.0;Bernold Michael (1999);;14;55.0;15;45.25;-1;0.25;8.5

21a;Poltera Andrin (1999);;;;;;;;;;53.25
-;;;Bernold Michael (1999);;;;;;;;8.75
-;4;8.75;Alder Armin;;21;53.25;4;8.75;0;0.0;8.75
-;9;17.5;Hälg Joel (1998);;20;53.5;9;17.5;0;0.0;8.75
+;13;26.25;Koller Valentin;;28;34.25;15;25.75;2;-0.5;10.0
o;12;36.25;Oettli Silvio (2000);;16;54.5;13;36.0;1;-0.25;8.5
o;17;44.75;Gubler Daniel;;14;55.0;16;45.0;-1;0.25;8.5

21b;Alder Armin;;;;;;;;;;53.25
-;;;Oertle Daniel;;;;;;;;8.75
-;4;8.75;Poltera Andrin (1999);;21;53.25;4;8.75;0;0.0;8.75
+;9;17.5;Keller Werner;;27;34.5;10;17.25;1;-0.25;9.75
o;10;27.25;Burkhard Patrick;*;14;55.0;12;26.75;2;-0.5;8.5
-;14;35.75;Marty Jaime (2000);;16;54.5;10;36.75;-4;1.0;8.75
-;18;44.5;Hengartner Ivo;;20;53.5;17;44.75;-1;0.25;8.75

21c;Sprecher Sandro;*;;;;;;;;;53.25
-;;;Brand Andreas;*;;;;;;;8.75
-;4;8.75;Keller Lukas;;16;54.5;2;9.75;-2;1.0;8.75
+;9;17.5;Blaser Gian (1998);;17;54.25;5;18.5;-4;1.0;10.0
o;9;27.5;Näf Pius;*;11;55.75;7;28.0;-2;0.5;8.5
o;13;36.0;Dumelin David;*;6;57.0;9;37.0;-4;1.0;8.5
-;18;44.5;Truniger Manuel;;17;54.25;14;45.5;-4;1.0;8.75

21d;Gartmann Mauro;;;;;;;;;;53.25
+;;;Koller Valentin;;;;;;;;10.0
-;1;10.0;Hengartner Ivo;;20;53.5;3;9.0;2;-1.0;8.75
-;4;18.75;Koller Fabian;;11;55.75;2;19.75;-2;1.0;8.75
o;9;27.5;Bühler Hannes;*;5;57.25;10;27.25;1;-0.25;8.5
-;13;36.0;Keller Lukas;;16;54.5;14;35.75;1;-0.25;8.75
o;17;44.75;Frick Andreas;*;12;55.5;14;45.5;-3;0.75;8.5

22a;Odermatt Michi;;;;;;;;;;53.0
o;;;Odermatt Leon (1999);;;;;;;;8.5
+;5;8.5;Stäger Janis;;25;35.5;5;8.5;0;0.0;10.0
o;5;18.5;Vogel Beat;*;25;35.5;11;17.0;6;-1.5;8.5
-;11;27.0;Schäfli Severin;;23;52.75;11;27.0;0;0.0;8.75
-;14;35.75;Schwager Ivo;;17;54.25;14;35.75;0;0.0;8.75
o;18;44.5;Pfleghart Remo;;16;54.5;17;44.75;-1;0.25;8.5

22b;Heierli Pascal (1999);;;;;;;;;;53.0
o;;;Hungerbühler Marcel;;;;;;;;8.5
-;5;8.5;Hälg Joel (1998);;20;53.5;4;8.75;-1;0.25;8.75
+;10;17.25;Koller Valentin;;28;34.25;11;17.0;1;-0.25;10.0
-;10;27.25;Notz Hans;*;16;54.5;11;27.0;1;-0.25;8.75
o;13;36.0;Fuster Sepp;;15;54.75;14;35.75;1;-0.25;8.5
o;18;44.5;Schwager Ivo;;17;54.25;18;44.5;0;0.0;8.5

22c;Blaser Andre (2000);;;;;;;;;;53.0
+;;;Horner Sämi;;;;;;;;10.0
o;1;10.0;Schlegel Reto;*;17;54.25;5;8.5;4;-1.5;8.5
o;5;18.5;Hari Michi;;14;55.0;6;18.25;1;-0.25;8.5
o;11;27.0;Wetter Dominik;;18;54.0;11;27.0;0;0.0;8.75
o;14;35.75;Lötscher Abraham (2000);;17;54.25;14;35.75;0;0.0;8.75
o;18;44.5;Raymann David;;13;55.25;15;45.25;-3;0.75;8.5

23a;Schäfli Severin;;;;;;;;;;52.75
o;;;Keller Andreas;;;;;;;;8.5
o;5;8.5;Schlegel Sämi (2000);;25;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Peter Simon;;29;34.0;11;17.0;0;0.0;10.0
-;11;27.0;Odermatt Michi;;22;53.0;11;27.0;0;0.0;8.75
o;14;35.75;Oertle Daniel;;15;54.75;13;36.0;-1;0.25;8.5
o;19;44.25;Buchmann Michael;;18;54.0;19;44.25;0;0.0;8.5

24a;Odermatt Martin;*;;;;;;;;;35.75
-;;;Bühler Hannes;*;;;;;;;8.75
+;4;8.75;Aerne Christian;;26;35.25;2;9.75;-2;1.0;10.0
o;4;18.75;Schneider Mario;**;3;58.0;3;19.5;-1;0.75;8.5
o;10;27.25;Bühler Ernst;**;4;57.75;7;28.0;-3;0.75;8.5

25a;Stäger Janis;;;;;;;;;;35.5
o;;;Aerne Christian;;;;;;;;8.5
o;5;8.5;Odermatt Michi;;22;53.0;5;8.5;0;0.0;8.5
o;11;17.0;Koller Andreas (1998);;25;35.5;11;17.0;0;0.0;8.5
+;16;25.5;Peter Simon;;29;34.0;16;25.5;0;0.0;10.0

25b;Schwager Mike (2000);;;;;;;;;;35.5
o;;;Koch Reto;;;;;;;;8.5
o;5;8.5;Gubler Daniel;;14;55.0;5;8.5;0;0.0;8.5
o;11;17.0;Lötscher Abraham (2000);;17;54.25;10;17.25;-1;0.25;8.5
+;16;25.5;Gaccioli Benjamin;;29;34.0;16;25.5;0;0.0;10.0

25c;Koller Andreas (1998);;;;;;;;;;35.5
o;;;Büsser André;;;;;;;;8.5
o;5;8.5;Bernold Michael (1999);;14;55.0;4;8.75;-1;0.25;8.5
+;11;17.0;Stäger Janis;;25;35.5;11;17.0;0;0.0;10.0
o;11;27.0;Raschle Adrian;;18;54.0;11;27.0;0;0.0;8.5

25d;Rieser Fabian;;;;;;;;;;35.5
o;;;Wetter Dominik;;;;;;;;8.5
+;5;8.5;Müller Elias;;25;35.5;5;8.5;0;0.0;9.75
o;6;18.25;Burkhard Patrick;*;14;55.0;11;17.0;5;-1.25;8.5
-;12;26.75;Flütsch Marco (1999);;25;35.5;12;26.75;0;0.0;8.75

25e;Knup Stephan;;;;;;;;;;35.5
o;;;Tremp Remo (1999);;;;;;;;8.5
+;5;8.5;Peter Simon;;29;34.0;5;8.5;0;0.0;9.75
o;6;18.25;Fankhauser Jürg;*;19;53.75;11;17.0;5;-1.25;8.5
-;12;26.75;Lötscher Abraham (2000);;17;54.25;11;27.0;-1;0.25;8.75

25f;Straub Paul;;;;;;;;;;35.5
o;;;Bickel Roman (1998);;;;;;;;8.5
+;5;8.5;Keller Werner;;27;34.5;4;8.75;-1;0.25;9.75
-;6;18.25;Inauen Aurel;;17;54.25;5;18.5;-1;0.25;8.75
o;11;27.0;Büsser André;;14;55.0;11;27.0;0;0.0;8.5

25g;Müller Elias;;;;;;;;;;35.5
o;;;Keller Lukas;;;;;;;;8.5
o;5;8.5;Rieser Fabian;;25;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Vogel Simon (2000);;26;35.25;11;17.0;0;0.0;10.0
o;11;27.0;Fankhauser Jürg;*;19;53.75;12;26.75;1;-0.25;8.5

25h;Salnajs Leo (1998);;;;;;;;;;35.5
+;;;Dudli Gallus;;;;;;;;10.0
o;1;10.0;Koller Martin;*;6;57.0;4;8.75;3;-1.25;8.5
o;5;18.5;Ammann Rico;*;12;55.5;5;18.5;0;0.0;8.5
o;11;27.0;Thiemann Fabrice;;16;54.5;11;27.0;0;0.0;8.5

25i;Weber Erwin (2000);;;;;;;;;;35.5
+;;;Vogel Simon (2000);;;;;;;;10.0
o;1;10.0;Roth Lukas;*;15;54.75;4;8.75;3;-1.25;8.5
o;5;18.5;Straub Robin;*;6;57.0;5;18.5;0;0.0;8.5
o;11;27.0;Schweingruber Thomas;;18;54.0;11;27.0;0;0.0;8.5

25j;Akeret Benno;*;;;;;;;;;35.5
o;;;Oertig Dominik;*;;;;;;;8.5
o;5;8.5;Koch Thomas;;13;55.25;1;10.0;-4;1.5;8.5
o;11;17.0;Blaser Niklas;;19;53.75;6;18.25;-5;1.25;8.5
+;16;25.5;Bommer Christoph;;26;35.25;12;26.75;-4;1.25;10.0

25k;Flütsch Marco (1999);;;;;;;;;;35.5
o;;;Thiemann Fabrice;;;;;;;;8.5
o;5;8.5;Hostettler Roman;;19;53.75;5;8.5;0;0.0;8.5
+;11;17.0;Bommer Joel;;29;34.0;11;17.0;0;0.0;9.75
-;12;26.75;Rieser Fabian;;25;35.5;12;26.75;0;0.0;8.75

25l;Rüegger Remo (1999);;;;;;;;;;35.5
o;;;Inauen Aurel;;;;;;;;8.5
+;5;8.5;Grob Janik;;26;35.25;5;8.5;0;0.0;10.0
o;5;18.5;Oertle Daniel;;15;54.75;10;17.25;5;-1.25;8.5
o;11;27.0;Schönenberger Philipp;;14;55.0;12;26.75;1;-0.25;8.5

25m;Tritten Robin (1998);;;;;;;;;;35.5
+;;;Grob Janik;;;;;;;;10.0
o;1;10.0;Beck Dominik;;14;55.0;1;10.0;0;0.0;8.5
o;5;18.5;Brügger Stefan;*;16;54.5;10;17.25;5;-1.25;8.5
o;11;27.0;Furrer Matthias;;19;53.75;11;27.0;0;0.0;8.5

25n;Küng Christian (2000);;;;;;;;;;35.5
o;;;Burkhard Roger;;;;;;;;8.75
+;4;8.75;Dudli Gallus;;29;34.0;5;8.5;1;-0.25;9.75
o;5;18.5;Holenstein Christian;*;16;54.5;10;17.25;5;-1.25;8.5
o;11;27.0;Marty Jaime (2000);;16;54.5;11;27.0;0;0.0;8.5

25o;Vogel Beat;*;;;;;;;;;35.5
o;;;Kuster Marcel;**;;;;;;;8.5
o;5;8.5;Wittenwiler Roman (1998);;11;55.75;2;9.75;-3;1.25;8.5
+;11;17.0;Odermatt Michi;;22;53.0;5;18.5;-6;1.5;9.75
-;12;26.75;Oertle Daniel;;15;54.75;10;27.25;-2;0.5;8.75

25p;Schlegel Sämi (2000);;;;;;;;;;35.5
o;;;Fuster Sepp;;;;;;;;8.5
+;5;8.5;Schäfli Severin;;23;52.75;5;8.5;0;0.0;9.75
o;6;18.25;Wey Nicola;*;12;55.5;10;17.25;4;-1.0;8.5
-;12;26.75;Horner Sämi;;20;53.5;11;27.0;-1;0.25;8.75

25q;Kleinberger Alex;;;;;;;;;;35.5
-;;;Hälg Joel (1998);;;;;;;;8.75
o;4;8.75;Frei Dominic;;26;35.25;5;8.5;1;-0.25;8.5
+;10;17.25;Grob Krischan (1999);;29;34.0;11;17.0;1;-0.25;9.75
o;11;27.0;Blaser Jan;*;18;54.0;11;27.0;0;0.0;8.5

26a;Vogel Simon (2000);;;;;;;;;;35.25
o;;;Weber Erwin (2000);;;;;;;;8.5
o;5;8.5;Furrer Matthias;;19;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Müller Elias;;25;35.5;11;17.0;0;0.0;8.5
+;16;25.5;Dudli Gallus;;29;34.0;16;25.5;0;0.0;9.75

26b;Aerne Christian;;;;;;;;;;35.25
+;;;Stäger Janis;;;;;;;;9.75
o;2;9.75;Odermatt Martin;*;24;35.75;4;8.75;2;-1.0;8.5
o;6;18.25;Fässler Patrick;;17;54.25;6;18.25;0;0.0;8.5
o;12;26.75;Bernold Michael (1999);;14;55.0;11;27.0;-1;0.25;8.5

26c;Hämmerli Gian-Franco;*;;;;;;;;;35.25
o;;;Nägeli Marco;*;;;;;;;8.5
+;5;8.5;Pfleghart Remo;;16;54.5;2;9.75;-3;1.25;9.75
o;6;18.25;Schneider Domenic;**;5;57.25;5;18.5;-1;0.25;8.5
o;12;26.75;Biäsch Christian;;20;53.5;12;26.75;0;0.0;8.5

26d;Burkhard Roger;;;;;;;;;;35.25
+;;;Küng Christian (2000);;;;;;;;9.75
o;2;9.75;Notz Hans;*;16;54.5;5;8.5;3;-1.25;8.5
o;6;18.25;Hungerbühler Marcel;;12;55.5;6;18.25;0;0.0;8.5
o;12;26.75;Wolfer Lukas;;12;55.5;11;27.0;-1;0.25;8.5

26e;Tremp Remo (1999);;;;;;;;;;35.25
+;;;Knup Stephan;;;;;;;;9.75
o;2;9.75;Brand Andreas;*;13;55.25;4;8.75;2;-1.0;8.5
o;6;18.25;Vogel Thomas;;13;55.25;5;18.5;-1;0.25;8.5
o;12;26.75;Hostettler Roman;;19;53.75;12;26.75;0;0.0;8.5

26f;Mathys David;;;;;;;;;;35.25
o;;;Pfleghart Remo;;;;;;;;8.5
o;5;8.5;Biäsch Christian;;20;53.5;5;8.5;0;0.0;8.5
+;11;17.0;Grob Janik;;26;35.25;11;17.0;0;0.0;9.75
o;12;26.75;Gubler Daniel;;14;55.0;12;26.75;0;0.0;8.5

26g;Grob Janik;;;;;;;;;;35.25
o;;;Tritten Robin (1998);;;;;;;;8.5
o;5;8.5;Rüegger Remo (1999);;25;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Mathys David;;26;35.25;11;17.0;0;0.0;8.5
+;16;25.5;Bommer Joel;;29;34.0;16;25.5;0;0.0;9.75

26h;Frei Dominic;;;;;;;;;;35.25
o;;;Raymann David;;;;;;;;8.5
+;5;8.5;Kleinberger Alex;;25;35.5;4;8.75;-1;0.25;9.75
o;6;18.25;Freuler Franz;**;9;56.25;9;17.5;3;-0.75;8.5
o;12;26.75;Blaser Gian (1998);;17;54.25;11;27.0;-1;0.25;8.5

26i;Bommer Christoph;;;;;;;;;;35.25
o;;;Koch Thomas;;;;;;;;8.5
o;5;8.5;Blaser Gian (1998);;17;54.25;5;8.5;0;0.0;8.5
+;11;17.0;Gaccioli Benjamin;;29;34.0;11;17.0;0;0.0;9.75
o;12;26.75;Akeret Benno;*;25;35.5;16;25.5;4;-1.25;8.5

27a;Keller Werner;;;;;;;;;;34.5
-;;;Schweingruber Thomas;;;;;;;;8.75
o;4;8.75;Straub Paul;;25;35.5;5;8.5;1;-0.25;8.5
o;10;17.25;Alder Armin;;21;53.25;9;17.5;-1;0.25;8.5
o;15;25.75;Oettli Silvio (2000);;16;54.5;14;26.0;-1;0.25;8.75

28a;Koller Valentin;;;;;;;;;;34.25
o;;;Gartmann Mauro;;;;;;;;8.5
o;5;8.5;Trümpy Simon (1998);;17;54.25;5;8.5;0;0.0;8.5
o;11;17.0;Heierli Pascal (1999);;22;53.0;10;17.25;-1;0.25;8.75
o;15;25.75;Poltera Andrin (1999);;21;53.25;13;26.25;-2;0.5;8.5

29a;Grob Krischan (1999);;;;;;;;;;34.0
o;;;Marty Jaime (2000);;;;;;;;8.5
o;5;8.5;Horner Sämi;;20;53.5;5;8.5;0;0.0;8.5
o;11;17.0;Kleinberger Alex;;25;35.5;10;17.25;-1;0.25;8.5
o;16;25.5;Hälg Joel (1998);;20;53.5;13;26.25;-3;0.75;8.5

29b;Gaccioli Benjamin;;;;;;;;;;34.0
o;;;Beck Dominik;;;;;;;;8.5
o;5;8.5;Blaser Niklas;;19;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Bommer Christoph;;26;35.25;11;17.0;0;0.0;8.5
o;16;25.5;Schwager Mike (2000);;25;35.5;16;25.5;0;0.0;8.5

29c;Peter Simon;;;;;;;;;;34.0
o;;;Truniger Manuel;;;;;;;;8.5
o;5;8.5;Knup Stephan;;25;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Schäfli Severin;;23;52.75;11;17.0;0;0.0;8.5
o;16;25.5;Stäger Janis;;25;35.5;16;25.5;0;0.0;8.5

29d;Dudli Gallus;;;;;;;;;;34.0
o;;;Salnajs Leo (1998);;;;;;;;8.5
o;5;8.5;Küng Christian (2000);;25;35.5;4;8.75;-1;0.25;8.5
o;11;17.0;Schwager Ivo;;17;54.25;10;17.25;-1;0.25;8.5
o;16;25.5;Vogel Simon (2000);;26;35.25;16;25.5;0;0.0;8.5

29e;Bommer Joel;;;;;;;;;;34.0
o;;;Schönenberger Philipp;;;;;;;;8.5
o;5;8.5;Tanner Adrian;;18;54.0;2;9.75;-3;1.25;8.5
o;11;17.0;Flütsch Marco (1999);;25;35.5;11;17.0;0;0.0;8.5
o;16;25.5;Grob Janik;;26;35.25;16;25.5;0;0.0;8.5

30a;Huber Pascal;*;;;;;;;;;27.0
+;;;Näf Pius;*;;;;;;;10.0
o;1;10.0;Steiner Michael;**;7;56.75;1;10.0;0;0.0;8.5
o;5;18.5;Wittenwiler Roman (1998);;11;55.75;2;19.75;-3;1.25;8.5

