4404-2019-05-12_Zuercher_Kantonalschwingfest-ST

1a;Leuppi Samir;**;;;;;;;;;58.25
+;5;8.5;Vontobel Florian (2001);;27;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Kunz Daniel;*;16;54.0;6;18.5;0;0.0;9.75
o;6;28.25;Räbsamen Marcel;;3;57.25;5;28.5;-1;0.25;8.5
o;9;36.75;Blaser Christian;*;10;55.5;8;37.0;-1;0.25;8.5
+;14;45.25;Sieber Marc;;17;53.75;14;45.25;0;0.0;10.0

11d;Forster Christian;;;;;;;;;;55.25
+;;;Galli Cedric (2001);;;;;;;;10.0
o;1;10.0;Zbinden Marc;*;4;57.0;4;8.75;3;-1.25;8.5
o;6;18.5;Arztmann Beda;*;4;57.0;6;18.5;0;0.0;8.5
+;11;27.0;Laager Michael (2001);;22;35.5;11;27.0;0;0.0;9.75
o;9;36.75;Kobler Janosch;;10;55.5;9;36.75;0;0.0;8.5
+;14;45.25;Grimm Michael;;17;53.75;14;45.25;0;0.0;10.0

11e;Dändliker Shane;**;;;;;;;;;55.25
+;;;Fejzaj Naim;**;;;;;;;10.0
-;1;10.0;Notz Beni;***;10;55.5;4;8.75;3;-1.25;8.75
-;5;18.75;Räbsamen Marcel;;3;57.25;3;19.5;-2;0.75;9.0
-;8;27.75;Giger Urs;*;11;55.25;8;27.75;0;0.0;9.0
o;9;36.75;Pianta Christian;;6;56.5;4;38.0;-5;1.25;8.5
+;14;45.25;Ackermann Rico (2003);;16;54.0;13;45.5;-1;0.25;10.0

11f;Brunner Timon;;;;;;;;;;55.25
+;;;Lüthi Manuel (2003);;;;;;;;9.75
o;2;9.75;Schnurrenberger Roman;**;8;56.0;4;8.75;2;-1.0;8.5
+;7;18.25;Pallaoro Luca;;26;34.25;10;17.25;3;-1.0;10.0
o;6;28.25;Schmid Patrick;*;12;55.0;8;27.75;2;-0.5;8.5
o;9;36.75;Keller Andreas;*;6;56.5;9;36.75;0;0.0;8.5
+;14;45.25;Hänni Marc (2001);;17;53.75;14;45.25;0;0.0;10.0

11g;Martin Tobias (2001);;;;;;;;;;55.25
+;;;Maglia Leo;;;;;;;;9.75
o;2;9.75;Buchmann Michael;;9;55.75;1;10.0;-1;0.25;8.75
o;6;18.5;Wittenwiler Roman;*;12;55.0;7;18.25;1;-0.25;8.5
+;11;27.0;Dändliker Hansheinrich;;22;35.5;11;27.0;0;0.0;10.0
o;8;37.0;Koller Fabian;*;13;54.75;10;36.5;2;-0.5;8.5
+;13;45.5;Bollier Fabian;;16;54.0;13;45.5;0;0.0;9.75

11h;Burkhalter Stefan;***;;;;;;;;;55.25
-;;;Roth Martin;**;;;;;;;8.75
-;4;8.75;Wey Nicola;*;3;57.25;1;10.0;-3;1.25;8.75
-;9;17.5;Egli Martin;;15;54.25;6;18.5;-3;1.0;9.0
+;13;26.5;Kammermann Thomas;*;7;56.25;7;28.0;-6;1.5;10.0
+;10;36.5;Bickel Roman;*;6;56.5;4;38.0;-6;1.5;10.0
-;9;46.5;Wickli Beat;**;10;55.5;8;46.75;-1;0.25;8.75

11i;Rhyner Beni;;;;;;;;;;55.25
o;;;Bollhalder Manuel (2001);;;;;;;;8.5
+;5;8.5;Knabe Robert;;25;34.5;5;8.5;0;0.0;10.0
o;6;18.5;Koller Fabian;*;13;54.75;11;17.0;5;-1.5;8.5
+;11;27.0;Spörndli Cyril (2003);;22;35.5;11;27.0;0;0.0;9.75
+;9;36.75;Galli Cedric (2001);;12;55.0;9;36.75;0;0.0;10.0
o;8;46.75;Funk Nicola;*;6;56.5;8;46.75;0;0.0;8.5

11j;Giger Urs;*;;;;;;;;;55.25
-;;;Schäppi Urs;*;;;;;;;8.75
-;4;8.75;Rotach Lars;;14;54.5;2;9.75;-2;1.0;9.0
+;8;17.75;Dändliker Hansheinrich;;22;35.5;6;18.5;-2;0.75;10.0
-;8;27.75;Dändliker Shane;**;11;55.25;8;27.75;0;0.0;9.0
+;9;36.75;Betschart Patrick;*;12;55.0;9;36.75;0;0.0;10.0
o;8;46.75;Räbsamen Marcel;;3;57.25;5;47.5;-3;0.75;8.5

12a;Kirchmeier Christof;;;;;;;;;;55.0
+;;;Biser Niklaus;;;;;;;;9.75
o;2;9.75;Blaser Christian;*;10;55.5;5;8.5;3;-1.25;8.5
o;7;18.25;Nock Benjamin (2001);;5;56.75;7;18.25;0;0.0;8.5
+;12;26.75;Frei Felix (2003);;23;35.25;12;26.75;0;0.0;9.75
o;10;36.5;Hauser Simon;;13;54.75;10;36.5;0;0.0;8.5
+;15;45.0;Buff Alwin;;18;53.5;15;45.0;0;0.0;10.0

12b;Hari Michi;;;;;;;;;;55.0
-;;;Egli Martin;;;;;;;;8.75
-;4;8.75;Lüthi Manuel (2003);;22;35.5;5;8.5;1;-0.25;8.75
+;9;17.5;Zemp Stefan (2002);;27;34.0;11;17.0;2;-0.5;10.0
+;9;27.5;Heierli Pascal;*;25;34.5;15;26.0;6;-1.5;9.75
-;7;37.25;Krähenbühl Lukas;*;13;54.75;7;37.25;0;0.0;8.75
-;11;46.0;Inauen Andreas;*;13;54.75;12;45.75;1;-0.25;9.0

12c;Schmid Patrick;*;;;;;;;;;55.0
-;;;Bernold Michael;*;;;;;;;9.0
+;3;9.0;Furrer Matthias;;18;53.5;2;9.75;-1;0.75;10.0
-;4;19.0;Kindlimann Fabian;***;7;56.25;5;18.75;1;-0.25;8.75
+;8;27.75;Brunner Timon;;11;55.25;6;28.25;-2;0.5;10.0
-;5;37.75;Gmür Pirmin;**;8;56.0;7;37.25;2;-0.5;8.75
o;9;46.5;Baumann Rico;*;6;56.5;8;46.75;-1;0.25;8.5

12d;Burkhard Tobias;;;;;;;;;;55.0
+;;;Klauser Guido;;;;;;;;9.75
+;2;9.75;Tobler Pius (2001);;20;52.75;1;10.0;-1;0.25;9.75
o;3;19.5;Hugelshofer Lars (2001);*;9;55.75;6;18.5;3;-1.0;8.5
o;7;28.0;Arnold Christian;;12;55.0;6;28.25;-1;0.25;8.5
+;10;36.5;Horner Sämi;;12;55.0;10;36.5;0;0.0;9.75
o;10;46.25;Oertle Daniel;*;7;56.25;10;46.25;0;0.0;8.75

12e;Galli Cedric (2001);;;;;;;;;;55.0
o;;;Forster Christian;;;;;;;;8.5
+;5;8.5;Tschudi Mario (2001);;15;54.25;4;8.75;-1;0.25;9.75
o;7;18.25;Schwyn Adrian;*;15;54.25;11;17.0;4;-1.25;8.75
+;11;27.0;Kiser Michael;;22;35.5;11;27.0;0;0.0;9.75
o;9;36.75;Rhyner Beni;;11;55.25;9;36.75;0;0.0;8.5
+;14;45.25;Giger Lorenz;;17;53.75;14;45.25;0;0.0;9.75

12f;Betschart Patrick;*;;;;;;;;;55.0
o;;;Leuppi Samir;**;;;;;;;8.5
o;5;8.5;Räbsamen Marcel;;3;57.25;2;9.75;-3;1.25;8.5
+;11;17.0;Studerus Jan (2002);;23;35.25;7;18.25;-4;1.25;10.0
+;11;27.0;Schwyn Patrick;;12;55.0;7;28.0;-4;1.0;9.75
o;9;36.75;Giger Urs;*;11;55.25;9;36.75;0;0.0;8.5
+;14;45.25;Notz Armin;*;16;54.0;13;45.5;-1;0.25;9.75

12g;Arnold Christian;;;;;;;;;;55.0
+;;;Käppeli Remo (2001);;;;;;;;9.75
+;2;9.75;Ackermann Remo;*;29;17.25;4;8.75;2;-1.0;10.0
o;2;19.75;Gwerder Andreas;**;10;55.5;6;18.5;4;-1.25;8.5
+;6;28.25;Burkhard Tobias;;12;55.0;7;28.0;1;-0.25;9.75
o;4;38.0;Zbinden Marc;*;4;57.0;8;37.0;4;-1.0;8.5
o;9;46.5;Schneider Mario;**;5;56.75;8;46.75;-1;0.25;8.5

12h;Horner Sämi;;;;;;;;;;55.0
+;;;Danner Daniel;;;;;;;;9.75
o;2;9.75;Waser Reto;*;9;55.75;5;8.5;3;-1.25;8.5
+;7;18.25;Baumgartner Ramon (2002);;10;55.5;7;18.25;0;0.0;9.75
o;7;28.0;Bickel Roman;*;6;56.5;7;28.0;0;0.0;8.5
o;10;36.5;Burkhard Tobias;;12;55.0;10;36.5;0;0.0;8.5
+;15;45.0;Furrer Matthias;;18;53.5;15;45.0;0;0.0;10.0

12i;Frauenfelder Florian (2001);;;;;;;;;;55.0
o;;;Büchler Livio (2001);;;;;;;;8.5
+;5;8.5;Stadelmann Valentin;;20;52.75;4;8.75;-1;0.25;9.75
o;7;18.25;Schmid Gian (2003);;13;54.75;7;18.25;0;0.0;8.5
+;12;26.75;Schnyder Christian;;26;34.25;16;25.75;4;-1.0;10.0
o;9;36.75;Notz Armin;*;16;54.0;13;35.75;4;-1.0;8.5
+;14;45.25;Tobler Pius (2001);;20;52.75;18;44.25;4;-1.0;9.75

12j;Plüer Fabian (2003);;;;;;;;;;55.0
+;;;Schmid Gian (2003);;;;;;;;9.75
o;2;9.75;Schudel Simon;*;7;56.25;5;8.5;3;-1.25;8.5
o;7;18.25;Furrer Matthias;;18;53.5;7;18.25;0;0.0;8.5
+;12;26.75;Maglia Leo;;23;35.25;12;26.75;0;0.0;9.75
+;10;36.5;Fuster Arjuna (2003);;19;53.25;12;36.0;2;-0.5;10.0
o;9;46.5;Bickel Roman;*;6;56.5;9;46.5;0;0.0;8.5

12k;Schwyn Patrick;;;;;;;;;;55.0
+;;;Knecht Remo (2002);;;;;;;;9.75
+;2;9.75;Hauser Simon;;13;54.75;2;9.75;0;0.0;9.75
o;3;19.5;Riget Ivan;*;15;54.25;6;18.5;3;-1.0;8.5
o;7;28.0;Betschart Patrick;*;12;55.0;11;27.0;4;-1.0;8.5
+;10;36.5;Grimm Michael;;17;53.75;10;36.5;0;0.0;10.0
o;9;46.5;Marty Jaime;*;8;56.0;10;46.25;1;-0.25;8.5

12l;Wittenwiler Roman;*;;;;;;;;;55.0
o;;;Wickli Beat;**;;;;;;;8.5
+;5;8.5;Bürgler Patrick;;21;35.75;1;10.0;-4;1.5;9.75
+;7;18.25;Martin Tobias (2001);;11;55.25;6;18.5;-1;0.25;10.0
o;6;28.25;Notz Beni;***;10;55.5;10;27.25;4;-1.0;8.5
+;9;36.75;Egli Martin;;15;54.25;8;37.0;-1;0.25;9.75
o;9;46.5;Bernold Michael;*;6;56.5;9;46.5;0;0.0;8.5

12m;Inauen Aurel;;;;;;;;;;55.0
o;;;Räbsamen Marcel;;;;;;;;8.5
+;5;8.5;Steiner Joel;;16;54.0;4;8.75;-1;0.25;9.75
-;7;18.25;Heierli Pascal;*;25;34.5;10;17.25;3;-1.0;8.75
+;11;27.0;Wingeier Janik;;22;35.5;11;27.0;0;0.0;9.75
o;9;36.75;Landolt Reto;*;11;55.25;8;37.0;-1;0.25;8.5
+;14;45.25;Odermatt Michi;;17;53.75;14;45.25;0;0.0;9.75

13a;Schmid Gian (2003);;;;;;;;;;54.75
+;;;Tresch Luca (2002);;;;;;;;9.75
o;2;9.75;Plüer Fabian (2003);;12;55.0;2;9.75;0;0.0;8.5
+;7;18.25;Frauenfelder Florian (2001);;12;55.0;7;18.25;0;0.0;9.75
o;7;28.0;Inauen Andreas;*;13;54.75;5;28.5;-2;0.5;8.5
+;10;36.5;Buff Alwin;;18;53.5;10;36.5;0;0.0;9.75
o;10;46.25;Rüegg Patrick;;8;56.0;10;46.25;0;0.0;8.5

13b;Inauen Andreas;*;;;;;;;;;54.75
+;;;Koller Fabian;*;;;;;;;10.0
o;1;10.0;Kindlimann Fabian;***;7;56.25;4;8.75;3;-1.25;8.5
+;6;18.5;Schmid Gian (2003);;13;54.75;7;18.25;1;-0.25;10.0
o;5;28.5;Arztmann Beda;*;4;57.0;5;28.5;0;0.0;8.5
-;8;37.0;Straub Robin;*;14;54.5;8;37.0;0;0.0;8.75
-;12;45.75;Hari Michi;;12;55.0;11;46.0;-1;0.25;9.0

13c;Krähenbühl Lukas;*;;;;;;;;;54.75
+;;;Keller Andreas;*;;;;;;;9.75
-;2;9.75;Schlegel Werner (2002);*;7;56.25;3;9.0;1;-0.75;8.75
+;6;18.5;Buchmann Michael;;9;55.75;2;19.75;-4;1.25;10.0
-;5;28.5;Wey Nicola;*;3;57.25;4;28.75;-1;0.25;8.75
-;7;37.25;Hari Michi;;12;55.0;7;37.25;0;0.0;8.75
-;11;46.0;Alder Armin;*;14;54.5;12;45.75;1;-0.25;8.75

13d;Knecht Remo (2002);;;;;;;;;;54.75
o;;;Schwyn Patrick;;;;;;;;8.5
+;5;8.5;Gamper Gian (2001);;27;34.0;5;8.5;0;0.0;9.75
-;7;18.25;Blaser Andre;;16;54.0;7;18.25;0;0.0;9.0
o;10;27.25;Schläpfer Matthias;*;14;54.5;10;27.25;0;0.0;8.5
+;13;35.75;Stadelmann Valentin;;20;52.75;13;35.75;0;0.0;10.0
-;12;45.75;Leuppi Karim;*;14;54.5;13;45.5;1;-0.25;9.0

13e;Koller Fabian;*;;;;;;;;;54.75
o;;;Inauen Andreas;*;;;;;;;8.5
o;5;8.5;Bärtsch Fabian;;10;55.5;2;9.75;-3;1.25;8.5
+;11;17.0;Rhyner Beni;;11;55.25;6;18.5;-5;1.5;9.75
+;12;26.75;Lüthi Manuel (2003);;22;35.5;11;27.0;-1;0.25;9.75
+;10;36.5;Martin Tobias (2001);;11;55.25;8;37.0;-2;0.5;9.75
o;10;46.25;Kindlimann Fabian;***;7;56.25;10;46.25;0;0.0;8.5

13f;Hauser Simon;;;;;;;;;;54.75
+;;;Steiner Lukas (2002);;;;;;;;9.75
o;2;9.75;Schwyn Patrick;;12;55.0;2;9.75;0;0.0;8.5
o;7;18.25;Aerne Christian;*;19;53.25;9;17.5;2;-0.75;8.5
+;12;26.75;Studerus Jan (2002);;23;35.25;12;26.75;0;0.0;9.75
+;10;36.5;Kirchmeier Christof;;12;55.0;10;36.5;0;0.0;9.75
o;10;46.25;Schudel Simon;*;7;56.25;10;46.25;0;0.0;8.5

14a;Schäppi Urs;*;;;;;;;;;54.5
-;;;Giger Urs;*;;;;;;;8.75
+;4;8.75;Baumgartner Ramon (2002);;10;55.5;2;9.75;-2;1.0;10.0
o;5;18.75;Rychen Roger;***;4;57.0;10;17.25;5;-1.5;8.5
+;10;27.25;Bucher Roman (2003);;15;54.25;10;27.25;0;0.0;10.0
-;7;37.25;Bernold Michael;*;6;56.5;5;37.75;-2;0.5;8.75
o;11;46.0;Bollhalder Manuel (2001);;9;55.75;11;46.0;0;0.0;8.5

14b;Alder Armin;*;;;;;;;;;54.5
+;;;Leuppi Karim;*;;;;;;;10.0
o;1;10.0;Burkhard Patrick;*;10;55.5;2;9.75;1;-0.25;8.5
-;6;18.5;Keller Lukas;;14;54.5;6;18.5;0;0.0;8.75
+;10;27.25;Stadelmann Valentin;;20;52.75;10;27.25;0;0.0;10.0
o;7;37.25;Schläpfer Markus;**;10;55.5;9;36.75;2;-0.5;8.5
-;12;45.75;Krähenbühl Lukas;*;13;54.75;11;46.0;-1;0.25;8.75

14c;Zumbach Michael;;;;;;;;;;54.5
o;;;Schmidlin Tobias (2001);;;;;;;;8.75
o;4;8.75;Fässler Michael;;15;54.25;5;8.5;1;-0.25;8.5
+;10;17.25;Bucher Roland;;22;35.5;10;17.25;0;0.0;9.75
-;11;27.0;Bürgler Patrick;;21;35.75;11;27.0;0;0.0;8.75
+;13;35.75;Tobler Pius (2001);;20;52.75;13;35.75;0;0.0;10.0
-;12;45.75;Riget Ivan;*;15;54.25;13;45.5;1;-0.25;8.75

14d;Rotach Lars;;;;;;;;;;54.5
+;;;Kammermann Thomas;*;;;;;;;9.75
-;2;9.75;Giger Urs;*;11;55.25;4;8.75;2;-1.0;9.0
+;5;18.75;Bürgler Patrick;;21;35.75;6;18.5;1;-0.25;9.75
o;5;28.5;Schmidlin Tobias (2001);;4;57.0;5;28.5;0;0.0;8.75
-;7;37.25;Riget Ivan;*;15;54.25;9;36.75;2;-0.5;8.75
o;11;46.0;Schnurrenberger Roman;**;8;56.0;11;46.0;0;0.0;8.5

14e;Wetter Silvan;;;;;;;;;;54.5
-;;;Straub Paul;;;;;;;;8.75
+;4;8.75;Schnyder Christian;;26;34.25;4;8.75;0;0.0;10.0
-;5;18.75;Oertle Daniel;*;7;56.25;9;17.5;4;-1.25;8.75
+;9;27.5;Aerne Christian;*;19;53.25;10;27.25;1;-0.25;9.75
o;7;37.25;Arnold Marcel;*;9;55.75;7;37.25;0;0.0;8.5
-;12;45.75;Straub Robin;*;14;54.5;12;45.75;0;0.0;8.75

14f;Straub Robin;*;;;;;;;;;54.5
+;;;Blaser Christian;*;;;;;;;10.0
-;1;10.0;Lehmann Philipp;*;5;56.75;1;10.0;0;0.0;8.75
+;5;18.75;Kiser Michael;;22;35.5;6;18.5;1;-0.25;9.75
o;5;28.5;Kindlimann Fabian;***;7;56.25;9;27.5;4;-1.0;8.5
-;8;37.0;Inauen Andreas;*;13;54.75;8;37.0;0;0.0;8.75
-;12;45.75;Wetter Silvan;;14;54.5;12;45.75;0;0.0;8.75

14g;Keller Lukas;;;;;;;;;;54.5
-;;;Schuler Martin;;;;;;;;8.75
+;4;8.75;Steiner Lukas (2002);;23;35.25;5;8.5;1;-0.25;9.75
-;6;18.5;Alder Armin;*;14;54.5;6;18.5;0;0.0;8.75
-;10;27.25;Bollhalder Manuel (2001);;9;55.75;9;27.5;-1;0.25;8.75
+;12;36.0;Steiner Joel;;16;54.0;13;35.75;1;-0.25;9.75
-;12;45.75;Schwyn Adrian;*;15;54.25;13;45.5;1;-0.25;8.75

14h;Leuppi Karim;*;;;;;;;;;54.5
o;;;Alder Armin;*;;;;;;;8.5
+;5;8.5;Zehnder Mario;;23;35.25;2;9.75;-3;1.25;9.75
-;7;18.25;Tobler Pius (2001);;20;52.75;6;18.5;-1;0.25;8.75
+;11;27.0;Blaser Andre;;16;54.0;10;27.25;-1;0.25;9.75
-;9;36.75;Schwyn Adrian;*;15;54.25;9;36.75;0;0.0;8.75
-;13;45.5;Knecht Remo (2002);;13;54.75;12;45.75;-1;0.25;9.0

14i;Schläpfer Matthias;*;;;;;;;;;54.5
-;;;Riget Ivan;*;;;;;;;8.75
+;4;8.75;Landolt Cla;;22;35.5;1;10.0;-3;1.25;10.0
o;5;18.75;Krähenbühl Tobias;***;3;57.25;5;18.75;0;0.0;8.5
+;10;27.25;Knecht Remo (2002);;13;54.75;10;27.25;0;0.0;10.0
-;7;37.25;Rüegg Patrick;;8;56.0;6;37.5;-1;0.25;8.75
o;11;46.0;Gmür Pirmin;**;8;56.0;11;46.0;0;0.0;8.5

15a;Kiener Raphael;;;;;;;;;;54.25
o;;;Schiesser Patrik;;;;;;;;8.75
-;4;8.75;Falch Urs (2001);;25;34.5;5;8.5;1;-0.25;8.75
+;9;17.5;Tresch Luca (2002);;22;35.5;11;17.0;2;-0.5;9.75
o;10;27.25;Schlegel Reto;*;9;55.75;10;27.25;0;0.0;8.5
o;13;35.75;Straub Paul;;11;55.25;13;35.75;0;0.0;8.5
+;18;44.25;Stadelmann Valentin;;20;52.75;18;44.25;0;0.0;10.0

15b;Egli Martin;;;;;;;;;;54.25
-;;;Hari Michi;;;;;;;;8.75
+;4;8.75;Bucher Roman (2003);;15;54.25;4;8.75;0;0.0;9.75
-;6;18.5;Burkhalter Stefan;***;11;55.25;9;17.5;3;-1.0;8.75
+;10;27.25;Straub Paul;;11;55.25;10;27.25;0;0.0;9.75
o;8;37.0;Wittenwiler Roman;*;12;55.0;9;36.75;1;-0.25;8.5
-;13;45.5;Aerne Christian;*;19;53.25;17;44.5;4;-1.0;8.75

15c;Fässler Michael;;;;;;;;;;54.25
o;;;Nock Benjamin (2001);;;;;;;;8.5
+;5;8.5;Zumbach Michael;;14;54.5;4;8.75;-1;0.25;10.0
o;6;18.5;Kammermann Thomas;*;7;56.25;7;18.25;1;-0.25;8.5
+;11;27.0;Käppeli Remo (2001);;22;35.5;11;27.0;0;0.0;10.0
-;8;37.0;Kunz Daniel;*;16;54.0;9;36.75;1;-0.25;8.75
o;12;45.75;Schuler Martin;;10;55.5;12;45.75;0;0.0;8.5

15d;Bucher Roman (2003);;;;;;;;;;54.25
-;;;Tschudi Mario (2001);;;;;;;;8.75
o;4;8.75;Egli Martin;;15;54.25;4;8.75;0;0.0;8.5
+;10;17.25;Gamper Gian (2001);;27;34.0;11;17.0;1;-0.25;10.0
o;10;27.25;Schäppi Urs;*;14;54.5;10;27.25;0;0.0;8.5
+;13;35.75;Anliker Andri (2003);;20;52.75;13;35.75;0;0.0;10.0
o;12;45.75;Schlegel Reto;*;9;55.75;12;45.75;0;0.0;8.5

15e;Schwyn Adrian;*;;;;;;;;;54.25
o;;;Bickel Roman;*;;;;;;;8.5
o;5;8.5;Odermatt Michi;;17;53.75;2;9.75;-3;1.25;8.5
+;11;17.0;Galli Cedric (2001);;12;55.0;7;18.25;-4;1.25;9.75
+;12;26.75;Scherrer Pascal;;23;35.25;12;26.75;0;0.0;10.0
-;9;36.75;Leuppi Karim;*;14;54.5;9;36.75;0;0.0;8.75
-;13;45.5;Keller Lukas;;14;54.5;12;45.75;-1;0.25;8.75

15f;Riget Ivan;*;;;;;;;;;54.25
-;;;Schläpfer Matthias;*;;;;;;;8.75
+;4;8.75;Fejzaj Naim;**;29;17.25;5;8.5;1;-0.25;9.75
+;6;18.5;Schwyn Patrick;;12;55.0;3;19.5;-3;1.0;9.75
o;6;28.25;Good Marco;*;6;56.5;5;28.5;-1;0.25;8.5
-;9;36.75;Rotach Lars;;14;54.5;7;37.25;-2;0.5;8.75
-;13;45.5;Zumbach Michael;;14;54.5;12;45.75;-1;0.25;8.75

15g;Tschudi Mario (2001);;;;;;;;;;54.25
-;;;Bucher Roman (2003);;;;;;;;8.75
o;4;8.75;Galli Cedric (2001);;12;55.0;5;8.5;1;-0.25;8.5
+;10;17.25;Biser Niklaus;;22;35.5;11;17.0;1;-0.25;10.0
o;10;27.25;Lehmann Philipp;*;5;56.75;10;27.25;0;0.0;8.5
+;13;35.75;Blaser Andre;;16;54.0;13;35.75;0;0.0;10.0
o;12;45.75;Waser Reto;*;9;55.75;12;45.75;0;0.0;8.5

16a;Notz Armin;*;;;;;;;;;54.0
o;;;Wey Nicola;*;;;;;;;8.75
+;4;8.75;Buff Alwin;;18;53.5;2;9.75;-2;1.0;9.75
o;6;18.5;Lanter Christian;;3;57.25;1;20.0;-5;1.5;8.5
-;11;27.0;Nock Benjamin (2001);;5;56.75;7;28.0;-4;1.0;8.75
+;13;35.75;Frauenfelder Florian (2001);;12;55.0;9;36.75;-4;1.0;9.75
o;13;45.5;Betschart Patrick;*;12;55.0;14;45.25;1;-0.25;8.5

16b;Ackermann Rico (2003);;;;;;;;;;54.0
+;;;Knabe Robert;;;;;;;;9.75
o;2;9.75;Schlegel Reto;*;9;55.75;4;8.75;2;-1.0;8.5
-;7;18.25;Schiesser Patrik;;22;35.5;7;18.25;0;0.0;8.75
+;11;27.0;Baumgartner Björn (2003);;22;35.5;11;27.0;0;0.0;9.75
-;9;36.75;Stähli Jan;;16;54.0;9;36.75;0;0.0;8.75
o;13;45.5;Dändliker Shane;**;11;55.25;14;45.25;1;-0.25;8.5

16c;Stähli Jan;;;;;;;;;;54.0
+;;;Spörndli Cyril (2003);;;;;;;;9.75
o;2;9.75;Keller Andreas;*;6;56.5;5;8.5;3;-1.25;8.5
+;7;18.25;Zehnder Mario;;23;35.25;7;18.25;0;0.0;10.0
o;6;28.25;Burkhard Patrick;*;10;55.5;6;28.25;0;0.0;8.5
-;9;36.75;Ackermann Rico (2003);;16;54.0;9;36.75;0;0.0;8.75
o;13;45.5;Bärtsch Fabian;;10;55.5;13;45.5;0;0.0;8.5

16d;Steiner Joel;;;;;;;;;;54.0
-;;;Wingeier Janik;;;;;;;;8.75
o;4;8.75;Inauen Aurel;;12;55.0;5;8.5;1;-0.25;8.75
+;9;17.5;Falch Urs (2001);;25;34.5;10;17.25;1;-0.25;9.75
o;10;27.25;Blaser Christian;*;10;55.5;10;27.25;0;0.0;8.5
o;13;35.75;Keller Lukas;;14;54.5;12;36.0;-1;0.25;8.5
+;18;44.25;Fuster Arjuna (2003);;19;53.25;16;44.75;-2;0.5;9.75

16e;Bollier Fabian;;;;;;;;;;54.0
o;;;Buchmann Michael;;;;;;;;8.5
+;5;8.5;Zimmermann Amir;;27;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Wickli Beat;**;10;55.5;7;18.25;1;-0.25;8.5
+;11;27.0;Landolt Cla;;22;35.5;11;27.0;0;0.0;10.0
o;8;37.0;Kammermann Thomas;*;7;56.25;10;36.5;2;-0.5;8.5
o;13;45.5;Martin Tobias (2001);;11;55.25;13;45.5;0;0.0;8.5

16f;Blaser Andre;;;;;;;;;;54.0
o;;;Grimm Michael;;;;;;;;8.5
+;5;8.5;Fuster Arjuna (2003);;19;53.25;4;8.75;-1;0.25;9.75
-;7;18.25;Knecht Remo (2002);;13;54.75;7;18.25;0;0.0;9.0
o;10;27.25;Leuppi Karim;*;14;54.5;11;27.0;1;-0.25;8.5
o;13;35.75;Tschudi Mario (2001);;15;54.25;13;35.75;0;0.0;8.5
+;18;44.25;Anliker Andri (2003);;20;52.75;18;44.25;0;0.0;9.75

16g;Kunz Daniel;*;;;;;;;;;54.0
+;;;Heierli Pascal;*;;;;;;;9.75
o;2;9.75;Schudel Simon;*;7;56.25;5;8.5;3;-1.25;8.75
o;6;18.5;Junker Nik;;11;55.25;6;18.5;0;0.0;8.5
+;11;27.0;Schiesser Patrik;;22;35.5;11;27.0;0;0.0;9.75
-;9;36.75;Fässler Michael;;15;54.25;8;37.0;-1;0.25;8.75
o;13;45.5;Baumgartner Ramon (2002);;10;55.5;13;45.5;0;0.0;8.5

17a;Odermatt Michi;;;;;;;;;;53.75
+;;;Falch Urs (2001);;;;;;;;9.75
+;2;9.75;Schwyn Adrian;*;15;54.25;5;8.5;3;-1.25;9.75
o;3;19.5;Funk Nicola;*;6;56.5;6;18.5;3;-1.0;8.5
o;7;28.0;Ammann Rico;*;9;55.75;5;28.5;-2;0.5;8.5
-;10;36.5;Giger Lorenz;;17;53.75;10;36.5;0;0.0;8.75
o;14;45.25;Inauen Aurel;;12;55.0;14;45.25;0;0.0;8.5

17b;Grimm Michael;;;;;;;;;;53.75
+;;;Blaser Andre;;;;;;;;9.75
o;2;9.75;Hugelshofer Lars (2001);*;9;55.75;5;8.5;3;-1.25;8.5
+;7;18.25;Schnyder Christian;;26;34.25;10;17.25;3;-1.0;9.75
o;7;28.0;Marty Jaime;*;8;56.0;8;27.75;1;-0.25;8.5
o;10;36.5;Schwyn Patrick;;12;55.0;10;36.5;0;0.0;8.75
o;14;45.25;Forster Christian;;11;55.25;14;45.25;0;0.0;8.5

17c;Sieber Marc;;;;;;;;;;53.75
+;;;Siegenthaler Joël (2003);;;;;;;;9.75
o;2;9.75;Elmer Daniel;*;8;56.0;4;8.75;2;-1.0;8.5
+;7;18.25;Bader Sandro (2002);;23;35.25;7;18.25;0;0.0;10.0
o;6;28.25;Oettli Marco;*;5;56.75;6;28.25;0;0.0;8.5
o;9;36.75;Buchmann Michael;;9;55.75;8;37.0;-1;0.25;8.5
o;14;45.25;Junker Nik;;11;55.25;14;45.25;0;0.0;8.5

17d;Giger Lorenz;;;;;;;;;;53.75
+;;;Furrer Damian;;;;;;;;9.75
o;2;9.75;Good Marco;*;6;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Buff Alwin;;18;53.5;7;18.25;0;0.0;9.75
o;7;28.0;Waser Reto;*;9;55.75;11;27.0;4;-1.0;8.5
-;10;36.5;Odermatt Michi;;17;53.75;10;36.5;0;0.0;8.75
o;14;45.25;Galli Cedric (2001);;12;55.0;14;45.25;0;0.0;8.5

