4404-2019-05-12_Zuercher_Kantonalschwingfest-ST

1a;Leuppi Samir;**;;;;;;;;;58.25
+;4;28.75;Lanter Christian;;3;57.25;1;30.0;-3;1.25;9.75
-;2;38.5;Leuppi Samir;**;1;58.25;1;39.5;-1;1.0;8.75
+;6;47.25;Elmer Daniel;*;8;56.0;5;47.5;-1;0.25;10.0

4a;Arztmann Beda;*;;;;;;;;;57.0
+;;;Hugelshofer Lars (2001);*;;;;;;;9.75
-;2;9.75;Forrer Arnold;***;28;26.25;4;8.75;2;-1.0;8.75
+;6;18.5;Forster Christian;;11;55.25;6;18.5;0;0.0;10.0
+;5;28.5;Inauen Andreas;*;13;54.75;5;28.5;0;0.0;9.75
o;3;38.25;Oettli Marco;*;5;56.75;3;38.25;0;0.0;8.75
+;7;47.0;Landolt Reto;*;11;55.25;8;46.75;1;-0.25;10.0

4b;Vollenweider Jeremy;*;;;;;;;;;57.0
+;;;Riget Florian;*;;;;;;;10.0
-;1;10.0;Gmür Pirmin;**;8;56.0;4;8.75;3;-1.25;8.75
+;5;18.75;Laager Michael (2001);;22;35.5;6;18.5;1;-0.25;10.0
-;4;28.75;Schneider Domenic;***;2;57.5;3;29.0;-1;0.25;8.75
+;6;37.5;Schlegel Werner (2002);*;7;56.25;5;37.75;-1;0.25;9.75
+;6;47.25;Arnold Marcel;*;9;55.75;6;47.25;0;0.0;9.75

4c;Zbinden Marc;*;;;;;;;;;57.0
-;;;Gmür Pirmin;**;;;;;;;8.75
+;4;8.75;Forster Christian;;11;55.25;1;10.0;-3;1.25;10.0
+;5;18.75;Landolt Reto;*;11;55.25;6;18.5;1;-0.25;9.75
o;5;28.5;Rychen Roger;***;4;57.0;10;27.25;5;-1.25;8.5
+;8;37.0;Arnold Christian;;12;55.0;4;38.0;-4;1.0;10.0
+;7;47.0;Rhyner Michael;**;9;55.75;6;47.25;-1;0.25;10.0

4d;Schmidlin Tobias (2001);;;;;;;;;;57.0
+;;;Zumbach Michael;;;;;;;;10.0
+;1;10.0;Aerne Christian;*;19;53.25;4;8.75;3;-1.25;10.0
o;1;20.0;Roth Martin;**;9;55.75;6;18.5;5;-1.5;8.5
+;5;28.5;Rotach Lars;;14;54.5;5;28.5;0;0.0;10.0
o;2;38.5;Notz Beni;***;10;55.5;8;37.0;6;-1.5;8.5
+;7;47.0;Buchmann Michael;;9;55.75;7;47.0;0;0.0;10.0

4e;Rychen Roger;***;;;;;;;;;57.0
-;;;Krähenbühl Tobias;***;;;;;;;8.75
o;4;8.75;Rhyner Michael;**;9;55.75;1;10.0;-3;1.25;8.5
+;10;17.25;Schäppi Urs;*;14;54.5;5;18.75;-5;1.5;10.0
+;10;27.25;Zbinden Marc;*;4;57.0;5;28.5;-5;1.25;10.0
+;7;37.25;Ammann Rico;*;9;55.75;3;38.25;-4;1.0;10.0
+;6;47.25;Oettli Marco;*;5;56.75;2;48.25;-4;1.0;9.75

5a;Lehmann Philipp;*;;;;;;;;;56.75
+;;;Baumann Rico;*;;;;;;;10.0
-;1;10.0;Straub Robin;*;14;54.5;1;10.0;0;0.0;8.75
o;5;18.75;Ammann Rico;*;9;55.75;5;18.75;0;0.0;8.5
+;10;27.25;Tschudi Mario (2001);;15;54.25;10;27.25;0;0.0;10.0
+;7;37.25;Schuler Martin;;10;55.5;7;37.25;0;0.0;9.75
+;7;47.0;Kobler Janosch;;10;55.5;8;46.75;1;-0.25;9.75

5b;Schneider Mario;**;;;;;;;;;56.75
+;;;Schläpfer Markus;**;;;;;;;9.75
o;2;9.75;Leuppi Samir;**;1;58.25;1;10.0;-1;0.25;8.5
+;7;18.25;Bollhalder Manuel (2001);;9;55.75;4;19.0;-3;0.75;10.0
o;6;28.25;Roth Martin;**;9;55.75;6;28.25;0;0.0;8.5
