2986-2017-08-13_110_Nordwestschweizer_Schwingfest-ST

1a;Hersche Martin;***;;;;;;;;;59.0
-;8;46.5;Bader Andreas;**;11;55.5;7;46.75;-1;0.25;8.75

12i;Krebs Clemens;;;;;;;;;;55.25
+;;;Brugger Jonas (1999);;;;;;;;9.75
o;2;9.75;Schär Simon;*;12;55.25;4;8.75;2;-1.0;8.5
o;7;18.25;Widmer Tobias;**;7;56.75;5;18.75;-2;0.5;8.75
+;11;27.0;Reinhard Pirmin (2001);;27;35.5;11;27.0;0;0.0;10.0
+;8;37.0;Lisser Beat;;15;54.5;7;37.25;-1;0.25;9.75
o;7;46.75;Schmid David;***;10;55.75;10;46.0;3;-0.75;8.5

12j;Stegmüller Klemens;*;;;;;;;;;55.25
o;;;Hügli Kaj;*;;;;;;;8.5
o;5;8.5;Mangold Michael;*;6;57.0;1;10.0;-4;1.5;8.5
+;11;17.0;Anderegg David;*;11;55.5;10;17.25;-1;0.25;10.0
+;11;27.0;Büchi Christian;;13;55.0;6;28.25;-5;1.25;9.75
+;9;36.75;Roth Christian;;18;53.75;9;36.75;0;0.0;10.0
o;7;46.75;Döbeli Lukas (2000);*;6;57.0;6;47.0;-1;0.25;8.5

12k;Schär Simon;*;;;;;;;;;55.25
-;;;Nyffeler Christoph;*;;;;;;;8.75
o;4;8.75;Thoenen Henryc;**;6;57.0;4;8.75;0;0.0;8.5
+;10;17.25;Krebs Clemens;;12;55.25;7;18.25;-3;1.0;9.75
+;11;27.0;Streich Sascha (2001);;27;35.5;11;27.0;0;0.0;9.75
+;9;36.75;Bachmann Sämi (2001);;12;55.25;9;36.75;0;0.0;10.0
o;7;46.75;Erb Roger;**;4;57.5;4;47.5;-3;0.75;8.5

12l;Mangold Martin;;;;;;;;;;55.25
-;;;Voggensperger Lars (2001);;;;;;;;8.75
+;4;8.75;Burkhardt Roy;;27;35.5;5;8.5;1;-0.25;9.75
-;6;18.5;Scherrer Johann;**;27;35.5;11;17.0;5;-1.5;8.75
o;10;27.25;Hauri Urs;**;13;55.0;13;26.5;3;-0.75;8.5
+;13;35.75;Lehmann Robin (1999);;26;44.0;14;35.5;1;-0.25;9.75
+;12;45.5;Widmer Cyrill;*;17;54.0;12;45.5;0;0.0;9.75

13a;Brügger Cyrill;;;;;;;;;;55.0
+;;;Kaspar Jan (1999);;;;;;;;10.0
o;1;10.0;Strebel Joel;**;8;56.5;2;9.75;1;-0.25;8.5
o;6;18.5;Schaffner Samuel;**;12;55.25;6;18.5;0;0.0;8.5
+;11;27.0;Meyer Stefan;;27;35.5;11;27.0;0;0.0;9.75
+;9;36.75;Reimann Marco;;12;55.25;9;36.75;0;0.0;9.75
o;8;46.5;Klausner Yanick;**;8;56.5;8;46.5;0;0.0;8.5

13b;Hauri Urs;**;;;;;;;;;55.0
-;;;Döbeli Andreas;*;;;;;;;9.0
-;3;9.0;Hügli Kaj;*;6;57.0;1;10.0;-2;1.0;8.75
-;8;17.75;Widmer David;;13;55.0;4;19.0;-4;1.25;8.75
+;13;26.5;Mangold Martin;;12;55.25;10;27.25;-3;0.75;10.0
+;10;36.5;Kaspar Jan (1999);;18;53.75;9;36.75;-1;0.25;10.0
o;8;46.5;Schurtenberger Sven;***;6;57.0;6;47.0;-2;0.5;8.5

13c;Büchi Christian;;;;;;;;;;55.0
+;;;Regenass Reto (2000);;;;;;;;10.0
o;1;10.0;Studer Remo;;11;55.5;2;9.75;1;-0.25;8.5
+;6;18.5;Büttler Adrian (1999);;11;55.5;6;18.5;0;0.0;9.75
o;6;28.25;Stegmüller Klemens;*;12;55.25;11;27.0;5;-1.25;8.5
+;9;36.75;Nyffeler Christoph;*;14;54.75;11;36.25;2;-0.5;9.75
o;8;46.5;Imobersteg Matthias (2001);;8;56.5;8;46.5;0;0.0;8.5

13d;Ris Jörn;;;;;;;;;;55.0
o;;;Brügger Joël (2000);;;;;;;;8.5
+;5;8.5;Kramer Lukas (2001);;30;34.25;5;8.5;0;0.0;10.0
+;6;18.5;Burtschi Michael;;30;34.25;10;17.25;4;-1.25;9.75
o;6;28.25;Lang Martin;**;22;45.5;11;27.0;5;-1.25;8.5
+;9;36.75;Nyffenegger Florian (2001);;18;53.75;9;36.75;0;0.0;9.75
o;8;46.5;Strebel Joel;**;8;56.5;8;46.5;0;0.0;8.5

13e;Winiger Fabian;**;;;;;;;;;55.0
-;;;Waldner Patrick;**;;;;;;;8.75
-;4;8.75;Bruder Adrian;;16;54.25;1;10.0;-3;1.25;8.75
+;9;17.5;Brugger Jonas (1999);;27;35.5;10;17.25;1;-0.25;10.0
-;9;27.5;Lisser Beat;;15;54.5;6;28.25;-3;0.75;9.0
+;10;36.5;Wiedmer Yannick;;17;54.0;8;37.0;-2;0.5;10.0
o;8;46.5;Thoenen Henryc;**;6;57.0;5;47.25;-3;0.75;8.5

13f;Bieri Florian (2001);;;;;;;;;;55.0
o;;;Nussbaumer Gabriel;;;;;;;;8.5
+;5;8.5;Zagarella Davide (1999);;30;34.25;5;8.5;0;0.0;9.75
+;7;18.25;Regenass Reto (2000);;29;34.5;9;17.5;2;-0.75;9.75
o;7;28.0;Brun Samuel (1999);**;9;56.0;9;27.5;2;-0.5;8.5
+;10;36.5;Seiser Kay-Steve (2000);;25;44.25;13;35.75;3;-0.75;10.0
o;8;46.5;Kuster Marcel;***;7;56.75;7;46.75;-1;0.25;8.5

13g;Widmer David;;;;;;;;;;55.0
+;;;Wiedmer Yannick;;;;;;;;10.0
-;1;10.0;Stoll Thomas;;15;54.5;1;10.0;0;0.0;9.0
-;4;19.0;Hauri Urs;**;13;55.0;8;17.75;4;-1.25;8.75
o;8;27.75;Studer Remo;;11;55.5;6;28.25;-2;0.5;8.5
+;11;36.25;Nussbaumer Gabriel;;12;55.25;10;36.5;-1;0.25;10.0
o;9;46.25;Waldner Patrick;**;11;55.5;12;45.5;3;-0.75;8.75

14a;Nyffeler Christoph;*;;;;;;;;;54.75
-;;;Schär Simon;*;;;;;;;8.75
o;4;8.75;Widmer Tobias;**;7;56.75;4;8.75;0;0.0;8.5
+;10;17.25;Kaspar Jan (1999);;18;53.75;6;18.5;-4;1.25;10.0
-;10;27.25;Räber Lukas;;10;55.75;6;28.25;-4;1.0;9.0
o;11;36.25;Büchi Christian;;13;55.0;9;36.75;-2;0.5;8.75
+;14;45.0;Aerni Lars;;15;54.5;10;46.0;-4;1.0;9.75

15a;Siegrist Christian;*;;;;;;;;;54.5
-;;;Widmer Cyrill;*;;;;;;;8.75
+;4;8.75;Lisser Beat;;15;54.5;1;10.0;-3;1.25;9.75
-;6;18.5;Grossmann Andreas;;16;54.25;2;19.75;-4;1.25;8.75
+;10;27.25;Nyffenegger Florian (2001);;18;53.75;6;28.25;-4;1.0;10.0
o;7;37.25;Henzer Andreas;**;9;56.0;6;37.5;-1;0.25;8.5
-;11;45.75;Odermatt Adrian (2001);*;15;54.5;11;45.75;0;0.0;8.75

15b;Lisser Beat;;;;;;;;;;54.5
+;;;Ritter Andreas;;;;;;;;10.0
o;1;10.0;Siegrist Christian;*;15;54.5;4;8.75;3;-1.25;8.5
+;6;18.5;Furrer Mathias;;28;35.25;7;18.25;1;-0.25;9.75
-;6;28.25;Winiger Fabian;**;13;55.0;9;27.5;3;-0.75;9.0
o;7;37.25;Krebs Clemens;;12;55.25;8;37.0;1;-0.25;8.75
o;10;46.0;Rüegger Aaron (1999);;10;55.75;10;46.0;0;0.0;8.5

15c;Probst Gabriel;**;;;;;;;;;54.5
o;;;Schmid Samuel;**;;;;;;;8.5
-;5;8.5;Schwenkfelder Lukas;;25;44.25;4;8.75;-1;0.25;8.75
-;10;17.25;Aerni Lars;;15;54.5;6;18.5;-4;1.25;8.75
+;15;26.0;Brack Simon;;27;35.5;11;27.0;-4;1.0;10.0
o;12;36.0;Steger Robert;;15;54.5;12;36.0;0;0.0;8.5
+;16;44.5;Lehmann Robin (1999);;26;44.0;18;44.0;2;-0.5;10.0

15d;Odermatt Adrian (2001);*;;;;;;;;;54.5
+;;;Küng Marco;*;;;;;;;9.75
o;2;9.75;Alpiger Nick;***;5;57.25;5;8.5;3;-1.25;8.5
+;7;18.25;Reinhard Pirmin (2001);;27;35.5;6;18.5;-1;0.25;9.75
-;7;28.0;Schmutz Simon (2000);;9;56.0;5;28.5;-2;0.5;9.0
-;8;37.0;Bieli Andreas;;12;55.25;5;38.0;-3;1.0;8.75
-;11;45.75;Siegrist Christian;*;15;54.5;11;45.75;0;0.0;8.75

15e;Aerni Lars;;;;;;;;;;54.5
o;;;Schmutz Simon (2000);;;;;;;;8.5
+;5;8.5;Eggenschwiler Fabian;;28;35.25;5;8.5;0;0.0;10.0
-;6;18.5;Probst Gabriel;**;15;54.5;10;17.25;4;-1.25;8.75
o;10;27.25;Imobersteg Matthias (2001);;8;56.5;7;28.0;-3;0.75;8.75
+;12;36.0;Schopferer Cyril (2000);;20;53.0;13;35.75;1;-0.25;10.0
o;10;46.0;Nyffeler Christoph;*;14;54.75;14;45.0;4;-1.0;8.5

15f;Voggensperger Lars (2001);;;;;;;;;;54.5
-;;;Mangold Martin;;;;;;;;8.75
+;4;8.75;Meyer Stefan;;27;35.5;1;10.0;-3;1.25;10.0
+;5;18.75;Hermann Oliver;*;27;35.5;10;17.25;5;-1.5;9.75
o;5;28.5;Borcard Johann;**;9;56.0;9;27.5;4;-1.0;8.75
-;7;37.25;Räber Lukas;;10;55.75;7;37.25;0;0.0;8.75
o;10;46.0;Anderegg David;*;11;55.5;12;45.5;2;-0.5;8.5

15g;Stoll Thomas;;;;;;;;;;54.5
+;;;Körkel Yannik;;;;;;;;10.0
-;1;10.0;Widmer David;;13;55.0;1;10.0;0;0.0;8.75
o;5;18.75;Klausner Yanick;**;8;56.5;7;18.25;2;-0.5;8.5
o;10;27.25;Eggen Markus;;11;55.5;11;27.0;1;-0.25;8.5
-;13;35.75;Graber Colin;;24;44.5;13;35.75;0;0.0;8.75
+;16;44.5;Roth Christian;;18;53.75;13;45.25;-3;0.75;10.0

15h;Steger Robert;;;;;;;;;;54.5
-;;;Probst Stefan;;;;;;;;8.75
-;4;8.75;Schopferer Cyril (2000);;20;53.0;5;8.5;1;-0.25;8.75
-;9;17.5;Niggli Andreas;;30;34.25;11;17.0;2;-0.5;8.75
+;14;26.25;Regenass Reto (2000);;29;34.5;15;26.0;1;-0.25;9.75
+;12;36.0;Probst Gabriel;**;15;54.5;12;36.0;0;0.0;10.0
o;10;46.0;Brun Samuel (1999);**;9;56.0;10;46.0;0;0.0;8.5

16a;Läuchli Janik (2000);;;;;;;;;;54.25
+;;;Streich Sascha (2001);;;;;;;;9.75
+;2;9.75;Lisser Daniel;*;11;55.5;4;8.75;2;-1.0;10.0
o;2;19.75;Schurtenberger Sven;***;6;57.0;5;18.75;3;-1.0;8.5
o;6;28.25;Bieli Andreas;;12;55.25;6;28.25;0;0.0;8.5
o;9;36.75;Büttler Gian (2000);;12;55.25;9;36.75;0;0.0;8.75
-;12;45.5;Grossmann Andreas;;16;54.25;12;45.5;0;0.0;8.75

16b;Gerber Andrj (2000);*;;;;;;;;;54.25
-;;;Hermann Oliver;*;;;;;;;8.75
o;4;8.75;Bieri Christoph;***;7;56.75;5;8.5;1;-0.25;8.5
o;10;17.25;Döbeli Andreas;*;9;56.0;8;17.75;-2;0.5;8.5
+;16;25.75;Probst Stefan;;27;35.5;11;27.0;-5;1.25;10.0
o;13;35.75;Bearda Samuel;;8;56.5;8;37.0;-5;1.25;8.5
+;17;44.25;Kaspar Jan (1999);;18;53.75;13;45.25;-4;1.0;10.0

16c;Grossmann Andreas;;;;;;;;;;54.25
+;;;Loosli Adrian;;;;;;;;9.75
+;2;9.75;Bearda Samuel;;8;56.5;4;8.75;2;-1.0;10.0
-;2;19.75;Siegrist Christian;*;15;54.5;6;18.5;4;-1.25;8.75
o;5;28.5;Hügli Kaj;*;6;57.0;4;28.75;-1;0.25;8.5
o;8;37.0;Steinmann Yves;*;10;55.75;8;37.0;0;0.0;8.5
-;12;45.5;Läuchli Janik (2000);;16;54.25;12;45.5;0;0.0;8.75
o;16;54.25;Lisser Daniel;*;11;55.5;11;55.5;-5;1.25;0.0

16d;Bruder Adrian;;;;;;;;;;54.25
+;;;Müller Jan;;;;;;;;10.0
-;1;10.0;Winiger Fabian;**;13;55.0;4;8.75;3;-1.25;8.75
o;5;18.75;Döbeli Lukas (2000);*;6;57.0;7;18.25;2;-0.5;8.5
+;10;27.25;Müller Christian;;27;35.5;11;27.0;1;-0.25;10.0
o;7;37.25;Schmutz Simon (2000);;9;56.0;6;37.5;-1;0.25;8.5
o;11;45.75;Räber Lukas;;10;55.75;10;46.0;-1;0.25;8.5

17a;Arnold Kornel;*;;;;;;;;;54.0
o;;;Stoll Simon;*;;;;;;;8.5
+;5;8.5;Dobler Florian;;11;55.5;2;9.75;-3;1.25;9.75
-;7;18.25;Schillig Willi;**;29;34.5;11;17.0;4;-1.25;8.75
+;11;27.0;Bachmann Sämi (2001);;12;55.25;6;28.25;-5;1.25;10.0
-;8;37.0;Studer Remo;;11;55.5;4;38.25;-4;1.25;8.75
o;11;45.75;Kramer Lario;**;9;56.0;10;46.0;-1;0.25;8.25

17b;Wiedmer Yannick;;;;;;;;;;54.0
o;;;Widmer David;;;;;;;;8.5
+;5;8.5;Loosli Adrian;;28;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Schmid David;***;10;55.75;5;18.75;-1;0.25;8.5
+;11;27.0;Meyer Lukas (2001);;28;35.25;12;26.75;1;-0.25;10.0
o;8;37.0;Winiger Fabian;**;13;55.0;10;36.5;2;-0.5;8.5
o;12;45.5;Eggen Markus;;11;55.5;12;45.5;0;0.0;8.5

17c;Widmer Cyrill;*;;;;;;;;;54.0
-;;;Siegrist Christian;*;;;;;;;8.75
+;4;8.75;Rüegger Aaron (1999);;10;55.75;1;10.0;-3;1.25;10.0
o;5;18.75;Borcard Johann;**;9;56.0;8;17.75;3;-1.0;8.5
o;10;27.25;Bearda Samuel;;8;56.5;10;27.25;0;0.0;8.5
+;13;35.75;Müller Simon;;10;55.75;7;37.25;-6;1.5;9.75
o;12;45.5;Mangold Martin;;12;55.25;12;45.5;0;0.0;8.5

18a;Kaspar Jan (1999);;;;;;;;;;53.75
o;;;Brügger Cyrill;;;;;;;;8.5
+;5;8.5;Seiser Kay-Steve (2000);;25;44.25;5;8.5;0;0.0;10.0
o;6;18.5;Nyffeler Christoph;*;14;54.75;10;17.25;4;-1.25;8.5
+;11;27.0;Huber Pascal;;27;35.5;11;27.0;0;0.0;9.75
o;9;36.75;Hauri Urs;**;13;55.0;10;36.5;1;-0.25;8.5
o;13;45.25;Gerber Andrj (2000);*;16;54.25;17;44.25;4;-1.0;8.5

18b;Gisin Yanic;;;;;;;;;;53.75
o;;;Reimann Marco;;;;;;;;8.5
+;5;8.5;Körkel Yannik;;27;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Burren Patrick (1999);;19;53.5;7;18.25;0;0.0;8.5
+;12;26.75;Furrer Mathias;;28;35.25;12;26.75;0;0.0;10.0
o;9;36.75;Anderegg David;*;11;55.5;13;35.75;4;-1.0;8.5
o;13;45.25;Büttler Adrian (1999);;11;55.5;11;45.75;-2;0.5;8.5

18c;Nyffenegger Florian (2001);;;;;;;;;;53.75
+;;;Peterhans Alex (2000);;;;;;;;10.0
+;1;10.0;Lehmann Robin (1999);;26;44.0;2;9.75;1;-0.25;9.75
o;2;19.75;Schmutz Adrian;*;11;55.5;6;18.5;4;-1.25;8.5
o;6;28.25;Siegrist Christian;*;15;54.5;10;27.25;4;-1.0;8.5
o;9;36.75;Ris Jörn;;13;55.0;9;36.75;0;0.0;8.5
o;13;45.25;Brügger Joël (2000);;12;55.25;13;45.25;0;0.0;8.5

18d;Roth Christian;;;;;;;;;;53.75
o;;;Imobersteg Matthias (2001);;;;;;;;8.5
+;5;8.5;Niggli Andreas;;30;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Lisser Daniel;*;11;55.5;10;17.25;4;-1.25;8.5
+;11;27.0;Ritter Andreas;;27;35.5;11;27.0;0;0.0;9.75
o;9;36.75;Stegmüller Klemens;*;12;55.25;9;36.75;0;0.0;8.5
o;13;45.25;Stoll Thomas;;15;54.5;16;44.5;3;-0.75;8.5

19a;Burren Patrick (1999);;;;;;;;;;53.5
+;;;Nussbaumer Dominik;;;;;;;;9.75
o;2;9.75;Brügger Joël (2000);;12;55.25;2;9.75;0;0.0;8.5
+;7;18.25;Gisin Yanic;;18;53.75;7;18.25;0;0.0;9.75
o;7;28.0;Klausner Yanick;**;8;56.5;6;28.25;-1;0.25;8.5
o;10;36.5;Schmutz Adrian;*;11;55.5;8;37.0;-2;0.5;8.5
o;14;45.0;Borcard Johann;**;9;56.0;9;46.25;-5;1.25;8.5

20a;Schopferer Cyril (2000);;;;;;;;;;53.0
o;;;Räber Lukas;;;;;;;;8.5
-;5;8.5;Steger Robert;;15;54.5;4;8.75;-1;0.25;8.75
+;10;17.25;Müller Jan;;27;35.5;10;17.25;0;0.0;10.0
o;10;27.25;Schwenkfelder Lukas;;25;44.25;10;27.25;0;0.0;8.5
o;13;35.75;Aerni Lars;;15;54.5;12;36.0;-1;0.25;8.5
-;17;44.25;Jusufi Ilber;;23;44.75;15;44.75;-2;0.5;8.75

20b;Vogt Patrick (1999);;;;;;;;;;53.0
-;;;Vogel Remo (2001);;;;;;;;9.0
o;3;9.0;Meier Fabian;;27;35.5;5;8.5;2;-0.5;8.5
o;9;17.5;Bearda Samuel;;8;56.5;10;17.25;1;-0.25;8.5
+;15;26.0;Peterhans Alex (2000);;29;34.5;15;26.0;0;0.0;10.0
o;12;36.0;Kramer Lario;**;9;56.0;12;36.0;0;0.0;8.5
o;16;44.5;Müller Simon;;10;55.75;11;45.75;-5;1.25;8.5

21a;Siebenpfund Joshua;;;;;;;;;;52.75
o;;;Müller Christian;;;;;;;;8.5
-;5;8.5;Müller Jan;;27;35.5;5;8.5;0;0.0;8.75
+;10;17.25;Peterhans Alex (2000);;29;34.5;9;17.5;-1;0.25;10.0
o;10;27.25;Döbeli Andreas;*;9;56.0;9;27.5;-1;0.25;8.5
o;13;35.75;Rüegger Aaron (1999);;10;55.75;12;36.0;-1;0.25;8.5
o;17;44.25;Reimann Marco;;12;55.25;13;45.25;-4;1.0;8.5

21b;Vogel Remo (2001);;;;;;;;;;52.75
-;;;Vogt Patrick (1999);;;;;;;;9.0
+;3;9.0;Sempach Beat (1999);;30;34.25;5;8.5;2;-0.5;9.75
o;5;18.75;Bader Andreas;**;11;55.5;7;18.25;2;-0.5;8.5
o;10;27.25;Stoll Simon;*;10;55.75;6;28.25;-4;1.0;8.5
o;13;35.75;Büttler Adrian (1999);;11;55.5;13;35.75;0;0.0;8.5
o;17;44.25;Bachmann Sämi (2001);;12;55.25;13;45.25;-4;1.0;8.5

22a;Lang Martin;**;;;;;;;;;45.5
o;;;Dobler Florian;;;;;;;;8.5
o;5;8.5;Thürig Mario;***;6;57.0;5;8.5;0;0.0;8.5
+;11;17.0;Ris Jörn;;13;55.0;6;18.5;-5;1.5;10.0
+;11;27.0;Lisser Daniel;*;11;55.5;10;27.25;-1;0.25;9.75
o;9;36.75;Bieri Christoph;***;7;56.75;8;37.0;-1;0.25;8.75

23a;Jusufi Ilber;;;;;;;;;;44.75
+;;;Sempach Beat (1999);;;;;;;;10.0
-;1;10.0;Waldner Patrick;**;11;55.5;4;8.75;3;-1.25;8.75
o;5;18.75;Brun Samuel (1999);**;9;56.0;9;17.5;4;-1.25;8.5
-;10;27.25;Dobler Florian;;11;55.5;6;28.25;-4;1.0;8.75
-;12;36.0;Schopferer Cyril (2000);;20;53.0;13;35.75;1;-0.25;8.75

24a;Graber Colin;;;;;;;;;;44.5
o;;;Studer Remo;;;;;;;;8.5
-;5;8.5;Burkart Simon;;27;35.5;5;8.5;0;0.0;8.75
+;10;17.25;Probst Stefan;;27;35.5;10;17.25;0;0.0;9.75
-;11;27.0;Schillig Willi;**;29;34.5;16;25.75;5;-1.25;8.75
-;13;35.75;Stoll Thomas;;15;54.5;13;35.75;0;0.0;8.75

25a;Schwenkfelder Lukas;;;;;;;;;;44.25
-;;;Probst Gabriel;**;;;;;;;8.75
o;4;8.75;Waldner Patrick;**;11;55.5;4;8.75;0;0.0;8.5
+;10;17.25;Schopferer Cyril (2000);;20;53.0;10;17.25;0;0.0;10.0
o;10;27.25;Kropf Marcel;**;6;57.0;5;28.5;-5;1.25;8.5
o;13;35.75;Nussbaumer Gabriel;;12;55.25;10;36.5;-3;0.75;8.5

25b;Seiser Kay-Steve (2000);;;;;;;;;;44.25
o;;;Meyer Lukas (2001);;;;;;;;8.5
o;5;8.5;Kaspar Jan (1999);;18;53.75;5;8.5;0;0.0;8.5
+;11;17.0;Zagarella Davide (1999);;30;34.25;11;17.0;0;0.0;10.0
-;11;27.0;Meier Fabian;;27;35.5;12;26.75;1;-0.25;8.75
o;13;35.75;Bieri Florian (2001);;13;55.0;10;36.5;-3;0.75;8.5

26a;Lehmann Robin (1999);;;;;;;;;;44.0
+;;;Burkhardt Roy;;;;;;;;9.75
o;2;9.75;Nyffenegger Florian (2001);;18;53.75;1;10.0;-1;0.25;8.75
o;6;18.5;Stoll Simon;*;10;55.75;7;18.25;1;-0.25;8.5
o;11;27.0;Mangold Martin;;12;55.25;10;27.25;-1;0.25;8.5
o;14;35.5;Probst Gabriel;**;15;54.5;12;36.0;-2;0.5;8.5

27a;Scherrer Johann;**;;;;;;;;;35.5
o;;;Steinmann Yves;*;;;;;;;8.5
o;5;8.5;Räber Lukas;;10;55.75;2;9.75;-3;1.25;8.5
-;11;17.0;Mangold Martin;;12;55.25;6;18.5;-5;1.5;8.75
+;16;25.75;Körkel Yannik;;27;35.5;11;27.0;-5;1.25;9.75

27b;Hermann Oliver;*;;;;;;;;;35.5
-;;;Gerber Andrj (2000);*;;;;;;;8.75
o;4;8.75;Bader Andreas;**;11;55.5;5;8.5;1;-0.25;8.5
o;10;17.25;Voggensperger Lars (2001);;15;54.5;5;18.75;-5;1.5;8.5
+;16;25.75;Burkhardt Roy;;27;35.5;11;27.0;-5;1.25;9.75

27c;Burkart Simon;;;;;;;;;;35.5
o;;;Jusufi Azret;;;;;;;;8.5
-;5;8.5;Graber Colin;;24;44.5;5;8.5;0;0.0;8.75
o;10;17.25;Anderegg David;*;11;55.5;10;17.25;0;0.0;8.5
+;16;25.75;Huber Fabian;;32;25.75;16;25.75;0;0.0;9.75

27d;Huber Pascal;;;;;;;;;;35.5
+;;;Zagarella Davide (1999);;;;;;;;10.0
o;1;10.0;Schmutz Simon (2000);;9;56.0;1;10.0;0;0.0;8.5
o;6;18.5;Kropf Marcel;**;6;57.0;6;18.5;0;0.0;8.5
o;11;27.0;Kaspar Jan (1999);;18;53.75;11;27.0;0;0.0;8.5

27e;Brugger Jonas (1999);;;;;;;;;;35.5
o;;;Krebs Clemens;;;;;;;;8.5
-;5;8.5;Streich Sascha (2001);;27;35.5;5;8.5;0;0.0;8.75
o;10;17.25;Winiger Fabian;**;13;55.0;9;17.5;-1;0.25;8.5
+;16;25.75;Burtschi Michael;;30;34.25;16;25.75;0;0.0;9.75

27f;Müller Christian;;;;;;;;;;35.5
+;;;Siebenpfund Joshua;;;;;;;;9.75
o;2;9.75;Bieli Andreas;;12;55.25;1;10.0;-1;0.25;8.5
-;7;18.25;Sempach Beat (1999);;30;34.25;11;17.0;4;-1.25;8.75
o;11;27.0;Bruder Adrian;;16;54.25;10;27.25;-1;0.25;8.5

27g;Reinhard Pirmin (2001);;;;;;;;;;35.5
o;;;Büttler Gian (2000);;;;;;;;8.5
+;5;8.5;Nussbaumer Dominik;;31;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Odermatt Adrian (2001);*;15;54.5;7;18.25;1;-0.25;8.5
o;11;27.0;Krebs Clemens;;12;55.25;11;27.0;0;0.0;8.5

27h;Brack Simon;;;;;;;;;;35.5
o;;;Eggen Markus;;;;;;;;8.5
-;5;8.5;Ritter Andreas;;27;35.5;5;8.5;0;0.0;8.75
+;10;17.25;Tschan Raphael (2000);;30;34.25;10;17.25;0;0.0;9.75
o;11;27.0;Probst Gabriel;**;15;54.5;15;26.0;4;-1.0;8.5

27i;Körkel Yannik;;;;;;;;;;35.5
o;;;Stoll Thomas;;;;;;;;8.5
o;5;8.5;Gisin Yanic;;18;53.75;5;8.5;0;0.0;8.5
+;11;17.0;Eggenschwiler Fabian;;28;35.25;11;17.0;0;0.0;10.0
o;11;27.0;Scherrer Johann;**;27;35.5;16;25.75;5;-1.25;8.5

27j;Probst Stefan;;;;;;;;;;35.5
-;;;Steger Robert;;;;;;;;8.75
o;4;8.75;Graber Colin;;24;44.5;5;8.5;1;-0.25;8.5
+;10;17.25;Meyer Lukas (2001);;28;35.25;7;18.25;-3;1.0;9.75
o;11;27.0;Gerber Andrj (2000);*;16;54.25;16;25.75;5;-1.25;8.5

27k;Meyer Stefan;;;;;;;;;;35.5
+;;;Niggli Andreas;;;;;;;;10.0
o;1;10.0;Voggensperger Lars (2001);;15;54.5;4;8.75;3;-1.25;8.5
o;6;18.5;Henzer Andreas;**;9;56.0;6;18.5;0;0.0;8.5
o;11;27.0;Brügger Cyrill;;13;55.0;11;27.0;0;0.0;8.5

27l;Müller Jan;;;;;;;;;;35.5
o;;;Bruder Adrian;;;;;;;;8.5
-;5;8.5;Siebenpfund Joshua;;21;52.75;5;8.5;0;0.0;8.75
o;10;17.25;Schopferer Cyril (2000);;20;53.0;10;17.25;0;0.0;8.5
+;16;25.75;Sempach Beat (1999);;30;34.25;16;25.75;0;0.0;9.75

27m;Streich Sascha (2001);;;;;;;;;;35.5
o;;;Läuchli Janik (2000);;;;;;;;8.5
-;5;8.5;Brugger Jonas (1999);;27;35.5;5;8.5;0;0.0;8.75
+;10;17.25;Huber Fabian;;32;25.75;10;17.25;0;0.0;9.75
o;11;27.0;Schär Simon;*;12;55.25;11;27.0;0;0.0;8.5

27n;Meier Fabian;;;;;;;;;;35.5
o;;;Bieli Andreas;;;;;;;;8.5
+;5;8.5;Vogt Patrick (1999);;20;53.0;3;9.0;-2;0.5;9.75
o;7;18.25;Bachmann Sämi (2001);;12;55.25;6;18.5;-1;0.25;8.5
-;12;26.75;Seiser Kay-Steve (2000);;25;44.25;11;27.0;-1;0.25;8.75

27o;Ritter Andreas;;;;;;;;;;35.5
o;;;Lisser Beat;;;;;;;;8.5
-;5;8.5;Brack Simon;;27;35.5;5;8.5;0;0.0;8.75
+;10;17.25;Kramer Lukas (2001);;30;34.25;11;17.0;1;-0.25;9.75
o;11;27.0;Roth Christian;;18;53.75;11;27.0;0;0.0;8.5

27p;Burkhardt Roy;;;;;;;;;;35.5
o;;;Lehmann Robin (1999);;;;;;;;8.5
o;5;8.5;Mangold Martin;;12;55.25;4;8.75;-1;0.25;8.5
+;11;17.0;Loosli Adrian;;28;35.25;11;17.0;0;0.0;10.0
o;11;27.0;Hermann Oliver;*;27;35.5;16;25.75;5;-1.25;8.5

28a;Furrer Mathias;;;;;;;;;;35.25
+;;;Tschan Raphael (2000);;;;;;;;9.75
o;2;9.75;Nussbaumer Gabriel;;12;55.25;2;9.75;0;0.0;8.5
o;7;18.25;Lisser Beat;;15;54.5;6;18.5;-1;0.25;8.5
o;12;26.75;Gisin Yanic;;18;53.75;12;26.75;0;0.0;8.5

28b;Loosli Adrian;;;;;;;;;;35.25
o;;;Grossmann Andreas;;;;;;;;8.5
o;5;8.5;Wiedmer Yannick;;17;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Burkhardt Roy;;27;35.5;11;17.0;0;0.0;8.5
