2986-2017-08-13_110_Nordwestschweizer_Schwingfest-ST

1a;Hersche Martin;***;;;;;;;;;59.0
+;6;28.25;Räbmatter Patrick;***;5;57.25;4;28.75;-2;0.5;9.75
o;5;38.0;Döbeli Andreas;*;9;56.0;6;37.5;1;-0.5;8.5
+;8;46.5;Studer Remo;;11;55.5;6;47.0;-2;0.5;10.0

8d;Klausner Yanick;**;;;;;;;;;56.5
+;;;Schmutz Adrian;*;;;;;;;9.75
o;2;9.75;Hersche Martin;***;1;59.0;2;9.75;0;0.0;8.5
+;7;18.25;Stoll Thomas;;15;54.5;5;18.75;-2;0.5;10.0
+;6;28.25;Burren Patrick (1999);;19;53.5;7;28.0;1;-0.25;9.75
o;5;38.0;Kuster Marcel;***;7;56.75;9;36.75;4;-1.25;8.5
+;8;46.5;Brügger Cyrill;;13;55.0;8;46.5;0;0.0;10.0

8e;Imobersteg Matthias (2001);;;;;;;;;;56.5
+;;;Roth Christian;;;;;;;;9.75
+;2;9.75;Anderegg David;*;11;55.5;5;8.5;3;-1.25;9.75
o;3;19.5;Steinmann Yves;*;10;55.75;6;18.5;3;-1.0;8.5
+;7;28.0;Aerni Lars;;15;54.5;10;27.25;3;-0.75;10.0
o;5;38.0;Schaffner Samuel;**;12;55.25;8;37.0;3;-1.0;8.5
+;8;46.5;Büchi Christian;;13;55.0;8;46.5;0;0.0;10.0

9a;Kramer Lario;**;;;;;;;;;56.0
o;;;Schmid David;***;;;;;;;8.5
o;5;8.5;Erb Roger;**;4;57.5;3;9.0;-2;0.5;8.5
-;11;17.0;Rüegger Aaron (1999);;10;55.75;6;18.5;-5;1.5;9.0
+;15;26.0;Büttler Adrian (1999);;11;55.5;10;27.25;-5;1.25;10.0
+;12;36.0;Vogt Patrick (1999);;20;53.0;12;36.0;0;0.0;10.0
+;10;46.0;Arnold Kornel;*;17;54.0;11;45.75;1;-0.25;10.0

9b;Henzer Andreas;**;;;;;;;;;56.0
+;;;Bader Andreas;**;;;;;;;10.0
o;1;10.0;Aeschbacher Matthias;**;3;58.0;2;9.75;1;-0.25;8.5
+;6;18.5;Meyer Stefan;;27;35.5;6;18.5;0;0.0;10.0
-;5;28.5;Roschi Ruedi;**;10;55.75;5;28.5;0;0.0;9.0
+;6;37.5;Siegrist Christian;*;15;54.5;7;37.25;1;-0.25;10.0
o;4;47.5;Gisler Bruno;***;4;57.5;4;47.5;0;0.0;8.5

9c;Schmutz Simon (2000);;;;;;;;;;56.0
+;;;Aerni Lars;;;;;;;;10.0
+;1;10.0;Huber Pascal;;27;35.5;1;10.0;0;0.0;10.0
o;1;20.0;Alpiger Nick;***;5;57.25;6;18.5;5;-1.5;8.5
-;5;28.5;Odermatt Adrian (2001);*;15;54.5;7;28.0;2;-0.5;9.0
+;6;37.5;Bruder Adrian;;16;54.25;7;37.25;1;-0.25;10.0
o;4;47.5;Widmer Tobias;**;7;56.75;7;46.75;3;-0.75;8.5

9d;Borcard Johann;**;;;;;;;;;56.0
