4099-2018-05-13_114_Ob-_und_Nidw_Kant_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;110.25
o;5;28.5;Imhof Andi;***;2;58.75;3;29.25;-2;0.75;8.5
+;10;37.0;Gasser Dominik 1;;11;55.5;10;37.0;0;0.0;10.0
+;8;47.0;Burch Jonas;*;14;54.75;11;46.25;3;-0.75;10.0

5b;Fankhauser Erich;***;;;;;;;;;57.0
-;;;Müllestein Mike;***;;;;;;;8.75
+;5;8.75;Arnold Severin;*;16;54.25;2;10.0;-3;1.25;9.75
+;7;18.5;Hurschler Thomas;**;6;56.75;6;18.75;-1;0.25;9.75
+;6;28.25;Wyrsch Marco;**;5;57.0;5;28.5;-1;0.25;10.0
+;5;38.25;Odermatt Christian;**;8;56.25;6;38.0;1;-0.25;10.0
-;3;48.25;von Ah Benji;***;6;56.75;4;48.0;1;-0.25;8.75

5c;Schurtenberger Sven;***;;;;;;;;;57.0
+;;;von Ah Benji;***;;;;;;;10.0
-;2;10.0;Rohrer Marco;**;5;57.0;2;10.0;0;0.0;9.0
+;5;19.0;Ettlin Stefan;*;7;56.5;5;19.0;0;0.0;9.75
+;4;28.75;Bieri Marcel;**;4;57.25;4;28.75;0;0.0;9.75
+;4;38.5;Kennel Stefan;**;10;55.75;5;38.25;1;-0.25;9.75
o;3;48.25;Imhof Andi;***;2;58.75;2;48.75;-1;0.5;8.75

5d;Rohrer Marco;**;;;;;;;;;57.0
+;;;Heinzer Stefan;**;;;;;;;10.0
-;2;10.0;Schurtenberger Sven;***;5;57.0;2;10.0;0;0.0;9.0
+;5;19.0;Wicki David;;14;54.75;2;20.0;-3;1.0;9.75
o;4;28.75;Arnold Fabian;;7;56.5;2;29.5;-2;0.75;8.75
+;8;37.5;Bernet Christoph;*;10;55.75;9;37.25;1;-0.25;9.75
+;7;47.25;Durrer Fabian;*;14;54.75;11;46.25;4;-1.0;9.75

5e;Wyrsch Marco;**;;;;;;;;;57.0
-;;;Kennel Stefan;**;;;;;;;8.75
+;5;8.75;Vogler Daniel;*;11;55.5;6;8.5;1;-0.25;9.75
+;7;18.5;Kathriner Severin (2000);;18;53.75;3;19.75;-4;1.25;10.0
o;5;28.5;Fankhauser Erich;***;5;57.0;6;28.25;1;-0.25;8.75
+;9;37.25;Gander Michael;;13;55.0;6;38.0;-3;0.75;10.0
+;7;47.25;Gut Koni;;13;55.0;10;46.5;3;-0.75;9.75

6a;Hurschler Thomas;**;;;;;;;;;56.75
-;;;Steinauer Adrian;**;;;;;;;8.75
+;5;8.75;Fässler Dominic;**;16;54.25;5;8.75;0;0.0;10.0
o;6;18.75;Fankhauser Erich;***;5;57.0;7;18.5;1;-0.25;8.5
+;10;27.25;Bühler Patrice;;12;55.25;10;27.25;0;0.0;10.0
+;9;37.25;Ming Christian 2;;11;55.5;9;37.25;0;0.0;9.75
+;8;47.0;Thierstein Marco;*;13;55.0;10;46.5;2;-0.5;9.75

6b;Müller Roger;;;;;;;;;;56.75
+;;;Albert Thomas;;;;;;;;9.75
+;3;9.75;Bucher Thomas;;14;54.75;3;9.75;0;0.0;10.0
o;3;19.75;Herger Matthias;**;6;56.75;7;18.5;4;-1.25;8.5
+;6;28.25;Odermatt Remo;*;11;55.5;6;28.25;0;0.0;10.0
o;5;38.25;Bieri Marcel;**;4;57.25;8;37.5;3;-0.75;8.5
+;9;46.75;Wallimann Remo;;10;55.75;8;47.0;-1;0.25;10.0

6c;Kurmann Toni;;;;;;;;;;56.75
+;;;von Flüe Michael;;;;;;;;10.0
+;2;10.0;Gassmann Michael;*;18;53.75;3;9.75;1;-0.25;9.75
o;3;19.75;Scheuber Lutz;**;4;57.25;6;18.75;3;-1.0;8.75
+;5;28.5;Graber Sandro;;11;55.5;5;28.5;0;0.0;10.0
o;4;38.5;Schelbert Ralf;**;3;57.5;6;38.0;2;-0.5;8.5
+;8;47.0;Ettlin Martin;;11;55.5;8;47.0;0;0.0;9.75

6d;Heiniger Marco;*;;;;;;;;;56.75
+;;;Amgarten Roman;*;;;;;;;10.0
-;2;10.0;Schuler Alex;***;1;110.25;1;17.75;-1;7.75;8.75
+;6;18.75;Graber Sandro;;11;55.5;3;19.75;-3;1.0;9.75
+;5;28.5;Ettlin Jan (2001);;18;53.75;6;28.25;1;-0.25;9.75
o;5;38.25;von Ah Benji;***;6;56.75;5;38.25;0;0.0;8.5
+;9;46.75;von Ah Markus;;13;55.0;10;46.5;1;-0.25;10.0

6e;Rohrer Ivan;**;;;;;;;;;56.75
-;;;Müller Michael;**;;;;;;;8.75
+;5;8.75;Betschart Silvan;*;26;35.25;6;8.5;1;-0.25;10.0
+;6;18.75;Lemmenmeier Lukas;;7;56.5;2;20.0;-4;1.25;9.75
+;5;28.5;Widmer Dominik;;12;55.25;5;28.5;0;0.0;9.75
-;5;38.25;Nötzli Reto;***;4;57.25;4;38.5;-1;0.25;8.75
+;8;47.0;Zanini David (2000);;14;54.75;11;46.25;3;-0.75;9.75

6f;Herger Matthias;**;;;;;;;;;56.75
o;;;Schelbert Ralf;**;;;;;;;8.5
+;6;8.5;Bernet Christoph;*;10;55.75;5;8.75;-1;0.25;10.0
+;7;18.5;Müller Roger;;6;56.75;3;19.75;-4;1.25;10.0
o;5;28.5;Nötzli Reto;***;4;57.25;5;28.5;0;0.0;8.5
+;10;37.0;Bürgi Reto;*;9;56.0;8;37.5;-2;0.5;9.75
+;9;46.75;Vogler Jonas;;12;55.25;10;46.5;1;-0.25;10.0

6g;von Ah Benji;***;;;;;;;;;56.75
o;;;Schurtenberger Sven;***;;;;;;;8.5
+;6;8.5;Portmann Josef;*;6;56.75;2;10.0;-4;1.5;10.0
+;7;18.5;Kenel Franz-Toni;*;9;56.0;6;18.75;-1;0.25;9.75
+;6;28.25;Thierstein Marco;*;13;55.0;6;28.25;0;0.0;10.0
+;5;38.25;Heiniger Marco;*;6;56.75;5;38.25;0;0.0;9.75
-;4;48.0;Fankhauser Erich;***;5;57.0;3;48.25;-1;0.25;8.75

6h;Portmann Josef;*;;;;;;;;;56.75
+;;;Odermatt Andreas;*;;;;;;;10.0
o;2;10.0;von Ah Benji;***;6;56.75;6;8.5;4;-1.5;8.5
+;7;18.5;Heinzer Josef;;12;55.25;4;19.5;-3;1.0;10.0
+;5;28.5;Burch Thomas;;11;55.5;5;28.5;0;0.0;10.0
o;4;38.5;Imhof Andi;***;2;58.75;3;39.0;-1;0.5;8.5
+;8;47.0;Rohrer Ueli;*;10;55.75;7;47.25;-1;0.25;9.75

7a;Lemmenmeier Lukas;;;;;;;;;;56.5
+;;;Rohrer Henry;;;;;;;;10.0
+;2;10.0;Niederberger Markus;*;10;55.75;5;8.75;3;-1.25;10.0
o;2;20.0;Rohrer Ivan;**;6;56.75;6;18.75;4;-1.25;8.5
+;5;28.5;Durrer Markus;;10;55.75;5;28.5;0;0.0;9.75
o;5;38.25;Reichmuth Marco;**;9;56.0;8;37.5;3;-0.75;8.5
+;9;46.75;Graber Sandro;;11;55.5;9;46.75;0;0.0;9.75

7b;Ettlin Stefan;*;;;;;;;;;56.5
-;;;Muff André;*;;;;;;;9.0
+;4;9.0;Reichmuth Lukas (2000);*;8;56.25;3;9.75;-1;0.75;10.0
o;5;19.0;Schurtenberger Sven;***;5;57.0;5;19.0;0;0.0;8.75
+;8;27.75;Wiget Ueli;;19;53.5;7;28.0;-1;0.25;10.0
+;7;37.75;Wicki David;;14;54.75;8;37.5;1;-0.25;9.75
-;6;47.5;Kennel Stefan;**;10;55.75;9;46.75;3;-0.75;9.0

7c;Würsch Lars;;;;;;;;;;56.5
+;;;Bieri Elias;;;;;;;;10.0
o;2;10.0;Thierstein Marco;*;13;55.0;5;8.75;3;-1.25;8.5
o;7;18.5;Elmiger Andreas;;9;56.0;8;18.25;1;-0.25;8.5
+;11;27.0;Ulrich Marcel;;26;35.25;12;26.75;1;-0.25;9.75
+;11;36.75;Heinzer Josef;;12;55.25;12;36.5;1;-0.25;10.0
+;9;46.75;Hochholdinger Roman;**;12;55.25;9;46.75;0;0.0;9.75

7d;Arnold Fabian;;;;;;;;;;56.5
+;;;Würsch Tom (2000);;;;;;;;10.0
+;2;10.0;Elmiger Andreas;;9;56.0;3;9.75;1;-0.25;9.75
+;3;19.75;Burch Jonas;*;14;54.75;6;18.75;3;-1.0;9.75
+;2;29.5;Rohrer Marco;**;5;57.0;4;28.75;2;-0.75;9.75
-;2;39.25;Müllestein Mike;***;7;56.5;7;37.75;5;-1.5;8.75
o;4;48.0;Nötzli Reto;***;4;57.25;6;47.5;2;-0.5;8.5

7e;Gwerder Christian;**;;;;;;;;;56.5
-;;;Reichmuth Marco;**;;;;;;;8.75
+;5;8.75;Gander Adrian;*;15;54.5;5;8.75;0;0.0;9.75
+;7;18.5;Vogler Jonas;;12;55.25;3;19.75;-4;1.25;9.75
-;6;28.25;Mathis Marcel;***;9;56.0;10;27.25;4;-1.0;8.75
+;10;37.0;Burch Thomas;;11;55.5;10;37.0;0;0.0;9.75
+;9;46.75;Della Torre Simon;;12;55.25;9;46.75;0;0.0;9.75

7f;Müllestein Mike;***;;;;;;;;;56.5
-;;;Fankhauser Erich;***;;;;;;;9.0
+;4;9.0;Odermatt Remo;*;11;55.5;2;10.0;-2;1.0;10.0
-;5;19.0;Bieri Marcel;**;4;57.25;2;20.0;-3;1.0;9.0
+;7;28.0;Gloggner Reto;**;12;55.25;6;28.25;-1;0.25;9.75
-;7;37.75;Arnold Fabian;;7;56.5;2;39.25;-5;1.5;8.75
+;10;46.5;Hess Dominik;*;11;55.5;8;47.0;-2;0.5;10.0

8a;Zimmermann Martin;**;;;;;;;;;56.25
+;;;Betschart Remo;**;;;;;;;10.0
+;2;10.0;Fontana Michael;*;14;54.75;2;10.0;0;0.0;9.75
o;3;19.75;Nötzli Reto;***;4;57.25;7;18.5;4;-1.25;8.5
-;6;28.25;Wicki David;;14;54.75;5;28.5;-1;0.25;9.0
+;9;37.25;Hürlimann Mathias (2000);;10;55.75;10;37.0;1;-0.25;10.0
-;7;47.25;Bieri Christian;**;11;55.5;10;46.5;3;-0.75;9.0

8b;Rohrer Beat;*;;;;;;;;;56.25
+;;;Schuler Daniel;*;;;;;;;9.75
o;3;9.75;Nötzli Reto;***;4;57.25;6;8.5;3;-1.25;8.5
+;8;18.25;Bürgi Tobias;;14;54.75;6;18.75;-2;0.5;9.75
+;7;28.0;Zanini David (2000);;14;54.75;7;28.0;0;0.0;9.75
+;7;37.75;Durrer Fabian;*;14;54.75;7;37.75;0;0.0;9.75
o;6;47.5;Steinauer Adrian;**;3;57.5;6;47.5;0;0.0;8.75

8c;Durrer Nando;;;;;;;;;;56.25
+;;;Sprecher Martin (2000);;;;;;;;10.0
-;2;10.0;Thalmann Thomas;*;20;53.25;5;8.75;3;-1.25;8.75
+;6;18.75;Strickler Fabio (2001);;23;52.5;8;18.25;2;-0.5;10.0
-;4;28.75;Elsener Marcel;*;12;55.25;6;28.25;2;-0.5;8.75
+;8;37.5;Schuler Alex;;1;110.25;1;74.5;-7;37.0;9.75
-;7;47.25;Elmiger Andreas;;9;56.0;8;47.0;1;-0.25;9.0

8d;Reichmuth Lukas (2000);*;;;;;;;;;56.25
+;;;Ming Christian;*;;;;;;;9.75
o;3;9.75;Ettlin Stefan;*;7;56.5;4;9.0;1;-0.75;8.5
+;8;18.25;Müller Ivo (2002);;21;53.0;6;18.75;-2;0.5;10.0
o;6;28.25;Odermatt Christian;**;8;56.25;6;28.25;0;0.0;8.5
+;11;36.75;Zumstein Marcel;;18;53.75;11;36.75;0;0.0;9.75
+;10;46.5;Gander Michael;;13;55.0;10;46.5;0;0.0;9.75

8e;Odermatt Christian;**;;;;;;;;;56.25
-;;;Hochholdinger Roman;**;;;;;;;8.75
+;5;8.75;Binggeli Stefan;*;10;55.75;6;8.5;1;-0.25;9.75
+;7;18.5;Vogel Manuel;;13;55.0;4;19.5;-3;1.0;9.75
+;6;28.25;Reichmuth Lukas (2000);*;8;56.25;6;28.25;0;0.0;9.75
o;6;38.0;Fankhauser Erich;***;5;57.0;5;38.25;-1;0.25;8.5
+;10;46.5;Arnold Raphael;*;9;56.0;7;47.25;-3;0.75;9.75

9a;Elmiger Andreas;;;;;;;;;;56.0
+;;;Gander Benjamin (2000);;;;;;;;9.75
o;3;9.75;Arnold Fabian;;7;56.5;2;10.0;-1;0.25;8.5
+;8;18.25;Würsch Lars;;7;56.5;7;18.5;-1;0.25;10.0
-;6;28.25;Käslin Benno;*;15;54.5;5;28.5;-1;0.25;8.75
+;10;37.0;Odermatt Remo;*;11;55.5;10;37.0;0;0.0;10.0
-;8;47.0;Durrer Nando;;8;56.25;7;47.25;-1;0.25;9.0

9b;Arnold Daniel;*;;;;;;;;;56.0
o;;;Hess Dominik;*;;;;;;;8.5
+;6;8.5;Ming Christian;*;20;53.25;6;8.5;0;0.0;9.75
+;8;18.25;Bühler Patrice;;12;55.25;6;18.75;-2;0.5;9.75
+;7;28.0;Käslin Valentin (2000);;18;53.75;7;28.0;0;0.0;9.75
+;7;37.75;Fontana Michael;*;14;54.75;8;37.5;1;-0.25;9.75
o;6;47.5;Müller Michael;**;4;57.25;6;47.5;0;0.0;8.5

9c;Reichmuth Marco;**;;;;;;;;;56.0
-;;;Gwerder Christian;**;;;;;;;9.0
-;4;9.0;Arnold Raphael;*;9;56.0;6;8.5;2;-0.5;8.75
+;9;17.75;Durrer Lukas;;15;54.5;6;18.75;-3;1.0;10.0
+;8;27.75;Vogler Jonas;;12;55.25;6;28.25;-2;0.5;9.75
+;8;37.5;Lemmenmeier Lukas;;7;56.5;5;38.25;-3;0.75;9.75
o;7;47.25;Schelbert Ralf;**;3;57.5;5;47.75;-2;0.5;8.75

9d;Bürgi Reto;*;;;;;;;;;56.0
-;;;Bachmann Roger;*;;;;;;;8.75
-;5;8.75;Elsener Manuel;;13;55.0;2;10.0;-3;1.25;8.75
+;10;17.5;Auf der Maur Alex;;17;54.0;7;18.5;-3;1.0;10.0
+;9;27.5;Kälin Michael (2002);;22;52.75;10;27.25;1;-0.25;10.0
o;8;37.5;Herger Matthias;**;6;56.75;10;37.0;2;-0.5;8.5
+;12;46.0;Schuler Alex;;1;110.25;1;91.75;-11;45.75;10.0

9e;Bachmann Roger;*;;;;;;;;;56.0
-;;;Bürgi Reto;*;;;;;;;8.75
-;5;8.75;Heinzer Stefan;**;10;55.75;6;8.5;1;-0.25;8.75
+;10;17.5;Zimmermann Reto;;18;53.75;7;18.5;-3;1.0;10.0
+;9;27.5;Zumstein Patrick;;15;54.5;8;27.75;-1;0.25;10.0
o;8;37.5;Steinauer Adrian;**;3;57.5;7;37.75;-1;0.25;8.5
+;12;46.0;Durrer Lukas;;15;54.5;12;46.0;0;0.0;10.0

9f;Mathis Marcel;***;;;;;;;;;56.0
o;;;Schuler Christian;***;;;;;;;8.5
+;6;8.5;Bieri Christian;**;11;55.5;3;9.75;-3;1.25;10.0
-;7;18.5;Müller Michael;**;4;57.25;6;18.75;-1;0.25;8.75
-;10;27.25;Gwerder Christian;**;7;56.5;6;28.25;-4;1.0;9.0
+;13;36.25;Vogel Marcel;;16;54.25;10;37.0;-3;0.75;9.75
+;12;46.0;Elsener Marcel;*;12;55.25;9;46.75;-3;0.75;10.0

9g;Arnold Raphael;*;;;;;;;;;56.0
o;;;Gassmann Michael;*;;;;;;;8.5
-;6;8.5;Reichmuth Marco;**;9;56.0;4;9.0;-2;0.5;8.75
+;11;17.25;Waser Christoph (2002);;17;54.0;7;18.5;-4;1.25;10.0
+;10;27.25;Ettlin Kevin (2001);;21;53.0;9;27.5;-1;0.25;10.0
+;9;37.25;Käslin Ruedi;*;16;54.25;10;37.0;1;-0.25;10.0
o;7;47.25;Odermatt Christian;**;8;56.25;10;46.5;3;-0.75;8.75

9h;Fessler Linus;**;;;;;;;;;56.0
o;;;Bieri Christian;**;;;;;;;8.5
-;6;8.5;Steinauer Adrian;**;3;57.5;5;8.75;-1;0.25;9.0
+;10;17.5;Gwerder Beni;;17;54.0;7;18.5;-3;1.0;10.0
+;9;27.5;Heinzer Josef;;12;55.25;7;28.0;-2;0.5;10.0
o;8;37.5;Kenel Franz-Toni;*;9;56.0;9;37.25;1;-0.25;8.5
+;12;46.0;Herger Simon;;15;54.5;12;46.0;0;0.0;10.0

9i;Kenel Franz-Toni;*;;;;;;;;;56.0
-;;;Gander Adrian;*;;;;;;;8.75
+;5;8.75;Amgarten Roman;*;12;55.25;6;8.5;1;-0.25;10.0
o;6;18.75;von Ah Benji;***;6;56.75;7;18.5;1;-0.25;8.5
+;10;27.25;Kathriner Severin (2000);;18;53.75;6;28.25;-4;1.0;10.0
+;9;37.25;Fessler Linus;**;9;56.0;8;37.5;-1;0.25;9.75
-;8;47.0;Durrer Markus;;10;55.75;9;46.75;1;-0.25;9.0

10a;Bernet Christoph;*;;;;;;;;;55.75
-;;;Omlin Toni;*;;;;;;;8.75
o;5;8.75;Herger Matthias;**;6;56.75;6;8.5;1;-0.25;8.5
+;11;17.25;Küchler Severin;;21;53.0;7;18.5;-4;1.25;10.0
+;10;27.25;Kaufmann Jens;;15;54.5;9;27.5;-1;0.25;10.0
o;9;37.25;Rohrer Marco;**;5;57.0;8;37.5;-1;0.25;8.5
+;13;45.75;Odermatt Lars (2002);;16;54.25;13;45.75;0;0.0;10.0

10b;Muff André;*;;;;;;;;;55.75
-;;;Ettlin Stefan;*;;;;;;;8.75
-;5;8.75;Omlin Toni;*;26;35.25;5;8.75;0;0.0;8.75
+;10;17.5;Ettlin Martin;;11;55.5;7;18.5;-3;1.0;9.75
+;10;27.25;Zemp Simon (2001);;16;54.25;10;27.25;0;0.0;10.0
-;9;37.25;Schuler Alex;***;1;110.25;1;74.5;-8;37.25;8.75
+;12;46.0;Zumstein Patrick;;15;54.5;12;46.0;0;0.0;9.75

10c;Niederberger Markus;*;;;;;;;;;55.75
-;;;Thalmann Thomas;*;;;;;;;8.75
o;5;8.75;Lemmenmeier Lukas;;7;56.5;2;10.0;-3;1.25;8.5
+;11;17.25;Arnold Lukas;;15;54.5;7;18.5;-4;1.25;10.0
+;10;27.25;Bürgi Tobias;;14;54.75;10;27.25;0;0.0;10.0
o;9;37.25;Hochholdinger Roman;**;12;55.25;10;37.0;1;-0.25;8.5
+;13;45.75;Bissig Fabian;;16;54.25;13;45.75;0;0.0;10.0

10d;Binggeli Stefan;*;;;;;;;;;55.75
o;;;Lussi Marco;*;;;;;;;8.5
o;6;8.5;Odermatt Christian;**;8;56.25;5;8.75;-1;0.25;8.5
+;12;17.0;Gander Martin;;17;54.0;7;18.5;-5;1.5;9.75
+;12;26.75;Ettlin Thomas (2000);;20;53.25;10;27.25;-2;0.5;10.0
-;11;36.75;Burch Jonas;*;14;54.75;9;37.25;-2;0.5;9.0
+;13;45.75;Arnold Severin;*;16;54.25;13;45.75;0;0.0;10.0

10e;Kennel Stefan;**;;;;;;;;;55.75
-;;;Wyrsch Marco;**;;;;;;;8.75
+;5;8.75;Hochholdinger Roman;**;12;55.25;5;8.75;0;0.0;9.75
+;7;18.5;von Ah Markus;;13;55.0;3;19.75;-4;1.25;10.0
+;5;28.5;Röthlin Pascal;;13;55.0;6;28.25;1;-0.25;9.75
o;5;38.25;Schurtenberger Sven;***;5;57.0;4;38.5;-1;0.25;8.5
-;9;46.75;Ettlin Stefan;*;7;56.5;6;47.5;-3;0.75;9.0

10f;Durrer Markus;;;;;;;;;;55.75
o;;;Bucher Thomas;;;;;;;;8.5
+;6;8.5;Ritter Fabio (2001);;18;53.75;6;8.5;0;0.0;10.0
+;7;18.5;Arnold Marcel;*;29;34.5;11;17.25;4;-1.25;10.0
o;5;28.5;Lemmenmeier Lukas;;7;56.5;5;28.5;0;0.0;8.5
+;10;37.0;Supper Frederik;;19;53.5;13;36.25;3;-0.75;9.75
-;9;46.75;Kenel Franz-Toni;*;9;56.0;8;47.0;-1;0.25;9.0

10g;Wallimann Remo;;;;;;;;;;55.75
-;;;Vogel Marcel;;;;;;;;8.75
+;5;8.75;Kälin Michael (2002);;22;52.75;5;8.75;0;0.0;10.0
-;6;18.75;Hegner Ueli;*;16;54.25;11;17.25;5;-1.5;8.75
+;9;27.5;Rüttimann Daniel;;15;54.5;10;27.25;1;-0.25;9.75
+;9;37.25;Wetzstein Adrian;*;17;54.0;10;37.0;1;-0.25;9.75
o;8;47.0;Müller Roger;;6;56.75;9;46.75;1;-0.25;8.75

10h;Hürlimann Mathias (2000);;;;;;;;;;55.75
o;;;Gander Michael;;;;;;;;8.5
+;6;8.5;Blumenthal Lino (2002);;16;54.25;5;8.75;-1;0.25;9.75
-;8;18.25;Vonlaufen Lukas;*;16;54.25;12;17.0;4;-1.25;8.75
+;11;27.0;Küchler Severin;;21;53.0;11;27.0;0;0.0;10.0
o;10;37.0;Zimmermann Martin;**;8;56.25;9;37.25;-1;0.25;8.75
+;13;45.75;Gander Benjamin (2000);;17;54.0;14;45.5;1;-0.25;10.0

10i;Rohrer Ueli;*;;;;;;;;;55.75
+;;;Arnold Marcel;*;;;;;;;9.75
o;3;9.75;Schelbert Ralf;**;3;57.5;3;9.75;0;0.0;8.5
+;8;18.25;Rüttimann Daniel;;15;54.5;6;18.75;-2;0.5;10.0
-;6;28.25;Gloggner Philipp;***;13;55.0;10;27.25;4;-1.0;9.0
+;9;37.25;Auf der Maur Alex;;17;54.0;10;37.0;1;-0.25;10.0
o;7;47.25;Portmann Josef;*;6;56.75;8;47.0;1;-0.25;8.5

10j;Heinzer Stefan;**;;;;;;;;;55.75
o;;;Rohrer Marco;**;;;;;;;8.5
-;6;8.5;Bachmann Roger;*;9;56.0;5;8.75;-1;0.25;8.75
+;11;17.25;Zumstein Marcel;;18;53.75;7;18.5;-4;1.25;10.0
+;10;27.25;Blumenthal Lino (2002);;16;54.25;10;27.25;0;0.0;10.0
o;9;37.25;Müller Michael;**;4;57.25;8;37.5;-1;0.25;8.5
+;13;45.75;Ettlin Jan (2001);;18;53.75;15;45.25;2;-0.5;10.0

11a;Ming Hannes;;;;;;;;;;55.5
-;;;Staub Ivan;;;;;;;;8.75
+;5;8.75;Wiget Ueli;;19;53.5;3;9.75;-2;1.0;9.75
o;7;18.5;Betschart Silvan;*;26;35.25;12;17.0;5;-1.5;8.5
+;11;27.0;Sprecher Martin (2000);;26;35.25;12;26.75;1;-0.25;9.75
-;11;36.75;Betschart Daniel;;15;54.5;10;37.0;-1;0.25;8.75
+;14;45.5;Scherrer Patrick;;18;53.75;16;45.0;2;-0.5;10.0

11b;Wyss Christian;;;;;;;;;;55.5
+;;;Burch Thomas;;;;;;;;10.0
o;2;10.0;Ettlin Martin;;11;55.5;5;8.75;3;-1.25;8.5
o;7;18.5;Zimmermann Simon;**;20;53.25;11;17.25;4;-1.25;8.5
