4161-2019-06-02_Luzerner_Kant_Schwingfest-ST

1a;Heinzer Stefan;**;;;;;;;;;112.0
+;4;9.0;Schmid Simon;*;12;55.75;5;8.75;1;-0.25;9.75
+;6;18.75;Riebli Urs (2002);;14;55.25;3;19.75;-3;1.0;10.0
+;7;28.75;Zürcher Ueli;*;7;57.0;3;29.75;-4;1.0;10.0
o;5;38.75;Schurtenberger Sven;***;4;58.0;3;39.5;-2;0.75;8.5
+;9;47.25;Kaufmann Reto (2002);;8;56.75;5;48.25;-4;1.0;9.75

7c;Suppiger René;***;;;;;;;;;57.0
o;;;Reichmuth Pirmin;***;;;;;;;8.5
o;6;8.5;Wyrsch Marco;**;9;56.5;3;9.75;-3;1.25;8.5
+;13;17.0;Felder Seppi;*;13;55.5;7;18.5;-6;1.5;10.0
+;14;27.0;Heinzer Stefan;**;1;112.0;1;55.5;-13;28.5;10.0
+;12;37.0;Fässler Dominic;**;14;55.25;12;37.0;0;0.0;10.0
+;10;47.0;Betschart Patrick;*;9;56.5;6;48.0;-4;1.0;10.0

7d;Müller Michael;**;;;;;;;;;57.0
o;;;Waser Dominik;**;;;;;;;8.5
+;6;8.5;Imfeld Beat;*;17;54.5;6;8.5;0;0.0;10.0
+;7;18.5;Wenger Ruedi;;15;55.0;4;19.5;-3;1.0;10.0
+;8;28.5;Bühlmann Daniel;;12;55.75;8;28.5;0;0.0;10.0
o;6;38.5;Wenger Kilian;***;5;57.5;9;37.75;3;-0.75;8.5
+;10;47.0;Hess Dominik;*;15;55.0;12;46.5;2;-0.5;10.0

7e;Scheuber Lutz;**;;;;;;;;;57.0
-;;;Brun Jonas;**;;;;;;;8.75
+;5;8.75;Schnider Markus;*;22;53.25;5;8.75;0;0.0;10.0
+;6;18.75;Fellmann Simon;;14;55.25;3;19.75;-3;1.0;9.75
-;8;28.5;Schneider Domenic;***;8;56.75;9;28.25;1;-0.25;8.75
+;11;37.25;Krummenacher Roman;;18;54.25;11;37.25;0;0.0;10.0
+;9;47.25;Schwyzer Samuel (2001);;14;55.25;11;46.75;2;-0.5;9.75

7f;Zürcher Ueli;*;;;;;;;;;57.0
+;;;Stadelmann Simon;*;;;;;;;10.0
+;2;10.0;Ettlin Stefan;**;8;56.75;2;10.0;0;0.0;9.75
+;3;19.75;Zumstein Patrick;;18;54.25;2;20.0;-1;0.25;10.0
o;3;29.75;Betschart Remo;**;7;57.0;7;28.75;4;-1.0;8.5
o;7;38.25;Wicki Joel;**;3;58.5;6;38.5;-1;0.25;8.75
+;10;47.0;Achermann Simon;;13;55.5;10;47.0;0;0.0;10.0

8a;Doppmann Urs;**;;;;;;;;;56.75
+;;;Heinzer Stefan;*;;;;;;;10.0
o;2;10.0;Reichmuth Pirmin;***;2;58.75;2;10.0;0;0.0;8.5
+;7;18.5;Bucher André (2001);;13;55.5;3;19.75;-4;1.25;10.0
+;8;28.5;Wyss Sven (2001);;8;56.75;3;29.75;-5;1.25;9.75
o;7;38.25;Schuler Christian;***;6;57.25;6;38.5;-1;0.25;8.5
+;11;46.75;Bieri Elias;;13;55.5;10;47.0;-1;0.25;10.0

8b;Lemmenmeier Lukas;*;;;;;;;;;56.75
-;;;Odermatt Andreas;*;;;;;;;8.75
+;5;8.75;Schuler Daniel;*;12;55.75;6;8.5;1;-0.25;9.75
+;7;18.5;Huser Christian;;14;55.25;3;19.75;-4;1.25;10.0
o;8;28.5;Bieri Marcel;**;9;56.5;10;28.0;2;-0.5;8.5
+;12;37.0;Stäger Franz;;18;54.25;11;37.25;-1;0.25;10.0
+;10;47.0;Wicki David;;12;55.75;9;47.25;-1;0.25;9.75

8c;Troxler Jonas;;;;;;;;;;56.75
+;;;Albisser Jannik (2003);;;;;;;;10.0
+;2;10.0;Herger Andreas;;16;54.75;2;10.0;0;0.0;9.75
o;3;19.75;Kessler Joel;*;10;56.25;6;18.75;3;-1.0;8.5
+;9;28.25;Wallimann Remo;*;17;54.5;12;27.5;3;-0.75;9.75
+;8;38.0;Arnold Severin;*;11;56.0;11;37.25;3;-0.75;9.75
-;7;47.75;Suter Beat;;9;56.5;8;47.5;1;-0.25;9.0

8d;Kaufmann Reto (2002);;;;;;;;;;56.75
+;;;Roschi Adrian;;;;;;;;10.0
+;2;10.0;Aregger Fabian (2001);;15;55.0;3;9.75;1;-0.25;9.75
+;3;19.75;Zurﬂuh Michael;*;35;27.0;7;18.5;4;-1.25;10.0
+;3;29.75;Ettlin Stefan;**;8;56.75;9;28.25;6;-1.5;10.0
o;2;39.75;Bieri Marcel;**;9;56.5;8;38.0;6;-1.75;8.5
o;5;48.25;Betschart Remo;**;7;57.0;9;47.25;4;-1.0;8.5

8e;Ettlin Stefan;**;;;;;;;;;56.75
+;;;Kammermann Thomas;*;;;;;;;10.0
o;2;10.0;Zürcher Ueli;*;7;57.0;2;10.0;0;0.0;8.5
+;7;18.5;Bieri Elias;;13;55.5;3;19.75;-4;1.25;9.75
o;9;28.25;Kaufmann Reto (2002);;8;56.75;3;29.75;-6;1.5;8.5
+;13;36.75;Dissler Philipp;*;13;55.5;12;37.0;-1;0.25;10.0
+;11;46.75;Ziegler Elias;;13;55.5;10;47.0;-1;0.25;10.0

8f;Wyss Sven (2001);;;;;;;;;;56.75
+;;;Bühler Ramon (2002);;;;;;;;10.0
+;2;10.0;Forster Christian;;29;35.5;2;10.0;0;0.0;10.0
+;2;20.0;Arnold Severin;*;11;56.0;3;19.75;1;-0.25;9.75
o;3;29.75;Doppmann Urs;**;8;56.75;8;28.5;5;-1.25;8.5
o;7;38.25;Hurschler Thomas;**;5;57.5;8;38.0;1;-0.25;8.5
+;11;46.75;Riebli Urs (2002);;14;55.25;12;46.5;1;-0.25;10.0

8g;Murer Andy;**;;;;;;;;;56.75
-;;;Hirsiger Alexander;*;;;;;;;8.75
+;5;8.75;Bachmann Roger;*;16;54.75;5;8.75;0;0.0;10.0
o;6;18.75;Schneider Domenic;***;8;56.75;7;18.5;1;-0.25;8.5
