4161-2019-06-02_Luzerner_Kant_Schwingfest-ST

1a;Heinzer Stefan;**;;;;;;;;;112.0
+;3;9.75;Bucheli Dario (2001);;17;54.5;2;10.0;-1;0.25;9.75
o;4;19.5;Heinzer Stefan;**;1;112.0;1;36.75;-3;17.25;8.5
+;10;28.0;Wenger Ruedi;;15;55.0;10;28.0;0;0.0;10.0
o;8;38.0;Kessler Joel;*;10;56.25;10;37.5;2;-0.5;8.5
o;12;46.5;Bürli Roger;**;10;56.25;12;46.5;0;0.0;8.75

14f;Betschart Daniel;;;;;;;;;;55.25
+;;;Bullakaj Benhard;;;;;;;;10.0
+;2;10.0;Bühler Kilian;;13;55.5;3;9.75;1;-0.25;9.75
o;3;19.75;Zurﬂuh Roman;**;9;56.5;6;18.75;3;-1.0;8.5
-;9;28.25;Heiniger Marco;*;25;46.0;13;27.25;4;-1.0;8.75
+;12;37.0;Muff Reto;;18;54.25;13;36.75;1;-0.25;9.75
o;11;46.75;Gloggner Reto;**;7;57.0;10;47.0;-1;0.25;8.5

14g;von Ah Markus;;;;;;;;;;55.25
-;;;Egli Adrian (2002);;;;;;;;8.75
+;5;8.75;Arnold Adrian (2001);;33;34.25;6;8.5;1;-0.25;9.75
o;7;18.5;Thierstein Marco;*;6;57.25;10;17.75;3;-0.75;8.5
+;14;27.0;Gloggner Elias (2002);;29;35.5;14;27.0;0;0.0;10.0
o;12;37.0;Widmer Adrian;*;11;56.0;12;37.0;0;0.0;8.5
+;16;45.5;Rust Sandro;;21;53.5;18;45.0;2;-0.5;9.75

14h;Wicki Kevin;;;;;;;;;;55.25
o;;;Gwerder Beni;;;;;;;;8.5
+;6;8.5;Marti Philipp (2002);;19;54.0;6;8.5;0;0.0;10.0
+;7;18.5;Fischer Markus;;20;53.75;7;18.5;0;0.0;10.0
o;8;28.5;Kurmann Toni;*;8;56.75;8;28.5;0;0.0;8.5
o;12;37.0;Heinzer Stefan;**;1;112.0;1;74.0;-11;37.0;8.5
+;16;45.5;Beer Andy;;21;53.5;18;45.0;2;-0.5;9.75

14i;Fässler Dominic;**;;;;;;;;;55.25
o;;;Bernhard Lukas;*;;;;;;;8.5
o;6;8.5;Zurﬂuh Michael;*;35;27.0;5;8.75;-1;0.25;8.5
+;13;17.0;Gwerder Beni;;29;35.5;7;18.5;-6;1.5;10.0
+;14;27.0;Egli Adrian (2002);;17;54.5;12;27.5;-2;0.5;10.0
o;12;37.0;Suppiger René;***;7;57.0;12;37.0;0;0.0;8.5
+;16;45.5;Hodler Mathias;;19;54.0;16;45.5;0;0.0;9.75

14j;Schmidiger Marco;*;;;;;;;;;55.25
+;;;Wallimann Remo;*;;;;;;;10.0
o;2;10.0;Bieri Marcel;**;9;56.5;4;9.0;2;-1.0;8.5
+;7;18.5;Suter Bruno (2002);;17;54.5;6;18.75;-1;0.25;9.75
-;9;28.25;Suter Beat;;9;56.5;8;28.5;-1;0.25;9.0
-;11;37.25;Arnold Raphael;**;10;56.25;11;37.25;0;0.0;9.0
-;13;46.25;Lustenberger Marc (2003);;14;55.25;13;46.25;0;0.0;9.0

14k;Schwyzer Samuel (2001);;;;;;;;;;55.25
-;;;Gasser Dominik 2;;;;;;;;9.0
-;4;9.0;Suter Bruno (2002);;17;54.5;3;9.75;-1;0.75;9.0
+;9;18.0;Schmid Pius;;20;53.75;8;18.25;-1;0.25;10.0
-;10;28.0;Gasser Peter;*;11;56.0;14;27.0;4;-1.0;9.0
+;12;37.0;Auf der Maur Michael;;19;54.0;12;37.0;0;0.0;9.75
o;11;46.75;Scheuber Lutz;**;7;57.0;9;47.25;-2;0.5;8.5

14l;Graber Michael;*;;;;;;;;;55.25
o;;;Hurschler Thomas;**;;;;;;;8.5
+;6;8.5;Keller Janik;*;36;25.75;5;8.75;-1;0.25;10.0
-;7;18.5;Portmann Roger;;13;55.5;3;19.75;-4;1.25;8.75
+;13;27.25;Beer Andy;;21;53.5;10;28.0;-3;0.75;9.75
o;12;37.0;Schuler Daniel;*;12;55.75;13;36.75;1;-0.25;8.5
+;16;45.5;Meier Andreas;;20;53.75;17;45.25;1;-0.25;9.75

14m;von Euw Lukas (2002);;;;;;;;;;55.25
-;;;Bühler Patrice;;;;;;;;8.75
o;5;8.75;Gisler Stefan;;20;53.75;6;8.5;1;-0.25;8.75
+;11;17.5;Heller Ivan (2003);;18;54.25;12;17.25;1;-0.25;10.0
-;12;27.5;Müller Roger;*;17;54.5;14;27.0;2;-0.5;9.0
-;14;36.5;Thalmann Thomas;*;17;54.5;16;36.0;2;-0.5;8.75
+;17;45.25;Portmann Curdin (2003);;21;53.5;18;45.0;1;-0.25;10.0

14n;Wandeler Roman (2002);;;;;;;;;;55.25
+;;;Brunner Timon;;;;;;;;9.75
o;3;9.75;Gerber Peter;*;15;55.0;2;10.0;-1;0.25;8.5
+;8;18.25;Wyrsch Hansi;;22;53.25;7;18.5;-1;0.25;9.75
+;10;28.0;Steinger Nico (2001);;24;52.75;13;27.25;3;-0.75;10.0
o;8;38.0;Gwerder Christian;**;11;56.0;11;37.25;3;-0.75;8.5
o;12;46.5;Fankhauser Reto;**;6;57.25;8;47.5;-4;1.0;8.75

14o;Waser Christoph (2002);;;;;;;;;;55.25
o;;;Banz Matthias (2001);;;;;;;;8.5
+;6;8.5;Wicki Fabian (2001);;18;54.25;6;8.5;0;0.0;10.0
o;7;18.5;Kammermann Christoph;*;17;54.5;12;17.25;5;-1.25;8.5
+;14;27.0;Grüter Marcel;;29;35.5;14;27.0;0;0.0;9.75
o;13;36.75;Zgraggen Fabian;*;14;55.25;13;36.75;0;0.0;8.5
+;17;45.25;Gisler Stefan;;20;53.75;17;45.25;0;0.0;10.0

14p;Zgraggen Fabian;*;;;;;;;;;55.25
+;;;Hürlimann Mathias;*;;;;;;;10.0
o;2;10.0;Kurmann Toni;*;8;56.75;2;10.0;0;0.0;8.5
+;7;18.5;Jund Matthias;;10;56.25;4;19.5;-3;1.0;9.75
o;9;28.25;Hurschler Thomas;**;5;57.5;10;28.0;1;-0.25;8.5
+;13;36.75;Waser Christoph (2002);;14;55.25;13;36.75;0;0.0;10.0
o;11;46.75;Fink Bruno;*;9;56.5;12;46.5;1;-0.25;8.5

14q;Durrer Fabian;*;;;;;;;;;55.25
-;;;Vogel Remo;**;;;;;;;9.0
-;4;9.0;Thierstein Marco;*;6;57.25;5;8.75;1;-0.25;9.0
+;9;18.0;Murpf Dario;;16;54.75;5;19.0;-4;1.0;9.75
-;11;27.75;Wicki Patrick;;12;55.75;8;28.5;-3;0.75;8.75
+;14;36.5;Aregger Fabian (2001);;15;55.0;14;36.5;0;0.0;10.0
o;12;46.5;Ambühl Joel;**;6;57.25;9;47.25;-3;0.75;8.75

14r;Suter Pirmin;;;;;;;;;;55.25
+;;;Wicki Patrick;;;;;;;;9.75
+;3;9.75;Vogel Manuel;;15;55.0;2;10.0;-1;0.25;9.75
+;4;19.5;Suppiger Thomas;*;12;55.75;7;18.5;3;-1.0;10.0
o;4;29.5;Bürli Roger;**;10;56.25;9;28.25;5;-1.25;8.75
o;7;38.25;Fankhauser Reto;**;6;57.25;9;37.75;2;-0.5;8.5
o;11;46.75;Jund Matthias;;10;56.25;12;46.5;1;-0.25;8.5

14s;Fellmann Simon;;;;;;;;;;55.25
+;;;Schmid Julian (2001);;;;;;;;9.75
+;3;9.75;Wyrsch Hansi;;22;53.25;2;10.0;-1;0.25;10.0
o;3;19.75;Scheuber Lutz;**;7;57.0;6;18.75;3;-1.0;8.5
o;9;28.25;Odermatt Andreas;*;12;55.75;12;27.5;3;-0.75;8.5
+;13;36.75;Bissig Lukas (2003);;21;53.5;14;36.5;1;-0.25;10.0
o;11;46.75;Waser Reto;*;8;56.75;11;46.75;0;0.0;8.5

15a;Gerber Peter;*;;;;;;;;;55.0
+;;;Zurﬂuh Michael;*;;;;;;;10.0
+;2;10.0;Wandeler Roman (2002);;14;55.25;3;9.75;1;-0.25;9.75
o;3;19.75;Schuler Christian;***;6;57.25;6;18.75;3;-1.0;8.5
+;9;28.25;Lustenberger Florian (2002);;13;55.5;8;28.5;-1;0.25;9.75
o;8;38.0;Schneider Mario;**;6;57.25;11;37.25;3;-0.75;8.5
o;12;46.5;Brun Jonas;**;8;56.75;10;47.0;-2;0.5;8.5

15b;Hess Dominik;*;;;;;;;;;55.0
-;;;Zurﬂuh Roman;**;;;;;;;9.0
+;4;9.0;Wyrsch Silvio;*;13;55.5;6;8.5;2;-0.5;10.0
+;5;19.0;Lustenberger Marc (2003);;14;55.25;2;20.0;-3;1.0;10.0
o;6;29.0;Suppiger Werner;**;6;57.25;7;28.75;1;-0.25;8.5
-;10;37.5;Marti Simon;;14;55.25;8;38.0;-2;0.5;9.0
o;12;46.5;Müller Michael;**;7;57.0;10;47.0;-2;0.5;8.5

15c;Auf der Maur Alex;;;;;;;;;;55.0
+;;;Fallegger Joel;;;;;;;;9.75
o;3;9.75;Muff Reto;;18;54.25;2;10.0;-1;0.25;8.5
+;8;18.25;Johann Michael (2001);;21;53.5;8;18.25;0;0.0;9.75
o;10;28.0;Hirsiger Alexander;*;17;54.5;13;27.25;3;-0.75;8.5
o;14;36.5;Kammermann Christoph;*;17;54.5;16;36.0;2;-0.5;8.5
+;18;45.0;Renggli Remo (2001);;20;53.75;17;45.25;-1;0.25;10.0

15d;Zgraggen Peter;;;;;;;;;;55.0
+;;;Jauch Marco (2002);;;;;;;;10.0
-;2;10.0;Supper Frederik;;16;54.75;3;9.75;1;-0.25;8.75
o;6;18.75;Höﬂiger Andreas;**;11;56.0;10;17.75;4;-1.0;8.5
-;13;27.25;Weber Ivo;;15;55.0;12;27.5;-1;0.25;9.0
-;15;36.25;Suter Bruno (2002);;17;54.5;17;35.75;2;-0.5;9.0
+;17;45.25;Risi Janik;;21;53.5;18;45.0;1;-0.25;9.75

15e;Weber Ivo;;;;;;;;;;55.0
+;;;Widmer Dominik;;;;;;;;10.0
-;2;10.0;Wüest David;;13;55.5;2;10.0;0;0.0;8.75
-;6;18.75;Thalmann Thomas;*;17;54.5;11;17.5;5;-1.25;8.75
-;12;27.5;Zgraggen Peter;;15;55.0;13;27.25;1;-0.25;8.75
-;15;36.25;Bussmann Martin;;20;53.75;15;36.25;0;0.0;8.75
+;18;45.0;Muff Reto;;18;54.25;16;45.5;-2;0.5;10.0

15f;Vogel Manuel;;;;;;;;;;55.0
+;;;Rust Silvio (2001);;;;;;;;10.0
o;2;10.0;Suter Pirmin;;14;55.25;3;9.75;1;-0.25;8.5
+;7;18.5;Theiler Thomas;;28;35.75;7;18.5;0;0.0;9.75
o;9;28.25;Fellmann Roman;**;10;56.25;11;27.75;2;-0.5;8.5
+;13;36.75;Lustenberger Florian (2002);;13;55.5;12;37.0;-1;0.25;9.75
o;12;46.5;Höﬂiger Andreas;**;11;56.0;13;46.25;1;-0.25;8.5

15g;Wenger Ruedi;;;;;;;;;;55.0
+;;;Hodel Martin;;;;;;;;9.75
+;3;9.75;Ziegler Elias;;13;55.5;2;10.0;-1;0.25;9.75
o;4;19.5;Müller Michael;**;7;57.0;7;18.5;3;-1.0;8.5
o;10;28.0;Schaller Noah;;14;55.25;10;28.0;0;0.0;8.75
o;13;36.75;Egli Damian;**;8;56.75;12;37.0;-1;0.25;8.5
+;17;45.25;Ming Christian 2;;19;54.0;16;45.5;-1;0.25;9.75

15h;Aregger Fabian (2001);;;;;;;;;;55.0
+;;;Achermann Christian (2002);;;;;;;;9.75
o;3;9.75;Kaufmann Reto (2002);;8;56.75;2;10.0;-1;0.25;8.5
+;8;18.25;Wyrsch Gabriel (2001);;20;53.75;8;18.25;0;0.0;9.75
o;10;28.0;Durrer Fabian;*;14;55.25;11;27.75;1;-0.25;8.5
o;14;36.5;Imfeld Beat;*;17;54.5;16;36.0;2;-0.5;8.5
+;18;45.0;Bissig Lukas (2003);;21;53.5;18;45.0;0;0.0;10.0

16a;Epp Elias (2003);;;;;;;;;;54.75
+;;;Peter Lukas (2001);;;;;;;;9.75
o;3;9.75;Huser Christian;;14;55.25;3;9.75;0;0.0;8.5
+;8;18.25;Duss Yvan (2003);;30;35.25;8;18.25;0;0.0;9.75
o;10;28.0;Dissler Philipp;*;13;55.5;14;27.0;4;-1.0;8.5
+;14;36.5;Burri Ueli;;21;53.5;16;36.0;2;-0.5;9.75
o;13;46.25;Grab Daniel;**;10;56.25;13;46.25;0;0.0;8.5

16b;Herger Andreas;;;;;;;;;;54.75
+;;;Achermann Severin;;;;;;;;10.0
o;2;10.0;Troxler Jonas;;8;56.75;2;10.0;0;0.0;8.75
o;6;18.75;Binggeli Stefan;**;10;56.25;11;17.5;5;-1.25;8.5
-;13;27.25;Murpf Dario;;16;54.75;12;27.5;-1;0.25;9.0
+;15;36.25;Schumacher Ramon (2002);;23;53.0;17;35.75;2;-0.5;9.75
-;14;46.0;Hirsiger Alexander;*;17;54.5;14;46.0;0;0.0;8.75

16c;Bachmann Roger;*;;;;;;;;;54.75
-;;;Gasser Peter;*;;;;;;;8.75
o;5;8.75;Murer Andy;**;8;56.75;5;8.75;0;0.0;8.5
-;12;17.25;Lagler Christian;;17;54.5;6;18.75;-6;1.5;8.75
+;17;26.0;Egli Matthias (2001);;17;54.5;13;27.25;-4;1.25;10.0
+;16;36.0;Risi Janik;;21;53.5;14;36.5;-2;0.5;10.0
-;14;46.0;Bürgler Lukas;*;16;54.75;14;46.0;0;0.0;8.75

16d;Bürgler Lukas;*;;;;;;;;;54.75
o;;;Muff Armin;**;;;;;;;8.5
o;6;8.5;Bernet Christoph;*;10;56.25;5;8.75;-1;0.25;8.5
-;13;17.0;Schöpfer Marco (2003);;16;54.75;7;18.5;-6;1.5;9.0
+;17;26.0;Wicki David (2002);;29;35.5;14;27.0;-3;1.0;10.0
+;16;36.0;Marti Philipp (2002);;19;54.0;14;36.5;-2;0.5;10.0
-;14;46.0;Bachmann Roger;*;16;54.75;14;46.0;0;0.0;8.75

16e;Schöpfer Marco (2003);;;;;;;;;;54.75
+;;;Bernet Raffael;;;;;;;;10.0
o;2;10.0;Auf der Maur Michael;;19;54.0;2;10.0;0;0.0;8.5
-;7;18.5;Bürgler Lukas;*;16;54.75;13;17.0;6;-1.5;9.0
o;12;27.5;Lagler Christian;;17;54.5;12;27.5;0;0.0;8.5
-;16;36.0;Kälin Michael (2002);;21;53.5;16;36.0;0;0.0;9.0
+;18;45.0;Schürpf Bruno;*;18;54.25;15;45.75;-3;0.75;9.75

16f;Durrer Jonas (2003);*;;;;;;;;;54.75
o;;;Bättig Martin;*;;;;;;;8.5
-;6;8.5;Kammermann Thomas;*;12;55.75;6;8.5;0;0.0;9.0
+;11;17.5;Peter Lukas (2001);;29;35.5;7;18.5;-4;1.0;10.0
-;12;27.5;Wicki David;;12;55.75;8;28.5;-4;1.0;8.75
-;15;36.25;Wyss Christian;;11;56.0;11;37.25;-4;1.0;8.75
+;18;45.0;Zihlmann Pascal (2003);;19;54.0;16;45.5;-2;0.5;9.75

16g;Hürlimann Mathias;*;;;;;;;;;54.75
o;;;Zgraggen Fabian;*;;;;;;;8.75
o;5;8.75;Fankhauser Reto;**;6;57.25;4;9.0;-1;0.25;8.5
-;12;17.25;Bussmann Martin;;20;53.75;7;18.5;-5;1.25;9.0
+;16;26.25;Wigger Fabian;;23;53.0;13;27.25;-3;1.0;10.0
+;15;36.25;Portmann Curdin (2003);;21;53.5;14;36.5;-1;0.25;10.0
o;13;46.25;Kempf Elias;**;10;56.25;13;46.25;0;0.0;8.5

16h;Hodel Martin;;;;;;;;;;54.75
o;;;Wenger Ruedi;;;;;;;;8.5
-;6;8.5;Fallegger Joel;;16;54.75;6;8.5;0;0.0;9.0
-;11;17.5;Brunner Timon;;17;54.5;12;17.25;1;-0.25;8.75
+;16;26.25;Giger Janik (2002);;30;35.25;15;26.75;-1;0.5;9.75
o;16;36.0;Barmet Sven;;12;55.75;13;36.75;-3;0.75;8.75
+;19;44.75;Jauch Marco (2002);;22;53.25;19;44.75;0;0.0;10.0

16i;Supper Frederik;;;;;;;;;;54.75
+;;;Schmidiger Kevin (2002);;;;;;;;9.75
-;3;9.75;Zgraggen Peter;;15;55.0;2;10.0;-1;0.25;8.75
-;7;18.5;Egli Adrian (2002);;17;54.5;7;18.5;0;0.0;8.75
o;13;27.25;Thalmann Thomas;*;17;54.5;16;26.25;3;-1.0;8.5
-;17;35.75;Egli Matthias (2001);;17;54.5;17;35.75;0;0.0;9.0
+;19;44.75;Stäger Franz;;18;54.25;15;45.75;-4;1.0;10.0

16j;Fallegger Joel;;;;;;;;;;54.75
o;;;Auf der Maur Alex;;;;;;;;8.5
-;6;8.5;Hodel Martin;;16;54.75;6;8.5;0;0.0;9.0
+;11;17.5;Birrer Marcel (2001);;29;35.5;8;18.25;-3;0.75;10.0
-;12;27.5;Felder Seppi;*;13;55.5;14;27.0;2;-0.5;8.75
+;15;36.25;Broch Marcel (2002);;24;52.75;17;35.75;2;-0.5;10.0
o;13;46.25;Arnold Raphael;**;10;56.25;13;46.25;0;0.0;8.5

16k;Murpf Dario;;;;;;;;;;54.75
-;;;Stäger Franz;;;;;;;;9.0
+;4;9.0;Füglister Florian (2002);;30;35.25;6;8.5;2;-0.5;10.0
o;5;19.0;Durrer Fabian;*;14;55.25;9;18.0;4;-1.0;8.5
-;12;27.5;Herger Andreas;;16;54.75;13;27.25;1;-0.25;8.75
-;15;36.25;Lagler Reto;;18;54.25;17;35.75;2;-0.5;8.75
+;18;45.0;Wyrsch Hansi;;22;53.25;19;44.75;1;-0.25;9.75

17a;Imfeld Beat;*;;;;;;;;;54.5
o;;;Achermann Christoph;*;;;;;;;8.5
o;6;8.5;Müller Michael;**;7;57.0;6;8.5;0;0.0;8.5
-;13;17.0;Krummenacher Roman;;18;54.25;7;18.5;-6;1.5;9.0
+;17;26.0;Schumacher Ramon (2002);;23;53.0;13;27.25;-4;1.25;10.0
+;16;36.0;Aregger Fabian (2001);;15;55.0;14;36.5;-2;0.5;9.75
-;15;45.75;Gabriel Simon (2002);;17;54.5;15;45.75;0;0.0;8.75

17b;Kammermann Christoph;*;;;;;;;;;54.5
-;;;Würsch Lars;*;;;;;;;8.75
o;5;8.75;Heinzer Stefan;**;1;112.0;1;17.0;-4;8.25;8.5
+;12;17.25;Waser Christoph (2002);;14;55.25;7;18.5;-5;1.25;10.0
-;13;27.25;Della Torre Simon;;13;55.5;10;28.0;-3;0.75;8.75
+;16;36.0;Auf der Maur Alex;;15;55.0;14;36.5;-2;0.5;10.0
o;14;46.0;Kenel Franz-Toni;*;12;55.75;14;46.0;0;0.0;8.5

17c;Lagler Christian;;;;;;;;;;54.5
+;;;Vogel Marcel;;;;;;;;10.0
-;2;10.0;Felder Seppi;*;13;55.5;3;9.75;1;-0.25;8.75
-;6;18.75;Bachmann Roger;*;16;54.75;12;17.25;6;-1.5;8.75
+;12;27.5;Schöpfer Marco (2003);;16;54.75;12;27.5;0;0.0;9.75
o;11;37.25;Vogel Remo;**;10;56.25;10;37.5;-1;0.25;8.75
o;14;46.0;Wyss Christian;;11;56.0;14;46.0;0;0.0;8.5

17d;Amrhyn Christoph (2002);;;;;;;;;;54.5
o;;;Wyrsch Hansi;;;;;;;;8.75
-;5;8.75;Rust Silvio (2001);;31;34.75;6;8.5;1;-0.25;9.0
+;10;17.75;Broch Marcel (2002);;24;52.75;11;17.5;1;-0.25;10.0
o;11;27.75;Suppiger Thomas;*;12;55.75;13;27.25;2;-0.5;8.5
+;15;36.25;Heller Ivan (2003);;18;54.25;17;35.75;2;-0.5;9.75
o;14;46.0;Arnold Severin;*;11;56.0;14;46.0;0;0.0;8.5

17e;Brunner Timon;;;;;;;;;;54.5
o;;;Wandeler Roman (2002);;;;;;;;8.5
-;6;8.5;Portmann Curdin (2003);;21;53.5;4;9.0;-2;0.5;8.75
-;12;17.25;Hodel Martin;;16;54.75;11;17.5;-1;0.25;8.75
+;17;26.0;Achermann Ueli (2001);;30;35.25;15;26.75;-2;0.75;10.0
+;16;36.0;Marti Pirmin (2001);;24;52.75;17;35.75;1;-0.25;10.0
o;14;46.0;Odermatt Andreas;*;12;55.75;14;46.0;0;0.0;8.5

17f;Müller Roger;*;;;;;;;;;54.5
o;;;Arnold Severin;*;;;;;;;8.5
o;6;8.5;Kessler Joel;*;10;56.25;5;8.75;-1;0.25;8.5
+;13;17.0;Gabriel Simon (2002);;17;54.5;7;18.5;-6;1.5;10.0
-;14;27.0;von Euw Lukas (2002);;14;55.25;12;27.5;-2;0.5;9.0
+;16;36.0;Wyrsch Gabriel (2001);;20;53.75;14;36.5;-2;0.5;10.0
o;14;46.0;Gasser Peter;*;11;56.0;14;46.0;0;0.0;8.5

17g;Hirsiger Alexander;*;;;;;;;;;54.5
-;;;Murer Andy;**;;;;;;;8.75
o;5;8.75;Heinzer Stefan;*;1;112.0;1;17.0;-4;8.25;8.75
+;11;17.5;Föhn Christian (2002);;19;54.0;7;18.5;-4;1.0;9.75
+;13;27.25;Auf der Maur Alex;;15;55.0;10;28.0;-3;0.75;10.0
-;11;37.25;Herger Andreas;;16;54.75;15;36.25;4;-1.0;8.75
o;14;46.0;Burkhalter Stefan;***;11;56.0;14;46.0;0;0.0;8.5

17h;Wallimann Remo;*;;;;;;;;;54.5
o;;;Schmidiger Marco;*;;;;;;;8.5
-;6;8.5;Thalmann Thomas;*;17;54.5;6;8.5;0;0.0;9.0
+;11;17.5;Steinger Nico (2001);;24;52.75;6;18.75;-5;1.25;10.0
o;12;27.5;Troxler Jonas;;8;56.75;9;28.25;-3;0.75;8.5
o;16;36.0;Kurmann Jvo;;13;55.5;12;37.0;-4;1.0;8.75
+;19;44.75;Affentranger Martin;;21;53.5;18;45.0;-1;0.25;9.75

17i;Thalmann Thomas;*;;;;;;;;;54.5
o;;;Wyrsch Marco;**;;;;;;;8.5
-;6;8.5;Wallimann Remo;*;17;54.5;6;8.5;0;0.0;9.0
-;11;17.5;Weber Ivo;;15;55.0;6;18.75;-5;1.25;8.75
+;16;26.25;Supper Frederik;;16;54.75;13;27.25;-3;1.0;9.75
-;16;36.0;von Euw Lukas (2002);;14;55.25;14;36.5;-2;0.5;8.75
+;19;44.75;Wyrsch Gabriel (2001);;20;53.75;17;45.25;-2;0.5;9.75

17j;Egli Matthias (2001);;;;;;;;;;54.5
+;;;Koch Florian (2003);;;;;;;;10.0
-;2;10.0;Schmid Joel;;29;35.5;3;9.75;1;-0.25;8.75
o;6;18.75;Kenel Franz-Toni;*;12;55.75;11;17.5;5;-1.25;8.5
o;13;27.25;Bachmann Roger;*;16;54.75;17;26.0;4;-1.25;8.5
-;17;35.75;Supper Frederik;;16;54.75;17;35.75;0;0.0;9.0
+;19;44.75;Wigger Fabian;;23;53.0;20;44.5;1;-0.25;9.75

17k;Egli Adrian (2002);;;;;;;;;;54.5
-;;;von Ah Markus;;;;;;;;8.75
+;5;8.75;Baumeler Fabian;;33;34.25;6;8.5;1;-0.25;9.75
-;7;18.5;Supper Frederik;;16;54.75;7;18.5;0;0.0;9.0
o;12;27.5;Fässler Dominic;**;14;55.25;14;27.0;2;-0.5;8.5
+;16;36.0;Steinger Nico (2001);;24;52.75;17;35.75;1;-0.25;10.0
o;14;46.0;Oettli Marco;*;11;56.0;14;46.0;0;0.0;8.5

17l;Bucheli Dario (2001);;;;;;;;;;54.5
+;;;Wobmann Manuel (2003);;;;;;;;10.0
o;2;10.0;Schaller Noah;;14;55.25;3;9.75;1;-0.25;8.5
o;7;18.5;Gasser Peter;*;11;56.0;12;17.25;5;-1.25;8.5
+;14;27.0;Egli Samuel;;29;35.5;14;27.0;0;0.0;10.0
o;12;37.0;Murer Andy;**;8;56.75;12;37.0;0;0.0;8.5
-;16;45.5;Riebli Leon (2003);;18;54.25;17;45.25;1;-0.25;9.0

17m;Gabriel Simon (2002);;;;;;;;;;54.5
o;;;Achermann Daniel;;;;;;;;8.5
+;6;8.5;Burri Ueli;;21;53.5;6;8.5;0;0.0;10.0
o;7;18.5;Müller Roger;*;17;54.5;13;17.0;6;-1.5;8.5
-;14;27.0;Widmer Simon;;18;54.25;14;27.0;0;0.0;9.0
+;16;36.0;Schumacher Marco;;19;54.0;17;35.75;1;-0.25;9.75
-;15;45.75;Imfeld Beat;*;17;54.5;15;45.75;0;0.0;8.75

17n;Suter Bruno (2002);;;;;;;;;;54.5
+;;;Arnold Adrian (2001);;;;;;;;9.75
-;3;9.75;Schwyzer Samuel (2001);;14;55.25;4;9.0;1;-0.75;9.0
o;6;18.75;Schmidiger Marco;*;14;55.25;7;18.5;1;-0.25;8.5
o;13;27.25;Krummenacher Roman;;18;54.25;13;27.25;0;0.0;8.5
-;17;35.75;Zgraggen Peter;;15;55.0;15;36.25;-2;0.5;9.0
+;19;44.75;Schumacher Ramon (2002);;23;53.0;21;44.25;2;-0.5;9.75

18a;Schürpf Bruno;*;;;;;;;;;54.25
+;;;Schärli Reto;*;;;;;;;10.0
o;2;10.0;Gloggner Philipp;***;6;57.25;4;9.0;2;-1.0;8.5
-;7;18.5;Lustenberger Josef;;13;55.5;3;19.75;-4;1.25;8.75
+;13;27.25;Rust Sandro;;21;53.5;10;28.0;-3;0.75;10.0
o;11;37.25;Muff Armin;**;9;56.5;10;37.5;-1;0.25;8.5
o;15;45.75;Schöpfer Marco (2003);;16;54.75;18;45.0;3;-0.75;8.5

18b;Heller Ivan (2003);;;;;;;;;;54.25
o;;;Renggli Remo (2001);;;;;;;;8.5
-;6;8.5;Rogenmoser Linus (2002);;29;35.5;6;8.5;0;0.0;8.75
o;12;17.25;von Euw Lukas (2002);;14;55.25;11;17.5;-1;0.25;8.5
+;18;25.75;Albisser Jannik (2003);;34;34.0;19;25.5;1;-0.25;10.0
o;17;35.75;Amrhyn Christoph (2002);;17;54.5;15;36.25;-2;0.5;8.75
+;20;44.5;Krieg Silvan;;24;52.75;21;44.25;1;-0.25;9.75

18c;Müller Daniel (2002);;;;;;;;;;54.25
+;;;Bürli Daniel (2003);;;;;;;;10.0
o;2;10.0;Renggli Remo (2001);;20;53.75;2;10.0;0;0.0;8.75
o;6;18.75;Vogel Remo;**;10;56.25;11;17.5;5;-1.25;8.5
o;13;27.25;Doppmann Ueli;;13;55.5;13;27.25;0;0.0;8.5
+;17;35.75;Wicki Fabian (2001);;18;54.25;16;36.0;-1;0.25;10.0
o;15;45.75;Schmid Simon;*;12;55.75;15;45.75;0;0.0;8.5

18d;Zumstein Patrick;;;;;;;;;;54.25
+;;;Johann Kilian (2003);;;;;;;;10.0
+;2;10.0;Hodler Mathias;;19;54.0;2;10.0;0;0.0;10.0
o;2;20.0;Zürcher Ueli;*;7;57.0;3;19.75;1;-0.25;8.5
o;8;28.5;Achermann Christoph;*;13;55.5;10;28.0;2;-0.5;8.5
o;12;37.0;Achermann Simon;;13;55.5;12;37.0;0;0.0;8.5
o;16;45.5;Achermann Severin;;13;55.5;16;45.5;0;0.0;8.75

18e;Muff Reto;;;;;;;;;;54.25
+;;;Erni Jano (2003);;;;;;;;10.0
+;2;10.0;Auf der Maur Alex;;15;55.0;3;9.75;1;-0.25;9.75
o;3;19.75;Waser Dominik;**;10;56.25;7;18.5;4;-1.25;8.5
o;9;28.25;Scherer Niklaus;*;13;55.5;13;27.25;4;-1.0;8.5
o;13;36.75;Betschart Daniel;;14;55.25;12;37.0;-1;0.25;8.75
o;16;45.5;Weber Ivo;;15;55.0;18;45.0;2;-0.5;8.75

18f;Stäger Franz;;;;;;;;;;54.25
-;;;Murpf Dario;;;;;;;;9.0
+;4;9.0;Hodel Iwan (2002);;29;35.5;6;8.5;2;-0.5;9.75
o;6;18.75;Oettli Marco;*;11;56.0;11;17.5;5;-1.25;8.5
