5605-2021-08-15_Zuger_Kantonales_Schwingfest-ST

1a;Bieri Marcel;***;;;;;;;;;58.5
4b;Schuler Christian;***;;;;;;;;;57.25
+;;;Vogel Remo;**;;;;;;;10.0
-;1;10.0;Bieri Marcel;***;1;58.5;1;10.0;0;0.0;8.75
+;5;18.75;Reichmuth Marco;**;3;57.5;2;19.75;-3;1.0;10.0
+;2;28.75;Müller Roger;*;15;54.5;4;28.25;2;-0.5;10.0
+;1;38.75;Imhof Andi;***;5;57.0;1;38.75;0;0.0;9.75
o;1;48.5;Bieri Marcel;***;1;58.5;1;48.5;0;0.0;8.75

5a;Lang Sven;**;;;;;;;;;57.0
o;;;Bieri Marcel;***;;;;;;;8.5
-;5;8.5;Odermatt Remo;*;11;55.5;5;8.5;0;0.0;9.0
+;10;17.5;Bürgi Simon (2003);;16;54.25;6;18.5;-4;1.0;10.0
+;7;27.5;Schmid Pius;;13;55.0;5;28.0;-2;0.5;9.75
+;7;37.25;Bernhard Lukas;**;10;55.75;7;37.25;0;0.0;9.75
+;7;47.0;Omlin Toni;*;10;55.75;6;47.25;-1;0.25;10.0

5b;Lemmenmeier Lukas;*;;;;;;;;;57.0
-;;;Huber Alex;*;;;;;;;8.75
+;4;8.75;Moos Christoph;*;11;55.5;2;9.75;-2;1.0;10.0
+;5;18.75;Kathriner Severin;;12;55.25;2;19.75;-3;1.0;10.0
+;2;28.75;Waser Dominik;**;5;57.0;3;28.5;1;-0.25;10.0
o;1;38.75;Reichmuth Marco;**;3;57.5;4;38.0;3;-0.75;8.5
+;6;47.25;Schmid Pius;;13;55.0;9;46.5;3;-0.75;9.75

5c;Huber Alex;*;;;;;;;;;57.0
-;;;Lemmenmeier Lukas;*;;;;;;;8.75
+;4;8.75;Fellmann Roman;**;14;54.75;4;8.75;0;0.0;9.75
+;6;18.5;Duss Yvan (2003);;12;55.25;2;19.75;-4;1.25;10.0
+;3;28.5;Schöpfer Ronny;**;8;56.25;2;28.75;-1;0.25;9.75
-;3;38.25;Schmid Simon;*;24;47.0;3;38.25;0;0.0;8.75
+;7;47.0;Wyss Christian;;12;55.25;8;46.75;1;-0.25;9.75
+;6;56.75;Meier Daniel;;12;55.25;12;55.25;6;-1.5;0.25

5d;Vogel Marcel;;;;;;;;;;57.0
+;;;Epp Elias (2003);;;;;;;;10.0
-;1;10.0;Durrer Ueli;;14;54.75;1;10.0;0;0.0;8.75
o;5;18.75;Waser Dominik;**;5;57.0;6;18.5;1;-0.25;8.5
+;8;27.25;Herger Lars (2005);;20;53.25;8;27.25;0;0.0;9.75
+;8;37.0;Rogenmoser Linus;;18;53.75;9;36.75;1;-0.25;10.0
+;7;47.0;Bucher Christian;**;11;55.5;7;47.0;0;0.0;10.0

5e;Wyrsch Silvio;*;;;;;;;;;57.0
o;;;Waser Christoph;*;;;;;;;8.5
+;5;8.5;Bucher Roland;*;13;55.0;4;8.75;-1;0.25;10.0
+;6;18.5;Suter Samuel;;15;54.5;6;18.5;0;0.0;10.0
o;3;28.5;Bucher Christian;**;11;55.5;4;28.25;1;-0.25;8.5
+;8;37.0;Auf der Maur Alex;;15;54.5;7;37.25;-1;0.25;10.0
+;7;47.0;Effinger Markus;*;12;55.25;8;46.75;1;-0.25;10.0

5f;Imhof Andi;***;;;;;;;;;57.0
-;;;Ambühl Joel;**;;;;;;;8.75
+;4;8.75;Graber Michael;*;10;55.75;2;9.75;-2;1.0;10.0
+;5;18.75;Hegner Ueli;*;7;56.5;2;19.75;-3;1.0;10.0
+;2;28.75;Scherer Niklaus;**;9;56.0;2;28.75;0;0.0;10.0
o;1;38.75;Schuler Christian;***;4;57.25;1;38.75;0;0.0;8.5
+;6;47.25;Elsener Marcel;*;11;55.5;7;47.0;1;-0.25;9.75

5g;Ambühl Joel;**;;;;;;;;;57.0
-;;;Imhof Andi;***;;;;;;;8.75
+;4;8.75;Waser Reto;*;13;55.0;1;10.0;-3;1.25;9.75
+;6;18.5;Waser Raphael;;15;54.5;5;18.75;-1;0.25;10.0
+;3;28.5;Bienz Romeo;*;11;55.5;3;28.5;0;0.0;9.75
+;3;38.25;Bucher Christian;**;11;55.5;3;38.25;0;0.0;10.0
-;2;48.25;Arnold Stefan;**;7;56.5;4;47.75;2;-0.5;8.75

5h;Wicki David;;;;;;;;;;57.0
+;;;Bissig Julian (2003);;;;;;;;10.0
+;1;10.0;Styger Alex (2003);;18;53.75;2;9.75;1;-0.25;9.75
-;2;19.75;Schürpf Bruno;*;3;57.5;5;18.75;3;-1.0;8.75
o;3;28.5;Odermatt Christian;**;6;56.75;4;28.25;1;-0.25;8.5
+;8;37.0;Staub Ivan;;18;53.75;9;36.75;1;-0.25;10.0
+;7;47.0;Waser Reto;*;13;55.0;9;46.5;2;-0.5;10.0

5i;Lustenberger Josef;*;;;;;;;;;57.0
+;;;Gisler Jonas;*;;;;;;;9.75
o;2;9.75;Arnold Stefan;**;7;56.5;1;10.0;-1;0.25;8.5
+;7;18.25;Hürlimann Marco;;11;55.5;2;19.75;-5;1.5;9.75
-;5;28.0;Zimmermann Martin;***;9;56.0;8;27.25;3;-0.75;9.0
+;8;37.0;Gisler Silvan;;12;55.25;9;36.75;1;-0.25;10.0
