5605-2021-08-15_Zuger_Kantonales_Schwingfest-ST

1a;Bieri Marcel;***;;;;;;;;;58.5
-;8;46.75;Bürgi Reto;*;11;55.5;8;46.75;0;0.0;8.75

11b;Bucher Christian;**;;;;;;;;;55.5
o;;;Odermatt Christian;**;;;;;;;8.5
+;5;8.5;Ulrich Gregor;*;25;45.25;5;8.5;0;0.0;9.75
+;7;18.25;Bühlmann Daniel;;15;54.5;5;18.75;-2;0.5;10.0
+;4;28.25;Wyrsch Silvio;*;5;57.0;3;28.5;-1;0.25;10.0
o;3;38.25;Ambühl Joel;**;5;57.0;3;38.25;0;0.0;8.75
o;7;47.0;Vogel Marcel;;5;57.0;7;47.0;0;0.0;8.5

11c;Moos Christoph;*;;;;;;;;;55.5
+;;;Reichmuth Lukas;*;;;;;;;9.75
o;2;9.75;Lemmenmeier Lukas;*;5;57.0;4;8.75;2;-1.0;8.5
-;7;18.25;Lüthy Ralph;;9;56.0;6;18.5;-1;0.25;8.75
+;9;27.0;Wiget Ueli;;14;54.75;6;27.75;-3;0.75;10.0
o;8;37.0;Bissig Lukas (2003);*;7;56.5;9;36.75;1;-0.25;8.5
+;13;45.5;Arnold Lukas;;17;54.0;13;45.5;0;0.0;10.0

11d;Herger Andreas;;;;;;;;;;55.5
-;;;Gwerder Fabian;;;;;;;;8.75
+;4;8.75;Wiss Ivan (2004);;15;54.5;4;8.75;0;0.0;9.75
o;6;18.5;Kälin Remo;*;15;54.5;10;17.5;4;-1.0;8.5
o;9;27.0;Auf der Maur Alex;;15;54.5;8;27.25;-1;0.25;8.5
+;14;35.5;Furrer Fabian;;17;54.0;14;35.5;0;0.0;10.0
+;13;45.5;Hess Dominik;*;17;54.0;13;45.5;0;0.0;10.0

11e;Bürgi Reto;*;;;;;;;;;55.5
-;;;Scherrer Fabian;*;;;;;;;8.75
+;4;8.75;Stöckli Damian;*;7;56.5;3;9.0;-1;0.25;9.75
+;6;18.5;Gabriel Simon;;14;54.75;2;19.75;-4;1.25;9.75
-;4;28.25;Egli Damian;**;8;56.25;2;28.75;-2;0.5;8.75
+;8;37.0;Büeler Ivo (2004);;19;53.5;10;36.5;2;-0.5;9.75
-;8;46.75;Bienz Romeo;*;11;55.5;8;46.75;0;0.0;8.75

11f;Suter Beat;*;;;;;;;;;55.5
+;;;Elmiger Andreas;*;;;;;;;10.0
o;1;10.0;Odermatt Christian;**;6;56.75;2;9.75;1;-0.25;8.5
+;6;18.5;Staffelbach Noah (2003);;14;54.75;3;19.5;-3;1.0;9.75
-;4;28.25;Graber Michael;*;10;55.75;4;28.25;0;0.0;8.75
+;8;37.0;Wigger Simon;;17;54.0;8;37.0;0;0.0;10.0
o;7;47.0;Jund Matthias;;6;56.75;7;47.0;0;0.0;8.5

11g;Von Euw Adi;;;;;;;;;;55.5
+;;;Wigger Simon;;;;;;;;10.0
o;1;10.0;Gabriel Simon;;14;54.75;1;10.0;0;0.0;8.5
o;6;18.5;Elmiger Andreas;*;12;55.25;11;17.25;5;-1.25;8.5
+;9;27.0;Christen Silvan;;27;35.0;11;26.5;2;-0.5;10.0
o;8;37.0;Omlin Toni;*;10;55.75;7;37.25;-1;0.25;8.5
+;13;45.5;Suter Joel (2004);;17;54.0;13;45.5;0;0.0;10.0

11h;Betschart Marcel;*;;;;;;;;;55.5
o;;;Waser Reto;*;;;;;;;8.5
o;5;8.5;Effinger Markus;*;12;55.25;5;8.5;0;0.0;8.5
+;12;17.0;Arnold Lukas;;17;54.0;7;18.25;-5;1.25;10.0
+;9;27.0;Staffelbach Noah (2003);;14;54.75;5;28.0;-4;1.0;9.75
o;9;36.75;Zimmermann Martin;***;9;56.0;11;36.25;2;-0.5;8.75
+;13;45.5;Andermatt Reto;;19;53.5;15;45.0;2;-0.5;10.0

11i;Föhn Christian;;;;;;;;;;55.5
+;;;Zimmermann Gian (2004);;;;;;;;9.75
-;2;9.75;Duss Livio (2005);;18;53.75;2;9.75;0;0.0;8.75
o;6;18.5;Durrer Nando;*;12;55.25;9;17.75;3;-0.75;8.5
o;9;27.0;Bühlmann Daniel;;15;54.5;8;27.25;-1;0.25;8.5
+;14;35.5;Rust Silvio;;22;52.75;14;35.5;0;0.0;10.0
+;13;45.5;Lienhard Ramon (2004);;17;54.0;13;45.5;0;0.0;10.0

11j;Elsener Marcel;*;;;;;;;;;55.5
+;;;Gwerder Andreas;*;;;;;;;10.0
o;1;10.0;Fankhauser Marco;**;2;58.0;4;8.75;3;-1.25;8.5
-;6;18.5;Durrer Ueli;;14;54.75;5;18.75;-1;0.25;8.75
+;8;27.25;von Rickenbach Carlo (2005);;19;53.5;5;28.0;-3;0.75;9.75
+;8;37.0;Laimbacher Cyrill (2004);;18;53.75;9;36.75;1;-0.25;10.0
o;7;47.0;Imhof Andi;***;5;57.0;6;47.25;-1;0.25;8.5

11k;Bucher Thomas;*;;;;;;;;;55.5
-;;;Bissig Fabian;*;;;;;;;8.75
+;4;8.75;Lustenberger Marc (2003);*;10;55.75;3;9.0;-1;0.25;9.75
+;6;18.5;Jund Matthias;;6;56.75;1;20.0;-5;1.5;9.75
o;4;28.25;Fankhauser Marco;**;2;58.0;3;28.5;-1;0.25;8.5
-;9;36.75;Lüthy Ralph;;9;56.0;7;37.25;-2;0.5;8.75
+;13;45.5;Ming Hannes;;16;54.25;12;45.75;-1;0.25;10.0

11l;Hürlimann Marco;;;;;;;;;;55.5
+;;;Albert Thomas;;;;;;;;9.75
+;2;9.75;Schwegler Flavio (2004);;19;53.5;2;9.75;0;0.0;10.0
o;2;19.75;Lustenberger Josef;*;5;57.0;7;18.25;5;-1.5;8.75
-;3;28.5;Kälin Remo;*;15;54.5;8;27.25;5;-1.25;8.75
o;7;37.25;Wyss Christian;;12;55.25;8;37.0;1;-0.25;8.5
+;12;45.75;Bättig Patrick (2003);;15;54.5;11;46.0;-1;0.25;9.75

11m;Odermatt Remo;*;;;;;;;;;55.5
o;;;Graber Michael;*;;;;;;;8.5
-;5;8.5;Lang Sven;**;5;57.0;5;8.5;0;0.0;8.75
+;11;17.25;Erni Remo (2005);;19;53.5;7;18.25;-4;1.0;10.0
+;8;27.25;Schöpfer Marco (2003);;12;55.25;4;28.25;-4;1.0;9.75
+;8;37.0;Elmiger Andreas;*;12;55.25;9;36.75;1;-0.25;9.75
-;8;46.75;Beffa Mario;;12;55.25;9;46.5;1;-0.25;8.75

11n;Albert Thomas;;;;;;;;;;55.5
o;;;Hürlimann Marco;;;;;;;;8.75
+;4;8.75;Gloggner Matthias (2005);;26;35.25;2;9.75;-2;1.0;9.75
o;6;18.5;Reichmuth Lukas;*;9;56.0;11;17.25;5;-1.25;8.5
+;9;27.0;Lienhard Ramon (2004);;17;54.0;9;27.0;0;0.0;10.0
+;8;37.0;Ziegler Elias;;18;53.75;9;36.75;1;-0.25;10.0
o;7;47.0;Bissig Lukas (2003);*;7;56.5;8;46.75;1;-0.25;8.5

12a;Wyss Christian;;;;;;;;;;55.25
+;;;Eberli Sandro (2004);;;;;;;;10.0
+;1;10.0;Müller Philipp (2005);;18;53.75;1;10.0;0;0.0;10.0
o;1;20.0;Burch Jonas;**;4;57.25;5;18.75;4;-1.25;8.5
o;3;28.5;Reichmuth Marco;**;3;57.5;4;28.25;1;-0.25;8.5
+;8;37.0;Hürlimann Marco;;11;55.5;7;37.25;-1;0.25;9.75
o;8;46.75;Huber Alex;*;5;57.0;7;47.0;-1;0.25;8.5

12b;Elmiger Andreas;*;;;;;;;;;55.25
o;;;Suter Beat;*;;;;;;;8.75
o;4;8.75;Omlin Toni;*;10;55.75;4;8.75;0;0.0;8.5
+;11;17.25;Von Euw Adi;;11;55.5;6;18.5;-5;1.25;9.75
+;9;27.0;Steiner Severin;;13;55.0;7;27.5;-2;0.5;9.75
o;9;36.75;Odermatt Remo;*;11;55.5;8;37.0;-1;0.25;8.5
+;14;45.25;Kathriner Andreas (2003);;17;54.0;13;45.5;-1;0.25;10.0

12c;Meier Daniel;;;;;;;;;;55.25
+;;;Rust Silvio;;;;;;;;9.75
o;2;9.75;Bühler Kilian;;10;55.75;1;10.0;-1;0.25;8.5
o;7;18.25;Ulrich Gregor;*;25;45.25;12;17.0;5;-1.25;8.5
+;10;26.75;Rust Lorin (2004);;28;34.75;12;26.25;2;-0.5;10.0
+;9;36.75;Wicki Kevin;;15;54.5;12;36.0;3;-0.75;10.0
o;8;46.75;Huber Alex;*;5;57.0;7;47.0;-1;0.25;8.5

12d;Gisler Silvan;;;;;;;;;;55.25
o;;;Bürgi Simon (2003);;;;;;;;8.5
+;5;8.5;Büeler Ivo (2004);;19;53.5;5;8.5;0;0.0;9.75
+;7;18.25;Fässler Werner (2005);;20;53.25;8;18.0;1;-0.25;10.0
o;4;28.25;Schürpf Bruno;*;3;57.5;7;27.5;3;-0.75;8.5
o;9;36.75;Lustenberger Josef;*;5;57.0;8;37.0;-1;0.25;8.5
+;14;45.25;Müller Philipp (2005);;18;53.75;14;45.25;0;0.0;10.0

12e;Effinger Markus;*;;;;;;;;;55.25
o;;;Waser Dominik;**;;;;;;;8.5
+;5;8.5;Betschart Marcel;*;11;55.5;5;8.5;0;0.0;9.75
+;7;18.25;Müller Luca (2004);;10;55.75;4;19.0;-3;0.75;10.0
+;4;28.25;Gabriel Simon;;14;54.75;4;28.25;0;0.0;10.0
o;3;38.25;Arnold Stefan;**;7;56.5;4;38.0;1;-0.25;8.5
o;8;46.75;Wyrsch Silvio;*;5;57.0;7;47.0;-1;0.25;8.5

12f;Schöpfer Marco (2003);;;;;;;;;;55.25
+;;;Auf der Maur Alex;;;;;;;;10.0
+;1;10.0;Arnold Lukas;;17;54.0;2;9.75;1;-0.25;9.75
o;2;19.75;Waser Reto;*;13;55.0;6;18.5;4;-1.25;8.5
o;4;28.25;Odermatt Remo;*;11;55.5;8;27.25;4;-1.0;8.5
+;9;36.75;Kathriner Severin;;12;55.25;9;36.75;0;0.0;10.0
o;8;46.75;Odermatt Christian;**;6;56.75;8;46.75;0;0.0;8.5

12g;Rust Sandro;;;;;;;;;;55.25
+;;;Müller Marco;;;;;;;;9.75
o;2;9.75;Kathriner Severin;;12;55.25;2;9.75;0;0.0;8.5
+;7;18.25;Niederberger Mario (2005);;26;35.25;7;18.25;0;0.0;10.0
o;4;28.25;Durrer Nando;*;12;55.25;6;27.75;2;-0.5;8.5
o;9;36.75;Suter Lukas;;14;54.75;10;36.5;1;-0.25;8.5
+;14;45.25;Rogenmoser Ryan;;17;54.0;14;45.25;0;0.0;10.0

12h;Hürlimann Mathias;*;;;;;;;;;55.25
o;;;Müller Roger;*;;;;;;;8.5
o;5;8.5;Schmid Simon;*;24;47.0;4;8.75;-1;0.25;8.5
+;12;17.0;Durrer Ive;;32;27.0;6;18.5;-6;1.5;10.0
+;9;27.0;Elmiger Matthias;;10;55.75;7;27.5;-2;0.5;10.0
o;8;37.0;Nötzli Reto;***;7;56.5;9;36.75;1;-0.25;8.5
+;13;45.5;Huwyler Sven;;17;54.0;13;45.5;0;0.0;9.75

12i;Durrer Nando;*;;;;;;;;;55.25
-;;;Stöckli Damian;*;;;;;;;9.0
-;3;9.0;Reichmuth Lukas;*;9;56.0;5;8.5;2;-0.5;8.75
+;9;17.75;Föhn Christian;;11;55.5;6;18.5;-3;0.75;10.0
+;6;27.75;Rust Sandro;;12;55.25;4;28.25;-2;0.5;10.0
-;5;37.75;Egli Damian;**;8;56.25;6;37.5;1;-0.25;8.75
-;9;46.5;Scherer Niklaus;**;9;56.0;6;47.25;-3;0.75;8.75

12j;Achermann Ueli;;;;;;;;;;55.25
o;;;Gasser Dominik 1;;;;;;;;8.5
+;5;8.5;Burch Jonas (2005);;26;35.25;5;8.5;0;0.0;10.0
+;6;18.5;Schnellmann Adrian (2004);;15;54.5;6;18.5;0;0.0;10.0
o;3;28.5;Hegner Ueli;*;7;56.5;4;28.25;1;-0.25;8.5
o;8;37.0;Bienz Romeo;*;11;55.5;8;37.0;0;0.0;8.5
+;13;45.5;Laimbacher Cyrill (2004);;18;53.75;14;45.25;1;-0.25;9.75

12k;Beffa Mario;;;;;;;;;;55.25
-;;;Rüttimann Daniel;;;;;;;;8.75
+;4;8.75;von Wyl Simon;;30;34.25;4;8.75;0;0.0;9.75
+;6;18.5;Wallimann Remo;*;13;55.0;7;18.25;1;-0.25;9.75
o;4;28.25;Stöckli Damian;*;7;56.5;7;27.5;3;-0.75;8.5
+;9;36.75;Duss Livio (2005);;18;53.75;9;36.75;0;0.0;9.75
-;9;46.5;Odermatt Remo;*;11;55.5;8;46.75;-1;0.25;8.75

12l;Kathriner Severin;;;;;;;;;;55.25
+;;;Herger Flavio (2003);;;;;;;;9.75
+;2;9.75;Rust Sandro;;12;55.25;2;9.75;0;0.0;10.0
o;2;19.75;Lemmenmeier Lukas;*;5;57.0;5;18.75;3;-1.0;8.5
o;4;28.25;Reichmuth Lukas;*;9;56.0;8;27.25;4;-1.0;8.5
o;9;36.75;Schöpfer Marco (2003);;12;55.25;9;36.75;0;0.0;8.5
+;14;45.25;Wigger Simon;;17;54.0;13;45.5;-1;0.25;10.0

12m;Duss Yvan (2003);;;;;;;;;;55.25
+;;;von Flüe Silvan (2004);;;;;;;;10.0
+;1;10.0;Schmid Pius;;13;55.0;2;9.75;1;-0.25;9.75
o;2;19.75;Huber Alex;*;5;57.0;6;18.5;4;-1.25;8.5
o;4;28.25;Gander Adrian;*;10;55.75;8;27.25;4;-1.0;8.5
+;9;36.75;Andermatt Reto;;19;53.5;10;36.5;1;-0.25;10.0
o;8;46.75;Burch Jonas;**;4;57.25;6;47.25;-2;0.5;8.5

13a;Gasser Dominik 1;;;;;;;;;;55.0
+;;;Achermann Ueli;;;;;;;;9.75
+;2;9.75;Bürgi Simon (2003);;16;54.25;1;10.0;-1;0.25;9.75
o;3;19.5;Schmid Simon;*;24;47.0;6;18.5;3;-1.0;8.5
o;5;28.0;Fellmann Roman;**;14;54.75;8;27.25;3;-0.75;8.5
o;10;36.5;Schmid Pius;;13;55.0;10;36.5;0;0.0;8.5
+;15;45.0;von Rickenbach Carlo (2005);;19;53.5;15;45.0;0;0.0;10.0

13b;Bachmann Roger;*;;;;;;;;;55.0
-;;;Ming Christian;*;;;;;;;8.75
-;4;8.75;Bernhard Lukas;**;10;55.75;5;8.5;1;-0.25;8.75
-;10;17.5;Rüttimann Daniel;;15;54.5;6;18.5;-4;1.0;8.75
+;12;26.25;Suter Nicola (2005);;19;53.5;7;27.5;-5;1.25;10.0
+;11;36.25;Huwyler Sven;;17;54.0;8;37.0;-3;0.75;10.0
o;10;46.25;Zimmermann Martin;***;9;56.0;11;46.0;1;-0.25;8.75

13c;Gander Benjamin;;;;;;;;;;55.0
-;;;Wiss Ivan (2004);;;;;;;;8.75
+;4;8.75;Suter Michael;;29;34.5;4;8.75;0;0.0;9.75
o;6;18.5;Betschart Patrick;*;3;57.5;9;17.75;3;-0.75;8.5
o;9;27.0;Styger Alex (2003);;18;53.75;10;26.75;1;-0.25;8.5
+;14;35.5;Arnold Robin (2003);;17;54.0;14;35.5;0;0.0;9.75
+;14;45.25;Lagler Reto;;18;53.75;15;45.0;1;-0.25;9.75

13d;Waser Reto;*;;;;;;;;;55.0
+;;;Betschart Marcel;*;;;;;;;10.0
o;1;10.0;Ambühl Joel;**;5;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Schöpfer Marco (2003);;12;55.25;2;19.75;-4;1.25;9.75
+;4;28.25;Schärli Reto;*;9;56.0;2;28.75;-2;0.5;9.75
o;4;38.0;Burch Jonas;**;4;57.25;6;37.5;2;-0.5;8.5
o;9;46.5;Wicki David;;5;57.0;7;47.0;-2;0.5;8.5

13e;Zimmermann Gian (2004);;;;;;;;;;55.0
o;;;Föhn Christian;;;;;;;;8.5
+;5;8.5;Rust Silvio;;22;52.75;5;8.5;0;0.0;9.75
+;7;18.25;Bissig Julian (2003);;15;54.5;10;17.5;3;-0.75;9.75
o;5;28.0;Hurschler Thomas;**;6;56.75;8;27.25;3;-0.75;8.5
o;10;36.5;Elmiger Matthias;;10;55.75;12;36.0;2;-0.5;8.5
+;15;45.0;Ettlin Jan;;19;53.5;15;45.0;0;0.0;10.0

13f;Ming Christian;*;;;;;;;;;55.0
-;;;Bachmann Roger;*;;;;;;;8.75
-;4;8.75;Schuler Philipp;**;9;56.0;5;8.5;1;-0.25;8.75
-;10;17.5;Wiget Ueli;;14;54.75;5;18.75;-5;1.25;9.0
+;11;26.5;Rust Silvio;;22;52.75;9;27.0;-2;0.5;10.0
+;10;36.5;Gwerder Fabian;;16;54.25;12;36.0;2;-0.5;10.0
o;9;46.5;Nötzli Reto;***;7;56.5;8;46.75;-1;0.25;8.5

13g;Steiner Severin;;;;;;;;;;55.0
-;;;Waser Raphael;;;;;;;;8.75
-;4;8.75;Wallimann Elias (2003);;29;34.5;5;8.5;1;-0.25;8.75
+;10;17.5;Durrer Jan (2003);;29;34.5;10;17.5;0;0.0;10.0
o;7;27.5;Elmiger Andreas;*;12;55.25;9;27.0;2;-0.5;8.5
+;12;36.0;von Matt Lars;;22;52.75;14;35.5;2;-0.5;10.0
-;11;46.0;Fellmann Roman;**;14;54.75;11;46.0;0;0.0;9.0

13h;Bucher Roland;*;;;;;;;;;55.0
-;;;Kälin Remo;*;;;;;;;8.75
o;4;8.75;Wyrsch Silvio;*;5;57.0;5;8.5;1;-0.25;8.5
+;11;17.25;Wigger Simon;;17;54.0;6;18.5;-5;1.25;9.75
+;9;27.0;Waser Raphael;;15;54.5;8;27.25;-1;0.25;9.75
+;9;36.75;Kaufmann Reto;*;10;55.75;7;37.25;-2;0.5;9.75
o;9;46.5;Stöckli Damian;*;7;56.5;9;46.5;0;0.0;8.5

13i;Wallimann Remo;*;;;;;;;;;55.0
o;;;Bienz Romeo;*;;;;;;;8.5
+;5;8.5;Gisler Jonas;*;15;54.5;5;8.5;0;0.0;9.75
o;7;18.25;Beffa Mario;;12;55.25;6;18.5;-1;0.25;8.5
+;10;26.75;Egli Severin (2004);;22;52.75;9;27.0;-1;0.25;9.75
+;10;36.5;Schwegler Flavio (2004);;19;53.5;10;36.5;0;0.0;10.0
o;9;46.5;Herger Matthias;**;7;56.5;8;46.75;-1;0.25;8.5

13j;Schmid Pius;;;;;;;;;;55.0
+;;;Forster Christian;;;;;;;;9.75
o;2;9.75;Duss Yvan (2003);;12;55.25;1;10.0;-1;0.25;8.5
+;7;18.25;Eberli Sandro (2004);;16;54.25;6;18.5;-1;0.25;9.75
o;5;28.0;Lang Sven;**;5;57.0;7;27.5;2;-0.5;8.5
+;10;36.5;Gasser Dominik 1;;13;55.0;10;36.5;0;0.0;10.0
o;9;46.5;Lemmenmeier Lukas;*;5;57.0;6;47.25;-3;0.75;8.5

13k;Waser Christoph;*;;;;;;;;;55.0
+;;;Wyrsch Silvio;*;;;;;;;10.0
o;1;10.0;Reichmuth Marco;**;3;57.5;2;9.75;1;-0.25;8.5
+;6;18.5;Hürlimann Ueli;;15;54.5;5;18.75;-1;0.25;9.75
+;4;28.25;Bühler Kilian;;10;55.75;3;28.5;-1;0.25;9.75
o;4;38.0;Suter Pirmin;**;8;56.25;5;37.75;1;-0.25;8.5
o;9;46.5;Reichmuth Roland;*;7;56.5;9;46.5;0;0.0;8.5

13l;Gwerder Andreas;*;;;;;;;;;55.0
o;;;Elsener Marcel;*;;;;;;;8.5
o;5;8.5;Hess Dominik;*;17;54.0;5;8.5;0;0.0;8.5
+;12;17.0;Kaiser Sandro;;10;55.75;6;18.5;-6;1.5;9.75
+;10;26.75;Furrer Fabian;;17;54.0;9;27.0;-1;0.25;9.75
+;10;36.5;Kempf Fabian;;14;54.75;10;36.5;0;0.0;10.0
o;9;46.5;Waser Dominik;**;5;57.0;7;47.0;-2;0.5;8.5

13m;Barmettler Severin (2005);;;;;;;;;;55.0
+;;;Birchler Kilian;;;;;;;;10.0
-;1;10.0;Egli Adrian;;10;55.75;1;10.0;0;0.0;9.0
o;4;19.0;Fankhauser Marco;**;2;58.0;6;18.5;2;-0.5;8.5
-;7;27.5;Rüttimann Daniel;;15;54.5;8;27.25;1;-0.25;8.75
-;11;36.25;Suter Samuel;;15;54.5;13;35.75;2;-0.5;9.0
+;14;45.25;Schwegler Flavio (2004);;19;53.5;15;45.0;1;-0.25;9.75

14a;Brunner Timon;;;;;;;;;;54.75
+;;;Herger Lars (2005);;;;;;;;10.0
+;1;10.0;Niederberger Mario (2005);;26;35.25;2;9.75;1;-0.25;10.0
o;1;20.0;Schöpfer Ronny;**;8;56.25;4;19.0;3;-1.0;8.75
o;2;28.75;Arnold Stefan;**;7;56.5;4;28.25;2;-0.5;8.5
-;7;37.25;Bühler Kilian;;10;55.75;8;37.0;1;-0.25;9.0
o;10;46.25;Lustenberger Josef;*;5;57.0;7;47.0;-3;0.75;8.5

14b;Suter Lukas;;;;;;;;;;54.75
-;;;Arnold Kilian;;;;;;;;9.0
o;3;9.0;Elmiger Matthias;;10;55.75;3;9.0;0;0.0;8.5
-;10;17.5;von Matt Lars;;22;52.75;10;17.5;0;0.0;9.0
+;11;26.5;Rohrer Michael;;27;35.0;11;26.5;0;0.0;10.0
o;10;36.5;Kälin Remo;*;15;54.5;12;36.0;2;-0.5;8.5
+;15;45.0;Rust Sandro;;12;55.25;14;45.25;-1;0.25;9.75

14c;Appert Silvan (2003);;;;;;;;;;54.75
o;;;Bühlmann Daniel;;;;;;;;8.5
+;5;8.5;Grüter Marcel;;15;54.5;5;8.5;0;0.0;10.0
o;6;18.5;Schwyzer Samuel;*;15;54.5;11;17.25;5;-1.25;8.5
+;9;27.0;Ming Christian 2;;16;54.25;8;27.25;-1;0.25;9.75
-;9;36.75;Müller Roger;*;15;54.5;9;36.75;0;0.0;9.0
-;12;45.75;Gabriel Simon;;14;54.75;12;45.75;0;0.0;9.0

14d;Schallberger Jakob;;;;;;;;;;54.75
+;;;Wicki Kevin;;;;;;;;10.0
+;1;10.0;Ziegler Elias;;18;53.75;2;9.75;1;-0.25;10.0
o;1;20.0;Suter Pirmin;**;8;56.25;4;19.0;3;-1.0;8.5
-;3;28.5;Bissig Lukas (2003);*;7;56.5;5;28.0;2;-0.5;8.75
-;7;37.25;Bättig Patrick (2003);;15;54.5;8;37.0;1;-0.25;9.0
o;10;46.25;Reichmuth Lukas;*;9;56.0;10;46.25;0;0.0;8.5

14e;Gabriel Simon;;;;;;;;;;54.75
+;;;Kathriner Andreas (2003);;;;;;;;10.0
+;1;10.0;Von Euw Adi;;11;55.5;1;10.0;0;0.0;9.75
o;2;19.75;Bürgi Reto;*;11;55.5;6;18.5;4;-1.25;8.5
o;4;28.25;Effinger Markus;*;12;55.25;4;28.25;0;0.0;8.5
-;9;36.75;Grüter Marcel;;15;54.5;9;36.75;0;0.0;9.0
-;12;45.75;Appert Silvan (2003);;14;54.75;12;45.75;0;0.0;9.0

14f;Staffelbach Noah (2003);;;;;;;;;;54.75
+;;;Schelbert Silvan;;;;;;;;9.75
+;2;9.75;Kaiser Sandro;;10;55.75;1;10.0;-1;0.25;9.75
o;3;19.5;Suter Beat;*;11;55.5;6;18.5;3;-1.0;8.5
o;5;28.0;Betschart Marcel;*;11;55.5;9;27.0;4;-1.0;8.5
+;10;36.5;Ettlin Jan;;19;53.5;10;36.5;0;0.0;9.75
o;10;46.25;Schuler Philipp;**;9;56.0;11;46.0;1;-0.25;8.5

14g;Wiget Ueli;;;;;;;;;;54.75
-;;;Elmiger Matthias;;;;;;;;8.75
+;4;8.75;Kathriner Andreas (2003);;17;54.0;5;8.5;1;-0.25;10.0
-;5;18.75;Ming Christian;*;13;55.0;10;17.5;5;-1.25;9.0
o;6;27.75;Moos Christoph;*;11;55.5;9;27.0;3;-0.75;8.5
+;11;36.25;von Rickenbach Carlo (2005);;19;53.5;10;36.5;-1;0.25;10.0
o;10;46.25;Schöpfer Ronny;**;8;56.25;10;46.25;0;0.0;8.5

14h;Fellmann Roman;**;;;;;;;;;54.75
-;;;Burch Jonas;**;;;;;;;8.75
o;4;8.75;Huber Alex;*;5;57.0;4;8.75;0;0.0;8.5
+;11;17.25;Andermatt Reto;;19;53.5;7;18.25;-4;1.0;10.0
+;8;27.25;Gasser Dominik 1;;13;55.0;5;28.0;-3;0.75;10.0
-;7;37.25;Schuler Philipp;**;9;56.0;7;37.25;0;0.0;8.75
-;11;46.0;Steiner Severin;;13;55.0;11;46.0;0;0.0;8.75

14i;Kempf Fabian;;;;;;;;;;54.75
o;;;Styger Alex (2003);;;;;;;;8.5
o;5;8.5;Hürlimann Ueli;;15;54.5;4;8.75;-1;0.25;8.5
+;12;17.0;Suter Michael;;29;34.5;11;17.25;-1;0.25;9.75
+;10;26.75;Gloggner Matthias (2005);;26;35.25;10;26.75;0;0.0;9.75
o;10;36.5;Gwerder Andreas;*;13;55.0;10;36.5;0;0.0;8.5
+;15;45.0;Büeler Ivo (2004);;19;53.5;15;45.0;0;0.0;9.75

14j;Durrer Ueli;;;;;;;;;;54.75
+;;;Schnellmann Adrian (2004);;;;;;;;10.0
-;1;10.0;Vogel Marcel;;5;57.0;1;10.0;0;0.0;8.75
-;5;18.75;Elsener Marcel;*;11;55.5;6;18.5;1;-0.25;8.75
-;7;27.5;Schwyzer Samuel;*;15;54.5;9;27.0;2;-0.5;8.75
+;11;36.25;Forster Christian;;16;54.25;13;35.75;2;-0.5;10.0
o;10;46.25;Schärli Reto;*;9;56.0;10;46.25;0;0.0;8.5

14k;Gerber Jakob;;;;;;;;;;54.75
o;;;Durrer Ive;;;;;;;;8.5
+;5;8.5;Arnold Robin (2003);;17;54.0;5;8.5;0;0.0;9.75
+;7;18.25;Chiodo Gian Paolo (2005);;22;52.75;7;18.25;0;0.0;9.75
o;5;28.0;Vogel Remo;**;6;56.75;8;27.25;3;-0.75;8.5
+;10;36.5;Erni Remo (2005);;19;53.5;10;36.5;0;0.0;9.75
o;10;46.25;Egli Damian;**;8;56.25;10;46.25;0;0.0;8.5

15a;Bühlmann Daniel;;;;;;;;;;54.5
+;;;Appert Silvan (2003);;;;;;;;10.0
-;1;10.0;Lüthy Ralph;;9;56.0;2;9.75;1;-0.25;8.75
o;5;18.75;Bucher Christian;**;11;55.5;7;18.25;2;-0.5;8.5
+;8;27.25;Föhn Christian;;11;55.5;9;27.0;1;-0.25;10.0
o;7;37.25;Waser Dominik;**;5;57.0;7;37.25;0;0.0;8.5
-;12;45.75;Waser Raphael;;15;54.5;12;45.75;0;0.0;8.75

15b;Wiss Ivan (2004);;;;;;;;;;54.5
-;;;Gander Benjamin;;;;;;;;8.75
o;4;8.75;Herger Andreas;;11;55.5;4;8.75;0;0.0;8.5
-;11;17.25;Arnold Robin (2003);;17;54.0;12;17.0;1;-0.25;8.75
+;13;26.0;Käslin Valentin;;30;34.25;14;25.75;1;-0.25;9.75
-;13;35.75;Arnold Kilian;;21;53.0;13;35.75;0;0.0;8.75
+;17;44.5;Gloggner André;;20;53.25;16;44.75;-1;0.25;10.0

15c;Bättig Patrick (2003);;;;;;;;;;54.5
-;;;Suter Samuel;;;;;;;;8.75
+;4;8.75;Betschart Fabian;;27;35.0;3;9.0;-1;0.25;9.75
o;6;18.5;Bernhard Lukas;**;10;55.75;10;17.5;4;-1.0;8.5
+;9;27.0;Niederberger Mario (2005);;26;35.25;10;26.75;1;-0.25;10.0
-;8;37.0;Schallberger Jakob;;14;54.75;7;37.25;-1;0.25;9.0
o;11;46.0;Hürlimann Marco;;11;55.5;12;45.75;1;-0.25;8.5

15d;Schwyzer Sebastian (2004);;;;;;;;;;54.5
-;;;Betschart Fabian;;;;;;;;9.0
+;3;9.0;Horat Dominic (2003);;31;34.0;5;8.5;2;-0.5;10.0
